MovieID,Title,Genres,Movie_title,Release,Genres2
89,Nick of Time (1995),Action|Thriller,Nick of Time,1995,"['Action', 'Thriller']"
90,"Journey of August King, The (1995)",Drama,"Journey of August King, The",1995,['Drama']
92,Mary Reilly (1996),Drama|Thriller,Mary Reilly,1996,"['Drama', 'Thriller']"
93,Vampire in Brooklyn (1995),Comedy|Romance,Vampire in Brooklyn,1995,"['Comedy', 'Romance']"
94,Beautiful Girls (1996),Drama,Beautiful Girls,1996,['Drama']
95,Broken Arrow (1996),Action|Thriller,Broken Arrow,1996,"['Action', 'Thriller']"
96,In the Bleak Midwinter (1995),Comedy,In the Bleak Midwinter,1995,['Comedy']
97,"Hate (Haine, La) (1995)",Drama,"Hate (Haine, La)",1995,['Drama']
98,Shopping (1994),Action|Thriller,Shopping,1994,"['Action', 'Thriller']"
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,Heidi Fleiss: Hollywood Madam,1995,['Documentary']
100,City Hall (1996),Drama|Thriller,City Hall,1996,"['Drama', 'Thriller']"
101,Bottle Rocket (1996),Comedy,Bottle Rocket,1996,['Comedy']
102,Mr. Wrong (1996),Comedy,Mr. Wrong,1996,['Comedy']
103,Unforgettable (1996),Thriller,Unforgettable,1996,['Thriller']
104,Happy Gilmore (1996),Comedy,Happy Gilmore,1996,['Comedy']
105,"Bridges of Madison County, The (1995)",Drama|Romance,"Bridges of Madison County, The",1995,"['Drama', 'Romance']"
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,Nobody Loves Me (Keiner liebt mich),1994,"['Comedy', 'Drama']"
107,Muppet Treasure Island (1996),Adventure|Children's|Comedy|Musical,Muppet Treasure Island,1996,"['Adventure', ""Children's"", 'Comedy', 'Musical']"
108,Catwalk (1995),Documentary,Catwalk,1995,['Documentary']
109,Headless Body in Topless Bar (1995),Comedy,Headless Body in Topless Bar,1995,['Comedy']
110,Braveheart (1995),Action|Drama|War,Braveheart,1995,"['Action', 'Drama', 'War']"
111,Taxi Driver (1976),Drama|Thriller,Taxi Driver,1976,"['Drama', 'Thriller']"
112,Rumble in the Bronx (1995),Action|Adventure|Crime,Rumble in the Bronx,1995,"['Action', 'Adventure', 'Crime']"
113,Before and After (1996),Drama|Mystery,Before and After,1996,"['Drama', 'Mystery']"
114,Margaret's Museum (1995),Drama,Margaret's Museum,1995,['Drama']
115,Happiness Is in the Field (1995),Comedy,Happiness Is in the Field,1995,['Comedy']
116,Anne Frank Remembered (1995),Documentary,Anne Frank Remembered,1995,['Documentary']
117,"Young Poisoner's Handbook, The (1995)",Crime,"Young Poisoner's Handbook, The",1995,['Crime']
118,If Lucy Fell (1996),Comedy|Romance,If Lucy Fell,1996,"['Comedy', 'Romance']"
119,"Steal Big, Steal Little (1995)",Comedy,"Steal Big, Steal Little",1995,['Comedy']
120,Race the Sun (1996),Drama,Race the Sun,1996,['Drama']
121,"Boys of St. Vincent, The (1993)",Drama,"Boys of St. Vincent, The",1993,['Drama']
122,Boomerang (1992),Comedy|Romance,Boomerang,1992,"['Comedy', 'Romance']"
123,Chungking Express (1994),Drama|Mystery|Romance,Chungking Express,1994,"['Drama', 'Mystery', 'Romance']"
124,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama,"Star Maker, The (Uomo delle stelle, L')",1995,['Drama']
125,Flirting With Disaster (1996),Comedy,Flirting With Disaster,1996,['Comedy']
126,"NeverEnding Story III, The (1994)",Adventure|Children's|Fantasy,"NeverEnding Story III, The",1994,"['Adventure', ""Children's"", 'Fantasy']"
127,"Silence of the Palace, The (Saimt el Qusur) (1994)",Drama,"Silence of the Palace, The (Saimt el Qusur)",1994,['Drama']
128,Jupiter's Wife (1994),Documentary,Jupiter's Wife,1994,['Documentary']
129,Pie in the Sky (1995),Comedy|Romance,Pie in the Sky,1995,"['Comedy', 'Romance']"
130,Angela (1995),Drama,Angela,1995,['Drama']
131,Frankie Starlight (1995),Drama|Romance,Frankie Starlight,1995,"['Drama', 'Romance']"
132,Jade (1995),Thriller,Jade,1995,['Thriller']
133,Nueba Yol (1995),Comedy|Drama,Nueba Yol,1995,"['Comedy', 'Drama']"
134,Sonic Outlaws (1995),Documentary,Sonic Outlaws,1995,['Documentary']
135,Down Periscope (1996),Comedy,Down Periscope,1996,['Comedy']
136,From the Journals of Jean Seberg (1995),Documentary,From the Journals of Jean Seberg,1995,['Documentary']
137,Man of the Year (1995),Documentary,Man of the Year,1995,['Documentary']
138,"Neon Bible, The (1995)",Drama,"Neon Bible, The",1995,['Drama']
139,Target (1995),Action|Drama,Target,1995,"['Action', 'Drama']"
140,Up Close and Personal (1996),Drama|Romance,Up Close and Personal,1996,"['Drama', 'Romance']"
141,"Birdcage, The (1996)",Comedy,"Birdcage, The",1996,['Comedy']
142,Shadows (Cienie) (1988),Drama,Shadows (Cienie),1988,['Drama']
143,Gospa (1995),Drama,Gospa,1995,['Drama']
144,"Brothers McMullen, The (1995)",Comedy,"Brothers McMullen, The",1995,['Comedy']
145,Bad Boys (1995),Action,Bad Boys,1995,['Action']
146,"Amazing Panda Adventure, The (1995)",Adventure|Children's,"Amazing Panda Adventure, The",1995,"['Adventure', ""Children's""]"
147,"Basketball Diaries, The (1995)",Drama,"Basketball Diaries, The",1995,['Drama']
148,"Awfully Big Adventure, An (1995)",Drama,"Awfully Big Adventure, An",1995,['Drama']
149,Amateur (1994),Crime|Drama|Thriller,Amateur,1994,"['Crime', 'Drama', 'Thriller']"
150,Apollo 13 (1995),Drama,Apollo 13,1995,['Drama']
151,Rob Roy (1995),Drama|Romance|War,Rob Roy,1995,"['Drama', 'Romance', 'War']"
152,"Addiction, The (1995)",Horror,"Addiction, The",1995,['Horror']
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,Batman Forever,1995,"['Action', 'Adventure', 'Comedy', 'Crime']"
154,Belle de jour (1967),Drama,Belle de jour,1967,['Drama']
155,Beyond Rangoon (1995),Drama|War,Beyond Rangoon,1995,"['Drama', 'War']"
156,Blue in the Face (1995),Comedy,Blue in the Face,1995,['Comedy']
157,Canadian Bacon (1994),Comedy|War,Canadian Bacon,1994,"['Comedy', 'War']"
158,Casper (1995),Adventure|Children's,Casper,1995,"['Adventure', ""Children's""]"
159,Clockers (1995),Drama,Clockers,1995,['Drama']
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,Congo,1995,"['Action', 'Adventure', 'Mystery', 'Sci-Fi']"
161,Crimson Tide (1995),Drama|Thriller|War,Crimson Tide,1995,"['Drama', 'Thriller', 'War']"
162,Crumb (1994),Documentary,Crumb,1994,['Documentary']
163,Desperado (1995),Action|Romance|Thriller,Desperado,1995,"['Action', 'Romance', 'Thriller']"
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,Devil in a Blue Dress,1995,"['Crime', 'Film-Noir', 'Mystery', 'Thriller']"
165,Die Hard: With a Vengeance (1995),Action|Thriller,Die Hard: With a Vengeance,1995,"['Action', 'Thriller']"
166,"Doom Generation, The (1995)",Comedy|Drama,"Doom Generation, The",1995,"['Comedy', 'Drama']"
167,Feast of July (1995),Drama,Feast of July,1995,['Drama']
168,First Knight (1995),Action|Adventure|Drama|Romance,First Knight,1995,"['Action', 'Adventure', 'Drama', 'Romance']"
169,Free Willy 2: The Adventure Home (1995),Adventure|Children's|Drama,Free Willy 2: The Adventure Home,1995,"['Adventure', ""Children's"", 'Drama']"
170,Hackers (1995),Action|Crime|Thriller,Hackers,1995,"['Action', 'Crime', 'Thriller']"
171,Jeffrey (1995),Comedy,Jeffrey,1995,['Comedy']
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,Johnny Mnemonic,1995,"['Action', 'Sci-Fi', 'Thriller']"
173,Judge Dredd (1995),Action|Adventure|Sci-Fi,Judge Dredd,1995,"['Action', 'Adventure', 'Sci-Fi']"
174,Jury Duty (1995),Comedy,Jury Duty,1995,['Comedy']
175,Kids (1995),Drama,Kids,1995,['Drama']
176,Living in Oblivion (1995),Comedy,Living in Oblivion,1995,['Comedy']
177,Lord of Illusions (1995),Horror,Lord of Illusions,1995,['Horror']
178,Love & Human Remains (1993),Comedy,Love & Human Remains,1993,['Comedy']
179,Mad Love (1995),Drama|Romance,Mad Love,1995,"['Drama', 'Romance']"
180,Mallrats (1995),Comedy,Mallrats,1995,['Comedy']
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children's,Mighty Morphin Power Rangers: The Movie,1995,"['Action', ""Children's""]"
182,Moonlight and Valentino (1995),Drama|Romance,Moonlight and Valentino,1995,"['Drama', 'Romance']"
183,Mute Witness (1994),Thriller,Mute Witness,1994,['Thriller']
184,Nadja (1994),Drama,Nadja,1994,['Drama']
185,"Net, The (1995)",Sci-Fi|Thriller,"Net, The",1995,"['Sci-Fi', 'Thriller']"
186,Nine Months (1995),Comedy,Nine Months,1995,['Comedy']
187,Party Girl (1995),Comedy,Party Girl,1995,['Comedy']
188,"Prophecy, The (1995)",Horror,"Prophecy, The",1995,['Horror']
189,Reckless (1995),Comedy,Reckless,1995,['Comedy']
190,Safe (1995),Thriller,Safe,1995,['Thriller']
191,"Scarlet Letter, The (1995)",Drama,"Scarlet Letter, The",1995,['Drama']
192,"Show, The (1995)",Documentary,"Show, The",1995,['Documentary']
193,Showgirls (1995),Drama,Showgirls,1995,['Drama']
194,Smoke (1995),Drama,Smoke,1995,['Drama']
195,Something to Talk About (1995),Comedy|Drama|Romance,Something to Talk About,1995,"['Comedy', 'Drama', 'Romance']"
196,Species (1995),Horror|Sci-Fi,Species,1995,"['Horror', 'Sci-Fi']"
197,"Stars Fell on Henrietta, The (1995)",Drama,"Stars Fell on Henrietta, The",1995,['Drama']
198,Strange Days (1995),Action|Crime|Sci-Fi,Strange Days,1995,"['Action', 'Crime', 'Sci-Fi']"
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)",1964,"['Drama', 'Musical']"
200,"Tie That Binds, The (1995)",Thriller,"Tie That Binds, The",1995,['Thriller']
201,Three Wishes (1995),Drama,Three Wishes,1995,['Drama']
