defense-type1,defense-type2,normal,fire,water,electric,grass,ice,fighting,poison,ground,flying,psychic,bug,rock,ghost,dragon,dark,steel,fairy
fire,psychic,1,0.5,2,1,0.5,0.5,0.5,1,2,1,0.5,1,2,2,1,2,0.5,0.5
fire,bug,1,1,2,1,0.25,0.5,0.5,1,1,2,1,0.5,4,1,1,1,0.5,0.5
fire,rock,0.5,0.25,4,1,1,0.5,2,0.5,4,0.5,1,0.5,2,1,1,1,1,0.5
fire,ghost,0,0.5,2,1,0.5,0.5,0,0.5,2,1,1,0.25,2,2,1,2,0.5,0.5
fire,dragon,1,0.25,1,0.5,0.25,1,1,1,2,1,1,0.5,2,1,2,1,0.5,1
fire,dark,1,0.5,2,1,0.5,0.5,2,1,2,1,0,1,2,0.5,1,0.5,0.5,1
fire,steel,0.5,1,2,1,0.25,0.25,2,0,4,0.5,0.5,0.25,1,1,0.5,1,0.25,0.25
fire,fairy,1,0.5,2,1,0.5,0.5,0.5,2,2,1,1,0.25,2,1,0,0.5,1,0.5
water,,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
water,normal,1,0.5,0.5,2,2,0.5,2,1,1,1,1,1,1,0,1,1,0.5,1
water,fire,1,0.25,1,2,1,0.25,1,1,2,1,1,0.5,2,1,1,1,0.25,0.5
water,electric,1,0.5,0.5,1,2,0.5,1,1,2,0.5,1,1,1,1,1,1,0.25,1
water,grass,1,1,0.25,1,1,1,1,2,0.5,2,1,2,1,1,1,1,0.5,1
water,ice,1,1,0.5,2,2,0.25,2,1,1,1,1,1,2,1,1,1,1,1
water,fighting,1,0.5,0.5,2,2,0.5,1,1,1,2,2,0.5,0.5,1,1,0.5,0.5,2
water,poison,1,0.5,0.5,2,1,0.5,0.5,0.5,2,1,2,0.5,1,1,1,1,0.5,0.5
water,ground,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1
water,flying,1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,1
water,psychic,1,0.5,0.5,2,2,0.5,0.5,1,1,1,0.5,2,1,2,1,2,0.5,1
water,bug,1,1,0.5,2,1,0.5,0.5,1,0.5,2,1,1,2,1,1,1,0.5,1
water,rock,0.5,0.25,1,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,1
water,ghost,0,0.5,0.5,2,2,0.5,0,0.5,1,1,1,0.5,1,2,1,2,0.5,1
water,dragon,1,0.25,0.25,1,1,1,1,1,1,1,1,1,1,1,2,1,0.5,2
water,dark,1,0.5,0.5,2,2,0.5,2,1,1,1,0,2,1,0.5,1,0.5,0.5,2
water,steel,0.5,1,0.5,2,1,0.25,2,0,2,0.5,0.5,0.5,0.5,1,0.5,1,0.25,0.5
water,fairy,1,0.5,0.5,2,2,0.5,0.5,2,1,1,1,0.5,1,1,0,0.5,1,1
electric,,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
electric,normal,1,1,1,0.5,1,1,2,1,2,0.5,1,1,1,0,1,1,0.5,1
electric,fire,1,0.5,2,0.5,0.5,0.5,1,1,4,0.5,1,0.5,2,1,1,1,0.25,0.5
electric,water,1,0.5,0.5,1,2,0.5,1,1,2,0.5,1,1,1,1,1,1,0.25,1
electric,grass,1,2,0.5,0.25,0.5,2,1,2,1,1,1,2,1,1,1,1,0.5,1
electric,ice,1,2,1,0.5,1,0.5,2,1,2,0.5,1,1,2,1,1,1,1,1
electric,fighting,1,1,1,0.5,1,1,1,1,2,1,2,0.5,0.5,1,1,0.5,0.5,2
electric,poison,1,1,1,0.5,0.5,1,0.5,0.5,4,0.5,2,0.5,1,1,1,1,0.5,0.5
electric,ground,1,1,2,0,2,2,1,0.5,2,0.5,1,1,0.5,1,1,1,0.5,1
electric,flying,1,1,1,1,0.5,2,0.5,1,0,0.5,1,0.5,2,1,1,1,0.5,1
electric,psychic,1,1,1,0.5,1,1,0.5,1,2,0.5,0.5,2,1,2,1,2,0.5,1
electric,bug,1,2,1,0.5,0.5,1,0.5,1,1,1,1,1,2,1,1,1,0.5,1
electric,rock,0.5,0.5,2,0.5,2,1,2,0.5,4,0.25,1,1,1,1,1,1,1,1
electric,ghost,0,1,1,0.5,1,1,0,0.5,2,0.5,1,0.5,1,2,1,2,0.5,1
electric,dragon,1,0.5,0.5,0.25,0.5,2,1,1,2,0.5,1,1,1,1,2,1,0.5,2
electric,dark,1,1,1,0.5,1,1,2,1,2,0.5,0,2,1,0.5,1,0.5,0.5,2
electric,steel,0.5,2,1,0.5,0.5,0.5,2,0,4,0.25,0.5,0.5,0.5,1,0.5,1,0.25,0.5
electric,fairy,1,1,1,0.5,1,1,0.5,2,2,0.5,1,0.5,1,1,0,0.5,1,1
grass,,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
grass,normal,1,2,0.5,0.5,0.5,2,2,2,0.5,2,1,2,1,0,1,1,1,1
grass,fire,1,1,1,0.5,0.25,1,1,2,1,2,1,1,2,1,1,1,0.5,0.5
grass,water,1,1,0.25,1,1,1,1,2,0.5,2,1,2,1,1,1,1,0.5,1
grass,electric,1,2,0.5,0.25,0.5,2,1,2,1,1,1,2,1,1,1,1,0.5,1
grass,ice,1,4,0.5,0.5,0.5,1,2,2,0.5,2,1,2,2,1,1,1,2,1
grass,fighting,1,2,0.5,0.5,0.5,2,1,2,0.5,4,2,1,0.5,1,1,0.5,1,2
grass,poison,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
grass,ground,1,2,1,0,1,4,1,1,0.5,2,1,2,0.5,1,1,1,1,1
grass,flying,1,2,0.5,1,0.25,4,0.5,2,0,2,1,1,2,1,1,1,1,1
grass,psychic,1,2,0.5,0.5,0.5,2,0.5,2,0.5,2,0.5,4,1,2,1,2,1,1
grass,bug,1,4,0.5,0.5,0.25,2,0.5,2,0.25,4,1,2,2,1,1,1,1,1
grass,rock,0.5,1,1,0.5,1,2,2,1,1,1,1,2,1,1,1,1,2,1
grass,ghost,0,2,0.5,0.5,0.5,2,0,1,0.5,2,1,1,1,2,1,2,1,1
grass,dragon,1,1,0.25,0.25,0.25,4,1,2,0.5,2,1,2,1,1,2,1,1,2
grass,dark,1,2,0.5,0.5,0.5,2,2,2,0.5,2,0,4,1,0.5,1,0.5,1,2
grass,steel,0.5,4,0.5,0.5,0.25,1,2,0,1,1,0.5,1,0.5,1,0.5,1,0.5,0.5
grass,fairy,1,2,0.5,0.5,0.5,2,0.5,4,0.5,2,1,1,1,1,0,0.5,2,1
ice,,1,2,1,1,1,0.5,2,1,1,1,1,1,2,1,1,1,2,1
ice,normal,1,2,1,1,1,0.5,4,1,1,1,1,1,2,0,1,1,2,1
ice,fire,1,1,2,1,0.5,0.25,2,1,2,1,1,0.5,4,1,1,1,1,0.5
ice,water,1,1,0.5,2,2,0.25,2,1,1,1,1,1,2,1,1,1,1,1
ice,electric,1,2,1,0.5,1,0.5,2,1,2,0.5,1,1,2,1,1,1,1,1
ice,grass,1,4,0.5,0.5,0.5,1,2,2,0.5,2,1,2,2,1,1,1,2,1
ice,fighting,1,2,1,1,1,0.5,2,1,1,2,2,0.5,1,1,1,0.5,2,2
ice,poison,1,2,1,1,0.5,0.5,1,0.5,2,1,2,0.5,2,1,1,1,2,0.5
ice,ground,1,2,2,0,2,1,2,0.5,1,1,1,1,1,1,1,1,2,1
ice,flying,1,2,1,2,0.5,1,1,1,0,1,1,0.5,4,1,1,1,2,1
ice,psychic,1,2,1,1,1,0.5,1,1,1,1,0.5,2,2,2,1,2,2,1
ice,bug,1,4,1,1,0.5,0.5,1,1,0.5,2,1,1,4,1,1,1,2,1
ice,rock,0.5,1,2,1,2,0.5,4,0.5,2,0.5,1,1,2,1,1,1,4,1
ice,ghost,0,2,1,1,1,0.5,0,0.5,1,1,1,0.5,2,2,1,2,2,1
ice,dragon,1,1,0.5,0.5,0.5,1,2,1,1,1,1,1,2,1,2,1,2,2
ice,dark,1,2,1,1,1,0.5,4,1,1,1,0,2,2,0.5,1,0.5,2,2
ice,steel,0.5,4,1,1,0.5,0.25,4,0,2,0.5,0.5,0.5,1,1,0.5,1,1,0.5
ice,fairy,1,2,1,1,1,0.5,1,2,1,1,1,0.5,2,1,0,0.5,4,1
fighting,,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
fighting,normal,1,1,1,1,1,1,2,1,1,2,2,0.5,0.5,0,1,0.5,1,2
fighting,fire,1,0.5,2,1,0.5,0.5,1,1,2,2,2,0.25,1,1,1,0.5,0.5,1
fighting,water,1,0.5,0.5,2,2,0.5,1,1,1,2,2,0.5,0.5,1,1,0.5,0.5,2
fighting,electric,1,1,1,0.5,1,1,1,1,2,1,2,0.5,0.5,1,1,0.5,0.5,2
fighting,grass,1,2,0.5,0.5,0.5,2,1,2,0.5,4,2,1,0.5,1,1,0.5,1,2
fighting,ice,1,2,1,1,1,0.5,2,1,1,2,2,0.5,1,1,1,0.5,2,2
fighting,poison,1,1,1,1,0.5,1,0.5,0.5,2,2,4,0.25,0.5,1,1,0.5,1,1
fighting,ground,1,1,2,0,2,2,1,0.5,1,2,2,0.5,0.25,1,1,0.5,1,2
fighting,flying,1,1,1,2,0.5,2,0.5,1,0,2,2,0.25,1,1,1,0.5,1,2
fighting,psychic,1,1,1,1,1,1,0.5,1,1,2,1,1,0.5,2,1,1,1,2
fighting,bug,1,2,1,1,0.5,1,0.5,1,0.5,4,2,0.5,1,1,1,0.5,1,2
fighting,rock,0.5,0.5,2,1,2,1,2,0.5,2,1,2,0.5,0.5,1,1,0.5,2,2
fighting,ghost,0,1,1,1,1,1,0,0.5,1,2,2,0.25,0.5,2,1,1,1,2
fighting,dragon,1,0.5,0.5,0.5,0.5,2,1,1,1,2,2,0.5,0.5,1,2,0.5,1,4
fighting,dark,1,1,1,1,1,1,2,1,1,2,0,1,0.5,0.5,1,0.25,1,4
fighting,steel,0.5,2,1,1,0.5,0.5,2,0,2,1,1,0.25,0.25,1,0.5,0.5,0.5,1
fighting,fairy,1,1,1,1,1,1,0.5,2,1,2,2,0.25,0.5,1,0,0.25,2,2
poison,,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
poison,normal,1,1,1,1,0.5,1,1,0.5,2,1,2,0.5,1,0,1,1,1,0.5
poison,fire,1,0.5,2,1,0.25,0.5,0.5,0.5,4,1,2,0.25,2,1,1,1,0.5,0.25
poison,water,1,0.5,0.5,2,1,0.5,0.5,0.5,2,1,2,0.5,1,1,1,1,0.5,0.5
poison,electric,1,1,1,0.5,0.5,1,0.5,0.5,4,0.5,2,0.5,1,1,1,1,0.5,0.5
poison,grass,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
poison,ice,1,2,1,1,0.5,0.5,1,0.5,2,1,2,0.5,2,1,1,1,2,0.5
poison,fighting,1,1,1,1,0.5,1,0.5,0.5,2,2,4,0.25,0.5,1,1,0.5,1,1
poison,ground,1,1,2,0,1,2,0.5,0.25,2,1,2,0.5,0.5,1,1,1,1,0.5
poison,flying,1,1,1,2,0.25,2,0.25,0.5,0,1,2,0.25,2,1,1,1,1,0.5
poison,psychic,1,1,1,1,0.5,1,0.25,0.5,2,1,1,1,1,2,1,2,1,0.5
poison,bug,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
poison,rock,0.5,0.5,2,1,1,1,1,0.25,4,0.5,2,0.5,1,1,1,1,2,0.5
poison,ghost,0,1,1,1,0.5,1,0,0.25,2,1,2,0.25,1,2,1,2,1,0.5
poison,dragon,1,0.5,0.5,0.5,0.25,2,0.5,0.5,2,1,2,0.5,1,1,2,1,1,1
poison,dark,1,1,1,1,0.5,1,1,0.5,2,1,0,1,1,0.5,1,0.5,1,1
poison,steel,0.5,2,1,1,0.25,0.5,1,0,4,0.5,1,0.25,0.5,1,0.5,1,0.5,0.25
poison,fairy,1,1,1,1,0.5,1,0.25,1,2,1,2,0.25,1,1,0,0.5,2,0.5
ground,,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
ground,normal,1,1,2,0,2,2,2,0.5,1,1,1,1,0.5,0,1,1,1,1
ground,fire,1,0.5,4,0,1,1,1,0.5,2,1,1,0.5,1,1,1,1,0.5,0.5
ground,water,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1
ground,electric,1,1,2,0,2,2,1,0.5,2,0.5,1,1,0.5,1,1,1,0.5,1
ground,grass,1,2,1,0,1,4,1,1,0.5,2,1,2,0.5,1,1,1,1,1
ground,ice,1,2,2,0,2,1,2,0.5,1,1,1,1,1,1,1,1,2,1
ground,fighting,1,1,2,0,2,2,1,0.5,1,2,2,0.5,0.25,1,1,0.5,1,2
ground,poison,1,1,2,0,1,2,0.5,0.25,2,1,2,0.5,0.5,1,1,1,1,0.5
ground,flying,1,1,2,0,1,4,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1
ground,psychic,1,1,2,0,2,2,0.5,0.5,1,1,0.5,2,0.5,2,1,2,1,1
ground,bug,1,2,2,0,1,2,0.5,0.5,0.5,2,1,1,1,1,1,1,1,1
ground,rock,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1
ground,ghost,0,1,2,0,2,2,0,0.25,1,1,1,0.5,0.5,2,1,2,1,1
ground,dragon,1,0.5,1,0,1,4,1,0.5,1,1,1,1,0.5,1,2,1,1,2
ground,dark,1,1,2,0,2,2,2,0.5,1,1,0,2,0.5,0.5,1,0.5,1,2
ground,steel,0.5,2,2,0,1,1,2,0,2,0.5,0.5,0.5,0.25,1,0.5,1,0.5,0.5
ground,fairy,1,1,2,0,2,2,0.5,1,1,1,1,0.5,0.5,1,0,0.5,2,1
flying,,1,1,1,2,0.5,2,0.5,1,0,1,1,0.5,2,1,1,1,1,1
flying,normal,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
flying,fire,1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,0.5
flying,water,1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,1
flying,electric,1,1,1,1,0.5,2,0.5,1,0,0.5,1,0.5,2,1,1,1,0.5,1
flying,grass,1,2,0.5,1,0.25,4,0.5,2,0,2,1,1,2,1,1,1,1,1
flying,ice,1,2,1,2,0.5,1,1,1,0,1,1,0.5,4,1,1,1,2,1
flying,fighting,1,1,1,2,0.5,2,0.5,1,0,2,2,0.25,1,1,1,0.5,1,2
flying,poison,1,1,1,2,0.25,2,0.25,0.5,0,1,2,0.25,2,1,1,1,1,0.5
flying,ground,1,1,2,0,1,4,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1
flying,psychic,1,1,1,2,0.5,2,0.25,1,0,1,0.5,1,2,2,1,2,1,1
flying,bug,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1
flying,rock,0.5,0.5,2,2,1,2,1,0.5,0,0.5,1,0.5,2,1,1,1,2,1
flying,ghost,0,1,1,2,0.5,2,0,0.5,0,1,1,0.25,2,2,1,2,1,1
flying,dragon,1,0.5,0.5,1,0.25,4,0.5,1,0,1,1,0.5,2,1,2,1,1,2
flying,dark,1,1,1,2,0.5,2,1,1,0,1,0,1,2,0.5,1,0.5,1,2
flying,steel,0.5,2,1,2,0.25,1,1,0,0,0.5,0.5,0.25,1,1,0.5,1,0.5,0.5
flying,fairy,1,1,1,2,0.5,2,0.25,2,0,1,1,0.25,2,1,0,0.5,2,1
psychic,,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
psychic,normal,1,1,1,1,1,1,1,1,1,1,0.5,2,1,0,1,2,1,1
psychic,fire,1,0.5,2,1,0.5,0.5,0.5,1,2,1,0.5,1,2,2,1,2,0.5,0.5
psychic,water,1,0.5,0.5,2,2,0.5,0.5,1,1,1,0.5,2,1,2,1,2,0.5,1
psychic,electric,1,1,1,0.5,1,1,0.5,1,2,0.5,0.5,2,1,2,1,2,0.5,1
psychic,grass,1,2,0.5,0.5,0.5,2,0.5,2,0.5,2,0.5,4,1,2,1,2,1,1
psychic,ice,1,2,1,1,1,0.5,1,1,1,1,0.5,2,2,2,1,2,2,1
psychic,fighting,1,1,1,1,1,1,0.5,1,1,2,1,1,0.5,2,1,1,1,2
psychic,poison,1,1,1,1,0.5,1,0.25,0.5,2,1,1,1,1,2,1,2,1,0.5
psychic,ground,1,1,2,0,2,2,0.5,0.5,1,1,0.5,2,0.5,2,1,2,1,1
psychic,flying,1,1,1,2,0.5,2,0.25,1,0,1,0.5,1,2,2,1,2,1,1
psychic,bug,1,2,1,1,0.5,1,0.25,1,0.5,2,0.5,2,2,2,1,2,1,1
psychic,rock,0.5,0.5,2,1,2,1,1,0.5,2,0.5,0.5,2,1,2,1,2,2,1
psychic,ghost,0,1,1,1,1,1,0,0.5,1,1,0.5,1,1,4,1,4,1,1
psychic,dragon,1,0.5,0.5,0.5,0.5,2,0.5,1,1,1,0.5,2,1,2,2,2,1,2
psychic,dark,1,1,1,1,1,1,1,1,1,1,0,4,1,1,1,1,1,2
psychic,steel,0.5,2,1,1,0.5,0.5,1,0,2,0.5,0.25,1,0.5,2,0.5,2,0.5,0.5
psychic,fairy,1,1,1,1,1,1,0.25,2,1,1,0.5,1,1,2,0,1,2,1
bug,,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
bug,normal,1,2,1,1,0.5,1,1,1,0.5,2,1,1,2,0,1,1,1,1
bug,fire,1,1,2,1,0.25,0.5,0.5,1,1,2,1,0.5,4,1,1,1,0.5,0.5
bug,water,1,1,0.5,2,1,0.5,0.5,1,0.5,2,1,1,2,1,1,1,0.5,1
bug,electric,1,2,1,0.5,0.5,1,0.5,1,1,1,1,1,2,1,1,1,0.5,1
bug,grass,1,4,0.5,0.5,0.25,2,0.5,2,0.25,4,1,2,2,1,1,1,1,1
bug,ice,1,4,1,1,0.5,0.5,1,1,0.5,2,1,1,4,1,1,1,2,1
bug,fighting,1,2,1,1,0.5,1,0.5,1,0.5,4,2,0.5,1,1,1,0.5,1,2
bug,poison,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
bug,ground,1,2,2,0,1,2,0.5,0.5,0.5,2,1,1,1,1,1,1,1,1
bug,flying,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1
bug,psychic,1,2,1,1,0.5,1,0.25,1,0.5,2,0.5,2,2,2,1,2,1,1
bug,rock,0.5,1,2,1,1,1,1,0.5,1,1,1,1,2,1,1,1,2,1
bug,ghost,0,2,1,1,0.5,1,0,0.5,0.5,2,1,0.5,2,2,1,2,1,1
bug,dragon,1,1,0.5,0.5,0.25,2,0.5,1,0.5,2,1,1,2,1,2,1,1,2
bug,dark,1,2,1,1,0.5,1,1,1,0.5,2,0,2,2,0.5,1,0.5,1,2
bug,steel,0.5,4,1,1,0.25,0.5,1,0,1,1,0.5,0.5,1,1,0.5,1,0.5,0.5
bug,fairy,1,2,1,1,0.5,1,0.25,2,0.5,2,1,0.5,2,1,0,0.5,2,1
rock,,0.5,0.5,2,1,2,1,2,0.5,2,0.5,1,1,1,1,1,1,2,1
rock,normal,0.5,0.5,2,1,2,1,4,0.5,2,0.5,1,1,1,0,1,1,2,1
rock,fire,0.5,0.25,4,1,1,0.5,2,0.5,4,0.5,1,0.5,2,1,1,1,1,0.5
rock,water,0.5,0.25,1,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,1
rock,electric,0.5,0.5,2,0.5,2,1,2,0.5,4,0.25,1,1,1,1,1,1,1,1
rock,grass,0.5,1,1,0.5,1,2,2,1,1,1,1,2,1,1,1,1,2,1
rock,ice,0.5,1,2,1,2,0.5,4,0.5,2,0.5,1,1,2,1,1,1,4,1
rock,fighting,0.5,0.5,2,1,2,1,2,0.5,2,1,2,0.5,0.5,1,1,0.5,2,2
rock,poison,0.5,0.5,2,1,1,1,1,0.25,4,0.5,2,0.5,1,1,1,1,2,0.5
rock,ground,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1
rock,flying,0.5,0.5,2,2,1,2,1,0.5,0,0.5,1,0.5,2,1,1,1,2,1
rock,psychic,0.5,0.5,2,1,2,1,1,0.5,2,0.5,0.5,2,1,2,1,2,2,1
rock,bug,0.5,1,2,1,1,1,1,0.5,1,1,1,1,2,1,1,1,2,1
rock,ghost,0,0.5,2,1,2,1,0,0.25,2,0.5,1,0.5,1,2,1,2,2,1
rock,dragon,0.5,0.25,1,0.5,1,2,2,0.5,2,0.5,1,1,1,1,2,1,2,2
rock,dark,0.5,0.5,2,1,2,1,4,0.5,2,0.5,0,2,1,0.5,1,0.5,2,2
rock,steel,0.25,1,2,1,1,0.5,4,0,4,0.25,0.5,0.5,0.5,1,0.5,1,1,0.5
rock,fairy,0.5,0.5,2,1,2,1,1,1,2,0.5,1,0.5,1,1,0,0.5,4,1
ghost,,0,1,1,1,1,1,0,0.5,1,1,1,0.5,1,2,1,2,1,1
ghost,normal,0,1,1,1,1,1,0,0.5,1,1,1,0.5,1,0,1,2,1,1
ghost,fire,0,0.5,2,1,0.5,0.5,0,0.5,2,1,1,0.25,2,2,1,2,0.5,0.5
ghost,water,0,0.5,0.5,2,2,0.5,0,0.5,1,1,1,0.5,1,2,1,2,0.5,1
ghost,electric,0,1,1,0.5,1,1,0,0.5,2,0.5,1,0.5,1,2,1,2,0.5,1
ghost,grass,0,2,0.5,0.5,0.5,2,0,1,0.5,2,1,1,1,2,1,2,1,1
ghost,ice,0,2,1,1,1,0.5,0,0.5,1,1,1,0.5,2,2,1,2,2,1
ghost,fighting,0,1,1,1,1,1,0,0.5,1,2,2,0.25,0.5,2,1,1,1,2
ghost,poison,0,1,1,1,0.5,1,0,0.25,2,1,2,0.25,1,2,1,2,1,0.5
ghost,ground,0,1,2,0,2,2,0,0.25,1,1,1,0.5,0.5,2,1,2,1,1
ghost,flying,0,1,1,2,0.5,2,0,0.5,0,1,1,0.25,2,2,1,2,1,1
ghost,psychic,0,1,1,1,1,1,0,0.5,1,1,0.5,1,1,4,1,4,1,1
ghost,bug,0,2,1,1,0.5,1,0,0.5,0.5,2,1,0.5,2,2,1,2,1,1
ghost,rock,0,0.5,2,1,2,1,0,0.25,2,0.5,1,0.5,1,2,1,2,2,1
ghost,dragon,0,0.5,0.5,0.5,0.5,2,0,0.5,1,1,1,0.5,1,2,2,2,1,2
ghost,dark,0,1,1,1,1,1,0,0.5,1,1,0,1,1,1,1,1,1,2
ghost,steel,0,2,1,1,0.5,0.5,0,0,2,0.5,0.5,0.25,0.5,2,0.5,2,0.5,0.5
ghost,fairy,0,1,1,1,1,1,0,1,1,1,1,0.25,1,2,0,1,2,1
dragon,,1,0.5,0.5,0.5,0.5,2,1,1,1,1,1,1,1,1,2,1,1,2
dragon,normal,1,0.5,0.5,0.5,0.5,2,2,1,1,1,1,1,1,0,2,1,1,2
dragon,fire,1,0.25,1,0.5,0.25,1,1,1,2,1,1,0.5,2,1,2,1,0.5,1
dragon,water,1,0.25,0.25,1,1,1,1,1,1,1,1,1,1,1,2,1,0.5,2
dragon,electric,1,0.5,0.5,0.25,0.5,2,1,1,2,0.5,1,1,1,1,2,1,0.5,2
dragon,grass,1,1,0.25,0.25,0.25,4,1,2,0.5,2,1,2,1,1,2,1,1,2
dragon,ice,1,1,0.5,0.5,0.5,1,2,1,1,1,1,1,2,1,2,1,2,2
dragon,fighting,1,0.5,0.5,0.5,0.5,2,1,1,1,2,2,0.5,0.5,1,2,0.5,1,4
dragon,poison,1,0.5,0.5,0.5,0.25,2,0.5,0.5,2,1,2,0.5,1,1,2,1,1,1
dragon,ground,1,0.5,1,0,1,4,1,0.5,1,1,1,1,0.5,1,2,1,1,2
dragon,flying,1,0.5,0.5,1,0.25,4,0.5,1,0,1,1,0.5,2,1,2,1,1,2
dragon,psychic,1,0.5,0.5,0.5,0.5,2,0.5,1,1,1,0.5,2,1,2,2,2,1,2
dragon,bug,1,1,0.5,0.5,0.25,2,0.5,1,0.5,2,1,1,2,1,2,1,1,2
dragon,rock,0.5,0.25,1,0.5,1,2,2,0.5,2,0.5,1,1,1,1,2,1,2,2
dragon,ghost,0,0.5,0.5,0.5,0.5,2,0,0.5,1,1,1,0.5,1,2,2,2,1,2
dragon,dark,1,0.5,0.5,0.5,0.5,2,2,1,1,1,0,2,1,0.5,2,0.5,1,4
dragon,steel,0.5,1,0.5,0.5,0.25,1,2,0,2,0.5,0.5,0.5,0.5,1,1,1,0.5,1
dragon,fairy,1,0.5,0.5,0.5,0.5,2,0.5,2,1,1,1,0.5,1,1,0,0.5,2,2
