id,move,description,type,category,power,accuracy,pp,z-effect,priority,crit
36,Take Down,"A reckless, full-body charge attack for slamming into the target. This also damages the user a little.",Normal,Physical,90,85%,20,175 Power,0,0
37,Thrash,The user rampages and attacks for two to three turns. The user then becomes confused.,Normal,Physical,120,100%,10,190 Power,0,0
38,Double-Edge,"A reckless, life-risking tackle. This also damages the user quite a lot.",Normal,Physical,120,100%,15,190 Power,0,0
39,Tail Whip,"The user wags its tail cutely, making opposing Pokémon less wary and lowering their Defense stat.",Normal,Status,0,100%,30,Attack ↑,0,0
40,Poison Sting,The user stabs the target with a poisonous stinger. This may also poison the target.,Poison,Physical,15,100%,35,100 Power,0,0
41,Twineedle,The user damages the target twice in succession by jabbing it with two spikes. This may also poison the target.,Bug,Physical,25,100%,20,100 Power,0,0
42,Pin Missile,Sharp spikes are shot at the target in rapid succession. They hit two to five times in a row.,Bug,Physical,25,95%,20,140 Power,0,0
43,Leer,The user gives opposing Pokémon an intimidating leer that lowers the Defense stat.,Normal,Status,0,100%,30,Attack ↑,0,0
44,Bite,The target is bitten with viciously sharp fangs. This may also make the target flinch.,Dark,Physical,60,100%,25,120 Power,0,0
45,Growl,"The user growls in an endearing way, making opposing Pokémon less wary. This lowers their Attack stat.",Normal,Status,0,100%,40,Defense ↑,0,0
46,Roar,"The target is scared off, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon.",Normal,Status,0,—,20,Defense ↑,-6,0
47,Sing,A soothing lullaby is sung in a calming voice that puts the target into a deep slumber.,Normal,Status,0,55%,15,Speed ↑,0,0
48,Supersonic,The user generates odd sound waves from its body that confuse the target.,Normal,Status,0,55%,20,Speed ↑,0,0
49,Sonic Boom,The target is hit with a destructive shock wave that always inflicts 20 HP damage.,Normal,Special,—,90%,20,100 Power,0,0
50,Disable,"For four turns, this move prevents the target from using the move it last used.",Normal,Status,0,100%,20,Reset user's stats,0,0
51,Acid,The opposing Pokémon are attacked with a spray of harsh acid. This may also lower their Sp. Def stat.,Poison,Special,40,100%,30,100 Power,0,0
52,Ember,The target is attacked with small flames. This may also leave the target with a burn.,Fire,Special,40,100%,25,100 Power,0,0
53,Flamethrower,The target is scorched with an intense blast of fire. This may also leave the target with a burn.,Fire,Special,90,100%,15,175 Power,0,0
54,Mist,The user cloaks itself and its allies in a white mist that prevents any of their stats from being lowered for five turns.,Ice,Status,0,—,30,Restores user's HP 100%,0,0
55,Water Gun,The target is blasted with a forceful shot of water.,Water,Special,40,100%,25,100 Power,0,0
56,Hydro Pump,The target is blasted by a huge volume of water launched under great pressure.,Water,Special,110,80%,5,185 Power,0,0
57,Surf,The user attacks everything around it by swamping its surroundings with a giant wave.,Water,Special,90,100%,15,175 Power,0,0
58,Ice Beam,The target is struck with an icy-cold beam of energy. This may also leave the target frozen.,Ice,Special,90,100%,10,175 Power,0,0
59,Blizzard,A howling blizzard is summoned to strike opposing Pokémon. This may also leave the opposing Pokémon frozen.,Ice,Special,110,70%,5,185 Power,0,0
60,Psybeam,The target is attacked with a peculiar ray. This may also leave the target confused.,Psychic,Special,65,100%,20,120 Power,0,0
61,Bubble Beam,A spray of bubbles is forcefully ejected at the target. This may also lower its Speed stat.,Water,Special,65,100%,20,120 Power,0,0
62,Aurora Beam,The target is hit with a rainbow-colored beam. This may also lower the target’s Attack stat.,Ice,Special,65,100%,20,120 Power,0,0
63,Hyper Beam,The target is attacked with a powerful beam. The user can’t move on the next turn.,Normal,Special,150,90%,5,200 Power,0,0
64,Peck,The target is jabbed with a sharply pointed beak or horn.,Flying,Physical,35,100%,35,100 Power,0,0
65,Drill Peck,A corkscrewing attack with a sharp beak acting as a drill.,Flying,Physical,80,100%,20,160 Power,0,0
66,Submission,The user grabs the target and recklessly dives for the ground. This also damages the user a little.,Fighting,Physical,80,80%,25,160 Power,0,0
67,Low Kick,"A powerful low kick that makes the target fall over. The heavier the target, the greater the move’s power.",Fighting,Physical,—,100%,20,160 Power,0,0
68,Counter,"A retaliation move that counters any physical attack, inflicting double the damage taken.",Fighting,Physical,—,100%,20,100 Power,-5,0
69,Seismic Toss,The target is thrown using the power of gravity. It inflicts damage equal to the user’s level.,Fighting,Physical,—,100%,20,100 Power,0,0
70,Strength,The target is slugged with a punch thrown at maximum power.,Normal,Physical,80,100%,15,160 Power,0,0
71,Absorb,A nutrient-draining attack. The user’s HP is restored by half the damage taken by the target.,Grass,Special,20,100%,25,100 Power,0,0
72,Mega Drain,A nutrient-draining attack. The user’s HP is restored by half the damage taken by the target.,Grass,Special,40,100%,15,120 Power,0,0
73,Leech Seed,A seed is planted on the target. It steals some HP from the target every turn.,Grass,Status,0,90%,10,Reset user's stats,0,0
74,Growth,"The user’s body grows all at once, raising the Attack and Sp. Atk stats.",Normal,Status,0,—,20,Special Attack ↑,0,0
75,Razor Leaf,Sharp-edged leaves are launched to slash at the opposing Pokémon. Critical hits land more easily.,Grass,Physical,55,95%,25,100 Power,0,1
76,Solar Beam,"In this two-turn attack, the user gathers light, then blasts a bundled beam on the next turn.",Grass,Special,120,100%,10,190 Power,0,0
77,Poison Powder,The user scatters a cloud of poisonous dust that poisons the target.,Poison,Status,0,75%,35,Defense ↑,0,0
78,Stun Spore,The user scatters a cloud of numbing powder that paralyzes the target.,Grass,Status,0,75%,30,Special Defense ↑,0,0
79,Sleep Powder,The user scatters a big cloud of sleep-inducing dust around the target.,Grass,Status,0,75%,15,Speed ↑,0,0
80,Petal Dance,The user attacks the target by scattering petals for two to three turns. The user then becomes confused.,Grass,Special,120,100%,10,190 Power,0,0
81,String Shot,The opposing Pokémon are bound with silk blown from the user’s mouth that harshly lowers the Speed stat.,Bug,Status,0,95%,40,Speed ↑,0,0
82,Dragon Rage,This attack hits the target with a shock wave of pure rage. This attack always inflicts 40 HP damage.,Dragon,Special,—,100%,10,100 Power,0,0
83,Fire Spin,The target becomes trapped within a fierce vortex of fire that rages for four to five turns.,Fire,Special,35,85%,15,100 Power,0,0
84,Thunder Shock,A jolt of electricity crashes down on the target to inflict damage. This may also leave the target with paralysis.,Electric,Special,40,100%,30,100 Power,0,0
85,Thunderbolt,A strong electric blast crashes down on the target. This may also leave the target with paralysis.,Electric,Special,90,100%,15,175 Power,0,0
86,Thunder Wave,The user launches a weak jolt of electricity that paralyzes the target.,Electric,Status,0,90%,20,Special Defense ↑,0,0
87,Thunder,A wicked thunderbolt is dropped on the target to inflict damage. This may also leave the target with paralysis.,Electric,Special,110,70%,10,185 Power,0,0
88,Rock Throw,The user picks up and throws a small rock at the target to attack.,Rock,Physical,50,90%,15,100 Power,0,0
89,Earthquake,The user sets off an earthquake that strikes every Pokémon around it.,Ground,Physical,100,100%,10,180 Power,0,0
90,Fissure,The user opens up a fissure in the ground and drops the target in. The target faints instantly if this attack hits.,Ground,Physical,—,—,5,180 Power,0,0
91,Dig,"The user burrows, then attacks on the next turn.",Ground,Physical,80,100%,10,160 Power,0,0
92,Toxic,A move that leaves the target badly poisoned. Its poison damage worsens every turn.,Poison,Status,0,90%,10,Defense ↑,0,0
93,Confusion,The target is hit by a weak telekinetic force. This may also confuse the target.,Psychic,Special,50,100%,25,100 Power,0,0
94,Psychic,The target is hit by a strong telekinetic force. This may also lower the target’s Sp. Def stat.,Psychic,Special,90,100%,10,175 Power,0,0
95,Hypnosis,The user employs hypnotic suggestion to make the target fall into a deep sleep.,Psychic,Status,0,60%,20,Speed ↑,0,0
96,Meditate,The user meditates to awaken the power deep within its body and raise its Attack stat.,Psychic,Status,0,—,40,Attack ↑,0,0
97,Agility,The user relaxes and lightens its body to move faster. This sharply raises the Speed stat.,Psychic,Status,0,—,30,Reset user's stats,0,0
98,Quick Attack,The user lunges at the target at a speed that makes it almost invisible. This move always goes first.,Normal,Physical,40,100%,30,100 Power,1,0
99,Rage,"As long as this move is in use, the power of rage raises the Attack stat each time the user is hit in battle.",Normal,Physical,20,100%,20,100 Power,0,0
100,Teleport,Use it to flee from any wild Pokémon.,Psychic,Status,0,—,20,Restores user's HP 100%,0,0
101,Night Shade,The user makes the target see a frightening mirage. It inflicts damage equal to the user’s level.,Ghost,Special,—,100%,15,100 Power,0,0
102,Mimic,The user copies the target’s last move. The move can be used during battle until the Pokémon is switched out.,Normal,Status,0,100%,10,Accuracy ↑,0,0
103,Screech,An earsplitting screech harshly lowers the target’s Defense stat.,Normal,Status,0,85%,40,Attack ↑,0,0
104,Double Team,"By moving rapidly, the user makes illusory copies of itself to raise its evasiveness.",Normal,Status,0,—,15,Reset user's stats,0,0
105,Recover,"Restoring its own cells, the user restores its own HP by half of its max HP.",Normal,Status,0,—,10,Reset user's stats,0,0
106,Harden,The user stiffens all the muscles in its body to raise its Defense stat.,Normal,Status,0,—,30,Defense ↑,0,0
107,Minimize,"The user compresses its body to make itself look smaller, which sharply raises its evasiveness.",Normal,Status,0,—,10,Reset user's stats,0,0
108,Smokescreen,The user releases an obscuring cloud of smoke or ink. This lowers the target’s accuracy.,Normal,Status,0,100%,20,Evasiveness ↑,0,0
109,Confuse Ray,The target is exposed to a sinister ray that triggers confusion.,Ghost,Status,0,100%,10,Special Attack ↑,0,0
110,Withdraw,"The user withdraws its body into its hard shell, raising its Defense stat.",Water,Status,0,—,40,Defense ↑,0,0
111,Defense Curl,The user curls up to conceal weak spots and raise its Defense stat.,Normal,Status,0,—,40,Accuracy ↑,0,0
112,Barrier,The user throws up a sturdy wall that sharply raises its Defense stat.,Psychic,Status,0,—,20,Reset user's stats,0,0
113,Light Screen,A wondrous wall of light is put up to reduce damage from special attacks for five turns.,Psychic,Status,0,—,30,Special Defense ↑,0,0
114,Haze,The user creates a haze that eliminates every stat change among all the Pokémon engaged in battle.,Ice,Status,0,—,30,Restores user's HP 100%,0,0
115,Reflect,A wondrous wall of light is put up to reduce damage from physical attacks for five turns.,Psychic,Status,0,—,20,Defense ↑,0,0
116,Focus Energy,The user takes a deep breath and focuses so that critical hits land more easily.,Normal,Status,0,—,30,Accuracy ↑,0,0
117,Bide,"The user endures attacks for two turns, then strikes back to cause double the damage taken.",Normal,Physical,—,100%,10,100 Power,1,0
118,Metronome,The user waggles a finger and stimulates its brain into randomly using nearly any move.,Normal,Status,0,—,10,No additional effect,0,0
119,Mirror Move,The user counters the target by mimicking the target’s last move.,Flying,Status,0,—,20,Attack ↑↑,0,0
120,Self-Destruct,The user attacks everything around it by causing an explosion. The user faints upon using this move.,Normal,Physical,200,100%,5,200 Power,0,0
121,Egg Bomb,A large egg is hurled at the target with maximum force to inflict damage.,Normal,Physical,100,75%,10,180 Power,0,0
122,Lick,"The target is licked with a long tongue, causing damage. This may also leave the target with paralysis.",Ghost,Physical,30,100%,30,100 Power,0,0
123,Smog,The target is attacked with a discharge of filthy gases. This may also poison the target.,Poison,Special,30,70%,20,100 Power,0,0
124,Sludge,Unsanitary sludge is hurled at the target. This may also poison the target.,Poison,Special,65,100%,20,120 Power,0,0
125,Bone Club,The user clubs the target with a bone. This may also make the target flinch.,Ground,Physical,65,85%,20,120 Power,0,0
126,Fire Blast,The target is attacked with an intense blast of all-consuming fire. This may also leave the target with a burn.,Fire,Special,110,85%,5,185 Power,0,0
127,Waterfall,The user charges at the target and may make it flinch.,Water,Physical,80,100%,15,160 Power,0,0
128,Clamp,The target is clamped and squeezed by the user’s very thick and sturdy shell for four to five turns.,Water,Physical,35,85%,10,100 Power,0,0
129,Swift,Star-shaped rays are shot at the opposing Pokémon. This attack never misses.,Normal,Special,60,—,20,120 Power,0,0
130,Skull Bash,"The user tucks in its head to raise its Defense stat on the first turn, then rams the target on the next turn.",Normal,Physical,130,100%,10,195 Power,0,0
131,Spike Cannon,Sharp spikes are shot at the target in rapid succession. They hit two to five times in a row.,Normal,Physical,20,100%,15,100 Power,0,0
132,Constrict,"The target is attacked with long, creeping tentacles, vines, or the like. This may also lower the target’s Speed stat.",Normal,Physical,10,100%,35,100 Power,0,0
133,Amnesia,The user temporarily empties its mind to forget its concerns. This sharply raises the user’s Sp. Def stat.,Psychic,Status,0,—,20,Reset user's stats,0,0
134,Kinesis,The user distracts the target by bending a spoon. This lowers the target’s accuracy.,Psychic,Status,0,80%,15,Evasiveness ↑,0,0
135,Soft-Boiled,The user restores its own HP by up to half of its max HP.,Normal,Status,0,—,10,Reset user's stats,0,0
136,High Jump Kick,"The target is attacked with a knee kick from a jump. If it misses, the user is hurt instead.",Fighting,Physical,130,90%,10,195 Power,0,0
137,Glare,The user intimidates the target with the pattern on its belly to cause paralysis.,Normal,Status,0,100%,30,Special Defense ↑,0,0
138,Dream Eater,The user eats the dreams of a sleeping target. It absorbs half the damage caused to heal its own HP.,Psychic,Special,100,100%,15,180 Power,0,0
139,Poison Gas,"A cloud of poison gas is sprayed in the face of opposing Pokémon, poisoning those hit.",Poison,Status,0,90%,40,Defense ↑,0,0
140,Barrage,Round objects are hurled at the target to strike two to five times in a row.,Normal,Physical,15,85%,20,100 Power,0,0
141,Leech Life,The user drains the target’s blood. The user’s HP is restored by half the damage taken by the target.,Bug,Physical,80,100%,10,160 Power,0,0
142,Lovely Kiss,"With a scary face, the user tries to force a kiss on the target. If it succeeds, the target falls asleep.",Normal,Status,0,75%,10,Speed ↑,0,0
143,Sky Attack,A second-turn attack move where critical hits land more easily. This may also make the target flinch.,Flying,Physical,140,90%,5,200 Power,0,1
144,Transform,The user transforms into a copy of the target right down to having the same move set.,Normal,Status,0,—,10,Restores user's HP 100%,0,0
145,Bubble,A spray of countless bubbles is jetted at the opposing Pokémon. This may also lower their Speed stat.,Water,Special,40,100%,30,100 Power,0,0
146,Dizzy Punch,The target is hit with rhythmically launched punches. This may also leave the target confused.,Normal,Physical,70,100%,10,140 Power,0,0
147,Spore,The user scatters bursts of spores that induce sleep.,Grass,Status,0,100%,15,Reset user's stats,0,0
148,Flash,The user flashes a bright light that cuts the target’s accuracy.,Normal,Status,0,100%,20,Evasiveness ↑,0,0
149,Psywave,The target is attacked with an odd psychic wave. The attack varies in intensity.,Psychic,Special,—,100%,15,100 Power,0,0
150,Splash,The user just flops and splashes around to no effect at all...,Normal,Status,0,—,40,Attack ↑↑↑,0,0
151,Acid Armor,"The user alters its cellular structure to liquefy itself, sharply raising its Defense stat.",Poison,Status,0,—,20,Reset user's stats,0,0
152,Crabhammer,The target is hammered with a large pincer. Critical hits land more easily.,Water,Physical,100,90%,10,180 Power,0,1
153,Explosion,The user attacks everything around it by causing a tremendous explosion. The user faints upon using this move.,Normal,Physical,250,100%,5,200 Power,0,0
154,Fury Swipes,The target is raked with sharp claws or scythes quickly two to five times in a row.,Normal,Physical,18,80%,15,100 Power,0,0
155,Bonemerang,The user throws the bone it holds. The bone loops around to hit the target twice0coming and going.,Ground,Physical,50,90%,10,100 Power,0,0
156,Rest,The user goes to sleep for two turns. This fully restores the user’s HP and heals any status conditions.,Psychic,Status,0,—,10,Reset user's stats,0,0
157,Rock Slide,Large boulders are hurled at the opposing Pokémon to inflict damage. This may also make the opposing Pokémon flinch.,Rock,Physical,75,90%,10,140 Power,0,0
158,Hyper Fang,The user bites hard on the target with its sharp front fangs. This may also make the target flinch.,Normal,Physical,80,90%,15,160 Power,0,0
159,Sharpen,"The user makes its edges more jagged, which raises its Attack stat.",Normal,Status,0,—,30,Attack ↑,0,0
160,Conversion,The user changes its type to become the same type as the move at the top of the list of moves it knows.,Normal,Status,0,—,30,All stats ↑,0,0
161,Tri Attack,"The user strikes with a simultaneous three-beam attack. May also burn, freeze, or paralyze the target.",Normal,Special,80,100%,10,160 Power,0,0
162,Super Fang,The user chomps hard on the target with its sharp front fangs. This cuts the target’s HP in half.,Normal,Physical,—,90%,10,100 Power,0,0
163,Slash,The target is attacked with a slash of claws or blades. Critical hits land more easily.,Normal,Physical,70,100%,20,140 Power,0,1
164,Substitute,The user makes a copy of itself using some of its HP. The copy serves as the user’s decoy.,Normal,Status,0,—,10,Reset user's stats,0,0
165,Struggle,This attack is used in desperation only if the user has no PP. It also damages the user a little.,Normal,Physical,50,—,1,1 Power,0,0
166,Sketch,"It enables the user to permanently learn the move last used by the target. Once used, Sketch disappears.",Normal,Status,0,—,1,All stats ↑,0,0
167,Triple Kick,A consecutive three-kick attack that becomes more powerful with each successive hit.,Fighting,Physical,10,90%,10,120 Power,0,0
168,Thief,The user attacks and steals the target’s held item simultaneously. The user can’t steal anything if it already holds an item.,Dark,Physical,60,100%,25,120 Power,0,0
169,Spider Web,"The user ensnares the target with thin, gooey silk so it can’t flee from battle.",Bug,Status,0,100%,10,Defense ↑,0,0
170,Mind Reader,The user senses the target’s movements with its mind to ensure its next attack does not miss the target.,Normal,Status,0,100%,5,Special Attack ↑,0,0
171,Nightmare,A sleeping target sees a nightmare that inflicts some damage every turn.,Ghost,Status,0,100%,15,Special Attack ↑,0,0
172,Flame Wheel,The user cloaks itself in fire and charges at the target. This may also leave the target with a burn.,Fire,Physical,60,100%,25,120 Power,0,0
173,Snore,This attack can be used only if the user is asleep. The harsh noise may also make the target flinch.,Normal,Special,50,100%,15,100 Power,0,0
174,Curse,A move that works differently for the Ghost type than for all other types.,Ghost,Status,0,—,10,"Restores user's HP 100% if user is Ghost-type, Attack ↑ otherwise",0,0
175,Flail,"The user flails about aimlessly to attack. The less HP the user has, the greater the move’s power.",Normal,Physical,—,100%,15,160 Power,0,0
176,Conversion 2,The user changes its type to make itself resistant to the type of the attack the opponent used last.,Normal,Status,0,100%,30,Restores user's HP 100%,0,0
177,Aeroblast,A vortex of air is shot at the target to inflict damage. Critical hits land more easily.,Flying,Special,100,95%,5,180 Power,0,1
178,Cotton Spore,"The user releases cotton-like spores that cling to the opposing Pokémon, which harshly lowers their Speed stat.",Grass,Status,0,100%,40,Reset user's stats,0,0
179,Reversal,An all-out attack that becomes more powerful the less HP the user has.,Fighting,Physical,—,100%,15,160 Power,0,0
180,Spite,The user unleashes its grudge on the move last used by the target by cutting 4 PP from it.,Ghost,Status,0,100%,10,Restores user's HP 100%,0,0
181,Powder Snow,The user attacks with a chilling gust of powdery snow. This may also freeze the opposing Pokémon.,Ice,Special,40,100%,25,100 Power,0,0
182,Protect,Enables the user to evade all attacks. Its chance of failing rises if it is used in succession.,Normal,Status,0,—,10,Reset user's stats,4,0
183,Mach Punch,The user throws a punch at blinding speed. This move always goes first.,Fighting,Physical,40,100%,30,100 Power,1,0
184,Scary Face,The user frightens the target with a scary face to harshly lower its Speed stat.,Normal,Status,0,100%,10,Speed ↑,0,0
185,Feint Attack,"The user approaches the target disarmingly, then throws a sucker punch. This attack never misses.",Dark,Physical,60,—,20,120 Power,0,0
186,Sweet Kiss,"The user kisses the target with a sweet, angelic cuteness that causes confusion.",Fairy,Status,0,75%,10,Special Attack ↑,0,0
187,Belly Drum,The user maximizes its Attack stat in exchange for HP equal to half its max HP.,Normal,Status,0,—,10,Restores user's HP 100%,0,0
188,Sludge Bomb,Unsanitary sludge is hurled at the target. This may also poison the target.,Poison,Special,90,100%,10,175 Power,0,0
189,Mud-Slap,The user hurls mud in the target’s face to inflict damage and lower its accuracy.,Ground,Special,20,100%,10,100 Power,0,0
190,Octazooka,The user attacks by spraying ink in the target’s face or eyes. This may also lower the target’s accuracy.,Water,Special,65,85%,10,120 Power,0,0
191,Spikes,The user lays a trap of spikes at the opposing team’s feet. The trap hurts Pokémon that switch into battle.,Ground,Status,0,—,20,Defense ↑,0,0
192,Zap Cannon,The user fires an electric blast like a cannon to inflict damage and cause paralysis.,Electric,Special,120,50%,5,190 Power,0,0
193,Foresight,Enables a Ghost-type target to be hit by Normal- and Fighting-type attacks. This also enables an evasive target to be hit.,Normal,Status,0,100%,40,Boosts critical-hit ratio,0,0
194,Destiny Bond,"After using this move, if the user faints, the Pokémon that landed the knockout hit also faints. Its chance of failing rises if it is used in succession.",Ghost,Status,0,—,5,Becomes center of attention,0,0
195,Perish Song,"Any Pokémon that hears this song faints in three turns, unless it switches out of battle.",Normal,Status,0,—,5,Reset user's stats,0,0
196,Icy Wind,The user attacks with a gust of chilled air. This also lowers the opposing Pokémon’s Speed stats.,Ice,Special,55,95%,15,100 Power,0,0
197,Detect,Enables the user to evade all attacks. Its chance of failing rises if it is used in succession.,Fighting,Status,0,—,5,Evasiveness ↑,4,0
198,Bone Rush,The user strikes the target with a hard bone two to five times in a row.,Ground,Physical,25,90%,10,140 Power,0,0
199,Lock-On,The user takes sure aim at the target. This ensures the next attack does not miss the target.,Normal,Status,0,100%,5,Speed ↑,0,0
200,Outrage,The user rampages and attacks for two to three turns. The user then becomes confused.,Dragon,Physical,120,100%,10,190 Power,0,0
201,Sandstorm,"A five-turn sandstorm is summoned to hurt all combatants except the Rock, Ground, and Steel types. It raises the Sp. Def stat of Rock types.",Rock,Status,0,—,10,Speed ↑,0,0
202,Giga Drain,A nutrient-draining attack. The user’s HP is restored by half the damage taken by the target.,Grass,Special,75,100%,10,140 Power,0,0
203,Endure,The user endures any attack with at least 1 HP. Its chance of failing rises if it is used in succession.,Normal,Status,0,—,10,Reset user's stats,3,0
204,Charm,"The user gazes at the target rather charmingly, making it less wary. This harshly lowers its Attack stat.",Fairy,Status,0,100%,20,Defense ↑,0,0
205,Rollout,The user continually rolls into the target over five turns. It becomes more powerful each time it hits.,Rock,Physical,30,90%,20,100 Power,0,0
206,False Swipe,A restrained attack that prevents the target from fainting. The target is left with at least 1 HP.,Normal,Physical,40,100%,40,100 Power,0,0
207,Swagger,"The user enrages and confuses the target. However, this also sharply raises the target’s Attack stat.",Normal,Status,0,85%,15,Reset user's stats,0,0
208,Milk Drink,The user restores its own HP by up to half of its max HP.,Normal,Status,0,—,10,Reset user's stats,0,0
209,Spark,The user throws an electrically charged tackle at the target. This may also leave the target with paralysis.,Electric,Physical,65,100%,20,120 Power,0,0
210,Fury Cutter,The target is slashed with scythes or claws. This attack becomes more powerful if it hits in succession.,Bug,Physical,40,95%,20,100 Power,0,0
211,Steel Wing,The target is hit with wings of steel. This may also raise the user’s Defense stat.,Steel,Physical,70,90%,25,140 Power,0,0
212,Mean Look,"The user pins the target with a dark, arresting look. The target becomes unable to flee.",Normal,Status,0,100%,5,Special Defense ↑,0,0
213,Attract,"If it is the opposite gender of the user, the target becomes infatuated and less likely to attack.",Normal,Status,0,100%,15,Reset user's stats,0,0
214,Sleep Talk,"While it is asleep, the user randomly uses one of the moves it knows.",Normal,Status,0,—,10,Boosts critical-hit ratio,0,0
215,Heal Bell,The user makes a soothing bell chime to heal the status conditions of all the party Pokémon.,Normal,Status,0,—,5,Restores user's HP 100%,0,0
216,Return,This full-power attack grows more powerful the more the user likes its Trainer.,Normal,Physical,—,100%,20,160 Power,0,0
217,Present,"The user attacks by giving the target a gift with a hidden trap. It restores HP sometimes, however.",Normal,Physical,—,90%,15,100 Power,0,0
218,Frustration,This full-power attack grows more powerful the less the user likes its Trainer.,Normal,Physical,—,100%,20,160 Power,0,0
219,Safeguard,The user creates a protective field that prevents status conditions for five turns.,Normal,Status,0,—,25,Speed ↑,0,0
220,Pain Split,"The user adds its HP to the target’s HP, then equally shares the combined HP with the target.",Normal,Status,0,100%,20,Defense ↑,0,0
221,Sacred Fire,The target is razed with a mystical fire of great intensity. This may also leave the target with a burn.,Fire,Physical,100,95%,5,180 Power,0,0
222,Magnitude,The user attacks everything around it with a ground-shaking quake. Its power varies.,Ground,Physical,—,100%,30,140 Power,0,0
223,Dynamic Punch,"The user punches the target with full, concentrated power. This confuses the target if it hits.",Fighting,Physical,100,50%,5,180 Power,0,0
224,Megahorn,"Using its tough and impressive horn, the user rams into the target with no letup.",Bug,Physical,120,85%,10,190 Power,0,0
