id,item,description
22,Paralyze Heal,A spray-type medicine for paralysis. It can be used once to free a Pokémon that has been paralyzed.
23,Full Restore,A medicine that can be used to fully restore the HP of a single Pokémon and heal any status conditions it has.
24,Max Potion,A spray-type medicine for treating wounds. It will completely restore the max HP of a single Pokémon.
25,Hyper Potion,A spray-type medicine for treating wounds. It can be used to restore 120 HP to an injured Pokémon.
26,Super Potion,A spray-type medicine for treating wounds. It can be used to restore 60 HP to an injured Pokémon.
27,Full Heal,A spray-type medicine that is broadly effective. It can be used once to heal all the status conditions of a Pokémon.
28,Revive,A medicine that can revive fainted Pokémon. It also restores half of a fainted Pokémon’s maximum HP.
29,Max Revive,A medicine that can revive fainted Pokémon. It also fully restores a fainted Pokémon’s maximum HP.
30,Fresh Water,"Water with a high mineral content. When consumed, it restores up to 30 HP to an injured Pokémon."
31,Soda Pop,"A highly carbonated soda drink. When consumed, it restores up to 50 HP to an injured Pokémon."
32,Lemonade,"A very sweet and refreshing drink. When consumed, it restores up to 70 HP to an injured Pokémon."
33,Moomoo Milk,"A bottle of highly nutritious milk. When consumed, it restores up to 100 HP to an injured Pokémon."
34,Energy Powder,"A very bitter medicinal powder. When consumed, it restores up to 60 HP to an injured Pokémon."
35,Energy Root,"An extremely bitter medicinal root. When consumed, it restores up to 120 HP to an injured Pokémon."
36,Heal Powder,A very bitter medicinal powder. It can be used once to heal all the status conditions of a Pokémon.
37,Revival Herb,A terribly bitter medicinal herb. It revives a fainted Pokémon and fully restores its maximum HP.
38,Ether,This medicine can restore 10 PP to a single selected move that has been learned by a Pokémon.
39,Max Ether,This medicine can fully restore the PP of a single selected move that has been learned by a Pokémon.
40,Elixir,This medicine can restore 10 PP to each of the moves that have been learned by a Pokémon.
41,Max Elixir,This medicine can fully restore the PP of all of the moves that have been learned by a Pokémon.
42,Lava Cookie,Lavaridge Town’s local specialty. It can be used once to heal all the status conditions of a Pokémon.
43,Berry Juice,"A 100 percent pure juice made of Berries. When consumed, it restores 20 HP to an injured Pokémon."
44,Sacred Ash,"This rare ash can revive all fainted Pokémon in a party. In doing so, it also fully restores their maximum HP."
45,HP Up,"A nutritious drink for Pokémon. When consumed, it raises the base HP of a single Pokémon."
46,Protein,"A nutritious drink for Pokémon. When consumed, it raises the base Attack stat of a single Pokémon."
47,Iron,"A nutritious drink for Pokémon. When consumed, it raises the base Defense stat of a single Pokémon."
48,Carbos,"A nutritious drink for Pokémon. When consumed, it raises the base Speed stat of a single Pokémon."
49,Calcium,"A nutritious drink for Pokémon. When consumed, it raises the base Sp. Atk stat of a single Pokémon."
50,Rare Candy,"A candy that is packed with energy. When consumed, it will instantly raise the level of a single Pokémon by one."
51,PP Up,A medicine that can slightly raise the maximum PP of a single move that has been learned by the target Pokémon.
52,Zinc,"A nutritious drink for Pokémon. When consumed, it raises the base Sp. Def stat of a single Pokémon."
53,PP Max,A medicine that can optimally raise the maximum PP of a single move that has been learned by the target Pokémon.
54,Old Gateau,The Old Chateau’s hidden specialty. It can be used once to heal all the status conditions of a Pokémon.
55,Guard Spec.,An item that prevents stat reduction among the Trainer’s party Pokémon for five turns after it is used in battle.
56,Dire Hit,An item that raises the critical-hit ratio greatly. It can be used only once and wears off if the Pokémon is withdrawn.
57,X Attack,An item that sharply boosts the Attack stat of a Pokémon during a battle. It wears off once the Pokémon is withdrawn.
58,X Defense,An item that sharply boosts the Defense stat of a Pokémon during a battle. It wears off once the Pokémon is withdrawn.
59,X Speed,An item that sharply boosts the Speed stat of a Pokémon during a battle. It wears off once the Pokémon is withdrawn.
60,X Accuracy,An item that sharply boosts the accuracy of a Pokémon during a battle. It wears off once the Pokémon is withdrawn.
61,X Sp. Atk,An item that sharply boosts the Sp. Atk stat of a Pokémon during a battle. It wears off once the Pokémon is withdrawn.
62,X Sp. Def,An item that sharply boosts the Sp. Def stat of a Pokémon during a battle. It wears off once the Pokémon is withdrawn.
63,Poké Doll,A doll that attracts the attention of a Pokémon. It guarantees escape from any battle with wild Pokémon.
64,Fluffy Tail,A toy that attracts the attention of a Pokémon. It guarantees escape from any battle with wild Pokémon.
65,Blue Flute,A flute made from blue glass that awakens sleeping Pokémon.
66,Yellow Flute,A flute made from yellow glass that snaps Pokémon out of confusion.
67,Red Flute,A flute made from red glass that snaps Pokémon out of infatuation.
68,Black Flute,A flute made from black glass. It makes it easier to encounter strong Pokémon in the place you use it.
69,White Flute,A flute made from white glass. It makes it easier to encounter weak Pokémon in the place you use it.
70,Shoal Salt,Salt that you found inside Shoal Cave.
71,Shoal Shell,A seashell that you found inside Shoal Cave.
72,Red Shard,A small red shard. It appears to be a fragment of some sort of implement made long ago.
73,Blue Shard,A small blue shard. It appears to be a fragment of some sort of implement made long ago.
74,Yellow Shard,A small yellow shard. It appears to be a fragment of some sort of implement made long ago.
75,Green Shard,A small green shard. It appears to be a fragment of some sort of implement made long ago.
76,Super Repel,An item that prevents any low-level wild Pokémon from jumping out at you for a while. It lasts longer than Repel.
77,Max Repel,An item that prevents any low-level wild Pokémon from jumping out at you for a while. It lasts longer than Super Repel.
78,Escape Rope,A long and durable rope. Use it to escape instantly from a cave or a dungeon.
79,Repel,An item that prevents any low-level wild Pokémon from jumping out at you for a while.
80,Sun Stone,A peculiar stone that can make certain species of Pokémon evolve. It burns as red as the evening sun.
81,Moon Stone,A peculiar stone that can make certain species of Pokémon evolve. It is as black as the night sky.
82,Fire Stone,A peculiar stone that can make certain species of Pokémon evolve. The stone has a fiery orange heart.
83,Thunder Stone,A peculiar stone that can make certain species of Pokémon evolve. It has a distinct thunderbolt pattern.
84,Water Stone,A peculiar stone that can make certain species of Pokémon evolve. It is the blue of a pool of clear water.
85,Leaf Stone,A peculiar stone that can make certain species of Pokémon evolve. It has an unmistakable leaf pattern.
86,Tiny Mushroom,A very small and rare mushroom. It’s popular with a certain class of collectors and sought out by them.
87,Big Mushroom,A very large and rare mushroom. It’s popular with a certain class of collectors and sought out by them.
88,Pearl,A rather small pearl that has a very nice silvery sheen to it. It can be sold cheaply to shops.
89,Big Pearl,A rather large pearl that has a very nice silvery sheen. It can be sold to shops for a high price.
90,Stardust,"Lovely red sand that flows between the fingers with a loose, silky feel. It can be sold at a low price to shops."
91,Star Piece,A small shard of a beautiful gem that demonstrates a distinctly red sparkle. It can be sold at a high price to shops.
92,Nugget,A nugget of the purest gold that gives off a lustrous gleam in direct light. It can be sold at a high price to shops.
93,Heart Scale,"A pretty, heart-shaped scale that is extremely rare. Some people are happy to receive one."
94,Honey,"A sweet honey with a lush aroma that attracts wild Pokémon when it is used in tall grass, in caves, or on special trees."
95,Growth Mulch,"A fertilizer for growing Berries. However, it appears to be unsuitable for the soil in the Hoenn region and has no effect."
96,Damp Mulch,"A fertilizer for growing Berries. However, it appears to be unsuitable for the soil in the Hoenn region and has no effect."
97,Stable Mulch,"A fertilizer for growing Berries. However, it appears to be unsuitable for the soil in the Hoenn region and has no effect."
98,Gooey Mulch,"A fertilizer for growing Berries. However, it appears to be unsuitable for the soil in the Hoenn region and has no effect."
99,Root Fossil,A fossil from a prehistoric Pokémon that once lived in the sea. It looks as if it could be part of a plant’s root.
100,Claw Fossil,A fossil from a prehistoric Pokémon that once lived in the sea. It appears to be a fragment of a claw.
101,Helix Fossil,A fossil from a prehistoric Pokémon that once lived in the sea. It might be a piece of a seashell.
102,Dome Fossil,A fossil from a prehistoric Pokémon that once lived in the sea. It could be a shell or carapace.
103,Old Amber,"A piece of amber that still contains the genetic material of an ancient Pokémon. It’s clear with a tawny, reddish tint."
104,Armor Fossil,A fossil from a prehistoric Pokémon that once lived on the land. It looks to be from some kind of protective collar.
105,Skull Fossil,A fossil from a prehistoric Pokémon that once lived on the land. It appears as though it’s part of a head.
106,Rare Bone,A rare bone that is extremely valuable for the study of Pokémon archeology. It can be sold for a high price to shops.
107,Shiny Stone,A peculiar stone that can make certain species of Pokémon evolve. It shines with a dazzling light.
108,Dusk Stone,A peculiar stone that can make certain species of Pokémon evolve. It holds shadows as dark as can be.
109,Dawn Stone,A peculiar stone that can make certain species of Pokémon evolve. It sparkles like a glittering eye.
110,Oval Stone,A peculiar stone that can make certain species of Pokémon evolve. It’s as round as a Pokémon Egg.
111,Odd Keystone,A vital item that is needed to keep a stone tower from collapsing. Voices can be heard from it occasionally.
112,Griseous Orb,A glowing orb to be held by Giratina. It boosts the power of Dragon- and Ghost-type moves when it is held.
113,???,- - -
114,???,- - -
115,???,- - -
116,Douse Drive,A cassette to be held by Genesect. It changes Genesect’s Techno Blast move so it becomes Water type.
117,Shock Drive,A cassette to be held by Genesect. It changes Genesect’s Techno Blast move so it becomes Electric type.
118,Burn Drive,A cassette to be held by Genesect. It changes Genesect’s Techno Blast move so it becomes Fire type.
119,Chill Drive,A cassette to be held by Genesect. It changes Genesect’s Techno Blast move so it becomes Ice type.
120,???,- - -
121,???,- - -
122,???,- - -
123,???,- - -
124,???,- - -
125,???,- - -
126,???,- - -
127,???,- - -
128,???,- - -
129,???,- - -
130,???,- - -
131,???,- - -
132,???,- - -
133,???,- - -
134,Sweet Heart,"A piece of cloyingly sweet chocolate. When consumed, it restores 20 HP to an injured Pokémon."
135,Adamant Orb,A brightly gleaming orb to be held by Dialga. It boosts the power of Dragon- and Steel-type moves when it is held.
136,Lustrous Orb,A beautifully glowing orb to be held by Palkia. It boosts the power of Dragon- and Water-type moves when it is held.
137,Greet Mail,Stationery designed to be easy to use when writing someone for the first time. Have a Pokémon hold it for delivery.
138,Favored Mail,Stationery designed to make it easier to write about your favorite things. Have a Pokémon hold it for delivery.
139,RSVP Mail,Stationery designed to allow you to extend an invitation to the recipient. Have a Pokémon hold it for delivery.
140,Thanks Mail,Stationery designed to make it easy for you to express thanks. Have a Pokémon hold it for delivery.
141,Inquiry Mail,Stationery designed to make it easier to pose a question about something. Have a Pokémon hold it for delivery.
142,Like Mail,Stationery designed to allow you to recommend something to the reader. Have a Pokémon hold it for delivery.
143,Reply Mail,Stationery designed to make it easy to respond to a letter you received. Have a Pokémon hold it for delivery.
144,Bridge Mail S,Stationery featuring an illustration of a bridge that seems to pierce the sky. Have a Pokémon hold it for delivery.
145,Bridge Mail D,Stationery featuring an illustration of a bright-red drawbridge. Have a Pokémon hold it for delivery.
146,Bridge Mail T,Stationery featuring an illustration of a high-tension steel suspension bridge. Have a Pokémon hold it for delivery.
147,Bridge Mail V,Stationery featuring an illustration of a vintage-looking brick bridge. Have a Pokémon hold it for delivery.
148,Bridge Mail M,Stationery featuring an illustration of a majestically arched bridge. Have a Pokémon hold it for delivery.
149,Cheri Berry,"A Berry to be consumed by Pokémon. If a Pokémon holds one, it can recover from paralysis on its own in battle."
150,Chesto Berry,"A Berry to be consumed by Pokémon. If a Pokémon holds one, it can recover from sleep on its own in battle."
151,Pecha Berry,"A Berry to be consumed by Pokémon. If a Pokémon holds one, it can recover from poisoning on its own in battle."
152,Rawst Berry,"A Berry to be consumed by Pokémon. If a Pokémon holds one, it can recover from a burn on its own in battle."
153,Aspear Berry,"A Berry to be consumed by Pokémon. If a Pokémon holds one, it can recover from being frozen on its own in battle."
154,Leppa Berry,"A Berry to be consumed by Pokémon. If a Pokémon holds one, it can restore 10 PP to a depleted move during battle."
155,Oran Berry,"A Berry to be consumed by Pokémon. If a Pokémon holds one, it can restore its own HP by 10 points during battle."
156,Persim Berry,"A Berry to be consumed by Pokémon. If a Pokémon holds one, it can recover from confusion on its own in battle."
157,Lum Berry,"A Berry to be consumed by Pokémon. If a Pokémon holds one, it can recover from any status condition during battle."
158,Sitrus Berry,"A Berry to be consumed by Pokémon. If a Pokémon holds one, it can restore its own HP by a small amount during battle."
159,Figy Berry,"If held by a Pokémon, it restores the user’s HP in a pinch, but it will cause confusion if the user hates the taste."
160,Wiki Berry,"If held by a Pokémon, it restores the user’s HP in a pinch, but it will cause confusion if the user hates the taste."
161,Mago Berry,"If held by a Pokémon, it restores the user’s HP in a pinch, but it will cause confusion if the user hates the taste."
162,Aguav Berry,"If held by a Pokémon, it restores the user’s HP in a pinch, but it will cause confusion if the user hates the taste."
163,Iapapa Berry,"If held by a Pokémon, it restores the user’s HP in a pinch, but it will cause confusion if the user hates the taste."
164,Razz Berry,Used to make Pokéblocks that will enhance your Coolness. Its red flesh is spicy when eaten.
165,Bluk Berry,Used to make Pokéblocks that will enhance your Beauty. Its blue flesh is sour when eaten.
166,Nanab Berry,Used to make Pokéblocks that will enhance your Cuteness. Its pink flesh is sweet when eaten.
167,Wepear Berry,Used to make Pokéblocks that will enhance your Cleverness. Its green flesh is bitter when eaten.
168,Pinap Berry,Used to make Pokéblocks that will enhance your Toughness. Its yellow flesh is sour when eaten.
169,Pomeg Berry,A Berry to be consumed by Pokémon. Using it on a Pokémon makes it more friendly but lowers its base HP.
170,Kelpsy Berry,A Berry to be consumed by Pokémon. Using it on a Pokémon makes it more friendly but lowers its base Attack.
171,Qualot Berry,A Berry to be consumed by Pokémon. Using it on a Pokémon makes it more friendly but lowers its base Defense.
172,Hondew Berry,A Berry to be consumed by Pokémon. Using it on a Pokémon makes it more friendly but lowers its base Sp. Atk.
173,Grepa Berry,A Berry to be consumed by Pokémon. Using it on a Pokémon makes it more friendly but lowers its base Sp. Def.
174,Tamato Berry,A Berry to be consumed by Pokémon. Using it on a Pokémon makes it more friendly but lowers its base Speed.
175,Cornn Berry,"Used to make Pokéblocks that will enhance your Beauty, this Berry is rare in other regions."
176,Magost Berry,"Used to make Pokéblocks that will enhance your Cuteness, this Berry is rare in other regions."
177,Rabuta Berry,"Used to make Pokéblocks that will enhance your Cleverness, this Berry is rare in other regions."
178,Nomel Berry,"Used to make Pokéblocks that will enhance your Toughness, this Berry is rare in other regions."
179,Spelon Berry,"Used to make Pokéblocks that will enhance your Cuteness, this Berry is rare in other regions."
180,Pamtre Berry,"Used to make Pokéblocks that will enhance your Beauty, this Berry is rare in other regions."
181,Watmel Berry,"Used to make Pokéblocks that will enhance your Cleverness, this Berry is rare in other regions."
182,Durin Berry,"Used to make Pokéblocks that will enhance your Cleverness, this Berry is rare in other regions."
183,Belue Berry,"Used to make Pokéblocks that will enhance your Beauty, this Berry is rare in other regions."
184,Occa Berry,"If held by a Pokémon, this Berry will lessen the damage taken from one supereffective Fire-type attack."
185,Passho Berry,"If held by a Pokémon, this Berry will lessen the damage taken from one supereffective Water-type attack."
186,Wacan Berry,"If held by a Pokémon, this Berry will lessen the damage taken from one supereffective Electric-type attack."
187,Rindo Berry,"If held by a Pokémon, this Berry will lessen the damage taken from one supereffective Grass-type attack."
188,Yache Berry,"If held by a Pokémon, this Berry will lessen the damage taken from one supereffective Ice-type attack."
189,Chople Berry,"If held by a Pokémon, this Berry will lessen the damage taken from one supereffective Fighting-type attack."
190,Kebia Berry,"If held by a Pokémon, this Berry will lessen the damage taken from one supereffective Poison-type attack."
191,Shuca Berry,"If held by a Pokémon, this Berry will lessen the damage taken from one supereffective Ground-type attack."
192,Coba Berry,"If held by a Pokémon, this Berry will lessen the damage taken from one supereffective Flying-type attack."
193,Payapa Berry,"If held by a Pokémon, this Berry will lessen the damage taken from one supereffective Psychic-type attack."
194,Tanga Berry,"If held by a Pokémon, this Berry will lessen the damage taken from one supereffective Bug-type attack."
195,Charti Berry,"If held by a Pokémon, this Berry will lessen the damage taken from one supereffective Rock-type attack."
196,Kasib Berry,"If held by a Pokémon, this Berry will lessen the damage taken from one supereffective Ghost-type attack."
197,Haban Berry,"If held by a Pokémon, this Berry will lessen the damage taken from one supereffective Dragon-type attack."
198,Colbur Berry,"If held by a Pokémon, this Berry will lessen the damage taken from one supereffective Dark-type attack."
199,Babiri Berry,"If held by a Pokémon, this Berry will lessen the damage taken from one supereffective Steel-type attack."
200,Chilan Berry,"If held by a Pokémon, this Berry will lessen the damage taken from one Normal-type attack."
201,Liechi Berry,"A Berry to be consumed by Pokémon. If a Pokémon holds one, its Attack stat will increase when it’s in a pinch."
202,Ganlon Berry,"A Berry to be consumed by Pokémon. If a Pokémon holds one, its Defense stat will increase when it’s in a pinch."
203,Salac Berry,"A Berry to be consumed by Pokémon. If a Pokémon holds one, its Speed stat will increase when it’s in a pinch."
204,Petaya Berry,"A Berry to be consumed by Pokémon. If a Pokémon holds one, its Sp. Atk stat will increase when it’s in a pinch."
205,Apicot Berry,"A Berry to be consumed by Pokémon. If a Pokémon holds one, its Sp. Def stat will increase when it’s in a pinch."
206,Lansat Berry,"A Berry to be consumed by Pokémon. If a Pokémon holds one, its critical-hit ratio will increase when it’s in a pinch."
207,Starf Berry,"A Berry to be consumed by Pokémon. If a Pokémon holds one, one of its stats will sharply increase when it’s in a pinch."
208,Enigma Berry,"A Berry to be consumed by Pokémon. If a Pokémon holds one, being hit by a supereffective attack will restore its HP."
209,Micle Berry,"A Berry to be consumed by Pokémon. If a Pokémon holds one, its accuracy will increase just once when it’s in a pinch."
210,Custap Berry,"A Berry to be consumed by Pokémon. If a Pokémon holds one, it will be able to move first just once when it’s in a pinch."
211,Jaboca Berry,"A Berry to be consumed by Pokémon. If a physical attack hits the Pokémon holding it, the attacker will also be hurt."
212,Rowap Berry,"A Berry to be consumed by Pokémon. If a special attack hits the Pokémon holding it, the attacker will also be hurt."
213,Bright Powder,An item to be held by a Pokémon. It casts a tricky glare that lowers the opposing Pokémon’s accuracy.
214,White Herb,An item to be held by a Pokémon. It will restore any lowered stat in battle. It can be used only once.
215,Macho Brace,"An item to be held by a Pokémon. This stiff, heavy brace helps Pokémon grow strong but cuts Speed in battle."
216,Exp. Share,Turning on this special device will allow all the Pokémon on your team to receive Exp. Points from battles.
217,Quick Claw,"An item to be held by a Pokémon. This light, sharp claw lets the bearer move first occasionally."
218,Soothe Bell,"An item to be held by a Pokémon. The comforting chime of this bell calms the holder, making it friendly."
219,Mental Herb,An item to be held by a Pokémon. The holder shakes off move-binding effects to move freely. It can be used only once.
220,Choice Band,An item to be held by a Pokémon. This curious headband boosts Attack but only allows the use of one move.
221,King’s Rock,"An item to be held by a Pokémon. When the holder successfully inflicts damage, the target may also flinch."
222,Silver Powder,"An item to be held by a Pokémon. It’s a shiny, silver powder that will boost the power of Bug-type moves."
223,Amulet Coin,An item to be held by a Pokémon. It doubles any prize money received if the holding Pokémon joins a battle.
224,Cleanse Tag,An item to be held by a Pokémon. It helps keep wild Pokémon away if the holder is the head of the party.
225,Soul Dew,A wondrous orb to be held by either Latios or Latias. It raises the power of Psychic- and Dragon-type moves.
226,Deep Sea Tooth,An item to be held by Clamperl. This fang gleams a sharp silver and raises the holder’s Sp. Atk stat.
227,Deep Sea Scale,An item to be held by Clamperl. This scale shines with a faint pink and raises the holder’s Sp. Def stat.
228,Smoke Ball,An item to be held by a Pokémon. It enables the holder to flee from any wild Pokémon encounter without fail.
229,Everstone,An item to be held by a Pokémon. A Pokémon holding this peculiar stone is prevented from evolving.
230,Focus Band,"An item to be held by a Pokémon. The holder may endure a potential KO attack, leaving it with just 1 HP."
231,Lucky Egg,An item to be held by a Pokémon. It’s an egg filled with happiness that earns extra Exp. Points in battle.
232,Scope Lens,An item to be held by a Pokémon. It’s a lens for scoping out weak points. It boosts the holder’s critical-hit ratio.
233,Metal Coat,An item to be held by a Pokémon. It’s a special metallic film that can boost the power of Steel-type moves.
234,Leftovers,An item to be held by a Pokémon. The holder’s HP is slowly but steadily restored throughout every battle.
235,Dragon Scale,A very tough and inflexible scale. Dragon-type Pokémon may be holding this item when caught.
236,Light Ball,An item to be held by Pikachu. It’s a puzzling orb that boosts its Attack and Sp. Atk stats.
237,Soft Sand,"An item to be held by a Pokémon. It’s a loose, silky sand that boosts the power of Ground-type moves."
238,Hard Stone,An item to be held by a Pokémon. It’s a durable stone that boosts the power of Rock-type moves.
239,Miracle Seed,An item to be held by a Pokémon. It’s a seed imbued with life force that boosts the power of Grass-type moves.
240,Black Glasses,An item to be held by a Pokémon. A pair of shady-looking glasses that boost the power of Dark-type moves.
241,Black Belt,An item to be held by a Pokémon. This belt helps the wearer to focus and boosts the power of Fighting-type moves.
242,Magnet,An item to be held by a Pokémon. It’s a powerful magnet that boosts the power of Electric-type moves.
243,Mystic Water,An item to be held by a Pokémon. This teardrop-shaped gem boosts the power of Water-type moves.
244,Sharp Beak,"An item to be held by a Pokémon. It’s a long, sharp beak that boosts the power of Flying-type moves."
245,Poison Barb,"An item to be held by a Pokémon. This small, poisonous barb boosts the power of Poison-type moves."
246,Never-Melt Ice,An item to be held by a Pokémon. It’s a heat- repelling piece of ice that boosts the power of Ice-type moves.
247,Spell Tag,"An item to be held by a Pokémon. It’s a sinister, eerie tag that boosts the power of Ghost-type moves."
248,Twisted Spoon,An item to be held by a Pokémon. This spoon is imbued with telekinetic power and boosts Psychic-type moves.
249,Charcoal,An item to be held by a Pokémon. It’s a combustible fuel that boosts the power of Fire-type moves.
250,Dragon Fang,An item to be held by a Pokémon. This hard and sharp fang boosts the power of Dragon-type moves.
251,Silk Scarf,An item to be held by a Pokémon. It’s a sumptuous scarf that boosts the power of Normal-type moves.
252,Up-Grade,A transparent device somehow filled with all sorts of data. It was produced by Silph Co.
253,Shell Bell,An item to be held by a Pokémon. The holder regains a little HP every time it inflicts damage on others.
254,Sea Incense,An item to be held by a Pokémon. This incense has a curious aroma that boosts the power of Water-type moves.
255,Lax Incense,An item to be held by a Pokémon. The beguiling aroma of this incense may cause attacks to miss its holder.
256,Lucky Punch,An item to be held by Chansey. This pair of lucky boxing gloves will boost Chansey’s critical-hit ratio.
257,Metal Powder,"An item to be held by Ditto. Extremely fine yet hard, this odd powder boosts the Defense stat."
258,Thick Club,An item to be held by Cubone or Marowak. It’s a hard bone of some sort that boosts the Attack stat.
259,Stick,An item to be held by Farfetch’d. This very long and stiff stalk of leek boosts its critical-hit ratio.
260,Red Scarf,"An item to be held by a Pokémon. During a contest, it raises the Cool aspect of the Pokémon holding it."
261,Blue Scarf,"An item to be held by a Pokémon. During a contest, it raises the Beauty aspect of the Pokémon holding it."
262,Pink Scarf,"An item to be held by a Pokémon. During a contest, it raises the Cute aspect of the Pokémon holding it."
263,Green Scarf,"An item to be held by a Pokémon. During a contest, it raises the Clever aspect of the Pokémon holding it."
264,Yellow Scarf,"An item to be held by a Pokémon. During a contest, it raises the Tough aspect of the Pokémon holding it."
265,Wide Lens,An item to be held by a Pokémon. It’s a magnifying lens that slightly boosts the accuracy of moves.
266,Muscle Band,"An item to be held by a Pokémon. This headband exudes strength, slightly boosting the power of physical moves."
267,Wise Glasses,An item to be held by a Pokémon. This thick pair of glasses slightly boosts the power of special moves.
268,Expert Belt,An item to be held by a Pokémon. It’s a well-worn belt that slightly boosts the power of supereffective moves.
269,Light Clay,An item to be held by a Pokémon. Protective moves like Light Screen and Reflect will be effective longer.
270,Life Orb,"An item to be held by a Pokémon. It boosts the power of moves, but at the cost of some HP on each hit."
271,Power Herb,A single-use item to be held by a Pokémon. It allows the holder to immediately use a move that normally requires a turn to charge.
272,Toxic Orb,An item to be held by a Pokémon. It’s a bizarre orb that will badly poison the holder during battle.
273,Flame Orb,An item to be held by a Pokémon. It’s a bizarre orb that will afflict the holder with a burn during battle.
274,Quick Powder,"An item to be held by Ditto. Extremely fine yet hard, this odd powder boosts the Speed stat."
275,Focus Sash,"An item to be held by a Pokémon. If the holder has full HP, it will endure a potential KO attack with 1 HP. The item then disappears."
276,Zoom Lens,"An item to be held by a Pokémon. If the holder moves after its target moves, its accuracy will be boosted."
277,Metronome,"An item to be held by a Pokémon. It boosts moves used consecutively, but only until a different move is used."
278,Iron Ball,An item to be held by a Pokémon. It lowers Speed and allows Ground-type moves to hit Flying-type and levitating holders.
279,Lagging Tail,An item to be held by a Pokémon. It is tremendously heavy and makes the holder move slower than usual.
280,Destiny Knot,"An item to be held by a Pokémon. If the holder becomes infatuated, the opposing Pokémon will be, too."
281,Black Sludge,An item to be held by a Pokémon. It gradually restores HP to Poison-type Pokémon. It damages any other type.
282,Icy Rock,An item to be held by a Pokémon. It extends the duration of the move Hail when used by the holder.
283,Smooth Rock,An item to be held by a Pokémon. It extends the duration of the move Sandstorm when used by the holder.
284,Heat Rock,An item to be held by a Pokémon. It extends the duration of the move Sunny Day when used by the holder.
285,Damp Rock,An item to be held by a Pokémon. It extends the duration of the move Rain Dance when used by the holder.
286,Grip Claw,An item to be held by a Pokémon. It extends the duration of multi-turn attacks like Bind and Wrap.
287,Choice Scarf,An item to be held by a Pokémon. This curious scarf boosts Speed but only allows the use of one move.
288,Sticky Barb,An item to be held by a Pokémon. It damages the holder every turn and may latch on to Pokémon that touch the holder.
289,Power Bracer,An item to be held by a Pokémon. It reduces Speed but allows the holder’s Attack stat to grow more after battling.
290,Power Belt,An item to be held by a Pokémon. It reduces Speed but allows the holder’s Defense stat to grow more after battling.
291,Power Lens,An item to be held by a Pokémon. It reduces Speed but allows the holder’s Sp. Atk stat to grow more after battling.
292,Power Band,An item to be held by a Pokémon. It reduces Speed but allows the holder’s Sp. Def stat to grow more after battling.
293,Power Anklet,An item to be held by a Pokémon. It reduces Speed but allows the holder’s Speed stat to grow more after battling.
294,Power Weight,An item to be held by a Pokémon. It reduces Speed but allows the holder’s maximum HP to grow more after battling.
295,Shed Shell,An item to be held by a Pokémon. This discarded carapace enables the holder to switch out of battle without fail.
296,Big Root,An item to be held by a Pokémon. It boosts the amount of HP the holder recovers from HP-stealing moves.
297,Choice Specs,An item to be held by a Pokémon. These curious glasses boost Sp. Atk but only allow the use of one move.
298,Flame Plate,An item to be held by a Pokémon. It’s a stone tablet that boosts the power of Fire-type moves.
299,Splash Plate,An item to be held by a Pokémon. It’s a stone tablet that boosts the power of Water-type moves.
300,Zap Plate,An item to be held by a Pokémon. It’s a stone tablet that boosts the power of Electric-type moves.
301,Meadow Plate,An item to be held by a Pokémon. It’s a stone tablet that boosts the power of Grass-type moves.
