ndex,species,forme,move1,move2,move3,move4,move5,move6,move7,move8,move9,move10,move11,move12,move13,move14,move15,move16,move17,move18,move19,move20,move21,move22,move23,move24,move25,move26,move27,move28,move29,move30,move31,move32,move33,move34,move35,move36,move37,move38,move39,move40,move41,move42,move43,move44,move45,move46,move47,move48,move49,move50,move51,move52,move53,move54,move55,move56,move57,move58,move59,move60,move61,move62,move63,move64,move65,move66,move67,move68,move69,move70,move71,move72,move73,move74,move75,move76,move77,move78,move79,move80,move81,move82,move83,move84,move85,move86,move87,move88,move89,move90,move91,move92,move93,move94,move95,move96,move97,move98,move99,move100,move101,move102,move103,move104,move105,move106,move107,move108,move109,move110,move111,move112,move113,move114,move115,move116,move117,move118,move119,move120,move121,move122,move123,move124,move125,move126,move127,move128,move129,move130,move131,move132,move133,move134,move135,move136,move137,move138,move139,move140,move141,move142,move143,move144,move145,move146,move147,move148,move149,move150,move151,move152,move153,move154,move155,move156,move157,move158,move159,move160,move161,move162,move163,move164,move165,move166,move167,move168,move169,move170,move171,move172,move173,move174
57,Primeape,Primeape,Start - Rage,Start - Final Gambit,Start - Fling,Start - Scratch,Start - Low Kick,Start - Leer,Start - Focus Energy,L5 - Fury Swipes,L8 - Karate Chop,L12 - Pursuit,L15 - Seismic Toss,L19 - Swagger,L22 - Cross Chop,L26 - Assurance,L30 - Punishment,L35 - Thrash,L39 - Close Combat,L44 - Screech,L48 - Stomping Tantrum,L53 - Outrage,L57 - Final Gambit,TM01 - Work Up,TM06 - Toxic,TM08 - Bulk Up,TM10 - Hidden Power,TM11 - Sunny Day,TM12 - Taunt,TM15 - Hyper Beam,TM17 - Protect,TM18 - Rain Dance,TM21 - Frustration,TM23 - Smack Down,TM24 - Thunderbolt,TM25 - Thunder,TM26 - Earthquake,TM27 - Return,TM31 - Brick Break,TM32 - Double Team,TM39 - Rock Tomb,TM40 - Aerial Ace,TM42 - Facade,TM44 - Rest,TM45 - Attract,TM46 - Thief,TM47 - Low Sweep,TM48 - Round,TM50 - Overheat,TM52 - Focus Blast,TM56 - Fling,TM62 - Acrobatics,TM66 - Payback,TM68 - Giga Impact,TM71 - Stone Edge,TM78 - Bulldoze,TM80 - Rock Slide,TM84 - Poison Jab,TM87 - Swagger,TM88 - Sleep Talk,TM89 - U-turn,TM90 - Substitute,TM100 - Confide,Egg - Foresight,Egg - Meditate,Egg - Counter,Egg - Reversal,Egg - Beat Up,Egg - Revenge,Egg - Smelling Salts,Egg - Close Combat,Egg - Encore,Egg - Focus Punch,Egg - Sleep Talk,Egg - Night Slash,Egg - Power Trip,ORAS - Covet,ORAS - Dual Chop,ORAS - Seed Bomb,ORAS - Low Kick,ORAS - Gunk Shot,ORAS - Uproar,ORAS - Thunder Punch,ORAS - Fire Punch,ORAS - Ice Punch,ORAS - Iron Tail,ORAS - Snore,ORAS - Role Play,ORAS - Focus Punch,ORAS - Spite,ORAS - Helping Hand,ORAS - Endeavor,ORAS - Outrage,Prev - Covet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Growlithe,Growlithe,Start - Bite,Start - Roar,L6 - Ember,L8 - Leer,L10 - Odor Sleuth,L12 - Helping Hand,L17 - Flame Wheel,L19 - Reversal,L21 - Fire Fang,L23 - Take Down,L28 - Flame Burst,L30 - Agility,L32 - Retaliate,L34 - Flamethrower,L39 - Crunch,L41 - Heat Wave,L43 - Outrage,L45 - Flare Blitz,TM05 - Roar,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM17 - Protect,TM20 - Safeguard,TM21 - Frustration,TM27 - Return,TM32 - Double Team,TM35 - Flamethrower,TM38 - Fire Blast,TM40 - Aerial Ace,TM42 - Facade,TM43 - Flame Charge,TM44 - Rest,TM45 - Attract,TM46 - Thief,TM48 - Round,TM50 - Overheat,TM61 - Will-O-Wisp,TM87 - Swagger,TM88 - Sleep Talk,TM90 - Substitute,TM93 - Wild Charge,TM95 - Snarl,TM100 - Confide,Egg - Body Slam,Egg - Crunch,Egg - Thrash,Egg - Fire Spin,Egg - Howl,Egg - Heat Wave,Egg - Double-Edge,Egg - Flare Blitz,Egg - Morning Sun,Egg - Covet,Egg - Iron Tail,Egg - Double Kick,Egg - Close Combat,Egg - Burn Up,ORAS - Covet,ORAS - Iron Tail,ORAS - Snore,ORAS - Heat Wave,ORAS - Helping Hand,ORAS - Outrage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Arcanine,Arcanine,Start - Thunder Fang,Start - Bite,Start - Roar,Start - Odor Sleuth,Start - Fire Fang,L34 - Extreme Speed,TM05 - Roar,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM15 - Hyper Beam,TM17 - Protect,TM20 - Safeguard,TM21 - Frustration,TM22 - Solar Beam,TM27 - Return,TM32 - Double Team,TM35 - Flamethrower,TM38 - Fire Blast,TM40 - Aerial Ace,TM42 - Facade,TM43 - Flame Charge,TM44 - Rest,TM45 - Attract,TM46 - Thief,TM48 - Round,TM50 - Overheat,TM61 - Will-O-Wisp,TM68 - Giga Impact,TM78 - Bulldoze,TM87 - Swagger,TM88 - Sleep Talk,TM90 - Substitute,TM93 - Wild Charge,TM95 - Snarl,TM100 - Confide,Egg - Body Slam,Egg - Crunch,Egg - Thrash,Egg - Fire Spin,Egg - Howl,Egg - Heat Wave,Egg - Double-Edge,Egg - Flare Blitz,Egg - Morning Sun,Egg - Covet,Egg - Iron Tail,Egg - Double Kick,Egg - Close Combat,Egg - Burn Up,ORAS - Covet,ORAS - Iron Head,ORAS - Dragon Pulse,ORAS - Iron Tail,ORAS - Snore,ORAS - Heat Wave,ORAS - Helping Hand,ORAS - Outrage,Prev - Ember,Prev - Leer,Prev - Helping Hand,Prev - Flame Wheel,Prev - Reversal,Prev - Take Down,Prev - Flame Burst,Prev - Agility,Prev - Retaliate,Prev - Flamethrower,Prev - Crunch,Prev - Heat Wave,Prev - Outrage,Prev - Flare Blitz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Poliwag,Poliwag,Start - Water Sport,L5 - Water Gun,L8 - Hypnosis,L11 - Bubble,L15 - Double Slap,L18 - Rain Dance,L21 - Body Slam,L25 - Bubble Beam,L28 - Mud Shot,L31 - Belly Drum,L35 - Wake-Up Slap,L38 - Hydro Pump,L41 - Mud Bomb,TM06 - Toxic,TM07 - Hail,TM10 - Hidden Power,TM13 - Ice Beam,TM14 - Blizzard,TM17 - Protect,TM18 - Rain Dance,TM21 - Frustration,TM27 - Return,TM29 - Psychic,TM32 - Double Team,TM42 - Facade,TM44 - Rest,TM45 - Attract,TM46 - Thief,TM48 - Round,TM55 - Scald,TM87 - Swagger,TM88 - Sleep Talk,TM90 - Substitute,TM94 - Surf,TM98 - Waterfall,TM100 - Confide,Egg - Mist,Egg - Splash,Egg - Bubble Beam,Egg - Haze,Egg - Mind Reader,Egg - Water Sport,Egg - Ice Ball,Egg - Mud Shot,Egg - Refresh,Egg - Endeavor,Egg - Encore,Egg - Endure,Egg - Water Pulse,ORAS - Icy Wind,ORAS - Snore,ORAS - Water Pulse,ORAS - Helping Hand,ORAS - Endeavor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Poliwhirl,Poliwhirl,Start - Water Sport,Start - Water Gun,Start - Hypnosis,L5 - Water Gun,L8 - Hypnosis,L11 - Bubble,L15 - Double Slap,L18 - Rain Dance,L21 - Body Slam,L27 - Bubble Beam,L32 - Mud Shot,L37 - Belly Drum,L43 - Wake-Up Slap,L48 - Hydro Pump,L53 - Mud Bomb,TM06 - Toxic,TM07 - Hail,TM10 - Hidden Power,TM13 - Ice Beam,TM14 - Blizzard,TM17 - Protect,TM18 - Rain Dance,TM21 - Frustration,TM26 - Earthquake,TM27 - Return,TM29 - Psychic,TM31 - Brick Break,TM32 - Double Team,TM42 - Facade,TM44 - Rest,TM45 - Attract,TM46 - Thief,TM48 - Round,TM55 - Scald,TM56 - Fling,TM78 - Bulldoze,TM87 - Swagger,TM88 - Sleep Talk,TM90 - Substitute,TM94 - Surf,TM98 - Waterfall,TM100 - Confide,Egg - Mist,Egg - Splash,Egg - Bubble Beam,Egg - Haze,Egg - Mind Reader,Egg - Water Sport,Egg - Ice Ball,Egg - Mud Shot,Egg - Refresh,Egg - Endeavor,Egg - Encore,Egg - Endure,Egg - Water Pulse,ORAS - Ice Punch,ORAS - Icy Wind,ORAS - Snore,ORAS - Focus Punch,ORAS - Water Pulse,ORAS - Helping Hand,ORAS - Endeavor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Poliwrath,Poliwrath,Start - Submission,Start - Circle Throw,Start - Bubble Beam,Start - Hypnosis,Start - Double Slap,L32 - Dynamic Punch,L43 - Mind Reader,L53 - Circle Throw,TM01 - Work Up,TM06 - Toxic,TM07 - Hail,TM08 - Bulk Up,TM10 - Hidden Power,TM13 - Ice Beam,TM14 - Blizzard,TM15 - Hyper Beam,TM17 - Protect,TM18 - Rain Dance,TM21 - Frustration,TM26 - Earthquake,TM27 - Return,TM29 - Psychic,TM31 - Brick Break,TM32 - Double Team,TM39 - Rock Tomb,TM42 - Facade,TM44 - Rest,TM45 - Attract,TM46 - Thief,TM47 - Low Sweep,TM48 - Round,TM52 - Focus Blast,TM55 - Scald,TM56 - Fling,TM66 - Payback,TM68 - Giga Impact,TM78 - Bulldoze,TM80 - Rock Slide,TM84 - Poison Jab,TM87 - Swagger,TM88 - Sleep Talk,TM90 - Substitute,TM94 - Surf,TM98 - Waterfall,TM100 - Confide,Egg - Mist,Egg - Splash,Egg - Bubble Beam,Egg - Haze,Egg - Mind Reader,Egg - Water Sport,Egg - Ice Ball,Egg - Mud Shot,Egg - Refresh,Egg - Endeavor,Egg - Encore,Egg - Endure,Egg - Water Pulse,ORAS - Ice Punch,ORAS - Icy Wind,ORAS - Snore,ORAS - Focus Punch,ORAS - Water Pulse,ORAS - Helping Hand,ORAS - Endeavor,Prev - Water Sport,Prev - Water Gun,Prev - Water Gun,Prev - Bubble,Prev - Rain Dance,Prev - Body Slam,Prev - Mud Shot,Prev - Belly Drum,Prev - Wake-Up Slap,Prev - Hydro Pump,Prev - Mud Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Abra,Abra,Start - Teleport,TM03 - Psyshock,TM04 - Calm Mind,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM12 - Taunt,TM16 - Light Screen,TM17 - Protect,TM18 - Rain Dance,TM20 - Safeguard,TM21 - Frustration,TM27 - Return,TM29 - Psychic,TM30 - Shadow Ball,TM32 - Double Team,TM33 - Reflect,TM41 - Torment,TM42 - Facade,TM44 - Rest,TM45 - Attract,TM46 - Thief,TM48 - Round,TM53 - Energy Ball,TM56 - Fling,TM57 - Charge Beam,TM63 - Embargo,TM73 - Thunder Wave,TM77 - Psych Up,TM85 - Dream Eater,TM86 - Grass Knot,TM87 - Swagger,TM88 - Sleep Talk,TM90 - Substitute,TM92 - Trick Room,TM99 - Dazzling Gleam,TM100 - Confide,Egg - Encore,Egg - Barrier,Egg - Knock Off,Egg - Fire Punch,Egg - Thunder Punch,Egg - Ice Punch,Egg - Power Trick,Egg - Guard Swap,Egg - Skill Swap,Egg - Guard Split,Egg - Psycho Shift,Egg - Ally Switch,ORAS - Signal Beam,ORAS - Thunder Punch,ORAS - Fire Punch,ORAS - Ice Punch,ORAS - Magic Coat,ORAS - Foul Play,ORAS - Gravity,ORAS - Zen Headbutt,ORAS - Iron Tail,ORAS - Snore,ORAS - Knock Off,ORAS - Role Play,ORAS - Drain Punch,ORAS - Focus Punch,ORAS - Shock Wave,ORAS - Trick,ORAS - Magic Room,ORAS - Wonder Room,ORAS - Recycle,ORAS - Snatch,ORAS - Skill Swap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Kadabra,Kadabra,Start - Kinesis,Start - Teleport,Start - Confusion,L16 - Confusion,L18 - Disable,L21 - Psybeam,L23 - Miracle Eye,L26 - Reflect,L28 - Psycho Cut,L31 - Recover,L33 - Telekinesis,L36 - Ally Switch,L38 - Psychic,L41 - Role Play,L43 - Future Sight,L46 - Trick,TM03 - Psyshock,TM04 - Calm Mind,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM12 - Taunt,TM16 - Light Screen,TM17 - Protect,TM18 - Rain Dance,TM20 - Safeguard,TM21 - Frustration,TM27 - Return,TM29 - Psychic,TM30 - Shadow Ball,TM32 - Double Team,TM33 - Reflect,TM41 - Torment,TM42 - Facade,TM44 - Rest,TM45 - Attract,TM46 - Thief,TM48 - Round,TM53 - Energy Ball,TM56 - Fling,TM57 - Charge Beam,TM63 - Embargo,TM73 - Thunder Wave,TM77 - Psych Up,TM85 - Dream Eater,TM86 - Grass Knot,TM87 - Swagger,TM88 - Sleep Talk,TM90 - Substitute,TM92 - Trick Room,TM99 - Dazzling Gleam,TM100 - Confide,Egg - Encore,Egg - Barrier,Egg - Knock Off,Egg - Fire Punch,Egg - Thunder Punch,Egg - Ice Punch,Egg - Power Trick,Egg - Guard Swap,Egg - Skill Swap,Egg - Guard Split,Egg - Psycho Shift,Egg - Ally Switch,ORAS - Signal Beam,ORAS - Thunder Punch,ORAS - Fire Punch,ORAS - Ice Punch,ORAS - Magic Coat,ORAS - Foul Play,ORAS - Gravity,ORAS - Zen Headbutt,ORAS - Iron Tail,ORAS - Snore,ORAS - Knock Off,ORAS - Role Play,ORAS - Drain Punch,ORAS - Focus Punch,ORAS - Shock Wave,ORAS - Trick,ORAS - Magic Room,ORAS - Wonder Room,ORAS - Recycle,ORAS - Snatch,ORAS - Skill Swap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Alakazam,Alakazam,Start - Kinesis,Start - Teleport,Start - Confusion,L16 - Confusion,L18 - Disable,L21 - Psybeam,L23 - Miracle Eye,L26 - Reflect,L28 - Psycho Cut,L31 - Recover,L33 - Telekinesis,L36 - Ally Switch,L38 - Psychic,L41 - Calm Mind,L43 - Future Sight,L46 - Trick,TM03 - Psyshock,TM04 - Calm Mind,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM12 - Taunt,TM15 - Hyper Beam,TM16 - Light Screen,TM17 - Protect,TM18 - Rain Dance,TM20 - Safeguard,TM21 - Frustration,TM27 - Return,TM29 - Psychic,TM30 - Shadow Ball,TM32 - Double Team,TM33 - Reflect,TM41 - Torment,TM42 - Facade,TM44 - Rest,TM45 - Attract,TM46 - Thief,TM48 - Round,TM52 - Focus Blast,TM53 - Energy Ball,TM56 - Fling,TM57 - Charge Beam,TM63 - Embargo,TM68 - Giga Impact,TM73 - Thunder Wave,TM77 - Psych Up,TM85 - Dream Eater,TM86 - Grass Knot,TM87 - Swagger,TM88 - Sleep Talk,TM90 - Substitute,TM92 - Trick Room,TM99 - Dazzling Gleam,TM100 - Confide,Egg - Encore,Egg - Barrier,Egg - Knock Off,Egg - Fire Punch,Egg - Thunder Punch,Egg - Ice Punch,Egg - Power Trick,Egg - Guard Swap,Egg - Skill Swap,Egg - Guard Split,Egg - Psycho Shift,Egg - Ally Switch,ORAS - Signal Beam,ORAS - Thunder Punch,ORAS - Fire Punch,ORAS - Ice Punch,ORAS - Magic Coat,ORAS - Foul Play,ORAS - Gravity,ORAS - Zen Headbutt,ORAS - Iron Tail,ORAS - Snore,ORAS - Knock Off,ORAS - Role Play,ORAS - Drain Punch,ORAS - Focus Punch,ORAS - Shock Wave,ORAS - Trick,ORAS - Magic Room,ORAS - Wonder Room,ORAS - Recycle,ORAS - Snatch,ORAS - Skill Swap,Prev - Role Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Alakazam,Alakazam (Mega Alakazam),Start - Kinesis,Start - Teleport,Start - Confusion,L16 - Confusion,L18 - Disable,L21 - Psybeam,L23 - Miracle Eye,L26 - Reflect,L28 - Psycho Cut,L31 - Recover,L33 - Telekinesis,L36 - Ally Switch,L38 - Psychic,L41 - Calm Mind,L43 - Future Sight,L46 - Trick,TM03 - Psyshock,TM04 - Calm Mind,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM12 - Taunt,TM15 - Hyper Beam,TM16 - Light Screen,TM17 - Protect,TM18 - Rain Dance,TM20 - Safeguard,TM21 - Frustration,TM27 - Return,TM29 - Psychic,TM30 - Shadow Ball,TM32 - Double Team,TM33 - Reflect,TM41 - Torment,TM42 - Facade,TM44 - Rest,TM45 - Attract,TM46 - Thief,TM48 - Round,TM52 - Focus Blast,TM53 - Energy Ball,TM56 - Fling,TM57 - Charge Beam,TM63 - Embargo,TM68 - Giga Impact,TM73 - Thunder Wave,TM77 - Psych Up,TM85 - Dream Eater,TM86 - Grass Knot,TM87 - Swagger,TM88 - Sleep Talk,TM90 - Substitute,TM92 - Trick Room,TM99 - Dazzling Gleam,TM100 - Confide,Egg - Encore,Egg - Barrier,Egg - Knock Off,Egg - Fire Punch,Egg - Thunder Punch,Egg - Ice Punch,Egg - Power Trick,Egg - Guard Swap,Egg - Skill Swap,Egg - Guard Split,Egg - Psycho Shift,Egg - Ally Switch,ORAS - Signal Beam,ORAS - Thunder Punch,ORAS - Fire Punch,ORAS - Ice Punch,ORAS - Magic Coat,ORAS - Foul Play,ORAS - Gravity,ORAS - Zen Headbutt,ORAS - Iron Tail,ORAS - Snore,ORAS - Knock Off,ORAS - Role Play,ORAS - Drain Punch,ORAS - Focus Punch,ORAS - Shock Wave,ORAS - Trick,ORAS - Magic Room,ORAS - Wonder Room,ORAS - Recycle,ORAS - Snatch,ORAS - Skill Swap,Prev - Role Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Machop,Machop,Start - Low Kick,Start - Leer,L3 - Focus Energy,L7 - Karate Chop,L9 - Foresight,L13 - Low Sweep,L15 - Seismic Toss,L19 - Revenge,L21 - Knock Off,L25 - Vital Throw,L27 - Wake-Up Slap,L31 - Dual Chop,L33 - Submission,L37 - Bulk Up,L39 - Cross Chop,L43 - Scary Face,L45 - Dynamic Punch,TM01 - Work Up,TM06 - Toxic,TM08 - Bulk Up,TM10 - Hidden Power,TM11 - Sunny Day,TM16 - Light Screen,TM17 - Protect,TM18 - Rain Dance,TM21 - Frustration,TM23 - Smack Down,TM26 - Earthquake,TM27 - Return,TM31 - Brick Break,TM32 - Double Team,TM35 - Flamethrower,TM38 - Fire Blast,TM39 - Rock Tomb,TM42 - Facade,TM44 - Rest,TM45 - Attract,TM46 - Thief,TM47 - Low Sweep,TM48 - Round,TM52 - Focus Blast,TM56 - Fling,TM66 - Payback,TM78 - Bulldoze,TM80 - Rock Slide,TM84 - Poison Jab,TM87 - Swagger,TM88 - Sleep Talk,TM90 - Substitute,TM100 - Confide,Egg - Meditate,Egg - Rolling Kick,Egg - Encore,Egg - Smelling Salts,Egg - Counter,Egg - Close Combat,Egg - Fire Punch,Egg - Thunder Punch,Egg - Ice Punch,Egg - Bullet Punch,Egg - Power Trick,Egg - Heavy Slam,Egg - Knock Off,Egg - Tickle,Egg - Quick Guard,ORAS - Dual Chop,ORAS - Low Kick,ORAS - Thunder Punch,ORAS - Fire Punch,ORAS - Ice Punch,ORAS - Superpower,ORAS - Snore,ORAS - Knock Off,ORAS - Role Play,ORAS - Focus Punch,ORAS - Helping Hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Machoke,Machoke,Start - Low Kick,Start - Leer,Start - Focus Energy,Start - Karate Chop,L3 - Focus Energy,L7 - Karate Chop,L9 - Foresight,L13 - Low Sweep,L15 - Seismic Toss,L19 - Revenge,L21 - Knock Off,L25 - Vital Throw,L27 - Wake-Up Slap,L33 - Dual Chop,L37 - Submission,L43 - Bulk Up,L47 - Cross Chop,L53 - Scary Face,L57 - Dynamic Punch,TM01 - Work Up,TM06 - Toxic,TM08 - Bulk Up,TM10 - Hidden Power,TM11 - Sunny Day,TM16 - Light Screen,TM17 - Protect,TM18 - Rain Dance,TM21 - Frustration,TM23 - Smack Down,TM26 - Earthquake,TM27 - Return,TM31 - Brick Break,TM32 - Double Team,TM35 - Flamethrower,TM38 - Fire Blast,TM39 - Rock Tomb,TM42 - Facade,TM44 - Rest,TM45 - Attract,TM46 - Thief,TM47 - Low Sweep,TM48 - Round,TM52 - Focus Blast,TM56 - Fling,TM66 - Payback,TM78 - Bulldoze,TM80 - Rock Slide,TM84 - Poison Jab,TM87 - Swagger,TM88 - Sleep Talk,TM90 - Substitute,TM100 - Confide,Egg - Meditate,Egg - Rolling Kick,Egg - Encore,Egg - Smelling Salts,Egg - Counter,Egg - Close Combat,Egg - Fire Punch,Egg - Thunder Punch,Egg - Ice Punch,Egg - Bullet Punch,Egg - Power Trick,Egg - Heavy Slam,Egg - Knock Off,Egg - Tickle,Egg - Quick Guard,ORAS - Dual Chop,ORAS - Low Kick,ORAS - Thunder Punch,ORAS - Fire Punch,ORAS - Ice Punch,ORAS - Superpower,ORAS - Snore,ORAS - Knock Off,ORAS - Role Play,ORAS - Focus Punch,ORAS - Helping Hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Machamp,Machamp,Start - Strength,Start - Wide Guard,Start - Low Kick,Start - Leer,Start - Focus Energy,Start - Karate Chop,L3 - Focus Energy,L7 - Karate Chop,L9 - Foresight,L13 - Low Sweep,L15 - Seismic Toss,L19 - Revenge,L21 - Knock Off,L25 - Vital Throw,L27 - Wake-Up Slap,L33 - Dual Chop,L37 - Submission,L43 - Bulk Up,L47 - Cross Chop,L53 - Scary Face,L57 - Dynamic Punch,TM01 - Work Up,TM06 - Toxic,TM08 - Bulk Up,TM10 - Hidden Power,TM11 - Sunny Day,TM15 - Hyper Beam,TM16 - Light Screen,TM17 - Protect,TM18 - Rain Dance,TM21 - Frustration,TM23 - Smack Down,TM26 - Earthquake,TM27 - Return,TM31 - Brick Break,TM32 - Double Team,TM35 - Flamethrower,TM38 - Fire Blast,TM39 - Rock Tomb,TM42 - Facade,TM44 - Rest,TM45 - Attract,TM46 - Thief,TM47 - Low Sweep,TM48 - Round,TM52 - Focus Blast,TM56 - Fling,TM66 - Payback,TM68 - Giga Impact,TM71 - Stone Edge,TM78 - Bulldoze,TM80 - Rock Slide,TM84 - Poison Jab,TM87 - Swagger,TM88 - Sleep Talk,TM90 - Substitute,TM100 - Confide,Egg - Meditate,Egg - Rolling Kick,Egg - Encore,Egg - Smelling Salts,Egg - Counter,Egg - Close Combat,Egg - Fire Punch,Egg - Thunder Punch,Egg - Ice Punch,Egg - Bullet Punch,Egg - Power Trick,Egg - Heavy Slam,Egg - Knock Off,Egg - Tickle,Egg - Quick Guard,ORAS - Dual Chop,ORAS - Low Kick,ORAS - Thunder Punch,ORAS - Fire Punch,ORAS - Ice Punch,ORAS - Superpower,ORAS - Snore,ORAS - Knock Off,ORAS - Role Play,ORAS - Focus Punch,ORAS - Helping Hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Bellsprout,Bellsprout,Start - Vine Whip,L7 - Growth,L11 - Wrap,L13 - Sleep Powder,L15 - Poison Powder,L17 - Stun Spore,L23 - Acid,L27 - Knock Off,L29 - Sweet Scent,L35 - Gastro Acid,L39 - Razor Leaf,L41 - Poison Jab,L47 - Slam,L50 - Wring Out,TM06 - Toxic,TM09 - Venoshock,TM10 - Hidden Power,TM11 - Sunny Day,TM17 - Protect,TM21 - Frustration,TM22 - Solar Beam,TM27 - Return,TM32 - Double Team,TM33 - Reflect,TM36 - Sludge Bomb,TM42 - Facade,TM44 - Rest,TM45 - Attract,TM46 - Thief,TM48 - Round,TM53 - Energy Ball,TM75 - Swords Dance,TM83 - Infestation,TM84 - Poison Jab,TM86 - Grass Knot,TM87 - Swagger,TM88 - Sleep Talk,TM90 - Substitute,TM96 - Nature Power,TM100 - Confide,Egg - Encore,Egg - Synthesis,Egg - Leech Life,Egg - Ingrain,Egg - Magical Leaf,Egg - Worry Seed,Egg - Tickle,Egg - Weather Ball,Egg - Bullet Seed,Egg - Natural Gift,Egg - Giga Drain,Egg - Clear Smog,Egg - Power Whip,Egg - Acid Spray,Egg - Belch,ORAS - Seed Bomb,ORAS - Bind,ORAS - Snore,ORAS - Knock Off,ORAS - Synthesis,ORAS - Giga Drain,ORAS - Gastro Acid,ORAS - Worry Seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Weepinbell,Weepinbell,Start - Vine Whip,Start - Growth,Start - Wrap,L7 - Growth,L11 - Wrap,L13 - Sleep Powder,L15 - Poison Powder,L17 - Stun Spore,L24 - Acid,L29 - Knock Off,L32 - Sweet Scent,L39 - Gastro Acid,L44 - Razor Leaf,L47 - Poison Jab,L54 - Slam,L58 - Wring Out,TM06 - Toxic,TM09 - Venoshock,TM10 - Hidden Power,TM11 - Sunny Day,TM17 - Protect,TM21 - Frustration,TM22 - Solar Beam,TM27 - Return,TM32 - Double Team,TM33 - Reflect,TM36 - Sludge Bomb,TM42 - Facade,TM44 - Rest,TM45 - Attract,TM46 - Thief,TM48 - Round,TM53 - Energy Ball,TM75 - Swords Dance,TM83 - Infestation,TM84 - Poison Jab,TM86 - Grass Knot,TM87 - Swagger,TM88 - Sleep Talk,TM90 - Substitute,TM96 - Nature Power,TM100 - Confide,Egg - Encore,Egg - Synthesis,Egg - Leech Life,Egg - Ingrain,Egg - Magical Leaf,Egg - Worry Seed,Egg - Tickle,Egg - Weather Ball,Egg - Bullet Seed,Egg - Natural Gift,Egg - Giga Drain,Egg - Clear Smog,Egg - Power Whip,Egg - Acid Spray,Egg - Belch,ORAS - Seed Bomb,ORAS - Bind,ORAS - Snore,ORAS - Knock Off,ORAS - Synthesis,ORAS - Giga Drain,ORAS - Gastro Acid,ORAS - Worry Seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
