id,ndex,species,forme,type1,type2,ability1,ability2,abilityH,hp,attack,defense,spattack,spdefense,speed,total,weight,height,dex1,dex2,class,percent-male,percent-female,pre-evolution,egg-group1,egg-group2
55,55,Golduck,Golduck,Water,,Damp,Cloud Nine,Swift Swim,80,82,78,95,80,85,500,168.9 lbs.,"5'07""","It is said that the red part of its forehead grants supernatural powers to those who possess one, so it was over-hunted in the past.",It swims along the banks of lakes and catches fish Pokémon. It takes them to the shore and quietly eats them up.,Duck Pokémon,0.5,0.5,Psyduck,Water 1,Field
56,56,Mankey,Mankey,Fighting,,Vital Spirit,Anger Point,Defiant,40,80,35,35,45,70,305,61.7 lbs.,"1'08""","It can spontaneously become enraged. Everyone near it clears out as it rampages, and the resulting loneliness makes it angrier still.","Its raging tires it out and causes it to fall asleep, but the anger resonating in its dreams causes it to wake up—which infuriates it all over again.",Pig Monkey Pokémon,0.5,0.5,,Field,
57,57,Primeape,Primeape,Fighting,,Vital Spirit,Anger Point,Defiant,65,105,60,60,70,95,455,70.5 lbs.,"3'03""","It has been known to become so angry that it dies as a result. Its face looks peaceful in death, however.",Some researchers theorize that Primeape remains angry even when inside a Poké Ball.,Pig Monkey Pokémon,0.5,0.5,Mankey,Field,
58,58,Growlithe,Growlithe,Fire,,Intimidate,Flash Fire,Justified,55,70,45,70,50,60,350,41.9 lbs.,"2'04""","It’s both clever and loyal, but if a stranger tries to invade its territory, it barks threateningly.","It looks cute, but when you approach another Trainer’s Growlithe, it will bark at you and bite.",Puppy Pokémon,0.75,0.25,,Field,
59,59,Arcanine,Arcanine,Fire,,Intimidate,Flash Fire,Justified,90,110,80,100,80,95,555,341.7 lbs.,"6'03""","Overflowing with beauty and majesty, this strong Pokémon appears in ancient Eastern folklore.",The fire burning inside its body serves as the energy to fuel it as it runs great distances. It appears in many legends.,Legendary Pokémon,0.75,0.25,Growlithe,Field,
60,60,Poliwag,Poliwag,Water,,Water Absorb,Damp,Swift Swim,40,50,40,40,40,90,300,27.3 lbs.,"2'00""","The swirl on its belly is its internal organs showing through. If the swirl is tinged white, that means it’s affected by some disease.",It’s still not very good at walking. Its Trainers should train this Pokémon to walk every day.,Tadpole Pokémon,0.5,0.5,,Water 1,
61,61,Poliwhirl,Poliwhirl,Water,,Water Absorb,Damp,Swift Swim,65,65,65,50,50,90,385,44.1 lbs.,"3'03""","Although it can live on land, it prefers to stay in the water, where it has fewer natural enemies.",It marches over the land in search of bug Pokémon to eat. Then it takes them underwater so it can dine on them where it’s safe.,Tadpole Pokémon,0.5,0.5,Poliwag,Water 1,
62,62,Poliwrath,Poliwrath,Water,Fighting,Water Absorb,Damp,Swift Swim,90,95,95,70,90,70,510,119.0 lbs.,"4'03""",Poliwrath in the Alola region are strong swimmers that use the breaststroke. Many children learn to swim by imitating Poliwrath.,"Its percentage of body fat is nearly zero. Its body is entirely muscle, which makes it heavy and forces its swimming prowess to develop.",Tadpole Pokémon,0.5,0.5,Poliwhirl,Water 1,
63,63,Abra,Abra,Psychic,,Synchronize,Inner Focus,Magic Guard,25,20,15,105,55,90,310,43.0 lbs.,"2'11""","It sleeps 18 hours a day. Even while sleeping, it will teleport itself to treetops and pick and eat berries there.","It can teleport itself to safety while it’s asleep, but when it wakes, it doesn’t know where it is, so it panics.",Psi Pokémon,0.75,0.25,,Human-Like,
64,64,Kadabra,Kadabra,Psychic,,Synchronize,Inner Focus,Magic Guard,40,35,30,120,70,105,400,124.6 lbs.,"4'03""",A theory exists that this Pokémon was a young boy who couldn’t control his psychic powers and ended up transformed into this Pokémon.,Kadabra’s presence infests televisions and monitors with creepy shadows that bring bad luck.,Psi Pokémon,0.75,0.25,Abra,Human-Like,
65,65,Alakazam,Alakazam,Psychic,,Synchronize,Inner Focus,Magic Guard,55,50,45,135,95,120,500,105.8 lbs.,"4'11""","It is said to have an IQ of approximately 5,000. Its overflowing psychokinetic powers cause headaches to anyone nearby.","Its brain cells continue to increase in number until its death. The older the Alakazam, the larger its head.",Psi Pokémon,0.75,0.25,Kadabra,Human-Like,
66,66,Machop,Machop,Fighting,,Guts,No Guard,Steadfast,70,80,50,35,35,35,305,43.0 lbs.,"2'07""","It loves working out. As it gazes at its muscles, which continue to swell day by day, it becomes more and more dedicated to its training.","With its superhuman strength, it’s able to throw a hundred people all at the same time. Its strength comes from lifting Graveler every day.",Superpower Pokémon,0.75,0.25,,Human-Like,
67,67,Machoke,Machoke,Fighting,,Guts,No Guard,Steadfast,80,100,70,50,60,45,405,155.4 lbs.,"4'11""","As a result of its continual workouts, it has developed tremendous power. It uses that power to help people with their work.",It willingly assists with hard labor because it knows the work is good training for its muscles.,Superpower Pokémon,0.75,0.25,Machop,Human-Like,
68,68,Machamp,Machamp,Fighting,,Guts,No Guard,Steadfast,90,130,80,65,85,55,505,286.6 lbs.,"5'03""",It unleashes megaton-level punches that send opponents flying clear over the horizon.,It can lift heavy loads with the greatest of ease. It can even heft dump trucks. But its clumsy fingers prevent it from doing any precision work.,Superpower Pokémon,0.75,0.25,Machoke,Human-Like,
69,69,Bellsprout,Bellsprout,Grass,Poison,Chlorophyll,,Gluttony,50,75,35,70,30,40,300,8.8 lbs.,"2'04""",,,Flower Pokémon,0.5,0.5,,Grass,
70,70,Weepinbell,Weepinbell,Grass,Poison,Chlorophyll,,Gluttony,65,90,50,85,45,55,390,14.1 lbs.,"3'03""",,,Flycatcher Pokémon,0.5,0.5,Bellsprout,Grass,
71,71,Victreebel,Victreebel,Grass,Poison,Chlorophyll,,Gluttony,80,105,65,100,70,70,490,34.2 lbs.,"5'07""",,,Flycatcher Pokémon,0.5,0.5,Weepinbell,Grass,
72,72,Tentacool,Tentacool,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,40,40,35,50,100,70,335,100.3 lbs.,"2'11""","They can be found lying dehydrated on beaches, but they are often still alive. When soaked in water, they will revive.","It drifts in shallow seas, such as the areas near beaches. If you get bitten or stabbed by its toxic tentacles, rush to the hospital.",Jellyfish Pokémon,0.5,0.5,,Water 3,
73,73,Tentacruel,Tentacruel,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,80,70,65,80,120,100,515,121.3 lbs.,"5'03""","Normally, it has 80 poisonous tentacles. The longer one has been alive, the fewer tentacles it will have.","Although these Pokémon are rare, when a large outbreak of them occurs, all fish Pokémon disappear from the surrounding sea.",Jellyfish Pokémon,0.5,0.5,Tentacool,Water 3,
74,74,Geodude,Geodude,Rock,Ground,Rock Head,Sturdy,Sand Veil,40,80,100,30,30,20,300,44.1 lbs.,"1'04""","Its round body makes it easy to pick up, but it is hard and heavy. It’s dangerous to play with them as if they were snowballs.",There are plenty of them to be found along any road. A scholar with too much free time once counted a hundred of them along a single route.,Rock Pokémon,0.5,0.5,,Mineral,
75,75,Graveler,Graveler,Rock,Ground,Rock Head,Sturdy,Sand Veil,55,95,115,45,45,35,390,231.5 lbs.,"3'03""",Mossy rocks are its favorite food. It can devour a ton a day while crunching loudly.,"This slow-footed Pokémon moves by curling up and rolling instead of walking. With enough momentum, its speed can exceed 60 mph.",Rock Pokémon,0.5,0.5,Geodude,Mineral,
76,76,Golem,Golem,Rock,Ground,Rock Head,Sturdy,Sand Veil,80,120,130,55,65,45,495,661.4 lbs.,"4'07""","Its body can survive dynamite blasts without a single scratch, but it hates rain and humidity.","Once a year, this Pokémon molts, and its shed shell returns to the soil. This process creates enriched soil, so farmers collect the shells.",Megaton Pokémon,0.5,0.5,Graveler,Mineral,
77,77,Ponyta,Ponyta,Fire,,Run Away,Flash Fire,Flame Body,50,85,55,65,65,90,410,66.1 lbs.,"3'03""",,,Fire Horse Pokémon,0.5,0.5,,Field,
78,78,Rapidash,Rapidash,Fire,,Run Away,Flash Fire,Flame Body,65,100,70,80,80,105,500,209.4 lbs.,"5'07""",,,Fire Horse Pokémon,0.5,0.5,Ponyta,Field,
79,79,Slowpoke,Slowpoke,Water,Psychic,Oblivious,Own Tempo,Regenerator,90,65,65,40,40,15,315,79.4 lbs.,"3'11""","Its long tail often breaks off. It doesn’t really feel any pain, though, and the tail grows back, so Slowpoke isn’t particularly bothered.",Alolan home cooking involves drying Slowpoke tails and then simmering them into a salty stew.,Dopey Pokémon,0.5,0.5,,Monster,Water 1
80,80,Slowbro,Slowbro,Water,Psychic,Oblivious,Own Tempo,Regenerator,95,75,110,100,80,30,490,173.1 lbs.,"5'03""","It spaces out while gazing at the sea. With Shellder’s poison flowing through its body, it becomes even spacier.","Whenever Shellder bites down hard on its tail, it gives Slowbro a flash of inspiration...which it forgets a moment later.",Hermit Crab Pokémon,0.5,0.5,Slowpoke,Monster,Water 1
81,81,Magnemite,Magnemite,Electric,Steel,Magnet Pull,Sturdy,Analytic,25,35,70,95,55,45,325,13.2 lbs.,"1'00""",They gather in places where electricity is available. They can be found clinging to the steel towers used to support power lines.,"It sends out electromagnetic waves, which let it float through the air. Touching it while it’s eating electricity will give you a full-body shock.",Magnet Pokémon,,,,Mineral,
82,82,Magneton,Magneton,Electric,Steel,Magnet Pull,Sturdy,Analytic,50,60,95,120,70,70,465,132.3 lbs.,"3'03""","When three Magnemite link together, their brains also become one. They do not become three times more intelligent.","It has about three times the electrical power of Magnemite. For some reason, outbreaks of this Pokémon happen when lots of sunspots appear.",Magnet Pokémon,,,Magnemite,Mineral,
83,83,Farfetch’d,Farfetch’d,Normal,Flying,Keen Eye,Inner Focus,Defiant,52,90,55,58,62,60,377,33.1 lbs.,"2'07""",,,Wild Duck Pokémon,0.5,0.5,,Flying,Field
84,84,Doduo,Doduo,Normal,Flying,Run Away,Early Bird,Tangled Feet,35,85,45,35,35,75,310,86.4 lbs.,"4'07""",,,Twin Bird Pokémon,0.5,0.5,,Flying,
85,85,Dodrio,Dodrio,Normal,Flying,Run Away,Early Bird,Tangled Feet,60,110,70,60,60,100,460,187.8 lbs.,"5'11""",,,Triple Bird Pokémon,0.5,0.5,Doduo,Flying,
86,86,Seel,Seel,Water,,Thick Fat,Hydration,Ice Body,65,45,55,45,70,45,325,198.4 lbs.,"3'07""",,,Sea Lion Pokémon,0.5,0.5,,Water 1,Field
87,87,Dewgong,Dewgong,Water,Ice,Thick Fat,Hydration,Ice Body,90,70,80,70,95,70,475,264.6 lbs.,"5'07""",,,Sea Lion Pokémon,0.5,0.5,Seel,Water 1,Field
88,88,Grimer,Grimer,Poison,,Stench,Sticky Hold,Poison Touch,80,80,50,40,50,25,325,66.1 lbs.,"2'11""",Its main source of food is the slimy industrial waste of factories. This Pokémon’s numbers have been decreasing in recent years.,"It was born from sludge transformed by exposure to X-rays from the moon. When its internal load of germs decreases, it dies.",Sludge Pokémon,0.5,0.5,,Amorphous,
89,89,Muk,Muk,Poison,,Stench,Sticky Hold,Poison Touch,105,105,75,65,100,50,500,66.1 lbs.,"3'11""","The stench it gives off will make your nose scrunch up. Still, there are Muk fans who think that’s a good thing.","After recent environmental improvements, this Pokémon is now hardly seen at all. People speculate that it may go extinct at some point.",Sludge Pokémon,0.5,0.5,Grimer,Amorphous,
90,90,Shellder,Shellder,Water,,Shell Armor,Skill Link,Overcoat,30,65,100,45,25,40,305,8.8 lbs.,"1'00""","The hardness of its shell surpasses the hardness of a diamond. In days gone by, people used the shells to make shields.",This Pokémon’s tongue is always hanging out. It uses its tongue with great dexterity to dig up sand from the seabed in its search for food.,Bivalve Pokémon,0.5,0.5,,Water 3,
91,91,Cloyster,Cloyster,Water,Ice,Shell Armor,Skill Link,Overcoat,50,95,180,85,45,70,525,292.1 lbs.,"4'11""",Its hard shell cannot be shattered—not even by a bomb. The contents of the shell remain unknown.,Excavation of the tombs of ancient hunting tribes has turned up many spears tipped with spikes that had fallen off this Pokémon’s shell.,Bivalve Pokémon,0.5,0.5,Shellder,Water 3,
92,92,Gastly,Gastly,Ghost,Poison,Levitate,,,30,35,30,100,35,80,310,0.2 lbs.,"4'03""","Should a strange light be seen flickering in an abandoned building, Gastly is lurking there.","Although Gastly is barely visible, when it’s near, a faint sweet smell lingers.",Gas Pokémon,0.5,0.5,,Amorphous,
93,93,Haunter,Haunter,Ghost,Poison,Levitate,,,45,50,45,115,55,95,405,0.2 lbs.,"5'03""",It strikes at humans from total darkness. Those licked by its cold tongue grow weaker with each passing day until they die.,It fears the light and revels in the dark. It may be on the verge of extinction in cities that stay brightly lit at night.,Gas Pokémon,0.5,0.5,Gastly,Amorphous,
94,94,Gengar,Gengar,Ghost,Poison,Cursed Body,Cursed Body,Cursed Body,60,65,60,130,75,110,500,89.3 lbs.,"4'11""","Should you feel yourself attacked by a sudden chill, it is evidence of an approaching Gengar. There is no escaping it. Give up.","It apparently wishes for a traveling companion. Since it was once human itself, it tries to create one by taking the lives of other humans.",Shadow Pokémon,0.5,0.5,Haunter,Amorphous,
95,95,Onix,Onix,Rock,Ground,Rock Head,Sturdy,Weak Armor,35,45,160,30,45,70,385,463.0 lbs.,"28'10""",,,Rock Snake Pokémon,0.5,0.5,,Mineral,
