int_goalkeeping_id,int_player_id,int_diving,int_handling,int_kicking,int_positioning,int_reflexes
624,624,9,10,11,8,9
625,625,15,10,10,8,10
626,626,12,7,8,8,13
627,627,11,6,15,13,7
628,628,15,16,9,10,14
629,629,82,76,67,76,79
630,630,11,16,8,14,16
631,631,81,76,76,79,80
632,632,14,8,13,7,11
633,633,14,8,8,10,10
634,634,14,5,15,14,5
635,635,14,16,7,11,12
636,636,8,10,10,14,6
637,637,16,9,6,9,9
638,638,12,16,11,7,15
639,639,10,14,10,8,11
640,640,79,75,70,78,82
641,641,8,11,8,14,12
642,642,10,11,16,10,14
643,643,9,16,7,8,7
644,644,12,7,15,16,15
645,645,12,5,8,11,12
646,646,9,12,15,9,8
647,647,5,3,5,5,3
648,648,12,13,10,16,13
649,649,10,15,16,15,15
650,650,15,7,12,10,14
651,651,14,11,6,15,8
652,652,14,7,10,11,11
653,653,10,9,14,7,12
654,654,7,16,16,16,13
655,655,15,12,11,11,8
656,656,13,9,16,15,7
657,657,79,71,68,79,84
658,658,16,14,9,16,8
659,659,13,7,10,10,8
660,660,13,8,10,15,12
661,661,5,8,14,6,8
662,662,13,9,6,7,9
663,663,14,8,11,10,8
664,664,11,14,7,6,13
665,665,10,16,12,9,14
666,666,15,9,12,14,6
667,667,5,15,10,13,7
668,668,12,15,11,6,5
669,669,10,7,10,9,14
670,670,8,12,11,10,9
671,671,9,10,14,5,8
672,672,6,13,8,14,11
673,673,14,12,8,6,8
674,674,2,2,2,2,2
675,675,78,77,72,81,79
676,676,6,10,8,8,6
677,677,82,72,77,77,84
678,678,11,12,10,15,16
679,679,15,15,8,10,12
680,680,15,7,16,12,15
681,681,13,11,9,11,7
682,682,80,77,73,79,80
683,683,78,77,77,78,80
684,684,6,10,8,5,5
685,685,77,69,75,79,83
686,686,77,79,80,80,78
687,687,12,14,10,5,15
688,688,12,6,8,12,12
689,689,7,11,15,11,11
690,690,5,10,13,7,15
691,691,11,13,9,10,13
692,692,7,8,8,8,7
693,693,9,12,8,10,9
694,694,9,14,13,8,10
695,695,5,9,6,15,7
696,696,13,12,12,6,13
697,697,75,73,81,79,80
698,698,79,76,65,76,79
699,699,6,14,14,12,14
700,700,7,13,13,15,6
701,701,12,13,8,10,10
702,702,6,10,6,15,9
703,703,11,13,13,13,9
704,704,10,13,13,14,14
705,705,9,9,15,6,11
706,706,14,8,14,12,10
707,707,8,7,13,13,11
708,708,6,14,13,14,8
709,709,9,7,9,9,15
710,710,8,6,12,8,11
711,711,9,7,13,15,8
712,712,14,11,7,5,10
713,713,12,7,13,12,12
714,714,9,13,7,9,8
715,715,6,7,8,9,7
716,716,13,9,14,9,13
717,717,14,13,7,6,9
718,718,9,9,14,14,13
719,719,11,15,8,9,14
720,720,12,8,13,10,7
721,721,80,76,70,74,82
722,722,7,9,9,10,14
723,723,12,7,8,13,13
724,724,6,10,11,5,6
725,725,6,9,13,13,12
726,726,5,12,6,13,14
727,727,14,8,6,6,9
728,728,13,9,6,12,16
729,729,14,12,7,14,13
730,730,10,13,14,9,11
731,731,7,11,10,16,7
732,732,6,12,10,7,9
733,733,7,8,8,8,7
734,734,8,10,8,13,10
735,735,9,14,13,8,10
736,736,9,8,16,7,15
737,737,9,16,8,8,10
738,738,9,8,12,10,15
739,739,15,8,5,13,10
740,740,14,6,12,9,10
741,741,10,6,8,11,13
742,742,14,10,8,7,7
743,743,10,9,13,6,9
744,744,13,12,7,14,7
745,745,14,14,8,7,15
746,746,13,16,8,12,13
747,747,7,10,12,15,8
748,748,15,11,13,6,12
749,749,12,7,7,7,8
750,750,79,74,70,77,82
751,751,15,14,15,8,9
752,752,78,74,73,77,84
753,753,12,14,10,7,10
754,754,15,8,16,10,13
755,755,10,15,10,6,13
756,756,12,8,9,11,10
757,757,6,10,9,10,13
758,758,11,16,13,13,9
759,759,16,13,9,10,14
760,760,13,6,7,7,12
761,761,11,12,11,10,15
762,762,9,15,10,12,9
763,763,10,15,13,12,7
764,764,11,14,14,11,8
765,765,78,77,76,77,79
766,766,10,8,12,9,12
767,767,14,9,6,9,5
768,768,11,6,8,14,15
769,769,11,10,11,14,12
770,770,11,15,13,10,10
771,771,7,10,15,10,10
772,772,13,8,8,9,16
773,773,10,7,16,13,14
774,774,13,7,15,7,14
775,775,11,9,8,6,11
776,776,16,11,12,16,10
777,777,11,13,8,14,10
778,778,8,11,7,8,8
779,779,14,7,15,11,15
780,780,16,13,16,7,14
781,781,11,7,12,15,13
782,782,15,10,14,12,9
783,783,10,8,13,15,9
784,784,11,10,12,12,11
785,785,13,12,10,7,14
786,786,14,8,14,14,6
787,787,9,12,7,6,12
788,788,9,16,6,8,14
789,789,13,12,11,14,8
790,790,12,6,8,7,9
791,791,10,12,8,8,14
792,792,15,7,6,16,16
793,793,12,6,14,9,11
794,794,16,13,12,8,6
795,795,6,11,13,7,14
796,796,12,13,13,7,8
797,797,8,9,11,10,15
798,798,13,12,5,15,5
799,799,9,15,9,8,14
800,800,9,13,12,12,15
801,801,13,8,11,10,9
802,802,10,16,6,11,7
803,803,3,5,3,3,5
804,804,15,12,12,15,14
805,805,15,9,16,7,9
806,806,6,11,15,14,8
807,807,16,7,8,14,11
808,808,78,77,76,78,78
809,809,14,14,8,8,12
810,810,14,8,11,7,7
811,811,9,14,12,7,8
812,812,5,3,5,5,3
813,813,8,14,9,6,9
814,814,13,14,12,10,8
815,815,12,11,15,10,10
816,816,6,11,13,10,12
817,817,11,8,14,10,7
818,818,10,14,10,7,7
819,819,11,12,11,15,8
820,820,15,10,9,8,6
821,821,6,9,7,14,15
822,822,4,6,4,4,4
823,823,8,13,9,6,8
824,824,82,72,78,76,81
825,825,11,13,12,15,14
826,826,78,80,78,77,77
827,827,15,15,12,6,6
828,828,14,10,14,12,9
829,829,12,8,9,14,13
830,830,79,76,75,77,80
831,831,15,13,10,11,11
832,832,12,11,12,10,13
833,833,15,12,9,7,13
834,834,13,6,9,15,11
835,835,15,16,9,12,6
836,836,15,16,10,15,6
837,837,16,13,10,9,8
838,838,9,14,12,6,10
839,839,12,13,12,9,11
840,840,12,14,16,6,10
841,841,12,7,7,7,8
842,842,12,6,14,9,11
843,843,15,8,5,13,10
844,844,12,6,8,12,12
845,845,5,11,12,6,12
846,846,14,9,7,9,15
847,847,9,15,9,8,14
848,848,12,7,8,13,13
849,849,12,6,8,7,9
850,850,15,7,6,16,16
851,851,13,16,8,12,13
852,852,78,77,76,77,79
853,853,10,13,13,14,14
854,854,14,13,8,8,7
855,855,15,15,12,6,6
856,856,11,15,13,10,10
857,857,11,6,8,14,15
858,858,78,77,76,78,78
859,859,6,14,13,14,8
860,860,8,6,13,15,9
861,861,15,11,14,10,6
862,862,7,10,15,10,10
863,863,15,11,13,6,12
864,864,14,14,8,7,15
865,865,9,14,12,7,8
866,866,11,14,14,11,8
867,867,11,10,12,12,11
868,868,6,11,13,10,12
869,869,13,12,11,14,8
870,870,14,15,11,8,12
871,871,7,8,8,8,7
872,872,13,6,9,15,11
873,873,11,16,13,13,9
874,874,5,10,13,7,15
875,875,15,16,10,15,6
876,876,10,6,8,11,13
877,877,11,9,15,10,6
878,878,14,8,14,10,15
879,879,11,13,15,10,15
880,880,5,3,5,5,3
881,881,15,16,9,12,6
882,882,14,5,12,10,13
883,883,8,11,7,8,8
884,884,16,7,8,14,11
885,885,13,12,7,14,7
886,886,8,6,9,10,12
887,887,10,7,12,15,12
888,888,6,12,10,7,9
889,889,75,73,81,79,80
890,890,9,16,6,8,14
891,891,16,13,9,10,14
892,892,9,12,12,6,13
893,893,13,12,12,6,13
894,894,8,13,9,6,8
895,895,14,13,7,7,15
896,896,15,15,11,8,8
897,897,8,10,15,6,15
898,898,11,15,8,9,14
899,899,12,13,8,14,10
900,900,82,72,78,76,81
901,901,13,12,9,8,16
902,902,12,12,13,14,12
903,903,8,9,16,9,13
904,904,74,76,78,73,79
905,905,14,14,9,16,8
906,906,8,7,10,7,7
907,907,12,15,13,13,7
908,908,7,12,11,6,7
909,909,79,70,73,79,81
910,910,10,13,10,6,5
911,911,79,74,76,77,80
912,912,9,8,14,7,11
913,913,9,7,5,6,7
914,914,12,10,7,15,9
915,915,6,10,11,10,10
916,916,79,75,65,77,79
917,917,9,11,12,12,10
918,918,15,8,11,14,13
919,919,8,12,6,9,13
920,920,12,12,14,12,10
921,921,78,73,64,74,80
922,922,8,9,7,10,10
923,923,11,15,8,7,7
924,924,16,16,7,7,12
925,925,15,12,9,11,8
926,926,9,10,15,13,15
927,927,10,11,13,8,7
928,928,9,15,8,8,12
929,929,79,75,71,75,80
930,930,14,15,7,7,8
931,931,14,9,15,10,15
932,932,4,5,3,4,8
933,933,14,10,7,9,15
934,934,7,13,9,15,7
935,935,79,77,75,77,71
936,936,11,13,13,13,14
937,937,8,15,14,12,10
938,938,10,6,10,8,16
939,939,16,14,16,14,14
940,940,5,3,5,4,4
941,941,12,12,8,5,8
942,942,14,12,9,12,11
943,943,15,8,15,10,13
944,944,10,16,10,15,16
945,945,11,16,11,15,13
946,946,11,12,11,16,8
947,947,7,13,12,15,15
948,948,8,8,14,5,15
949,949,15,7,16,9,8
950,950,15,11,15,7,8
951,951,8,15,15,13,8
952,952,8,13,11,15,15
953,953,15,5,14,13,7
954,954,8,15,7,15,15
955,955,12,8,12,16,16
956,956,7,8,15,8,14
957,957,9,6,9,7,9
958,958,11,15,15,12,7
959,959,77,74,77,74,80
960,960,10,13,11,14,15
961,961,8,7,9,13,12
962,962,9,7,5,9,10
963,963,80,73,73,74,80
964,964,77,75,73,75,79
965,965,8,8,8,14,6
966,966,13,13,7,5,14
967,967,7,6,7,11,8
968,968,9,12,8,15,14
969,969,14,8,13,10,9
970,970,13,8,13,12,10
971,971,7,10,14,9,11
972,972,10,12,12,8,14
973,973,13,13,14,9,6
974,974,6,6,14,7,10
975,975,79,78,72,74,78
976,976,79,78,44,77,78
977,977,11,12,7,8,14
978,978,12,9,15,8,16
979,979,16,10,15,16,15
980,980,11,7,10,11,15
981,981,14,14,12,13,15
982,982,10,12,14,11,9
983,983,6,8,12,16,11
984,984,11,15,8,7,7
985,985,12,9,11,12,7
986,986,9,15,7,8,6
987,987,13,8,11,12,12
988,988,9,7,8,9,8
989,989,8,8,8,12,14
990,990,15,10,9,14,13
991,991,10,16,9,12,7
992,992,6,15,14,8,11
993,993,6,15,16,8,8
