int_mentality_id,int_player_id,int_aggression,int_interceptions,int_positioning,int_vision,int_penalties,int_composure
133,133,35,18,10,50,20,58
134,134,54,40,88,78,62,79
135,135,86,85,62,74,66,78
136,136,81,54,90,75,85,80
137,137,37,23,13,64,32,66
138,138,77,83,75,81,76,92
139,139,83,87,66,81,61,86
140,140,34,20,10,55,19,62
141,141,35,20,13,59,26,67
142,142,75,83,81,80,56,81
143,143,87,89,70,73,61,81
144,144,81,81,76,80,59,82
145,145,72,78,75,74,46,79
146,146,54,36,77,76,75,80
147,147,73,32,87,77,75,81
148,148,62,40,82,83,77,81
149,149,78,83,69,64,56,75
150,150,89,81,65,76,38,84
151,151,82,79,80,75,49,78
152,152,81,81,72,62,38,79
153,153,50,34,78,80,68,77
154,154,81,84,51,60,26,74
155,155,84,78,81,82,76,87
156,156,64,65,77,87,63,76
157,157,75,73,84,82,63,85
158,158,39,16,20,62,25,62
159,159,28,25,12,55,20,59
160,160,85,84,52,63,41,75
161,161,79,34,83,82,74,89
162,162,47,58,83,78,59,81
163,163,72,20,86,59,70,82
164,164,20,24,18,49,21,61
165,165,76,80,77,75,52,76
166,166,81,72,86,84,76,87
167,167,73,76,78,78,46,82
168,168,85,86,31,45,34,76
169,169,78,63,79,81,64,80
170,170,61,42,85,76,75,77
171,171,77,74,72,84,59,81
172,172,47,52,82,79,75,82
173,173,82,84,51,58,61,81
174,174,79,78,68,87,91,81
175,175,82,55,80,82,53,77
176,176,75,79,78,77,53,78
177,177,57,63,81,83,81,78
178,178,90,88,79,80,53,85
179,179,77,86,20,65,72,85
180,180,68,79,69,83,57,76
181,181,43,25,9,48,16,65
182,182,56,37,83,87,83,86
183,183,81,85,75,81,76,81
184,184,72,32,76,76,72,80
185,185,84,86,48,72,42,79
186,186,15,24,15,48,24,55
187,187,74,42,84,78,76,81
188,188,33,16,15,42,20,40
189,189,86,86,25,22,26,83
190,190,31,18,9,53,20,48
191,191,66,45,80,83,61,82
192,192,59,49,81,83,70,77
193,193,30,22,12,46,17,62
194,194,56,49,82,80,70,79
195,195,81,80,84,83,71,81
196,196,70,77,78,86,80,87
197,197,70,79,73,80,66,77
198,198,85,85,59,74,54,78
199,199,83,80,47,73,46,84
200,200,85,82,62,66,59,78
201,201,93,84,82,81,81,80
202,202,58,50,89,75,67,83
203,203,83,79,75,85,78,80
204,204,88,86,84,80,63,84
205,205,80,80,81,78,59,82
206,206,65,59,83,79,76,85
207,207,84,85,56,66,66,81
208,208,86,82,69,74,56,82
209,209,57,37,84,81,72,83
210,210,67,72,74,83,78,82
211,211,50,20,90,75,70,85
212,212,37,23,11,55,11,64
213,213,71,72,74,87,70,89
214,214,84,20,91,84,89,90
215,215,73,79,74,68,42,72
216,216,22,13,14,25,18,39
217,217,69,69,78,85,71,82
218,218,88,84,38,42,56,71
219,219,34,23,27,71,14,67
220,220,68,77,82,84,67,77
221,221,78,70,79,85,65,81
222,222,83,82,82,80,64,82
223,223,43,28,80,80,85,77
224,224,88,84,39,64,50,82
225,225,85,84,71,77,54,79
226,226,82,77,65,86,76,83
227,227,24,18,12,45,23,58
228,228,80,77,84,77,50,75
229,229,45,45,80,81,62,82
230,230,86,83,62,63,42,76
231,231,88,85,49,42,41,73
232,232,73,21,85,72,90,82
233,233,17,24,14,50,15,55
234,234,26,21,12,58,24,61
235,235,78,48,83,80,55,76
236,236,67,52,86,79,75,77
237,237,77,78,63,64,73,74
238,238,29,26,14,53,23,62
239,239,64,18,79,69,81,77
240,240,88,84,78,79,60,83
241,241,72,84,55,69,67,71
242,242,82,72,84,79,79,82
243,243,56,42,83,80,78,81
244,244,29,23,15,68,13,60
245,245,36,21,13,43,22,62
246,246,84,83,61,71,44,83
247,247,72,38,78,78,57,78
248,248,87,87,51,65,51,69
249,249,69,24,85,76,75,79
250,250,45,15,18,65,14,64
251,251,72,50,79,70,74,81
252,252,82,81,71,72,57,84
253,253,63,37,78,85,84,80
254,254,60,55,80,83,81,87
255,255,68,31,83,81,77,80
256,256,25,19,12,44,21,65
257,257,40,15,11,42,22,64
258,258,32,21,10,41,22,52
259,259,77,76,76,73,53,76
260,260,26,23,17,51,25,64
261,261,70,87,66,78,54,84
262,262,63,77,85,87,74,79
263,263,74,69,84,81,75,81
264,264,86,82,78,77,80,90
265,265,77,38,79,81,79,82
266,266,32,23,13,62,24,53
267,267,65,69,85,76,76,80
268,268,45,55,79,83,79,79
269,269,20,22,12,46,15,64
270,270,78,85,69,75,52,83
271,271,57,37,81,85,82,80
272,272,44,24,80,90,67,83
273,273,67,79,79,84,82,80
274,274,81,86,30,64,37,75
275,275,38,28,12,50,22,70
276,276,78,76,76,73,54,79
277,277,69,38,84,78,68,82
278,278,54,48,74,77,42,75
279,279,26,21,11,60,15,64
280,280,45,34,77,86,66,82
281,281,92,82,39,40,45,79
282,282,76,73,79,78,47,74
283,283,73,83,71,71,70,77
284,284,56,55,74,77,55,76
285,285,77,76,75,68,60,74
286,286,74,55,81,75,73,79
287,287,82,46,82,74,77,81
288,288,62,11,85,70,87,78
289,289,54,53,82,75,55,78
290,290,69,77,72,75,61,82
291,291,65,32,83,58,77,79
292,292,75,82,58,77,77,81
293,293,69,74,69,64,65,74
294,294,86,82,58,50,62,70
295,295,72,78,74,72,52,74
296,296,45,33,77,78,61,72
297,297,20,17,9,45,9,59
298,298,73,84,58,66,51,78
299,299,75,83,78,83,58,80
300,300,67,50,77,77,69,80
301,301,86,83,68,74,48,78
302,302,83,34,85,65,77,83
303,303,43,36,83,75,64,79
304,304,78,76,74,80,58,81
305,305,87,81,34,49,44,75
306,306,62,44,79,88,74,82
307,307,63,38,76,77,70,79
308,308,67,73,80,83,72,83
309,309,75,21,85,73,64,81
310,310,86,77,78,78,54,78
311,311,77,70,83,85,73,85
312,312,48,36,79,78,57,73
313,313,28,21,18,46,25,62
314,314,63,66,77,81,68,79
315,315,32,23,14,46,18,56
316,316,82,79,67,68,46,74
317,317,76,80,76,80,67,81
318,318,81,82,70,81,66,84
319,319,72,38,81,82,74,80
320,320,85,84,67,73,80,81
321,321,57,61,75,80,71,78
322,322,66,20,85,58,79,75
323,323,18,21,15,57,24,63
324,324,82,78,74,75,44,78
325,325,24,25,19,53,19,44
326,326,76,36,83,75,91,81
327,327,33,19,15,42,31,59
328,328,89,80,39,57,40,72
329,329,67,36,85,60,79,78
330,330,42,24,18,68,45,64
331,331,75,78,73,76,50,79
332,332,82,84,29,41,37,75
333,333,58,38,83,81,75,74
334,334,80,77,70,64,56,76
335,335,79,78,82,76,75,80
336,336,38,20,75,82,72,76
337,337,73,76,78,71,65,77
338,338,67,69,75,77,53,84
339,339,76,76,77,68,48,70
340,340,63,79,82,71,51,79
341,341,80,45,82,81,72,80
342,342,57,26,86,67,71,84
343,343,25,25,11,60,21,61
344,344,21,16,11,62,12,65
345,345,46,58,80,84,69,74
346,346,62,66,79,83,74,78
347,347,84,81,49,60,72,73
348,348,66,75,72,82,64,84
349,349,61,55,75,80,65,81
350,350,84,86,75,73,60,78
351,351,78,68,78,76,65,80
352,352,59,66,78,84,79,87
353,353,69,60,83,74,76,84
354,354,56,49,73,79,72,82
355,355,58,51,72,82,80,84
356,356,62,34,85,85,92,87
357,357,82,82,78,78,68,84
358,358,86,84,54,74,52,78
359,359,83,85,50,65,34,81
360,360,83,84,30,48,45,72
361,361,34,21,14,43,41,61
362,362,60,72,82,84,70,84
363,363,43,16,15,52,22,63
364,364,11,15,10,46,21,63
365,365,51,33,78,84,78,85
366,366,84,82,82,78,67,75
367,367,80,51,81,76,80,82
368,368,91,76,40,48,57,79
369,369,58,70,78,93,71,89
370,370,72,33,82,53,62,75
371,371,62,40,77,83,77,81
372,372,86,82,38,42,56,71
373,373,69,77,72,75,61,82
374,374,65,32,81,58,77,79
375,375,41,31,82,80,74,77
376,376,81,79,54,73,61,68
377,377,86,82,58,50,62,70
378,378,34,23,27,71,14,67
379,379,57,39,75,80,73,76
380,380,68,26,77,81,66,77
381,381,83,82,64,59,60,74
382,382,74,21,87,70,72,82
383,383,58,26,75,73,65,74
384,384,58,35,77,81,69,80
385,385,75,72,69,87,60,87
386,386,21,11,8,33,16,56
387,387,66,48,79,81,60,77
388,388,83,79,60,68,50,65
389,389,75,69,76,70,41,77
390,390,62,23,82,70,66,79
391,391,62,69,78,79,65,79
392,392,89,79,42,55,52,76
393,393,27,26,14,31,24,48
394,394,76,81,28,43,43,72
395,395,41,31,82,80,74,77
396,396,36,22,13,77,21,41
397,397,62,77,57,61,41,54
398,398,58,21,79,76,71,75
399,399,81,81,64,65,45,76
400,400,83,77,45,58,39,69
401,401,53,45,80,76,70,74
402,402,80,85,39,34,61,78
403,403,73,77,75,79,59,76
404,404,34,20,11,35,24,55
405,405,60,50,75,75,66,82
406,406,72,83,59,64,45,72
407,407,85,54,82,74,63,84
408,408,82,79,75,79,73,80
409,409,52,81,73,77,65,78
410,410,88,74,66,60,45,75
411,411,76,76,76,82,55,80
412,412,72,81,70,62,26,68
413,413,64,45,78,72,73,74
414,414,81,81,51,72,54,83
415,415,77,34,82,64,77,77
416,416,78,79,78,79,55,69
417,417,72,77,76,81,56,81
418,418,81,76,79,80,70,74
419,419,36,17,74,73,58,83
420,420,27,18,19,48,25,67
421,421,45,21,17,55,20,53
422,422,85,78,69,75,51,76
423,423,60,72,73,82,66,82
424,424,52,66,78,79,72,78
425,425,69,71,78,82,70,84
426,426,75,22,84,69,76,76
427,427,72,86,28,50,36,70
428,428,63,72,78,65,64,72
429,429,85,26,79,80,76,78
430,430,75,52,76,80,72,80
431,431,56,75,77,83,51,75
432,432,72,61,80,78,56,75
433,433,83,31,85,61,77,75
434,434,41,36,78,76,60,73
435,435,78,77,63,80,60,86
436,436,48,44,76,83,58,83
437,437,70,39,83,80,65,77
438,438,76,79,64,75,54,74
439,439,86,85,48,50,39,69
440,440,84,79,49,60,59,69
441,441,75,79,65,68,52,67
442,442,89,79,63,62,67,74
443,443,72,78,67,66,62,70
444,444,78,70,72,72,54,78
445,445,78,80,49,67,44,76
446,446,77,78,45,61,56,80
447,447,85,82,43,65,52,78
448,448,75,77,71,73,51,77
449,449,60,25,77,76,77,77
450,450,48,66,78,81,65,78
451,451,82,78,68,65,61,79
452,452,23,24,10,41,20,63
453,453,80,79,37,53,45,73
454,454,73,77,72,76,56,77
455,455,63,72,73,85,69,83
456,456,91,72,67,80,63,67
457,457,36,23,10,68,25,64
458,458,72,39,84,73,71,75
459,459,77,83,61,75,52,76
460,460,86,77,70,71,64,75
461,461,80,77,72,69,78,80
462,462,89,77,73,79,75,79
463,463,67,39,84,70,79,81
464,464,75,35,83,76,76,78
465,465,81,78,70,72,43,77
466,466,69,60,81,82,72,78
467,467,80,78,64,62,50,69
468,468,75,81,67,66,66,69
469,469,75,74,77,67,64,75
470,470,61,33,83,77,76,78
471,471,77,81,69,71,64,82
472,472,85,81,70,75,66,76
473,473,75,82,77,83,50,79
474,474,54,32,73,80,75,78
475,475,54,40,85,69,67,76
476,476,24,27,13,52,29,62
477,477,58,49,79,77,66,77
478,478,83,48,81,78,78,76
479,479,88,83,76,80,52,78
480,480,68,72,78,80,68,80
481,481,79,83,54,63,50,78
482,482,74,60,84,84,83,83
483,483,84,81,53,69,58,84
484,484,72,42,81,80,79,82
485,485,76,46,82,79,74,77
486,486,75,26,80,78,73,82
487,487,85,80,54,71,75,75
488,488,93,40,80,74,75,83
489,489,82,82,31,49,61,69
490,490,86,79,61,57,58,81
491,491,41,20,11,42,25,63
492,492,77,81,72,66,61,76
493,493,83,81,73,73,65,82
494,494,33,21,11,56,16,62
495,495,74,79,76,78,64,77
496,496,84,69,85,83,81,82
497,497,87,53,79,80,75,77
498,498,79,82,30,57,44,78
499,499,82,82,52,61,49,77
500,500,31,25,12,49,25,66
501,501,73,41,86,67,81,82
502,502,76,78,69,80,63,90
503,503,44,26,87,77,85,80
504,504,52,38,80,73,83,82
505,505,24,17,11,59,10,67
506,506,79,31,79,76,70,84
507,507,85,79,72,79,89,86
508,508,55,35,82,84,75,81
509,509,44,35,85,77,78,86
510,510,66,39,75,77,65,77
511,511,35,12,5,60,15,45
512,512,75,76,58,77,77,81
513,513,62,77,57,61,41,54
514,514,73,75,69,68,49,76
515,515,84,41,84,62,71,86
516,516,51,57,80,78,66,82
517,517,54,21,83,71,74,82
518,518,57,41,85,64,70,74
519,519,25,10,4,42,20,32
520,520,74,82,37,44,43,76
521,521,74,78,76,66,38,74
522,522,78,74,75,72,59,76
523,523,78,81,73,78,50,77
524,524,76,77,31,59,30,78
525,525,74,69,52,42,40,59
526,526,62,59,78,79,64,78
527,527,62,66,75,79,78,82
528,528,85,75,68,75,59,78
529,529,78,80,43,71,63,80
530,530,60,63,70,82,49,77
531,531,47,43,79,78,49,74
532,532,22,13,6,39,13,56
533,533,65,27,76,80,69,79
534,534,80,78,52,70,30,77
535,535,65,68,75,81,73,76
536,536,62,74,66,63,62,67
537,537,84,76,65,76,51,71
538,538,52,29,80,76,75,77
539,539,83,72,73,59,42,70
540,540,76,34,81,65,75,72
541,541,78,66,70,79,83,75
542,542,43,20,82,75,74,73
543,543,35,12,5,60,15,64
544,544,84,72,67,72,72,76
545,545,81,79,54,73,61,68
546,546,62,74,66,66,55,67
547,547,73,75,69,68,49,76
548,548,67,47,75,74,73,78
549,549,75,55,84,71,85,76
550,550,32,21,82,77,78,76
551,551,87,38,77,68,72,72
552,552,71,70,75,83,67,80
553,553,72,77,65,72,46,83
554,554,89,26,84,67,71,74
555,555,78,71,64,76,64,80
556,556,66,74,76,80,55,75
557,557,76,73,75,80,52,80
558,558,85,80,47,55,46,76
559,559,77,78,54,64,38,80
560,560,80,69,69,80,69,75
561,561,56,49,76,76,72,70
562,562,83,79,65,58,70,73
563,563,66,30,82,71,78,80
564,564,80,19,85,66,76,76
565,565,77,76,64,81,51,83
566,566,64,80,57,77,52,83
567,567,58,25,78,76,66,80
568,568,78,82,36,61,39,79
569,569,82,77,49,50,32,67
570,570,84,29,77,70,63,75
571,571,85,79,59,70,45,77
572,572,71,75,61,74,46,67
573,573,75,72,71,66,47,71
574,574,76,39,83,73,68,78
575,575,58,58,84,75,76,84
576,576,86,82,73,73,58,77
577,577,81,81,16,33,37,70
578,578,74,49,82,76,73,77
579,579,87,73,81,77,64,81
580,580,70,35,84,71,75,81
581,581,84,80,60,65,32,80
582,582,43,36,78,82,67,76
583,583,74,72,75,69,58,80
584,584,70,41,64,69,47,73
585,585,55,20,84,71,80,78
586,586,73,82,32,62,36,76
587,587,67,55,82,78,71,69
588,588,76,77,27,60,38,75
589,589,20,18,17,43,11,32
590,590,72,72,68,70,41,74
591,591,79,73,72,81,55,84
592,592,19,18,12,30,21,63
593,593,65,71,76,75,67,77
594,594,58,33,74,78,69,67
595,595,73,73,78,79,68,78
596,596,69,78,72,57,55,72
597,597,74,70,72,68,35,71
598,598,48,50,77,78,59,72
599,599,70,38,78,75,72,79
600,600,19,27,20,50,30,49
601,601,73,81,51,66,53,76
602,602,70,85,61,75,68,74
603,603,39,19,85,69,74,78
604,604,61,44,74,80,71,76
605,605,87,80,74,78,67,83
606,606,19,26,12,52,13,46
607,607,65,45,75,76,69,79
608,608,89,75,76,82,64,77
609,609,74,77,75,78,57,79
610,610,84,82,60,67,52,81
611,611,88,79,66,71,90,76
612,612,73,67,67,82,82,79
613,613,79,80,40,44,41,72
614,614,73,76,59,64,60,71
615,615,79,77,77,71,80,70
616,616,59,55,77,81,76,83
617,617,53,34,75,73,68,73
618,618,89,79,45,39,36,67
619,619,26,13,10,34,22,32
620,620,80,80,47,75,61,70
621,621,88,75,53,64,74,77
622,622,74,78,50,73,60,80
623,623,80,79,48,62,43,73
624,624,76,77,73,79,84,82
625,625,86,80,77,79,45,84
626,626,74,76,69,69,76,75
627,627,50,70,77,81,67,80
628,628,76,83,67,70,35,78
629,629,39,17,13,47,36,60
630,630,61,25,78,77,74,70
631,631,29,17,18,49,22,62
632,632,63,45,75,80,65,77
633,633,67,38,81,78,82,76
634,634,75,81,72,64,67,69
635,635,76,42,81,78,74,78
636,636,50,16,81,76,78,75
637,637,77,73,79,81,69,77
638,638,69,49,75,80,76,81
639,639,79,23,79,72,75,73
640,640,31,17,13,45,24,48
641,641,83,75,65,74,74,80
642,642,85,80,66,57,56,69
643,643,68,56,77,78,85,76
644,644,54,31,79,78,75,69
645,645,90,80,48,53,45,79
646,646,81,83,75,79,74,82
647,647,51,36,82,82,69,75
648,648,72,78,70,68,45,71
649,649,83,80,46,56,52,67
650,650,83,81,40,60,42,74
651,651,75,76,77,77,69,78
652,652,50,14,84,65,77,72
653,653,52,55,80,79,74,82
654,654,80,79,67,73,57,80
655,655,80,30,81,77,83,79
656,656,83,81,63,74,68,80
657,657,25,14,8,42,22,45
658,658,79,36,80,69,90,78
659,659,82,31,77,78,62,70
660,660,57,59,77,81,78,80
661,661,51,36,74,80,88,80
662,662,80,80,82,78,45,78
663,663,85,74,74,74,60,75
664,664,71,54,75,78,77,71
665,665,77,80,53,50,58,71
666,666,76,75,45,57,49,78
667,667,80,79,70,70,55,82
668,668,76,42,82,77,83,79
669,669,78,81,70,66,61,72
670,670,60,24,82,78,78,78
671,671,46,39,84,83,80,85
672,672,72,26,85,62,69,70
673,673,52,34,76,77,80,75
674,674,78,79,65,79,66,76
675,675,45,29,19,55,12,65
676,676,66,38,83,75,81,80
677,677,20,25,16,50,26,57
678,678,55,43,80,84,71,71
679,679,53,41,81,81,78,86
680,680,84,76,73,68,63,78
681,681,83,82,41,56,51,75
682,682,15,23,14,42,41,63
683,683,22,22,12,48,15,58
684,684,87,85,51,68,60,81
685,685,19,23,16,48,16,57
686,686,32,22,13,65,24,64
687,687,74,24,78,83,73,82
688,688,77,76,73,77,62,81
689,689,74,74,66,79,65,79
690,690,82,76,27,59,77,76
691,691,79,72,71,61,48,65
692,692,73,72,76,64,64,80
693,693,43,20,82,75,74,73
694,694,88,77,24,47,66,70
695,695,53,32,74,75,67,84
696,696,84,73,67,69,49,72
697,697,17,11,5,51,15,60
698,698,12,9,6,55,13,56
699,699,57,46,73,77,62,77
700,700,76,21,80,67,77,70
701,701,67,78,74,75,73,80
702,702,55,23,75,71,68,77
703,703,72,78,42,60,42,68
704,704,59,21,79,69,44,77
705,705,74,80,23,30,31,62
706,706,69,79,67,74,86,78
707,707,69,20,78,72,70,80
708,708,81,77,62,64,55,78
709,709,77,78,37,51,41,74
710,710,64,69,76,75,66,79
711,711,57,59,76,77,37,66
712,712,42,27,76,84,52,78
713,713,68,78,72,73,37,74
714,714,27,29,73,73,64,68
715,715,62,30,76,73,62,76
716,716,76,31,79,52,67,72
717,717,53,17,75,72,58,78
718,718,82,79,40,30,45,64
719,719,59,25,80,73,58,73
720,720,78,78,44,59,40,74
721,721,20,17,4,47,16,59
722,722,60,31,77,66,74,74
723,723,49,22,80,67,74,73
724,724,87,73,75,69,68,75
725,725,69,53,76,78,69,74
726,726,84,70,74,77,68,76
727,727,58,53,77,75,46,69
728,728,62,16,74,65,56,80
729,729,55,45,78,65,83,72
730,730,45,71,74,77,45,60
731,731,63,40,73,75,44,62
732,732,26,21,73,69,76,71
733,733,73,72,76,64,64,80
734,734,80,77,37,59,34,66
735,735,88,77,24,47,66,70
736,736,60,73,60,60,50,71
737,737,94,67,57,56,77,77
738,738,78,69,69,56,41,75
739,739,85,78,68,76,53,70
740,740,71,68,78,77,58,77
741,741,71,74,67,81,73,78
742,742,78,78,51,68,56,79
743,743,73,80,36,67,40,76
744,744,50,77,70,82,50,81
745,745,67,21,76,77,63,78
746,746,82,74,67,72,36,74
747,747,80,79,36,32,43,68
748,748,74,32,80,75,64,76
749,749,77,78,61,69,41,81
750,750,22,22,20,21,21,67
751,751,62,32,76,74,76,76
752,752,29,25,15,21,19,55
753,753,68,35,78,68,76,72
754,754,77,75,65,65,38,70
755,755,51,31,86,52,75,72
756,756,76,62,74,70,56,77
757,757,27,43,78,73,72,75
758,758,60,56,74,76,59,76
759,759,80,79,64,74,62,79
760,760,79,41,78,72,66,74
761,761,70,79,57,77,60,68
762,762,70,82,53,59,37,65
763,763,65,23,82,73,53,71
764,764,87,39,83,75,73,81
765,765,21,25,16,43,25,56
766,766,80,77,48,56,53,78
767,767,76,82,34,32,30,74
768,768,77,70,77,70,47,72
769,769,74,79,71,64,65,72
770,770,79,77,49,55,56,67
771,771,74,77,57,44,64,68
772,772,70,78,70,66,46,78
773,773,57,74,67,76,56,74
774,774,79,77,69,52,41,75
775,775,75,76,68,64,59,73
776,776,80,74,58,76,59,81
777,777,85,79,65,72,40,72
778,778,77,80,35,33,63,60
779,779,74,73,77,79,76,76
780,780,75,78,73,75,68,74
781,781,79,59,79,80,45,80
782,782,70,41,82,72,65,77
783,783,69,73,68,72,67,77
784,784,39,29,74,75,65,74
785,785,58,56,76,83,70,78
786,786,75,78,76,76,55,77
787,787,82,79,42,58,34,67
788,788,68,69,77,75,78,81
789,789,65,75,59,58,40,65
790,790,74,78,68,73,40,74
791,791,52,45,77,74,70,70
792,792,80,35,79,68,69,75
793,793,79,78,63,59,40,74
794,794,67,38,75,73,55,75
795,795,58,22,80,57,75,77
796,796,92,48,78,62,69,76
797,797,71,80,63,69,78,80
798,798,66,18,80,58,74,74
799,799,84,74,65,56,44,69
800,800,63,52,73,81,63,73
801,801,78,74,73,60,36,77
802,802,84,80,51,73,47,79
803,803,76,74,76,74,58,74
804,804,75,78,74,76,54,74
805,805,93,70,73,74,54,72
806,806,83,51,81,69,58,72
807,807,75,79,29,55,48,69
808,808,27,20,13,55,26,45
809,809,63,35,76,79,69,74
810,810,47,18,75,76,75,80
811,811,69,69,77,82,65,76
812,812,74,76,64,60,49,72
813,813,51,28,82,75,65,75
814,814,88,80,52,47,48,69
815,815,83,78,72,82,74,79
816,816,41,42,73,74,61,72
817,817,71,74,74,65,42,76
818,818,47,66,78,81,63,75
819,819,49,44,73,75,57,77
820,820,79,81,38,44,42,65
821,821,90,74,69,66,51,72
822,822,52,30,78,71,75,74
823,823,75,81,70,72,47,77
824,824,21,13,8,50,19,60
825,825,68,76,74,72,59,76
826,826,37,13,12,64,42,53
827,827,75,74,71,68,40,73
828,828,82,78,62,70,58,72
829,829,64,77,77,75,61,80
830,830,33,26,13,47,16,44
831,831,82,79,40,49,57,75
832,832,67,52,79,77,76,82
833,833,48,39,76,71,56,71
834,834,57,63,84,85,80,86
835,835,80,78,30,58,36,77
836,836,90,79,22,51,45,73
837,837,84,79,43,50,51,78
838,838,74,54,75,80,65,80
839,839,77,73,66,68,55,69
840,840,38,30,78,74,57,70
841,841,77,78,61,69,41,81
842,842,79,78,63,59,40,74
843,843,85,78,68,76,53,70
844,844,77,76,73,77,62,81
845,845,76,83,50,64,57,76
846,846,76,78,46,64,23,70
847,847,84,74,65,56,44,69
848,848,49,22,80,67,74,73
849,849,74,78,68,73,40,74
850,850,80,35,79,68,69,75
851,851,82,74,67,72,36,74
852,852,21,25,16,43,25,56
853,853,59,21,79,69,44,77
854,854,58,29,79,80,62,69
855,855,75,74,71,68,40,73
856,856,79,77,49,55,56,67
857,857,77,70,77,70,47,72
858,858,27,20,13,55,26,45
859,859,81,77,62,64,55,78
860,860,77,76,74,70,55,75
861,861,85,79,44,52,52,71
862,862,74,77,57,44,64,68
863,863,74,32,80,75,64,76
864,864,67,21,76,77,63,78
865,865,69,69,77,82,65,76
866,866,87,39,83,75,73,81
867,867,39,29,74,75,65,74
868,868,41,42,73,74,61,72
