int_defending_id,int_player_id,int_defensive_awareness,int_standing_tackle,int_sliding_tackle
335,335,75,79,78
336,336,50,23,18
337,337,75,79,77
338,338,47,59,46
339,339,75,78,75
340,340,77,74,75
341,341,22,50,33
342,342,43,24,22
343,343,18,12,11
344,344,21,14,13
345,345,60,54,49
346,346,63,63,55
347,347,84,84,85
348,348,66,63,59
349,349,35,49,48
350,350,80,81,84
351,351,67,78,81
352,352,64,42,53
353,353,49,60,56
354,354,38,53,40
355,355,45,46,42
356,356,57,38,29
357,357,80,80,74
358,358,84,84,84
359,359,85,84,83
360,360,85,83,80
361,361,7,14,16
362,362,75,70,62
363,363,14,12,13
364,364,10,17,19
365,365,31,25,26
366,366,81,82,67
367,367,33,41,23
368,368,85,83,82
369,369,68,57,56
370,370,18,23,13
371,371,40,35,33
372,372,84,83,76
373,373,77,77,76
374,374,28,27,24
375,375,31,13,23
376,376,80,81,77
377,377,83,82,82
378,378,12,17,13
379,379,62,36,37
380,380,54,55,37
381,381,81,82,81
382,382,35,20,23
383,383,32,25,18
384,384,40,32,32
385,385,66,73,69
386,386,17,14,14
387,387,45,53,34
388,388,80,80,79
389,389,72,78,79
390,390,25,26,16
391,391,70,72,70
392,392,78,84,80
393,393,11,18,12
394,394,80,81,78
395,395,29,13,23
396,396,16,14,17
397,397,79,78,76
398,398,45,25,18
399,399,79,82,80
400,400,77,84,78
401,401,43,49,37
402,402,83,81,83
403,403,78,79,75
404,404,14,17,18
405,405,54,51,48
406,406,76,85,81
407,407,53,54,44
408,408,75,80,78
409,409,76,84,71
410,410,72,74,77
411,411,67,75,74
412,412,84,81,85
413,413,42,35,29
414,414,82,83,80
415,415,38,31,23
416,416,75,77,74
417,417,79,78,75
418,418,75,77,71
419,419,28,18,23
420,420,12,14,16
421,421,15,13,19
422,422,80,80,72
423,423,57,70,62
424,424,66,54,50
425,425,72,59,54
426,426,39,14,16
427,427,86,83,80
428,428,72,78,79
429,429,42,30,30
430,430,62,52,43
431,431,69,72,71
432,432,57,57,56
433,433,55,23,32
434,434,30,23,22
435,435,79,73,72
436,436,48,49,43
437,437,29,40,30
438,438,77,82,80
439,439,79,83,86
440,440,79,81,78
441,441,78,80,77
442,442,78,79,81
443,443,76,78,79
444,444,72,77,75
445,445,81,84,81
446,446,77,83,79
447,447,81,82,79
448,448,76,76,77
449,449,34,30,22
450,450,39,64,44
451,451,80,84,83
452,452,17,11,12
453,453,77,83,82
454,454,74,74,76
455,455,72,71,62
456,456,70,71,68
457,457,10,20,17
458,458,32,29,21
459,459,79,81,80
460,460,74,79,82
461,461,75,77,72
462,462,77,79,80
463,463,22,30,27
464,464,40,32,30
465,465,83,82,79
466,466,53,53,55
467,467,80,81,82
468,468,80,78,80
469,469,71,81,78
470,470,37,41,34
471,471,82,82,74
472,472,75,83,76
473,473,80,80,79
474,474,39,35,35
475,475,52,43,37
476,476,23,15,17
477,477,49,32,31
478,478,46,41,36
479,479,79,82,81
480,480,74,72,68
481,481,82,83,78
482,482,59,61,50
483,483,77,79,82
484,484,49,43,38
485,485,38,44,35
486,486,23,29,28
487,487,77,81,79
488,488,58,39,30
489,489,81,82,78
490,490,81,82,82
491,491,20,14,18
492,492,77,83,81
493,493,84,81,80
494,494,14,11,15
495,495,78,78,77
496,496,69,74,63
497,497,52,55,54
498,498,83,81,82
499,499,80,81,80
500,500,13,12,11
501,501,39,42,19
502,502,72,73,68
503,503,35,21,15
504,504,22,32,35
505,505,18,13,13
506,506,53,22,20
507,507,77,80,79
508,508,41,47,39
509,509,30,24,24
510,510,38,37,21
511,511,10,9,16
512,512,80,81,77
513,513,78,77,76
514,514,74,77,76
515,515,44,33,25
516,516,50,50,44
517,517,25,36,32
518,518,22,13,13
519,519,11,10,10
520,520,79,82,80
521,521,72,77,76
522,522,69,76,75
523,523,76,79,70
524,524,78,87,80
525,525,70,80,79
526,526,58,59,47
527,527,63,65,63
528,528,74,80,72
529,529,76,79,77
530,530,66,65,64
531,531,43,49,47
532,532,10,11,13
533,533,32,36,36
534,534,79,81,79
535,535,60,65,56
536,536,73,76,77
537,537,75,79,75
538,538,25,21,18
539,539,75,79,75
540,540,36,38,19
541,541,61,72,50
542,542,27,20,19
543,543,22,9,16
544,544,82,84,77
545,545,80,81,77
546,546,75,79,74
547,547,75,77,76
548,548,55,37,36
549,549,28,40,35
550,550,28,24,19
551,551,51,46,41
552,552,70,74,72
553,553,75,77,67
554,554,51,34,28
555,555,76,76,71
556,556,72,72,71
557,557,67,72,66
558,558,76,80,81
559,559,80,80,76
560,560,67,76,54
561,561,65,40,33
562,562,74,77,77
563,563,32,31,18
564,564,29,28,29
565,565,73,76,67
566,566,79,78,74
567,567,38,27,25
568,568,77,80,81
569,569,78,80,79
570,570,28,50,25
571,571,72,81,79
572,572,77,78,77
573,573,71,77,75
574,574,48,37,29
575,575,63,54,45
576,576,82,85,80
577,577,82,84,82
578,578,59,61,42
579,579,69,72,74
580,580,45,25,25
581,581,85,81,74
582,582,22,28,29
583,583,68,75,76
584,584,37,38,35
585,585,30,25,20
586,586,80,84,82
587,587,32,44,35
588,588,79,83,81
589,589,14,19,15
590,590,70,74,74
591,591,71,70,65
592,592,20,12,19
593,593,72,70,69
594,594,35,40,35
595,595,68,75,71
596,596,77,77,76
597,597,75,76,80
598,598,45,43,25
599,599,40,35,24
600,600,25,10,19
601,601,82,82,81
602,602,79,74,67
603,603,22,37,27
604,604,38,27,16
605,605,76,77,73
606,606,16,20,15
607,607,45,53,42
608,608,79,77,76
609,609,76,74,67
610,610,79,79,77
611,611,77,77,72
612,612,67,68,62
613,613,80,83,78
614,614,71,75,75
615,615,75,74,73
616,616,51,52,36
617,617,32,36,25
618,618,80,80,81
619,619,16,17,9
620,620,71,78,77
621,621,79,80,80
622,622,83,78,74
623,623,75,85,77
624,624,73,76,74
625,625,77,79,80
626,626,77,78,80
627,627,68,72,66
628,628,79,79,81
629,629,11,12,14
630,630,68,21,23
631,631,14,15,14
632,632,73,61,55
633,633,25,24,26
634,634,79,79,79
635,635,30,44,28
636,636,26,24,22
637,637,68,72,68
638,638,50,52,40
639,639,31,29,24
640,640,23,11,11
641,641,74,77,71
642,642,79,78,79
643,643,43,45,35
644,644,43,37,25
645,645,79,81,80
646,646,80,82,78
647,647,59,37,35
648,648,75,80,78
649,649,79,82,81
650,650,80,81,78
651,651,78,77,73
652,652,40,20,15
653,653,30,35,37
654,654,77,77,74
655,655,25,17,21
656,656,75,76,72
657,657,16,18,14
658,658,45,49,42
659,659,30,32,31
660,660,60,62,57
661,661,58,31,22
662,662,79,79,80
663,663,74,79,77
664,664,35,65,55
665,665,75,78,78
666,666,78,83,82
667,667,78,82,80
668,668,37,37,20
669,669,72,80,72
670,670,31,20,26
671,671,38,31,21
672,672,42,23,20
673,673,38,26,34
674,674,76,73,69
675,675,26,13,12
676,676,50,33,39
677,677,11,13,12
678,678,50,46,36
679,679,42,46,36
680,680,75,78,82
681,681,79,81,80
682,682,22,15,14
683,683,16,11,14
684,684,77,81,80
685,685,21,10,12
686,686,20,22,24
687,687,29,17,11
688,688,75,78,76
689,689,75,76,70
690,690,78,81,76
691,691,70,78,79
692,692,70,75,77
693,693,25,20,19
694,694,80,78,81
695,695,35,34,32
696,696,74,74,73
697,697,17,12,14
698,698,21,15,13
699,699,53,54,44
700,700,55,19,23
701,701,74,75,70
702,702,27,53,34
703,703,79,81,80
704,704,28,36,34
705,705,75,79,83
706,706,77,75,75
707,707,32,28,35
708,708,77,81,76
709,709,76,85,79
710,710,60,62,58
711,711,58,58,53
712,712,37,31,30
713,713,72,72,72
714,714,43,33,30
715,715,65,34,34
716,716,27,31,27
717,717,25,16,21
718,718,78,81,79
719,719,50,24,19
720,720,79,81,78
721,721,20,14,12
722,722,27,22,16
723,723,35,23,15
724,724,71,73,73
725,725,49,53,49
726,726,73,73,64
727,727,50,38,30
728,728,38,19,17
729,729,26,39,24
730,730,24,66,62
731,731,36,49,48
732,732,28,20,24
733,733,78,75,77
734,734,73,81,75
735,735,81,78,81
736,736,72,75,72
737,737,74,77,75
738,738,69,76,73
739,739,73,78,73
740,740,71,69,63
741,741,63,73,73
742,742,77,80,67
743,743,79,83,78
744,744,73,73,60
745,745,42,30,29
746,746,76,74,74
747,747,76,81,82
748,748,54,34,33
749,749,77,78,81
750,750,10,21,12
751,751,28,37,38
752,752,16,12,18
753,753,23,40,45
754,754,74,77,77
755,755,33,38,24
756,756,59,59,55
757,757,38,46,41
758,758,55,51,46
759,759,68,79,76
760,760,26,42,38
761,761,78,78,75
762,762,77,83,77
763,763,34,37,31
764,764,55,41,29
765,765,20,12,22
766,766,77,80,75
767,767,82,84,80
768,768,77,78,77
769,769,74,77,75
770,770,78,79,77
771,771,74,76,74
772,772,77,78,78
773,773,69,76,68
774,774,77,74,74
775,775,74,78,79
776,776,72,74,72
777,777,79,80,71
778,778,79,77,76
779,779,61,69,65
780,780,76,76,69
781,781,59,67,61
782,782,44,39,31
783,783,79,76,74
784,784,30,28,27
785,785,46,59,48
786,786,78,80,76
787,787,80,79,74
788,788,66,76,75
789,789,76,79,75
790,790,77,79,77
791,791,50,31,30
792,792,27,35,28
793,793,76,80,78
794,794,54,39,52
795,795,53,16,20
796,796,42,39,31
797,797,77,80,77
798,798,28,19,15
799,799,72,76,74
800,800,54,49,44
801,801,76,76,79
802,802,79,78,76
803,803,74,77,74
804,804,75,78,76
805,805,71,79,77
806,806,57,59,32
807,807,78,79,79
808,808,22,12,16
809,809,47,46,35
810,810,30,31,18
811,811,69,73,62
812,812,79,78,78
813,813,36,24,19
814,814,77,80,77
815,815,65,70,68
816,816,31,42,25
817,817,73,77,72
818,818,69,59,49
819,819,60,39,31
820,820,80,80,76
821,821,76,76,75
822,822,30,24,20
823,823,80,77,72
824,824,9,11,13
825,825,76,77,77
826,826,11,20,20
827,827,74,76,78
828,828,77,75,72
829,829,76,76,71
830,830,12,15,12
831,831,80,79,76
832,832,55,57,47
833,833,55,49,42
834,834,58,56,51
835,835,81,78,78
836,836,79,81,77
837,837,85,78,81
838,838,54,60,51
839,839,74,77,77
840,840,33,26,30
841,841,77,78,81
842,842,76,80,78
843,843,73,78,73
844,844,75,78,76
845,845,83,83,80
846,846,69,81,82
847,847,72,76,74
848,848,35,23,15
849,849,77,79,77
850,850,27,35,28
851,851,76,74,74
852,852,20,12,22
853,853,28,36,34
854,854,28,26,54
855,855,74,76,78
856,856,78,79,77
857,857,77,78,77
858,858,22,12,16
859,859,77,81,76
860,860,69,74,74
861,861,75,82,76
862,862,74,76,74
863,863,54,34,33
864,864,42,30,29
865,865,69,73,62
866,866,55,41,29
867,867,30,28,27
868,868,31,42,25
869,869,76,79,75
870,870,29,29,26
871,871,78,75,77
872,872,58,56,51
873,873,55,51,46
874,874,78,81,76
875,875,79,81,77
876,876,63,73,73
877,877,74,79,78
878,878,81,79,81
879,879,74,79,77
880,880,79,78,78
881,881,81,78,78
882,882,35,29,15
883,883,79,77,76
884,884,78,79,79
885,885,73,73,60
886,886,35,36,28
887,887,75,82,70
888,888,28,20,24
889,889,17,12,14
890,890,66,76,75
891,891,68,79,76
892,892,84,86,84
893,893,74,74,73
894,894,80,77,72
895,895,61,60,21
896,896,76,79,79
897,897,25,45,44
898,898,50,24,19
899,899,54,56,53
900,900,9,11,13
901,901,78,80,77
902,902,78,80,77
903,903,71,74,75
904,904,20,11,15
905,905,62,69,68
906,906,66,75,74
907,907,46,31,26
908,908,73,75,70
909,909,10,15,14
910,910,74,80,76
911,911,23,17,11
912,912,78,77,74
913,913,69,71,68
914,914,55,48,54
915,915,43,46,39
916,916,8,18,16
917,917,78,78,74
918,918,69,69,67
919,919,74,73,71
920,920,56,59,48
921,921,13,14,13
922,922,72,72,73
923,923,80,76,76
924,924,69,77,73
925,925,73,78,79
926,926,79,79,78
927,927,57,55,40
928,928,76,75,78
929,929,28,19,19
930,930,30,45,39
931,931,78,75,72
932,932,50,64,70
933,933,71,76,77
934,934,48,48,42
935,935,16,18,17
936,936,61,72,64
937,937,42,56,41
938,938,77,80,74
939,939,72,74,65
940,940,78,80,78
941,941,40,16,14
942,942,21,29,25
943,943,77,76,77
944,944,79,77,79
945,945,80,78,81
946,946,71,75,78
947,947,63,57,53
948,948,77,79,73
949,949,81,80,75
950,950,57,57,50
951,951,20,28,21
952,952,82,80,75
953,953,54,36,32
954,954,22,27,20
955,955,75,77,72
956,956,63,69,65
957,957,60,69,63
958,958,80,76,73
959,959,16,11,11
960,960,74,73,69
961,961,80,80,74
962,962,31,32,30
963,963,10,10,10
964,964,20,21,24
965,965,31,46,31
966,966,29,28,18
967,967,33,41,37
968,968,32,30,26
969,969,81,79,79
970,970,79,73,71
971,971,65,72,76
972,972,27,14,18
973,973,38,41,38
974,974,77,75,77
975,975,12,20,12
976,976,10,12,10
977,977,30,55,33
978,978,72,74,71
979,979,74,75,73
980,980,28,23,24
981,981,72,76,75
982,982,78,79,80
983,983,80,78,77
984,984,77,76,76
985,985,33,39,27
986,986,71,75,76
987,987,80,80,77
988,988,40,40,41
989,989,73,77,72
990,990,67,66,65
991,991,71,76,74
992,992,61,62,62
993,993,72,76,74
994,994,55,72,70
995,995,46,32,28
996,996,71,79,76
997,997,67,65,63
998,998,76,78,75
999,999,76,74,74
1000,1000,76,74,72
1001,1001,66,71,69
1002,1002,58,57,57
1003,1003,10,12,13
1004,1004,50,64,58
1005,1005,23,19,15
1006,1006,42,48,24
1007,1007,38,33,27
1008,1008,60,63,55
1009,1009,78,81,75
1010,1010,78,76,73
1011,1011,78,81,80
1012,1012,70,73,74
1013,1013,37,45,41
1014,1014,71,80,70
1015,1015,76,78,75
1016,1016,50,59,48
1017,1017,34,38,24
1018,1018,77,76,77
1019,1019,21,17,13
1020,1020,30,25,33
1021,1021,75,74,72
1022,1022,63,68,52
1023,1023,49,40,36
1024,1024,42,36,38
1025,1025,77,82,77
1026,1026,41,35,34
1027,1027,40,38,23
1028,1028,22,14,15
1029,1029,77,79,81
1030,1030,81,82,75
1031,1031,22,35,29
1032,1032,36,52,35
1033,1033,14,13,12
1034,1034,33,37,19
1035,1035,73,77,76
1036,1036,17,28,21
1037,1037,60,60,45
1038,1038,77,77,76
1039,1039,23,21,14
1040,1040,70,73,72
1041,1041,35,39,33
1042,1042,78,82,77
1043,1043,21,30,23
1044,1044,72,68,69
1045,1045,63,57,49
1046,1046,81,82,77
1047,1047,67,80,79
1048,1048,65,63,58
1049,1049,37,48,52
1050,1050,31,33,34
1051,1051,36,37,34
1052,1052,35,20,22
1053,1053,13,13,12
1054,1054,76,73,73
1055,1055,50,56,54
1056,1056,82,78,85
1057,1057,16,24,18
1058,1058,74,75,70
1059,1059,47,58,55
1060,1060,69,75,80
1061,1061,63,68,61
1062,1062,55,32,50
1063,1063,70,73,68
1064,1064,50,47,40
1065,1065,50,45,35
1066,1066,75,73,72
1067,1067,67,62,57
1068,1068,75,77,69
1069,1069,73,76,72
1070,1070,30,26,23
1071,1071,64,70,69
1072,1072,64,70,68
1073,1073,79,80,76
1074,1074,11,17,15
1075,1075,79,79,75
1076,1076,72,74,75
1077,1077,77,77,78
1078,1078,76,77,75
1079,1079,40,32,33
1080,1080,78,80,76
1081,1081,73,76,73
1082,1082,77,76,71
1083,1083,28,41,36
1084,1084,36,41,19
1085,1085,43,24,19
1086,1086,73,77,78
1087,1087,48,50,32
1088,1088,31,40,35
1089,1089,22,13,12
1090,1090,61,66,46
1091,1091,25,24,13
1092,1092,65,66,62
1093,1093,24,42,34
1094,1094,79,80,70
1095,1095,35,34,21
1096,1096,50,39,34
1097,1097,30,39,15
1098,1098,72,76,75
1099,1099,73,73,71
1100,1100,79,80,79
1101,1101,72,75,73
1102,1102,82,80,77
1103,1103,21,21,19
1104,1104,74,78,79
1105,1105,43,42,36
1106,1106,65,64,66
1107,1107,77,79,76
1108,1108,17,43,29
1109,1109,76,79,81
1110,1110,67,72,59
1111,1111,72,71,72
1112,1112,76,73,70
1113,1113,54,42,50
1114,1114,80,80,82
1115,1115,16,15,13
1116,1116,76,74,77
1117,1117,12,11,13
1118,1118,41,40,34
1119,1119,51,57,53
1120,1120,70,74,72
1121,1121,75,80,83
1122,1122,74,69,68
1123,1123,55,62,58
1124,1124,45,35,38
1125,1125,70,74,71
1126,1126,45,51,51
1127,1127,72,80,83
1128,1128,42,30,21
1129,1129,83,76,75
1130,1130,77,78,77
1131,1131,79,82,80
1132,1132,15,18,19
1133,1133,71,74,71
1134,1134,72,73,70
1135,1135,77,80,81
1136,1136,78,80,76
1137,1137,78,80,78
1138,1138,75,77,76
1139,1139,80,82,76
1140,1140,71,73,68
1141,1141,64,74,65
1142,1142,51,41,55
1143,1143,79,77,76
1144,1144,73,78,75
1145,1145,37,35,28
1146,1146,80,74,73
1147,1147,79,81,76
1148,1148,39,23,21
1149,1149,29,19,25
1150,1150,58,66,65
1151,1151,73,76,75
1152,1152,72,74,72
1153,1153,78,76,71
1154,1154,14,16,18
1155,1155,37,35,30
1156,1156,83,80,78
1157,1157,76,78,78
1158,1158,36,19,24
1159,1159,60,63,61
1160,1160,56,47,47
1161,1161,76,75,70
1162,1162,37,26,22
1163,1163,73,77,75
1164,1164,82,80,75
1165,1165,76,78,74
1166,1166,30,36,32
1167,1167,75,78,76
1168,1168,32,19,18
1169,1169,31,29,24
1170,1170,76,70,69
1171,1171,80,82,79
1172,1172,34,22,23
1173,1173,71,77,73
1174,1174,79,76,77
1175,1175,78,82,75
1176,1176,17,18,16
1177,1177,74,81,75
1178,1178,75,70,74
1179,1179,28,48,37
1180,1180,68,69,72
1181,1181,67,75,76
1182,1182,62,50,37
1183,1183,74,78,77
1184,1184,74,76,77
1185,1185,53,55,34
1186,1186,68,75,68
1187,1187,26,17,13
1188,1188,40,46,36
1189,1189,30,32,34
1190,1190,15,17,18
1191,1191,70,77,74
1192,1192,33,31,30
1193,1193,71,77,77
1194,1194,43,45,43
1195,1195,35,30,26
1196,1196,76,77,76
1197,1197,13,17,17
1198,1198,76,75,74
1199,1199,78,78,76
1200,1200,76,80,77
1201,1201,13,15,13
1202,1202,70,72,72
1203,1203,76,76,75
1204,1204,38,32,28
1205,1205,74,77,75
1206,1206,40,59,52
1207,1207,79,81,74
1208,1208,81,77,75
1209,1209,64,73,68
1210,1210,78,77,78
1211,1211,13,12,12
1212,1212,74,78,72
1213,1213,38,46,34
1214,1214,26,29,24
1215,1215,40,29,24
1216,1216,19,22,21
1217,1217,75,75,74
1218,1218,36,35,33
1219,1219,46,42,21
1220,1220,31,46,30
1221,1221,76,76,68
1222,1222,39,22,16
1223,1223,70,73,71
1224,1224,75,79,75
1225,1225,72,71,72
1226,1226,72,78,79
1227,1227,73,74,71
1228,1228,42,40,44
1229,1229,47,49,44
1230,1230,80,79,78
1231,1231,14,12,14
1232,1232,74,76,69
1233,1233,78,82,80
1234,1234,23,27,20
1235,1235,75,76,74
1236,1236,70,72,72
1237,1237,63,67,62
1238,1238,35,42,37
1239,1239,40,26,15
1240,1240,73,73,77
1241,1241,56,60,59
1242,1242,67,78,76
1243,1243,75,78,75
1244,1244,34,22,26
1245,1245,18,24,16
1246,1246,28,30,27
1247,1247,80,80,78
1248,1248,75,79,74
1249,1249,15,11,13
1250,1250,12,9,10
1251,1251,48,38,36
1252,1252,25,33,23
1253,1253,80,70,74
1254,1254,25,18,16
1255,1255,16,13,14
1256,1256,74,77,75
1257,1257,20,18,15
1258,1258,73,77,78
1259,1259,37,38,25
1260,1260,44,42,40
1261,1261,43,37,29
1262,1262,72,71,73
1263,1263,69,75,67
1264,1264,30,32,22
1265,1265,25,32,22
1266,1266,43,50,40
1267,1267,76,77,76
1268,1268,48,30,21
1269,1269,77,76,72
1270,1270,70,78,74
1271,1271,39,39,55
1272,1272,35,24,21
1273,1273,78,80,77
1274,1274,69,63,61
1275,1275,47,28,30
1276,1276,75,78,77
1277,1277,16,32,44
1278,1278,69,71,72
1279,1279,47,40,37
1280,1280,70,78,75
1281,1281,23,32,28
1282,1282,68,72,71
1283,1283,69,72,68
1284,1284,69,75,74
1285,1285,73,76,71
1286,1286,68,58,53
1287,1287,74,78,68
1288,1288,73,74,74
1289,1289,70,78,75
1290,1290,77,79,78
1291,1291,35,42,43
1292,1292,20,11,12
1293,1293,71,77,76
1294,1294,71,77,70
1295,1295,33,48,46
1296,1296,11,11,14
1297,1297,17,19,17
1298,1298,38,30,25
1299,1299,30,41,25
1300,1300,21,21,22
1301,1301,76,72,72
1302,1302,65,65,56
1303,1303,59,57,52
1304,1304,69,71,70
1305,1305,76,77,68
1306,1306,55,30,30
1307,1307,77,79,78
1308,1308,43,43,38
1309,1309,69,59,46
1310,1310,75,76,77
1311,1311,33,33,25
1312,1312,76,76,74
1313,1313,73,72,69
1314,1314,78,78,75
1315,1315,54,24,14
1316,1316,20,24,15
1317,1317,43,43,36
1318,1318,50,15,18
1319,1319,65,73,73
1320,1320,26,28,24
1321,1321,77,78,74
1322,1322,71,75,75
1323,1323,72,73,68
1324,1324,27,36,26
1325,1325,69,72,72
1326,1326,30,13,13
