int_skill_id,int_player_id,int_dribbling,int_curve,int_fk_accuracy,int_long_passing,int_ball_control
215,215,78,70,43,67,81
216,216,12,10,14,17,19
217,217,87,80,72,80,86
218,218,56,45,49,61,70
219,219,9,9,18,16,21
220,220,85,75,59,81,85
221,221,85,82,77,83,86
222,222,82,73,58,82,83
223,223,85,79,79,67,81
224,224,63,50,32,75,78
225,225,79,70,47,79,79
226,226,76,85,84,87,82
227,227,16,23,11,33,19
228,228,78,70,58,77,79
229,229,84,83,76,80,86
230,230,65,59,39,63,79
231,231,50,51,48,69,71
232,232,86,79,74,53,85
233,233,22,14,16,27,24
234,234,14,19,20,23,15
235,235,87,82,65,65,87
236,236,82,86,87,82,84
237,237,71,77,75,64,75
238,238,13,20,20,29,15
239,239,86,81,79,73,82
240,240,82,77,64,83,79
241,241,61,44,42,77,74
242,242,84,80,65,72,84
243,243,82,84,72,76,84
244,244,14,17,16,38,20
245,245,15,13,12,35,24
246,246,72,44,46,82,76
247,247,86,71,58,59,84
248,248,60,57,46,74,69
249,249,83,76,44,51,83
250,250,24,16,15,34,20
251,251,88,71,70,69,85
252,252,75,54,53,80,78
253,253,81,86,76,82,85
254,254,86,89,86,81,90
255,255,81,83,67,58,82
256,256,19,15,13,31,23
257,257,19,12,13,41,24
258,258,19,12,11,25,17
259,259,80,66,39,71,79
260,260,12,16,16,37,22
261,261,75,84,62,83,84
262,262,83,82,81,82,84
263,263,81,70,66,80,83
264,264,80,85,88,77,77
265,265,78,79,72,74,83
266,266,25,14,10,47,27
267,267,79,73,75,74,79
268,268,88,83,84,77,82
269,269,15,23,22,39,14
270,270,71,49,47,74,76
271,271,86,85,82,81,85
272,272,82,84,75,82,88
273,273,78,88,82,86,82
274,274,59,53,45,72,71
275,275,26,20,13,35,28
276,276,81,81,57,75,81
277,277,83,81,64,67,83
278,278,87,66,41,73,80
279,279,19,12,11,56,28
280,280,82,71,48,78,79
281,281,57,33,26,72,62
282,282,79,78,48,79,80
283,283,74,63,53,76,76
284,284,82,68,58,75,81
285,285,85,67,44,58,79
286,286,84,81,72,66,80
287,287,84,74,65,61,80
288,288,78,59,49,60,77
289,289,84,70,67,83,85
290,290,77,83,52,71,78
291,291,75,59,67,47,74
292,292,77,54,57,78,76
293,293,77,70,66,71,72
294,294,60,72,58,58,64
295,295,78,67,67,70,81
296,296,86,69,58,59,83
297,297,8,20,9,40,9
298,298,68,63,51,79,77
299,299,83,75,69,79,83
300,300,83,76,70,69,80
301,301,77,70,72,75,79
302,302,65,40,37,48,79
303,303,87,76,56,67,81
304,304,87,64,70,76,88
305,305,63,30,27,67,71
306,306,81,85,84,82,84
307,307,83,79,77,76,84
308,308,78,81,78,82,83
309,309,81,76,53,66,76
310,310,78,80,58,67,78
311,311,83,83,78,77,81
312,312,88,81,63,74,86
313,313,15,19,17,27,14
314,314,84,85,81,75,85
315,315,13,17,13,24,23
316,316,76,66,54,64,77
317,317,78,73,59,79,84
318,318,82,75,74,81,83
319,319,82,75,76,73,80
320,320,71,61,48,75,76
321,321,85,92,86,80,86
322,322,76,68,57,55,79
323,323,10,25,19,52,33
324,324,78,76,54,69,79
325,325,16,14,15,38,23
326,326,74,57,46,48,80
327,327,13,11,12,25,21
328,328,60,35,56,72,69
329,329,76,74,84,62,81
330,330,14,18,16,56,40
331,331,79,80,44,69,78
332,332,47,34,28,69,67
333,333,82,74,78,69,83
334,334,74,47,54,72,77
335,335,77,73,78,75,78
336,336,87,87,81,75,88
337,337,75,74,56,74,79
338,338,87,77,69,76,84
339,339,74,63,45,69,79
340,340,83,65,50,67,81
341,341,79,79,80,72,79
342,342,78,85,85,51,82
343,343,12,10,10,35,32
344,344,17,21,20,38,25
345,345,84,84,74,78,84
346,346,85,77,79,82,78
347,347,64,39,19,70,68
348,348,85,80,75,78,84
349,349,84,88,84,79,82
350,350,74,71,68,79,75
351,351,90,78,69,69,85
352,352,84,81,72,81,87
353,353,86,79,64,66,84
354,354,87,58,74,75,85
355,355,87,82,72,73,88
356,356,82,82,69,80,84
357,357,80,64,60,81,82
358,358,61,46,45,75,72
359,359,58,33,30,70,60
360,360,54,39,37,68,64
361,361,14,16,12,34,26
362,362,81,80,70,82,85
363,363,14,18,12,32,22
364,364,10,15,15,27,23
365,365,87,83,81,77,87
366,366,76,67,63,77,78
367,367,76,77,70,70,76
368,368,58,44,47,73,62
369,369,85,80,70,83,90
370,370,75,53,52,40,76
371,371,79,86,78,82,78
372,372,56,45,49,61,72
373,373,77,83,52,71,78
374,374,74,59,67,47,73
375,375,82,56,75,80,82
376,376,75,48,73,75,77
377,377,60,72,58,58,64
378,378,9,9,18,16,21
379,379,80,72,76,73,81
380,380,85,66,58,77,79
381,381,70,60,40,69,71
382,382,72,75,57,64,77
383,383,88,77,62,67,85
384,384,86,70,52,69,85
385,385,88,74,65,81,86
386,386,13,13,10,40,32
387,387,79,79,82,74,82
388,388,69,66,46,79,79
389,389,79,63,64,60,76
390,390,80,77,46,58,81
391,391,86,81,76,77,84
392,392,65,39,39,64,71
393,393,12,20,14,21,16
394,394,47,33,72,66,68
395,395,82,56,75,80,82
396,396,14,15,13,30,20
397,397,78,55,49,75,77
398,398,84,77,79,65,80
399,399,66,68,55,76,76
400,400,68,32,28,73,69
401,401,85,66,30,59,79
402,402,53,56,50,70,73
403,403,79,80,74,78,82
404,404,19,14,17,29,23
405,405,87,82,60,55,81
406,406,73,69,33,70,74
407,407,84,76,58,68,84
408,408,83,75,67,78,83
409,409,79,76,69,81,82
410,410,76,65,33,70,71
411,411,83,77,63,80,85
412,412,71,45,22,63,73
413,413,81,72,65,65,80
414,414,71,64,59,78,76
415,415,76,64,54,44,78
416,416,82,83,76,78,81
417,417,82,64,58,78,83
418,418,76,66,73,84,82
419,419,91,73,58,66,83
420,420,16,16,12,24,20
421,421,19,15,16,29,35
422,422,76,70,76,79,79
423,423,84,74,67,79,85
424,424,84,82,80,71,84
425,425,85,85,81,80,85
426,426,75,69,41,48,75
427,427,64,45,25,65,65
428,428,82,59,56,66,81
429,429,81,76,74,79,85
430,430,86,80,72,75,85
431,431,85,80,65,80,85
432,432,81,82,71,75,80
433,433,78,64,56,42,75
434,434,86,80,70,74,82
435,435,72,80,50,80,74
436,436,85,76,74,78,82
437,437,79,83,74,68,80
438,438,75,72,48,70,78
439,439,53,72,51,83,71
440,440,50,60,59,64,63
441,441,74,70,57,70,79
442,442,74,74,70,72,76
443,443,77,63,50,59,77
444,444,76,57,52,69,77
445,445,69,47,29,75,80
446,446,63,46,35,74,70
447,447,61,54,53,73,68
448,448,80,75,56,72,81
449,449,87,84,77,62,84
450,450,83,77,76,77,84
451,451,54,58,66,81,65
452,452,11,20,19,21,23
453,453,59,55,37,61,76
454,454,75,59,42,73,74
455,455,80,82,78,81,84
456,456,66,76,77,85,80
457,457,13,23,12,45,24
458,458,77,72,54,66,75
459,459,70,66,51,79,78
460,460,76,69,30,69,79
461,461,70,52,62,81,79
462,462,77,69,63,77,79
463,463,80,65,36,61,78
464,464,76,68,60,50,79
465,465,75,78,42,75,79
466,466,83,82,66,73,83
467,467,73,73,54,69,74
468,468,68,69,69,77,77
469,469,78,85,86,71,83
470,470,78,70,72,74,83
471,471,78,70,67,82,79
472,472,75,68,46,77,76
473,473,78,76,68,80,80
474,474,85,80,85,77,85
475,475,66,63,69,62,77
476,476,16,32,20,33,24
477,477,82,81,57,71,81
478,478,85,78,81,74,77
479,479,80,68,41,80,80
480,480,83,78,78,80,85
481,481,68,37,28,70,72
482,482,78,77,69,72,83
483,483,68,42,64,76,73
484,484,80,67,71,77,82
485,485,85,79,78,74,84
486,486,85,89,91,74,85
487,487,68,70,72,80,79
488,488,75,65,59,52,79
489,489,46,52,69,69,70
490,490,58,70,48,76,66
491,491,12,11,12,43,15
492,492,73,74,52,70,77
493,493,71,80,47,72,74
494,494,12,12,13,47,40
495,495,76,80,84,81,80
496,496,80,78,68,82,84
497,497,84,84,81,74,82
498,498,42,34,37,65,71
499,499,67,32,39,74,76
500,500,12,17,12,34,15
501,501,73,81,70,60,80
502,502,89,65,55,79,88
503,503,79,78,77,73,84
504,504,78,61,62,46,80
505,505,15,19,13,22,22
506,506,86,86,80,77,86
507,507,77,81,75,81,80
508,508,83,86,77,82,81
509,509,88,88,80,72,88
510,510,84,74,75,62,84
511,511,18,12,13,12,20
512,512,77,54,57,75,76
513,513,78,55,49,75,75
514,514,76,54,49,59,74
515,515,77,65,36,47,78
516,516,83,72,75,77,83
517,517,84,80,73,57,80
518,518,78,53,35,33,77
519,519,8,14,10,25,18
520,520,67,42,26,66,71
521,521,74,65,43,69,76
522,522,83,69,51,71,80
523,523,70,63,72,76,76
524,524,51,37,25,74,52
525,525,72,59,36,62,73
526,526,78,68,57,76,83
527,527,82,89,91,74,81
528,528,77,70,55,79,78
529,529,67,64,43,79,78
530,530,81,73,41,79,83
531,531,81,70,64,65,80
532,532,13,13,14,22,11
533,533,83,78,72,65,81
534,534,68,55,32,74,76
535,535,78,69,82,76,79
536,536,76,69,30,70,77
537,537,70,73,65,79,76
538,538,78,67,45,47,81
539,539,71,50,40,65,74
540,540,70,63,48,53,75
541,541,81,85,88,81,82
542,542,82,79,60,56,81
543,543,18,12,13,12,20
544,544,72,64,68,72,74
545,545,75,48,73,75,77
546,546,68,56,58,63,74
547,547,76,54,49,59,74
548,548,85,78,69,69,81
549,549,80,69,33,59,80
550,550,78,73,70,60,79
551,551,79,58,57,62,77
552,552,77,70,69,81,81
553,553,77,68,50,79,79
554,554,64,58,37,52,66
555,555,84,68,68,79,85
556,556,79,70,70,78,83
557,557,84,80,79,74,82
558,558,60,46,43,57,62
559,559,59,28,31,81,69
560,560,79,83,81,81,80
561,561,78,78,76,68,76
562,562,74,67,62,65,79
563,563,73,51,36,65,77
564,564,79,55,48,51,79
565,565,81,73,68,80,82
566,566,74,63,46,81,78
567,567,82,81,67,62,83
568,568,67,43,29,68,70
569,569,60,62,41,58,73
570,570,80,76,66,57,81
571,571,77,51,37,73,77
572,572,76,48,59,79,81
573,573,76,71,38,73,76
574,574,74,80,35,45,78
575,575,86,82,68,68,83
576,576,72,61,57,80,80
577,577,62,26,26,60,66
578,578,83,78,60,51,80
579,579,81,79,61,67,79
580,580,75,69,60,69,78
581,581,66,31,31,65,69
582,582,81,74,78,77,80
583,583,80,68,34,66,76
584,584,92,67,42,54,83
585,585,74,75,72,60,76
586,586,66,32,22,71,73
587,587,82,78,70,69,81
588,588,55,30,27,63,64
589,589,17,12,21,20,20
590,590,73,80,74,74,77
591,591,78,81,67,82,82
592,592,18,13,15,25,24
593,593,81,77,69,72,81
594,594,79,74,78,79,80
595,595,78,76,68,82,79
596,596,79,53,71,66,80
597,597,72,64,48,65,74
598,598,82,78,75,74,82
599,599,80,65,78,71,79
600,600,18,19,20,26,24
601,601,69,62,59,73,74
602,602,76,61,65,83,80
603,603,78,74,66,63,81
604,604,80,79,75,74,83
605,605,81,74,73,80,82
606,606,12,21,12,36,22
607,607,79,83,72,71,78
608,608,78,79,78,79,82
609,609,78,83,80,83,80
610,610,64,60,45,76,73
611,611,62,71,81,78,76
612,612,75,91,89,82,82
613,613,52,28,32,58,57
614,614,78,68,66,70,76
615,615,78,76,72,75,77
616,616,83,77,74,76,84
617,617,85,78,55,64,82
618,618,49,47,45,57,64
619,619,15,13,16,23,22
620,620,70,82,84,82,76
621,621,65,60,69,78,70
622,622,62,60,61,85,79
623,623,62,33,58,72,68
624,624,77,74,78,80,82
625,625,76,62,56,78,79
626,626,79,77,68,74,78
627,627,86,75,61,76,83
628,628,65,67,49,78,77
629,629,12,20,15,33,32
630,630,82,78,62,77,80
631,631,19,17,17,32,33
632,632,80,85,81,78,80
633,633,78,82,77,69,79
634,634,74,77,76,69,79
635,635,79,70,72,74,82
636,636,85,77,60,55,83
637,637,84,73,60,75,84
638,638,81,82,78,76,81
639,639,76,41,71,63,74
640,640,11,12,11,32,30
641,641,67,80,79,78,80
642,642,70,67,59,67,80
643,643,78,76,80,66,79
644,644,84,80,79,77,79
645,645,51,50,39,70,66
646,646,78,79,64,77,81
647,647,79,85,68,66,77
648,648,75,75,71,69,79
649,649,59,49,22,64,58
650,650,59,45,31,63,65
651,651,69,66,67,81,80
652,652,77,58,54,58,76
653,653,80,73,59,72,81
654,654,70,70,40,71,80
655,655,73,66,60,57,77
656,656,73,70,65,80,76
657,657,13,12,15,38,22
658,658,74,66,57,65,75
659,659,83,67,68,67,83
660,660,78,87,85,77,85
661,661,87,72,64,69,87
662,662,75,67,55,79,78
663,663,80,75,60,76,77
664,664,80,77,68,69,78
665,665,63,36,39,67,75
666,666,67,66,60,67,73
667,667,77,65,53,69,76
668,668,69,70,65,58,81
669,669,75,82,80,76,81
670,670,78,80,78,62,81
671,671,80,85,84,78,85
672,672,77,62,50,49,83
673,673,80,82,77,78,82
674,674,70,83,77,81,79
675,675,23,18,22,48,29
676,676,74,74,70,69,76
677,677,12,10,13,32,32
678,678,78,87,85,88,83
679,679,81,81,82,77,82
680,680,78,77,58,64,79
681,681,62,31,49,72,68
682,682,14,15,17,32,25
683,683,13,12,11,33,12
684,684,58,63,50,78,80
685,685,10,14,17,32,18
686,686,10,11,11,22,23
687,687,84,94,71,74,84
688,688,80,72,59,77,81
689,689,78,73,62,81,80
690,690,61,46,32,74,62
691,691,72,73,47,65,73
692,692,76,76,68,59,75
693,693,82,79,60,56,78
694,694,44,54,50,72,62
695,695,85,84,56,67,83
696,696,72,67,42,73,76
697,697,30,13,14,29,37
698,698,16,9,9,38,21
699,699,81,77,75,69,79
700,700,78,72,53,41,79
701,701,70,72,74,75,80
702,702,84,79,60,62,79
703,703,64,40,28,73,79
704,704,80,71,47,64,78
705,705,35,27,22,45,72
706,706,68,68,74,78,75
707,707,85,77,60,65,83
708,708,73,63,53,79,78
709,709,69,32,27,69,69
710,710,82,85,84,74,81
711,711,79,75,35,78,81
712,712,81,73,62,73,86
713,713,82,67,33,73,79
714,714,83,80,68,65,82
715,715,84,74,48,60,81
716,716,82,63,47,46,75
717,717,83,78,55,59,79
718,718,48,27,27,56,63
719,719,82,78,56,62,83
720,720,49,47,27,68,66
721,721,14,13,12,38,10
722,722,82,66,57,52,80
723,723,72,50,42,45,76
724,724,69,57,39,65,75
725,725,82,74,68,69,77
726,726,83,69,68,76,80
727,727,82,69,64,75,77
728,728,69,59,33,64,70
729,729,72,52,65,68,74
730,730,78,54,48,83,80
731,731,81,67,72,72,77
732,732,80,72,81,84,79
733,733,76,76,68,59,75
734,734,51,27,32,72,69
735,735,44,54,50,72,62
736,736,75,60,50,67,71
737,737,71,81,77,67,72
738,738,73,59,34,56,72
739,739,83,75,52,73,80
740,740,79,79,71,79,80
741,741,79,75,75,83,84
742,742,68,54,45,75,75
743,743,69,54,55,74,74
744,744,78,47,68,81,81
745,745,86,75,42,68,82
746,746,75,72,56,68,74
747,747,48,53,41,43,75
748,748,81,63,65,69,80
749,749,75,56,32,76,78
750,750,16,20,21,22,22
751,751,81,75,64,65,81
752,752,16,15,18,24,25
753,753,81,64,62,65,81
754,754,76,62,33,70,75
755,755,75,60,40,35,77
756,756,85,78,76,57,80
757,757,79,64,67,71,80
758,758,77,81,78,75,77
759,759,75,56,49,77,77
760,760,77,68,51,70,74
761,761,75,66,60,77,79
762,762,67,45,29,57,72
763,763,79,69,69,66,78
764,764,77,79,67,69,77
765,765,13,25,13,32,32
766,766,62,38,30,68,58
767,767,62,20,24,58,63
768,768,79,50,30,70,78
769,769,76,69,49,72,75
770,770,55,34,33,73,65
771,771,73,78,68,73,74
772,772,72,76,56,75,75
773,773,77,68,55,77,82
774,774,77,68,34,61,74
775,775,76,74,59,68,74
776,776,74,59,60,76,80
777,777,75,62,60,74,77
778,778,49,32,43,63,63
779,779,79,79,81,76,79
780,780,76,63,63,77,77
781,781,84,60,57,81,81
782,782,79,62,45,68,77
783,783,77,65,66,79,82
784,784,82,76,73,67,82
785,785,84,80,68,77,84
786,786,72,73,71,78,75
787,787,62,47,32,64,67
788,788,79,79,51,68,80
789,789,65,72,58,67,74
790,790,75,68,38,75,77
791,791,82,85,80,67,81
792,792,75,62,44,56,75
793,793,72,40,30,68,74
794,794,79,79,72,67,78
795,795,76,61,73,52,79
796,796,75,60,54,54,72
797,797,68,65,66,76,73
798,798,71,54,43,46,75
799,799,72,75,68,64,68
800,800,80,77,83,78,80
801,801,64,67,55,65,69
802,802,68,61,48,78,74
803,803,76,68,62,78,80
804,804,77,41,42,75,79
805,805,75,61,42,62,76
806,806,75,70,42,53,75
807,807,64,53,33,67,66
808,808,11,18,16,37,18
809,809,82,78,70,74,83
810,810,81,81,69,77,79
811,811,76,78,69,79,79
812,812,74,75,39,68,75
813,813,79,70,59,63,79
814,814,58,36,38,75,68
815,815,76,78,78,81,80
816,816,84,77,69,66,83
817,817,73,74,61,67,74
818,818,82,82,70,78,81
819,819,83,85,65,71,82
820,820,55,36,29,69,68
821,821,71,57,49,71,75
822,822,81,70,66,58,83
823,823,72,54,51,71,76
824,824,16,12,14,41,23
825,825,80,62,41,72,80
826,826,13,22,20,48,35
827,827,73,66,49,69,73
828,828,71,65,62,76,75
829,829,77,60,70,77,79
830,830,16,11,11,36,19
831,831,58,44,50,67,62
832,832,80,77,78,70,84
833,833,81,82,77,70,78
834,834,78,77,75,78,83
835,835,65,52,69,75,70
836,836,55,36,41,68,62
837,837,53,44,35,60,64
838,838,83,69,73,80,84
839,839,80,62,47,72,76
840,840,82,72,65,62,79
841,841,75,56,32,76,78
842,842,72,40,30,68,74
843,843,83,75,52,73,80
844,844,80,72,59,77,81
845,845,65,53,45,67,67
846,846,65,69,38,68,74
847,847,72,75,68,64,68
848,848,72,50,42,45,76
849,849,75,68,38,75,77
850,850,75,62,44,56,75
851,851,75,72,56,68,74
852,852,13,25,13,32,32
853,853,80,71,47,64,78
854,854,79,74,63,66,78
855,855,73,66,49,69,73
856,856,55,34,33,73,65
857,857,79,50,30,70,78
858,858,11,18,16,37,18
859,859,73,63,53,79,78
860,860,75,77,53,69,75
861,861,55,70,74,75,60
862,862,73,78,68,73,74
863,863,81,63,65,69,80
864,864,86,75,42,68,82
865,865,76,78,69,79,79
866,866,77,79,67,69,77
867,867,82,76,73,67,82
868,868,84,77,69,66,83
869,869,65,72,58,67,74
870,870,69,60,75,60,69
871,871,76,76,68,59,75
872,872,78,77,75,78,83
873,873,77,81,78,75,77
874,874,61,46,32,74,62
875,875,55,36,41,68,62
876,876,79,75,75,83,84
877,877,53,55,47,69,70
878,878,63,42,53,75,72
879,879,76,74,66,69,77
880,880,74,75,39,68,75
881,881,65,52,69,75,70
882,882,80,69,43,67,78
883,883,49,32,43,63,63
884,884,64,53,33,67,66
885,885,78,47,68,81,81
886,886,76,70,57,58,82
887,887,70,63,43,70,75
888,888,80,72,81,84,79
889,889,30,13,14,29,37
890,890,79,79,51,68,80
891,891,75,56,49,77,77
892,892,66,45,48,67,69
893,893,72,67,42,73,76
894,894,72,54,51,71,76
895,895,83,80,53,74,83
896,896,82,80,47,76,81
897,897,75,75,58,65,74
898,898,82,78,56,62,83
899,899,79,66,60,72,75
900,900,16,12,14,41,23
901,901,67,53,35,75,70
902,902,39,51,40,59,65
903,903,75,64,41,67,74
904,904,14,25,20,28,13
905,905,81,79,70,70,81
906,906,82,72,48,69,78
907,907,78,74,57,54,74
908,908,71,73,69,76,76
909,909,15,18,20,19,20
910,910,70,32,31,69,74
911,911,29,16,13,45,36
912,912,73,55,52,74,74
913,913,74,75,72,79,76
914,914,81,84,84,76,83
915,915,72,62,56,65,79
916,916,18,16,11,20,20
917,917,78,58,48,75,79
918,918,77,78,71,72,76
919,919,74,68,38,64,78
920,920,85,76,71,78,82
921,921,18,19,12,20,19
922,922,78,72,48,68,77
923,923,72,81,77,77,71
924,924,62,81,75,84,77
925,925,40,47,46,53,65
926,926,71,63,62,67,69
927,927,74,82,81,83,82
928,928,71,45,38,69,76
929,929,14,13,12,31,22
930,930,80,79,79,77,81
931,931,77,58,33,70,76
932,932,82,78,74,74,80
933,933,76,70,53,69,80
934,934,77,86,85,67,76
935,935,17,16,21,18,23
936,936,78,69,59,78,80
937,937,76,82,82,74,81
938,938,66,31,44,80,76
939,939,80,78,69,75,79
940,940,61,51,36,67,60
941,941,75,69,58,55,76
942,942,73,67,52,56,79
943,943,77,51,52,74,71
944,944,52,46,48,70,65
945,945,43,72,68,68,63
946,946,75,75,54,68,78
947,947,78,78,73,74,77
948,948,75,51,52,72,78
949,949,71,64,68,72,73
950,950,80,76,69,76,82
951,951,75,86,74,75,76
952,952,67,42,43,79,76
953,953,81,80,75,72,82
954,954,74,49,43,47,77
955,955,68,50,72,81,80
956,956,76,75,82,78,77
957,957,81,83,78,71,77
958,958,62,47,41,70,73
959,959,14,24,20,26,12
960,960,80,74,65,78,80
961,961,61,33,27,71,62
962,962,79,84,72,64,81
963,963,19,12,12,19,18
964,964,27,21,16,35,31
965,965,73,55,47,61,79
966,966,70,62,74,53,72
967,967,85,73,73,65,81
968,968,82,73,69,63,80
969,969,69,31,35,66,71
970,970,76,81,77,80,80
971,971,79,53,59,68,72
972,972,77,67,63,58,75
973,973,73,70,66,58,79
974,974,78,79,74,72,77
975,975,20,11,11,26,22
976,976,15,18,11,26,24
977,977,68,63,55,59,78
978,978,80,72,68,77,81
979,979,78,85,75,64,77
980,980,79,61,44,65,77
981,981,70,67,41,60,73
982,982,64,60,62,65,73
983,983,42,38,31,71,69
984,984,72,81,77,77,71
985,985,79,70,53,62,78
986,986,76,72,76,74,77
987,987,62,35,28,65,68
988,988,82,80,69,63,79
989,989,65,62,71,79,72
990,990,80,78,56,77,79
991,991,75,78,73,73,76
992,992,81,77,66,75,84
993,993,71,77,55,69,74
