int_profile_id,int_player_id,str_preferred_foot,int_weak_foot,int_skill_moves,int_international_reputations,str_work_rate,str_body_type
119,119,Right,4,3,3,High/ High,Normal (170-185)
120,120,Right,4,3,3,High/ High,Normal (185+)
121,121,Right,3,5,3,High/ Low,Stocky (170-185)
122,122,Left,4,4,3,Medium/ Medium,Lean (185+)
123,123,Left,2,3,2,High/ Medium,Unique
124,124,Right,5,4,2,High/ High,Unique
125,125,Right,4,2,3,Medium/ High,Unique
126,126,Right,4,3,3,High/ Medium,Normal (170-185)
127,127,Right,3,4,3,Medium/ Low,Normal (170-185)
128,128,Left,4,3,4,Medium/ Medium,Normal (170-185)
129,129,Right,3,3,2,Medium/ High,Lean (170-185)
130,130,Right,5,4,3,High/ Medium,Normal (170-185)
131,131,Left,4,3,2,High/ High,Lean (170-185)
132,132,Left,3,5,3,High/ Medium,Unique
133,133,Right,2,1,3,Medium/ Medium,Normal (185+)
134,134,Right,3,3,3,High/ High,Lean (170-185)
135,135,Right,3,2,3,Medium/ Medium,Normal (170-185)
136,136,Right,4,3,4,High/ High,Unique
137,137,Left,2,1,3,Medium/ Medium,Normal (185+)
138,138,Right,4,4,3,Medium/ Medium,Unique
139,139,Right,3,3,3,Medium/ High,Normal (170-185)
140,140,Right,2,1,3,Medium/ Medium,Normal (185+)
141,141,Right,3,1,2,Medium/ Medium,Stocky (185+)
142,142,Right,2,4,2,High/ Medium,Lean (170-)
143,143,Right,4,3,3,Medium/ High,Lean (170-185)
144,144,Right,3,3,1,High/ High,Lean (170-185)
145,145,Right,2,3,1,High/ Medium,Lean (170-185)
146,146,Left,5,5,3,High/ Medium,Unique
147,147,Right,3,4,2,High/ High,Unique
148,148,Right,4,4,1,Medium/ Low,Normal (170-185)
149,149,Right,2,4,1,Medium/ High,Unique
150,150,Right,3,3,1,Medium/ Medium,Normal (185+)
151,151,Left,5,4,1,High/ High,Unique
152,152,Right,3,4,2,Medium/ High,Lean (170-185)
153,153,Right,2,4,2,High/ Medium,Stocky (170-185)
154,154,Right,3,3,2,Medium/ Medium,Unique
155,155,Left,3,4,2,High/ High,Stocky (170-185)
156,156,Left,2,5,3,Medium/ Medium,Lean (170-185)
157,157,Right,3,3,3,High/ Medium,Unique
158,158,Left,3,1,1,Medium/ Medium,Lean (185+)
159,159,Right,2,1,1,Medium/ Medium,Lean (185+)
160,160,Right,4,3,2,Medium/ High,Stocky (185+)
161,161,Left,4,4,3,High/ Medium,Stocky (170-185)
162,162,Right,3,4,2,High/ Medium,Lean (170-185)
163,163,Right,4,3,2,High/ Medium,Normal (185+)
164,164,Right,2,1,1,Medium/ Medium,Lean (185+)
165,165,Left,3,4,2,High/ Medium,Lean (170-185)
166,166,Right,3,4,3,High/ High,Unique
167,167,Right,3,4,2,High/ Medium,Unique
168,168,Left,3,2,2,Medium/ High,Normal (185+)
169,169,Left,2,3,2,High/ High,Normal (170-185)
170,170,Left,4,3,1,High/ Medium,Normal (170-185)
171,171,Right,4,4,3,High/ High,Normal (170-185)
172,172,Right,4,4,2,High/ Medium,Lean (170-185)
173,173,Left,3,2,3,Medium/ Medium,Unique
174,174,Right,3,3,2,Medium/ Medium,Lean (170-185)
175,175,Right,4,3,1,High/ High,Normal (170-)
176,176,Left,3,4,2,High/ Medium,Normal (170-)
177,177,Right,4,4,2,High/ High,Lean (170-185)
178,178,Right,3,4,2,Medium/ High,Normal (170-185)
179,179,Left,3,3,2,Medium/ High,Normal (185+)
180,180,Right,3,4,3,Medium/ Medium,Lean (170-185)
181,181,Left,2,1,2,Medium/ Medium,Normal (170-185)
182,182,Left,3,4,3,Medium/ Medium,Unique
183,183,Right,4,3,2,Medium/ Medium,Lean (170-185)
184,184,Right,3,5,2,Medium/ Medium,Unique
185,185,Right,2,2,2,Medium/ Medium,Lean (185+)
186,186,Right,2,1,1,Medium/ Medium,Normal (170-185)
187,187,Right,4,4,3,High/ High,Unique
188,188,Left,2,1,2,Medium/ Medium,Normal (185+)
189,189,Right,2,2,3,Low/ High,Normal (185+)
190,190,Right,3,1,2,Medium/ Medium,Lean (185+)
191,191,Right,3,4,2,Medium/ Low,Normal (170-)
192,192,Right,4,5,4,High/ Medium,Normal (170-185)
193,193,Right,4,1,2,Medium/ Medium,Normal (185+)
194,194,Right,3,4,3,High/ High,Lean (170-185)
195,195,Right,4,4,3,High/ High,Normal (170-185)
196,196,Right,4,4,3,High/ Medium,Normal (170-185)
197,197,Right,4,3,2,Medium/ Medium,Normal (170-185)
198,198,Right,3,3,2,Medium/ Medium,Lean (170-185)
199,199,Right,4,2,4,Medium/ Medium,Stocky (185+)
200,200,Left,3,3,2,High/ Medium,Normal (170-185)
201,201,Right,4,3,4,High/ High,Unique
202,202,Right,5,2,3,Medium/ Medium,Lean (185+)
203,203,Right,4,4,3,High/ Medium,Normal (170-185)
204,204,Right,3,3,3,High/ High,Unique
205,205,Left,4,5,4,High/ Low,Unique
206,206,Left,3,4,4,Medium/ Medium,Unique
207,207,Left,3,3,3,High/ High,Normal (185+)
208,208,Left,2,2,3,Medium/ High,Unique
209,209,Left,2,4,3,High/ Low,Normal (170-185)
210,210,Right,4,4,2,High/ High,Normal (185+)
211,211,Right,4,3,4,High/ Medium,Unique
212,212,Right,3,1,3,Medium/ Medium,Normal (185+)
213,213,Right,4,3,3,High/ High,Normal (170-)
214,214,Right,4,5,5,Medium/ Low,Unique
215,215,Left,3,3,1,High/ Medium,Lean (170-185)
216,216,Right,3,1,1,Medium/ Medium,Normal (185+)
217,217,Right,3,4,1,High/ Medium,Normal (170-185)
218,218,Right,3,2,1,Medium/ Medium,Normal (185+)
219,219,Right,2,1,1,Medium/ Medium,Normal (185+)
220,220,Left,4,4,1,Medium/ Medium,Lean (185+)
221,221,Left,3,4,1,High/ High,Normal (170-185)
222,222,Right,3,3,1,High/ High,Lean (170-185)
223,223,Left,2,4,1,High/ Medium,Unique
224,224,Left,3,2,2,High/ High,Normal (185+)
225,225,Right,3,3,1,Medium/ High,Lean (170-185)
226,226,Right,4,3,2,Low/ High,Normal (170-185)
227,227,Right,3,1,1,Medium/ Medium,Lean (185+)
228,228,Left,3,3,1,High/ High,Normal (170-185)
229,229,Left,3,4,3,High/ Medium,Normal (170-185)
230,230,Left,3,2,3,High/ High,Unique
231,231,Right,4,2,1,Medium/ High,Normal (170-185)
232,232,Right,4,4,2,Medium/ Medium,Normal (170-185)
233,233,Right,3,1,1,Medium/ Medium,Normal (185+)
234,234,Right,3,1,3,Medium/ Medium,Normal (185+)
235,235,Right,4,4,1,High/ Medium,Normal (170-185)
236,236,Left,4,4,2,High/ Low,Unique
237,237,Left,3,3,2,High/ Medium,Normal (185+)
238,238,Left,2,1,1,Medium/ Medium,Normal (185+)
239,239,Right,4,4,3,High/ Low,Lean (185+)
240,240,Right,4,3,2,Medium/ High,Stocky (185+)
241,241,Right,3,2,3,Medium/ Medium,Normal (185+)
242,242,Right,3,4,2,High/ High,Normal (185+)
243,243,Left,3,4,2,High/ Medium,Normal (170-185)
244,244,Right,3,1,1,Medium/ Medium,Normal (185+)
245,245,Right,3,1,1,Medium/ Medium,Lean (185+)
246,246,Right,3,2,2,High/ High,Stocky (185+)
247,247,Right,3,4,3,High/ Medium,Normal (170-185)
248,248,Right,2,2,2,Low/ High,Lean (185+)
249,249,Right,4,3,3,High/ High,Normal (185+)
250,250,Right,3,1,1,Medium/ Medium,Normal (185+)
251,251,Right,4,4,3,High/ Medium,Unique
252,252,Right,3,3,3,Medium/ High,Normal (185+)
253,253,Left,3,4,2,Medium/ Medium,Lean (170-185)
254,254,Left,3,4,4,Medium/ Medium,Normal (170-185)
255,255,Left,3,4,3,High/ Medium,Lean (170-185)
256,256,Right,3,1,2,Medium/ Medium,Lean (185+)
257,257,Right,2,1,2,Medium/ Medium,Lean (185+)
258,258,Right,1,1,2,Medium/ Medium,Normal (185+)
259,259,Right,3,3,2,High/ Medium,Lean (185+)
260,260,Right,3,1,2,Medium/ Medium,Unique
261,261,Left,3,3,3,High/ Medium,Normal (170-185)
262,262,Left,3,4,2,High/ Medium,Lean (170-185)
263,263,Right,3,3,3,High/ High,Lean (170-185)
264,264,Left,3,3,2,High/ Medium,Normal (185+)
265,265,Right,4,4,3,Medium/ Low,Normal (185+)
266,266,Right,2,1,3,Medium/ Medium,Normal (185+)
267,267,Left,5,4,3,Medium/ Medium,Lean (185+)
268,268,Right,4,4,3,High/ High,Normal (170-185)
269,269,Right,3,1,2,Medium/ Medium,Stocky (185+)
270,270,Right,3,2,3,Medium/ High,Lean (185+)
271,271,Right,4,4,3,High/ Low,Stocky (170-185)
272,272,Left,2,4,4,Medium/ Low,Unique
273,273,Right,4,3,4,Medium/ Medium,Normal (170-185)
274,274,Right,3,2,3,Low/ High,Lean (185+)
275,275,Right,2,1,4,Medium/ Medium,Normal (185+)
276,276,Left,3,4,1,High/ Medium,Lean (170-185)
277,277,Right,4,5,1,Medium/ Medium,Lean (170-185)
278,278,Left,2,4,1,High/ Medium,Normal (170-)
279,279,Right,3,1,1,Medium/ Medium,Normal (185+)
280,280,Right,4,4,1,High/ Medium,Lean (170-185)
281,281,Right,4,2,1,Medium/ High,Normal (185+)
282,282,Left,3,3,1,High/ Medium,Lean (170-185)
283,283,Right,3,3,1,High/ High,Lean (185+)
284,284,Right,3,3,1,High/ High,Lean (170-185)
285,285,Left,4,4,1,High/ Medium,Unique
286,286,Left,3,4,1,High/ Medium,Lean (170-185)
287,287,Right,5,4,1,High/ High,Normal (170-185)
288,288,Right,3,2,1,Medium/ Medium,Normal (170-185)
289,289,Right,4,2,1,Medium/ Medium,Normal (170-185)
290,290,Left,4,4,1,Medium/ Medium,Lean (170-185)
291,291,Right,3,4,1,High/ Low,Normal (185+)
292,292,Right,4,2,1,High/ Medium,Lean (170-185)
293,293,Left,4,2,1,Medium/ Medium,Normal (170-185)
294,294,Right,3,2,1,High/ Medium,Normal (170-185)
295,295,Left,3,3,1,High/ High,Normal (170-185)
296,296,Right,4,4,3,Medium/ Medium,Lean (170-185)
297,297,Left,2,1,1,Medium/ Medium,Normal (185+)
298,298,Right,3,3,1,Medium/ High,Lean (185+)
299,299,Left,3,3,1,Medium/ Medium,Normal (185+)
300,300,Right,4,4,2,High/ Low,Normal (170-185)
301,301,Right,3,3,2,Medium/ High,Normal (170-)
302,302,Right,3,3,1,High/ High,Normal (185+)
303,303,Right,3,4,1,High/ Low,Normal (170-185)
304,304,Right,4,4,2,High/ Medium,Lean (170-185)
305,305,Right,2,2,2,Medium/ High,Unique
306,306,Right,4,4,1,High/ Medium,Lean (170-185)
307,307,Left,4,4,2,High/ Medium,Normal (170-185)
308,308,Right,5,4,2,Medium/ Medium,Normal (170-185)
309,309,Right,2,4,2,High/ Medium,Normal (185+)
310,310,Right,3,3,1,High/ High,Stocky (170-185)
311,311,Left,2,4,1,High/ Medium,Lean (170-185)
312,312,Right,4,4,1,High/ Medium,Lean (185+)
313,313,Right,2,1,1,Medium/ Medium,Stocky (185+)
314,314,Left,3,4,3,Medium/ Medium,Lean (170-185)
315,315,Right,3,1,1,Medium/ Medium,Normal (185+)
316,316,Right,3,3,2,High/ High,Normal (170-)
317,317,Left,3,3,2,Medium/ Medium,Lean (185+)
318,318,Left,4,4,1,High/ High,Lean (170-)
319,319,Right,4,5,3,High/ Medium,Normal (170-185)
320,320,Right,3,3,2,Medium/ High,Normal (185+)
321,321,Right,4,4,3,Medium/ Medium,Lean (170-185)
322,322,Right,4,3,1,High/ Medium,Stocky (170-)
323,323,Right,4,1,2,Medium/ Medium,Lean (185+)
324,324,Left,2,3,2,Medium/ Medium,Stocky (170-185)
325,325,Right,2,1,1,Medium/ Medium,Lean (185+)
326,326,Right,3,3,2,High/ Medium,Normal (185+)
327,327,Right,3,1,1,Medium/ Medium,Lean (170-185)
328,328,Right,3,2,2,Medium/ High,Lean (185+)
329,329,Left,3,4,3,Medium/ Medium,Lean (185+)
330,330,Left,5,1,1,Medium/ Medium,Normal (185+)
331,331,Left,3,3,2,High/ Low,Stocky (185+)
332,332,Right,3,2,2,Medium/ High,Lean (185+)
333,333,Right,4,4,1,High/ Low,Lean (170-185)
334,334,Right,3,3,2,High/ Medium,Lean (170-185)
335,335,Right,3,4,3,High/ High,Unique
336,336,Left,3,4,3,High/ Medium,Normal (170-185)
337,337,Right,4,3,2,High/ Medium,Normal (185+)
338,338,Right,4,4,3,High/ Medium,Unique
339,339,Right,4,3,1,High/ Medium,Normal (170-185)
340,340,Left,3,4,1,High/ Medium,Stocky (170-185)
341,341,Left,4,3,2,High/ High,Stocky (170-185)
342,342,Right,4,3,2,Medium/ Low,Normal (170-185)
343,343,Right,3,1,3,Medium/ Medium,Lean (185+)
344,344,Right,4,1,1,Medium/ Medium,Lean (170-185)
345,345,Left,4,4,2,High/ Medium,Normal (170-185)
346,346,Right,4,4,2,High/ Medium,Lean (170-185)
347,347,Right,3,2,3,Medium/ Medium,Normal (185+)
348,348,Right,4,3,2,High/ High,Lean (170-185)
349,349,Left,4,5,3,Medium/ Medium,Unique
350,350,Left,4,3,2,Low/ High,Normal (170-185)
351,351,Right,3,5,3,High/ Medium,Lean (170-185)
352,352,Right,4,4,4,High/ Medium,Normal (170-185)
353,353,Right,4,5,2,High/ Medium,Normal (170-185)
354,354,Right,3,4,2,Medium/ Medium,Lean (170-185)
355,355,Left,3,5,2,Medium/ Medium,Normal (170-185)
356,356,Left,4,4,2,High/ Medium,Normal (170-185)
357,357,Right,4,2,3,Medium/ Medium,Normal (185+)
358,358,Right,3,2,3,Low/ Medium,Normal (185+)
359,359,Right,4,2,2,Medium/ High,Lean (185+)
360,360,Left,3,2,3,Medium/ Medium,Normal (185+)
361,361,Right,3,1,3,Medium/ Medium,Normal (185+)
362,362,Right,5,4,3,High/ Medium,Lean (170-185)
363,363,Right,2,1,2,Medium/ Medium,Normal (185+)
364,364,Right,3,1,2,Medium/ Medium,Lean (185+)
365,365,Right,5,5,4,Medium/ Medium,Normal (170-)
366,366,Right,4,3,3,High/ High,Normal (185+)
367,367,Right,3,3,3,Medium/ Medium,Stocky (185+)
368,368,Right,3,2,4,Medium/ High,Lean (185+)
369,369,Right,4,4,4,High/ Medium,Normal (170-)
370,370,Right,4,4,2,High/ Medium,Stocky (185+)
371,371,Right,4,4,1,Medium/ Low,Normal (170-185)
372,372,Right,3,2,1,Medium/ Medium,Normal (185+)
373,373,Left,4,4,1,Medium/ Medium,Lean (170-185)
374,374,Right,3,3,1,High/ Low,Normal (185+)
375,375,Left,5,4,1,Medium/ Medium,Lean (170-185)
376,376,Right,4,3,1,High/ High,Stocky (170-185)
377,377,Right,3,2,1,High/ Medium,Normal (170-185)
378,378,Right,2,1,1,Medium/ Medium,Normal (185+)
379,379,Left,4,4,1,High/ Medium,Lean (170-185)
380,380,Right,5,3,1,High/ Medium,Stocky (170-185)
381,381,Right,2,2,1,Medium/ High,Lean (185+)
382,382,Right,3,3,1,High/ Low,Stocky (185+)
383,383,Right,4,5,2,High/ Medium,Lean (170-185)
384,384,Left,3,5,3,Medium/ Medium,Lean (170-185)
385,385,Right,3,4,1,Medium/ Medium,Unique
386,386,Right,3,1,1,Medium/ Medium,Normal (185+)
387,387,Right,4,3,1,High/ Medium,Lean (170-185)
388,388,Right,3,3,1,Medium/ Medium,Normal (170-185)
389,389,Left,3,3,1,High/ Medium,Unique
390,390,Right,5,3,1,Medium/ Medium,Stocky (170-185)
391,391,Right,3,4,1,Medium/ Medium,Lean (170-185)
392,392,Right,4,2,1,Medium/ Medium,Normal (185+)
393,393,Right,2,1,1,Medium/ Medium,Normal (185+)
394,394,Right,3,2,1,Medium/ Medium,Stocky (170-185)
395,395,Left,5,4,1,Medium/ Medium,Lean (170-185)
396,396,Right,3,1,1,Medium/ Medium,Normal (170-185)
397,397,Right,3,3,1,High/ Medium,Normal (170-185)
398,398,Left,4,4,1,High/ Low,Normal (170-185)
399,399,Left,3,2,1,High/ Medium,Normal (185+)
400,400,Right,3,2,1,Medium/ Medium,Stocky (185+)
401,401,Right,2,3,1,Medium/ Medium,Normal (185+)
402,402,Right,3,2,2,Medium/ Medium,Normal (170-185)
403,403,Left,3,3,1,High/ Medium,Lean (170-185)
404,404,Right,4,1,1,Medium/ Medium,Lean (185+)
405,405,Right,3,5,3,High/ High,Normal (170-185)
406,406,Right,3,3,1,Medium/ Medium,Normal (185+)
407,407,Right,5,4,2,High/ High,Normal (170-185)
408,408,Right,3,3,2,Medium/ High,Normal (170-185)
409,409,Right,4,3,2,Medium/ High,Lean (170-185)
410,410,Right,3,3,1,High/ High,Normal (170-185)
411,411,Right,3,4,2,High/ Medium,Lean (170-185)
412,412,Right,3,2,1,Medium/ Medium,Normal (185+)
413,413,Right,3,4,3,High/ Low,Lean (170-185)
414,414,Right,4,3,2,Medium/ High,Lean (185+)
415,415,Right,3,3,1,High/ Medium,Normal (185+)
416,416,Left,3,4,2,High/ Medium,Normal (170-185)
417,417,Right,3,4,2,High/ High,Lean (185+)
418,418,Right,3,3,2,High/ Medium,Normal (170-185)
419,419,Right,4,5,2,High/ Low,Normal (170-185)
420,420,Right,3,1,1,Medium/ Medium,Normal (185+)
421,421,Right,3,1,1,Medium/ Medium,Stocky (185+)
422,422,Right,4,3,2,Medium/ High,Normal (185+)
423,423,Right,4,4,3,Medium/ Medium,Normal (170-185)
424,424,Left,3,5,2,High/ Medium,Lean (185+)
425,425,Left,4,4,2,Medium/ Medium,Lean (170-185)
426,426,Right,3,3,1,High/ Medium,Normal (170-185)
427,427,Right,3,2,2,Low/ Medium,Lean (185+)
428,428,Right,3,4,1,High/ Low,Normal (170-)
429,429,Left,3,4,2,Medium/ Medium,Lean (170-185)
430,430,Right,3,4,1,High/ High,Normal (170-185)
431,431,Right,5,4,3,Medium/ Medium,Lean (170-185)
432,432,Right,4,4,2,High/ High,Normal (170-185)
433,433,Right,5,3,3,High/ High,Normal (170-185)
434,434,Left,4,4,1,Medium/ Low,Lean (185+)
435,435,Right,4,3,3,Medium/ Medium,Normal (185+)
436,436,Right,3,4,1,Medium/ Medium,Normal (170-185)
437,437,Right,3,4,2,High/ Medium,Normal (170-185)
438,438,Left,3,3,2,Medium/ High,Lean (170-185)
439,439,Left,3,2,2,Medium/ Medium,Normal (170-185)
440,440,Right,3,2,2,Medium/ Medium,Normal (185+)
441,441,Right,3,3,2,High/ Medium,Lean (170-185)
442,442,Right,3,3,1,High/ Medium,Normal (170-185)
443,443,Right,2,3,3,High/ Low,Lean (170-185)
444,444,Right,2,3,2,High/ High,Normal (170-185)
445,445,Right,4,3,2,High/ Medium,Lean (185+)
446,446,Right,4,2,1,Medium/ Medium,Normal (185+)
447,447,Right,4,2,1,Medium/ High,Normal (185+)
448,448,Left,3,3,2,High/ Medium,Normal (170-185)
449,449,Right,4,4,3,High/ Low,Normal (170-185)
450,450,Right,5,4,3,Medium/ Medium,Lean (185+)
451,451,Left,3,2,2,High/ Medium,Normal (185+)
452,452,Left,3,1,2,Medium/ Medium,Normal (185+)
453,453,Right,4,2,2,Medium/ High,Normal (170-185)
454,454,Left,2,3,1,High/ Medium,Normal (170-185)
455,455,Right,3,4,1,Medium/ Medium,Lean (170-185)
456,456,Left,3,3,3,Low/ Medium,Normal (185+)
457,457,Right,4,1,1,Medium/ Medium,Normal (170-185)
458,458,Right,3,4,2,Medium/ Medium,Normal (170-185)
459,459,Right,3,3,3,High/ Medium,Lean (170-185)
460,460,Right,3,3,2,High/ Medium,Stocky (170-185)
461,461,Right,3,3,3,High/ High,Normal (185+)
462,462,Right,4,3,2,Medium/ High,Normal (170-185)
463,463,Right,4,3,1,High/ High,Normal (170-185)
464,464,Right,4,4,2,Medium/ Low,Normal (185+)
465,465,Right,3,3,2,Medium/ High,Normal (185+)
466,466,Right,5,4,3,High/ Medium,Lean (170-185)
467,467,Right,3,3,2,High/ Medium,Normal (170-185)
468,468,Left,2,3,1,Medium/ Medium,Lean (170-185)
469,469,Left,3,3,2,High/ Low,Lean (185+)
470,470,Right,4,4,2,High/ Medium,Normal (170-185)
471,471,Left,3,3,3,Medium/ Medium,Lean (185+)
472,472,Right,3,3,2,High/ High,Normal (170-185)
473,473,Right,3,3,2,Medium/ High,Normal (170-185)
474,474,Right,4,4,2,High/ Low,Lean (170-185)
475,475,Right,5,2,2,Medium/ High,Normal (185+)
476,476,Right,3,1,2,Medium/ Medium,Normal (185+)
477,477,Right,5,4,3,High/ High,Lean (170-)
478,478,Left,3,4,4,High/ Low,Stocky (170-185)
479,479,Right,3,3,2,Medium/ High,Normal (170-185)
480,480,Right,3,4,3,High/ Medium,Normal (170-185)
481,481,Right,3,2,3,Medium/ Medium,Lean (170-185)
482,482,Right,4,4,2,Medium/ Medium,Normal (170-185)
483,483,Left,3,3,3,Medium/ High,Normal (185+)
484,484,Right,3,4,2,High/ Medium,Stocky (170-185)
485,485,Right,3,4,4,High/ High,Unique
486,486,Right,4,4,2,High/ Medium,Normal (170-)
487,487,Right,3,3,4,Medium/ Medium,Normal (185+)
488,488,Right,4,2,4,High/ Medium,Normal (185+)
489,489,Right,3,2,3,Low/ High,Normal (185+)
490,490,Right,3,2,3,High/ Medium,Stocky (185+)
491,491,Left,2,1,2,Medium/ Medium,Normal (185+)
492,492,Left,3,3,2,Medium/ Medium,Lean (170-185)
493,493,Right,4,2,3,High/ Medium,Normal (170-185)
494,494,Right,3,1,3,Medium/ Medium,Normal (185+)
495,495,Right,3,3,2,High/ Medium,Normal (170-185)
496,496,Right,3,3,2,Medium/ Medium,Normal (170-185)
497,497,Left,2,4,2,High/ High,Lean (170-185)
