int_player_id,str_trait,int_trait_id
64,Playmaker (AI),221
64,Outside Foot Shot,222
64,Chip Shot (AI),223
64,Technical Dribbler (AI),224
65,Solid Player,225
65,Power Header,226
68,Power Free-Kick,227
68,Flair,228
68,Long Shot Taker (AI),229
68,Speed Dribbler (AI),230
68,Team Player,231
68,Technical Dribbler (AI),232
69,Rushes Out Of Goal,233
69,Comes For Crosses,234
70,Flair,235
70,Playmaker (AI),236
70,Outside Foot Shot,237
70,Technical Dribbler (AI),238
71,Flair,239
71,Power Header,240
71,Outside Foot Shot,241
71,Technical Dribbler (AI),242
72,Power Free-Kick,243
72,Flair,244
72,Speed Dribbler (AI),245
73,Power Header,246
74,Speed Dribbler (AI),247
75,Early Crosser,248
75,Speed Dribbler (AI),249
76,Dives Into Tackles (AI),250
76,Long Shot Taker (AI),251
77,Flair,252
77,Long Shot Taker (AI),253
77,Playmaker (AI),254
77,Outside Foot Shot,255
77,Technical Dribbler (AI),256
78,Long Throw-in,257
78,Leadership,258
79,Finesse Shot,259
79,Flair,260
79,Long Shot Taker (AI),261
79,Technical Dribbler (AI),262
80,Solid Player,263
80,Power Header,264
80,Outside Foot Shot,265
81,Finesse Shot,266
81,Flair,267
81,Long Passer (AI),268
81,Long Shot Taker (AI),269
81,Playmaker (AI),270
81,Technical Dribbler (AI),271
82,Finesse Shot,272
82,Long Shot Taker (AI),273
82,Speed Dribbler (AI),274
82,Outside Foot Shot,275
83,Leadership,276
83,Playmaker (AI),277
83,Team Player,278
84,Rushes Out Of Goal,279
85,Speed Dribbler (AI),280
85,Power Header,281
86,Speed Dribbler (AI),282
87,Flair,283
87,Long Shot Taker (AI),284
87,Playmaker (AI),285
88,Long Passer (AI),286
88,Playmaker (AI),287
89,Injury Prone,288
89,Dives Into Tackles (AI),289
89,Flair,290
89,Outside Foot Shot,291
89,Technical Dribbler (AI),292
90,Long Throw-in,293
90,Speed Dribbler (AI),294
91,Injury Prone,295
91,Leadership,296
91,Finesse Shot,297
91,Long Shot Taker (AI),298
91,Speed Dribbler (AI),299
91,Playmaker (AI),300
91,Outside Foot Shot,301
93,Power Free-Kick,302
93,Solid Player,303
93,Long Passer (AI),304
93,Power Header,305
94,Long Passer (AI),306
95,Dives Into Tackles (AI),307
95,Power Header,308
96,Flair,309
97,Finesse Shot,310
97,Playmaker (AI),311
97,Outside Foot Shot,312
97,Technical Dribbler (AI),313
98,Finesse Shot,314
98,Flair,315
98,Long Shot Taker (AI),316
98,Outside Foot Shot,317
98,Technical Dribbler (AI),318
99,Power Header,319
100,Speed Dribbler (AI),320
101,Flair,321
101,Power Header,322
101,Technical Dribbler (AI),323
102,Playmaker (AI),324
102,Technical Dribbler (AI),325
103,Solid Player,326
103,Outside Foot Shot,327
104,Long Shot Taker (AI),328
105,Leadership,329
105,Rushes Out Of Goal,330
105,Saves with Feet,331
106,Injury Prone,332
106,Dives Into Tackles (AI),333
107,Dives Into Tackles (AI),334
107,Finesse Shot,335
107,Long Passer (AI),336
107,Long Shot Taker (AI),337
108,Injury Prone,338
108,Speed Dribbler (AI),339
109,Solid Player,340
109,Long Shot Taker (AI),341
109,Speed Dribbler (AI),342
109,Outside Foot Shot,343
109,Team Player,344
110,Flair,345
110,Long Shot Taker (AI),346
110,Playmaker (AI),347
110,Outside Foot Shot,348
110,Technical Dribbler (AI),349
111,Injury Prone,350
112,Finesse Shot,351
112,Flair,352
112,Long Shot Taker (AI),353
112,Speed Dribbler (AI),354
112,Outside Foot Shot,355
112,Chip Shot (AI),356
112,Technical Dribbler (AI),357
113,Solid Player,358
113,Power Header,359
113,Team Player,360
114,Long Passer (AI),361
114,Speed Dribbler (AI),362
114,Outside Foot Shot,363
115,Long Shot Taker (AI),364
116,Flair,365
116,Long Shot Taker (AI),366
116,Outside Foot Shot,367
116,Technical Dribbler (AI),368
117,Finesse Shot,369
117,Long Shot Taker (AI),370
118,Power Header,371
119,Injury Prone,372
119,Long Shot Taker (AI),373
119,Outside Foot Shot,374
120,Flair,375
120,Power Header,376
120,Outside Foot Shot,377
120,Technical Dribbler (AI),378
121,Leadership,379
121,Flair,380
121,Long Shot Taker (AI),381
121,Playmaker (AI),382
121,Outside Foot Shot,383
121,Technical Dribbler (AI),384
122,Finesse Shot,385
122,Flair,386
122,Long Shot Taker (AI),387
122,Outside Foot Shot,388
122,Technical Dribbler (AI),389
123,Long Throw-in,390
123,Dives Into Tackles (AI),391
123,Early Crosser,392
124,Flair,393
124,Outside Foot Shot,394
124,Technical Dribbler (AI),395
125,Long Passer (AI),396
125,Power Header,397
126,Playmaker (AI),398
126,Outside Foot Shot,399
126,Team Player,400
126,Technical Dribbler (AI),401
127,Finesse Shot,402
127,Flair,403
127,Playmaker (AI),404
127,Outside Foot Shot,405
127,Technical Dribbler (AI),406
128,Long Shot Taker (AI),407
130,Early Crosser,408
130,Flair,409
130,Technical Dribbler (AI),410
131,Leadership,411
131,Finesse Shot,412
131,Outside Foot Shot,413
131,Team Player,414
131,Chip Shot (AI),415
132,Injury Prone,416
132,Flair,417
132,Long Shot Taker (AI),418
132,Speed Dribbler (AI),419
133,Rushes Out Of Goal,420
134,Solid Player,421
134,Speed Dribbler (AI),422
135,Long Throw-in,423
135,Solid Player,424
135,Early Crosser,425
135,Long Passer (AI),426
135,Team Player,427
136,Injury Prone,428
136,Power Header,429
137,Solid Player,430
137,Cautious With Crosses,431
138,Solid Player,432
138,Leadership,433
139,Dives Into Tackles (AI),434
140,Solid Player,435
140,Leadership,436
140,GK Long Throw,437
141,Leadership,438
142,Early Crosser,439
142,Speed Dribbler (AI),440
142,Team Player,441
143,Team Player,442
145,Dives Into Tackles (AI),443
145,Speed Dribbler (AI),444
146,Injury Prone,445
146,Flair,446
146,Speed Dribbler (AI),447
147,Flair,448
147,Chip Shot (AI),449
147,Technical Dribbler (AI),450
148,Power Free-Kick,451
148,Flair,452
148,Long Shot Taker (AI),453
148,Technical Dribbler (AI),454
149,Dives Into Tackles (AI),455
150,Playmaker (AI),456
151,Flair,457
151,Speed Dribbler (AI),458
152,Speed Dribbler (AI),459
153,Flair,460
153,Long Shot Taker (AI),461
153,Speed Dribbler (AI),462
153,Outside Foot Shot,463
153,Technical Dribbler (AI),464
154,Long Throw-in,465
154,Injury Prone,466
155,Flair,467
155,Long Passer (AI),468
155,Outside Foot Shot,469
156,Solid Player,470
156,Flair,471
156,Playmaker (AI),472
156,Outside Foot Shot,473
156,Technical Dribbler (AI),474
157,Flair,475
157,Outside Foot Shot,476
159,GK Long Throw,477
159,Comes For Crosses,478
160,Solid Player,479
160,Long Passer (AI),480
161,Power Free-Kick,481
161,Finesse Shot,482
161,Flair,483
161,Outside Foot Shot,484
161,Chip Shot (AI),485
161,Technical Dribbler (AI),486
162,Speed Dribbler (AI),487
162,Outside Foot Shot,488
163,Power Header,489
163,Outside Foot Shot,490
164,Rushes Out Of Goal,491
164,Cautious With Crosses,492
165,Solid Player,493
165,Team Player,494
165,Technical Dribbler (AI),495
166,Flair,496
166,Outside Foot Shot,497
166,Technical Dribbler (AI),498
167,Technical Dribbler (AI),499
168,Long Passer (AI),500
169,Dives Into Tackles (AI),501
169,Flair,502
169,Speed Dribbler (AI),503
169,Outside Foot Shot,504
170,Finesse Shot,505
170,Outside Foot Shot,506
171,Flair,507
171,Playmaker (AI),508
171,Technical Dribbler (AI),509
172,Finesse Shot,510
172,Long Shot Taker (AI),511
172,Speed Dribbler (AI),512
172,Outside Foot Shot,513
172,Team Player,514
173,Injury Prone,515
174,Playmaker (AI),516
175,Finesse Shot,517
175,Speed Dribbler (AI),518
176,Speed Dribbler (AI),519
177,Flair,520
177,Long Passer (AI),521
177,Long Shot Taker (AI),522
177,Technical Dribbler (AI),523
178,Leadership,524
179,Long Passer (AI),525
179,Power Header,526
181,Team Player,527
181,Comes For Crosses,528
182,Solid Player,529
182,Leadership,530
182,Flair,531
182,Playmaker (AI),532
182,Outside Foot Shot,533
182,Technical Dribbler (AI),534
183,Dives Into Tackles (AI),535
183,Playmaker (AI),536
183,Outside Foot Shot,537
184,Flair,538
184,Technical Dribbler (AI),539
185,Injury Prone,540
186,Cautious With Crosses,541
187,Technical Dribbler (AI),542
188,Comes For Crosses,543
189,Dives Into Tackles (AI),544
190,GK Long Throw,545
190,Comes For Crosses,546
191,Finesse Shot,547
191,Flair,548
191,Outside Foot Shot,549
191,Team Player,550
191,Technical Dribbler (AI),551
192,Flair,552
192,Long Shot Taker (AI),553
192,Outside Foot Shot,554
192,Technical Dribbler (AI),555
193,Leadership,556
193,Rushes Out Of Goal,557
193,Comes For Crosses,558
194,Solid Player,559
194,Long Passer (AI),560
194,Outside Foot Shot,561
194,Technical Dribbler (AI),562
195,Power Free-Kick,563
195,Finesse Shot,564
195,Long Shot Taker (AI),565
195,Technical Dribbler (AI),566
196,Injury Prone,567
196,Long Shot Taker (AI),568
196,Playmaker (AI),569
196,Technical Dribbler (AI),570
197,Long Throw-in,571
197,Solid Player,572
197,Early Crosser,573
198,Dives Into Tackles (AI),574
199,Long Throw-in,575
199,Injury Prone,576
199,Long Passer (AI),577
200,Solid Player,578
200,Dives Into Tackles (AI),579
200,Speed Dribbler (AI),580
201,Dives Into Tackles (AI),581
201,Power Header,582
202,Finesse Shot,583
203,Flair,584
203,Long Passer (AI),585
203,Playmaker (AI),586
203,Outside Foot Shot,587
204,Long Shot Taker (AI),588
204,Outside Foot Shot,589
205,Flair,590
205,Long Passer (AI),591
205,Outside Foot Shot,592
205,Team Player,593
206,Long Throw-in,594
206,Injury Prone,595
206,Long Shot Taker (AI),596
206,Speed Dribbler (AI),597
206,Outside Foot Shot,598
206,Chip Shot (AI),599
207,Power Free-Kick,600
208,Solid Player,601
209,Leadership,602
209,Finesse Shot,603
209,Flair,604
209,Playmaker (AI),605
209,Outside Foot Shot,606
209,Team Player,607
209,Technical Dribbler (AI),608
210,Leadership,609
210,Flair,610
210,Long Shot Taker (AI),611
210,Playmaker (AI),612
210,Technical Dribbler (AI),613
211,Outside Foot Shot,614
212,Leadership,615
212,Team Player,616
213,Long Passer (AI),617
213,Playmaker (AI),618
213,Outside Foot Shot,619
214,Leadership,620
214,Flair,621
214,Long Shot Taker (AI),622
214,Outside Foot Shot,623
215,Speed Dribbler (AI),624
216,Saves with Feet,625
217,Finesse Shot,626
217,Flair,627
217,Playmaker (AI),628
217,Outside Foot Shot,629
217,Technical Dribbler (AI),630
219,Team Player,631
220,Finesse Shot,632
220,Long Shot Taker (AI),633
220,Outside Foot Shot,634
221,Finesse Shot,635
221,Flair,636
221,Long Shot Taker (AI),637
221,Speed Dribbler (AI),638
221,Playmaker (AI),639
221,Outside Foot Shot,640
221,Technical Dribbler (AI),641
223,Finesse Shot,642
223,Flair,643
223,Long Shot Taker (AI),644
223,Speed Dribbler (AI),645
223,Technical Dribbler (AI),646
225,Dives Into Tackles (AI),647
226,Long Passer (AI),648
226,Long Shot Taker (AI),649
226,Playmaker (AI),650
227,Comes For Crosses,651
228,Early Crosser,652
228,Long Shot Taker (AI),653
229,Long Shot Taker (AI),654
230,Injury Prone,655
230,Power Header,656
231,Long Throw-in,657
231,Solid Player,658
231,Dives Into Tackles (AI),659
231,Long Passer (AI),660
232,Flair,661
232,Long Shot Taker (AI),662
232,Outside Foot Shot,663
232,Chip Shot (AI),664
232,Technical Dribbler (AI),665
234,Saves with Feet,666
235,Flair,667
235,Technical Dribbler (AI),668
236,Finesse Shot,669
236,Flair,670
236,Long Passer (AI),671
236,Long Shot Taker (AI),672
236,Playmaker (AI),673
236,Outside Foot Shot,674
237,Long Shot Taker (AI),675
238,GK Long Throw,676
239,Flair,677
239,Long Shot Taker (AI),678
239,Speed Dribbler (AI),679
240,Dives Into Tackles (AI),680
240,Leadership,681
240,Flair,682
240,Long Shot Taker (AI),683
241,Long Passer (AI),684
241,Team Player,685
242,Flair,686
242,Speed Dribbler (AI),687
242,Outside Foot Shot,688
243,Finesse Shot,689
243,Flair,690
243,Long Shot Taker (AI),691
243,Technical Dribbler (AI),692
244,Team Player,693
244,Rushes Out Of Goal,694
244,Comes For Crosses,695
245,Comes For Crosses,696
245,Saves with Feet,697
246,Solid Player,698
246,Leadership,699
246,Long Passer (AI),700
246,Power Header,701
247,Flair,702
247,Long Shot Taker (AI),703
247,Outside Foot Shot,704
248,Dives Into Tackles (AI),705
249,Speed Dribbler (AI),706
250,Leadership,707
250,Saves with Feet,708
251,Flair,709
251,Speed Dribbler (AI),710
252,Long Passer (AI),711
252,Outside Foot Shot,712
252,Team Player,713
253,Early Crosser,714
253,Finesse Shot,715
253,Long Shot Taker (AI),716
253,Playmaker (AI),717
253,Outside Foot Shot,718
253,Technical Dribbler (AI),719
254,Flair,720
254,Playmaker (AI),721
254,Outside Foot Shot,722
254,Technical Dribbler (AI),723
255,Finesse Shot,724
255,Playmaker (AI),725
255,Technical Dribbler (AI),726
256,Injury Prone,727
256,Cautious With Crosses,728
258,Leadership,729
258,Saves with Feet,730
259,Team Player,731
260,Comes For Crosses,732
261,Outside Foot Shot,733
261,Team Player,734
262,Injury Prone,735
262,Flair,736
262,Long Shot Taker (AI),737
263,Injury Prone,738
263,Outside Foot Shot,739
264,Early Crosser,740
264,Long Shot Taker (AI),741
265,Flair,742
265,Long Shot Taker (AI),743
266,Leadership,744
266,GK Long Throw,745
266,Team Player,746
266,Rushes Out Of Goal,747
267,Flair,748
268,Solid Player,749
268,Flair,750
268,Technical Dribbler (AI),751
269,Injury Prone,752
269,Comes For Crosses,753
270,Injury Prone,754
270,Dives Into Tackles (AI),755
270,Leadership,756
270,Team Player,757
271,Flair,758
271,Playmaker (AI),759
271,Outside Foot Shot,760
271,Technical Dribbler (AI),761
272,Finesse Shot,762
272,Flair,763
272,Playmaker (AI),764
272,Outside Foot Shot,765
273,Solid Player,766
273,Long Shot Taker (AI),767
273,Playmaker (AI),768
273,Outside Foot Shot,769
274,Dives Into Tackles (AI),770
274,Long Passer (AI),771
275,Team Player,772
275,Cautious With Crosses,773
277,Flair,774
277,Playmaker (AI),775
277,Outside Foot Shot,776
277,Technical Dribbler (AI),777
278,Speed Dribbler (AI),778
278,Technical Dribbler (AI),779
279,Saves with Feet,780
280,Technical Dribbler (AI),781
281,Solid Player,782
281,Power Header,783
282,Flair,784
282,Speed Dribbler (AI),785
282,Playmaker (AI),786
283,Solid Player,787
283,Power Header,788
284,Speed Dribbler (AI),789
285,Flair,790
285,Speed Dribbler (AI),791
286,Flair,792
286,Speed Dribbler (AI),793
286,Technical Dribbler (AI),794
287,Flair,795
287,Power Header,796
287,Technical Dribbler (AI),797
288,Long Shot Taker (AI),798
288,Power Header,799
289,Dives Into Tackles (AI),800
291,Power Header,801
292,Finesse Shot,802
292,Long Passer (AI),803
292,Technical Dribbler (AI),804
294,Power Header,805
295,Speed Dribbler (AI),806
296,Speed Dribbler (AI),807
296,Technical Dribbler (AI),808
297,GK Long Throw,809
297,Team Player,810
299,Flair,811
299,Long Shot Taker (AI),812
299,Outside Foot Shot,813
300,Injury Prone,814
300,Flair,815
300,Long Shot Taker (AI),816
300,Speed Dribbler (AI),817
300,Technical Dribbler (AI),818
302,Power Header,819
303,Flair,820
303,Long Shot Taker (AI),821
303,Technical Dribbler (AI),822
304,Injury Prone,823
304,Flair,824
304,Long Shot Taker (AI),825
304,Technical Dribbler (AI),826
306,Flair,827
306,Long Shot Taker (AI),828
306,Playmaker (AI),829
306,Outside Foot Shot,830
307,Finesse Shot,831
307,Long Shot Taker (AI),832
307,Technical Dribbler (AI),833
308,Solid Player,834
308,Long Passer (AI),835
308,Long Shot Taker (AI),836
308,Playmaker (AI),837
309,Solid Player,838
309,Speed Dribbler (AI),839
309,Outside Foot Shot,840
309,Team Player,841
309,Chip Shot (AI),842
310,Long Throw-in,843
310,Speed Dribbler (AI),844
311,Finesse Shot,845
311,Playmaker (AI),846
312,Finesse Shot,847
312,Flair,848
312,Technical Dribbler (AI),849
314,Finesse Shot,850
314,Technical Dribbler (AI),851
315,Cautious With Crosses,852
315,Saves with Feet,853
316,Early Crosser,854
318,Solid Player,855
318,Long Passer (AI),856
318,Long Shot Taker (AI),857
319,Flair,858
319,Speed Dribbler (AI),859
319,Outside Foot Shot,860
320,Solid Player,861
321,Flair,862
321,Long Shot Taker (AI),863
321,Outside Foot Shot,864
322,Flair,865
322,Speed Dribbler (AI),866
322,Power Header,867
322,Outside Foot Shot,868
323,GK Long Throw,869
323,Saves with Feet,870
324,Injury Prone,871
324,Speed Dribbler (AI),872
325,Comes For Crosses,873
326,Flair,874
326,Power Header,875
327,Saves with Feet,876
328,Long Passer (AI),877
329,Injury Prone,878
329,Outside Foot Shot,879
330,Solid Player,880
330,Long Passer (AI),881
330,Rushes Out Of Goal,882
330,Saves with Feet,883
331,Injury Prone,884
331,Early Crosser,885
331,Speed Dribbler (AI),886
332,Power Header,887
333,Finesse Shot,888
333,Flair,889
333,Long Passer (AI),890
333,Long Shot Taker (AI),891
333,Outside Foot Shot,892
333,Technical Dribbler (AI),893
335,Speed Dribbler (AI),894
335,Team Player,895
336,Early Crosser,896
336,Finesse Shot,897
336,Long Shot Taker (AI),898
336,Technical Dribbler (AI),899
337,Outside Foot Shot,900
338,Finesse Shot,901
338,Flair,902
338,Speed Dribbler (AI),903
339,Solid Player,904
339,Speed Dribbler (AI),905
340,Technical Dribbler (AI),906
341,Solid Player,907
342,Injury Prone,908
342,Long Shot Taker (AI),909
342,Outside Foot Shot,910
342,Chip Shot (AI),911
343,Comes For Crosses,912
344,Cautious With Crosses,913
344,Saves with Feet,914
345,Outside Foot Shot,915
345,Technical Dribbler (AI),916
346,Flair,917
346,Playmaker (AI),918
346,Technical Dribbler (AI),919
347,Solid Player,920
347,Dives Into Tackles (AI),921
347,Long Passer (AI),922
347,Team Player,923
348,Flair,924
348,Technical Dribbler (AI),925
349,Flair,926
349,Long Shot Taker (AI),927
349,Playmaker (AI),928
350,Dives Into Tackles (AI),929
350,Leadership,930
350,Long Shot Taker (AI),931
351,Flair,932
351,Technical Dribbler (AI),933
352,Finesse Shot,934
352,Flair,935
352,Playmaker (AI),936
352,Technical Dribbler (AI),937
353,Injury Prone,938
353,Flair,939
353,Speed Dribbler (AI),940
353,Giant Throw-in,941
353,Outside Foot Shot,942
354,Leadership,943
354,Speed Dribbler (AI),944
354,Playmaker (AI),945
355,Finesse Shot,946
355,Flair,947
355,Technical Dribbler (AI),948
356,Playmaker (AI),949
356,Technical Dribbler (AI),950
357,Injury Prone,951
358,Injury Prone,952
358,Dives Into Tackles (AI),953
358,Team Player,954
359,Injury Prone,955
359,Dives Into Tackles (AI),956
360,Power Header,957
360,Team Player,958
361,Leadership,959
361,Team Player,960
361,Rushes Out Of Goal,961
361,Comes For Crosses,962
361,Saves with Feet,963
362,Long Passer (AI),964
362,Playmaker (AI),965
362,Outside Foot Shot,966
363,GK Long Throw,967
363,Comes For Crosses,968
365,Injury Prone,969
365,Flair,970
365,Outside Foot Shot,971
365,Technical Dribbler (AI),972
366,Solid Player,973
366,Long Shot Taker (AI),974
367,Leadership,975
367,Finesse Shot,976
367,Long Shot Taker (AI),977
367,Power Header,978
367,Outside Foot Shot,979
368,Dives Into Tackles (AI),980
368,Leadership,981
369,Injury Prone,982
369,Finesse Shot,983
369,Playmaker (AI),984
369,Outside Foot Shot,985
369,Team Player,986
369,Technical Dribbler (AI),987
370,Power Header,988
371,Power Free-Kick,989
371,Flair,990
371,Long Shot Taker (AI),991
371,Technical Dribbler (AI),992
374,Power Header,993
375,Flair,994
375,Technical Dribbler (AI),995
377,Power Header,996
378,Team Player,997
379,Flair,998
379,Playmaker (AI),999
379,Technical Dribbler (AI),1000
380,Long Shot Taker (AI),1001
380,Technical Dribbler (AI),1002
382,Power Header,1003
383,Flair,1004
383,Speed Dribbler (AI),1005
383,Outside Foot Shot,1006
383,Technical Dribbler (AI),1007
384,Flair,1008
384,Speed Dribbler (AI),1009
384,Outside Foot Shot,1010
384,Technical Dribbler (AI),1011
385,Flair,1012
385,Outside Foot Shot,1013
385,Technical Dribbler (AI),1014
386,Saves with Feet,1015
387,Long Shot Taker (AI),1016
387,Technical Dribbler (AI),1017
388,Long Passer (AI),1018
390,Outside Foot Shot,1019
390,Chip Shot (AI),1020
391,Finesse Shot,1021
391,Outside Foot Shot,1022
391,Technical Dribbler (AI),1023
393,Comes For Crosses,1024
395,Flair,1025
395,Technical Dribbler (AI),1026
396,GK Long Throw,1027
397,Solid Player,1028
398,Flair,1029
398,Speed Dribbler (AI),1030
398,Outside Foot Shot,1031
398,Technical Dribbler (AI),1032
399,Dives Into Tackles (AI),1033
401,Finesse Shot,1034
401,Technical Dribbler (AI),1035
402,Dives Into Tackles (AI),1036
402,Power Header,1037
403,Flair,1038
403,Long Shot Taker (AI),1039
404,GK Long Throw,1040
405,Flair,1041
405,Speed Dribbler (AI),1042
405,Outside Foot Shot,1043
405,Technical Dribbler (AI),1044
406,Dives Into Tackles (AI),1045
406,Early Crosser,1046
407,Solid Player,1047
407,Speed Dribbler (AI),1048
409,Playmaker (AI),1049
410,Dives Into Tackles (AI),1050
410,Early Crosser,1051
410,Speed Dribbler (AI),1052
411,Flair,1053
411,Technical Dribbler (AI),1054
412,Solid Player,1055
412,Speed Dribbler (AI),1056
412,Team Player,1057
413,Speed Dribbler (AI),1058
413,Outside Foot Shot,1059
414,Solid Player,1060
415,Solid Player,1061
415,Power Header,1062
416,Early Crosser,1063
416,Flair,1064
416,Long Shot Taker (AI),1065
416,Outside Foot Shot,1066
416,Technical Dribbler (AI),1067
418,Long Shot Taker (AI),1068
418,Power Header,1069
419,Flair,1070
419,Long Shot Taker (AI),1071
419,Speed Dribbler (AI),1072
419,Technical Dribbler (AI),1073
421,Leadership,1074
421,Cautious With Crosses,1075
422,Solid Player,1076
422,Long Shot Taker (AI),1077
423,Technical Dribbler (AI),1078
424,Flair,1079
424,Long Shot Taker (AI),1080
424,Outside Foot Shot,1081
424,Technical Dribbler (AI),1082
425,Flair,1083
425,Long Shot Taker (AI),1084
425,Playmaker (AI),1085
425,Outside Foot Shot,1086
425,Technical Dribbler (AI),1087
426,Flair,1088
426,Outside Foot Shot,1089
427,Solid Player,1090
427,Power Header,1091
