int_attacking_id,int_player_id,int_crossing,int_finishing,int_heading_accuracy,int_short_passing,int_volleys
106,106,47,37,78,70,30
107,107,72,69,70,83,65
108,108,77,76,52,78,77
109,109,89,65,67,83,67
110,110,81,77,54,84,79
111,111,34,22,86,78,33
112,112,72,85,71,80,75
113,113,82,57,84,78,44
114,114,84,52,66,81,61
115,115,74,68,68,87,56
116,116,82,80,37,87,79
117,117,69,78,83,85,76
118,118,45,39,84,73,44
119,119,74,81,60,84,82
120,120,73,84,85,81,82
121,121,83,83,65,81,74
122,122,82,85,58,86,83
123,123,87,60,71,81,68
124,124,74,88,74,82,84
125,125,49,25,82,73,27
126,126,80,78,45,85,78
127,127,78,76,55,84,67
128,128,80,60,76,85,67
129,129,60,53,69,81,32
130,130,84,69,71,79,75
131,131,80,89,77,79,83
132,132,82,64,50,83,76
133,133,15,8,17,37,13
134,134,82,78,65,80,84
135,135,81,46,75,78,51
136,136,68,87,84,75,86
137,137,12,12,11,34,16
138,138,69,71,84,90,77
139,139,63,62,72,82,59
140,140,13,10,11,23,12
141,141,18,12,16,44,15
142,142,83,66,75,81,75
143,143,68,66,71,86,73
144,144,66,70,59,85,70
145,145,81,73,63,81,60
146,146,81,75,43,78,76
147,147,66,85,77,77,77
148,148,83,74,64,83,76
149,149,74,44,58,74,43
150,150,68,66,67,83,35
151,151,78,63,72,80,50
152,152,76,50,58,76,42
153,153,78,77,60,84,75
154,154,69,26,74,78,24
155,155,87,66,57,81,68
156,156,84,74,52,83,73
157,157,67,79,69,82,80
158,158,24,19,15,38,17
159,159,12,10,12,48,11
160,160,35,32,79,76,34
161,161,79,82,49,84,77
162,162,78,74,46,77,68
163,163,44,88,83,75,77
164,164,18,18,11,26,11
165,165,81,61,58,82,58
166,166,68,82,81,83,79
167,167,83,58,68,81,62
168,168,36,30,78,75,28
169,169,89,74,59,75,70
170,170,78,88,81,79,80
171,171,73,61,42,90,76
172,172,82,76,45,83,74
173,173,61,51,79,78,65
174,174,75,60,56,89,71
175,175,80,83,77,83,72
176,176,85,65,57,82,61
177,177,81,76,39,82,80
178,178,70,74,59,84,56
179,179,25,37,82,75,39
180,180,83,63,72,84,50
181,181,19,18,16,32,13
182,182,84,83,66,85,79
183,183,78,66,53,85,68
184,184,76,77,47,75,64
185,185,54,36,84,77,50
186,186,30,12,20,38,15
187,187,68,83,75,79,79
188,188,15,15,14,35,13
189,189,27,25,80,60,16
190,190,11,11,11,30,9
191,191,79,79,43,84,68
192,192,79,76,48,82,78
193,193,13,13,11,25,12
194,194,81,78,59,86,72
195,195,67,84,85,82,75
196,196,78,71,50,88,75
197,197,86,48,74,80,58
198,198,62,54,74,83,56
199,199,69,34,84,77,52
200,200,82,61,75,82,59
201,201,76,75,81,81,78
202,202,63,88,83,77,77
203,203,80,71,55,85,65
204,204,73,75,59,85,75
205,205,84,73,73,81,63
206,206,87,81,84,80,85
207,207,70,54,78,77,52
208,208,72,60,68,80,72
209,209,78,85,67,81,82
210,210,75,78,65,85,77
211,211,68,87,77,75,85
212,212,14,13,13,46,13
213,213,85,73,70,87,76
214,214,68,86,80,78,88
215,215,79,52,75,79,49
216,216,11,16,14,28,19
217,217,70,76,59,86,68
218,218,40,38,83,74,44
219,219,10,8,11,18,8
220,220,72,79,67,81,67
221,221,78,76,57,83,69
222,222,73,74,67,84,62
223,223,78,77,57,74,70
224,224,62,31,78,79,33
225,225,78,69,69,84,60
226,226,78,66,53,86,82
227,227,15,19,24,24,19
228,228,82,77,78,80,71
229,229,81,77,57,81,79
230,230,78,53,82,79,46
231,231,60,29,77,75,22
232,232,76,86,69,79,85
233,233,18,13,17,36,16
234,234,12,15,12,32,16
235,235,74,82,67,77,79
236,236,75,80,77,84,76
237,237,82,59,81,77,60
238,238,14,16,10,28,13
239,239,76,81,53,76,68
240,240,71,76,82,84,71
241,241,68,55,84,78,53
242,242,79,85,77,80,81
243,243,82,79,72,83,75
244,244,15,14,19,17,13
245,245,11,14,11,32,14
246,246,51,48,86,78,47
247,247,78,74,48,78,73
248,248,67,42,81,80,48
249,249,73,83,86,78,80
250,250,18,14,11,37,15
251,251,72,78,62,73,72
252,252,58,57,76,83,55
253,253,84,81,48,82,75
254,254,90,84,62,83,90
255,255,77,80,80,81,77
256,256,11,11,12,33,19
257,257,11,15,14,36,12
258,258,14,11,16,30,11
259,259,76,56,72,82,58
260,260,20,19,14,48,16
261,261,80,62,76,84,66
262,262,79,82,46,83,63
263,263,75,75,58,84,79
264,264,90,60,80,78,64
265,265,78,81,79,82,79
266,266,15,10,12,44,10
267,267,83,80,80,79,81
268,268,76,77,31,80,59
269,269,24,14,13,39,15
270,270,72,58,78,78,57
271,271,85,78,59,84,77
272,272,81,68,51,88,78
273,273,84,77,59,85,81
274,274,38,27,77,74,31
275,275,13,15,13,37,17
276,276,81,64,68,76,59
277,277,73,82,69,77,80
278,278,74,71,28,79,63
279,279,13,12,13,46,10
280,280,77,77,70,80,72
281,281,34,29,82,73,30
282,282,80,67,57,81,55
283,283,69,68,79,80,59
284,284,83,67,44,77,59
285,285,73,67,64,77,59
286,286,76,72,45,74,72
287,287,73,82,83,77,74
288,288,68,85,82,71,72
289,289,67,72,64,85,63
290,290,82,51,69,78,47
291,291,56,85,83,73,82
292,292,61,53,70,82,57
293,293,81,59,66,81,64
294,294,40,56,83,67,63
295,295,78,47,68,76,42
296,296,72,72,50,77,70
297,297,30,20,20,40,20
298,298,77,43,82,78,70
299,299,73,78,79,83,58
300,300,78,76,60,77,71
301,301,71,61,59,80,65
302,302,42,86,88,76,80
303,303,74,76,45,75,71
304,304,62,74,42,85,71
305,305,36,40,80,74,28
306,306,81,72,35,84,70
307,307,80,76,40,79,75
308,308,79,73,64,84,78
309,309,76,79,73,74,74
310,310,81,56,60,80,54
311,311,77,78,65,82,73
312,312,74,77,68,81,75
313,313,12,14,13,26,13
314,314,83,75,54,81,76
315,315,15,12,13,27,14
316,316,78,49,69,76,44
317,317,70,69,77,84,72
318,318,74,69,53,80,70
319,319,81,80,66,79,69
320,320,68,60,75,78,64
321,321,81,65,53,83,77
322,322,53,85,77,69,75
323,323,25,11,18,51,18
324,324,75,44,78,78,54
325,325,15,14,13,37,18
326,326,42,84,86,74,83
327,327,15,12,12,26,13
328,328,68,32,81,75,34
329,329,58,88,80,66,78
330,330,17,19,15,55,20
331,331,87,39,65,80,38
332,332,35,34,84,71,27
333,333,69,86,69,78,77
334,334,77,51,69,75,43
335,335,76,70,72,76,87
336,336,84,71,50,84,72
337,337,81,70,75,80,77
338,338,79,70,44,79,73
339,339,80,62,74,78,46
340,340,80,60,59,81,55
341,341,78,84,71,81,83
342,342,53,85,78,78,85
343,343,17,10,12,50,19
344,344,20,12,13,42,19
345,345,83,77,61,83,64
346,346,73,76,65,84,65
347,347,17,42,82,72,39
348,348,72,62,34,84,68
349,349,79,70,45,80,76
350,350,67,72,83,76,66
351,351,83,64,67,81,70
352,352,82,76,47,85,85
353,353,74,75,73,76,72
354,354,73,74,56,77,82
355,355,75,79,53,80,68
356,356,79,80,63,83,80
357,357,72,68,76,83,78
358,358,58,43,85,77,58
359,359,43,39,78,78,59
360,360,49,43,83,75,34
361,361,11,11,16,37,16
362,362,78,74,74,84,77
363,363,14,13,11,20,17
364,364,10,10,10,31,19
365,365,80,74,41,83,79
366,366,65,72,61,81,59
367,367,72,85,79,75,79
368,368,46,46,82,73,23
369,369,75,69,54,90,79
370,370,48,83,86,69,75
371,371,75,74,64,80,76
372,372,40,38,83,74,44
373,373,77,51,69,78,47
374,374,56,82,83,68,79
375,375,73,72,44,79,67
376,376,75,58,59,78,58
377,377,40,56,80,67,63
378,378,10,8,11,18,8
379,379,77,75,45,80,68
380,380,71,74,65,80,66
381,381,72,48,77,70,34
382,382,59,84,87,73,75
383,383,71,68,50,72,70
384,384,67,75,45,78,72
385,385,69,59,56,84,59
386,386,14,9,13,32,5
387,387,77,78,59,81,61
388,388,59,49,62,80,43
389,389,80,65,72,78,66
390,390,67,83,77,73,83
391,391,81,74,59,82,59
392,392,46,39,75,76,48
393,393,16,14,18,29,17
394,394,39,31,82,66,34
395,395,73,72,44,79,67
396,396,18,11,12,28,16
397,397,81,48,69,73,49
398,398,73,74,57,73,74
399,399,71,42,75,77,41
400,400,48,39,81,77,21
401,401,74,82,75,74,70
402,402,48,41,75,73,55
403,403,82,59,70,83,61
404,404,12,13,13,34,15
405,405,76,69,51,75,74
406,406,74,30,74,73,35
407,407,68,77,52,72,75
408,408,76,63,40,82,65
409,409,62,71,40,83,74
410,410,78,59,64,76,63
411,411,74,68,41,82,62
412,412,72,59,78,74,41
413,413,73,75,58,73,74
414,414,62,42,77,79,38
415,415,65,81,89,70,73
416,416,86,64,62,79,62
417,417,71,61,79,83,62
418,418,67,75,82,82,62
419,419,70,67,53,76,59
420,420,20,18,15,31,15
421,421,18,11,19,37,18
422,422,66,63,63,81,60
423,423,76,64,55,84,69
424,424,81,68,54,83,74
425,425,72,74,46,82,59
426,426,50,84,81,72,72
427,427,40,33,82,69,35
428,428,81,71,72,77,66
429,429,75,79,62,82,78
430,430,79,68,56,77,63
431,431,77,68,52,84,75
432,432,80,72,56,78,58
433,433,42,88,84,68,82
434,434,82,77,42,79,70
435,435,68,52,71,81,50
436,436,78,75,36,82,72
437,437,78,85,73,79,79
438,438,78,58,66,79,48
439,439,51,42,71,72,37
440,440,49,47,80,67,47
441,441,81,44,73,76,53
442,442,81,64,71,78,59
443,443,75,52,60,77,41
444,444,86,28,75,77,57
445,445,62,29,81,80,27
446,446,50,32,80,77,23
447,447,59,40,82,74,40
448,448,81,63,69,75,57
449,449,76,75,40,77,72
450,450,79,74,64,81,79
451,451,53,65,84,70,64
452,452,13,11,10,17,10
453,453,70,32,78,78,38
454,454,81,48,60,75,49
455,455,77,73,65,84,64
456,456,71,50,62,85,50
457,457,23,11,14,40,15
458,458,74,84,73,75,78
459,459,57,55,78,79,43
460,460,81,57,75,77,61
461,461,63,72,75,79,74
462,462,68,64,65,85,65
463,463,64,85,79,74,75
464,464,54,82,84,78,74
465,465,80,58,74,80,54
466,466,78,73,64,80,77
467,467,78,68,65,76,74
468,468,79,56,71,78,51
469,469,83,71,83,81,76
470,470,73,77,78,81,77
471,471,70,59,75,82,73
472,472,72,61,79,78,56
473,473,68,72,51,81,58
474,474,82,70,48,80,74
475,475,66,80,93,78,84
476,476,35,11,20,39,13
477,477,78,75,55,79,70
478,478,75,79,71,78,73
479,479,69,64,63,82,53
480,480,82,70,70,84,78
481,481,60,33,77,72,64
482,482,74,80,64,82,85
483,483,63,48,72,75,54
484,484,75,76,59,80,65
485,485,77,76,68,76,83
486,486,73,76,34,78,75
487,487,68,55,80,77,63
488,488,65,82,83,65,80
489,489,50,55,81,78,37
490,490,72,57,85,71,48
491,491,12,11,23,34,15
492,492,76,55,72,77,58
493,493,77,64,77,78,64
494,494,11,14,12,44,17
495,495,79,75,69,80,71
496,496,80,83,90,83,55
497,497,76,76,67,80,77
498,498,52,28,78,74,46
499,499,48,43,79,83,51
500,500,11,11,12,33,13
501,501,55,81,84,79,80
502,502,65,64,70,85,73
503,503,66,84,69,79,85
504,504,64,84,84,75,81
505,505,19,13,18,23,10
506,506,80,70,62,80,75
507,507,86,62,66,84,76
508,508,84,81,63,83,68
509,509,76,80,48,80,83
510,510,64,72,45,73,64
511,511,8,9,7,11,8
512,512,61,53,70,80,57
513,513,79,48,69,71,49
514,514,78,45,60,76,55
515,515,45,83,70,68,76
516,516,77,75,43,78,76
517,517,72,78,62,73,67
518,518,36,84,69,78,73
519,519,13,9,13,26,8
520,520,45,32,78,75,32
521,521,79,66,74,74,55
522,522,75,73,64,75,68
523,523,65,70,73,80,49
524,524,46,26,79,75,25
525,525,79,20,75,79,38
526,526,69,74,47,82,57
527,527,77,78,52,77,81
528,528,70,66,77,80,62
529,529,60,39,72,79,28
530,530,65,65,60,83,63
531,531,77,74,41,78,58
532,532,10,5,10,20,9
533,533,73,70,39,73,59
534,534,39,31,69,79,33
535,535,78,73,56,81,66
536,536,81,45,73,77,48
537,537,65,67,65,82,47
538,538,61,82,70,72,81
539,539,76,64,83,72,28
540,540,64,83,78,67,75
541,541,79,73,75,82,70
542,542,42,81,76,74,76
543,543,8,9,7,11,8
544,544,52,68,83,78,67
545,545,75,58,59,78,58
546,546,78,47,71,75,49
547,547,78,45,60,76,55
548,548,76,76,53,76,77
549,549,59,82,78,69,79
550,550,50,81,74,79,78
551,551,59,82,74,71,79
552,552,74,67,71,86,69
553,553,65,34,79,82,48
554,554,65,80,78,65,75
555,555,77,52,62,85,60
556,556,75,77,50,81,72
557,557,80,69,38,79,70
558,558,51,33,79,67,42
559,559,28,32,81,78,32
560,560,70,75,47,82,59
561,561,74,72,48,75,63
562,562,80,58,81,77,43
563,563,50,79,80,72,71
564,564,63,84,75,65,73
565,565,65,55,50,84,50
566,566,59,41,65,86,57
567,567,73,79,77,80,80
568,568,58,42,75,73,35
569,569,77,25,77,78,23
570,570,74,80,70,72,82
571,571,55,37,71,78,36
572,572,64,64,62,81,42
573,573,79,48,71,76,32
574,574,66,82,85,68,78
575,575,77,78,64,77,79
576,576,55,69,46,84,52
577,577,35,19,81,64,32
578,578,70,79,75,77,77
579,579,79,69,65,77,65
580,580,55,81,78,72,73
581,581,59,30,59,80,22
582,582,72,71,57,81,67
583,583,79,62,67,75,33
584,584,79,66,40,72,52
585,585,66,84,78,72,77
586,586,49,36,79,79,25
587,587,76,77,51,77,82
588,588,35,20,79,73,24
589,589,18,15,14,30,17
590,590,89,66,59,77,45
591,591,65,64,69,83,69
592,592,17,14,19,31,20
593,593,80,69,49,77,72
594,594,78,78,56,80,59
595,595,77,75,69,81,72
596,596,78,51,60,77,51
597,597,77,49,67,69,39
598,598,79,75,43,79,58
599,599,79,77,51,75,57
600,600,13,20,14,25,20
601,601,63,48,76,77,52
602,602,50,53,56,82,54
603,603,50,83,80,73,74
604,604,82,71,44,84,65
605,605,68,67,74,80,67
606,606,15,12,14,27,13
607,607,77,72,30,76,64
608,608,76,58,60,82,71
609,609,69,77,58,81,84
610,610,63,53,74,80,56
611,611,70,55,75,80,50
612,612,89,70,57,85,51
613,613,39,38,84,69,31
614,614,78,27,60,75,53
615,615,82,61,66,75,44
616,616,73,72,49,82,68
617,617,78,73,70,73,74
618,618,51,22,78,73,31
619,619,9,12,12,26,11
620,620,63,63,62,81,45
621,621,64,52,82,75,51
622,622,65,51,74,81,56
623,623,57,37,89,72,26
624,624,77,69,64,85,72
625,625,65,69,75,81,62
626,626,83,54,68,77,52
627,627,72,73,55,85,76
628,628,73,41,82,81,49
629,629,20,15,16,28,13
630,630,75,77,65,76,75
631,631,16,16,14,38,19
632,632,83,77,47,79,75
633,633,74,85,68,75,79
634,634,78,61,69,79,73
635,635,69,82,66,78,72
636,636,62,81,65,75,75
637,637,78,70,39,80,60
638,638,81,72,42,85,70
639,639,71,80,76,74,77
640,640,11,20,11,35,20
641,641,74,58,73,82,69
642,642,81,57,70,79,38
643,643,67,80,72,75,76
644,644,78,78,69,79,61
645,645,52,54,82,70,57
646,646,71,70,63,82,64
647,647,75,77,65,77,83
648,648,82,46,77,78,42
649,649,52,54,82,65,49
650,650,59,36,79,62,29
651,651,59,67,82,82,66
652,652,50,82,75,68,80
653,653,63,77,54,79,78
654,654,59,50,78,80,55
655,655,61,81,87,77,74
656,656,62,56,61,81,56
657,657,14,12,8,41,13
658,658,68,85,85,77,75
659,659,78,67,60,75,68
660,660,84,73,60,83,76
661,661,79,67,57,80,60
662,662,70,70,75,78,76
663,663,72,54,68,79,64
664,664,81,73,68,78,73
665,665,59,54,77,78,33
666,666,68,44,81,68,38
667,667,77,61,69,77,64
668,668,64,82,90,75,81
669,669,81,56,74,80,69
670,670,72,78,66,78,76
671,671,79,70,56,84,71
672,672,56,85,73,72,80
673,673,80,74,48,82,76
674,674,72,55,63,84,66
675,675,20,10,15,43,12
676,676,69,80,67,79,78
677,677,11,10,15,36,12
678,678,92,74,36,85,76
679,679,78,74,70,81,75
680,680,83,37,43,78,50
681,681,52,37,79,76,35
682,682,15,18,14,36,14
683,683,11,14,15,35,12
684,684,68,42,66,79,51
685,685,15,12,19,31,16
686,686,11,14,13,19,11
687,687,89,64,41,78,80
688,688,70,62,64,81,59
689,689,66,60,64,83,66
690,690,39,54,77,80,33
691,691,75,57,68,77,44
692,692,76,69,60,76,71
693,693,42,79,73,74,76
694,694,55,51,76,68,44
695,695,69,73,66,71,66
696,696,80,54,70,75,61
697,697,13,7,11,40,6
698,698,10,5,8,44,8
699,699,81,68,59,76,57
700,700,41,83,73,74,81
701,701,70,61,48,82,51
702,702,75,75,68,75,68
703,703,50,28,79,77,34
704,704,67,75,50,71,68
705,705,29,16,78,75,21
706,706,76,62,73,81,64
707,707,75,82,64,74,75
708,708,70,52,73,78,52
709,709,38,29,77,75,28
710,710,69,76,64,79,66
711,711,77,71,42,80,63
712,712,70,66,42,79,71
713,713,71,61,65,81,56
714,714,83,71,58,72,69
715,715,72,70,50,76,68
716,716,48,84,80,63,70
717,717,68,75,44,69,76
718,718,54,30,80,78,27
719,719,64,79,80,78,74
720,720,38,31,80,73,28
721,721,13,6,13,54,9
722,722,66,82,67,69,74
723,723,50,82,81,69,76
724,724,69,41,71,75,39
725,725,72,70,43,77,75
726,726,72,66,64,79,68
727,727,82,74,49,79,65
728,728,59,86,91,66,70
729,729,50,83,81,69,74
730,730,63,70,46,85,68
731,731,75,69,34,78,61
732,732,86,73,20,85,64
733,733,76,69,60,76,71
734,734,65,21,78,71,26
735,735,55,51,76,68,44
736,736,76,50,60,73,56
737,737,76,54,77,77,71
738,738,68,43,62,66,45
739,739,62,72,70,82,55
740,740,78,72,60,80,58
741,741,75,48,45,83,49
742,742,44,38,76,77,54
743,743,53,36,74,77,42
744,744,68,58,61,85,53
745,745,66,59,42,74,57
746,746,77,52,59,73,27
747,747,72,26,80,73,30
748,748,70,74,65,75,68
749,749,69,38,78,78,39
750,750,15,17,19,29,20
751,751,66,73,61,72,68
752,752,12,13,21,28,17
753,753,68,82,71,70,70
754,754,75,49,60,75,52
755,755,51,84,80,64,75
756,756,73,65,48,72,55
757,757,73,73,65,75,71
758,758,80,69,44,77,63
759,759,61,64,58,80,50
760,760,63,78,71,76,64
761,761,72,54,68,79,64
762,762,65,30,79,77,30
763,763,68,76,71,72,71
764,764,69,82,73,72,73
765,765,30,11,16,32,18
766,766,43,51,85,74,41
767,767,34,36,80,63,51
768,768,80,64,76,78,58
769,769,75,60,71,75,56
770,770,68,35,82,70,30
771,771,80,49,65,70,46
772,772,79,53,60,78,73
773,773,68,64,45,84,43
774,774,74,34,67,75,40
775,775,81,59,69,74,69
776,776,58,48,66,80,49
777,777,69,40,71,78,53
778,778,44,45,82,73,50
779,779,80,71,63,79,68
780,780,68,77,67,80,50
781,781,62,66,58,84,54
782,782,77,78,76,75,65
783,783,73,60,70,81,55
784,784,78,76,38,74,56
785,785,77,75,50,84,64
786,786,75,66,79,80,71
787,787,71,35,76,71,30
788,788,78,65,56,78,60
789,789,75,43,63,64,63
790,790,64,54,73,78,68
791,791,86,70,47,76,73
792,792,54,81,69,74,78
793,793,74,47,66,75,40
794,794,76,75,70,77,77
795,795,50,81,74,75,79
796,796,55,79,72,67,76
797,797,65,63,80,75,61
798,798,39,81,79,68,79
799,799,82,48,60,69,39
800,800,72,71,41,81,71
801,801,74,46,71,72,41
802,802,54,52,77,79,47
803,803,70,68,76,81,70
804,804,68,72,66,78,68
805,805,74,57,74,78,55
806,806,68,76,85,73,75
807,807,60,50,81,70,40
808,808,20,11,16,32,16
809,809,74,73,69,75,77
810,810,75,75,62,76,74
811,811,72,68,74,78,63
812,812,78,33,68,74,41
813,813,67,74,76,79,77
814,814,57,40,79,80,49
815,815,78,66,41,82,55
816,816,72,65,59,75,68
817,817,76,66,75,71,60
818,818,75,71,49,79,68
819,819,74,69,41,76,69
820,820,32,43,76,72,50
821,821,77,53,70,74,57
822,822,67,79,69,72,72
823,823,60,46,61,77,58
824,824,14,18,14,38,14
825,825,82,60,66,78,59
826,826,22,16,26,45,13
827,827,75,51,71,69,54
828,828,70,26,57,80,48
829,829,72,65,41,79,68
830,830,13,15,15,36,11
831,831,30,49,81,65,52
832,832,75,75,71,77,73
833,833,75,69,47,74,75
834,834,74,80,78,83,79
835,835,32,37,76,75,24
836,836,59,44,75,69,57
837,837,65,41,79,64,36
838,838,67,69,65,83,62
839,839,79,66,65,77,56
840,840,74,70,33,76,55
841,841,69,38,78,78,39
842,842,74,47,66,75,40
843,843,62,72,70,82,55
844,844,70,62,64,81,59
845,845,55,40,76,69,36
846,846,78,28,65,71,28
847,847,82,48,60,69,39
848,848,50,82,81,69,76
849,849,64,54,73,78,68
850,850,54,81,69,74,78
851,851,77,52,59,73,27
852,852,30,11,16,32,18
853,853,67,75,50,71,68
854,854,78,76,54,77,70
855,855,75,51,71,69,54
856,856,68,35,82,70,30
857,857,80,64,76,78,58
858,858,20,11,16,32,16
859,859,70,52,73,78,52
860,860,78,59,59,75,57
861,861,70,40,83,67,29
862,862,80,49,65,70,46
863,863,70,74,65,75,68
864,864,66,59,42,74,57
865,865,72,68,74,78,63
866,866,69,82,73,72,73
867,867,78,76,38,74,56
868,868,72,65,59,75,68
869,869,75,43,63,64,63
870,870,68,82,74,66,75
871,871,76,69,60,76,71
872,872,74,80,78,83,79
873,873,80,69,44,77,63
874,874,39,54,77,80,33
875,875,59,44,75,69,57
876,876,75,48,45,83,49
877,877,53,58,81,75,51
878,878,52,49,83,76,49
879,879,77,50,68,76,43
880,880,78,33,68,74,41
881,881,32,37,76,75,24
882,882,75,72,63,73,70
883,883,44,45,82,73,50
884,884,60,50,81,70,40
885,885,68,58,61,85,53
886,886,54,81,78,75,74
887,887,53,48,44,82,55
888,888,86,73,20,85,64
889,889,13,7,11,40,6
890,890,78,65,56,78,60
891,891,61,64,58,80,50
892,892,67,55,70,71,51
893,893,80,54,70,75,61
894,894,60,46,61,77,58
895,895,69,77,54,78,77
896,896,82,57,65,79,68
897,897,65,82,77,70,76
898,898,64,79,80,78,74
899,899,75,75,84,75,66
900,900,14,18,14,38,14
901,901,69,37,76,75,40
902,902,32,28,79,69,21
903,903,72,61,55,72,47
904,904,35,15,13,23,17
905,905,76,68,62,76,69
906,906,78,55,63,75,61
907,907,60,78,80,68,70
908,908,69,67,68,79,60
909,909,15,19,17,37,14
910,910,26,35,77,73,28
911,911,12,11,11,46,16
912,912,69,62,66,76,55
913,913,70,69,74,77,68
914,914,78,68,42,78,74
915,915,66,80,79,72,75
916,916,12,20,12,22,20
917,917,66,64,68,79,60
918,918,82,72,39,77,75
919,919,68,45,59,80,52
920,920,79,69,44,80,66
921,921,18,13,39,24,15
922,922,78,66,72,75,68
923,923,71,56,62,75,45
924,924,80,60,56,80,69
925,925,45,26,78,63,40
926,926,73,48,73,71,57
927,927,73,79,75,80,83
928,928,43,50,65,77,35
929,929,12,14,13,32,18
930,930,74,74,57,80,71
931,931,79,60,66,75,40
932,932,75,72,60,78,73
933,933,76,66,71,75,61
934,934,74,75,46,76,70
935,935,13,15,14,29,19
936,936,68,66,65,80,69
937,937,83,73,44,76,65
938,938,47,64,82,81,75
939,939,70,67,60,77,65
940,940,51,25,79,68,30
941,941,60,78,75,68,77
942,942,64,82,78,65,72
943,943,72,51,66,77,39
944,944,64,23,77,67,27
945,945,46,30,77,72,32
946,946,72,47,60,73,54
947,947,68,77,84,77,83
948,948,65,68,57,80,50
949,949,52,68,75,76,67
950,950,68,69,40,79,67
951,951,74,73,45,75,77
952,952,45,50,72,77,40
953,953,76,72,53,81,69
954,954,48,83,82,69,77
955,955,50,54,57,82,67
956,956,80,78,52,77,63
957,957,71,75,69,77,71
958,958,51,50,75,75,42
959,959,17,14,11,28,15
960,960,79,58,69,80,67
961,961,30,26,77,70,28
962,962,72,77,74,80,79
963,963,13,16,19,29,18
964,964,24,17,24,45,15
965,965,70,78,81,79,80
966,966,59,76,82,73,75
967,967,71,70,61,67,65
968,968,66,75,50,71,70
969,969,53,22,71,72,32
970,970,73,62,59,80,66
971,971,65,53,66,70,47
972,972,72,77,74,69,73
973,973,66,79,78,79,81
974,974,78,66,57,77,67
975,975,18,19,14,29,20
976,976,14,11,15,25,11
977,977,61,79,73,74,76
978,978,72,57,68,82,68
979,979,78,65,62,75,74
980,980,69,78,61,75,75
981,981,72,49,71,68,38
982,982,76,28,75,77,34
983,983,49,25,80,73,36
984,984,71,56,62,75,45
985,985,65,77,68,73,73
986,986,69,66,61,73,60
987,987,36,30,74,70,31
988,988,72,73,60,72,64
989,989,65,62,64,76,55
990,990,77,74,67,79,73
991,991,78,60,69,75,42
992,992,74,70,67,83,72
993,993,79,50,62,73,66
