club,last_name,first_name,position,base_salary,guaranteed_compensation
CHV,Gordon,Alan,F,87731.0,87731.0
RSL,Grabavoy,Ned,M,105000.0,105000.0
SEA,Graham,Taylor,D,57750.0,57750.0
DC,Graye,Jordan,D,40000.0,40000.0
CLB,Griffit,Leandre,M,40008.0,40008.0
NE,Griffiths,Jason,M,40000.0,40000.0
CLB,Gruenebaum,Andy,GK,40000.0,40000.0
DAL,Guarda,Bruno,M,75000.0,105000.0
Pool,Guppy,Kevin,GK,40000.0,40000.0
HOU,Hainault,Andrew,D,110000.0,123125.0
HOU,Hall,Tally,GK,60000.0,69375.0
NY,Hall,Jeremy,M,75000.0,124000.0
DC,Hamid,Bill,GK,40000.0,46666.66
TFC,Harden,Ty,D,40000.0,40000.0
KC,Harrington,Michael,M-D,78516.0,97266.0
DAL,Harris,Atiba,M-F,68970.0,71970.0
DAL,Hartman,Kevin,GK,75000.0,80000.0
PHI,Harvey,Jordan,D,55000.0,56250.0
CLB,Hejduk,Frankie,M,120000.0,127500.0
NY,Henry,Thierry,F,5000000.04,5600000.04
KC,Hercegfalvi,Zoltan,F,168000.0,168000.0
DAL,Hernandez,Daniel,M-D,100000.0,112500.0
DAL,Hernandez,Moises,D,31260.0,31260.0
DC,Hernandez,Pablo,F,240000.0,249090.91
SJ,Hernandez,Jason,D,125000.0,125000.0
TFC,Herold,Zachary,D,60000.0,109166.67
CLB,Hesmer,William,GK,125000.0,136000.0
KC,Hohlbein,Aaron,D,40000.0,40000.0
COL,Holody,Mike,D,40000.0,40000.0
RSL,Horst,David,D,40000.0,40000.0
Pool,Horwath,Alex,GK,40000.0,40000.0
TFC,Hscanovics,Raivis,D,114000.0,120250.0
SEA,Hurtado,John Kennedy,D,120000.0,121000.0
CHI,Husidic,Baggio,M,75000.0,117000.0
SEA,Ianni,Patrick,D,75600.0,75600.0
TFC,Ibrahim,Fuad,F,100000.0,133000.0
DAL,Ihemelu,Ugo,D,150000.0,150000.0
CLB,Iro,Andy,D,52360.0,71110.0
PHI,Jacobson,Andrew,M,40000.0,40000.0
DC,Jakovic,Dejan,D,147600.0,167102.5
DC,James,Julius,D,52085.0,61460.0
NE,Jankauskas,Edgaras,F,240000.0,240000.0
SEA,Jaqua,Nate,F,150000.0,157000.0
SJ,Jassey,Omar,M,42000.0,47500.0
CHV,Jazic,Ante,D,105000.0,113500.0
KC,Jewsbury,Jack,D,145000.0,154125.0
CHI,John,Collins,F,160000.0,181875.0
DAL,John,George,D,40000.0,40000.0
CHI,Johnson,Sean,GK,55000.0,88000.0
RSL,Johnson,Will,F,76320.0,89891.43
SJ,Johnson,Ryan,M,125000.0,125000.0
LA,Jordan,Bryan,F,40000.0,40000.0
NE,Joseph,Shalrie,M,450000.0,475000.0
TFC,Joseph,Nane,M,40000.0,40000.0
COL,Joyce,Ian,GK,54000.0,54000.0
KC,Kamara,Kei,F,180000.0,182500.0
NY,Kandji,Macoumba,F,85000.0,112988.37
SEA,Keller,Kasey,GK,300000.0,300000.0
CHV,Kennedy,Dan,GK,54996.0,54996.0
COL,Kimura,Kosuke,D,57750.0,57750.0
DC,King,Stephen,M,40000.0,40000.0
CHI,Kinney,Steven,D,40000.0,40000.0
LA,Kirovski,Jovan,F,84000.0,84000.0
LA,Klein,Chris,M,96000.0,101000.0
PHI,Knighton,Brad,GK,40000.0,40000.0
TFC,Kocic,Milos,GK,40000.0,40000.0
KC,Kounenakis,Nick,D,60000.0,70000.0
LA,Kovalenko,Dema,M,136500.0,144118.75
CHI,Krol,Krzystof,D,100000.0,100000.0
KC,Kronberg,Eric,GK,56000.0,56000.0
COL,LaBauex,Ross,M,40000.0,40000.0
TFC,LaBrocca,Nick,M,77000.0,79500.0
CHV,Lahoud,Michael,M,45100.0,54475.0
DAL,Lambo,Josh,GK,75000.0,108000.0
COL,Larentowicz,Jeff,D,150000.0,150000.0
PHI,Le Toux,Sebastian,M,110000.0,122000.0
KC,Leathers,Jonathan,D,40000.0,40000.0
SJ,Leitch,Chris,D,101000.0,101000.0
CLB,Lenhart,Steven,F,40000.0,42333.34
SEA,Levesque,Roger,F,40000.08,40000.08
LA,Lewis,Eddie,M,96000.0,99333.33
DAL,Leyva,Bryan,M,45000.0,60833.33
CHV,Lillingston,Eduardo,F,100000.0,100000.0
NE,Linck,Roberto,F-M,40000.08,40000.08
NY,Lindpere,Joel,M,80000.0,115000.0
CHI,Ljungberg,Fredrik,M,1300000.0,1314000.0
COL,Lopez,Claudio,F,120000.0,120000.0
CHI,Lowry,Peter,F-M,40000.0,40000.0
DAL,Loyd,Zach,M,40000.0,57125.0
SJ,Luiz Moreira,Andre,M,60000.0,60000.0
DAL,Luna,Ruben,F,45000.0,47000.0
LA,Magee,Mike,F,93500.0,96000.0
CHV,Maldonado,Giancarlo,F,204000.0,204000.0
NE,Mansally,Kenny,F-M,65000.0,72500.0
PHI,Mapp,Justin,M,162000.0,170333.33
DAL,Marosevic,Peri,F,75000.0,124000.0
NY,Marquez,Rafael,D,5544000.0,5544000.0
CLB,Marshall,Chad,D,250000.0,320000.0
LA,Marshall,Yohance,D,40000.0,40000.0
SEA,Marshall,Tyrone,D,165375.0,169125.0
TFC,Martinez,"Miguel ""Mista""",F,968736.0,987337.5
COL,Mastroeni,Pablo,M-D,255000.0,300500.0
CHV,Mayen,Gerson,M,40000.0,40000.0
CHI,McBride,Brian,F,378000.0,403333.33
DAL,McCarty,Dax,M,145000.0,165000.0
SJ,McDonald,Brandon,M,40000.0,40000.0
PHI,McInerney,Jack,F,52250.0,116416.67
RSL,McKenzie,Rauwshan,D,40000.0,40000.0
DC,McTavish,Devon,D-M,70000.0,72500.0
RSL,Melia,Tim,GK,40000.0,40000.0
NY,Mendes,Carlos,D,89250.0,92375.0
CLB,Mendoza,Andres,F,216000.0,240833.33
PHI,Miglioranzi,Stefani,M,125000.0,148125.0
NY,Miller,Roy,M,99996.0,99996.0
CLB,Moffat,Adam,M,50400.0,50400.0
SEA,Montano,Miguel,F,40008.0,40008.0
SEA,Montero,Fredy,F,180000.0,180000.0
COL,Moor,Drew,D,145200.0,162388.89
RSL,Morales,Javier,M,200000.0,252500.0
DC,Moreno,Jaime,F,160000.0,185000.0
PHI,Moreno,Alejandro,F,145000.0,158125.0
SJ,Morrow,Justin,D,40000.0,40000.0
DC,Morsink,Kurt,M,40000.0,40000.0
HOU,Mullan,Brian,M,180500.0,189812.5
HOU,Mulrooney,Richard,M,120000.0,125000.0
NE,Murray,Tim,GK,40000.0,40000.0
PHI,Mwanga,Danny,F,100000.0,206250.0
KC,Myers,Chance,D-M,70000.0,142000.0
CHV,Nagamura,Paulo,M,192000.0,197500.0
DC,Najar,Andy,M-F,39000.0,58995.83
PHI,Nakazawa,Kyle,M,40000.0,40000.0
HOU,Navas,Francisco,M,40000.0,40000.0
HOU,Ngwenya,Joseph,M/F,72000.0,72000.0
KC,Nielsen,Jimmy,GK,100000.0,141666.67
NY,Nielsen,Brian,M,156000.0,156000.0
RSL,Nimo,Alex,F-M,75000.0,108000.0
SEA,Nkufo,Blaise,F,480000.0,480000.0
SEA,Noonan,Pat,F,96000.0,96000.0
PHI,Noone,JT,M,40012.08,40012.08
CHI,Nyarko,Patrick,F,80000.0,160000.0
NE,Nyassi,Sainey,M,70000.0,76750.0
SEA,Nyassi,Sanna,M,40000.0,40000.0
HOU,Obodai,Anthony,M,96000.0,112666.67
COL,O'Brien,Ciaran,M,75000.0,108750.0
HOU,Oduro,Dominic,F,40000.0,40000.0
PHI,Okugo,Amobi,M,75000.0,158000.0
RSL,Olave,Jamison,D,225000.0,240000.0
HOU,Onstad,Patrick,GK,164000.0,172333.33
SJ,Opara,Ike,D,80000.0,165900.0
CLB,O'Rourke,Danny,D,110000.0,122500.0
PHI,Orozco,Michael,D,150000.0,200000.0
NE,Osei,Emmanuel,D,47250.0,52875.0
CLB,Oughton,Duncan,D,40000.0,40000.0
CHV,Padilla,Jesus Andres,F,48000.0,48000.0
CLB,Padula,Gino,D,165000.0,190000.0
COL,Palguta,Scott,D,57750.0,57750.0
HOU,Palmer,Lovel,M,60000.0,71250.0
CHI,Pappa,Marco,M,108000.0,108000.0
SEA,Parke,Jeff,D,99999.96,99999.96
CHI,Pause,Logan,M,160000.0,168125.0
DAL,Pearce,Heath,D,198000.0,207500.0
DC,Pena,Juan,D,40000.0,40000.0
LA,Perk,Brian,GK,52250.0,86350.0
DC,Perkins,Troy,GK,200000.0,205000.0
NE,Perovic,Marko,M,180000.0,190000.0
TFC,Peterson,Jacob,F,125000.0,143000.0
NY,Petke,Mike,D,95000.0,95000.0
NE,Phelan,Pat,M,40000.0,40000.0
COL,Pickens,Matt,GK,135000.0,137500.0
DC,Pontius,Chris,M-F,100000.0,100000.0
DC,Quaranta,Santino,M-F,105000.0,107500.0
DC,Quinn,Andrew,GK,40008.0,40008.0
NY,Ream,Tim,D,40000.0,40000.0
NE,Reis,Matt,GK,182011.0,182011.0
CLB,Renteria,Emilio,F,108000.0,109875.0
RSL,Reynish,Kyle,GK,40000.0,40000.0
LA,Ribeiro Da Silva,Leonardo,D,70000.0,80000.0
DC,Rice,Barry,D,40000.0,40000.0
NY,Richards,Dane,M-F,135000.0,146500.0
LA,Ricketts,Donovan,GK,160000.0,160000.0
SEA,Riley,James,D,72450.0,76075.0
RSL,Rimando,Nick,GK,120000.0,131000.0
SJ,Ring,Brad,M,40000.0,40000.0
CHI,Robinson,Dasan,D,49200.0,49200.0
HOU,Robinson,Eddie,D,135000.0,145000.0
NY,Robinson,Carl,M,300000.0,315000.0
KC,Rocastle,Craig,M,96000.0,102062.5
DAL,Rodriguez,Milton,F,84000.0,114000.0
CLB,Rogers,Robbie,M-F,115000.0,115000.0
CHV,Romero,Osael,M,80000.0,85500.0
RSL,Russell,Robbie,D-M,114000.0,119751.43
RSL,Saborio,Alvaro,F,120000.0,128125.0
DAL,Sala,Dario,GK,160000.0,178125.0
PHI,Salinas,Shea,M,40000.0,40000.0
NY,Salou,Ibrahim,F,264000.0,264000.0
TFC,Santos,Maicon,F,93000.0,93000.0
TFC,Sanyang,Amadou,D,40000.0,46555.55
CHV,Saragosa,Marcelo,D-M,130000.0,134285.71
TFC,Saric,Martin,M,90000.0,90000.0
NY,Sassano,Luke,M-D,40000.0,40000.0
LA,Saunders,Josh,GK,57475.0,60608.75
NE,Schilawski,Zack,F,40000.0,42500.0
RSL,Schuler,Chris,D,40000.0,40000.0
COL,Schunk,Ross,F,40000.0,40000.0
SEA,Scott,Zach,D,42008.0,42008.0
SJ,Sealy,Scott,F,138000.0,145000.0
SEA,Seamon,Michael,M,40000.0,40000.0
CHI,Segares,Gonzalo,D,60000.0,67750.0
PHI,Seitz,Chris,GK,100000.0,135500.0
HOU,Serioux,Adrian,D,96000.0,96000.0
LA,Sesay,Israel,F,75000.0,107083.33
DC,Shanosky,Conor,D,31250.04,37135.54
Pool,Sharpe,Christopher,GK,40000.0,40000.0
DAL,Shea,Brek,M-D,75000.0,108000.0
NE,Shuttleworth,Robert,GK,40000.0,40000.0
DC,Simms,Clyde,M,165000.0,171000.0
NE,Sinovic,Seth,D,40000.0,40000.0
COL,Smith,Jamie,M,172800.0,182800.0
KC,Smith,Ryan,M-F,125000.0,129375.0
NE,Smith,Khano,M-F,50004.0,50004.0
PHI,Stahl,Toni,M,40000.0,110300.0
NY,Stammler,Seth,M,123900.0,123900.0
LA,Stephens,Michael,M,40000.0,42500.0
SJ,Stephenson,Khari,M,151500.0,167333.33
NE,Stolica,Ilija,F,216000.0,221500.0
SEA,Sturgis,Nathan,D-M,65000.0,69250.0
NY,Sutton,Greg,GK,72000.0,76500.0
DC,Talley,Carey,D,99996.0,99996.0
NY,Tchani,Tony,M,75000.0,179000.0
KC,Thomas,Shavar,D,145000.0,159375.0
COL,Thompson,Wells,M,40000.0,48125.0
CHV,Thornton,Zach,GK,145000.0,152500.0
CHI,Thorrington,John,M,177000.0,189500.0
NE,Tierney,Chris,D-M,40000.0,40000.0
PHI,Torres,Roger,M,96000.0,99125.0
CHV,Trujillo,Mariano,M,94500.0,94500.0
NE,Twellman,Taylor,F,434500.0,459500.0
NY,Ubiparipovic,Sinisa,M,40000.0,40000.0
DAL,Ulloa,Victor,M,31260.0,31260.0
CHV,Umana,Michael,D,132000.0,144312.5
CHI,Umanzor,Deris,D,72000.0,72000.0
TFC,Usanov,Maxim,D,96000.0,102250.0
SEA,Vagenas,Peter,M,117000.0,117000.0
SEA,Wahl,Tyson,D,49400.0,52300.0
None,Waibel,Craig,D,84710.0,84710.0
COL,Wallace,Anthony,D-M,57500.0,57500.0
DC,Wallace,Rodney,M-D,75000.0,124000.0
SJ,Ward,Tim,D,55000.0,55000.0
RSL,Warner,Collen,MF,40000.0,43750.0
CHI,Watson-Siriboe,Kwame,D,40000.0,40000.0
HOU,Weaver,Cam,F,85000.0,93250.0
TFC,White,O'Brian,F,105000.0,182000.0
DAL,Wiedeman,Andrew,F,65000.0,108000.0
RSL,Williams,Andy,M,88200.0,88200.0
RSL,Wingert,Chris,D,125000.0,125000.0
KC,Wolff,Josh,F,220004.0,220004.0
None,Wolyniec,John,F,88000.0,88000.0
SJ,Wondolowski,Chris,M,48000.0,48000.0
COL,Wynne,Marvell,D,66500.0,171750.0
DAL,Yeisley,Jason,F,40000.0,40000.0
SEA,Zakuani,Steve,F,80000.0,178000.0
CHV,Zamora,Cesar,M,40000.0,40000.0
DC,Zayner,Jed,D,57000.0,60875.0
CHV,Zemanski,Ben,M,40000.0,40000.0
PHI,Zimmerman,Nick,D,40000.0,40000.0
CHV,Zizzo,Sal,F,60000.0,68250.0
CHV,Zotinca,Alex,D,60000.0,60000.0
KC,Zusi,Graham,F-M,40000.0,40000.0
