date,"first_prize"
01-Feb-17,"054672"
17-Jan-17,"145157"
30-Dec-16,"377712"
16-Dec-16,"435286"
01-Dec-16,"086069"
16-Nov-16,"858383"
01-Nov-16,"785438"
16-Oct-16,"571947"
01-Oct-16,"887102"
16-Sep-16,"240650"
01-Sep-16,"638684"
16-Aug-16,"254004"
01-Aug-16,"272932"
16-Jul-16,"449764"
01-Jul-16,"082460"
16-Jun-16,"073816"
01-Jun-16,"511825"
16-May-16,"141737"
02-May-16,"399459"
16-Apr-16,"221609"
01-Apr-16,"066720"
16-Mar-16,"134918"
01-Mar-16,"439686"
16-Feb-16,"356364"
01-Feb-16,"927800"
17-Jan-16,"304371"
30-Dec-15,"008217"
17-Dec-15,"930255"
01-Dec-15,"915350"
16-Nov-15,"795283"
01-Nov-15,"361211"
16-Oct-15,"968630"
01-Oct-15,"594825"
16-Sep-15,"743148"
01-Sep-15,"021094"
16-Aug-15,"033363"
01-Aug-15,"518677"
16-Jul-15,"121507"
01-Jul-15,"759049"
16-Jun-15,"644742"
02-Jun-15,"388881"
16-May-15,"011421"
02-May-15,"543466"
16-Apr-15,"506260"
01-Apr-15,"605704"
16-Mar-15,"048151"
01-Mar-15,"240237"
16-Feb-15,"001864"
01-Feb-15,"155537"
16-Jan-15,"244351"
30-Dec-14,"461704"
16-Dec-14,"948354"
01-Dec-14,"480449"
16-Nov-14,"479804"
01-Nov-14,"206608"
16-Oct-14,"656409"
01-Oct-14,"375615"
16-Sep-14,"772269"
01-Sep-14,"856763"
16-Aug-14,"662842"
01-Aug-14,"766391"
16-Jul-14,"468728"
01-Jul-14,"378477"
16-Jun-14,"673920"
01-Jun-14,"781198"
16-May-14,"087523"
02-May-14,"103297"
16-Apr-14,"153406"
01-Apr-14,"028866"
16-Mar-14,"531404"
01-Mar-14,"906318"
16-Feb-14,"384245"
01-Feb-14,"180149"
16-Jan-14,"306902"
30-Dec-13,"561072"
16-Dec-13,"341767"
01-Dec-13,"168795"
16-Nov-13,"806925"
01-Nov-13,"739804"
16-Oct-13,"963289"
01-Oct-13,"647882"
16-Sep-13,"562684"
01-Sep-13,"548123"
16-Aug-13,"321327"
01-Aug-13,"356435"
16-Jul-13,"566996"
01-Jul-13,"646905"
16-Jun-13,"289673"
01-Jun-13,"935489"
16-May-13,"687125"
02-May-13,"603458"
16-Apr-13,"843846"
01-Apr-13,"571688"
16-Mar-13,"968433"
01-Mar-13,"976241"
16-Feb-13,"368257"
01-Feb-13,"565566"
16-Jan-13,"820981"
30-Dec-12,"302358"
16-Dec-12,"529524"
01-Dec-12,"110443"
16-Nov-12,"639500"
01-Nov-12,"524694"
16-Oct-12,"281343"
01-Oct-12,"124025"
16-Sep-12,"540143"
01-Sep-12,"329997"
16-Aug-12,"683877"
01-Aug-12,"895590"
16-Jul-12,"904050"
01-Jul-12,"915900"
16-Jun-12,"159373"
01-Jun-12,"882727"
16-May-12,"814418"
02-May-12,"889501"
16-Apr-12,"583470"
01-Apr-12,"257562"
16-Mar-12,"607064"
01-Mar-12,"222518"
16-Feb-12,"648684"
01-Feb-12,"320605"
16-Jan-12,"451445"
30-Dec-11,"526402"
16-Dec-11,"884178"
01-Dec-11,"408147"
16-Nov-11,"997777"
01-Nov-11,"805540"
16-Oct-11,"955756"
01-Oct-11,"511052"
16-Sep-11,"731198"
01-Sep-11,"724533"
16-Aug-11,"536960"
01-Aug-11,"218756"
16-Jul-11,"116556"
01-Jul-11,"622953"
16-Jun-11,"351276"
01-Jun-11,"562370"
16-May-11,"406417"
02-May-11,"054136"
16-Apr-11,"825988"
01-Apr-11,"814931"
16-Mar-11,"593331"
01-Mar-11,"656037"
16-Feb-11,"481746"
01-Feb-11,"610089"
16-Jan-11,"281062"
30-Dec-10,"884112"
16-Dec-10,"334380"
01-Dec-10,"181752"
16-Nov-10,"813993"
01-Nov-10,"191100"
16-Oct-10,"621377"
01-Oct-10,"488372"
16-Sep-10,"017422"
01-Sep-10,"354656"
16-Aug-10,"911097"
01-Aug-10,"210008"
16-Jul-10,"180387"
01-Jul-10,"480239"
16-Jun-10,"500104"
01-Jun-10,"444874"
16-May-10,"480012"
02-May-10,"360371"
16-Apr-10,"211743"
01-Apr-10,"959517"
16-Mar-10,"364222"
01-Mar-10,"215227"
