Id,gender,age,status,income,visitNo,method,timeSpend,location,membershipCard,itemPurchaseCoffee,itempurchaseCold,itemPurchasePastries,itemPurchaseJuices,itemPurchaseSandwiches,itemPurchaseOthers,spendPurchase,productRate,priceRate,promoRate,ambianceRate,wifiRate,serviceRate,chooseRate,promoMethodApp,promoMethodSoc,promoMethodEmail,promoMethodDeal,promoMethodFriend,promoMethodDisplay,promoMethodBillboard,promoMethodOthers,loyal
69,1,1,2,0,3,0,0,2,1,1,1,1,1,1,1,0,2,1,5,4,4,4,1,1,1,1,1,1,1,1,1,1
70,1,1,2,1,3,0,1,1,0,1,1,1,1,1,1,1,3,3,5,4,3,3,4,1,1,1,1,1,1,1,1,0
71,1,1,2,0,3,2,0,0,1,1,1,1,1,1,1,1,4,3,4,5,5,5,3,1,1,1,1,1,1,1,1,0
72,0,1,2,1,1,2,2,0,0,1,1,1,1,1,1,2,5,1,3,3,2,3,3,1,1,1,1,1,1,1,1,0
73,1,1,2,0,2,2,0,2,0,1,1,1,1,1,1,1,4,2,4,4,3,4,3,1,1,1,1,1,1,1,1,0
74,0,2,2,0,3,2,0,1,0,1,1,1,1,1,1,1,3,2,4,4,4,5,4,1,1,1,1,1,1,1,1,0
75,1,1,3,2,3,1,0,2,1,1,1,1,1,1,1,2,3,2,3,3,3,5,4,1,1,1,1,1,1,1,1,0
76,0,1,2,1,3,2,0,2,0,1,1,1,1,1,1,1,3,3,4,5,4,4,4,1,1,1,1,1,1,1,1,0
77,0,1,2,0,3,2,0,1,1,1,1,1,1,1,1,1,4,2,5,3,2,4,4,1,1,1,1,1,1,1,1,0
78,0,1,2,2,2,0,1,2,0,1,1,1,1,1,1,2,4,2,1,4,1,4,4,1,1,1,1,1,1,1,1,0
79,1,1,0,0,3,2,0,2,1,1,1,1,1,1,1,1,2,1,5,2,2,2,2,1,1,1,1,1,1,1,1,1
80,1,0,0,0,3,2,0,2,1,1,1,1,1,1,1,1,2,2,3,2,2,2,2,1,1,1,1,1,1,1,1,1
81,1,1,2,2,2,1,4,1,0,1,1,1,1,1,1,2,3,2,4,3,1,3,3,1,1,1,1,1,1,1,1,1
83,0,1,1,2,3,0,2,2,0,1,1,1,1,1,1,1,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,0
84,0,2,1,2,1,2,1,1,0,1,1,1,1,1,1,1,4,4,2,4,3,4,5,1,1,1,1,1,1,1,1,0
85,0,1,2,1,3,0,2,2,1,1,1,1,1,1,1,2,4,2,4,3,4,4,4,1,1,1,1,1,1,1,1,1
86,0,2,1,4,2,0,3,2,0,1,1,1,1,1,1,2,4,3,4,4,3,4,4,1,1,1,1,1,1,1,1,0
87,0,1,1,4,3,1,1,2,0,1,1,1,1,1,1,3,4,3,2,3,1,2,2,1,1,1,1,1,1,1,1,0
88,1,1,2,0,3,0,0,1,0,1,1,1,1,1,1,2,3,3,3,4,3,3,3,1,1,1,1,1,1,1,1,0
89,1,1,2,1,3,2,0,0,0,1,1,1,1,1,1,2,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,0
90,0,1,1,1,3,0,0,1,0,1,1,1,1,1,1,0,5,5,5,5,4,5,5,1,1,1,1,1,1,1,1,0
91,1,2,2,2,1,0,2,2,0,1,1,1,1,1,1,2,4,4,5,4,4,5,4,1,1,1,1,1,1,1,1,0
92,1,2,2,1,2,2,1,0,0,1,1,1,1,1,1,2,4,3,4,5,5,4,5,1,1,1,1,1,1,1,1,0
94,1,1,2,0,3,2,0,2,0,1,1,1,1,1,1,1,5,3,5,5,4,4,1,1,1,1,1,1,1,1,1,0
95,0,1,2,2,2,2,0,2,0,1,1,1,1,1,1,2,3,1,3,3,1,3,2,1,1,1,1,1,1,1,1,0
96,1,1,2,1,3,0,1,1,0,1,1,1,1,1,1,1,3,3,5,4,3,3,4,1,1,1,1,1,1,1,1,0
97,1,1,1,0,3,2,0,2,1,1,1,1,1,1,1,1,3,3,1,4,3,4,4,1,1,1,1,1,1,1,1,0
98,1,2,2,0,3,5,0,0,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,0
99,1,1,2,1,3,1,0,1,0,1,1,1,1,1,1,2,4,3,4,3,3,4,4,1,1,1,1,1,1,1,1,0
100,0,2,2,0,3,1,1,2,0,1,1,1,1,1,1,1,4,2,3,4,4,4,4,1,1,1,1,1,1,1,1,0
101,0,1,0,0,3,1,1,2,1,1,1,1,1,1,1,2,3,2,3,3,3,3,3,1,1,1,1,1,1,1,1,0
102,0,1,0,0,3,0,1,2,1,1,1,1,1,1,1,1,3,4,3,3,1,2,3,1,1,1,1,1,1,1,1,0
103,0,1,1,2,0,1,0,2,0,1,1,1,1,1,1,2,4,2,4,4,3,3,3,1,1,1,1,1,1,1,1,0
104,0,2,2,1,1,0,2,2,1,1,1,1,1,1,1,3,4,5,5,4,4,3,3,1,1,1,1,1,1,1,1,0
105,0,0,0,0,3,1,1,2,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1
106,0,3,2,2,2,1,1,2,1,1,1,1,1,1,1,2,4,3,5,4,4,4,4,1,1,1,1,1,1,1,1,0
107,0,1,0,0,3,2,0,2,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,0
110,0,1,0,0,3,0,0,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1
111,0,1,0,0,3,2,0,2,1,1,1,1,1,1,1,0,4,2,3,5,4,4,2,1,1,1,1,1,1,1,1,1
112,1,1,2,0,2,2,0,2,1,1,1,1,1,1,1,1,5,4,4,4,4,4,4,1,1,1,1,1,1,1,1,0
114,1,0,0,0,3,2,0,2,1,1,1,1,1,1,1,1,3,4,5,5,5,4,4,1,1,1,1,1,1,1,1,0
115,0,3,1,1,3,0,1,2,1,1,1,1,1,1,1,1,2,2,1,2,2,3,2,1,1,1,1,1,1,1,1,1
116,0,0,0,0,0,2,0,2,1,1,1,1,1,1,1,2,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,0
117,0,2,0,0,2,0,2,2,1,1,1,1,1,1,1,1,4,4,5,4,2,3,4,1,1,1,1,1,1,1,1,0
118,0,3,1,1,2,0,2,1,0,1,1,1,1,1,1,2,3,3,5,3,2,4,4,1,1,1,1,1,1,1,1,0
119,0,1,2,0,2,0,2,1,0,1,1,1,1,1,1,3,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,0
120,0,1,0,0,3,0,1,1,1,1,1,1,1,1,1,1,3,2,4,3,3,3,4,1,1,1,1,1,1,1,1,1
121,1,1,2,0,3,2,0,0,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,0
122,0,1,2,2,3,0,1,1,1,1,1,1,1,1,1,1,1,1,5,4,3,3,2,1,1,1,1,1,1,1,1,1
