name,short_descr,href,img_url
Ragdoll,"Ragdolls are loving, smart and playful. They show affection to their people by greeting them, following them around, sitting in their laps and snuggling in bed. Ragdoll cats can also learn tricks and certain behaviors with positive reinforcement.",https://www.purina.com/cats/cat-breeds/ragdoll,https://www.purina.com/sites/g/files/auxxlc196/files/Ragdoll_240x240%20%281%29.jpg
Russian Blue,"The Russian Blue is gentle, quiet and even shy around strangers, but she’s affectionate and loyal toward her people. She’ll follow you around and even ride on your shoulder.",https://www.purina.com/cats/cat-breeds/russian-blue,https://www.purina.com/sites/g/files/auxxlc196/files/RussianBlue_body_7.jpg
Savannah,"The Savannah Cat’s personality is playful, adventurous and loyal. Unlike most cats, she loves to play in water and can even be trained to walk on a leash and play fetch. Don’t be fooled by her dog-like personality, though.",https://www.purina.com/cats/cat-breeds/savannah,https://www.purina.com/sites/g/files/auxxlc196/files/Savannah_body_7.jpg
Scottish Fold,"The smart and friendly Scottish Fold loves playing with challenging, puzzling toys to test her intelligence. She also loves human interaction with her people and loves attention. Scottish Folds prefer the company of their humans or other cats (or cat-friendly dogs), rather than being left alone for hours at a time.",https://www.purina.com/cats/cat-breeds/scottish-fold,https://www.purina.com/sites/g/files/auxxlc196/files/SchottishFoldLH_body_7.jpg
Selkirk Rex,-,https://www.purina.com/cats/cat-breeds/selkirk-rex,https://www.purina.com/sites/g/files/auxxlc196/files/SelkirkRex_body_7.jpg
Siamese,"Siamese Cats are incredibly social, intelligent and vocal—they’ll talk to anyone who wants to listen, and even those who don’t. They also play well with other cats, dogs and children. In fact, they thrive on companionship, so it’s a good idea to get them a playmate to interact with throughout the day. Although they’re active and curious, they also love curling up on their human’s lap or snuggling up next to them in bed.",https://www.purina.com/cats/cat-breeds/siamese,https://www.purina.com/sites/g/files/auxxlc196/files/Siamese_body_7.jpg
Siberian,"This friendly and affectionate feline will follow you around as you go about your day, and purr in your lap as you comb her coat. Siberian Cats love their humans but aren’t shy around strangers.",https://www.purina.com/cats/cat-breeds/siberian,https://www.purina.com/sites/g/files/auxxlc196/files/Siberian_body_6.jpg
Singapura,-,https://www.purina.com/cats/cat-breeds/singapura,https://www.purina.com/sites/g/files/auxxlc196/files/Singapura_body_7.jpg
Somali,-,https://www.purina.com/cats/cat-breeds/somali,https://www.purina.com/sites/g/files/auxxlc196/files/Somali_body_7.jpg
Sphynx,"The hairless Sphynx is muscular with broad ears, a wide-eyed, friendly expression, and an affectionate personality to match.",https://www.purina.com/cats/cat-breeds/sphynx,https://www.purina.com/sites/g/files/auxxlc196/files/Sphynx_body_7.jpg
Tonkinese,-,https://www.purina.com/cats/cat-breeds/tonkinese,https://www.purina.com/sites/g/files/auxxlc196/files/Tonkinese_body_7.jpg
Toyger,-,https://www.purina.com/breeds/toyger-cat-breed,https://www.purina.com/sites/g/files/auxxlc196/files/Toyger_body_7.jpg
Turkish Angora,"The Turkish Angora may have been the first longhair cat breed in Europe, and maintains the status of a national treasure in her native country, Turkey. ",https://www.purina.com/cats/cat-breeds/turkish-angora,https://www.purina.com/sites/g/files/auxxlc196/files/TurkishAngora_body_7.jpg
Turkish Van,-,https://www.purina.com/cats/cat-breeds/turkish-van,https://www.purina.com/sites/g/files/auxxlc196/files/TurkishVan_body_7.jpg
