recency_days,visit_frequency,avg_transaction_value,basket_size,total_spending,prefers_organic,weekend_shopper
16,39,386.83157593423465,20,15086.431461435152,0,1
56,14,1036.1540444288312,12,14506.156622003637,1,1
24,29,784.4729559752748,13,22749.715723282967,0,0
46,20,1256.3897587080803,15,25127.795174161613,1,1
77,42,823.9586539525526,28,34606.26346600721,0,0
43,20,1316.6471533916183,20,26332.94306783237,0,1
49,14,978.024238509794,18,13692.339339137116,0,1
37,30,906.8407073786572,3,27205.22122135972,1,1
86,28,100.0,28,2800.0,1,1
71,10,378.2175362328188,12,3782.175362328189,0,1
22,37,1407.2624015293331,5,52068.70885658533,0,1
44,49,1596.2764580719086,26,78217.54644552352,0,1
26,41,450.57852963302753,10,18473.719714954128,1,1
81,21,1016.6472332226584,7,21349.591897675826,0,1
33,20,424.3596859746976,17,8487.193719493953,0,1
52,10,1195.914694916269,7,11959.146949162689,0,0
10,25,852.3762297363129,12,21309.405743407824,0,1
33,42,962.7580032895704,5,40435.83613816196,0,0
11,52,1512.8835443573778,18,78669.94430658364,0,1
89,5,605.4636626933839,8,3027.31831346692,0,0
55,48,1419.536396911618,30,68137.74705175766,1,0
67,31,751.869987402047,11,23307.969609463456,0,1
89,7,162.6897711900751,24,1138.828398330526,0,0
22,40,954.1062482641864,5,38164.24993056746,1,1
46,36,329.908997098857,25,11876.723895558853,1,0
47,27,1251.950333338585,20,33802.6590001418,0,0
18,15,1153.6095642825685,8,17304.143464238525,1,1
43,17,1040.6334613542208,10,17690.768843021753,0,0
23,37,986.2786420417764,30,36492.30975554573,1,1
13,48,543.4451731006214,22,26085.368308829828,0,0
72,26,1356.7960803616832,21,35276.69808940376,0,1
38,27,100.0,7,2700.0,0,1
62,39,1035.7283069479029,25,40393.40397096821,0,0
32,51,100.0,27,5100.0,0,0
9,41,1153.0054813214024,11,47273.2247341775,0,0
9,14,628.621528061696,1,8800.701392863744,0,0
86,11,1410.429267127192,9,15514.721938399114,0,1
70,24,849.9302148335943,11,20398.325156006264,1,0
86,12,951.6766552379092,19,11420.11986285491,1,0
40,14,100.0,12,1400.0,1,1
13,30,1119.8455572491844,24,33595.36671747553,0,1
51,24,1098.53515515049,21,26364.84372361176,1,1
83,6,1134.3844024671705,7,6806.306414803022,1,1
80,9,343.80616510478995,20,3094.2554859431098,0,0
79,37,576.9300536921636,26,21346.41198661005,0,1
85,27,883.0470239457023,23,23842.26964653396,1,1
69,44,1258.2074046607818,18,55361.1258050744,0,1
4,49,237.73596634491585,17,11649.062350900876,0,1
8,50,351.4584081542209,16,17572.920407711044,1,1
70,34,211.85432791116037,6,7203.047148979452,0,1
72,45,1092.1710672315344,27,49147.69802541905,0,0
17,51,331.29994119208106,29,16896.297000796134,1,1
28,18,784.7910155524365,6,14126.238279943858,1,1
47,44,1104.1386206668262,25,48582.09930934035,0,1
42,35,1559.2052887247974,4,54572.18510536791,0,0
68,21,1263.7372865052582,1,26538.483016610426,0,1
51,26,185.9899986741043,17,4835.739965526712,1,1
35,32,1011.0913718288836,7,32354.92389852428,0,1
32,36,1867.8215720402725,26,67241.5765934498,1,0
20,50,801.6962374573366,21,40084.81187286683,0,1
45,34,1044.4260115558243,4,35510.484392898026,0,0
56,43,680.7991254637235,28,29274.36239494011,0,1
50,10,1367.7756660148402,6,13677.756660148403,0,1
36,39,981.0546587710902,23,38261.13169207252,0,1
85,17,343.8671487866162,14,5845.741529372475,1,0
34,15,588.278217156279,11,8824.173257344184,1,0
86,2,410.3656012892703,18,1000.0,0,0
89,41,1408.48066012789,29,57747.70706524349,1,0
81,18,851.2320074010959,7,15322.176133219726,1,0
24,32,697.2443943157795,13,22311.820618104943,0,1
9,50,499.4764806265666,30,24973.82403132833,0,1
25,50,1072.6956863407895,2,53634.784317039484,0,1
26,13,1291.8416433468517,12,16793.941363509068,0,1
45,29,525.6630000341731,19,15244.22700099102,1,0
11,21,1313.5123827511832,7,27583.76003777485,0,1
4,47,890.9881422544781,5,41876.44268596047,1,1
36,29,100.0,19,2900.0,1,0
3,42,886.4597169503952,25,37231.3081119166,0,1
62,45,961.051600861739,26,43247.32203877826,0,0
61,33,1299.9561519779136,24,42898.55301527115,1,0
49,26,218.1821136711453,19,5672.734955449778,0,1
83,1,1241.4428905827608,5,1241.4428905827608,0,0
31,39,2282.990769832095,29,89036.6400234517,1,1
44,27,100.0,16,2700.0,1,1
84,2,1088.366549216409,13,2176.7330984328187,0,1
79,1,1505.914142800082,6,1505.914142800082,0,0
51,16,713.0697531309874,25,11409.116050095798,0,1
36,3,594.239704468346,1,1782.719113405038,1,1
54,36,153.74468597461075,10,5534.808695085988,1,1
50,34,979.57258195751,4,33305.46778655534,0,1
4,37,1007.793220058628,3,37288.34914216923,0,0
18,13,777.2712152728473,6,10104.525798547014,0,1
61,34,1301.7049202066871,22,44257.96728702737,0,1
46,39,694.0538727259084,20,27068.101036310425,0,1
68,5,1378.115596218232,21,6890.57798109116,1,0
8,44,645.8643904692027,13,28418.03318064492,0,0
31,4,1126.2194008590443,19,4504.877603436178,0,0
42,12,370.1729058299225,10,4442.07486995907,0,0
58,6,860.6050579497588,2,5163.630347698553,0,0
33,8,100.0,3,1000.0,0,0
82,26,1333.4403451103085,23,34669.44897286801,0,0
67,8,1323.626752923562,4,10589.014023388496,0,1
81,48,1163.9366379980738,17,55868.95862390754,0,1
76,10,1417.3366796388466,19,14173.366796388464,0,1
43,24,656.120902115729,15,15746.901650777496,1,1
36,6,100.0,22,1000.0,1,1
77,25,962.5733809146066,1,24064.334522865163,1,1
12,42,428.9980476336354,14,18017.918000612688,1,0
