Rank,Country,Revenues,Expenditures,Surplus (or deficit),Surplus percentage,Year,SurplusDeficit,SurplusPct
90,Puerto Rico,9086,9684,-598,-6.2%,2016 est.,-598,-0.06175134242048741
91,Ghana,9068,11550,"-2,482",-21.5%,2016 est.,-2482,-0.2148917748917749
92,Burma,8944,10990,"-2,046",-18.6%,2016 est.,-2046,-0.18616924476797092
93,Jordan,8649,11220,"-2,571",-22.9%,2016 est.,-2571,-0.22914438502673795
94,Costa Rica,8115,11310,"-3,195",-28.2%,2016 est.,-3195,-0.2824933687002652
95,Bosnia and Herzegovina,7681,7975,-294,-3.7%,2016 est.,-294,-0.036865203761755505
96,Cyprus,7588,7809,-221,-2.8%,2016 est.,-221,-0.02830067870405939
97,Guatemala,7390,8186,-796,-9.7%,2016 est.,-796,-0.0972391888590276
98,Trinidad and Tobago,7311,9369,"-2,058",-22.0%,2016 est.,-2058,-0.21966058277297473
99,Sudan,7301,11280,"-3,979",-35.3%,2016 est.,-3979,-0.35274822695035457
100,Cote d'Ivoire,6839,8170,"-1,331",-16.3%,2016 est.,-1331,-0.16291309669522647
101,Tanzania,6257,8084,"-1,827",-22.6%,2016 est.,-1827,-0.22600197921820886
102,Libya,5792,13710,"-7,918",-57.8%,2016 est.,-7918,-0.5775346462436177
103,"Congo, Democratic Republic of the",5448,5837,-389,-6.7%,2016 est.,-389,-0.06664382388213119
104,El Salvador,5443,6318,-875,-13.8%,2016 est.,-875,-0.1384931940487496
105,Paraguay,5231,5687,-456,-8.0%,2016 est.,-456,-0.0801828732196237
106,Nepal,4848,5452,-604,-11.1%,2016 est.,-604,-0.11078503301540721
107,Cameroon,4765,6497,"-1,732",-26.7%,2016 est.,-1732,-0.26658457749730646
108,Botswana,4690,5306,-616,-11.6%,2016 est.,-616,-0.11609498680738783
109,Bahrain,4370,8781,"-4,411",-50.2%,2016 est.,-4411,-0.5023345860380366
110,Malta,4288,4401,-113,-2.6%,2016 est.,-113,-0.025675982731197422
111,Georgia,4266,4541,-275,-6.1%,2016 est.,-275,-0.06055934816119801
112,Honduras,3982,4384,-402,-9.2%,2016 est.,-402,-0.09169708029197077
113,Jamaica,3885,4033,-148,-3.7%,2016 est.,-148,-0.03669724770642202
114,Senegal,3839,4453,-614,-13.8%,2016 est.,-614,-0.1378845721985179
115,Namibia,3818,4408,-590,-13.4%,2016 est.,-590,-0.13384754990925585
116,Turkmenistan,3765,4753,-988,-20.8%,2016 est.,-988,-0.20786871449610778
117,Uganda,3748,5410,"-1,662",-30.7%,2016 est.,-1662,-0.30720887245841033
118,"Congo, Republic of the",3562,4233,-671,-15.9%,2016 est.,-671,-0.15851641861563903
119,Nicaragua,3454,3738,-284,-7.6%,2016 est.,-284,-0.07597645799892994
120,Zambia,3418,5079,"-1,661",-32.7%,2016 est.,-1661,-0.32703288048828505
121,Zimbabwe,3400,3900,-500,-12.8%,2016 est.,-500,-0.1282051282051282
122,Cambodia,3388,3562,-174,-4.9%,2016 est.,-174,-0.048848961257720425
123,Albania,3203,3546,-343,-9.7%,2016 est.,-343,-0.0967287084038353
124,"Korea, North",3200,3300,-100,-3.0%,2007 est.,-100,-0.030303030303030276
125,Papua New Guinea,3169,4295,"-1,126",-26.2%,2016 est.,-1126,-0.2621653084982538
126,Macedonia,3063,3440,-377,-11.0%,2016 est.,-377,-0.10959302325581399
127,Brunei,2958,4618,"-1,660",-35.9%,2016 est.,-1660,-0.35946297098310953
128,Gabon,2917,3464,-547,-15.8%,2016 est.,-547,-0.1579099307159353
129,Laos,2882,3822,-940,-24.6%,2016 est.,-940,-0.24594453165881736
130,Mongolia,2868,4035,"-1,167",-28.9%,2016 est.,-1167,-0.2892193308550186
131,Palestine,2750,4077,"-1,327",-32.5%,2014 est.,-1327,-0.3254844248221732
132,Mali,2571,3112,-541,-17.4%,2016 est.,-541,-0.17384318766066842
133,Mozambique,2554,3609,"-1,055",-29.2%,2016 est.,-1055,-0.2923247436963148
134,Mauritius,2478,2950,-472,-16.0%,2016 est.,-472,-0.16000000000000003
135,Armenia,2445,2969,-524,-17.6%,2016 est.,-524,-0.176490400808353
136,Burkina Faso,2442,2779,-337,-12.1%,2016 est.,-337,-0.12126664267722198
137,Equatorial Guinea,2436,2862,-426,-14.9%,2016 est.,-426,-0.14884696016771493
138,Moldova,2297,2456,-159,-6.5%,2016 est.,-159,-0.06473941368078173
139,Kyrgyzstan,2040,2354,-314,-13.3%,2016 est.,-314,-0.13338997451146983
140,Bahamas,1900,2300,-400,-17.4%,2016 est.,-400,-0.17391304347826086
141,French Polynesia,1891,1833,58,3.2%,2012,58,0.031642116748499705
142,Rwanda,1865,2279,-414,-18.2%,2016 est.,-414,-0.18165862220272044
143,Tajikistan,1841,1985,-144,-7.3%,2016 est.,-144,-0.07254408060453399
144,Yemen,1766,5628,"-3,862",-68.6%,2016 est.,-3862,-0.6862117981520967
145,Greenland,1720,1680,40,2.4%,2010,40,0.023809523809523725
146,Niger,1715,2250,-535,-23.8%,2016 est.,-535,-0.23777777777777775
147,Afghanistan,1700,6639,"-4,939",-74.4%,2015 est.,-4939,-0.7439373399608376
148,Chad,1626,2163,-537,-24.8%,2016 est.,-537,-0.24826629680998613
149,Eritrea,1580,2165,-585,-27.0%,2016 est.,-585,-0.27020785219399535
150,Haiti,1563,1819,-256,-14.1%,2016 est.,-256,-0.14073666849917532
151,Montenegro,1560,1630,-70,-4.3%,2014 est.,-70,-0.042944785276073594
152,Benin,1500,1939,-439,-22.6%,2016 est.,-439,-0.22640536358947916
153,Guinea,1421,1857,-436,-23.5%,2016 est.,-436,-0.23478729133010234
154,Kosovo,1396,1610,-214,-13.3%,2014 est.,-214,-0.13291925465838506
155,Fiji,1232,1469,-237,-16.1%,2016 est.,-237,-0.16133424098025873
156,US Virgin Islands,1223,1551,-328,-21.1%,2013,-328,-0.21147646679561571
157,Barbados,1200,1500,-300,-20.0%,2016 est.,-300,-0.19999999999999996
158,Madagascar,1171,1616,-445,-27.5%,2016 est.,-445,-0.27537128712871284
159,Guam,1147,1188,-41,-3.5%,2013 est.,-41,-0.034511784511784493
160,Mauritania,1143,1430,-287,-20.1%,2016 est.,-287,-0.20069930069930075
161,Togo,1140,1377,-237,-17.2%,2016 est.,-237,-0.17211328976034856
162,Malawi,1030,1247,-217,-17.4%,2016 est.,-217,-0.17401764234161987
163,Andorra,1029,1041,-12,-1.2%,2012,-12,-0.011527377521613813
164,Faroe Islands,1025,1301,-276,-21.2%,2010 est.,-276,-0.2121445042275173
165,New Caledonia,996,1072,-76,-7.1%,2001 est.,-76,-0.07089552238805974
166,Liechtenstein,995,890,105,11.8%,2012 est.,105,0.1179775280898876
167,Isle of Man,965,943,22,2.3%,FY05/06 est.,22,0.02332979851537642
168,Bermuda,960,1154,-194,-16.8%,2016 est.,-194,-0.16811091854419413
169,Maldives,960,1156,-196,-17.0%,2014 est.,-196,-0.16955017301038067
170,Monaco,915,973,-59,-6.0%,2011 est.,-58,-0.05960945529290851
171,Guyana,900,1036,-136,-13.1%,2016 est.,-136,-0.13127413127413123
172,Swaziland,867,1195,-328,-27.5%,2016 est.,-328,-0.2744769874476988
173,Cayman Islands,860,742,118,15.8%,2016 est.,118,0.15902964959568733
174,Lesotho,836,978,-142,-14.6%,2016 est.,-142,-0.14519427402862983
175,Jersey,829,851,-22,-2.6%,2005,-22,-0.025851938895417148
176,Aruba,697,752,-55,-7.4%,2016 est.,-55,-0.07313829787234039
177,Djibouti,686,886,-200,-22.6%,2016 est.,-200,-0.2257336343115124
178,San Marino,668,713,-45,-6.3%,2011 est.,-45,-0.06311360448807857
179,Bhutan,640,703,-63,-8.9%,2016 est.,-63,-0.08961593172119486
180,Liberia,613,743,-130,-17.5%,2016 est.,-130,-0.17496635262449534
181,Guernsey,564,531,33,6.2%,2005,33,0.062146892655367214
182,Sierra Leone,558,739,-181,-24.4%,2016 est.,-181,-0.2449255751014885
183,Burundi,525,657,-132,-20.1%,2016 est.,-132,-0.2009132420091324
184,Belize,500,650,-150,-23.1%,2016 est.,-150,-0.23076923076923073
185,Syria,495,2665,"-2,171",-81.4%,2016 est.,-2170,-0.8142589118198874
186,Seychelles,487,457,30,6.6%,2016 est.,30,0.06564551422319465
187,Gibraltar,476,452,24,5.2%,2008 est.,24,0.053097345132743445
188,Suriname,470,664,-194,-29.3%,2016 est.,-194,-0.29216867469879515
189,South Sudan,437,2259,"-1,822",-80.7%,FY 2013 est.,-1822,-0.8065515714918106
190,Solomon Islands,422,459,-37,-8.1%,2016 est.,-37,-0.08061002178649235
191,Cabo Verde,406,477,-72,-15.0%,2016 est.,-71,-0.14884696016771493
192,Saint Kitts and Nevis,370,333,37,11.1%,2016 est.,37,0.11111111111111116
193,Vatican City,308,326,-18,-5.6%,2011,-18,-0.05521472392638038
194,Timor-Leste,300,2800,"-2,500",-89.3%,2016 est.,-2500,-0.8928571428571429
195,British Virgin Islands,300,300,NA,0.0%,2016 est.,0,0
196,Antigua and Barbuda,279,302,-23,-7.5%,2016 est.,-23,-0.07615894039735094
197,Grenada,275,309,-34,-11.1%,2016 est.,-34,-0.11003236245954695
198,Northern Mariana Islands,246,250,-3,-1.4%,2013 est.,-4,-0.016000000000000014
199,American Samoa,241,244,-3,-1.0%,2013 est.,-3,-0.012295081967213073
200,Samoa,233,272,-39,-14.3%,2016 est.,-39,-0.14338235294117652
201,Gambia,232,324,-92,-28.5%,2016 est.,-92,-0.28395061728395066
202,Turks and Caicos Islands,226,187,38,20.5%,2016 est.,39,0.20855614973262027
203,Saint Vincent and the Grenadines,222,259,-37,-14.3%,2016 est.,-37,-0.1428571428571429
204,"Micronesia, Federated States of",214,192,22,11.3%,FY12/13 est.,22,0.11458333333333326
205,Central African Republic,207,285,-78,-27.3%,2016 est.,-78,-0.27368421052631575
206,Kiribati,198,180,18,10.0%,2013 est.,18,0.10000000000000009
207,Saint Lucia,185,222,-37,-16.7%,2011 est.,-37,-0.16666666666666663
208,Vanuatu,176,201,-25,-12.6%,2016 est.,-25,-0.12437810945273631
209,Guinea-Bissau,171,213,-41,-19.5%,2016 est.,-42,-0.19718309859154926
210,Comoros,165,186,-21,-11.1%,2016 est.,-21,-0.11290322580645162
211,Dominica,148,148,NA,0.0%,2016 est.,0,0
212,Somalia,145,151,-6,-3.8%,2014 est.,-6,-0.039735099337748325
213,Tonga,133,133,NA,0.0%,2016 est.,0,0
214,Palau,124,98,26,26.7%,2012 est.,26,0.26530612244897966
215,Marshall Islands,117,114,3,2.5%,2013 est.,3,0.026315789473684292
216,Sao Tome and Principe,109,127,-18,-14.5%,2016 est.,-18,-0.1417322834645669
217,Cook Islands,87,78,9,11.6%,2010,9,0.11538461538461542
218,Saint Pierre and Miquelon,70,60,10,16.7%,1996 est.,10,0.16666666666666674
219,Falkland Islands,67,75,-8,-10.9%,FY09/10,-8,-0.10666666666666669
220,Nauru,58,52,6,11.6%,2010 est.,6,0.11538461538461542
221,Tuvalu,43,32,10,31.5%,2013 est.,11,0.34375
222,Montserrat,37,37,NA,0.0%,2016 est.,0,0
223,Niue,15,16,-1,-7.7%,FY04/05,-1,-0.0625
224,Saint Helena and Dependencies,9,22,-13,-59.3%,FY06/07 est.,-13,-0.5909090909090908
225,Norfolk Island,5,5,NA,-4.2%,FY99/00,0,0
226,Pitcairn Islands,1,1,NA,-27.4%,FY04/05,0,0
227,Tokelau,NA,3,-2,-84.6%,1987 est.,NA,NA
228,Wallis and Futuna,NA,NA,NA,-5.1%,2004,NA,NA
NA,Christmas Island,NA,NA,-,-,-,NA,NA
NA,Cocos (Keeling) Islands,NA,NA,-,-,-,NA,NA
NA,Svalbard,NA,NA,-,-,-,NA,NA
NA,Western Sahara,NA,NA,-,-,-,NA,NA
NA,World,2031e4,2279e4,"-2,480,000",-10.9%,-,-248e4,-0.10881965774462488
