quote,author,likes,category
"Here's to the crazy ones. The misfits. The rebels. The troublemakers. The round pegs in the square holes. The ones who see things differently. They're not fond of rules. And they have no respect for the status quo. You can quote them, disagree with them, glorify or vilify them. About the only thing you can't do is ignore them. Because they change things. They push the human race forward. And while some may see them as the crazy ones, we see genius. Because the people who are crazy enough to think they can change the world, are the ones who do.",Rob Siltanen,59797,advertising|apple|change|commercial|computers|different|madness|misattributed-apple|misattributed-steve-jobs|misfits|nonconformity|progressive|rebels|status-quo|think-different|troublemakers
"Insanity is doing the same thing, over and over again, but expecting different results.",Narcotics Anonymous,57801,humor|insanity|life|misattributed-ben-franklin|misattributed-mark-twain|misattributed-to-einstein
We accept the love we think we deserve.,Stephen Chbosky,57444,inspirational|love
"I believe that everything happens for a reason. People change so that you can learn to let go, things go wrong so that you appreciate them when they're right, you believe lies so you eventually learn to trust no one but yourself, and sometimes good things fall apart so better things can fall together.",Marilyn Monroe,55986,misattributed-marilyn-monroe
Twenty years from now you will be more disappointed by the things that you didn't do than by the ones you did do. So throw off the bowlines. Sail away from the safe harbor. Catch the trade winds in your sails. Explore. Dream. Discover.,H. Jackson Brown Jr.,55122,actions|disappointed|disappointment|dream|dreams|explore|misattributed-mark-twain|sail
"Only once in your life, I truly believe, you find someone who can completely turn your world around. You tell them things that you’ve never shared with another soul and they absorb everything you say and actually want to hear more. You share hopes for the future, dreams that will never come true, goals that were never achieved and the many disappointments life has thrown at you. When something wonderful happens, you can’t wait to tell them about it, knowing they will share in your excitement. They are not embarrassed to cry with you when you are hurting or laugh with you when you make a fool of yourself. Never do they hurt your feelings or make you feel like you are not good enough, but rather they build you up and show you the things about yourself that make you special and even beautiful. There is never any pressure, jealousy or competition but only a quiet calmness when they are around. You can be yourself and not worry about what they will think of you because they love you for who you are. The things that seem insignificant to most people such as a note, song or walk become invaluable treasures kept safe in your heart to cherish forever. Memories of your childhood come back and are so clear and vivid it’s like being young again. Colours seem brighter and more brilliant. Laughter seems part of daily life where before it was infrequent or didn’t exist at all. A phone call or two during the day helps to get you through a long day’s work and always brings a smile to your face. In their presence, there’s no need for continuous conversation, but you find you’re quite content in just having them nearby. Things that never interested you before become fascinating because you know they are important to this person who is so special to you. You think of this person on every occasion and in everything you do. Simple things bring them to mind like a pale blue sky, gentle wind or even a storm cloud on the horizon. You open your heart knowing that there’s a chance it may be broken one day and in opening your heart, you experience a love and joy that you never dreamed possible. You find that being vulnerable is the only way to allow your heart to feel true pleasure that’s so real it scares you. You find strength in knowing you have a true friend and possibly a soul mate who will remain loyal to the end. Life seems completely different, exciting and worthwhile. Your only hope and security is in knowing that they are a part of your life.",Bob Marley,51473,love
It is better to be hated for what you are than to be loved for what you are not.,André Gide,51347,life|love
"All that is gold does not glitter,",J.R.R. Tolkien,47817,frost|glitter|gold|lost|poetry|roots|strength|strong|wander|wither
"Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.",Marilyn Monroe,46246,be-yourself|inspirational
"It is our choices, Harry, that show what we truly are, far more than our abilities.",J.K. Rowling,44798,abilities|choices
There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.,Albert Einstein,44625,inspirational|life|live|miracle|miracles
"The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.",Jane Austen,44583,aliteracy|books|classic|humor
It does not do to dwell on dreams and forget to live.,J.K. Rowling,43126,dreams|life
"As he read, I fell in love the way you fall asleep: slowly, and then all at once.",John Green,43015,love
"It is better to remain silent at the risk of being thought a fool, than to talk and remove all doubt of it.",Maurice Switzer,42294,misattributed-to-abraham-lincoln|remaining-silent|wisdom
"Good friends, good books, and a sleepy conscience: this is the ideal life.",Mark Twain,41795,books|contentment|friends|friendship|life
Life is what happens to us while we are making other plans.,Allen Saunders,41102,fate|life|misattributed-john-lennon|planning|plans
"The fool doth think he is wise, but the wise man knows himself to be a fool.",William Shakespeare,40682,wisdom
"Whenever you find yourself on the side of the majority, it is time to reform (or pause and reflect).",Mark Twain,40558,individuality|majority|minority|pause|reflect|wisdom
"Yesterday is history, tomorrow is a mystery, today is a gift of God, which is why we call it the present.",Bil Keane,39701,hope|inspirational|misattributed-eleanor-roosevelt|past|present|widely-misattributed
"We are all in the gutter, but some of us are looking at the stars.",Oscar Wilde,39493,inspirational|optimism|perception|pessimism
A woman is like a tea bag; you never know how strong it is until it's in hot water.,Eleanor Roosevelt,38616,misattributed-eleanor-roosevelt
"Fairy tales are more than true: not because they tell us that dragons exist, but because they tell us that dragons can be beaten.",Neil Gaiman,37945,books|dragons|fairy-tales|inspirational|paraphrasing-g-k-chesterton
"I have not failed. I've just found 10,000 ways that won't work.",Thomas A. Edison,37723,edison|failure|inspirational|paraphrased
If you don't stand for something you will fall for anything.,Gordon A. Eadie,37302,belief|integrity|misattributed-to-malcolm-x|misattributed-to-rosa-parks
The man who does not read has no advantage over the man who cannot read.,Mark Twain,37198,aliteracy|literacy
"The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.",Elie Wiesel,36788,activism|apathy|hate|indifference|inspirational|love|opposite|philosophy
"It is not a lack of love, but a lack of friendship that makes unhappy marriages.",Friedrich Nietzsche,36503,friendship|lack-of-friendship|lack-of-love|love|marriage|unhappy-marriage
"I may not have gone where I intended to go, but I think I have ended up where I needed to be.",Douglas Adams,35796,life|navigation
I am enough of an artist to draw freely upon my imagination. Imagination is more important than knowledge. Knowledge is limited. Imagination encircles the world.,Albert Einstein,35200,1929|imagination|inspirational|viereck-interview
"Outside of a dog, a book is man's best friend. Inside of a dog it's too dark to read.",Groucho Marx,35127,animals|books|dogs|friends|humor
I solemnly swear that I am up to no good.,J.K. Rowling,34736,mischief
"I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.",Pablo Neruda,34142,love|poetry
"I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.",Dr. Seuss,33844,fantasy
"A day without sunshine is like, you know, night.",Steve Martin,33630,humor|obvious|simile
Have you ever been in love? Horrible isn't it? It makes you so vulnerable. It opens your chest and it opens up your heart and it means that someone can get inside you and mess you up.,Neil Gaiman,32686,love
Never put off till tomorrow what may be done day after tomorrow just as well.,Mark Twain,32655,humor|procrastination
"Love all, trust a few, do wrong to none.",William Shakespeare,32617,do-wrong|love|trust|wrong
You have brains in your head. You have feet in your shoes. You can steer yourself any direction you choose. You're on your own. And you know what you know. And YOU are the one who'll decide where to go...,Dr. Seuss,32194,inspirational
The Paradoxical Commandments,Kent M. Keith,32089,forgiveness|goodness|happiness|honesty|kindness|misattributed-to-mother-teresa|world
That which does not kill us makes us stronger.,Friedrich Nietzsche,31707,paraphrased|strength
"If you judge people, you have no time to love them.",Mother Teresa,30305,
For every minute you are angry you lose sixty seconds of happiness.,Ralph Waldo Emerson,30199,happiness
"There is never a time or place for true love. It happens accidentally, in a heartbeat, in a single flashing, throbbing moment.",Sarah Dessen,29780,love
"This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.",Marilyn Monroe,29757,friends|heartbreak|inspirational|life|love|sisters
It is never too late to be what you might have been.,George Eliot,29730,inspirational|source-unknown
"Being deeply loved by someone gives you strength, while loving someone deeply gives you courage.",Lao Tzu,29667,courage|deeply-loved|love|strength|widely-misattributed
"A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.",George R.R. Martin,29603,read|readers|reading|reading-books
I love deadlines. I love the whooshing noise they make as they go by.,Douglas Adams,29179,deadlines|humor|humour|work|writing
My thoughts are stars I cannot fathom into constellations.,John Green,29018,
"It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.",J.K. Rowling,28619,courage|friends
Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.,Garrison Keillor,27781,humor|religion
"If you can't explain it to a six year old, you don't understand it yourself.",Albert Einstein,27777,simplicity|understand
Love is that condition in which the happiness of another person is essential to your own.,Robert A. Heinlein,27752,essential|happiness|love
"I'm not upset that you lied to me, I'm upset that from now on I can't believe you.",Friedrich Nietzsche,27512,lies|lying|trust
"Women and cats will do as they please, and men and dogs should relax and get used to the idea.",Robert A. Heinlein,26833,cats|humor|women
There is no greater agony than bearing an untold story inside you.,Maya Angelou,26560,1970|inspirational|stories|writing
I have always imagined that Paradise will be a kind of library.,Jorge Luis Borges,26547,books|library
Everything you can imagine is real.,Pablo Picasso,26303,art|imagination|inspirational|life
Sometimes the questions are complicated and the answers are simple.,Dr. Seuss,26067,life
"You love me. Real or not real?""",Suzanne Collins,25856,katniss|love|peeta|suzanne-collins|the-hunger-games
We read to know we're not alone.,William Nicholson,25699,misattributed-to-c-s-lewis|reading
"We don't see things as they are, we see them as we are.",Anaïs Nin,25617,
"You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.",Bob Marley,25530,love
All you need is love. But a little chocolate now and then doesn't hurt.,Charles M. Schulz,25146,chocolate|food|humor
Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.,Jim Henson,24886,humor
"Sometimes, you read a book and it fills you with this weird evangelical zeal, and you become convinced that the shattered world will never be put back together unless and until all living humans read the book.",John Green,24562,books|power-of-words|reading
Never trust anyone who has not brought a book with them.,Lemony Snicket,24427,books|reading
"Today you are You, that is truer than true. There is no one alive who is Youer than You.",Dr. Seuss,24316,comedy|life|yourself
You can never get a cup of tea large enough or a book long enough to suit me.,C.S. Lewis,23678,books|inspirational|reading|tea
"If you only read the books that everyone else is reading, you can only think what everyone else is thinking.",Haruki Murakami,23628,books|thought
I'm not afraid of death; I just don't want to be there when it happens.,Woody Allen,23516,death|fear|humor|life
"It is impossible to live without failing at something, unless you live so cautiously that you might as well not have lived at all - in which case, you fail by default.",J.K. Rowling,23504,
Have you fallen in love with the wrong person yet?',Cassandra Clare,23260,city-of-bones|jace
"Whenever I feel the need to exercise, I lie down until it goes away.",Paul   Terry,23253,exercise|humor|laziness|misattributed-to-hutchins
"If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.",Albert Einstein,23207,children|fairy-tales
"Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?",J.K. Rowling,23098,dumbledore
"To the well-organized mind, death is but the next great adventure.",J.K. Rowling,22958,death|inspirational
"I am nothing special, of this I am sure. I am a common man with common thoughts and I've led a common life. There are no monuments dedicated to me and my name will soon be forgotten, but I've loved another with all my heart and soul, and to me, this has always been enough..",Nicholas Sparks,22882,love
Logic will get you from A to Z; imagination will get you everywhere.,Albert Einstein,22831,imagination
"I'm in love with you,"" he said quietly.",John Green,22723,doomed|inevitable|love|oblivion|pleasure|simple
"If one cannot enjoy reading a book over and over again, there is no use in reading it at all.",Oscar Wilde,22552,books|reading
"The more that you read, the more things you will know. The more that you learn, the more places you'll go.",Dr. Seuss,22485,learning|reading|seuss
You don't get to choose if you get hurt in this world...but you do have some say in who hurts you. I like my choices.,John Green,22443,satisfaction|self-determination
"One good thing about music, when it hits you, you feel no pain.",Bob Marley,22427,music
Folks are usually about as happy as they make their minds up to be.,Abraham Lincoln,22372,happiness
"If you live to be a hundred, I want to live to be a hundred minus one day so I never have to live without you.",Joan Powers,22126,friendship|misattributed-a-a-milne
Sometimes people are beautiful.,Markus Zusak,22067,beauty|life
Life isn't about finding yourself. Life is about creating yourself.,George Bernard Shaw,22045,inspirational|life|yourself
"The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.",Bob Marley,22033,friendship
"Do what you can, with what you have, where you are.",Theodore Roosevelt,21877,inspirational
"Saying 'I notice you're a nerd' is like saying, 'Hey, I notice that you'd rather be intelligent than be stupid, that you'd rather be thoughtful than be vapid, that you believe that there are things that matter more than the arrest record of Lindsay Lohan. Why is that?' In fact, it seems to me that most contemporary insults are pretty lame. Even 'lame' is kind of lame. Saying 'You're lame' is like saying 'You walk with a limp.' Yeah, whatever, so does 50 Cent, and he's done all right for himself.",John Green,21801,humor|nerdfighters
Not all of us can do great things. But we can do small things with great love.,Mother Teresa,21777,misattributed-to-mother-teresa|paraphrased
"Love looks not with the eyes, but with the mind,",William Shakespeare,21660,love
"Listen to the mustn'ts, child. Listen to the don'ts. Listen to the shouldn'ts, the impossibles, the won'ts. Listen to the never haves, then listen close to me... Anything can happen, child. Anything can be.",Shel Silverstein,21312,anything-can-be|hope|impossible|inspirational|musn-t|possibilities|shouldn-t|won-t
"Love is like the wind, you can't see it but you can feel it.",Nicholas Sparks,21293,love|simile
You don’t,Walter M. Miller Jr.,21180,body-soul|misattributed-to-c-s-lewis
"When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.",Helen Keller,20983,inspirational
The difference between genius and stupidity is: genius has its limits.,Alexandre Dumas fils,20964,misattributed-to-einstein
"I find television very educating. Every time somebody turns on the set, I go into the other room and read a book.",Groucho Marx,20786,books|humor|reading|television
"I would venture to guess that Anon, who wrote so many poems without signing them, was often a woman.",Virginia Woolf,20540,women
"If you can make a woman laugh, you can make her do anything.",Marilyn Monroe,20509,girls|love
"People think a soul mate is your perfect fit, and that's what everyone wants. But a true soul mate is a mirror, the person who shows you everything that is holding you back, the person who brings you to your own attention so you can change your life.",Elizabeth Gilbert,20463,love
There is no friend as loyal as a book.,Ernest Hemingway,20415,books|friends|novelist-quotes
"You don't love someone because they're perfect, you love them in spite of the fact that they're not.",Jodi Picoult,20306,imperfect|love
"We’re all a little weird. And life is a little weird. And when we find someone whose weirdness is compatible with ours, we join up with them and fall into mutually satisfying weirdness—and call it love—true love.",Robert Fulghum,20261,love|weirdness
Some infinities are bigger than other infinities.,John Green,19953,infinity|john-green|life|tfios|the-fault-in-our-stars
"Life is like riding a bicycle. To keep your balance, you must keep moving.",Albert Einstein,19883,life|simile
The story so far:,Douglas Adams,19823,humor|scifi
"It matters not what someone is born, but what they grow to be.",J.K. Rowling,19797,dumbledore
"Success is not final, failure is not fatal: it is the courage to continue that counts.",Winston S. Churchill,19752,bravery|courage|failure|inspirational|success
Do one thing every day that scares you.,Eleanor Roosevelt,19721,attributed|fear|inspiration
"So, this is my life. And I want you to know that I am both happy and sad and I'm still trying to figure out how that could be.",Stephen Chbosky,19673,charlie|favourite-books|inspirational|sad|soul-searching|wallflower
"Love never dies a natural death. It dies because we don't know how to replenish its source. It dies of blindness and errors and betrayals. It dies of illness and wounds; it dies of weariness, of witherings, of tarnishings.",Anaïs Nin,19571,death|love
"He's like a drug for you, Bella.",Stephenie Meyer,19506,drug|romance|simile
The real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space.,Marilyn Monroe,19459,love
"There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.",Jane Austen,19313,friendship|love
"A wise girl kisses but doesn't love, listens but doesn't believe, and leaves before she is left.",Marilyn Monroe,19250,
Time you enjoy wasting is not wasted time.,Marthe Troly-Curtin,19248,happiness|misattributed-john-lennon|procrastination|time
Some people never go crazy. What truly horrible lives they must lead.,Charles Bukowski,19211,humor
Who are you to judge the life I live?,Bob Marley,19184,judge|life|live|perfection
"The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.",Terry Pratchett,19046,humor|open-mind|thinking
Piglet sidled up to Pooh from behind.,A.A. Milne,19019,friendship|piglet|pooh|reassurance
If I had a flower for every time I thought of you...I could walk through my garden forever.,Alfred Tennyson,18992,friendship|love
"There is no pretending,"" Jace said with absolute clarity. ""I love you, and I will love you until I die, and if there is life after that, I'll love you then.",Cassandra Clare,18807,mortal-instruments|romance|teen-fantasy
It is what you read when you don't have to that determines what you will be when you can't help it.,Oscar Wilde,18744,books|reading
Reality continues to ruin my life.,Bill Watterson,18698,calvin-and-hobbes|humor|life
"I am good, but not an angel. I do sin, but I am not the devil. I am just a small girl in a big world trying to find someone to love.",Marilyn Monroe,18650,
"He has achieved success who has lived well, laughed often, and loved much;",Bessie Anderson Stanley,18592,life|misattributed-to-emerson|success|widely-misattributed
"What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.",J.D. Salinger,18576,authors|books|literature|reading|writing
Things change. And friends leave. Life doesn't stop for anybody.,Stephen Chbosky,18558,change|life
The only way out of the labyrinth of suffering is to forgive.,John Green,18237,compassion|life|suffering
Go to heaven for the climate and hell for the company.,Benjamin Franklin Wade,17817,humor|misattributed-mark-twain|philosophy|theology
The reason I talk to myself is because I’m the only one whose answers I accept.,George Carlin,17812,humor|insanity|lies|lying|self-indulgence|truth
,Charles M. Schulz,17788,humor|mankind|people
You don’t forget the face of the person who was your last hope.,Suzanne Collins,17787,the-hunger-games
Not all those who wander are lost.,J.R.R. Tolkien,17571,bilbo|journey|lost|quest|travel|wander
"You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.",John Lennon,17544,beatles|connection|dreamers|dreaming|dreams|hope|inspirational|peace
"When someone loves you, the way they talk about you is different. You feel safe and comfortable.",Jess C. Scott,17506,desire|emotion|friendship|honesty|imagination|individuality|life|love|passion|reality|relationships|romance|truth|wisdom|wise-words
"To love at all is to be vulnerable. Love anything and your heart will be wrung and possibly broken. If you want to make sure of keeping it intact you must give it to no one, not even an animal. Wrap it carefully round with hobbies and little luxuries; avoid all entanglements. Lock it up safe in the casket or coffin of your selfishness. But in that casket, safe, dark, motionless, airless, it will change. It will not be broken; it will become unbreakable, impenetrable, irredeemable. To love is to be vulnerable.",C.S. Lewis,17460,love
"Remember, we're madly in love, so it's all right to kiss me anytime you feel like it.",Suzanne Collins,17438,humor
I am free of all prejudice. I hate everyone equally.,W.C. Fields,17405,humor|sinister
"Do not pity the dead, Harry. Pity the living, and, above all those who live without love.",J.K. Rowling,17353,live-death-love
You should date a girl who reads.,Rosemarie Urquico,17293,
There is nothing to writing. All you do is sit down at a typewriter and bleed.,Ernest Hemingway,17272,good|writing
I've been making a list of the things they don't teach you at school. They don't teach you how to love somebody. They don't teach you how to be famous. They don't teach you how to be rich or how to be poor. They don't teach you how to walk away from someone you don't love any longer. They don't teach you how to know what's going on in someone else's mind. They don't teach you what to say to someone who's dying. They don't teach you anything worth knowing.,Neil Gaiman,17108,dying|facts|fame|knowing|love|poverty|reality|school|teach|wealth
"Dumbledore watched her fly away, and as her silvery glow faded he turned back to Snape, and his eyes were full of tears.",J.K. Rowling,17089,dumbledore|life|love|snape
What a slut time is. She screws everybody.,John Green,16936,
"If there's a book that you want to read, but it hasn't been written yet, then you must write it.",Toni Morrison,16880,books|writing
The marks humans leave are too often scars.,John Green,16840,humans|pain|scars
"One must always be careful of books,"" said Tessa, ""and what is inside them, for words have the power to change us.",Cassandra Clare,16745,books
Finish each day and be done with it. You have done what you could. Some blunders and absurdities no doubt crept in; forget them as soon as you can. Tomorrow is a new day. You shall begin it serenely and with too high a spirit to be encumbered with your old nonsense.,Ralph Waldo Emerson,16649,life|regrets
I have never let my schooling interfere with my education.,Mark Twain,16609,education
"There is nothing better than a friend, unless it is a friend with chocolate.",Linda Grayson,16536,chocolate|friendship
′Classic′ - a book which people praise and don't read.,Mark Twain,16522,books|classic|reading
Books are the ultimate Dumpees: put them down and they’ll wait for you forever; pay attention to them and they always love you back.,John Green,16395,books|reading
The question isn't who is going to let me; it's who is going to stop me.,Ayn Rand,16349,
To die will be an awfully big adventure.,J.M. Barrie,16193,adventure|love
It takes courage to grow up and become who you really are.,E.E. Cummings,16170,courage
Anyone who has never made a mistake has never tried anything new.,Albert Einstein,16129,mistakes
"There are infinite numbers between 0 and 1. There's .1 and .12 and .112 and an infinite collection of others. Of course, there is a bigger infinite set of numbers between 0 and 2, or between 0 and a million. Some infinities are bigger than other infinities. A writer we used to like taught us that. There are days, many of them, when I resent the size of my unbounded set. I want more numbers than I'm likely to get, and God, I want more numbers for Augustus Waters than he got. But, Gus, my love, I cannot tell you how thankful I am for our little infinity. I wouldn't trade it for the world. You gave me a forever within the numbered days, and I'm grateful.",John Green,16092,infinity
"And, when you want something, all the universe conspires in helping you to achieve it.",Paulo Coelho,16067,inspirational
"We believe in ordinary acts of bravery, in the courage that drives one person to stand up for another.",Veronica Roth,15997,inspirational-quotes|strength-and-courage
"So it's not gonna be easy. It's going to be really hard; we're gonna have to work at this everyday, but I want to do that because I want you. I want all of you, forever, everyday. You and me... everyday.",Nicholas Sparks,15953,love|marriage
"Our deepest fear is not that we are inadequate. Our deepest fear is that we are powerful beyond measure. It is our light, not our darkness that most frightens us. We ask ourselves, 'Who am I to be brilliant, gorgeous, talented, fabulous?' Actually, who are you not to be? You are a child of God. Your playing small does not serve the world. There is nothing enlightened about shrinking so that other people won't feel insecure around you. We are all meant to shine, as children do. We were born to make manifest the glory of God that is within us. It's not just in some of us; it's in everyone. And as we let our own light shine, we unconsciously give other people permission to do the same. As we are liberated from our own fear, our presence automatically liberates others.",Marianne Williamson,15893,akeelah|fear|inspirational
"I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.",Jimi Hendrix,15889,death|life
"A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.",Jane Austen,15854,humor|love|romantic|women
"And in that moment, I swear we were infinite.",Stephen Chbosky,15791,infinity
"You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.",Madeleine L'Engle,15698,books|children|difficult|grown-ups|write|writers|writing
But better to get hurt by the truth than comforted with a lie.,Khaled Hosseini,15670,life
"I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library.",Jane Austen,15585,books|library|reading
You never really understand a person until you consider things from his point of view... Until you climb inside of his skin and walk around in it.,Harper Lee,15576,better-life-empathy
"I wish it need not have happened in my time,"" said Frodo.",J.R.R. Tolkien,15541,adventuring|death|time
Be nice to nerds. You may end up working for them. We all could.,Charles J. Sykes,15449,humor|misattributed-to-bill-gates|nerd|nerds|work
"Remember, if the time should come when you have to make a choice between what is right and what is easy, remember what happened to a boy who was good, and kind, and brave, because he strayed across the path of Lord Voldemort. Remember Cedric Diggory.",J.K. Rowling,15397,integrity
Some day you will be old enough to start reading fairy tales again.,C.S. Lewis,15107,age|fairytales|growing-up
"Just when you think it can't get any worse, it can. And just when you think it can't get any better, it can.",Nicholas Sparks,15045,life|love
"It’s no use going back to yesterday, because I was a different person then.",Lewis Carroll,14923,alice|humor|inspirational|philosophy-of-life|psychological|yesterday
"The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.",J.K. Rowling,14783,truth
"I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.",C.S. Lewis,14688,christianity|faith|religion|sun
The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.,Mark Twain,14679,death|life
A lie can travel half way around the world while the truth is putting on its shoes.,Mark Twain,14678,misattributed-mark-twain|truth
"We are what we pretend to be, so we must be careful about what we pretend to be.",Kurt Vonnegut,14629,action|attitude|choice|imagination|inspiration|life|pretend
Tis better to have loved and lost,Alfred Tennyson,14627,love|paraphrase-of-congreve
The truth is rarely pure and never simple.,Oscar Wilde,14551,truth
Never tell the truth to people who are not worthy of it.,Mark Twain,14492,truth
"Be not afraid of greatness. Some are born great, some achieve greatness, and others have greatness thrust upon them.",William Shakespeare,14462,greatness
"... a mind needs books as a sword needs a whetstone, if it is to keep its edge.",George R.R. Martin,14449,books|mind
The books that the world calls immoral are books that show the world its own shame.,Oscar Wilde,14426,books|morality|reading
I know God won't give me anything I can't handle. I just wish he didn't trust me so much.,Anonymous,14409,misattributed-to-mother-teresa
"It's so hard to forget pain, but it's even harder to remember sweetness. We have no scar to show for happiness. We learn so little from peace.",Chuck Palahniuk,14336,happiness|pain|peace|scar|sweetness
"What you're supposed to do when you don't like a thing is change it. If you can't change it, change the way you think about it. Don't complain.",Maya Angelou,14192,1993|advice|complaining|inspirational
A day without laughter is a day wasted.,Nicolas Chamfort,14113,philosophy
"A person's a person, no matter how small.",Dr. Seuss,14108,inspirational
