year_film,year_award,ceremony,category,nominee,film,win
1952,1953,10,Best Performance by an Actress in a Motion Picture - Drama,Olivia de Havilland,My Cousin Rachel,False
1952,1953,10,Best Performance by an Actor in a Motion Picture - Drama,Gary Cooper,High Noon,True
1952,1953,10,Best Performance by an Actor in a Motion Picture - Drama,Charles Boyer,The Happy Time,False
1952,1953,10,Best Performance by an Actor in a Motion Picture - Drama,Ray Milland,The Thief,False
1952,1953,10,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Donald O'Connor,Singin' in the Rain,True
1952,1953,10,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Danny Kaye,Hans Christian Andersen,False
1952,1953,10,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Clifton Webb,Stars and Stripes Forever,False
1952,1953,10,Best Performance by an Actress in a Supporting Role in any Motion Picture,Katy Jurado,High Noon,True
1952,1953,10,Best Performance by an Actress in a Supporting Role in any Motion Picture,Mildred Dunnock,Viva Zapata!,False
1952,1953,10,Best Performance by an Actress in a Supporting Role in any Motion Picture,Gloria Grahame,"Bad and The Beautiful, The",False
1952,1953,10,Best Performance by an Actor in a Supporting Role in any Motion Picture,Millard Mitchell,My Six Convicts,True
1952,1953,10,Best Performance by an Actor in a Supporting Role in any Motion Picture,Kurt Kasznar,The Happy Time,False
1952,1953,10,Best Performance by an Actor in a Supporting Role in any Motion Picture,Gilbert Roland,"Bad and The Beautiful, The",False
1952,1953,10,Best Director - Motion Picture,Cecil B. deMille,The Greatest Show On Earth,True
1952,1953,10,Best Director - Motion Picture,Richard Fleischer,The Happy Time,False
1952,1953,10,Best Director - Motion Picture,John Ford,The Quiet Man,False
1952,1953,10,Best Screenplay - Motion Picture,Michael Wilson,5 Fingers,True
1952,1953,10,Best Screenplay - Motion Picture,Clarence Greene,The Thief,False
1952,1953,10,Best Screenplay - Motion Picture,Carl Foreman,High Noon,False
1952,1953,10,Best Original Score - Motion Picture,Dimitri Tiomkin,High Noon,True
1952,1953,10,Best Original Score - Motion Picture,Miklos Rozsa,Ivanhoe,False
1952,1953,10,Best Original Score - Motion Picture,Victor Young,The Quiet Man,False
1952,1953,10,Cecil B. deMille Award,Walt Disney,,False
1952,1953,10,Cecil B. deMille Award,Stanley Kramer,,False
1952,1953,10,Cecil B. deMille Award,Adolph Zukor,,False
1952,1953,10,Promoting International Understanding,George Seaton,Anything Can Happen,True
1952,1953,10,Promoting International Understanding,Robert Parrish,Assignment: Paris,False
1952,1953,10,Promoting International Understanding,Richard Thorpe,Ivanhoe,False
1952,1953,10,Special Achievement Award,Francis Kee Teller,Navajo,False
1952,1953,10,New Star Of The Year - Actress,Colette Marchand,Moulin Rouge,True
1952,1953,10,New Star Of The Year - Actress,Rita Gam,The Thief,False
1952,1953,10,New Star Of The Year - Actress,Katy Jurado,High Noon,False
1952,1953,10,New Star Of The Year - Actor,Richard Burton,My Cousin Rachel,True
1952,1953,10,New Star Of The Year - Actor,Aldo Ray,Pat and Mike,False
1952,1953,10,New Star Of The Year - Actor,Robert Wagner,Stars and Stripes Forever,False
1952,1953,10,Juvenile Performance,Brandon de Wilde,"Member of the Wedding, The",True
1952,1953,10,Juvenile Performance,Francis Kee Teller,Navajo,False
1952,1953,10,Juvenile Performance,George Winslow,My Pal Gus,False
1952,1953,10,Actress In A Leading Role - Musical Or Comedy,Susan Hayward,With a Song in My Heart,True
1952,1953,10,Actress In A Leading Role - Musical Or Comedy,Katharine Hepburn,Pat and Mike,False
1952,1953,10,Actress In A Leading Role - Musical Or Comedy,Ginger Rogers,Monkey Business,False
1952,1953,10,Henrietta Award (World Film Favorites),Susan Hayward,,True
1952,1953,10,Henrietta Award (World Film Favorites),John Wayne,,True
1952,1953,10,Cinematography - Color,George Barnes,The Greatest Show On Earth,True
1952,1953,10,Cinematography - Black And White,Floyd Crosby,High Noon,True
1952,1953,10,Cinematography - Black And White,Hal Mohr,"Four Poster, The",False
1952,1953,10,Cinematography - Black And White,Sam Leavitt,The Thief,False
1953,1954,11,Best Motion Picture - Drama,"Robe, The",,True
1953,1954,11,Best Performance by an Actress in a Motion Picture - Drama,Audrey Hepburn,Roman Holiday,True
1953,1954,11,Best Performance by an Actor in a Motion Picture - Drama,Spencer Tracy,"Actress, The",True
1953,1954,11,Best Performance by an Actor in a Motion Picture - Musical or Comedy,David Niven,The Moon Is Blue,True
1953,1954,11,Best Performance by an Actress in a Supporting Role in any Motion Picture,Grace Kelly,Mogambo,True
1953,1954,11,Best Performance by an Actor in a Supporting Role in any Motion Picture,Frank Sinatra,From Here to Eternity,True
1953,1954,11,Best Director - Motion Picture,Fred Zinnemann,From Here to Eternity,True
1953,1954,11,Best Screenplay - Motion Picture,Helen Deutsch,Lili,True
1953,1954,11,Cecil B. deMille Award,Darryl F. Zanuck,,False
1953,1954,11,Promoting International Understanding,George Seaton,Little Boy Lost,True
1953,1954,11,Special Achievement Award,Walt Disney,"Living Desert, The",False
1953,1954,11,New Star Of The Year - Actress,Pat Crowley,Forever Female,True
1953,1954,11,New Star Of The Year - Actress,Pat Crowley,Money From Home,True
1953,1954,11,New Star Of The Year - Actress,Bella Darvi,"Egyptian, The",True
1953,1954,11,New Star Of The Year - Actress,Bella Darvi,Hell and High Water,True
1953,1954,11,New Star Of The Year - Actress,Barbara Rush,It Came From Outer Space,True
1953,1954,11,New Star Of The Year - Actress,Barbara Rush,Hell and High Water,False
1953,1954,11,New Star Of The Year - Actress,Bella Darvi,Money From Home,False
1953,1954,11,New Star Of The Year - Actor,Richard Egan,"Glory Brigade, The",True
1953,1954,11,New Star Of The Year - Actor,Richard Egan,"Kid From Left Field, The",True
1953,1954,11,New Star Of The Year - Actor,Steve Forrest,So Big,True
1953,1954,11,New Star Of The Year - Actor,Hugh O'Brian,"Man From The Alamo, The",True
1953,1954,11,New Star Of The Year - Actor,Steve Forrest,"Kid From Left Field, The",False
1953,1954,11,Actress In A Leading Role - Musical Or Comedy,Ethel Merman,Call Me Madam,True
1953,1954,11,Henrietta Award (World Film Favorites),Alan Ladd,,True
1953,1954,11,Henrietta Award (World Film Favorites),Marilyn Monroe,,True
1953,1954,11,Henrietta Award (World Film Favorites),Robert Taylor,,True
1953,1954,11,Documentary,"Queen Is Crowned, A",,True
1954,1955,12,Best Motion Picture - Drama,On the Waterfront,,True
1954,1955,12,Best Motion Picture - Musical or Comedy,Carmen Jones,,True
1954,1955,12,Best Performance by an Actress in a Motion Picture - Drama,Grace Kelly,"Country Girl, The",True
1954,1955,12,Best Performance by an Actor in a Motion Picture - Drama,Marlon Brando,On the Waterfront,True
1954,1955,12,Best Performance by an Actor in a Motion Picture - Musical or Comedy,James Mason,"Star is Born, A (1954)",True
1954,1955,12,Best Performance by an Actress in a Supporting Role in any Motion Picture,Jan Sterling,"High and The Mighty, The",True
1954,1955,12,Best Performance by an Actor in a Supporting Role in any Motion Picture,Edmond O'Brien,"Barefoot Contessa, The",True
1954,1955,12,Best Director - Motion Picture,Elia Kazan,On the Waterfront,True
1954,1955,12,Best Screenplay - Motion Picture,Ernest Lehman,Sabrina,True
1954,1955,12,Best Motion Picture - Foreign Language,Genevieve,"United Kingdom, Henry Cornelius",True
1954,1955,12,Best Motion Picture - Foreign Language,The Lady Of The Camelias,"Argentina, Ernesto Arancibia",True
1954,1955,12,Best Motion Picture - Foreign Language,No Way Back,"West Germany, Victor Vicas",True
1954,1955,12,Best Motion Picture - Foreign Language,Twenty-Four Eyes,"Japan, Keisuke Kinoshita",True
1954,1955,12,Cecil B. deMille Award,Jean Hersholt,,False
1954,1955,12,Promoting International Understanding,Edward Dmytryk,Broken Lance,True
1954,1955,12,New Star Of The Year - Actress,Shirley MacLaine,"Trouble With Harry, The",True
1954,1955,12,New Star Of The Year - Actress,Kim Novak,Phffft!,True
1954,1955,12,New Star Of The Year - Actress,Karen Sharpe,"High and The Mighty, The",True
1954,1955,12,New Star Of The Year - Actor,Joe Adams,Carmen Jones,True
1954,1955,12,New Star Of The Year - Actor,George Nader,Four Guns to the Border,True
1954,1955,12,New Star Of The Year - Actor,Jeff Richards,Seven Brides for Seven Brothers,True
1954,1955,12,Actress In A Leading Role - Musical Or Comedy,Judy Garland,"Star is Born, A (1954)",True
1954,1955,12,Henrietta Award (World Film Favorites),Audrey Hepburn,,True
1954,1955,12,Henrietta Award (World Film Favorites),Gregory Peck,,True
1954,1955,12,Henrietta Award (World Film Favorites),June Allyson,,False
1954,1955,12,Henrietta Award (World Film Favorites),Pier Angeli,,False
1954,1955,12,Henrietta Award (World Film Favorites),Marlon Brando,,False
1954,1955,12,Henrietta Award (World Film Favorites),Doris Day,,False
1954,1955,12,Henrietta Award (World Film Favorites),Alan Ladd,,False
1954,1955,12,Cinematography - Color,Joseph Ruttenberg,Brigadoon,True
1954,1955,12,Cinematography - Black And White,Boris Kaufman,On the Waterfront,True
1955,1956,13,Best Motion Picture - Drama,East of Eden,,True
1955,1956,13,Best Motion Picture - Musical or Comedy,Guys and Dolls,,True
1955,1956,13,Best Performance by an Actress in a Motion Picture - Drama,Anna Magnani,"Rose Tattoo, The",True
1955,1956,13,Best Performance by an Actor in a Motion Picture - Drama,Ernest Borgnine,Marty,True
1955,1956,13,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Tom Ewell,"Seven Year Itch, The",True
1955,1956,13,Best Performance by an Actress in a Supporting Role in any Motion Picture,Marisa Pavan,"Rose Tattoo, The",True
1955,1956,13,Best Performance by an Actor in a Supporting Role in any Motion Picture,Arthur Kennedy,Trial,True
1955,1956,13,Best Director - Motion Picture,Joshua Logan,Picnic,True
1955,1956,13,Best Motion Picture - Foreign Language,Dangerous Curves (UK),United Kingdom,True
1955,1956,13,Best Motion Picture - Foreign Language,Eyes of Children,"Japan, Yoshirô Kawazu",True
1955,1956,13,Best Motion Picture - Foreign Language,"Sons, Mothers And A General","West Germany, Laslo Benedek",True
1955,1956,13,Best Motion Picture - Foreign Language,Stella,"Greece, Michael Cacoyannis",True
1955,1956,13,Best Motion Picture - Foreign Language,Ordet,"Denmark, Carl Theodor Dreyer",True
1955,1956,13,Cecil B. deMille Award,Jack L. Warner,,False
1955,1956,13,Promoting International Understanding,Henry King,Love Is A Many-Splendored Thing,True
1955,1956,13,Television Achievement,Desi Arnaz,"American Comedy, The",True
1955,1956,13,Television Achievement,Dinah Shore,Walt Disney's Wonderful World of Color (Davy Crockett),True
1955,1956,13,Special Achievement Award,James Dean,East of Eden,False
1955,1956,13,New Star Of The Year - Actress,Anita Ekberg,Blood Alley,True
1955,1956,13,New Star Of The Year - Actress,Victoria Shaw,"Eddy Duchin Story, The",True
1955,1956,13,New Star Of The Year - Actress,Dana Wynter,"View From Pompey's Head, The",True
1955,1956,13,New Star Of The Year - Actor,Ray Danton,I'll Cry Tomorrow,True
1955,1956,13,New Star Of The Year - Actor,Russ Tamblyn,Hit The Deck,True
1955,1956,13,Actress In A Leading Role - Musical Or Comedy,Jean Simmons,Guys and Dolls,True
1955,1956,13,Henrietta Award (World Film Favorites),Marlon Brando,,True
1955,1956,13,Henrietta Award (World Film Favorites),Grace Kelly,,True
1955,1956,13,Hollywood Citizenship Award,Esther Williams,,True
1956,1957,14,Best Motion Picture - Drama,Around the World in 80 Days,,True
1956,1957,14,Best Motion Picture - Drama,Lust For Life,,False
1956,1957,14,Best Motion Picture - Drama,"Rainmaker, The",,False
1956,1957,14,Best Motion Picture - Drama,War and Peace,,False
1956,1957,14,Best Motion Picture - Drama,Giant,,False
1956,1957,14,Best Motion Picture - Musical or Comedy,"King and I, The",,True
1956,1957,14,Best Motion Picture - Musical or Comedy,Bus Stop,,False
1956,1957,14,Best Motion Picture - Musical or Comedy,"Opposite Sex, The",,False
1956,1957,14,Best Motion Picture - Musical or Comedy,"Solid Gold Cadillac, The",,False
1956,1957,14,Best Motion Picture - Musical or Comedy,"Teahouse of the August Moon, The",,False
1956,1957,14,Best Performance by an Actress in a Motion Picture - Drama,Carroll Baker,Baby Doll,False
1956,1957,14,Best Performance by an Actress in a Motion Picture - Drama,Ingrid Bergman,Anastasia (1956),False
1956,1957,14,Best Performance by an Actress in a Motion Picture - Drama,Helen Hayes,Anastasia (1956),False
1956,1957,14,Best Performance by an Actress in a Motion Picture - Drama,Audrey Hepburn,War and Peace,False
1956,1957,14,Best Performance by an Actress in a Motion Picture - Drama,Katharine Hepburn,"Rainmaker, The",False
1956,1957,14,Best Performance by an Actor in a Motion Picture - Drama,Kirk Douglas,Lust For Life,True
1956,1957,14,Best Performance by an Actor in a Motion Picture - Drama,Gary Cooper,Friendly Persuasion,False
1956,1957,14,Best Performance by an Actor in a Motion Picture - Drama,Charlton Heston,"Ten Commandments, The",False
1956,1957,14,Best Performance by an Actor in a Motion Picture - Drama,Burt Lancaster,"Rainmaker, The",False
1956,1957,14,Best Performance by an Actor in a Motion Picture - Drama,Karl Malden,Baby Doll,False
1956,1957,14,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Cantinflas,Around the World in 80 Days,True
1956,1957,14,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Marlon Brando,"Teahouse of the August Moon, The",False
1956,1957,14,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Yul Brynner,"King and I, The",False
