spotid,spotname,geo-coordinates
1134714,Kimber Dry Cleaning,POINT(-74.279883 40.4828885167)
1134701,South Amboy Post Office,POINT(-74.27814295 40.481056)
3668399,Madura Pharmacy,POINT(-74.280532 40.483293)
1303092,Sciortinos Pizza,POINT(-74.2793905735 40.4816626399)
3712382,The Bargain Man,POINT(-74.261431 40.518413)
1134651,Krauszer's Food Stores,POINT(-74.2837220333 40.48588275)
1138863,South Amboy Board of Education,POINT(-74.28072547 40.48158371)
3468801,YMCA of South Amboy,POINT(-74.275988 40.477458)
1102537,Aloysia's Lounge,POINT(-74.2357721 40.5143721833)
922736,St. Mary's Roman Catholic Church,POINT(-74.2833709717 40.4829601469)
4112356,South Amboy Deli,POINT(-74.28308 40.482276)
1042935,Bethel Church,POINT(-74.2366997667 40.5160906)
6602803,St. Mary's Food Pantry,POINT(-74.2837783 40.48272114)
4340705,Bank of America ATM,POINT(-74.28194491 40.479994473)
1176967,Magical Mystery Technologies,POINT(-74.28194491 40.479994473)
849176,ZPA,POINT(-74.281755 40.5116956833)
1138339,South Amboy Elementary School,POINT(-74.282467245 40.48020422)
7451909,Dead Train In The Middle Of The Track,POINT(-74.270799042 40.472602328)
1537638,The Blowout Studio,POINT(-74.2337915 40.515850917)
6553416,Quest Diagnostics,POINT(-74.233472058 40.516686376)
1134979,South Amboy Pizza,POINT(-74.2826538833 40.4782098833)
3097221,Staten Island Railway Tottenville Station,POINT(-74.262358 40.5223095)
1488416,Subway,POINT(-74.23326055 40.516839767)
951377,Tottenville Hot Bagels & Deli,POINT(-74.232891798 40.5166498235)
763643,Tottenville Auto Spa & Lube,POINT(-74.23502915 40.5179649167)
1020580,Perth Amboy Fire Station,POINT(-74.2803110871 40.5159951992)
2624177,Boss Audio,POINT(-74.28465098 40.51382684)
420443,Roller Jam,POINT(-74.2374685833 40.5208420667)
7352439,The Barge,POINT(-74.238315 40.521813)
2121338,Munk-ee Bar,POINT(-74.287724 40.479415)
831885,Perth Amboy Hospital,POINT(-74.28002475 40.5184089833)
2280914,South Amboy Hole In The Wall,POINT(-74.291939876 40.485739113)
801687,Killmeyer's Old Bavaria Inn,POINT(-74.26214635 40.52517092)
1581029,Sacred Heart Church,POINT(-74.28950601 40.47933614)
2668803,Zack's Broadway Diner,POINT(-74.295365 40.489946)
6976099,Provident Bank,POINT(-74.290327667 40.479824917)
824765,11-Jul,POINT(-74.2839028167 40.5179402667)
7345111,Ancient Order of Hibernians,POINT(-74.295607 40.489607)
2238968,Openeye,POINT(-74.29447435 40.486131833)
841383,Page Diner,POINT(-74.2350053667 40.5225133833)
1463724,Taco Bell,POINT(-74.28647545 40.516212583)
53394,Outerbridge Crossing,POINT(-74.2419150333 40.5250930333)
1592773,ShopRite,POINT(-74.286355883 40.51649845)
1440406,Anthony's Bar & Grill,POINT(-74.295321698 40.487371252)
1592876,US-1 Discount Liquor,POINT(-74.287335817 40.51596525)
7554277,Red Light Lounge,POINT(-74.2852753401 40.473536253)
1695272,Grandma & Papa's,POINT(-74.29391 40.483331)
6079365,The Fishery,POINT(-74.2666232586 40.4651111048)
1134967,Foodtown,POINT(-74.28660315 40.4742723667)
1031069,Walgreens,POINT(-74.2816386833 40.5208305833)
6719458,Cafe Luna,POINT(-74.2345687 40.5239089)
165245,Celerant ,POINT(-74.28418338 40.52002286)
692647,Andrew Tanchyk DDS,POINT(-74.2877333 40.4740557333)
7293154,Bayshore Dental Excellence ,POINT(-74.27048787 40.464896244)
1025198,Sunoco Gas Station,POINT(-74.2974203825 40.4869830754)
162669,Black Bettys,POINT(-74.2979316 40.4883578)
7517402,Dave's Hot Dogs,POINT(-74.2742139101 40.4655593634)
1230161,Seabra's Armory,POINT(-74.256756 40.462407)
4711076,Hess,POINT(-74.298065267 40.48713255)
6918896,Ladies Night At The Grammys,POINT(-74.291972083 40.476731817)
1587745,K & L Gas Co.,POINT(-74.26084 40.462394)
1050797,Pub 35,POINT(-74.2712688333 40.4642450667)
6958082,Costa Verde,POINT(-74.29746865 40.4847908)
6782365,McDonald's,POINT(-74.285689151 40.520720018)
7458146,Papa John's,POINT(-74.28323833 40.46873962)
6838544,Terri And Jimmy's House,POINT(-74.2933233 40.476546)
1419963,Campo Home,POINT(-74.29341305 40.476514283)
306008,Deko Lounge,POINT(-74.2789185047 40.4659844879)
7056835,Sciortino's At Harbor Heights,POINT(-74.300878 40.491971)
2218723,Sixth Street Park,POINT(-74.300664 40.490681)
6879736,South Amboy Elks,POINT(-74.295123155 40.4775612)
1663722,Monaghan House,POINT(-74.277929 40.464966)
4654209,Hing Lung,POINT(-74.29602825 40.478239483)
1456200,Subway,POINT(-74.296233817 40.478105417)
7163520,Retro Fitness,POINT(-74.234177595 40.527301105)
763690,Alfred E Driscoll Bridge,POINT(-74.3011611167 40.50424805)
7409515,Classique,POINT(-74.296585633 40.47779482)
1389249,The Garden State Parkway,POINT(-74.301638405 40.504271975)
1435753,V & P Nail Salon,POINT(-74.296852587 40.477881187)
5311879,Sue's Theraapeutic Massage,POINT(-74.29888 40.48055)
1074333,Panera Bread,POINT(-74.2296697 40.5260634)
1440049,The Dental Experience by William G. Corbett D.M.D.,POINT(-74.232877633 40.527585633)
4010015,Four Vines Wines & Spirits,POINT(-74.23187354 40.527289321)
1443622,Cheeburger Cheeburger,POINT(-74.231711295 40.527235595)
1433935,Dunkin' Donuts,POINT(-74.231880482 40.527392228)
6926216,Payless Shoesource,POINT(-74.23212882 40.527499337)
4007777,Sally Beauty Supply,POINT(-74.231213028 40.527158943)
7049157,Verizon Wireless,POINT(-74.231789326 40.527640516)
7496297,Knights of Columbus,POINT(-74.2878446 40.4682005)
930488,Sayreville Park & Ride,POINT(-74.2981553078 40.4776801975)
7581451,Z Two,POINT(-74.230434534 40.527442302)
690040,Club Abyss,POINT(-74.28090786 40.46376663)
7283185,Faith Fellowship Ministries,POINT(-74.304672846 40.494252698)
1100848,Talking Heads,POINT(-74.29738086 40.47588229)
1286830,Nunzio's,POINT(-74.29738086 40.47588229)
7203729,Payless Car Sales,POINT(-74.294942 40.473139)
7061036,Starbucks,POINT(-74.231888497 40.52908816)
6545019,Car Wash,POINT(-74.301150705 40.4799914)
371624,Target,POINT(-74.2300850196 40.5283290659)
7339900,Old Bridge Waterfront Park,POINT(-74.24569368 40.45815983)
7494727,Rite Aid Pharmacy,POINT(-74.2989847 40.4754309)
270505,Cheesequake Service Area,POINT(-74.2889521333 40.4663429)
4498853,Cheesequake Rest Area,POINT(-74.2927384 40.469039017)
807713,Christmas Tree Shop,POINT(-74.2294500758 40.528980017)
2799946,Starbucks,POINT(-74.289045511 40.466334819)
2217421,South Pine Park,POINT(-74.281236 40.462025)
6582006,Tex Mex Grill & Deli,POINT(-74.281166 40.461924)
627861,spin central laundromat,POINT(-74.298007 40.517581)
2800266,Lukoil,POINT(-74.286959122 40.464760193)
817849,Walmart,POINT(-74.28223133 40.52909564)
2040754,Wendy's,POINT(-74.21688133 40.52137285)
822615,Transportation Center,POINT(-74.30314487 40.48030662)
3612446,Kreischer Mansion,POINT(-74.237806 40.532558)
6458965,Garden State Parkway Exit 123 US Route 9,POINT(-74.29748655 40.4723969833)
5713542,QuickChek,POINT(-74.279722367 40.5307302)
1017415,Middlesex County Fire Academy,POINT(-74.3066958333 40.4880780667)
1471367,Dunkin' Donuts,POINT(-74.246117685 40.456724273)
807584,The Home Depot,POINT(-74.2266069206 40.5286150433)
6988821,GET FRESH ,POINT(-74.2926675081 40.5236238241)
740261,The GoGo Rama,POINT(-74.2470537312 40.45647489)
6578293,Dollar Tree,POINT(-74.21598565 40.521653945)
2560767,Big Wally's Sub Shop,POINT(-74.300491 40.475086)
6825639,Wendy's,POINT(-74.2798618 40.53109018)
2584098,Sunoco,POINT(-74.29565984 40.46982896)
584537,Applebee's,POINT(-74.227479237 40.5294128739)
3760902,Waldbaum's,POINT(-74.215800728 40.521784675)
3733365,Joey's Diamond Cuts,POINT(-74.216525347 40.522925976)
6532731,Samantha Lawrence's Red Door Salon,POINT(-74.216456133 40.52312415)
718231,Bed Bath & Beyond,POINT(-74.22853455 40.5306811833)
3734169,Hot Shotz Sports Bar,POINT(-74.216306195 40.523217157)
7339525,Oasis Auto Body,POINT(-74.296964233 40.469685447)
1593016,Burger King,POINT(-74.291093 40.464802)
1592986,Bank of America ATM,POINT(-74.291093 40.464802)
1266312,PathMark,POINT(-74.29632685 40.523237333)
626799,Burger King,POINT(-74.2964477333 40.5238231167)
799992,Converted Organics,POINT(-74.3075665 40.51057975)
300268,Peterpank,POINT(-74.29901051 40.46752041)
1490237,Posh Car Wash,POINT(-74.29615283 40.46502858)
1131870,Rita's Italian Ice,POINT(-74.3027150631 40.4701879956)
799468,Bayshore Recycling,POINT(-74.3095417167 40.5134422667)
7064338,Al Cibelli's ,POINT(-74.278977 40.53679)
421249,Solutions Chiropractic,POINT(-74.29763695 40.4641616167)
6452212,Pronto Pizza,POINT(-74.29635 40.463165)
6016851,Carmen's,POINT(-74.1664199531 40.5253998847)
616347,Mike's Place,POINT(-74.1624545991 40.5291377699)
7147828,Saint Joseph By The Sea High School,POINT(-74.178850651 40.525837205)
1458558,Keansburgh Amusement Park,POINT(-74.1387248 40.454760783)
7575319,Wolfes Pond Park,POINT(-74.18854203 40.51812816)
215382,Portobello Café,POINT(-74.1509378167 40.5370727167)
1232157,Raritan River - Fluke Fishing,POINT(-74.1971015667 40.4843695667)
873220,La Bella,POINT(-74.1492641354 40.5386236567)
7012981,Staten Island Medical Practice,POINT(-74.1867135 40.524166483)
3975575,Blue Heron Park,POINT(-74.177561161 40.530896458)
6491749,The Lost City Of Atlantis,POINT(-74.0480010025 40.5084350404)
1197637,Seastreak Dock - Sandy Hook,POINT(-74.008133083 40.464690117)
5303123,Chapel at Sandy Hook,POINT(-74.00627694 40.464098)
1046395,Sandy Hook North Beach,POINT(-73.9977187333 40.4678598667)
766206,Sandy Hook Lighthouse,POINT(-74.0017816 40.4617468)
7099881,Gunnison Battery,POINT(-73.995344367 40.45994845)
1750899,11-Jul,POINT(-74.2423195 40.5851315)
6534609,The Manhattan at Times Square,POINT(-74.2412267 40.583557383)
7057656,New Jersey Turpike,POINT(-74.24277 40.58666)
6936250,Abalin paper co.,POINT(-74.27048 40.57208)
7507515,Radisson Carteret,POINT(-74.23923653 40.59056905)
957071,Radisson,POINT(-74.2388476387 40.5903965222)
7191741,Hess,POINT(-74.251501846 40.563867344)
279037,"Avenel Train Station, Avenel, NJ",POINT(-74.2773520947 40.5776185579)
1701314,Dunkin' Donuts,POINT(-74.241478033 40.592997967)
279067,"Avenel Train Death Track, Avenel, NJ",POINT(-74.2776310444 40.5772926041)
715829,Rahway DMV,POINT(-74.26610499 40.59533667)
222847,Bill's BBQ,POINT(-74.2591379333 40.5970952333)
7176299,Mulberry Street,POINT(-74.272584012 40.567213382)
1473920,Sansone Route 1 Automall,POINT(-74.272334467 40.594261117)
6663418,Comfort Suites,POINT(-74.27515855 40.592423133)
5762250,NJ Motor Vehicle Commision - Rahway,POINT(-74.270466367 40.596012117)
7526330,Absolutely Nails,POINT(-74.2731624842 40.5655092001)
1892779,Dairy Queen,POINT(-74.268135033 40.59849785)
1169625,Burger King,POINT(-74.2644763667 40.5602894)
1169599,Nathan's,POINT(-74.2645441833 40.5601805833)
1169607,Hershey's Ice Cream,POINT(-74.2645848333 40.5601807833)
41944,Thomas Edison Service Plaza,POINT(-74.2644832167 40.5601213167)
1169592,Popeyes,POINT(-74.2645125 40.5599807833)
1169596,Sbarro Pizzeria,POINT(-74.2645125 40.5599807833)
3117851,Trinity Church,POINT(-74.272612 40.563201683)
1169713,Starbucks,POINT(-74.2642599333 40.5596236167)
1169717,Travel Mart,POINT(-74.2642599333 40.5596236167)
1225195,Royal Seafood Restaurant,POINT(-74.2839074135 40.5818721089)
483383,Avenel Firehouse Co. No. 1,POINT(-74.2842292786 40.5801690912)
153042,Sunoco,POINT(-74.2646246167 40.5594410333)
3140411,Quick Chek,POINT(-74.284725117 40.579911333)
902095,Riuniti's Pizzeria,POINT(-74.23039615 40.5910122)
7245234,Woodbridge Pool And Ski,POINT(-74.285315909 40.579540255)
902056,McDonald's,POINT(-74.2298137 40.59128005)
1699550,Capital One Bank,POINT(-74.22798175 40.5883893)
278977,"Avenel Park, Avenel, NJ",POINT(-74.2847657204 40.5733484378)
7527697,Dunkin' Donuts,POINT(-74.286102338 40.579189891)
244908,"Waterfront Park, Rahway, NJ",POINT(-74.2712044716 40.600529127)
99639,Grover Cleveland Service Station,POINT(-74.2637429 40.5568363833)
925089,Rahway Yacht Club,POINT(-74.263586998 40.6033801777)
919473,Best Western Riverview Inn & Suites,POINT(-74.2627072334 40.6039992469)
1469402,Balance Yoga,POINT(-74.2726702 40.5592243)
919396,Rodeway Inn,POINT(-74.2652177811 40.6036815674)
919449,Burger King,POINT(-74.2642682791 40.6044594723)
7376409,Dominc's ,POINT(-74.288985517 40.581917683)
921941,Baskin Robbins,POINT(-74.263651371 40.6050602042)
921963,Dunkin' Donuts,POINT(-74.2638069391 40.6050540951)
752139,Holiday Inn Express,POINT(-74.28894885 40.5751263833)
922094,Pizza Hut Express,POINT(-74.2621842027 40.6054858042)
922079,KFC,POINT(-74.2621976137 40.6055835493)
276254,Riffy's,POINT(-74.27587575 40.55838885)
395285,Center Circle,POINT(-74.2744639333 40.6025132167)
922288,Lukoil,POINT(-74.2622351646 40.6065324836)
927092,Second Baptist Church,POINT(-74.2702590333 40.6047624)
922357,QuickCheck,POINT(-74.2606258392 40.6070130547)
441220,Rahway Rec Center,POINT(-74.2684518 40.6055327)
235615,Rahway Public Library,POINT(-74.2733421922 40.6039239)
922384,Exxon,POINT(-74.2617416382 40.6071433784)
6871227,Sewaren Deli,POINT(-74.25893357 40.55241263)
6599017,Fresh Taco & Chinese Food Tex-Mexican Grill,POINT(-74.27628555 40.55710348)
341897,Burger Express/The Station,POINT(-74.2196014261 40.5750079)
922405,McDonald's,POINT(-74.2614895105 40.6075710015)
3609920,Walgreens,POINT(-74.276792144 40.557226949)
7322225,Chase Bank,POINT(-74.292090611 40.584322544)
7368637,Best Nail,POINT(-74.286670405 40.564678041)
647059,Denny's,POINT(-74.29280155 40.58242805)
4505612,Pizza And,POINT(-74.289125133 40.5925638)
942382,US 99 Cent Store,POINT(-74.265839 40.607374)
931801,Rahway City Hall,POINT(-74.2743480206 40.6046671836)
757611,rita's ices,POINT(-74.2879498333 40.5654459833)
1042408,McDonald's,POINT(-74.2933034667 40.5817822667)
1071257,Dunkin' Donuts,POINT(-74.2595489 40.6085707833)
6472377,RadioShack,POINT(-74.289449575 40.592829188)
3125592,Walgreens ,POINT(-74.29304289 40.58405286)
6291665,TD Bank,POINT(-74.290995097 40.569976077)
1563927,Smith & Solomon Truck Driving School,POINT(-74.2495214939 40.6085157394)
7355931,Subworks,POINT(-74.293204865 40.584481601)
199762,Over The Top Roofing Supply,POINT(-74.2799173936 40.6023013005)
899241,Ducoffs Tuxedos,POINT(-74.2936401367 40.5815658569)
58070,Woodbridge Train Station,POINT(-74.2778563499 40.5565668341)
929875,US Post Office,POINT(-74.2748955333 40.60513975)
1042454,7 Eleven,POINT(-74.29377325 40.58206405)
7259773,Makoto Asian Cuisine,POINT(-74.2939764261 40.5807816982)
831430,Aquatic Obsessions,POINT(-74.29404875 40.5779444167)
276038,"Taco Bell, Woodbridge, NJ",POINT(-74.2916697264 40.5695262862)
6586734,Heards Brook Park,POINT(-74.278478622 40.556411958)
7589806,C & T Towing And Auto Repair ,POINT(-74.2711939 40.6070137)
160492,Nancys Townhouse Restaurant,POINT(-74.2740168167 40.6059694)
65741,Pizza Time,POINT(-74.2939477833 40.5754863167)
1343511,Levels Salon,POINT(-74.294521017 40.580493883)
50700,The Shannon Rose,POINT(-74.2915137167 40.5686528)
779764,Power & Fitness Health Club,POINT(-74.28333592 40.60094308)
926049,Cubanu Restaurant & Lounge,POINT(-74.274058342 40.6062473975)
802273,The Home Depot,POINT(-74.2921149731 40.5908998227)
7515007,Adham's Home,POINT(-74.275853108 40.605597127)
6982668,Thai House Rock,POINT(-74.293243 40.588557)
987788,Subway,POINT(-74.282563 40.558345)
7527453,Little Portugal Restaurant,POINT(-74.2733824253 40.606713295)
636945,Colonia Dairy Maid,POINT(-74.2945079 40.5755537333)
561735,Perkins Restaurant & Bakery,POINT(-74.2938882833 40.5729613)
668330,KFC,POINT(-74.2912863 40.592861)
929922,Michelino's Pizzeria,POINT(-74.2757412333 40.6058798667)
926014,Bridges Book Center,POINT(-74.2742165923 40.6065324836)
668324,Wendy's,POINT(-74.2913242333 40.5929258667)
6439316,Gamestop,POINT(-74.291826745 40.568054269)
925590,Flynn's Irish Pub & Steak House,POINT(-74.2742031813 40.606597646)
1084190,MET,POINT(-74.27745115 40.60514956)
668359,Pizza Hut Express,POINT(-74.2914834 40.5928535667)
7540400,Absolute Eyewear,POINT(-74.277770519 40.555091417)
7526482,Wine Country Liquor City,POINT(-74.2922866344 40.5684864521)
891234,Animals and Things,POINT(-74.2933485167 40.570393)
502349,J.J. Bitting Brewing Co,POINT(-74.2771396667 40.5546004833)
624164,Luciano's,POINT(-74.2738107301 40.6070487789)
3108622,Shop Rite,POINT(-74.292400183 40.568200086)
3108610,Shop Rite,POINT(-74.292400183 40.568200086)
7615279,Hotel Indigo,POINT(-74.275774956 40.606394013)
7353577,The Waiting Room,POINT(-74.274644067 40.606958167)
7206334,Galaxy Diner,POINT(-74.290469543 40.595743547)
1218588,Stewart's Root Beer,POINT(-74.289987717 40.596440617)
129673,Rahway Station,POINT(-74.2764796833 40.6065004667)
900034,Mane Street Cigars,POINT(-74.2782211304 40.5544678188)
7611866,The Rail House,POINT(-74.275581837 40.606915312)
899949,United States Post Office,POINT(-74.2786610126 40.5546267757)
3110566,PC Richard & Son,POINT(-74.293386167 40.568486167)
7290470,A Duie Pyle,POINT(-74.2153930664 40.5753314495)
1408204,Pier 1 Imports,POINT(-74.29375645 40.56888445)
2783501,Dunkin' Donuts,POINT(-74.283521684 40.55676304)
426012,Golf Galaxy,POINT(-74.2944719833 40.5688548333)
1230105,La Familia Barber Shop,POINT(-74.28024865 40.554615517)
6949988,"The Associates, LLC",POINT(-74.279627205 40.554115496)
6958794,White Rose Foods,POINT(-74.219669117 40.56377015)
213322,Firehouse Eatery & Pub,POINT(-74.2900000548 40.5984851808)
1945277,Launchpad Creatives,POINT(-74.2802364 40.5541054)
1099910,Muscle Maker Grill,POINT(-74.2951711167 40.5914484333)
1161004,Ashley Furniture,POINT(-74.2559920833 40.6122136833)
244376,Cloverleaf Cemetery,POINT(-74.296503067 40.5707405968)
1314594,Dollar Tree,POINT(-74.2508679628 40.6122922897)
802287,QuickChek,POINT(-74.2906377667 40.59883475)
7385757,Main Bagel,POINT(-74.281571147 40.553954897)
6800099,Mr Applepie,POINT(-74.2763833 40.608758983)
4061818,Main St. Farm,POINT(-74.280857322 40.553446271)
939771,Merck Rahway,POINT(-74.2655045333 40.612114)
191020,Walmart,POINT(-74.24832235 40.6125529167)
853080,Main Street Barbershop - Woodbridge,POINT(-74.28233875 40.5538937333)
4644078,Vladi's Tailor shop,POINT(-74.282311859 40.553863041)
600246,Dunkin' Donuts,POINT(-74.2854947667 40.6042971333)
7398969,Chicken Galore,POINT(-74.281704464 40.553113957)
4503985,Rahway YMCA,POINT(-74.2770677805 40.6093043089)
3024788,Sports Authority,POINT(-74.296813217 40.567748533)
1456882,Casual Male XL,POINT(-74.254286333 40.613916617)
1216297,Roosevelt School,POINT(-74.28840785 40.603369467)
278893,"Colonia Country Club, Colonia, NJ",POINT(-74.2987561226 40.5899873293)
440853,La Malinche,POINT(-74.2766952515 40.6103973389)
1426548,St. James Catholic Church,POINT(-74.282982483 40.552751767)
7614990,Patria,POINT(-74.276051843 40.61083234)
6794676,Union County Performing Arts Center,POINT(-74.276385233 40.610874917)
659196,Bertucci's,POINT(-74.29787898 40.56702601)
1302203,Mei Thai,POINT(-74.283752 40.552685)
1049943,King's Chef,POINT(-74.2977463667 40.566431)
1119465,CVS,POINT(-74.283777 40.552579)
748714,reo diner,POINT(-74.283775 40.552539)
7115061,San Remo Pizza,POINT(-74.285166 40.552994)
6852565,Garibaldi,POINT(-74.285166 40.552994)
230193,"Days Inn, Woodbridge / Iselin, NJ",POINT(-74.2985630035 40.5668286448)
6427211,MonkeySports Superstore,POINT(-74.2959103 40.562511)
4952260,Strikeforce Moriarty,POINT(-74.27264463 40.61303913)
6735239,Wei's Buffet ,POINT(-74.27502014 40.61231341)
764807,Woodbrook Village,POINT(-74.28928265 40.5552058167)
2215461,Party City,POINT(-74.293721 40.559126)
3993274,Brooklyn Pizza,POINT(-74.2897492647 40.6052809954)
6583156,Big Shots,POINT(-74.298302029 40.563945894)
1060570,Beana's Mexican Restaurant,POINT(-74.2880595167 40.60674095)
521077,Butch Kowal's Liqour Store,POINT(-74.2887716167 40.6063306667)
521105,Butch Kowal's Tavern,POINT(-74.2887716167 40.6063306667)
244750,"7-11 Iselin, NJ",POINT(-74.2992925644 40.5650355903)
6351025,Chris Michael Lounge,POINT(-74.294112915 40.558126188)
7004241,Starbucks Coffee,POINT(-74.2986836 40.56355858)
378205,"Jehovah's Witnesses Church, Iselin, NJ",POINT(-74.3001401424 40.5649663123)
7045741,Classic Comics,POINT(-74.2884404 40.6074893)
7595079,Checkers ,POINT(-74.25124683 40.616962387)
7339174,Law Offices Of Steven J Sico,POINT(-74.286869577 40.551601687)
378310,"Staples, Iselin, NJ",POINT(-74.2999792099 40.5642857533)
3107978,Ready Wine & Liquors,POINT(-74.299228167 40.5628437)
251314,Dunkin' Donuts,POINT(-74.2991681 40.5625725333)
1024633,St Georges Veterinary Hospital,POINT(-74.29990649 40.56309223)
108275,Woodbridge Jewelry Exchange,POINT(-74.2969346167 40.5588299667)
6972383,"PP&D Accounting Services, Inc.",POINT(-74.2881026667 40.5511210667)
7290074,Walgreens,POINT(-74.29399758 40.60482627)
7198516,The Disney Store ,POINT(-74.298187 40.559602)
3107162,Modell's Sporting Goods,POINT(-74.299082783 40.560430117)
245253,"The Home Depot, Aviation Mall, Linden, NJ",POINT(-74.249060154 40.6181711056)
291701,Thomasville,POINT(-74.2994546241 40.5607626877)
7417193,Citgo Gas,POINT(-74.301434133 40.563563833)
488569,"Old Navy, Aviation Plaza, Linden, NJ",POINT(-74.2476224899 40.6181059545)
677715,Lowe's,POINT(-74.285009 40.54838)
214337,Target ,POINT(-74.243706 40.617785)
892993,Lens Crafters,POINT(-74.285121 40.548349)
7473146,Strawberry's Pub,POINT(-74.276611556 40.544629438)
788036,Big Nose Kate's Saloon,POINT(-74.21754625 40.5540742333)
300170,Amici,POINT(-74.2655029297 40.6183013916)
443530,CVS,POINT(-74.29203367 40.60763877)
378236,"Church Of Jesus Christ, Iselin, NJ",POINT(-74.3020230532 40.563132455)
4766908,Harlock House,POINT(-74.299304069 40.600921021)
354084,Capital One Bank (@ShopRite),POINT(-74.24657995 40.6186653667)
1019456,Staples,POINT(-74.24768335 40.6188431833)
3611978,Old Bermuda Inn,POINT(-74.217333 40.553635)
275993,José Tejas,POINT(-74.3010601402 40.5611477573)
1328066,JCPenney,POINT(-74.2973399162 40.5566972562)
129386,ShopRite,POINT(-74.24631575 40.6187896833)
3796905,Amici's,POINT(-74.26525015 40.618890533)
488777,"Marshalls, Aviation Mall, Linden, NJ",POINT(-74.2448115349 40.6187167435)
542887,Pathmark,POINT(-74.2233844569 40.5490189494)
415866,99 Cent Place,POINT(-74.2452368833 40.6188877333)
1328322,Lord & Taylor,POINT(-74.2989170551 40.5578791947)
7175195,Five Guys Burgers and Fries,POINT(-74.297348971 40.556081967)
245218,Starbucks,POINT(-74.2487436533 40.6194842937)
7008158,La Buona Pizza,POINT(-74.2750396667 40.5430686667)
6967388,Platinum Entertainment Office,POINT(-74.216902498 40.553193671)
1328020,Hot Topic,POINT(-74.2978227139 40.556322292)
245248,"AT&T, Aviation Mall, Linden, NJ",POINT(-74.2486149073 40.6195962698)
278855,"Merrill Co Park, Woodbridge, NJ",POINT(-74.308218956 40.5791016274)
5991987,Wyndmoor At Woodbridge Condominium,POINT(-74.2822612 40.5455877667)
1563235,The Game Room,POINT(-74.299023983 40.557351133)
772454,FedEx Office,POINT(-74.3020120833 40.5609040833)
1328073,GameStop,POINT(-74.2984342575 40.5565831369)
245219,"Aviation Mall, Linden, NJ",POINT(-74.2463779449 40.619620701)
1328098,Starbucks,POINT(-74.2989063263 40.5568521321)
6591074,Target,POINT(-74.244982383 40.6195882)
6591070,Marshalls,POINT(-74.244982383 40.6195882)
230872,Woodbridge Mall,POINT(-74.2989492416 40.5565586827)
1328085,Chick-fil-A,POINT(-74.2988312244 40.5564282604)
