Name,Games Played,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,EFF,AST/TOV,STL/TOV,Age,Birth_Place,Birthdate,Collage,Experience,Height,Pos,Team,Weight,BMI
Anthony Morrow,74,1806,790,285,615,46.3,141,325,43.4,79,89,88.8,40,155,195,60,54,11,38,135,732,1.58,1.42,30,us,"September 27, 1985",Georgia Institute of Technology,6,192.5,SG,OKC,94.5,25.50177096
Anthony Tolliver,76,1433,482,161,393,41,106,290,36.6,54,69,78.3,51,185,236,59,24,16,51,137,519,1.16,0.47,,,,,,,,,,
Archie Goodwin,41,535,231,79,201,39.3,12,41,29.3,61,83,73.5,27,47,74,44,18,9,48,55,184,0.92,0.38,21,us,"August 17, 1994",University of Kentucky,1,192.5,SG,PHO,90,24.28740091
Arinze Onuaku,6,68,27,12,14,85.7,0,0,0,3,8,37.5,7,14,21,4,1,3,2,6,47,2,0.5,28,us,"July 13, 1987",Syracuse University,1,202.5,C,MIN,114.75,27.98353909
Aron Baynes,70,1122,461,185,327,56.6,1,4,25,90,104,86.5,109,209,318,35,16,22,65,162,631,0.54,0.25,29,nz,"December 9, 1986",Washington State University,2,205,C,SAS,117,27.84057109
Arron Afflalo,78,2502,1035,375,884,42.4,118,333,35.4,167,198,84.3,27,220,247,129,41,7,116,167,803,1.11,0.35,30,us,"October 15, 1985","University of California, Los Angeles",7,192.5,SG,POR,94.5,25.50177096
Austin Daye,34,344,129,50,141,35.5,24,71,33.8,5,6,83.3,10,65,75,17,12,5,23,39,123,0.74,0.52,27,us,"June 5, 1988",Gonzaga University,5,207.5,SF,SAS,99,22.99317753
Austin Rivers,76,1563,530,203,496,40.9,39,131,29.8,85,126,67.5,27,125,152,155,48,14,65,146,500,2.39,0.74,23,us,"August 1, 1992",Duke University,2,190,SG,NOH,90,24.93074792
Avery Bradley,77,2428,1071,434,1013,42.8,124,352,35.2,79,100,79,46,195,241,135,82,15,109,177,835,1.24,0.75,25,us,"November 26, 1990",University of Texas at Austin,4,185,SG,BOS,81,23.66691015
Ben Gordon,56,790,349,129,295,43.7,35,97,36.1,56,67,83.6,6,57,63,50,14,1,55,60,245,0.91,0.26,32,gb,"April 4, 1983",University of Connecticut,10,187.5,SG,ORL,90,25.6
Ben McLemore,82,2670,996,363,831,43.7,140,391,35.8,130,160,81.3,31,210,241,140,77,19,138,219,837,1.01,0.56,22,us,"February 11, 1993",University of Kansas,1,192.5,SG,SAC,87.75,23.68021589
Beno Udrih,79,1494,605,246,505,48.7,26,97,26.8,87,102,85.3,20,123,143,220,46,8,89,88,659,2.47,0.52,,,,,,,,,,
Bernard James,16,158,44,12,27,44.4,0,0,0,20,23,87,18,21,39,4,2,15,6,17,80,0.67,0.33,30,us,"February 7, 1985",Florida State University,2,205,C,DAL,108,25.6989887
Bismack Biyombo,64,1243,304,101,186,54.3,0,0,0,102,175,58.3,159,248,407,16,18,99,52,140,634,0.31,0.35,23,cd,"August 28, 1992",,3,202.5,C,CHA,114.75,27.98353909
Blake Griffin,67,2356,1469,574,1144,50.2,10,25,40,311,427,72.8,126,382,508,354,63,35,152,196,1591,2.33,0.41,26,us,"March 16, 1989",University of Oklahoma,4,205,PF,LAC,112.95,26.87685901
Bojan Bogdanovic,78,1854,700,261,576,45.3,91,256,35.5,87,106,82.1,50,163,213,68,34,9,78,104,612,0.87,0.44,26,ba,"April 18, 1989",,R,200,SF,NJN,97.2,24.3
Boris Diaw,81,1984,708,291,632,46,54,169,32,72,93,77.4,78,270,348,233,36,23,126,148,860,1.85,0.29,33,fr,"April 16, 1982",,11,200,PF,SAS,112.5,28.125
Bradley Beal,63,2107,962,363,851,42.7,106,259,40.9,130,166,78.3,57,184,241,194,76,18,123,136,844,1.58,0.62,22,us,"June 28, 1993",University of Florida,2,192.5,SG,WAS,93.15,25.13745994
Brandan Wright,75,1449,544,233,363,64.2,0,3,0,78,112,69.6,128,193,321,41,50,94,34,102,852,1.21,1.47,,,,,,,,,,
Brandon Bass,82,1929,866,344,683,50.4,9,32,28.1,169,214,79,139,259,398,104,41,32,83,140,974,1.25,0.49,30,us,"April 30, 1985",Louisiana State University,9,200,PF,BOS,112.5,28.125
Brandon Davies,27,423,142,55,137,40.1,8,34,23.5,24,37,64.9,38,45,83,30,18,7,29,59,156,1.03,0.62,24,us,"July 25, 1991",Brigham Young University,1,205,PF,PHI,108,25.6989887
Brandon Jennings,41,1173,632,218,543,40.1,76,211,36,120,143,83.9,21,83,104,272,44,4,90,64,618,3.02,0.49,26,us,"September 23, 1989",,5,182.5,PG,DET,76.5,22.96866204
Brandon Knight,63,2035,1070,375,888,42.2,125,321,38.9,195,223,87.4,28,216,244,330,90,10,189,114,1014,1.75,0.48,24,us,"December 2, 1991",University of Kentucky,3,187.5,SG,PHO,85.05,24.192
Brandon Rush,33,271,30,11,54,20.4,3,27,11.1,5,11,45.5,4,37,41,12,5,12,11,27,40,1.09,0.46,30,us,"July 7, 1985",University of Kansas,6,195,SG,GSW,99,26.03550296
Brendan Haywood,22,119,35,14,30,46.7,0,0,0,7,13,53.8,6,23,29,2,2,10,10,17,46,0.2,0.2,36,us,"November 27, 1979",University of North Carolina,12,210,C,CLE,120.6,27.34693878
Brian Roberts,72,1330,480,176,452,38.9,62,193,32.1,66,74,89.2,13,96,109,162,33,6,57,75,449,2.84,0.58,30,us,"December 3, 1985",University of Dayton,2,182.5,PG,CHA,77.85,23.37399137
Brook Lopez,72,2100,1236,506,987,51.3,1,10,10,223,274,81.4,214,321,535,50,43,126,104,206,1354,0.48,0.41,27,us,"April 1, 1988",Stanford University,6,210,C,NJN,123.75,28.06122449
Bruno Caboclo,8,23,10,4,12,33.3,2,3,66.7,0,0,0,1,1,2,0,0,1,4,3,1,0,0,20,br,"September 21, 1995",,R,202.5,SF,TOR,98.1,23.92318244
Bryce Cotton,15,159,80,29,69,42,7,20,35,15,18,83.3,3,15,18,15,4,0,12,6,62,1.25,0.33,23,us,"August 11, 1992",Providence College,R,182.5,PG,UTA,74.25,22.29311315
C.J. Watson,57,1422,570,181,417,43.4,70,175,40,138,167,82.6,18,145,163,208,57,9,100,107,642,2.08,0.57,31,us,"April 17, 1984",University of Tennessee,7,185,PG,IND,78.75,23.00949598
Cameron Bairstow,18,64,10,3,14,21.4,0,0,0,4,5,80,6,2,8,1,2,1,3,8,7,0.33,0.67,25,au,"December 7, 1990",University of New Mexico,R,202.5,PF,CHI,112.5,27.43484225
Carl Landry,70,1192,503,190,369,51.5,0,0,0,123,150,82,99,169,268,26,15,17,54,132,569,0.48,0.28,32,us,"September 19, 1983",Purdue University,7,202.5,PF,SAC,111.6,27.21536351
Carlos Boozer,71,1692,836,371,743,49.9,0,0,0,94,150,62.7,111,371,482,95,41,12,92,184,946,1.03,0.45,34,de,"November 20, 1981",Duke University,12,202.5,PF,LAL,116.1,28.3127572
Carmelo Anthony,40,1428,966,358,806,44.4,61,179,34.1,189,237,79.7,72,192,264,122,40,17,89,87,824,1.37,0.45,31,us,"May 29, 1984",Syracuse University,11,200,SF,NYK,108,27
Caron Butler,78,1623,460,161,396,40.7,83,219,37.9,55,61,90.2,21,175,196,79,43,4,49,120,492,1.61,0.88,35,us,"March 13, 1980",University of Connecticut,12,197.5,SF,DET,102.6,26.30347701
Cartier Martin,23,198,36,15,53,28.3,6,33,18.2,0,0,0,0,20,20,11,3,1,5,20,28,2.2,0.6,31,us,"November 20, 1984",Kansas State University,6,197.5,SF,DET,99,25.38054799
Chandler Parsons,66,2186,1037,383,829,46.2,132,347,38,139,193,72,64,259,323,161,69,19,96,140,1013,1.68,0.72,27,us,"October 25, 1988",University of Florida,3,205,SF,DAL,103.5,24.6281975
Channing Frye,75,1870,549,191,487,39.2,136,346,39.3,31,35,88.6,27,266,293,94,47,39,78,191,644,1.21,0.6,32,us,"May 17, 1983",University of Arizona,8,207.5,PF,ORL,114.75,26.65118305
Charlie Villanueva,64,678,403,150,362,41.4,83,221,37.6,20,35,57.1,30,119,149,19,15,22,28,64,353,0.68,0.54,,,,,,,,,,
Chase Budinger,67,1286,457,169,390,43.3,52,143,36.4,67,81,82.7,33,165,198,64,44,10,49,72,489,1.31,0.9,27,us,"May 22, 1988",University of Arizona,5,197.5,SF,MIN,94.05,24.11152059
Chris Andersen,60,1132,320,120,207,58,4,13,30.8,76,114,66.7,76,223,299,43,26,61,40,88,584,1.08,0.65,37,us,"July 7, 1978",Blinn College,12,205,C,MIA,110.25,26.2343843
Chris Bosh,44,1556,928,343,745,46,63,168,37.5,179,232,77.2,46,264,310,95,41,25,95,69,849,1,0.43,31,us,"March 24, 1984",Georgia Institute of Technology,11,207.5,C,MIA,105.75,24.56089418
Chris Copeland,50,828,309,112,310,36.1,52,167,31.1,33,45,73.3,23,88,111,51,11,11,59,78,224,0.86,0.19,31,us,"March 17, 1984",University of Colorado,2,202.5,SF,IND,107.55,26.22770919
Chris Douglas-Roberts,12,103,19,5,21,23.8,1,7,14.3,8,8,100,1,11,12,4,1,0,0,14,20,0,0,28,us,"January 8, 1987",University of Memphis,5,197.5,SG,LAC,90,23.07322544
Chris Johnson,29,527,166,62,154,40.3,28,95,29.5,14,16,87.5,8,47,55,15,26,7,15,44,160,1,1.73,25,us,"April 29, 1990",University of Dayton,2,195,SF,PHI,92.7,24.37869822
Chris Kaman,74,1398,638,283,549,51.5,0,0,0,72,102,70.6,149,335,484,65,18,54,108,140,855,0.6,0.17,33,us,"April 28, 1982",Central Michigan University,11,210,C,POR,119.25,27.04081633
Chris Paul,82,2857,1564,568,1170,48.5,139,349,39.8,289,321,90,52,324,376,838,156,15,190,203,2125,4.41,0.82,30,us,"May 6, 1985",Wake Forest University,9,180,PG,LAC,78.75,24.30555556
Chuck Hayes,29,255,50,22,46,47.8,0,0,0,6,11,54.5,18,33,51,20,10,4,8,37,98,2.5,1.25,32,us,"June 11, 1983",University of Kentucky,9,195,C,TOR,108,28.40236686
CJ McCollum,62,973,424,159,365,43.6,55,139,39.6,51,73,69.9,14,77,91,64,43,8,48,81,354,1.33,0.9,24,us,"September 19, 1991",Lehigh University,1,190,SG,POR,90,24.93074792
CJ Miles,70,1841,942,329,827,39.8,154,446,34.5,130,161,80.7,18,196,214,75,60,26,73,132,715,1.03,0.82,28,us,"April 18, 1987",,9,195,SG,IND,101.25,26.62721893
CJ Wilcox,21,101,41,16,38,42.1,7,19,36.8,2,2,100,1,6,7,8,3,1,10,7,28,0.8,0.3,,,,,,,,,,
Cleanthony Early,39,647,210,76,214,35.5,22,84,26.2,36,48,75,22,75,97,36,24,12,40,57,189,0.9,0.6,24,us,"April 17, 1991",Wichita State University,R,200,SF,NYK,94.5,23.625
Clint Capela,12,90,32,14,29,48.3,0,0,0,4,23,17.4,10,26,36,2,1,9,5,14,41,0.4,0.2,21,ch,"May 18, 1994",,R,205,C,HOU,108,25.6989887
Cody Zeller,62,1487,472,172,373,46.1,1,1,100,127,164,77.4,97,265,362,100,34,49,62,156,717,1.61,0.55,,,,,,,,,,
Cole Aldrich,61,976,338,144,301,47.8,0,0,0,50,64,78.1,101,237,338,75,37,65,59,122,623,1.27,0.63,27,us,"October 31, 1988",University of Kansas,4,207.5,C,NYK,112.5,26.12861083
Corey Brewer,80,2087,917,343,805,42.6,63,235,26.8,168,226,74.3,80,217,297,173,114,19,131,173,869,1.32,0.87,29,us,"March 5, 1986",University of Florida,7,202.5,SF,MIN,83.7,20.41152263
Cory Jefferson,50,531,183,75,167,44.9,2,15,13.3,31,54,57.4,47,98,145,16,10,21,20,61,240,0.8,0.5,25,us,"December 26, 1990",Baylor University,R,202.5,PF,NJN,98.1,23.92318244
Cory Joseph,79,1444,535,207,411,50.4,16,44,36.4,105,143,73.4,44,148,192,188,46,17,67,105,669,2.81,0.69,24,ca,"August 20, 1991",University of Texas at Austin,3,187.5,PG,SAS,86.85,24.704
Courtney Lee,77,2354,777,288,643,44.8,90,224,40.2,111,129,86,21,157,178,151,75,12,78,129,742,1.94,0.96,30,us,"October 3, 1985",Western Kentucky University,6,192.5,SG,MEM,90,24.28740091
D.J. Augustin,82,1964,777,258,647,39.9,83,246,33.7,178,205,86.8,20,141,161,353,49,3,145,93,782,2.43,0.34,28,us,"November 10, 1987",University of Texas at Austin,6,180,PG,OKC,82.35,25.41666667
Dahntay Jones,33,123,21,6,21,28.6,0,4,0,9,11,81.8,1,10,11,2,3,0,1,23,19,2,3,35,us,"December 27, 1980",Duke University,10,195,SF,LAC,101.25,26.62721893
Damian Lillard,82,2925,1720,590,1360,43.4,196,572,34.3,344,398,86.4,49,329,378,507,97,21,222,164,1677,2.28,0.44,25,us,"July 15, 1990",Weber State University,2,187.5,PG,POR,87.75,24.96
Damjan Rudez,68,1047,323,119,263,45.2,69,170,40.6,16,23,69.6,8,39,47,53,16,5,47,79,246,1.13,0.34,29,hr,"June 17, 1986",,R,205,SF,IND,102.6,24.41403926
Danilo Gallinari,59,1426,734,228,568,40.1,107,301,35.5,171,191,89.5,31,187,218,83,47,20,57,94,685,1.46,0.83,27,it,"August 8, 1988",,5,205,SF,DEN,101.25,24.0928019
Danny Granger,30,613,188,65,162,40.1,30,84,35.7,28,37,75.7,20,60,80,17,13,6,24,67,174,0.71,0.54,32,us,"April 20, 1983",University of New Mexico,9,202.5,SF,MIA,99.9,24.36213992
Danny Green,81,2312,946,322,738,43.6,191,457,41.8,111,127,87.4,54,289,343,158,101,87,93,163,1110,1.7,1.09,28,us,"June 22, 1987",University of North Carolina,5,195,SG,SAS,96.75,25.44378698
Dante Cunningham,66,1652,340,155,339,45.7,1,10,10,29,47,61.7,70,186,256,50,46,37,35,101,492,1.43,1.31,28,us,"April 22, 1987",Villanova University,5,200,PF,NOH,103.5,25.875
Dante Exum,82,1817,393,145,416,34.9,83,264,31.4,20,32,62.5,27,104,131,198,41,14,118,147,376,1.68,0.35,20,au,"July 13, 1995",,R,195,PG,UTA,85.5,22.4852071
Darius Miller,5,43,2,1,7,14.3,0,1,0,0,0,0,0,1,1,2,1,0,1,8,-1,2,1,25,us,"March 21, 1990",University of Kentucky,2,200,SF,NOH,105.75,26.4375
Darius Morris,38,299,83,36,106,34,7,33,21.2,4,9,44.4,7,20,27,48,9,0,21,20,71,2.29,0.43,24,us,"January 3, 1991",University of Michigan,3,190,PG,NJN,85.5,23.68421053
Darrell Arthur,58,988,382,155,384,40.4,26,110,23.6,46,59,78,53,118,171,57,48,26,47,146,395,1.21,1.02,27,us,"March 25, 1988",University of Kansas,5,202.5,PF,DEN,105.75,25.78875171
Darren Collison,45,1565,725,260,550,47.3,60,161,37.3,145,184,78.8,19,124,143,252,67,14,112,95,760,2.25,0.6,28,us,"August 23, 1987","University of California, Los Angeles",5,180,PG,SAC,78.75,24.30555556
David Lee,49,904,388,160,313,51.1,0,2,0,68,104,65.4,81,176,257,85,31,26,49,83,549,1.74,0.63,32,us,"April 29, 1983",University of Florida,9,202.5,PF,GSW,110.25,26.8861454
David Stockton,3,33,8,2,6,33.3,1,2,50,3,6,50,0,2,2,9,2,0,4,1,10,2.25,0.5,24,us,"June 24, 1991",Gonzaga University,R,177.5,PG,SAC,74.25,23.56675263
David Wear,2,7,0,0,2,0,0,1,0,0,0,0,2,0,2,1,0,0,0,1,1,0,0,,,,,,,,,,
David West,66,1895,769,323,686,47.1,4,20,20,119,161,73.9,108,341,449,223,48,48,120,160,1012,1.86,0.4,35,us,"August 29, 1980",Xavier University,11,202.5,PF,IND,112.5,27.43484225
DeAndre Jordan,82,2820,946,379,534,71,1,4,25,187,471,39.7,397,829,1226,61,81,183,109,245,1949,0.56,0.74,27,us,"July 21, 1988",Texas A&M University,6,207.5,C,LAC,119.25,27.69632748
DeJuan Blair,29,180,56,26,57,45.6,0,0,0,4,6,66.7,16,40,56,3,7,1,13,41,77,0.23,0.54,26,us,"April 22, 1989",University of Pittsburgh,5,197.5,PF,WAS,121.5,31.14885435
DeMar DeRozan,60,2100,1204,409,990,41.3,25,88,28.4,361,434,83.2,41,236,277,210,73,11,137,122,984,1.53,0.53,26,us,"August 7, 1989",University of Southern California,5,197.5,SG,TOR,99.45,25.49591412
DeMarcus Cousins,59,2013,1421,498,1066,46.7,2,8,25,423,541,78.2,185,562,747,210,90,103,254,241,1631,0.83,0.35,25,us,"August 13, 1990",University of Kentucky,4,207.5,C,SAC,121.5,28.2188997
DeMarre Carroll,70,2189,883,318,653,48.7,120,304,39.5,127,181,70.2,99,273,372,118,94,17,75,154,1020,1.57,1.25,29,us,"July 27, 1986",University of Missouri,5,200,SF,ATL,96.75,24.1875
Dennis Schroder,77,1516,768,284,665,42.7,52,148,35.1,148,179,82.7,29,135,164,317,49,4,150,127,740,2.11,0.33,22,de,"September 15, 1993",,1,182.5,PG,ATL,77.4,23.23888159
Deron Williams,68,2114,884,298,771,38.7,87,237,36.7,201,241,83.4,29,208,237,448,64,17,154,157,983,2.91,0.42,,,,,,,,,,
Derrick Favors,74,2280,1187,482,918,52.5,1,6,16.7,222,332,66.9,196,411,607,112,60,123,121,210,1422,0.93,0.5,24,us,"July 15, 1991",Georgia Institute of Technology,4,205,PF,UTA,119.25,28.37596669
Derrick Rose,51,1530,904,338,835,40.5,76,271,28,152,187,81.3,35,126,161,251,36,16,161,63,675,1.56,0.22,27,us,"October 4, 1988",University of Memphis,5,187.5,PG,CHI,85.5,24.32
Derrick Williams,74,1462,617,217,485,44.7,49,156,31.4,134,196,68.4,41,161,202,50,34,4,56,67,521,0.89,0.61,,,,,,,,,,
Devin Harris,76,1685,665,219,524,41.8,95,266,35.7,132,162,81.5,13,122,135,237,78,14,85,147,709,2.79,0.92,32,us,"February 27, 1983",University of Wisconsin,10,187.5,PG,DAL,86.4,24.576
Devyn Marble,16,208,37,14,44,31.8,4,22,18.2,5,16,31.3,5,26,31,17,9,2,9,14,46,1.89,1,23,us,"September 21, 1992",University of Iowa,R,195,SG,ORL,90,23.66863905
Dewayne Dedmon,59,845,216,91,162,56.2,0,1,0,34,64,53.1,118,177,295,9,16,50,51,141,434,0.18,0.31,26,us,"August 12, 1989",University of Southern California,1,210,C,ORL,110.25,25
Dion Waiters,80,2208,940,375,946,39.6,73,246,29.7,117,172,68,41,151,192,163,90,21,113,155,667,1.44,0.8,,,,,,,,,,
Dirk Nowitzki,77,2282,1333,487,1062,45.9,104,274,38,255,289,88.2,44,413,457,143,39,33,82,160,1314,1.74,0.48,37,de,"June 19, 1978",,16,210,PF,DAL,110.25,25
Donald Sloan,53,1107,391,145,355,40.8,41,131,31.3,60,77,77.9,12,131,143,190,23,0,65,47,455,2.92,0.35,27,us,"January 15, 1988",Texas A&M University,3,187.5,PG,IND,92.25,26.24
Donatas Motiejunas,71,2037,855,353,700,50.4,49,133,36.8,100,166,60.2,137,284,421,130,56,34,123,203,960,1.06,0.46,25,lt,"September 20, 1990",,2,210,PF,HOU,99.9,22.65306122
Dorell Wright,48,593,219,72,190,37.9,41,108,38,34,42,81,14,97,111,41,20,11,18,55,258,2.28,1.11,,,,,,,,,,
Doug McDermott,36,321,109,43,107,40.2,13,41,31.7,10,15,66.7,6,37,43,6,4,1,17,29,77,0.35,0.24,23,us,"January 3, 1992",Creighton University,R,200,SF,CHI,101.25,25.3125
Draymond Green,79,2490,921,339,765,44.3,111,329,33.7,132,200,66,114,533,647,291,123,99,133,253,1454,2.19,0.93,25,us,"March 4, 1990",Michigan State University,2,197.5,PF,GSW,103.5,26.53420926
Drew Gooden,51,864,277,110,276,39.9,23,59,39,34,44,77.3,72,151,223,49,21,9,28,91,375,1.75,0.75,34,us,"September 24, 1981",University of Kansas,12,205,PF,WAS,112.5,26.76977989
Drew Gordon,9,71,17,8,19,42.1,0,3,0,1,2,50,7,11,18,2,1,0,8,7,18,0.25,0.13,25,us,"July 12, 1990",University of New Mexico,R,202.5,PF,PHI,110.25,26.8861454
Dwight Buycks,6,123,52,18,40,45,7,11,63.6,9,10,90,2,10,12,14,3,0,12,3,46,1.17,0.25,26,us,"March 6, 1989",Marquette University,1,187.5,PG,LAL,85.5,24.32
Dwight Howard,41,1223,646,251,423,59.3,1,2,50,143,271,52.8,110,321,431,50,28,53,115,137,793,0.44,0.24,30,us,"December 8, 1985",,10,207.5,C,HOU,119.25,27.69632748
Dwight Powell,29,236,90,31,67,46.3,3,11,27.3,25,33,75.8,18,32,50,9,9,6,11,40,109,0.82,0.82,24,ca,"July 20, 1991",Stanford University,R,207.5,PF,DAL,108,25.0834664
Dwyane Wade,62,1971,1331,509,1084,47,29,102,28.4,284,370,76.8,58,161,219,299,73,21,209,105,1073,1.43,0.35,,,,,,,,,,
Earl Barron,16,143,32,12,39,30.8,2,4,50,6,12,50,14,14,28,5,4,2,5,26,33,1,0.8,34,us,"August 14, 1981",University of Memphis,7,210,C,PHO,112.5,25.51020408
Earl Clark,10,93,27,11,30,36.7,4,14,28.6,1,4,25,1,22,23,3,3,4,6,12,32,0.5,0.5,27,us,"January 17, 1988",University of Louisville,5,205,PF,NJN,101.25,24.0928019
Ed Davis,79,1840,656,282,469,60.1,0,0,0,92,189,48.7,230,370,600,94,49,98,58,202,1155,1.62,0.85,26,us,"June 5, 1989",University of North Carolina,4,205,PF,LAL,108,25.6989887
Ekpe Udoh,33,128,29,11,24,45.8,0,0,0,7,9,77.8,7,19,26,8,8,7,7,20,56,1.14,1.14,,,,,,,,,,
