game,platform,developer,genre,number_players,rating,release_date,positive_critics,neutral_critics,negative_critics,positive_users,neutral_users,negative_users,metascore,user_score
Mario Kart 7,3DS,"Retro Studios, Entertainment Analysis & Development Division",Driving,Up to 8 ,E,"Dec  4, 2011",64,9,0,157,45,7,85,83
Star Wars: The Old Republic,PC,"LucasArts, BioWare",Sci-Fi,Massively Multiplayer,T,"Dec 20, 2011",68,5,0,646,216,490,85,59
Saints Row: The Third,PC,Volition Inc.,Action Adventure,2 ,M,"Nov 14, 2011",20,2,0,219,63,24,84,81
SpaceChem,PC,Zachtronics Industries,Miscellaneous,No Online Multiplayer,,"Mar  2, 2011",11,2,0,45,3,2,84,85
Super Street Fighter IV: Arcade Edition,PC,"Capcom, QLOC",Action,,T,"Jul  7, 2011",10,1,0,18,3,5,84,77
Football Manager 2012,PC,Sports Interactive,Sports,,E,"Oct 20, 2011",43,2,0,22,5,4,84,79
Unity of Command,PC,2x2 Games,Strategy,,,"Nov 15, 2011",7,0,0,11,10,5,84,71
The Binding of Isaac,PC,"Edmund McMillen, Florian Himsl",Action,No Online Multiplayer,,"Sep 28, 2011",28,2,0,194,34,23,84,84
Trine 2,PC,"Frozenbyte, Inc.",Action,,E10+,"Dec  7, 2011",51,4,0,84,14,4,84,84
Rift,PC,Trion Worlds,Role-Playing,Online Multiplayer,T,"Mar  1, 2011",56,3,0,121,51,47,84,73
Shift 2: Unleashed,PC,Slightly Mad Studios,Driving,,E10+,"Mar 29, 2011",23,1,0,29,14,37,84,62
Anno 2070,PC,"Blue Byte, Related Designs",Strategy,Online Multiplayer,T,"Nov 17, 2011",29,4,0,69,27,51,83,71
Orcs Must Die!,PC,Robot Entertainment,Action,No Online Multiplayer,T,"Oct 11, 2011",22,3,0,93,19,3,83,81
Terraria,PC,Re-Logic,Action,Up to 8 ,T,"May 16, 2011",25,4,0,495,53,26,83,86
L.A. Noire: The Complete Edition,PC,Rockstar Leeds,Action Adventure,No Online Multiplayer,M,"Nov  8, 2011",23,5,0,114,54,30,83,79
VVVVVV,3DS,Terry Cavanagh,Action,1 Player,E,"Dec 29, 2011",18,1,0,9,8,0,83,80
F1 2011,PC,Codemasters,Driving,,E,"Sep 19, 2011",8,2,0,8,3,4,83,71
The Book of Unwritten Tales,PC,KING Art,Adventure,,T,"Oct 28, 2011",28,4,0,31,4,2,82,83
Cave Story 3D,3DS,Nicalis,Action,No Online Multiplayer,E10+,"Nov  8, 2011",26,3,0,15,0,0,82,82
Gemini Rue,PC,"Wadjet Eye Games, Joshua Nuernberger",Adventure,,,"Feb 24, 2011",21,3,0,40,7,3,82,84
Dragon Age II,PC,BioWare,Role-Playing,No Online Multiplayer,M,"Mar  8, 2011",38,7,0,364,291,1017,82,45
Skylanders: Spyro's Adventure,3DS,Vicarious Visions,Action,,E10+,"Oct 16, 2011",8,0,0,4,3,8,82,50
Monday Night Combat,PC,Uber Entertainment,Action,1 Player,T,"Jan 24, 2011",9,1,0,10,8,4,82,73
Bulletstorm,PC,"Epic Games, People Can Fly",General,,M,"Feb 21, 2011",30,4,0,110,39,34,82,77
Fallout: New Vegas - Old World Blues,PC,Obsidian Entertainment,Role-Playing,,M,"Jul 19, 2011",14,3,0,29,10,5,82,77
To the Moon,PC,Freebird Games,Role-Playing,No Online Multiplayer,,"Nov  1, 2011",22,4,0,209,17,15,81,89
Star Fox 64 3D,3DS,Nintendo,Action,4  Online,E10+,"Sep  9, 2011",56,9,0,53,17,3,81,81
Rochard,PC,Recoil Games,Action,,T,"Nov 15, 2011",14,2,0,24,6,2,81,79
Jamestown: Legend of the Lost Colony,PC,"Final Form Games, LLC",Action,,,"Jun  8, 2011",17,3,0,29,9,2,81,75
TrackMania 2 Canyon,PC,Nadeo,Driving,,E,"Sep 14, 2011",30,7,0,11,3,6,81,77
Dungeon Defenders,PC,Trendy Entertainment,Role-Playing,,E10+,"Oct 18, 2011",21,5,0,82,28,29,81,73
Anomaly: Warzone Earth,PC,11 bit studios,Strategy,,E10+,"Apr  8, 2011",30,6,0,27,10,5,80,73
Dead Island,PC,Techland,Action Adventure,4  Online,M,"Sep  5, 2011",18,6,0,197,97,82,80,69
Assassin's Creed: Revelations,PC,Ubisoft Montreal,Action Adventure,,M,"Nov 29, 2011",15,5,0,62,53,26,80,74
World of Tanks,PC,Wargaming.net,First-Person,,T,"Apr 12, 2011",29,9,0,101,50,327,80,36
"Warhammer 40,000: Dawn of War II - Retribution",PC,Relic,Strategy,,M,"Feb 28, 2011",42,10,0,33,18,8,80,77
Panzer Corps,PC,The Lordz Games Studio,Strategy,1-2 ,,"Jul 11, 2011",10,2,0,22,1,5,80,75
Driver: San Francisco,PC,Ubisoft Reflections,Driving,,T,"Sep 27, 2011",10,1,0,37,16,13,80,71
CAPSIZED,PC,Alientrap,Action,No Online Multiplayer,,"Apr 29, 2011",16,3,0,14,10,5,80,72
Dead or Alive: Dimensions,3DS,Team Ninja,Action,2  Online,T,"May 24, 2011",48,14,0,24,2,3,79,81
Runaway: A Twist of Fate,PC,Pendulo Studios,Adventure,1 Player,T,"Apr 21, 2011",13,2,0,4,2,0,79,79
Bloodline Champions,PC,Stunlock Studios,Action,,,"Jan 13, 2011",12,1,0,23,9,5,79,77
Dungeons of Dredmor,PC,Gaslamp Games,Role-Playing,,,"Jul 13, 2011",13,5,0,47,19,4,79,77
Rage,PC,id Software,Action,Up to 4 ,M,"Oct  3, 2011",24,7,1,206,145,321,79,53
The Sims 3: Pets,PC,The Sims Studio,Simulation,,T,"Oct 18, 2011",13,5,0,5,2,3,79,61
Mighty Switch Force!,3DS,WayForward,Action,1 Player,E10+,"Dec 22, 2011",25,5,0,7,4,0,79,78
Two Worlds II: Pirates of the Flying Fortress,PC,Reality Pump,Role-Playing,,M,"Sep 30, 2011",8,0,1,8,2,1,78,75
Call of Duty: Modern Warfare 3,PC,"Infinity Ward, Sledgehammer Games",Action,,M,"Nov  8, 2011",19,7,0,348,169,1181,78,27
Shin Megami Tensei: Devil Survivor Overclocked,3DS,Atlus,Role-Playing,No Online Multiplayer,T,"Aug 23, 2011",19,7,1,18,4,3,78,43
Tropico 4,PC,"Haemimont, Haemimont Games",Strategy,No Online Multiplayer,T,"Aug 30, 2011",32,14,0,45,26,14,78,78
Tom Clancy's Ghost Recon: Shadow Wars,3DS,Ubisoft,Action,,T,"Mar 22, 2011",35,14,0,24,2,1,77,79
Sonic Generations,PC,Sega,Action,No Online Multiplayer,E,"Nov  3, 2011",8,3,0,97,19,8,77,83
Men of War: Assault Squad,PC,"THQ, 1C, 1C Company",Strategy,,T,"Feb 25, 2011",13,8,0,20,5,2,77,80
3D Classics: Kirby's Adventure,3DS,Arika,Action,1 Player,E,"Nov 17, 2011",5,2,0,11,2,0,77,79
Section 8: Prejudice,PC,TimeGate Studios,Action,No Online Multiplayer,T,"May  4, 2011",18,4,0,29,14,5,77,77
Might & Magic: Heroes VI,PC,Black Hole Games,Role-Playing,,T,"Oct 13, 2011",37,11,0,78,37,65,77,60
Pro Evolution Soccer 2012,PC,Konami,Sports,,,"Sep 27, 2011",8,5,0,8,2,4,77,65
Xenonauts,PC,"Gamethunks, Goldhawk Interactive",General,No Online Multiplayer,,"Nov  4, 2011",15,5,1,30,9,8,77,79
Magic: The Gathering - Duels of the Planeswalkers 2012,PC,Stainless Games,Strategy,,T,"Jun 15, 2011",12,8,0,17,11,23,77,58
The Sims Medieval,PC,The Sims Studio,Simulation,No Online Multiplayer,T,"Mar 22, 2011",35,21,0,24,14,16,77,60
Hamilton's Great Adventure,PC,Fatshark AB,Adventure,No Online Multiplayer,E,"May 31, 2011",7,3,0,6,2,0,77,74
From Dust,PC,Ubisoft Montpellier,Strategy,1 Player,E10+,"Aug 17, 2011",10,5,0,38,41,83,76,49
Renegade Ops,PC,Avalanche Studios,Action,,T,"Oct 26, 2011",4,3,0,12,3,1,76,75
LEGO Star Wars III: The Clone Wars,PC,Traveller's Tales,Action Adventure,,E10+,"Mar 22, 2011",10,4,0,4,1,1,76,76
Red Orchestra 2: Heroes of Stalingrad,PC,Tripwire Interactive,Action,Online Multiplayer,M,"Sep 13, 2011",31,17,1,174,50,77,76,73
Who's That Flying?!,PC,Mediatonic,Action,,,"Jan 31, 2011",4,3,0,2,0,0,76,67
Payday: The Heist,PC,Overkill Software,Action,,M,"Oct 20, 2011",10,7,0,110,30,13,76,77
Two Worlds II,PC,Reality Pump,Role-Playing,Online Multiplayer,M,"Feb  3, 2011",19,12,0,31,37,22,76,64
Avadon: The Black Fortress,PC,Spiderweb Software,Role-Playing,1 Player,,"May  2, 2011",4,4,0,14,6,2,75,77
Black Mirror III: Final Fear,PC,"DTP Entertainment, Cranberry Production",Adventure,,M,"Apr 19, 2011",10,5,0,2,0,1,75,79
Red Faction: Armageddon,PC,Volition Inc.,Action,1 Player,M,"Jun  6, 2011",18,11,0,46,29,20,75,67
Bit.Trip Saga,3DS,Gaijin Games,Miscellaneous,,E,"Sep 13, 2011",13,8,0,4,0,1,75,79
Back to the Future: The Game - Episode V: OUTATIME,PC,Telltale Games,Action Adventure,,RP,"Jun 23, 2011",10,6,1,8,2,0,75,72
Atom Zombie Smasher,PC,Blendo Games,Strategy,No Online Multiplayer,T,"Jan 23, 2011",4,3,0,30,3,7,75,71
Fable III,PC,Lionhead Studios,Role-Playing,1 Player,M,"May 17, 2011",23,16,0,35,38,67,75,55
Ridge Racer 3D,3DS,Namco Bandai Games,Driving,,E,"Mar 22, 2011",33,26,0,15,9,2,75,73
Nano Assault,3DS,Shin'en,Action,,E10+,"Dec  5, 2011",5,3,0,5,2,0,75,77
Alice: Madness Returns,PC,Spicy Horse,Action Adventure,1 Player,M,"Jun 14, 2011",17,12,0,110,27,12,75,84
Hector: Badge of Carnage - Episode 1: We Negotiate With Terrorists,PC,Straandlooper,Action,,,"Apr 27, 2011",14,9,0,4,0,1,75,71
The Next Big Thing,PC,Pendulo Studios,Adventure,,E10+,"Apr 21, 2011",20,10,0,4,1,1,75,77
Back to the Future: The Game - Episode II: Get Tannen!,PC,Telltale Games,Action Adventure,,RP,"Feb 17, 2011",12,8,1,4,3,0,74,73
Edge (2011),PC,"Two Tribes, Mobigame",Action,No Online Multiplayer,,"Aug 11, 2011",6,6,0,6,5,0,74,75
Tetris Axis,3DS,Hudson Soft,Miscellaneous,1-8 ,E,"Oct  2, 2011",17,15,1,7,1,2,74,69
Space Pirates and Zombies,PC,MinMax Games Ltd.,Adventure,,,"Jun 19, 2011",6,6,0,37,20,3,74,76
Magicka,PC,Arrowhead Game Studios,Action Adventure,,T,"Jan 25, 2011",26,17,1,108,43,26,74,76
"Warhammer 40,000: Space Marine",PC,Relic,Action,16  Online,M,"Sep  5, 2011",20,14,0,127,46,21,74,75
F.E.A.R. 3,PC,Day 1 Studios,Modern,1 Player,M,"Jun 21, 2011",20,14,0,30,51,40,74,58
Rock of Ages,PC,ACE Team,Action,,E10+,"Sep  7, 2011",9,8,0,15,12,2,74,77
Fortix 2,PC,Nemesys,Action Adventure,,,"May  6, 2011",7,0,1,3,6,1,74,70
Deus Ex: Human Revolution - The Missing Link,PC,Eidos Montreal,Action Adventure,,M,"Oct 18, 2011",7,7,0,16,13,5,73,73
Hector: Badge of Carnage - Episode 2: Senseless Acts of Justice,PC,Straandlooper,Action,,,"Aug 25, 2011",8,7,0,1,0,0,73,66
LEGO Pirates of the Caribbean: The Video Game,PC,Traveller's Tales,Action Adventure,1 Player,E10+,"May 24, 2011",6,5,0,0,1,0,73,69
The Blackwell Deception,PC,Wadjet Eye Games,Adventure,,,"Oct 12, 2011",5,5,0,4,0,0,73,78
Hard Reset,PC,Flying Wild Hog,Action,,M,"Sep 13, 2011",28,20,1,59,35,16,73,73
Pro Evolution Soccer 2011 3D,3DS,Konami,Sports,,E,"Mar 25, 2011",19,24,0,3,4,0,73,69
Solar 2,PC,Murudai,Action,,,"Jun 17, 2011",6,1,1,5,11,4,72,71
Serious Sam 3: BFE,PC,Croteam,Action,1 Player,,"Nov 22, 2011",27,26,0,170,28,7,72,82
Blocks That Matter,PC,Swing Swing Submarine,Action,,,"Aug 19, 2011",5,3,0,9,7,1,72,73
DC Universe Online,PC,WBIE,Role-Playing,Massively Multiplayer,T,"Jan 11, 2011",13,13,1,53,23,31,72,68
Gray Matter,PC,Wizarbox,Adventure,,T,"Feb 22, 2011",17,9,1,10,3,2,72,77
Dungeon Siege III,PC,Obsidian Entertainment,Role-Playing,4  Online,T,"Jun 20, 2011",16,20,1,36,38,106,72,47
Test Drive Unlimited 2,PC,Eden,Driving,,T,"Feb  8, 2011",10,9,0,26,22,39,72,57
FIFA Manager 12,PC,Bright Future GmbH,Sports,,E,"Oct 18, 2011",6,4,1,1,2,3,72,40
Nintendogs + Cats: French Bulldog & New Friends,3DS,Nintendo,Simulation,,E,"Mar 27, 2011",13,27,0,4,1,1,71,71
Back to the Future: The Game - Episode III: Citizen Brown,PC,Telltale Games,Action Adventure,,E,"Mar 28, 2011",12,9,2,3,3,0,71,59
Nintendogs + Cats: Toy Poodle & New Friends,3DS,Nintendo,Simulation,,E,"Mar 27, 2011",14,29,0,4,1,0,71,71
Nintendogs + Cats: Golden Retriever & New Friends,3DS,Nintendo,Simulation,,E,"Mar 27, 2011",13,29,0,8,6,0,71,73
WWE All Stars,3DS,THQ,Action,,T,"Nov 22, 2011",4,8,0,1,2,1,71,69
LEGO Harry Potter: Years 5-7,3DS,Traveller's Tales,Action Adventure,No Online Multiplayer,E10+,"Nov 11, 2011",2,5,0,1,2,1,71,68
Nuclear Dawn,PC,Interwave Studios,Action,,M,"Sep 22, 2011",10,13,2,42,9,9,71,76
LEGO Pirates of the Caribbean: The Video Game,3DS,Traveller's Tales,Action Adventure,1 Player,E10+,"May 10, 2011",7,8,1,5,4,1,71,71
Ace Combat: Assault Horizon Legacy,3DS,Project Aces ,Action,,T,"Nov 15, 2011",15,20,2,5,0,0,71,78
Black Mirror II: Reigning Evil,PC,Cranberry Studios,Adventure,,T,"Feb  8, 2011",7,6,1,4,1,1,71,77
Pilotwings Resort,3DS,Monster Games Inc.,Simulation,,E,"Mar 27, 2011",24,40,0,23,15,2,71,72
Back to the Future: The Game - Episode IV: Double Visions,PC,Telltale Games,Action Adventure,,RP,"Apr 29, 2011",6,10,1,2,2,1,71,61
Hector: Badge of Carnage - Episode 3: Beyond Reasonable Doom,PC,Straandlooper,Action,,,"Sep 22, 2011",4,7,0,1,0,0,70,75
Age of Empires Online,PC,Gas Powered Games,Strategy,,E10+,"Aug 16, 2011",17,27,0,29,12,36,70,57
Sanctum (2011),PC,Coffee Stain Studios,Action,,,"Apr 15, 2011",11,11,0,46,16,12,70,67
Take On Helicopters,PC,Bohemia Interactive,Simulation,,T,"Oct 16, 2011",6,4,0,7,2,2,70,67
Cities in Motion,PC,Colossal Order,Simulation,No Online Multiplayer,E,"Feb 22, 2011",10,9,1,17,4,8,70,77
Brink,PC,Splash Damage,Action,16  Online,T,"May  9, 2011",17,19,2,135,62,80,70,60
The Sims 3: Generations,PC,The Sims Studio,Simulation,1 Player,T,"May 31, 2011",9,12,1,4,2,3,70,37
Fallout: New Vegas - Dead Money,PC,Obsidian Entertainment,Role-Playing,,M,"Feb 22, 2011",4,7,0,19,19,21,70,63
Before the Echo,PC,Iridium Studios,Action,,,"Oct 20, 2011",3,4,0,17,8,3,70,74
Homefront,PC,Digital Extremes,Action,,M,"Mar 14, 2011",13,20,3,68,65,86,70,55
Pride of Nations,PC,"Paradox Interactive, AGEOD",Strategy,1 Player,T,"Jun  7, 2011",5,9,0,3,2,4,70,56
Fate of the World,PC,Red Redemption,Strategy,,,"Feb 28, 2011",6,4,1,6,4,1,70,76
Sengoku,PC,Paradox Development Studio,Strategy,,T,"Sep 13, 2011",5,8,0,27,8,11,70,68
Need for Speed: The Run,PC,Black Box,Driving,,T,"Nov 15, 2011",8,10,0,32,19,32,69,60
Shinobi,3DS,Griptonite Games,Action,No Online Multiplayer,T,"Nov 15, 2011",18,13,2,8,5,0,69,74
Q.U.B.E.,PC,Toxic Games,Miscellaneous,,,"Dec 17, 2011",10,16,0,22,19,3,69,75
Lume,PC,State of Play Games,Miscellaneous,,,"May  9, 2011",2,5,0,2,4,8,69,50
Forsaken World,PC,Perfect World Entertainment,Role-Playing,,,"Mar 22, 2011",4,3,0,17,14,21,69,50
Runespell: Overture,PC,Mystic Box,Role-Playing,,,"Jul 20, 2011",5,9,0,9,3,3,69,69
Earth Defense Force: Insect Armageddon,PC,Vicious Cycle,Action,,T,"Dec 14, 2011",4,5,1,7,4,1,69,72
"Freakyforms: Your Creations, Alive!",3DS,"Asobism, Co. ltd.",Miscellaneous,1 Player,E,"Nov 10, 2011",2,8,0,7,0,0,68,77
3D Classics: TwinBee,3DS,Arika,Action,1 Player,E,"Sep 22, 2011",3,2,2,2,0,0,68,75
Mount & Blade: With Fire & Sword,PC,Taleworlds,Role-Playing,,T,"May  3, 2011",7,16,1,20,26,10,68,69
Men of War: Vietnam,PC,Best Way,Strategy,,T,"Sep  8, 2011",5,12,2,5,2,3,68,52
Battlefield: Play4Free,PC,Digital Illusions,Action,,,"Mar 10, 2011",5,6,0,8,3,99,68,20
Oil Rush,PC,"Unigine Corp, Russia",Strategy,,,"Sep 23, 2011",10,11,2,13,7,6,67,65
Xotic,PC,WXP,Action,,,"Sep 16, 2011",3,4,0,16,2,2,67,76
Railworks 3: Train Simulator 2012,PC,RailSimulator.com,Simulation,,E,"Sep 23, 2011",3,5,1,14,2,8,67,64
FIFA Soccer 12,3DS,EA Sports,Sports,2  Online,E,"Sep 27, 2011",2,9,2,0,1,2,67,39
The Sims Medieval: Pirates & Nobles,PC,The Sims Studio,Simulation,,T,"Aug 30, 2011",7,5,1,3,0,1,67,47
Mahjong Cub3d,3DS,SunSoft,Miscellaneous,,E,"Oct 11, 2011",3,7,1,0,1,0,67,53
LEGO Star Wars III: The Clone Wars,3DS,Traveller's Tales,Action Adventure,,E10+,"Mar 27, 2011",6,19,0,3,5,2,67,61
Operation Flashpoint: Red River,PC,Codemasters,Action,4  Online,M,"Jun  6, 2011",10,13,2,7,6,21,67,49
Sonic Generations,3DS,"Sega, Dimps Corporation",Action,2  Online,E,"Nov 22, 2011",9,18,2,19,24,6,66,67
The Lord of the Rings: War in the North,PC,Snowblind Studios,Role-Playing,3  Online,M,"Nov  1, 2011",4,16,1,45,24,23,66,71
Dragon Age II: Legacy,PC,BioWare,Role-Playing,,M,"Jul 26, 2011",4,6,1,6,6,19,66,43
Fallout: New Vegas - Honest Hearts,PC,Obsidian Entertainment,Role-Playing,,M,"May 17, 2011",3,7,2,11,18,5,66,67
Dead Rising 2: Off the Record,PC,Capcom Vancouver,Action Adventure,,M,"Oct 11, 2011",3,6,1,8,6,4,66,57
Serious Sam Double D,PC,Mommy's Best Games,Action,,,"Aug 30, 2011",9,10,2,6,6,0,66,75
Dungeons,PC,Realmforge Studios,Strategy,,M,"Feb 10, 2011",13,19,3,10,14,22,65,46
Need for Speed: The Run,3DS,Firebrand Games,Driving,Up to 4 ,E10+,"Nov 15, 2011",1,7,1,2,0,0,65,63
Darkspore,PC,Maxis,Role-Playing,4  Online,T,"Apr 25, 2011",13,38,1,38,12,13,65,60
Resident Evil: The Mercenaries 3D,3DS,Capcom,Action Adventure,2 ,M,"Jun 28, 2011",15,50,4,29,15,9,65,65
Hoard,PC,"Big Sandwich Games, Inc.",Action,,E,"Apr  4, 2011",5,12,2,6,4,1,65,72
Cargo! The Quest for Gravity,PC,Ice-Pick Lodge,Miscellaneous,,T,"Apr 21, 2011",5,12,1,1,2,0,64,70
Serious Sam: The Random Encounter,PC,"Croteam, Vlambeer",Action,,,"Oct 24, 2011",2,8,1,5,0,4,64,64
SpongeBob Squigglepants 3D,3DS,WayForward,Miscellaneous,,E,"May 17, 2011",1,6,1,2,2,0,64,57
BlazBlue: Continuum Shift II,3DS,Arc System Works,Action,,T,"May 31, 2011",3,9,2,3,1,1,64,62
Hydrophobia Prophecy,PC,Dark Energy Digital,Action Adventure,,M,"May  9, 2011",9,7,2,19,23,16,64,60
Supreme Ruler: Cold War,PC,BattleGoat Studios,Strategy,16  Online,RP,"Jul 19, 2011",0,12,0,5,4,2,63,68
The Baconing,PC,Hothead Games,Action,No Online Multiplayer,T,"Aug 31, 2011",1,8,0,1,2,2,63,52
Harvest Moon 3D: The Tale of Two Towns,3DS,Marvelous Entertainment,Strategy,,E,"Nov  1, 2011",2,12,0,5,1,5,63,64
Puzzle Agent 2,PC,Telltale Games,Miscellaneous,,,"Jun 30, 2011",5,14,3,3,9,1,63,69
Mass Effect 2: Arrival,PC,BioWare,Role-Playing,,M,"Mar 29, 2011",1,9,1,7,7,5,63,61
The Tiny Bang Story,PC,Colibri Games,Adventure,1 Player,,"Apr 22, 2011",3,7,2,8,7,4,63,72
Let's Golf 3D,3DS,Gameloft,Sports,1-2 ,E,"Jul 28, 2011",3,6,2,1,0,0,62,65
Chantelise: A Tale of Two Sisters,PC,EasyGameStation,Role-Playing,,,"Jul 29, 2011",2,10,1,10,1,6,62,70
Gabrielle's Ghostly Groove 3D,3DS,Santa Entertainment,Action,,E,"Oct  4, 2011",2,6,1,2,0,0,62,74
Breach (2011),PC,Atomic Games,Action,,T,"Jan 26, 2011",2,8,2,13,6,8,61,58
Rayman 3D,3DS,Ubisoft Casablanca,Action,,E,"Mar 22, 2011",6,28,5,10,6,5,61,64
Hunted: The Demon's Forge,PC,InXile Entertainment,Action Adventure,2  Online,M,"May 30, 2011",1,18,2,29,19,13,61,66
Cities XL 2012,PC,"Monte Cristo Multimedia, Monte Cristo",Strategy,,E,"Oct 20, 2011",1,17,0,3,16,14,61,56
E.Y.E: Divine Cybermancy,PC,Streum On Studio,Role-Playing,,RP,"Jul 29, 2011",5,12,5,33,23,16,61,69
Venetica,PC,Deck 13,Role-Playing,No Online Multiplayer,T,"Jan 25, 2011",2,13,2,6,6,2,61,68
Samurai Warriors Chronicles,3DS,Omega Force,Action,No Online Multiplayer,T,"Mar 27, 2011",5,23,2,16,0,1,61,78
Magicka: Vietnam,PC,Arrowhead Game Studios,Fantasy,,T,"Apr 12, 2011",2,5,1,2,2,0,60,67
James Noir's Hollywood Crimes,3DS,Ubisoft,Miscellaneous,,T,"Nov  1, 2011",3,16,3,0,3,0,60,67
Storm: Frontline Nation,PC,SimBin,Strategy,,,"Jun 10, 2011",3,8,1,2,0,1,60,72
Off-Road Drive,PC,Avalon Style,Driving,,,"Sep 29, 2011",1,8,1,2,0,1,60,65
Pyramids,3DS,Visual Impact,Miscellaneous,1 Player,E,"Oct 27, 2011",4,2,2,1,1,0,60,60
IL-2 Sturmovik: Cliffs of Dover,PC,1C: Maddox Games,Simulation,64+  Online,T,"Apr 26, 2011",3,7,3,42,6,19,60,71
Pac-Man & Galaga Dimensions,3DS,Namco Bandai Games,Action,,E10+,"Jul 26, 2011",4,16,5,5,3,0,60,71
inMomentum,PC,Digital Arrow,Miscellaneous,,,"Oct 31, 2011",1,6,1,6,2,5,59,52
F1 2011,3DS,Codemasters,Driving,,E,"Dec  6, 2011",1,9,5,2,1,0,59,64
Faery: Legends of Avalon,PC,Spiders,Role-Playing,,E10+,"May  6, 2011",0,7,3,1,4,0,59,66
Ignite,PC,Nemesys,Driving,,,"Oct 28, 2011",1,7,1,3,4,1,59,60
Steel Diver,3DS,"Nintendo, Vitei",Action,,E10+,"Mar 27, 2011",4,43,8,5,4,2,58,62
DualPenSports,3DS,Indies Zero ,Sports,,E10+,"Jun 21, 2011",1,7,3,0,0,0,58,35
Cartoon Network: Punch Time Explosion,3DS,"Papaya Studios, Papaya Studio",Action,1 Player,E10+,"Jun  2, 2011",2,11,3,6,8,5,58,57
The First Templar,PC,"Haemimont, Haemimont Games",Action Adventure,1 Player,T,"May 12, 2011",1,16,2,4,9,4,57,59
3D Classics: Xevious,3DS,Arika,Action,,E,"Jul 21, 2011",2,5,3,2,0,1,56,58
The Adventures of Tintin: The Game,3DS,Ubisoft Montpellier,Adventure,,E10+,"Dec  6, 2011",0,6,2,0,0,0,56,52
APB: Reloaded,PC,"Reloaded Productions, Reloaded Games Inc., Reloaded Games",Role-Playing,,M,"Dec  1, 2011",1,9,2,47,23,64,56,57
Pirates of Black Cove,PC,Nitro Games,Strategy,,T,"Aug  2, 2011",3,13,5,2,6,3,56,58
Pokemon Rumble Blast,3DS,Ambrella,Action,1-2 ,E10+,"Oct 24, 2011",1,26,9,11,8,2,56,69
Edna & Harvey: The Breakout,PC,Daedalic Entertainment,Adventure,1 Player,T,"Jan  3, 2011",0,6,1,4,4,0,56,65
Super Monkey Ball 3D,3DS,Sega,Action,,E,"Mar 27, 2011",8,33,16,2,12,4,55,55
Thor: God of Thunder,3DS,Red Fly Studio,Action,1 Player,T,"Sep 13, 2011",2,6,2,1,0,1,55,42
Rabbids Travel in Time 3D,3DS,Ubisoft,Action,1 Player,E,"Apr 10, 2011",1,20,5,2,4,0,55,62
Crasher,PC,Punchers Impact,Simulation,,,"Jan 28, 2011",1,5,2,0,1,0,55,70
The Cursed Crusade,PC,Kylotonn,Action Adventure,,M,"Oct 25, 2011",0,5,2,4,0,1,55,57
