Name,Origin,Description
Bridie,United Kingdom (Forfar),"a Scottish meat pastry that originates from Forfar, Scotland. Bridies are said ""to have been 'invented' by a Forfar baker in the 1850s"". The name may refer to the pie's frequent presence on wedding menus, or to Margaret Bridie of Glamis, ""who sold them at the Buttermarket in Forfar."" They are similar to pasties, but because they are made without potatoes, are much lighter in texture."
Briouat,Morocco,A sweet puff pastry and part of Moroccan cuisine
Bruttiboni,"Italy (Prato, central Italy)",Almond-flavored biscuit
Bundevara,Serbia,"A pie filled with pumpkin, and could refer to either a savijača (made of rolled filo) or a štrudla (made of rolled dough). Both sweet and salty pies are made."
Burek,,see Börek
Canelé,France (Bordeaux),"A small pastry with a soft and tender custard center and a dark, thick caramelized crust."
Cannoli siciliani,Italy (Sicily),"Cannoli consist of tube-shaped shells of fried pastry dough, filled with a sweet, creamy filling usually containing ricotta. They range in size from ""cannulicchi"", no bigger than a finger, to the fist-sized proportions typically found in Piana degli Albanesi, south of Palermo, Sicily."
Carac,Switzerland (French),"A Swiss pastry made of chocolate, usually found in the French part of Switzerland."
Charlotte,France,"A type of trifle that can be served hot or cold. It can also be known as an ""ice-box cake"". Sweet Bread, sponge cake or biscuits/cookies are used to line a mold, which is then filled with a fruit puree or custard."
ChaSan,China (Huai'an),"A traditional Chinese pastry that is popular in Jiangsu Province, China, and especially in Huai'an, a historic city which is considered as the home of Chasan."
Chatti Pathiri,India (Kerala),"A layered pastry made in the North Malabar and Malabar region, of Kerala State. It is made in both sweet and savory variations. The dish is very similar to the Italian lasagna. Instead of pasta; pastry sheets or pancakes made with flour, egg, oil and water are used."
Cherry pie,"United States, Europe","A pie baked with a cherry filling. Traditionally, cherry pie is made with tart rather than sweet cherries as it is easier to control how sweet the pie eventually becomes and also eventually translates to a sharper taste. Morello cherries are one of the most common kinds of cherry used, but others, like the native black cherry, are also occasionally utilized."
Chin Chin,Nigeria,"A crunchy snack consisting of small finely cut pieces of dough which is then deep fried. Dough majorly consists of wheat flour, milk, sugar, eggs and sometimes nut-meg or flavour. It may be cut into strips or tiny squares."
Chorley cake,"United Kingdom (Chorley, Lancashire)","Chorley cakes are flattened, fruit-filled pastry cakes, traditionally associated with the town of Chorley in Lancashire, England. They are a close relative of the more widely known Eccles cake, but have some significant differences. The Chorley cake is significantly less sweet than its Eccles cousin, and is commonly eaten with a light spread of butter on top, and perhaps a slice of Lancashire cheese on the side."
Chouquette,France,Viennoiserie consisting of a small portion of choux pastry sprinkled with pearl sugar and sometimes filled with custard or mousse. A chouquette can also be dipped in chocolate or covered in chocolate chips.
Chou à la crème,France,"A light pastry dough used to make profiteroles, croquembouches, éclairs, French crullers, beignets, St. Honoré cake, Indonesian kue sus, churros and gougères. It contains only butter, water, flour, and eggs. In lieu of a raising agent it employs high moisture content to create steam during cooking to puff the pastry."
Cinnamon Roll,Sweden,"A Cinnamon roll (also cinnamon bun, cinnamon swirl, cinnamon Danish and cinnamon snail) is a sweet roll served commonly in Northern Europe and North America. In North America its common use is for breakfast. Its main ingredients are flour, cinnamon, sugar, and butter, which provide a robust and sweet flavor. In some places it is eaten as a breakfast food and is often served with cream cheese or icing."
Coca,Spain,"Typically made and consumed in territories of Catalan culture. There are many diverse cocas, with four main varieties: sweet, savory, closed and open."
Conejito,Chile,"Similar to berliner but baked in the oven, not fried."
Cornish pasty,United Kingdom (Cornwall),"Sometimes known as a ""pastie"" or ""British pasty"" in the United States, is a filled pastry case, associated in particular with Cornwall in Great Britain. It is made by placing the uncooked beef & potatoes, onions, swede filling on a flat pastry circle, and folding it to wrap the filling, crimping the edge at the side or top to form a seal. The result is a raised semicircular end-product."
Conversation,France,"A patisserie developed in the late 18th century that is made with puff pastry, filled with a frangipane cream, and topped with royal icing."
Coussin de Lyon,France (Lyon),"A sweet specialty of Lyon composed of chocolate and marzipan. Pictured is Coussin de Lyon with dark green netting, filled with a chocolate ganache flavored with curacao."
Cream horn,,"A pastry made with flaky or puff pastry, filled with fruit or jam and whipped cream. The horn shape is made by winding overlapping pastry strips around a conical mold. After baking, a spoonful of jam or fruit is added and the pastry is then filled with whipped cream. The pastry can also be moistened and sprinkled with sugar before baking for a sweeter, crisp finish."
Crêpes Suzette,France,"a French dessert consisting of a crêpe with beurre Suzette (pronounced[bœʁ syzɛt]), a sauce of caramelized sugar and butter, tangerine or orange juice, zest, and Grand Marnier or orange Curaçao liqueur. It is often served “flambé.”"
Crocetta of Caltanissetta,Sicily (Caltanissetta),"Sweet disappeared and rediscovered in 2014. The ingredients of the crocetta (""small cross"") are typical of the area of Caltanissetta at the beginning of the last century. They are: almonds, sugar, sweet lemon puree, oranges or other fruit typical of the area, pistachio, and powdered sugar. The crocetta is produced in two variants: lemon flavored and covered in powdered sugar, or orange flavored and topped with ground pistachio."
Croissant,France,"A buttery flaky bread named for its distinctive crescent shape. Croissants are made of a leavened variant of puff pastry. The yeast dough is layered with butter, rolled and folded several times in succession, then rolled into a sheet, a technique called laminating. Croissants have long been a staple of French bakeries and pâtisseries. The Kipferl – ancestor of the croissant – has been documented in Austria going back at least as far as the 13th century, in various shapes. The Kipferl can be made plain or with nut or other fillings (some consider the rugelach a form of Kipferl). The ""birth"" of the croissant itself – that is, its adaptation from the plainer form of Kipferl, before its subsequent evolution (to a puff pastry) – can be dated with some precision to at latest 1839 (some say 1838), when an Austrian artillery officer, August Zang, founded a Viennese Bakery (""Boulangerie Viennoise"") at 92, rue de Richelieu in Paris. This bakery, which served Viennese specialities including the Kipferl and the Vienna loaf, quickly became popular and inspired French imitators (and the concept, if not the term, viennoiserie, a 20th-century term for supposedly Vienna-style pastries). The French version of the Kipferl was named for its crescent (croissant) shape."
Croline,,A flaky (typically puff) pastry filled with various (traditionally) salty or spicy fillings. Normally the top side of the pastry is latticed. Both sweet and savory croline varieties exist.
Cronut,United States,A croissant-doughnut pastry attributed to New York City.
Croquembouche,France,"A traditional dessert in French cuisine, its name comes from the French words croque en bouche, meaning 'crunch in the mouth'. A form of choux pastry that is generally served as a high-piled cone of chocolate, cream-filled profiteroles all bound together with threads of caramel. It is also decorated with sugared almonds, chocolate, flowers, or ribbons; sometimes also covered in macarons or ganache. It is traditionally served during wedding reception."
Cuban pastelito,Cuba,"A baked puff pastry filled with sweet or savory fillings. Traditional fillings include cream cheese, guava, seasoned ground beef, and coconut. The sweet fillings are made with sweetened fruit pulps."
Curry puff,Southeast Asia,"A Southeast Asian snack. It is a small pie consisting of specialised curry with chicken and potatoes in a deep-fried or baked pastry shell, and it looks like the Portuguese stuffed bread called Empanada. The curry is quite thick to prevent it from oozing out of the snack."
Dabby-Doughs,,"Traditionally made using the remnants of the dough leftovers from making the pie, they can also be prepared in large amounts by simply making a batch of pastry dough. The filling of a dabby-dough typically consists of a mixture of cinnamon and white sugar sprinkled on butter or margarine, rolled, sliced and baked."
Danish pastry,Denmark,"A sweet pastry, of Viennese origin, which has become a speciality of Denmark and neighboring Scandinavian countries. Called 'facturas' in Argentina and neighbouring countries (of which 'tortitas negras' are a type). Pictured is a pecan and maple Danish pastry"
Djevrek,Ottoman Empire,A ring-shaped bread-pastry covered with sesame seeds. Typically consumed as a breakfast or snack dish. Similar to simit.
Dutch letter,Netherlands,"Typically prepared using flour, eggs and butter or puff pastry as its base and filled with almond paste, dusted with sugar and shaped in an ""S"" or other letter shape. It was introduced into the United States by Dutch immigrants in the mid 19th century."
"Dutch Baby Pancake (sometimes called a German pancake, a Bismarck, or a Dutch puff)",United States by German Americans,"A large Popover, often made with apples."
Eccles cake,United Kingdom (Eccles),"A small, round cake filled with currants and made from flaky pastry with butter, which is sometimes topped with demerara sugar."
Éclair,France (likely),"An oblong pastry made with choux dough filled with a cream and topped with icing. The dough, which is the same as that used for profiterole, is typically piped into an oblong shape with a pastry bag and baked until it is crisp and hollow inside. Once cool, the pastry then is filled with a coffee- or chocolate-flavoured pastry cream (crème pâtissière), custard, whipped cream, or chiboust cream; and iced with fondant icing. The éclair probably originated in France during the nineteenth century."
Empanada,Spain,"A stuffed bread or pastry baked or fried in many countries in Western Europe, Latin America, and parts of Southeast Asia. The name comes from the Spanish verb empanar, meaning to wrap or coat in bread. Empanada is made by folding a dough or bread patty around the stuffing. The stuffing usually consists of a variety of meat, cheese, huitlacoche, vegetables or fruits, among others. Empanadas trace their origins to Galicia and Portugal. They first appeared in mediaeval Iberia during the time of the Moorish invasions. A cookbook published in Catalan in 1520, the Libre del Coch by Ruperto de Nola, mentions empanadas filled with seafood among its recipes of Catalan, Italian, French, and Arabian food. In turn, it is believed that empanadas and the similar calzones are both derived from the Indian meat-filled pies, samosas."
Ensaïmada,Balearic Islands,"A common cuisine eaten in most former Spanish territories in Latin America and the Philippines, prepared using strong (high protein) flour, water, sugar, eggs, mother dough and a kind of reduced pork lard named saïm. In Ibiza there is a sweet called greixonera made with ensaimada pieces left over from the day before."
Fa gao,China,"A Chinese cupcake-type pastry made with rice flour and yeast, the batter is typically left to rest for fermentation (such as overnight) prior to being steam-cooked. Commonly consumed on the Chinese New Year."
"Fazuelos, Fijuelas, or Deblas",Jewish (Sephardic),"A fried thin dough made of flour and a large number of eggs. A traditional Jewish pastry, the Sephardic equivalent to the Ashkenazi hamantashen. In Israel, hamantaschen are called Oznei Haman (Hebrew: אוזני המן‎), Hebrew for ""Haman's ears"" in reference to their defeated enemy's ears, and they represent his pockets, his hat, and the dice used to cast lots. They are usually eaten for Purim, although some families eat them at the end of Yom Kippur. Turkish Jews add brandy to the dough and Moroccan Jews eat them with cinnamon and syrup."
Fig roll,Egypt (Ancient),"An ancient Egyptian pastry, filled with fig paste. Pictured is a mass-produced product. Forerunner of the Fig Newton"
Flaky pastry,,"In baking, a flaky pastry (also known as a ""quick puff pastry"" or ""blitz puff pastry"") is a light, flaky, unleavened pastry, similar to a puff pastry. The main difference is that in a flaky pastry, large lumps of shortening (approximately 1-in./2½ cm. across), are mixed into the dough, as opposed to a large rectangle of shortening with a puff pastry."
Flaugnarde,France,a baked French dessert with fruit or nuts arranged in a buttered dish and covered with a thick flan-like batter.
Flaons,Spain,"Flaons have different shapes, and fillings usually consist of some type of cheese, varying according to the location. Sweet flaons are usually sweetened with sugar, but honey was traditionally used more often. Historically the first recorded mention of these cakes is from 1252 and they are mentioned as well in Ramon Llull's book Blanquerna, written in 1283."
Flies graveyard,United Kingdom,"""Flies Graveyard"" or ""Flies Cemetery"" are nicknames used in various parts of the United Kingdom for sweet pastries filled with currants or raisins, which are the ""flies"" in the ""graveyard"" or ""cemetery"". The mixture is similar to sweet mince pies."
Franzbrötchen,Germany (northern),"Commonly found in northern Germany, especially Hamburg, Franzbrötchen is a small, sweet pastry, baked with butter and cinnamon. Sometimes other ingredients are used, such as chocolate or raisins."
Galette,France,"Galette is a term used in French cuisine to designate various types of flat, round or freeform crusty cakes. One of the most known is the ""galette des rois""."
Gâteau Basque,France (Basque region),Gâteau Basque is typically constructed from layers of an almond flour based cake with a filling of either pastry cream or preserved cherries.
Şorqoğal,Azerbaijan,Şor qoğal is traditional food from Azerbaijan which consist of dough thin layers with different flavors and butter between the layers.
Gibanica,Balkans,"A traditional Serbian pastry dish, usually made with white cheese, now popular throughout the Balkans. Recipes can range from sweet to savory, and from very simple to festive and elaborate multi-layered cakes."
Gujiya,India,"A traditional Indian pastry, typically prepared by filling a round, flat pastry with a sweet filling made of dried fruits, grated coconut and condensed milk solids. It is usually fried in ghee, and sometimes soaked in sugar syrup. It is popular in the northern part of India during the festival of Holi."
Gözleme,Turkey,"A savory traditional Turkish handmade and hand-rolled pastry. Fresh pastry is rolled out, filled and sealed, then cooked over a griddle. Fillings include spinach, feta cheese, minced meat, egg and other foodstuffs."
Gulab jamun,India,"Found in India and eaten in other parts of South-Asia. It is a deep fried ball of milk curd dough, soaked in sugar syrup."
Gundain,Tibet,"A pastry in Tibetan cuisine made from barley grain and yeast (fermented into a light barley beer), with tsampa, dry curd cheese, wild ginseng and brown sugar. This pastry is often served during the Tibetan New Year and Losar as a starter."
Gustavus Adolphus pastry,Sweden,"Pastry named for King Gustavus Adolphus of Sweden, eaten every year on his memorial day, Gustavus Adolphus Day, 6 November. There are different recipes, but what they all have in common is a portrait of the king on top, made in chocolate or marzipan."
Gyeongju bread,"South Korea (Gyeongju City, Hwanghae)","Gyeongju bread is a common name for what's also called ""Hwangnam bread"". The pastry is named after Hwanghae Province, the province of its origin, which was divided into the North and South Hwanghae Provinces in 1954. A local specialty of Gyeongju City, South Korea. A small pastry with a filling of red bean paste. Gyeongju bread was first baked in 1939 at a bakery in Hwangnam-dong in central Gyeongju. It has since become popular across the country and is produced by several different companies, all based in Gyeongju."
Haddekuche,"Germany (Frankfurt, Hesse)","A traditional pastry made in Frankfurt, Hesse, Germany, it is typically a diamond-shaped gingerbread. The word Haddekuche means ""hard cake"". This is because it tends to dry relatively quickly and then become very hard."
Hamantash,Jewish (Ashkenazi),"A filled-pocket cookie or pastry in Ashkenazi Jewish cuisine recognizable for its three-cornered shape. They typically have a filling in the center. including poppy seed (the oldest and most traditional variety), prunes, nut, date, apricot, apple, fruit preserves, cherry, chocolate, dulce de leche, halva, or even caramel or cheese. Their formation varies from hard pastry to soft doughy casings."
Hellimli,Cyprus,A Cypriot savory pastry made with Halloumi cheese.
Heong Peng,Malaysia,"Heong Peng resemble slightly flattened balls, contain a sweet sticky filling made from malt and shallots, which is covered by a flaky baked crust and garnished with sesame seeds on the surface. Popular with the Malaysian Chinese community, especially those in Northern Peninsular Malaysia."
Hot water crust pastry,United Kingdom,"Hot water crust is a type of pastry used for savory pies, such as pork pies, game pies and, more rarely, steak and kidney pies. Hot water crust is traditionally used for making hand-raised pies. The pastry is made by heating water, melting the fat in this, bringing to the boil, and finally mixing with the flour. When baked, the crust acquires a rich, shiny, golden-brown exterior, which is fairly crisp and water-resistant. This allows the pies to be filled with a savoury jelly or gravy as they cool, often through a central hole in the crust made expressly for the purpose during raising."
Huff paste,United Kingdom,"Huff paste was a cooking technique that involved making a stiff pie shell or ""coffin"" using a mixture of flour, suet (raw beef or mutton fat), and boiling water. When cooked, a tough protective layer was created around the food inside. The pastry would often be discarded as it was virtually inedible. Its main purpose was to create a solid container for the pie's ingredients. A dish from Wiltshire called the Devizes Pie, is layered forcemeat or offal cooked under a huff paste."
Inipit,Philippines,"Inipit is a flat pastry made of flour, milk, lard, and sugar. Guiguinto, Bulacan is known for its inipit."
Jachnun,Jewish (Yemen),"A traditional Yemenite Jewish dish prepared from rolled dough which is baked on very low heat for about ten hours. The dough is rolled out thinly, brushed with shortening (traditionally, clarified butter or samneh), and rolled up, similar to puff pastry. Pictured is Jachnun served with fresh grated tomato and skhug."
Jalebi,"India, Pakistan","A sweet popular in India and some other parts of South-Asia. It is made by deep-frying batter in pretzel or circular shapes, which are then soaked in syrup. They have a somewhat chewy texture with a crystallized sugary exterior coating. Citric acid or lime juice is sometimes added to the syrup, as well as rosewater or other flavours such as kewra water."
Jesuite,France,"A triangular, flake pastry filled with frangipane cream and topped with sliced almonds and powdered sugar. The pastry originated in France and the name refers to the triangular shape of a Jesuit’s hat."
Joulutorttu,Finland,A Christmas pastry that is traditionally made from puff pastry in the shape of a star or pinwheel and filled with prune jam and often dusted with icing sugar
Kalács,Hungary,"A Hungarian sweet bread very similar to brioche, usually baked in a braided form, and traditionally considered an Easter food. Until the end of the 19th century, the preparation of kalács was similar to that of everyday bread; the difference was in the shape, and in the higher-quality flour used for the kalács. Nowadays kalács are prepared from a richer dough, and enriched with milk and eggs as well. Kalács are baked in an oven or brick oven, sometimes directly on the stones of the brick oven, or on a baking sheet."
Kanafeh,Middle East,"A Palestinian sweet made of very fine vermicelli-like pastry. It is sometimes known as shredded filo. Kanafeh, along with the closely related qata'if, is recorded in medieval Arab cookbooks from various regions. It has also been a staple of the cuisines of the former Ottoman Empire in the Eastern Mediterranean. Several variations of the dish exist."
Karakudamono,Japan,A Japanese term used to collectively describe assorted pastry confections of Chinese origin (also called togashi) that were introduced to Japan through the efforts of an envoy to Tang China
Kifli,"Slovakia, Hungary","Diós kifli, mákos kifli, also known as Pozsonyi kifli are crescent shaped sweet leavened pastries filled with a sweet walnut (diós) or poppy (mákos) paste. (Pozsony was the Hungarian name of Bratislava during the Austro-Hungarian Empire). They are a variety of beigli, very similar in flavor but different in shape and size. Vaníliás kifli is a small soft cookie made from a dough of ground nuts, instead of flour. It is usually made with walnuts but almonds are more often used outside of Hungary. Once baked they are rolled in vanilla flavored confectioners' sugar before allowed to cool."
Klobasnek,Czech,"A savory finger food of Czech origin. A klobasnek is often thought to be a variation of the kolache (koláče); however, most Czechs hold the distinction that kolache are only filled with non-meat fillings. Klobasniky are similar in style to a pigs in a blanket or sausage roll, but wrapped in kolache dough."
Knieküchle,Germany,"A traditional German fried dough pastry that is very popular in Old Bavaria, Franconia, Western Austria and Thuringia, typically made with yeast dough, but some recipes vary slightly; a common variation is the addition of raisins. The dough is then shaped in a way so it is very thin in the middle and thicker on the edges. They are then fried in boiling lard and dusted with confectioner's sugar. In Austria it is eaten with apricot marmalade. According to legend the name derives from the practice of baker women from Franconia that stretched the dough over their knees very thinly so they could read love letters through it."
Knish,Eastern Europe,"An Eastern European snack food consisting of a filling covered with dough that is either baked, grilled, or deep fried. In most Eastern European traditional versions, the filling is made entirely of mashed potato, ground meat, sauerkraut, onions, kasha (buckwheat groats), or cheese. Other varieties of fillings include sweet potatoes, black beans, fruit, broccoli, tofu, or spinach. Knishes may be round, rectangular, or square. They may be entirely covered in dough or some of the filling may peek out of the top. Sizes range from those that can be eaten in a single bite hors d'oeuvre to sandwich-sized."
Kolache,Central Europe,"Holds a dollop of fruit rimmed by a puffy pillow of supple dough. Originating as a semisweet wedding dessert from Central Europe, they have become popular in parts of the United States. The Polish version is the kołacz. The word kolache itself means 'a small cookie' in Macedonian."
Kolompeh,Iran,"Kolompeh looks like a pie with a mixture of minced dates with cardamom powder and other flavoring inside. Dates, wheat flour, walnuts and cooking oil are the main ingredients."
Kołacz,Poland,"A traditional Polish pastry, originally a wedding cake that has made its way into American homes around the Christmas and Easter holidays. The pastry is a light and flaky dough filled with a variety of sweet and savory fillings such as apricot, raspberry, prune, sweet cheese, poppy seed or even a nut mixture. The Polish pastry is made from a unique dough that combines cream cheese with butter and flour. Variants of the traditional Slavic pastry have found entrance into many Central and Eastern European cuisines."
Komaj sehen,Iran (Kerman Province),Prepared with dates and various nuts
Kouign-amann,France (Brittany),"A Breton cake containing layers of butter and sugar folded in, similar in fashion to puff pastry albeit with fewer layers. The sugar caramelizes during baking. The name derives from the Breton words for cake (""kouign"") and butter (""amann"")."
Krempita,Balkans,"A well-known dessert from the Balkans, specifically the former Yugoslavia. The dish is usually prepared with puff pastry dough."
Kringle,Scandinavia,"A Scandinavian pastry, a Nordic variety of pretzel, which arrived with Roman Catholic monks in the 13th century, especially in Denmark. It developed further into several kinds of sweet, salty or filled pastries. The word originates from the Old Norse kringla, meaning ring or circle."
Kroštule,Croatia,"A traditional pastry from Dalmatia and Istria, made by deep frying the prepared dough."
Kūčiukai,Lithuania,"A traditional Lithuanian pastry served on Kūčios, the traditional Christmas Eve dinner in Lithuania. They are small slightly sweet pastries made from leavened dough and poppy seeds. There are variations in sweetness, and though usually served soaked in poppy seed milk, they are also eaten without it."
Kürtőskalács,Transylvania,"Also known as ""chimney cake"", ""stove cake"", or ""Hungarian wedding cake"", baked on a tapered cylindrical spit over an open fire. Kürtőskalács originated from Transylvania. The dough is yeast-raised, flavored with sweet spices, the most common being cinnamon, topped with walnuts or almonds, and sugar. The sugar is caramelized on the kürtöskalács surface, creating a sweet, crisp crust."
Ladies' navels,Turkey,"Ladies' navels (kadın göbeği) are balls of choux pastry which are given a dimple, deep-fried and then soaked in syrup. Other Turkish pastries have sensuous names such as young girls' breasts (kız memesi) and lips of the beauty (dilber dudağı)."
Lattice,,"A pastry used in a criss-crossing pattern of strips in the preparation of various foods. Latticed pastry is used as a type of lid on many various tarts and pies. The openings between the lattice allows fruit juices in pie fillings to evaporate during the cooking process, which can caramelize the filling. Pictured is a strawberry-rhubarb pie with lattice pastry."
Laugencroissant (lye-glazed croissant),,
Leipziger Lerche,Germany,"A pastry of Leipzig, Germany, the name originates from the singing bird lark (German:Lerche), which was roasted with herbs and eggs or served as a filling in pastries. In the year 1720 alone, 400,000 larks were sold in Leipzig as a delicacy. A typical version consists of a shortcrust filled with a mixture of crushed almonds, nuts and a cherry. The cherry symbolises the heart of the bird. It is topped with a grid of two crossed dough strips. The term Leipziger Lerche has been protected by the saxonian bakery guild since 2004."
Linzer torte,Austria,"A torte with a lattice design on top of the pastry, named after the city of Linz, Austria. A very short, crumbly pastry made of flour, unsalted butter, egg yolks, lemon zest, cinnamon and lemon juice, and ground nuts, usually hazelnuts, but even walnuts or almonds are used, covered with a filling of redcurrant jam or, alternatively, plum butter, thick raspberry, or apricot jam."
Lotus seed bun,China,"A Chinese pastry found in China, prepared by steaming a yeast-based dough and contain a lotus seed filling. It can be classified as a dim sum, though not exclusively so."
Ma'amoul,Middle East,"Ma'amoul are small shortbread pastries filled with dates, pistachios or walnuts (or occasionally almonds, figs, or other fillings). They are popular in Levantine cuisine and in the Persian Gulf countries. They may be in the shape of balls or of domed or flattened cookies."
Macaron,France,"These have a debated origin but the earliest form of modern macaron was likely baked in France in the 1800s. French macarons are made with a mixture of almond flour and confectioners' sugar which is folded into a meringue of stiffly beaten egg whites. This mixture is tinted with food coloring and baked into disks, which are sandwiched with buttercream, ganache, or curd. Known for its smooth skin, ruffled feet, and delicate texture."
Makmur,"Malaysia, Singapore and Brunei","Traditional Malay kuih made from butter, ghee and flour, and served during special occasion of Eid al-Fitr. Makmur is identified with its white colour and usually in a round shape."
Makroudh,North Africa,"A pastry of Tunisian origin eaten in North African countries such as Tunisia, Algeria and in some parts of Libya. Makroudh are often filled with dates or almonds."
Malsouka,North Africa,"A Tunisian pastry. Sheets of malsouqa are usually sold in stacks wrapped in cellophane. Malsouqa are used to make samosa and brik (a Tunisian savory pastry), in addition to dishes with a variety of other fillings."
Mandelkubb,Sweden,"A Swedish pastry with almond as the main ingredient, mixed with flour, sugar, eggs and baker's ammonia."
Mantecadas,Spain,"Spongy pastry similar to a muffin, but flatter. The best known mantecadas are from northwestern Spain, being a traditional product of the city of Astorga, province of León, as well as the nearby Maragateria comarca. They taste very much like pound cake. Pictured are commercial mantecadas."
Marillenknödel,Central Europe,"A pastry found in the traditional Bohemian and Viennese cuisines. ""Marillen"" is the Austrian term for apricots and this pastry is found predominantly in areas where apricot orchards are common. Examples of such areas would include the Wachau and Vinschgau. Small dumplings are formed from dough, in which apricots are placed. The dumplings are then boiled and covered in streusel and powdered sugar. The dough is usually made of potato but is also made from ""Topfenteig"" (quark cheese)."
