academic.year,school,cost
1996,Medical/Dental,23192
1997,Medical/Dental,24150
1998,Medical/Dental,25200
1999,Medical/Dental,26000
2000,Medical/Dental,27000
2001,Medical/Dental,28000
2002,Medical/Dental,29000
2003,Medical/Dental,30500
2004,Medical/Dental,32000
2005,Medical/Dental,34250
2006,Medical/Dental,35800
2007,Medical/Dental,37200
2008,Medical/Dental,38600
2009,Medical/Dental,39900
2010,Medical/Dental,42500
2011,Medical/Dental,45050
2012,Medical/Dental,47500
2013,Medical/Dental,49875
2014,Medical/Dental,52100
2015,Medical/Dental,54200
2016,Medical/Dental,55850
2017,Medical/Dental,58050
1985,Public Health (1-Year MPH),8300
1986,Public Health (1-Year MPH),8826
1987,Public Health (1-Year MPH),9600
1988,Public Health (1-Year MPH),10575
1989,Public Health (1-Year MPH),11470
1990,Public Health (1-Year MPH),12515
1991,Public Health (1-Year MPH),13570
1992,Public Health (1-Year MPH),14790
1993,Public Health (1-Year MPH),15675
1994,Public Health (1-Year MPH),16775
1995,Public Health (1-Year MPH),17770
1996,Public Health (1-Year MPH),18840
1997,Public Health (1-Year MPH),19800
1998,Public Health (1-Year MPH),20890
1999,Public Health (1-Year MPH),21895
2000,Public Health (1-Year MPH),22950
2001,Public Health (1-Year MPH),23980
2002,Public Health (1-Year MPH),25050
2003,Public Health (1-Year MPH),26300
2004,Public Health (1-Year MPH),27670
2005,Public Health (1-Year MPH),29300
2006,Public Health (1-Year MPH),30620
2007,Public Health (1-Year MPH),31800
2008,Public Health (1-Year MPH),34085
2009,Public Health (1-Year MPH),35403
2010,Public Health (1-Year MPH),36125
2011,Public Health (1-Year MPH),37230
2012,Public Health (1-Year MPH),38675
2013,Public Health (1-Year MPH),42160
2014,Public Health (1-Year MPH),45900
2015,Public Health (1-Year MPH),50320
2016,Public Health (1-Year MPH),55125
2017,Public Health (1-Year MPH),56880
