_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,birthplace,birthplace:confidence,date_of_birth,date_of_birth:confidence,race_ethnicity,race_ethnicity:confidence,religion,religion:confidence,sexual_orientation,sexual_orientation:confidence,year_of_award,year_of_award:confidence,award,biourl,birthplace_gold,date_of_birth_gold,movie,person,race_ethnicity_gold,religion_gold,sexual_orientation_gold,year_of_award_gold
670454371,FALSE,finalized,3,2/10/15 4:02,"Sucha, Galicia, Austria",0.6667,22-Jun-06,1,White,1,Jewish,1,Straight,1,1946,1,Best Director,http://www.nndb.com/people/982/000024910/,,,The Lost Weekend,Billy Wilder,,,,
670454372,FALSE,finalized,3,2/10/15 2:12,"Mulhouse, Haut-Rhin, Alsace, France",1,1-Jul-1902,1,White,1,Na,1,Straight,1,1947,1,Best Director,http://www.nndb.com/people/463/000032367/,,,The Best Years of Our Lives,William Wyler,,,,
670454373,FALSE,finalized,3,2/10/15 1:46,"Istanbul, Turkey",1,7-Sep-09,1,White,1,Na,1,Straight,1,1948,1,Best Director,http://www.nndb.com/people/537/000026459/,,,Gentleman's Agreement,Elia Kazan,,,,
670454374,TRUE,golden,82,,"Nevada, Mo",1,5-Aug-06,1,White,1,Na,1,Straight,1,1949,1,Best Director,http://www.nndb.com/people/704/000024632/,,5-Aug-06,The Treasure of the Sierra Madre,John Huston,,,,
670454375,FALSE,finalized,3,2/10/15 3:50,"Wilkes-Barre, Pa",1,11-Feb-09,1,White,1,Jewish,1,Straight,1,1950,1,Best Director,http://www.nndb.com/people/723/000032627/,,,A Letter to Three Wives,Joseph L. Mankiewicz,,,,
670454376,FALSE,finalized,3,2/10/15 1:51,"Wilkes-Barre, Pa",1,11-Feb-09,1,White,1,Jewish,1,Straight,1,1951,1,Best Director,http://www.nndb.com/people/723/000032627/,,,All About Eve,Joseph L. Mankiewicz,,,,
670454377,FALSE,finalized,3,2/10/15 2:15,"Oakland, Ca",1,18-Dec-04,1,White,1,Na,1,Straight,1,1952,1,Best Director,http://www.nndb.com/people/382/000044250/,,,A Place in the Sun,George Stevens,,,,
670454378,FALSE,finalized,3,2/10/15 2:15,"Cape Elizabeth, Me",1,1-Feb-1894,1,White,1,Roman Catholic,1,Bisexual,1,1953,1,Best Director,http://www.nndb.com/people/458/000032362/,,,The Quiet Man,John Ford,,,,
670454379,FALSE,finalized,3,2/10/15 1:57,"Vienna, Austria",1,29-Apr-07,1,White,1,Jewish,1,Straight,1,1954,1,Best Director,http://www.nndb.com/people/538/000032442/,,,From Here to Eternity,Fred Zinnemann,,,,
670454380,FALSE,finalized,3,2/10/15 3:50,"Istanbul, Turkey",1,7-Sep-09,1,White,1,Na,1,Straight,1,1955,1,Best Director,http://www.nndb.com/people/537/000026459/,,,On the Waterfront,Elia Kazan,,,,
670454381,FALSE,finalized,3,2/10/15 3:53,"Lawrence, Ks",1,30-Jan-20,1,White,1,Presbyterian,1,Straight,1,1956,1,Best Director,http://www.nndb.com/people/384/000044252/,,,Marty,Delbert Mann,,,,
670454382,FALSE,finalized,3,2/10/15 3:50,"Oakland, Ca",1,18-Dec-04,1,White,1,Na,1,Straight,1,1957,1,Best Director,http://www.nndb.com/people/382/000044250/,,,Giant,George Stevens,,,,
670454383,FALSE,finalized,3,2/10/15 2:07,"Croydon, Surrey, England",0.6667,25-Mar-08,1,White,1,Na,1,Straight,0.6667,1958,1,Best Director,http://www.nndb.com/people/462/000032366/,,,The Bridge on the River Kwai,David Lean,,,,
670454384,FALSE,finalized,3,2/10/15 1:52,"Chicago, Il",1,28-Feb-1903,1,White,1,Na,1,Bisexual,1,1959,1,Best Director,http://www.nndb.com/people/825/000032729/,,,Gigi,Vincente Minnelli,,,,
670454385,FALSE,finalized,3,2/10/15 1:55,"Mulhouse, Haut-Rhin, Alsace, France",1,1-Jul-1902,1,White,1,Na,1,Straight,1,1960,1,Best Director,http://www.nndb.com/people/463/000032367/,,,Ben-Hur,William Wyler,,,,
670454386,TRUE,golden,87,,"Sucha, Galicia, Austria",1,22-Jun-06,1,White,1,Jewish,0.963,Straight,1,1961,1,Best Director,http://www.nndb.com/people/982/000024910/,"Sucha, Galicia, Austria",22-Jun-06,The Apartment,Billy Wilder,,Jewish,,1961
670454387,FALSE,finalized,3,2/10/15 1:55,"Winchester, In",1,10-Sep-14,1,White,1,Na,1,Straight,1,1961,0.6667,Best Director,http://www.nndb.com/people/460/000032364/,,,West Side Story,Robert Wise,,,,
670454388,FALSE,finalized,3,2/10/15 2:05,"Croydon, Surrey, England",1,25-Mar-08,1,White,1,Na,1,Straight,1,1963,1,Best Director,http://www.nndb.com/people/462/000032366/,,,Lawrence of Arabia,David Lean,,,,
670454389,FALSE,finalized,3,2/10/15 1:57,"Shipley, Yorkshire, England",1,5-Jun-28,1,White,1,Na,1,Bisexual,1,1964,1,Best Director,http://www.nndb.com/people/249/000043120/,,,Tom Jones,Tony Richardson,,,,
670454390,FALSE,finalized,3,2/10/15 1:52,New York City,1,7-Jul-1899,1,White,1,Na,0.6571,Gay,0.6571,1965,1,Best Director,http://www.nndb.com/people/373/000041250/,,,My Fair Lady,George Cukor,,,,
670454391,FALSE,finalized,3,2/10/15 1:51,"Winchester, In",1,10-Sep-14,1,White,1,Na,1,Straight,1,1966,1,Best Director,http://www.nndb.com/people/460/000032364/,,,The Sound of Music,Robert Wise,,,,
670454392,FALSE,finalized,3,2/10/15 2:06,"Vienna, Austria",1,29-Apr-07,1,White,1,Jewish,1,Straight,1,1967,1,Best Director,http://www.nndb.com/people/538/000032442/,,,A Man for All Seasons,Fred Zinnemann,,,,
670454393,FALSE,finalized,3,2/10/15 2:13,"Berlin, Germany",1,6-Nov-31,1,White,1,Jewish,1,Straight,1,1968,1,Best Director,http://www.nndb.com/people/455/000023386/,,,The Graduate,Mike Nichols,,,,
670454394,FALSE,finalized,3,2/10/15 3:56,"St. Louis Park, Mn",1,29-Nov-54,1,White,1,Jewish,1,Straight,1,2008,1,Best Director,http://www.nndb.com/people/399/000025324/,,,No Country for Old Men,Joel Coen,,,,
670454395,FALSE,finalized,3,2/10/15 2:29,"London, England",1,30-Dec-06,1,White,1,Na,1,Straight,1,1969,1,Best Director,http://www.nndb.com/people/290/000064098/,,,Oliver!,Carol Reed,,,,
670454396,FALSE,finalized,3,2/10/15 2:01,"London, England",1,16-Feb-26,1,White,1,Na,1,Gay,1,1969,1,Best Director,http://www.nndb.com/people/771/000032675/,,,Midnight Cowboy,John Schlesinger,,,,
670454397,FALSE,finalized,3,2/10/15 3:56,"Tokyo, Japan",1,30-May-20,1,White,1,Na,1,Straight,1,1970,1,Best Director,http://www.nndb.com/people/509/000032413/,,,Patton,Franklin J. Schaffner,,,,
670454398,FALSE,finalized,3,2/10/15 2:11,"Chicago, Il",1,29-Aug-35,1,White,1,Jewish,1,Straight,1,1972,1,Best Director,http://www.nndb.com/people/112/000024040/,,,The French Connection,William Friedkin,,,,
670454399,FALSE,finalized,3,2/10/15 1:51,"Chicago, Il",1,23-Jun-27,1,White,1,Na,1,Straight,1,1973,1,Best Director,http://www.nndb.com/people/159/000032063/,,,Cabaret,Bob Fosse,,,,
670454400,FALSE,finalized,3,2/10/15 2:05,"Minneapolis, Mn",1,20-Dec-21,1,White,1,Na,1,Straight,1,1973,1,Best Director,http://www.nndb.com/people/783/000032687/,,,The Sting,George Roy Hill,,,,
670454401,FALSE,finalized,3,2/10/15 2:15,"Detroit, Mi",1,7-Apr-39,1,White,1,Na,1,Straight,1,1975,1,Best Director,http://www.nndb.com/people/866/000022800/,,,The Godfather Part II,Francis Ford Coppola,,,,
670454402,FALSE,finalized,3,2/10/15 1:59,"CÃ¡slav, Czechoslovakia",1,18-Feb-32,1,White,1,Na,1,Straight,1,1976,1,Best Director,http://www.nndb.com/people/622/000023553/,,,One Flew over the Cuckoo's Nest,Milos Forman,,,,
670454403,FALSE,finalized,3,2/10/15 2:06,"Oak Park, Il",1,21-Dec-35,1,White,1,Na,1,Straight,1,1976,0.6667,Best Director,http://www.nndb.com/people/679/000032583/,,,Rocky,John G. Avildsen,,,,
670454404,FALSE,finalized,3,2/10/15 2:14,"Brooklyn, Ny",1,1-Dec-35,1,White,1,Jewish,1,Straight,1,1978,1,Best Director,http://www.nndb.com/people/501/000022435/,,,Annie Hall,Woody Allen,,,,
670454405,TRUE,golden,75,,New York City,1,3-Feb-39,0.9597,White,1,Na,1,Straight,1,1979,0.7227,Best Director,http://www.nndb.com/people/810/000043681/,New York City,,The Deer Hunter,Michael Cimino,,,,
670454406,FALSE,finalized,3,2/10/15 4:02,"Waxahachie, Tx",1,29-Sep-32,1,White,1,Na,1,Straight,1,1980,1,Best Director,http://www.nndb.com/people/267/000064075/,,,Kramer vs. Kramer,Robert Benton,,,,
670454407,FALSE,finalized,3,2/10/15 4:07,"Santa Monica, Ca",1,18-Aug-1936 [1],0.6562,White,1,Na,1,Straight,1,1980,1,Best Director,http://www.nndb.com/people/795/000022729/,,,Ordinary People,Robert Redford,,,,
670454408,FALSE,finalized,3,2/10/15 1:43,"Richmond, Va",1,30-Mar-37,1,White,1,Baptist,1,Straight,1,1981,1,Best Director,http://www.nndb.com/people/719/000022653/,,,Reds,Warren Beatty,,,,
670454409,FALSE,finalized,3,2/10/15 2:00,"Cambridge, England",1,29-Aug-23,1,White,1,Na,1,Straight,1,1982,1,Best Director,http://www.nndb.com/people/750/000023681/,,,Gandhi,Richard Attenborough,,,,
670454410,FALSE,finalized,3,2/10/15 2:12,"North Bergen, Nj",1,9-May-40,1,White,1,Na,1,Straight,1,1983,0.6667,Best Director,http://www.nndb.com/people/209/000024137/,,,Terms of Endearment,James L. Brooks,,,,
670454411,FALSE,finalized,3,2/10/15 2:12,"CÃ¡slav, Czechoslovakia",1,18-Feb-32,1,White,1,Na,1,Straight,1,1985,1,Best Director,http://www.nndb.com/people/622/000023553/,,,Amadeus,Milos Forman,,,,
670454412,FALSE,finalized,3,2/10/15 1:52,"Lafayette, In",1,1-Jul-34,1,White,1,Jewish,1,Straight,1,1986,1,Best Director,http://www.nndb.com/people/772/000023703/,,,Out of Africa,Sydney Pollack,,,,
670454413,FALSE,finalized,3,2/10/15 2:18,New York City,1,15-Sep-46,1,White,1,Atheist,1,Straight,1,1990,0.3333,Best Director,http://www.nndb.com/people/545/000022479/,,,Platoon,Oliver Stone,,,,
670454414,FALSE,finalized,3,2/10/15 2:05,"Parma, Emilia-Romagna, Italy",1,16-Mar-41,1,White,1,Na,1,Straight,1,1988,1,Best Director,http://www.nndb.com/people/268/000024196/,,,The Last Emperor,Bernardo Bertolucci,,,,
670454415,FALSE,finalized,3,2/10/15 1:51,"Baltimore, Md",1,6-Apr-42,1,White,1,Jewish,0.6667,Straight,1,1989,1,Best Director,http://www.nndb.com/people/748/000023679/,,,Rain Man,Barry Levinson,,,,
670454416,FALSE,finalized,3,2/10/15 2:07,New York City,1,15-Sep-46,1,White,1,Atheist,1,Straight,1,1990,1,Best Director,http://www.nndb.com/people/545/000022479/,,,Born on the Fourth of July,Oliver Stone,,,,
670454417,FALSE,finalized,3,2/10/15 1:55,"Lynwood, Ca",1,18-Jan-55,1,White,1,Baptist,1,Straight,1,1991,1,Best Director,http://www.nndb.com/people/758/000022692/,,,Dances with Wolves,Kevin Costner,,,,
670454418,FALSE,finalized,3,2/10/15 2:11,"Baldwin, Ny",1,22-Feb-44,1,White,1,Na,1,Straight,1,1992,1,Best Director,http://www.nndb.com/people/578/000024506/,,,The Silence of the Lambs,Jonathan Demme,,,,
670454419,FALSE,finalized,3,2/10/15 1:55,"San Francisco, Ca",1,31-May-30,1,White,1,Na,1,Straight,1,1993,1,Best Director,http://www.nndb.com/people/849/000022783/,,,Unforgiven,Clint Eastwood,,,,
670454420,FALSE,finalized,3,2/10/15 3:48,"Cincinnati, Oh",1,18-Dec-46,1,White,1,Jewish,1,Straight,1,1994,1,Best Director,http://www.nndb.com/people/734/000022668/,,,Schindler's List,Steven Spielberg,,,,
670454421,FALSE,finalized,3,2/10/15 2:14,"Chicago, Il",1,14-May-52,1,White,1,Roman Catholic,1,Straight,1,1995,0.6923,Best Director,http://www.nndb.com/people/224/000025149/,,,Forrest Gump,Robert Zemeckis,,,,
670454422,FALSE,finalized,3,2/10/15 2:11,"Peekskill, Ny",1,3-Jan-56,1,White,1,Roman Catholic,1,Straight,1,1996,1,Best Director,http://www.nndb.com/people/583/000022517/,,,Braveheart,Mel Gibson,,,,
670454423,FALSE,finalized,3,2/10/15 2:19,"Ryde, Isle of Wight, England",1,6-Jan-54,1,White,1,Na,1,Straight,1,1997,1,Best Director,http://www.nndb.com/people/513/000032417/,,,The English Patient,Anthony Minghella,,,,
670454424,FALSE,finalized,3,2/10/15 1:53,"Kapuskasing, Ontario, Canada",1,16-Aug-54,1,White,1,Atheist,0.6667,Straight,1,1998,1,Best Director,http://www.nndb.com/people/385/000025310/,,,Titanic,James Cameron,,,,
670454425,FALSE,finalized,3,2/10/15 3:55,"Cincinnati, Oh",1,18-Dec-46,1,White,1,Jewish,1,Straight,1,1999,1,Best Director,http://www.nndb.com/people/734/000022668/,,,Saving Private Ryan,Steven Spielberg,,,,
670454426,FALSE,finalized,3,2/10/15 3:45,"Reading, Berkshire, England",1,1-Aug-65,1,White,1,Na,1,Straight,1,2000,1,Best Director,http://www.nndb.com/people/059/000025981/,,,American Beauty,Sam Mendes,,,,
670454427,FALSE,finalized,3,2/10/15 2:00,"Atlanta, Ga",1,14-Jan-63,1,White,1,Atheist,1,Straight,1,2001,1,Best Director,http://www.nndb.com/people/907/000025832/,,,Traffic,Steven Soderbergh,,,,
670454428,FALSE,finalized,3,2/10/15 3:51,"Duncan, Ok",1,1-Mar-54,1,White,1,Na,1,Straight,1,2002,1,Best Director,http://www.nndb.com/people/365/000025290/,,,A Beautiful Mind,Ron Howard,,,,
670454429,FALSE,finalized,3,2/10/15 2:04,"Paris, France",1,18-Aug-33,1,White,1,See Note,0.3333,Straight,1,2003,1,Best Director,http://www.nndb.com/people/541/000023472/,,,The Pianist,Roman Polanski,,,,
670454430,FALSE,finalized,3,2/10/15 2:09,"Wellington, New Zealand",1,31-Oct-61,1,White,1,Na,1,Straight,1,2004,1,Best Director,http://www.nndb.com/people/848/000025773/,,,The Lord of the Rings: Return of the King,Peter Jackson,,,,
670454431,FALSE,finalized,3,2/10/15 2:00,"San Francisco, Ca",1,31-May-30,1,White,1,Na,1,Straight,1,2005,1,Best Director,http://www.nndb.com/people/849/000022783/,,,Million Dollar Baby,Clint Eastwood,,,,
670454432,FALSE,finalized,3,2/10/15 2:09,"Pingtung, Taiwan",1,23-Oct-54,1,Asian,1,Na,1,Straight,1,2006,1,Best Director,http://www.nndb.com/people/394/000025319/,,,Brokeback Mountain,Ang Lee,,,,
670454433,FALSE,finalized,3,2/10/15 1:43,"Flushing, Ny",1,17-Nov-42,1,White,1,Roman Catholic,1,Straight,1,2007,1,Best Director,http://www.nndb.com/people/678/000022612/,,,The Departed,Martin Scorsese,,,,
670454434,FALSE,finalized,3,2/10/15 2:05,"St. Louis Park, Mn",1,21-Sep-57,1,White,1,Jewish,1,Straight,1,2008,1,Best Director,http://www.nndb.com/people/400/000025325/,,,No Country for Old Men,Ethan Coen,,,,
670454435,TRUE,golden,81,,"Manchester, England",1,20-Oct-56,1,White,1,Roman Catholic,0.9624,Straight,1,2009,0.9643,Best Director,http://www.nndb.com/people/887/000044755/,,,Slumdog Millionaire,Danny Boyle,,Roman Catholic,,
670454436,FALSE,finalized,3,2/10/15 1:46,"San Carlos, Ca",1,27-Nov-51,1,White,1,Na,1,Straight,1,2009,1,Best Director,http://www.nndb.com/people/837/000079600/,,,The Hurt Locker,Kathryn Bigelow,,,,
670454437,FALSE,finalized,3,2/10/15 1:56,"London, England",1,1972,1,White,1,Na,1,Na,1,2011,1,Best Director,http://www.nndb.com/people/093/000268286/,,,The King's Speech,Tom Hooper,,,,
670454438,FALSE,finalized,3,2/10/15 3:57,"Paris, France",1,29-Mar-67,1,White,1,Jewish,1,Straight,1,2012,1,Best Director,http://www.nndb.com/people/302/000281456/,,,The Artist,Michel Hazanavicius,,,,
670454439,FALSE,finalized,3,2/10/15 2:04,"Pingtung, Taiwan",1,23-Oct-54,1,Asian,1,Na,1,Straight,1,2013,1,Best Director,http://www.nndb.com/people/394/000025319/,,,Life of Pi,Ang Lee,,,,
670454440,FALSE,finalized,3,2/10/15 2:04,"Rorschach, Switzerland",1,23-Jul-1884,1,White,1,Na,1,Bisexual,1,1929,1,Best Actor,http://www.nndb.com/people/738/000063549/,,,The Last Command,Emil Jannings,,,,
670454441,FALSE,finalized,3,2/10/15 1:58,"Columbus, Oh",1,29-Mar-1889,1,White,1,Na,1,Straight,1,1930,1,Best Actor,http://www.nndb.com/people/739/000063550/,,,In Old Arizona,Warner Baxter,,,,
670454442,FALSE,finalized,3,2/10/15 2:41,"London, England",1,10-Apr-1868,1,White,1,Na,0.6897,Straight,1,1930,1,Best Actor,http://www.nndb.com/people/740/000063551/,,,Desraeli,George Arliss,,,,
670454443,FALSE,finalized,3,2/10/15 2:04,"Philadelphia, Pa",1,28-Apr-1878,1,White,1,Roman Catholic,1,Straight,1,1931,1,Best Actor,http://www.nndb.com/people/741/000043612/,,,A Free Soul,Lionel Barrymore,,,,
670454444,FALSE,finalized,3,2/10/15 1:59,"Kansas City, Mo",1,1-Apr-1885,1,White,1,Na,1,Straight,1,1932,1,Best Actor,http://www.nndb.com/people/976/000043847/,,,The Champ,Wallace Beery,,,,
670454445,FALSE,finalized,3,2/10/15 2:19,"Victoria Hotel, Scarborough, Yorkshire, England",1,1-Jul-1899,1,White,1,Roman Catholic,1,Gay,1,1934,1,Best Actor,http://www.nndb.com/people/884/000042758/,,,The Private Life of Henry VIII,Charles Laughton,,,,
670454446,FALSE,finalized,3,2/10/15 2:08,"Cadiz, Oh",1,1-Feb-1901,1,White,1,Na,1,Straight,1,1935,1,Best Actor,http://www.nndb.com/people/156/000027075/,,,It Happened One Night,Clark Gable,,,,
670454447,FALSE,finalized,3,2/10/15 2:05,"Tunbridge Wells, Kent, England",1,11-Dec-1883,1,White,1,Anglican/episcopalian,1,Straight,1,1936,1,Best Actor,http://www.nndb.com/people/452/000047311/,,,The Informer,Victor McLaglen,,,,
670454448,FALSE,finalized,3,2/10/15 2:06,"Lviv, Ukraine",1,22-Sep-1895,1,White,1,Jewish,1,Straight,1,1937,1,Best Actor,http://www.nndb.com/people/741/000063552/,,,The Story of Louis Pasteur,Paul Muni,,,,
670454449,FALSE,finalized,3,2/10/15 4:07,"Milwaukee, Wi",1,5-Apr-1900,1,White,1,Roman Catholic,1,Straight,1,1938,1,Best Actor,http://www.nndb.com/people/979/000024907/,,,Captains Courageous,Spencer Tracy,,,,
670454450,FALSE,finalized,3,2/10/15 2:06,"Milwaukee, Wi",1,5-Apr-1900,1,White,1,Roman Catholic,1,Straight,1,1939,1,Best Actor,http://www.nndb.com/people/979/000024907/,,,Boys Town,Spencer Tracy,,,,
670454451,FALSE,finalized,3,2/10/15 2:00,"Withington, Manchester, England",1,18-Mar-05,1,White,1,Na,1,Straight,1,1940,1,Best Actor,http://www.nndb.com/people/742/000063553/,,,Goodbye Mr. Chips,Robert Donat,,,,
670454452,FALSE,finalized,3,2/10/15 2:12,"Indiana, Pa",1,20-May-08,1,White,1,Presbyterian,1,Straight,1,1941,1,Best Actor,http://www.nndb.com/people/659/000026581/,,,The Philadelphia Story,Jimmy Stewart,,,,
670454453,FALSE,finalized,3,2/10/15 3:48,"Helena, Mt",1,7-May-1901,1,White,1,Roman Catholic,1,Straight,1,1942,1,Best Actor,http://www.nndb.com/people/740/000031647/,,,Sergeant York,Gary Cooper,,,,
670454454,FALSE,finalized,3,2/10/15 1:51,"Manhattan, Ny",1,17-Jul-1899,1,White,1,Roman Catholic,1,Straight,1,1943,1,Best Actor,http://www.nndb.com/people/798/000024726/,,,Yankee Doodle Dandy,James Cagney,,,,
670454455,FALSE,finalized,3,2/10/15 2:05,"Budapest, Hungary",1,26-May-1887,1,White,1,Na,1,Straight,1,1944,1,Best Actor,http://www.nndb.com/people/713/000042587/,,,Watch on the Rhine,Paul Lukas,,,,
670454456,FALSE,finalized,3,2/10/15 2:03,"Tacoma, Wa",1,3-May-1903,1,White,1,Roman Catholic,0.6667,Straight,1,1945,1,Best Actor,http://www.nndb.com/people/651/000026573/,,,Going My Way,Bing Crosby,,,,
670454457,FALSE,finalized,3,2/10/15 2:41,"Neath, Wales",1,3-Jan-07,1,White,1,Na,0.6897,Straight,1,1946,0.6897,Best Actor,http://www.nndb.com/people/814/000042688/,,,The Lost Weekend,Ray Milland,,,,
670454458,FALSE,finalized,3,2/10/15 1:59,"Racine, Wi",1,31-Aug-1897,1,White,1,Na,1,Straight,1,1947,1,Best Actor,http://www.nndb.com/people/255/000043126/,,,The Best Years of Our Lives,Fredric March,,,,
670454459,FALSE,finalized,3,2/10/15 2:02,"Richmond, Surrey, England",1,9-Feb-1891,1,White,1,Na,1,Straight,1,1948,1,Best Actor,http://www.nndb.com/people/619/000042493/,,,A Double Life,Ronald Colman,,,,
670454460,FALSE,finalized,3,2/10/15 2:03,"Dorking, Surrey, England",1,22-May-07,1,White,1,Na,1,Bisexual,1,1949,1,Best Actor,http://www.nndb.com/people/607/000022541/,,,Hamlet,Laurence Olivier,,,,
670454461,FALSE,finalized,3,2/10/15 4:06,"Philadelphia, Pa",1,9-Dec-11,1,White,1,Na,1,Straight,1,1950,1,Best Actor,http://www.nndb.com/people/744/000063555/,,,All The King's Men,Broderick Crawford,,,,
670454462,FALSE,finalized,3,2/10/15 1:53,"Santurce, Puerto Rico",1,8-Jan-09,1,Hispanic,1,Na,1,Straight,1,1951,1,Best Actor,http://www.nndb.com/people/311/000026233/,,,Cyrano de Bergerac,Jose Ferrer,,,,
670454463,FALSE,finalized,3,2/10/15 2:05,New York City,1,25-Dec-1899,1,White,1,Na,1,Straight,1,1952,1,Best Actor,http://www.nndb.com/people/837/000024765/,,,The Africa Queen,Humphrey Bogart,,,,
670454464,TRUE,golden,95,,"Helena, Mt",1,7-May-1901,1,White,1,Roman Catholic,1,Straight,1,1953,0.9642,Best Actor,http://www.nndb.com/people/740/000031647/,,,High Noon,Gary Cooper,,,,1953
670454465,FALSE,finalized,3,2/10/15 1:46,"O'fallon, Il",1,17-Apr-18,1,White,1,Na,1,Straight,1,1954,1,Best Actor,http://www.nndb.com/people/210/000022144/,,,Stalag 17,William Holden,,,,
670454466,FALSE,finalized,3,2/10/15 1:53,"Omaha, Ne",1,3-Apr-24,1,White,1,Deist,1,Bisexual,1,1955,1,Best Actor,http://www.nndb.com/people/721/000022655/,,,On the Waterfront,Marlon Brando,,,,
670454467,FALSE,finalized,3,2/10/15 2:02,"Hamden, Ct",1,24-Jan-17,1,White,1,Na,1,Straight,1,1956,1,Best Actor,http://www.nndb.com/people/730/000022664/,,,Marty,Ernest Borgnine,,,,
670454468,FALSE,finalized,3,2/10/15 2:02,"Vladivostok, Russia",1,11-Jul-20,1,White,1,Na,1,Straight,1,1957,1,Best Actor,http://www.nndb.com/people/459/000026381/,,,The King and I,Yul Brynner,,,,
