breed,link,img_url,href_html,img_html
Beagle,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Beagle/,https://www.pedigree.com.au/img/breeds/thumbnails/beagle_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Beagle/'>Beagle</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/beagle_tn.jpg />
Bearded Collie,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Bearded-Collie/,https://www.pedigree.com.au/img/breeds/thumbnails/bearded_collie_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Bearded-Collie/'>Bearded Collie</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/bearded_collie_tn.jpg />
Bedlington Terrier,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Bedlington-Terrier/,https://www.pedigree.com.au/img/breeds/thumbnails/bedlington_terr_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Bedlington-Terrier/'>Bedlington Terrier</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/bedlington_terr_tn.jpg />
Belgian Shepherd Dog,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Belgian-Shepherd-Dog/,https://www.pedigree.com.au/img/breeds/thumbnails/belgian_shepherd_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Belgian-Shepherd-Dog/'>Belgian Shepherd Dog</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/belgian_shepherd_tn.jpg />
Bernese Mountain Dog,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Bernese-Mountain-Dog/,https://www.pedigree.com.au/img/breeds/thumbnails/bernese_mnt_dog_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Bernese-Mountain-Dog/'>Bernese Mountain Dog</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/bernese_mnt_dog_tn.jpg />
Bichon Frise,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Bichon-Frise/,https://www.pedigree.com.au/img/breeds/thumbnails/bichon_frise_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Bichon-Frise/'>Bichon Frise</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/bichon_frise_tn.jpg />
Bloodhound,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Bloodhound/,https://www.pedigree.com.au/img/breeds/thumbnails/bloodhound_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Bloodhound/'>Bloodhound</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/bloodhound_tn.jpg />
Border Collie,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Border-Collie/,https://www.pedigree.com.au/img/breeds/thumbnails/border_collie_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Border-Collie/'>Border Collie</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/border_collie_tn.jpg />
Border Terrier,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Border-Terrier/,https://www.pedigree.com.au/img/breeds/thumbnails/border_terr_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Border-Terrier/'>Border Terrier</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/border_terr_tn.jpg />
Borzoi,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Borzoi/,https://www.pedigree.com.au/img/breeds/thumbnails/borzoi_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Borzoi/'>Borzoi</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/borzoi_tn.jpg />
Boston Terrier,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Boston-Terrier/,https://www.pedigree.com.au/img/breeds/thumbnails/boston_terr_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Boston-Terrier/'>Boston Terrier</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/boston_terr_tn.jpg />
Bouvier Des Flandres,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Bouvier-Des-Flandres/,https://www.pedigree.com.au/img/breeds/thumbnails/bouvier_des_flandres_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Bouvier-Des-Flandres/'>Bouvier Des Flandres</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/bouvier_des_flandres_tn.jpg />
Boxer,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Boxer/,https://www.pedigree.com.au/img/breeds/thumbnails/boxer_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Boxer/'>Boxer</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/boxer_tn.jpg />
Briard,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Briard/,https://www.pedigree.com.au/img/breeds/thumbnails/briard_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Briard/'>Briard</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/briard_tn.jpg />
British Bulldog,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/British-Bulldog/,https://www.pedigree.com.au/img/breeds/thumbnails/brit_bulldog_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/British-Bulldog/'>British Bulldog</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/brit_bulldog_tn.jpg />
Brittany,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Brittany/,https://www.pedigree.com.au/img/breeds/thumbnails/brittany_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Brittany/'>Brittany</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/brittany_tn.jpg />
Bull Terrier,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Bull-Terrier/,https://www.pedigree.com.au/img/breeds/thumbnails/bull_terr_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Bull-Terrier/'>Bull Terrier</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/bull_terr_tn.jpg />
Bullmastiff,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Bullmastiff/,https://www.pedigree.com.au/img/breeds/thumbnails/bullmastiff_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Bullmastiff/'>Bullmastiff</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/bullmastiff_tn.jpg />
Cairn Terrier,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Cairn-Terrier/,https://www.pedigree.com.au/img/breeds/thumbnails/cairn_terr_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Cairn-Terrier/'>Cairn Terrier</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/cairn_terr_tn.jpg />
Cavalier King Charles Spaniel,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Cavalier-King-Charles-Spaniel/,https://www.pedigree.com.au/img/breeds/thumbnails/cav_king_c_spaniel_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Cavalier-King-Charles-Spaniel/'>Cavalier King Charles Spaniel</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/cav_king_c_spaniel_tn.jpg />
Chesapeake Bay Retriever,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Chesapeake-Bay-Retriever/,https://www.pedigree.com.au/img/breeds/thumbnails/chesapeake_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Chesapeake-Bay-Retriever/'>Chesapeake Bay Retriever</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/chesapeake_tn.jpg />
Chihuahua,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Chihuahua/,https://www.pedigree.com.au/img/breeds/thumbnails/chihuahua_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Chihuahua/'>Chihuahua</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/chihuahua_tn.jpg />
Chinese Crested Dog,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Chinese-Crested-Dog/,https://www.pedigree.com.au/img/breeds/thumbnails/chinese_crested_dog_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Chinese-Crested-Dog/'>Chinese Crested Dog</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/chinese_crested_dog_tn.jpg />
Chow Chow,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Chow-Chow/,https://www.pedigree.com.au/img/breeds/thumbnails/chow_chow_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Chow-Chow/'>Chow Chow</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/chow_chow_tn.jpg />
Clumber Spaniel,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Clumber-Spaniel/,https://www.pedigree.com.au/img/breeds/thumbnails/clumber_spaniel_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Clumber-Spaniel/'>Clumber Spaniel</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/clumber_spaniel_tn.jpg />
Cocker Spaniel,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Cocker-Spaniel/,https://www.pedigree.com.au/img/breeds/thumbnails/cocker_spaniel_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Cocker-Spaniel/'>Cocker Spaniel</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/cocker_spaniel_tn.jpg />
Cocker Spaniel - American,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Cocker-Spaniel---American/,https://www.pedigree.com.au/img/breeds/thumbnails/american_c_spaniel_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Cocker-Spaniel---American/'>Cocker Spaniel - American</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/american_c_spaniel_tn.jpg />
Collie,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Collie/,https://www.pedigree.com.au/img/breeds/thumbnails/collie_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Collie/'>Collie</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/collie_tn.jpg />
Curly Coated Retriever,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Curly-Coated-Retriever/,https://www.pedigree.com.au/img/breeds/thumbnails/curly_coated_ret_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Curly-Coated-Retriever/'>Curly Coated Retriever</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/curly_coated_ret_tn.jpg />
Dachshund,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Dachshund/,https://www.pedigree.com.au/img/breeds/thumbnails/dachshund_smooth_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Dachshund/'>Dachshund</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/dachshund_smooth_tn.jpg />
Dalmatian,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Dalmatian/,https://www.pedigree.com.au/img/breeds/thumbnails/dalmatian_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Dalmatian/'>Dalmatian</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/dalmatian_tn.jpg />
Dandie Dinmont Terrier,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Dandie-Dinmont-Terrier/,https://www.pedigree.com.au/img/breeds/thumbnails/dandie_dinmont_terr_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Dandie-Dinmont-Terrier/'>Dandie Dinmont Terrier</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/dandie_dinmont_terr_tn.jpg />
Deerhound,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Deerhound/,https://www.pedigree.com.au/img/breeds/thumbnails/deerhound_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Deerhound/'>Deerhound</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/deerhound_tn.jpg />
Dobermann,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Dobermann/,https://www.pedigree.com.au/img/breeds/thumbnails/dobermann_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Dobermann/'>Dobermann</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/dobermann_tn.jpg />
Dogue De Bordeaux,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Dogue-De-Bordeaux/,https://www.pedigree.com.au/img/breeds/thumbnails/dogue_de_bordeaux_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Dogue-De-Bordeaux/'>Dogue De Bordeaux</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/dogue_de_bordeaux_tn.jpg />
English Setter,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/English-Setter/,https://www.pedigree.com.au/img/breeds/thumbnails/english_setter_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/English-Setter/'>English Setter</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/english_setter_tn.jpg />
English Springer Spaniel,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/English-Springer-Spaniel/,https://www.pedigree.com.au/img/breeds/thumbnails/english_springer_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/English-Springer-Spaniel/'>English Springer Spaniel</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/english_springer_tn.jpg />
English Toy Terrier,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/English-Toy-Terrier/,https://www.pedigree.com.au/img/breeds/thumbnails/english_toy_terr_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/English-Toy-Terrier/'>English Toy Terrier</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/english_toy_terr_tn.jpg />
Field Spaniel,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Field-Spaniel/,https://www.pedigree.com.au/img/breeds/thumbnails/field_spaniel_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Field-Spaniel/'>Field Spaniel</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/field_spaniel_tn.jpg />
Finnish Spitz,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Finnish-Spitz/,https://www.pedigree.com.au/img/breeds/thumbnails/finnish_spitz_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Finnish-Spitz/'>Finnish Spitz</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/finnish_spitz_tn.jpg />
Flat Coated Retriever,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Flat-Coated-Retriever/,https://www.pedigree.com.au/img/breeds/thumbnails/flat_coated_ret_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Flat-Coated-Retriever/'>Flat Coated Retriever</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/flat_coated_ret_tn.jpg />
Fox Terrier,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Fox-Terrier/,https://www.pedigree.com.au/img/breeds/thumbnails/fox_terr_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Fox-Terrier/'>Fox Terrier</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/fox_terr_tn.jpg />
Foxhound,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Foxhound/,https://www.pedigree.com.au/img/breeds/thumbnails/foxhound_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Foxhound/'>Foxhound</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/foxhound_tn.jpg />
French Bulldog,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/French-Bulldog/,https://www.pedigree.com.au/img/breeds/thumbnails/french_bulldog_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/French-Bulldog/'>French Bulldog</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/french_bulldog_tn.jpg />
German Shepherd Dog,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/German-Shepherd-Dog/,https://www.pedigree.com.au/img/breeds/thumbnails/german_shepherd_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/German-Shepherd-Dog/'>German Shepherd Dog</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/german_shepherd_tn.jpg />
German Shorthaired Pointer,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/German-Shorthaired-Pointer/,https://www.pedigree.com.au/img/breeds/thumbnails/german_shorthaired_pointer_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/German-Shorthaired-Pointer/'>German Shorthaired Pointer</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/german_shorthaired_pointer_tn.jpg />
German Wirehaired Pointer,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/German-Wirehaired-Pointer/,https://www.pedigree.com.au/img/breeds/thumbnails/german_wirehaired_pointer_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/German-Wirehaired-Pointer/'>German Wirehaired Pointer</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/german_wirehaired_pointer_tn.jpg />
Golden Retriever,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Golden-Retriever/,https://www.pedigree.com.au/img/breeds/thumbnails/golden_retriever_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Golden-Retriever/'>Golden Retriever</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/golden_retriever_tn.jpg />
Gordon Setter,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Gordon-Setter/,https://www.pedigree.com.au/img/breeds/thumbnails/gordon_setter_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Gordon-Setter/'>Gordon Setter</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/gordon_setter_tn.jpg />
Great Dane,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Great-Dane/,https://www.pedigree.com.au/img/breeds/thumbnails/great_dane_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Great-Dane/'>Great Dane</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/great_dane_tn.jpg />
Greyhound,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Greyhound/,https://www.pedigree.com.au/img/breeds/thumbnails/greyhound_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Greyhound/'>Greyhound</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/greyhound_tn.jpg />
Griffon Bruxellois,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Griffon-Bruxellois/,https://www.pedigree.com.au/img/breeds/thumbnails/griffon_bruxellois_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Griffon-Bruxellois/'>Griffon Bruxellois</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/griffon_bruxellois_tn.jpg />
Hungarian Vizsla,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Hungarian-Vizsla/,https://www.pedigree.com.au/img/breeds/thumbnails/hungarian_vizsla_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Hungarian-Vizsla/'>Hungarian Vizsla</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/hungarian_vizsla_tn.jpg />
Irish Setter,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Irish-Setter/,https://www.pedigree.com.au/img/breeds/thumbnails/irish_setter_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Irish-Setter/'>Irish Setter</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/irish_setter_tn.jpg />
Irish Terrier,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Irish-Terrier/,https://www.pedigree.com.au/img/breeds/thumbnails/irish_terr_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Irish-Terrier/'>Irish Terrier</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/irish_terr_tn.jpg />
Irish Water Spaniel,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Irish-Water-Spaniel/,https://www.pedigree.com.au/img/breeds/thumbnails/irish_water_spaniel_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Irish-Water-Spaniel/'>Irish Water Spaniel</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/irish_water_spaniel_tn.jpg />
Irish Wolfhound,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Irish-Wolfhound/,https://www.pedigree.com.au/img/breeds/thumbnails/irish_wolfhound_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Irish-Wolfhound/'>Irish Wolfhound</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/irish_wolfhound_tn.jpg />
