animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class_type,class_name
clam,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,Invertebrate
crab,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,7,Invertebrate
crayfish,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7,Invertebrate
lobster,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7,Invertebrate
octopus,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,7,Invertebrate
scorpion,0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,7,Invertebrate
seawasp,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,7,Invertebrate
slug,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,Invertebrate
starfish,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,7,Invertebrate
worm,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,Invertebrate
flea,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6,Bug
gnat,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6,Bug
honeybee,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,6,Bug
housefly,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6,Bug
ladybird,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,6,Bug
moth,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6,Bug
termite,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6,Bug
wasp,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,6,Bug
frog,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,5,Amphibian
frog,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,5,Amphibian
newt,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,5,Amphibian
toad,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5,Amphibian
pitviper,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3,Reptile
seasnake,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,3,Reptile
slowworm,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,3,Reptile
tortoise,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,3,Reptile
tuatara,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3,Reptile
