year,model,price,mileage,color,transmission
2007,SES,9999.0,78948.0,Black,MANUAL
2006,SE,9995.0,51311.0,Silver,AUTO
2008,SE,9995.0,95364.0,White,AUTO
2008,SE,9992.0,74109.0,White,AUTO
2007,SE,9651.0,63296.0,Blue,AUTO
2007,SES,9000.0,80605.0,Red,AUTO
2006,SE,,49656.0,Silver,AUTO
2007,SE,8996.0,48652.0,Silver,MANUAL
2006,SE,8800.0,71331.0,White,AUTO
2008,SE,8495.0,106171.0,Black,
2008,SE,8494.0,68901.0,Silver,AUTO
2009,SE,,70036.0,White,MANUAL
2007,SES,7999.0,81596.0,Yellow,MANUAL
2006,SES,7995.0,35000.0,Black,MANUAL
2006,SES,7995.0,97987.0,Red,AUTO
2003,SES,7900.0,96000.0,White,AUTO
2005,SES,7488.0,59013.0,Red,AUTO
2004,SE,6999.0,105714.0,Silver,AUTO
2007,SE,6995.0,86862.0,White,AUTO
2000,SE,6980.0,60161.0,Green,AUTO
2004,SES,6980.0,101130.0,Gray,AUTO
2004,SES,6950.0,119720.0,Black,AUTO
2006,SES,6200.0,95000.0,Silver,AUTO
2002,SE,5995.0,87003.0,Red,AUTO
2000,SE,5980.0,96841.0,Red,AUTO
2001,SE,4899.0,151479.0,Yellow,AUTO
2000,SE,3800.0,109259.0,Red,AUTO
