manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class,cty_hwy,city
dodge,durango 4wd,5.7,2008,8,auto(l5),4,13,18,r,suv,13/18 mpg,13.00 mpg/5.53 kml
dodge,ram 1500 pickup 4wd,4.7,2008,8,manual(m6),4,12,16,r,pickup,12/16 mpg,12.00 mpg/5.10 kml
dodge,ram 1500 pickup 4wd,4.7,2008,8,auto(l5),4,9,12,e,pickup,9/12 mpg,9.00 mpg/3.83 kml
dodge,ram 1500 pickup 4wd,4.7,2008,8,auto(l5),4,13,17,r,pickup,13/17 mpg,13.00 mpg/5.53 kml
dodge,ram 1500 pickup 4wd,4.7,2008,8,auto(l5),4,13,17,r,pickup,13/17 mpg,13.00 mpg/5.53 kml
dodge,ram 1500 pickup 4wd,4.7,2008,8,manual(m6),4,12,16,r,pickup,12/16 mpg,12.00 mpg/5.10 kml
dodge,ram 1500 pickup 4wd,4.7,2008,8,manual(m6),4,9,12,e,pickup,9/12 mpg,9.00 mpg/3.83 kml
dodge,ram 1500 pickup 4wd,5.7,2008,8,auto(l5),4,13,17,r,pickup,13/17 mpg,13.00 mpg/5.53 kml
ford,expedition 2wd,5.4,2008,8,auto(l6),r,12,18,r,suv,12/18 mpg,12.00 mpg/5.10 kml
ford,explorer 4wd,4.0,2008,6,auto(l5),4,13,19,r,suv,13/19 mpg,13.00 mpg/5.53 kml
ford,explorer 4wd,4.6,2008,8,auto(l6),4,13,19,r,suv,13/19 mpg,13.00 mpg/5.53 kml
ford,f150 pickup 4wd,4.6,2008,8,auto(l4),4,13,17,r,pickup,13/17 mpg,13.00 mpg/5.53 kml
ford,f150 pickup 4wd,5.4,2008,8,auto(l4),4,13,17,r,pickup,13/17 mpg,13.00 mpg/5.53 kml
ford,mustang,4.0,2008,6,manual(m5),r,17,26,r,subcompact,17/26 mpg,17.00 mpg/7.23 kml
ford,mustang,4.0,2008,6,auto(l5),r,16,24,r,subcompact,16/24 mpg,16.00 mpg/6.80 kml
ford,mustang,4.6,2008,8,manual(m5),r,15,23,r,subcompact,15/23 mpg,15.00 mpg/6.38 kml
ford,mustang,4.6,2008,8,auto(l5),r,15,22,r,subcompact,15/22 mpg,15.00 mpg/6.38 kml
ford,mustang,5.4,2008,8,manual(m6),r,14,20,p,subcompact,14/20 mpg,14.00 mpg/5.95 kml
honda,civic,1.8,2008,4,manual(m5),f,26,34,r,subcompact,26/34 mpg,26.00 mpg/11.05 kml
honda,civic,1.8,2008,4,auto(l5),f,25,36,r,subcompact,25/36 mpg,25.00 mpg/10.63 kml
honda,civic,1.8,2008,4,auto(l5),f,24,36,c,subcompact,24/36 mpg,24.00 mpg/10.20 kml
honda,civic,2.0,2008,4,manual(m6),f,21,29,p,subcompact,21/29 mpg,21.00 mpg/8.93 kml
hyundai,sonata,2.4,2008,4,auto(l4),f,21,30,r,midsize,21/30 mpg,21.00 mpg/8.93 kml
hyundai,sonata,2.4,2008,4,manual(m5),f,21,31,r,midsize,21/31 mpg,21.00 mpg/8.93 kml
hyundai,sonata,3.3,2008,6,auto(l5),f,19,28,r,midsize,19/28 mpg,19.00 mpg/8.08 kml
hyundai,tiburon,2.0,2008,4,manual(m5),f,20,28,r,subcompact,20/28 mpg,20.00 mpg/8.50 kml
hyundai,tiburon,2.0,2008,4,auto(l4),f,20,27,r,subcompact,20/27 mpg,20.00 mpg/8.50 kml
hyundai,tiburon,2.7,2008,6,auto(l4),f,17,24,r,subcompact,17/24 mpg,17.00 mpg/7.23 kml
hyundai,tiburon,2.7,2008,6,manual(m6),f,16,24,r,subcompact,16/24 mpg,16.00 mpg/6.80 kml
hyundai,tiburon,2.7,2008,6,manual(m5),f,17,24,r,subcompact,17/24 mpg,17.00 mpg/7.23 kml
jeep,grand cherokee 4wd,3.0,2008,6,auto(l5),4,17,22,d,suv,17/22 mpg,17.00 mpg/7.23 kml
jeep,grand cherokee 4wd,3.7,2008,6,auto(l5),4,15,19,r,suv,15/19 mpg,15.00 mpg/6.38 kml
jeep,grand cherokee 4wd,4.7,2008,8,auto(l5),4,9,12,e,suv,9/12 mpg,9.00 mpg/3.83 kml
jeep,grand cherokee 4wd,4.7,2008,8,auto(l5),4,14,19,r,suv,14/19 mpg,14.00 mpg/5.95 kml
jeep,grand cherokee 4wd,5.7,2008,8,auto(l5),4,13,18,r,suv,13/18 mpg,13.00 mpg/5.53 kml
jeep,grand cherokee 4wd,6.1,2008,8,auto(l5),4,11,14,p,suv,11/14 mpg,11.00 mpg/4.68 kml
land rover,range rover,4.2,2008,8,auto(s6),4,12,18,r,suv,12/18 mpg,12.00 mpg/5.10 kml
land rover,range rover,4.4,2008,8,auto(s6),4,12,18,r,suv,12/18 mpg,12.00 mpg/5.10 kml
lincoln,navigator 2wd,5.4,2008,8,auto(l6),r,12,18,r,suv,12/18 mpg,12.00 mpg/5.10 kml
mercury,mountaineer 4wd,4.0,2008,6,auto(l5),4,13,19,r,suv,13/19 mpg,13.00 mpg/5.53 kml
mercury,mountaineer 4wd,4.6,2008,8,auto(l6),4,13,19,r,suv,13/19 mpg,13.00 mpg/5.53 kml
nissan,altima,2.5,2008,4,auto(av),f,23,31,r,midsize,23/31 mpg,23.00 mpg/9.78 kml
nissan,altima,2.5,2008,4,manual(m6),f,23,32,r,midsize,23/32 mpg,23.00 mpg/9.78 kml
nissan,altima,3.5,2008,6,manual(m6),f,19,27,p,midsize,19/27 mpg,19.00 mpg/8.08 kml
nissan,altima,3.5,2008,6,auto(av),f,19,26,p,midsize,19/26 mpg,19.00 mpg/8.08 kml
nissan,maxima,3.5,2008,6,auto(av),f,19,25,p,midsize,19/25 mpg,19.00 mpg/8.08 kml
nissan,pathfinder 4wd,4.0,2008,6,auto(l5),4,14,20,p,suv,14/20 mpg,14.00 mpg/5.95 kml
nissan,pathfinder 4wd,5.6,2008,8,auto(s5),4,12,18,p,suv,12/18 mpg,12.00 mpg/5.10 kml
pontiac,grand prix,3.8,2008,6,auto(l4),f,18,28,r,midsize,18/28 mpg,18.00 mpg/7.65 kml
pontiac,grand prix,5.3,2008,8,auto(s4),f,16,25,p,midsize,16/25 mpg,16.00 mpg/6.80 kml
subaru,forester awd,2.5,2008,4,manual(m5),4,20,27,r,suv,20/27 mpg,20.00 mpg/8.50 kml
subaru,forester awd,2.5,2008,4,manual(m5),4,19,25,p,suv,19/25 mpg,19.00 mpg/8.08 kml
subaru,forester awd,2.5,2008,4,auto(l4),4,20,26,r,suv,20/26 mpg,20.00 mpg/8.50 kml
subaru,forester awd,2.5,2008,4,auto(l4),4,18,23,p,suv,18/23 mpg,18.00 mpg/7.65 kml
subaru,impreza awd,2.5,2008,4,auto(s4),4,20,25,p,compact,20/25 mpg,20.00 mpg/8.50 kml
subaru,impreza awd,2.5,2008,4,auto(s4),4,20,27,r,compact,20/27 mpg,20.00 mpg/8.50 kml
subaru,impreza awd,2.5,2008,4,manual(m5),4,19,25,p,compact,19/25 mpg,19.00 mpg/8.08 kml
subaru,impreza awd,2.5,2008,4,manual(m5),4,20,27,r,compact,20/27 mpg,20.00 mpg/8.50 kml
toyota,4runner 4wd,4.0,2008,6,auto(l5),4,16,20,r,suv,16/20 mpg,16.00 mpg/6.80 kml
toyota,4runner 4wd,4.7,2008,8,auto(l5),4,14,17,r,suv,14/17 mpg,14.00 mpg/5.95 kml
toyota,camry,2.4,2008,4,manual(m5),f,21,31,r,midsize,21/31 mpg,21.00 mpg/8.93 kml
toyota,camry,2.4,2008,4,auto(l5),f,21,31,r,midsize,21/31 mpg,21.00 mpg/8.93 kml
toyota,camry,3.5,2008,6,auto(s6),f,19,28,r,midsize,19/28 mpg,19.00 mpg/8.08 kml
toyota,camry solara,2.4,2008,4,manual(m5),f,21,31,r,compact,21/31 mpg,21.00 mpg/8.93 kml
toyota,camry solara,2.4,2008,4,auto(s5),f,22,31,r,compact,22/31 mpg,22.00 mpg/9.35 kml
toyota,camry solara,3.3,2008,6,auto(s5),f,18,27,r,compact,18/27 mpg,18.00 mpg/7.65 kml
toyota,corolla,1.8,2008,4,manual(m5),f,28,37,r,compact,28/37 mpg,28.00 mpg/11.90 kml
toyota,corolla,1.8,2008,4,auto(l4),f,26,35,r,compact,26/35 mpg,26.00 mpg/11.05 kml
toyota,land cruiser wagon 4wd,5.7,2008,8,auto(s6),4,13,18,r,suv,13/18 mpg,13.00 mpg/5.53 kml
toyota,toyota tacoma 4wd,2.7,2008,4,manual(m5),4,17,22,r,pickup,17/22 mpg,17.00 mpg/7.23 kml
toyota,toyota tacoma 4wd,4.0,2008,6,manual(m6),4,15,18,r,pickup,15/18 mpg,15.00 mpg/6.38 kml
toyota,toyota tacoma 4wd,4.0,2008,6,auto(l5),4,16,20,r,pickup,16/20 mpg,16.00 mpg/6.80 kml
volkswagen,gti,2.0,2008,4,manual(m6),f,21,29,p,compact,21/29 mpg,21.00 mpg/8.93 kml
volkswagen,gti,2.0,2008,4,auto(s6),f,22,29,p,compact,22/29 mpg,22.00 mpg/9.35 kml
volkswagen,jetta,2.0,2008,4,auto(s6),f,22,29,p,compact,22/29 mpg,22.00 mpg/9.35 kml
volkswagen,jetta,2.0,2008,4,manual(m6),f,21,29,p,compact,21/29 mpg,21.00 mpg/8.93 kml
volkswagen,jetta,2.5,2008,5,auto(s6),f,21,29,r,compact,21/29 mpg,21.00 mpg/8.93 kml
volkswagen,jetta,2.5,2008,5,manual(m5),f,21,29,r,compact,21/29 mpg,21.00 mpg/8.93 kml
volkswagen,new beetle,2.5,2008,5,manual(m5),f,20,28,r,subcompact,20/28 mpg,20.00 mpg/8.50 kml
volkswagen,new beetle,2.5,2008,5,auto(s6),f,20,29,r,subcompact,20/29 mpg,20.00 mpg/8.50 kml
volkswagen,passat,2.0,2008,4,auto(s6),f,19,28,p,midsize,19/28 mpg,19.00 mpg/8.08 kml
volkswagen,passat,2.0,2008,4,manual(m6),f,21,29,p,midsize,21/29 mpg,21.00 mpg/8.93 kml
volkswagen,passat,3.6,2008,6,auto(s6),f,17,26,p,midsize,17/26 mpg,17.00 mpg/7.23 kml
