default,student,balance,income
Yes,No,1928,35492
No,No,1263,25695
No,No,229,68145
No,Yes,295,17324
No,Yes,1587,25819
No,Yes,819,16585
No,No,580,37278
No,No,112,34320
Yes,Yes,1889,22652
No,Yes,435,19899
No,Yes,1004,13422
No,No,985,49948
No,No,325,45809
No,Yes,380,22042
No,No,1356,42262
No,No,1236,40668
No,No,913,36670
No,No,771,44810
No,No,174,47750
No,No,1452,28989
No,No,949,36557
No,No,498,47736
Yes,No,2133,28237
Yes,Yes,1867,24720
Yes,No,1973,27340
No,No,147,52074
No,No,0,36922
No,No,758,38018
Yes,No,1972,34362
No,No,459,37630
No,No,834,33687
Yes,Yes,2247,17926
Yes,Yes,2332,11770
No,No,880,45092
No,No,782,37497
No,Yes,1776,21280
Yes,Yes,2334,19335
No,Yes,1275,9611
No,No,152,23366
No,No,871,28182
No,No,1156,33959
No,No,25,22720
No,Yes,555,23909
Yes,Yes,1500,15802
No,No,443,35241
No,No,327,40061
No,No,584,38683
No,Yes,1418,14907
No,No,671,35689
No,No,838,43501
No,Yes,1647,16614
Yes,Yes,1102,17391
Yes,No,2148,44309
Yes,No,2063,37372
No,No,836,51031
No,Yes,883,14740
Yes,Yes,1704,16887
No,No,1183,53599
No,No,983,24666
No,No,573,54427
No,Yes,1282,7230
Yes,Yes,1681,10155
No,Yes,645,14211
No,No,430,47462
No,Yes,942,22181
Yes,Yes,1894,28321
Yes,Yes,1806,11506
No,Yes,1146,14336
No,No,781,36744
No,No,468,53273
No,No,1607,48700
No,No,517,60790
No,No,796,25159
Yes,No,652,46155
No,No,796,38443
No,No,567,50643
Yes,Yes,1337,32761
No,No,1007,42183
No,No,1258,33571
No,Yes,1264,6466
No,No,884,30520
No,No,1157,39080
Yes,No,1505,29525
No,No,1075,44128
No,Yes,1503,18776
No,No,0,55781
Yes,Yes,1805,19168
No,No,1762,42124
No,Yes,771,15594
No,No,1382,36232
No,No,289,46550
No,No,1216,52377
No,No,620,41059
Yes,No,1809,33453
Yes,No,1621,36577
No,No,1322,34622
Yes,No,1562,43067
No,No,916,41432
No,No,318,49305
No,No,737,27879
Yes,No,1891,34448
No,No,898,41268
No,Yes,242,23413
No,Yes,908,22084
No,No,1047,46567
No,No,509,46368
Yes,No,1342,35691
Yes,No,1805,40119
No,No,772,42678
Yes,No,2095,44647
No,No,356,21319
Yes,No,698,31754
No,No,534,37281
No,No,979,40374
Yes,Yes,2287,18692
Yes,No,1825,39407
No,Yes,1513,23556
No,Yes,1045,29601
Yes,Yes,1988,17762
Yes,No,2062,30839
No,No,729,44361
No,Yes,1249,16251
Yes,No,1648,55548
No,No,1344,41417
No,No,706,48339
Yes,Yes,2086,17893
Yes,No,2499,51504
No,Yes,237,21376
No,No,1698,48595
Yes,No,1504,26183
No,Yes,1025,29019
No,No,506,50493
Yes,No,1166,30367
Yes,No,1424,27668
No,No,783,36514
No,Yes,1115,22552
Yes,No,1258,26331
Yes,No,1549,47916
No,Yes,940,18939
No,No,624,25557
No,No,555,40046
No,Yes,379,18280
No,No,959,55089
No,Yes,1639,14682
No,No,338,37017
No,No,615,25865
No,No,659,21835
No,No,1429,31387
No,No,1240,30938
Yes,No,1964,50553
Yes,No,1661,21871
No,No,380,40689
No,No,1311,47805
No,No,272,32687
No,No,0,37112
No,Yes,129,20570
No,Yes,1333,29363
No,No,0,49956
No,No,511,32693
Yes,No,1898,61011
No,No,1058,49380
No,No,1334,43385
Yes,Yes,1807,21849
No,No,1013,38280
No,Yes,895,14753
No,No,1016,49635
No,No,562,39067
No,Yes,1060,15661
No,No,1079,40504
Yes,No,1644,61474
Yes,No,1575,35735
Yes,No,1292,50990
Yes,No,1328,34710
No,No,680,43843
No,No,691,32512
No,No,1239,40107
No,No,81,40936
No,No,1225,43718
No,No,1883,47438
No,Yes,0,15986
Yes,Yes,2113,21100
No,No,427,55503
No,No,969,45192
No,No,1213,48796
No,Yes,488,15159
No,No,1014,38780
No,Yes,391,9995
No,Yes,1124,23168
No,Yes,1505,26557
Yes,Yes,1936,13377
No,No,328,38500
No,Yes,552,22554
No,Yes,1120,19170
No,No,393,44149
No,No,537,52513
No,No,326,32919
No,No,1092,30654
No,No,0,26237
No,No,658,54802
No,No,835,41032
No,No,800,19051
No,No,604,38885
No,No,0,54901
No,No,0,32809
No,No,1233,72461
Yes,No,1506,47061
Yes,No,1315,35456
No,No,949,47760
Yes,Yes,2291,20837
No,No,522,37481
No,Yes,843,12710
No,Yes,1828,20225
No,No,549,15706
No,Yes,1199,18884
No,No,905,38210
No,No,503,37749
No,No,761,13889
No,No,1191,49004
Yes,No,959,59435
No,No,541,42332
No,Yes,672,24495
No,No,838,34358
No,No,1393,43439
No,No,0,43658
No,Yes,1215,15994
No,Yes,1448,18989
No,No,580,25926
No,No,0,43346
No,Yes,1841,18000
No,Yes,294,11681
No,No,549,58539
No,Yes,1464,16542
No,No,215,47815
No,Yes,1380,14142
Yes,Yes,2109,17774
Yes,No,1856,33445
No,No,755,37027
No,Yes,1137,25117
No,No,845,31633
No,No,1024,45585
Yes,Yes,2046,17910
No,No,381,55896
No,Yes,1216,23378
No,No,378,30562
No,No,1585,49011
Yes,No,1125,34758
No,No,691,42342
No,Yes,1418,11556
No,Yes,805,22174
No,Yes,541,21245
Yes,Yes,2321,21331
No,No,1838,32308
No,No,0,41671
No,Yes,754,22425
No,No,612,33036
Yes,No,1436,18810
No,No,705,38297
No,Yes,819,16412
No,No,1007,28245
No,No,293,38893
No,No,1146,30637
No,No,1208,36402
Yes,No,1743,22308
No,Yes,1024,18545
No,Yes,0,15698
No,No,524,41268
No,No,370,39286
No,Yes,1005,18262
No,Yes,1200,10817
No,Yes,684,4985
No,No,1137,49810
No,Yes,322,10056
No,No,743,10774
No,No,494,40377
No,No,0,36484
No,No,329,20708
No,Yes,1128,17231
Yes,No,1361,50322
No,No,150,42800
No,Yes,1211,16898
Yes,No,1572,37895
No,No,1404,28764
No,No,422,58345
No,No,766,39078
No,No,403,48874
No,Yes,1836,15422
No,Yes,561,27421
No,Yes,496,12862
No,No,975,39453
Yes,Yes,1402,12104
No,Yes,1856,17845
No,No,667,66538
No,Yes,1119,20619
No,No,691,40232
Yes,No,961,27717
Yes,Yes,1726,13654
No,No,390,27108
Yes,No,1234,43764
No,No,1180,35352
No,Yes,1526,20894
No,No,1308,32215
No,No,827,36439
No,No,91,46468
No,No,666,51876
No,Yes,1328,13389
No,Yes,1275,15887
No,No,0,32558
No,Yes,1005,15851
Yes,No,1981,28127
No,Yes,747,19869
Yes,No,2343,51095
No,No,563,43028
No,No,466,24719
No,No,507,45727
No,No,360,23927
No,No,763,35277
Yes,No,1165,50341
No,Yes,163,17545
No,No,1248,41100
No,Yes,1125,23410
No,Yes,463,25858
No,No,295,51837
No,No,407,45376
No,No,136,13585
No,No,1926,46535
No,No,1319,62054
No,No,974,36763
No,No,465,42358
No,Yes,1229,12158
Yes,No,1377,41435
No,No,811,38323
No,No,448,29537
No,Yes,953,14062
No,No,4,28714
No,No,1085,21805
No,No,608,56483
No,No,1140,33605
Yes,No,1991,42133
Yes,No,1567,38785
No,No,887,43478
Yes,No,1723,43143
No,Yes,985,30295
No,No,848,35534
No,No,1229,48739
No,No,931,50210
No,No,515,43509
No,No,605,29769
No,No,781,54925
No,No,1056,31268
No,No,796,47600
No,Yes,806,17359
No,No,964,48405
No,No,880,49547
No,Yes,190,21744
No,No,551,36603
Yes,No,1819,49621
No,Yes,408,21432
No,No,416,53256
No,No,1027,33089
No,No,170,27005
No,Yes,1928,17570
No,No,387,38745
No,Yes,1029,16691
Yes,Yes,1724,22170
No,No,1444,51154
No,Yes,1042,9595
Yes,No,1026,56182
No,Yes,690,19273
No,No,850,31522
No,No,887,29642
Yes,Yes,1538,21356
No,No,649,54693
No,No,874,33485
No,Yes,696,2981
No,No,1225,49090
Yes,Yes,1893,12399
No,No,0,46581
No,No,572,43381
No,No,2087,44997
No,No,607,26117
No,No,176,43150
No,No,766,25376
No,No,279,52008
No,Yes,847,16926
No,No,1376,43234
Yes,No,2220,40725
No,No,1357,43377
No,No,956,42971
No,No,1308,57190
No,No,1493,30848
No,No,1177,49061
No,No,1042,26141
Yes,Yes,1737,20974
No,Yes,1739,21593
No,No,791,47886
Yes,No,1854,38406
No,No,813,33357
No,No,620,44213
Yes,Yes,1790,14306
Yes,Yes,1321,23735
Yes,No,1926,59224
No,Yes,1083,17040
No,No,351,30345
No,No,617,38106
No,Yes,838,23698
No,No,1201,23969
No,No,1201,30099
No,No,126,44280
No,No,896,54840
Yes,No,1698,27374
No,No,934,31043
No,Yes,1049,11137
Yes,No,1598,39163
No,No,1190,27734
No,No,964,49646
Yes,Yes,1954,17137
No,No,541,57322
No,No,1333,39196
Yes,Yes,2066,10470
No,No,578,48044
No,No,0,24566
No,No,4,28521
No,Yes,1546,14981
No,No,883,44207
No,No,12,46282
No,No,1324,46875
No,No,1441,33852
No,No,981,54020
No,Yes,538,16350
No,No,773,40427
Yes,Yes,1570,16239
Yes,No,1804,31318
No,No,707,42407
No,No,0,49010
No,Yes,1041,24847
No,No,748,47775
No,No,1593,30570
No,No,666,50105
No,Yes,1725,19915
No,Yes,902,15076
No,Yes,1669,13771
No,Yes,579,18555
No,No,713,48914
No,Yes,774,15147
No,No,720,43654
No,No,989,48055
No,Yes,919,6100
No,Yes,1506,23375
No,No,131,36947
No,No,736,39538
No,No,1218,43930
No,No,276,50523
No,No,739,40656
No,No,415,43389
No,Yes,689,15600
No,No,997,22061
No,Yes,134,19464
No,No,882,18379
No,No,946,30770
No,No,0,28784
Yes,Yes,1233,12586
No,No,0,45077
No,No,1086,42451
No,Yes,688,18755
No,No,371,34679
No,No,0,34305
No,No,691,35562
No,No,730,44411
No,No,862,36461
No,No,338,37767
No,Yes,11,19387
No,No,570,42157
No,No,774,46082
No,No,241,36581
Yes,Yes,1758,14272
No,No,1471,56477
No,No,0,41933
No,No,1965,31804
Yes,Yes,1473,18108
No,Yes,613,25040
No,Yes,1881,14992
No,Yes,1777,21573
Yes,Yes,2125,19539
No,No,221,37782
No,No,890,14327
No,No,0,30131
No,Yes,1051,13271
Yes,Yes,2009,25694
No,No,538,34834
Yes,Yes,1956,15574
No,No,458,21165
No,Yes,1592,18024
No,No,260,42125
No,Yes,1037,15580
No,No,647,33226
No,Yes,1080,11239
No,No,827,39655
No,Yes,548,21672
No,No,298,50229
Yes,Yes,1475,20210
Yes,No,1496,40214
Yes,No,1807,42308
No,Yes,529,17245
Yes,No,1964,39054
Yes,Yes,1925,17763
No,Yes,950,17711
No,No,1608,36721
Yes,Yes,1774,20359
No,No,13,25221
No,No,501,42856
No,Yes,999,23688
No,No,1213,45662
No,No,0,45486
No,No,1285,37635
Yes,No,1717,38408
No,No,1109,69325
Yes,Yes,1289,13624
No,No,239,25485
No,No,829,40749
No,No,789,35798
No,Yes,720,20222
No,Yes,1413,19064
No,No,417,48035
No,No,612,39443
No,No,1470,40080
No,Yes,974,20108
Yes,Yes,2134,20330
No,No,0,29775
No,Yes,1199,19538
No,No,1256,23100
No,No,1068,41690
No,No,0,30049
No,No,316,34250
Yes,No,2054,37366
No,Yes,830,14420
No,No,1249,45586
No,No,210,46326
No,No,640,52413
No,Yes,1175,15444
No,No,738,37273
No,No,581,52917
No,Yes,58,20914
No,No,554,28164
Yes,No,1374,35805
No,No,0,42515
No,No,580,31879
No,No,1326,34945
No,No,1264,35385
No,No,82,27627
No,No,483,53873
No,No,27,25050
Yes,Yes,2461,11878
No,No,590,26673
No,Yes,1725,18268
No,No,0,37825
No,No,535,51971
No,No,0,66915
No,No,396,32656
Yes,Yes,1875,17820
No,No,1001,41063
No,Yes,641,23265
No,Yes,434,14812
No,Yes,212,13155
No,No,726,41996
Yes,No,1642,46856
No,No,32,31644
Yes,No,1119,37224
No,No,951,25540
Yes,Yes,1359,25548
No,No,1080,48226
Yes,No,1672,50327
No,Yes,1097,20564
No,Yes,591,20961
No,No,0,40021
No,No,851,57950
No,No,1246,33691
No,No,1490,36417
No,No,812,49623
No,No,1184,40958
No,No,272,55449
No,No,751,51327
No,No,480,36192
No,No,956,38285
No,No,733,34524
No,No,901,35283
No,No,1123,56217
No,Yes,1438,19200
No,No,437,37212
No,Yes,266,28452
No,No,528,42249
No,No,113,32803
No,Yes,1746,24536
Yes,No,2005,36636
No,No,1480,36866
Yes,No,1135,48982
No,No,1440,28370
No,Yes,1311,15565
No,Yes,911,21082
No,Yes,372,22308
No,No,541,43873
Yes,No,1547,37524
No,No,430,46182
No,Yes,219,18401
Yes,Yes,2124,12651
No,No,441,39307
No,No,86,51257
No,Yes,1223,19520
No,Yes,764,26188
No,Yes,1095,10450
No,No,187,49989
No,No,758,37485
No,No,522,37341
No,Yes,1179,16923
No,No,1603,43474
No,No,956,53702
No,Yes,271,14080
No,No,712,20810
No,No,962,43974
No,No,1310,28978
No,No,857,67124
No,No,938,39459
No,Yes,533,20556
No,Yes,1220,13268
Yes,Yes,1819,19393
No,No,0,47729
No,No,1429,31995
No,No,1454,43821
No,No,254,53696
No,Yes,826,18856
No,No,1598,48717
No,No,995,46702
No,Yes,1503,18710
No,No,1091,43091
No,No,1186,51742
No,No,646,36686
No,No,757,19660
No,Yes,1348,25805
Yes,Yes,1504,13965
No,Yes,647,18905
Yes,No,1476,42984
Yes,No,1066,44918
No,No,585,43288
No,No,1359,24411
No,No,1756,52497
No,Yes,1252,16490
No,Yes,759,14217
No,No,791,46319
No,Yes,1137,22110
No,Yes,836,9271
No,No,477,24273
No,No,0,39329
Yes,Yes,2034,17133
No,No,728,17909
No,No,947,28310
Yes,No,1700,30488
No,No,598,42584
No,No,1455,33455
No,Yes,1025,21561
Yes,Yes,1433,18087
No,No,830,39723
No,No,892,45379
No,No,444,47857
No,Yes,1060,22795
No,Yes,840,18103
No,No,1590,36242
Yes,No,1838,32129
Yes,No,780,51656
Yes,Yes,1893,16853
No,No,621,50474
No,Yes,1923,12940
No,No,253,40973
No,No,238,23526
No,Yes,1357,11402
No,No,1052,37637
No,No,746,40354
No,No,1111,43659
Yes,No,1772,42080
No,Yes,1901,21323
No,No,1176,57318
No,No,624,41047
No,No,844,36854
Yes,No,2024,64135
No,No,888,19942
No,Yes,425,13275
No,No,528,39925
Yes,No,1243,37634
No,No,1306,29376
No,No,1440,46113
No,No,409,48746
Yes,Yes,1926,17012
No,Yes,948,14297
No,Yes,533,14707
No,No,480,11193
No,No,1092,19759
Yes,Yes,1944,13026
No,No,0,50231
No,No,316,30293
Yes,No,1708,38203
No,No,852,46320
No,No,421,37323
No,Yes,686,10543
No,No,1051,47529
No,No,705,23952
No,No,1353,52048
No,No,723,43459
No,Yes,752,16211
Yes,Yes,2083,20103
No,No,493,37409
No,Yes,1764,18148
No,No,1276,40611
No,No,820,28064
No,No,1345,43322
No,No,1359,46235
No,Yes,784,11560
Yes,No,1319,36548
Yes,Yes,1402,15964
No,No,661,42945
No,No,286,34499
No,No,610,42899
No,No,0,48672
No,No,603,56468
No,No,338,44923
No,No,163,58220
No,No,1166,26977
No,No,1277,56605
No,No,234,27499
No,No,423,60170
No,No,30,35960
No,No,890,38350
No,No,108,44764
No,Yes,407,25376
No,Yes,271,25157
No,No,445,46816
No,No,217,47657
Yes,No,1758,49787
Yes,Yes,2047,13678
Yes,No,2074,38988
No,No,789,36183
No,No,515,51072
No,No,271,32850
No,No,0,30818
Yes,No,2006,50033
No,No,1203,40969
Yes,Yes,2261,20030
No,No,325,35015
Yes,No,2049,52568
No,No,0,46597
No,No,1214,38224
No,No,828,42246
No,No,36,44603
No,No,214,39629
No,No,355,36888
No,No,1218,36290
No,No,591,30834
No,No,1186,52689
No,No,0,36337
No,Yes,1196,23851
Yes,No,2155,34787
No,No,321,33136
No,Yes,374,19806
Yes,No,1861,55671
No,No,796,33760
Yes,No,1456,49054
No,No,270,41978
No,No,682,43142
No,Yes,0,16156
Yes,No,1721,41999
No,No,792,28674
No,No,1204,39583
No,No,391,45821
No,Yes,345,15967
No,No,518,27527
No,Yes,531,21357
Yes,No,1178,44437
No,Yes,1491,23636
No,Yes,1178,7750
No,No,354,29893
No,Yes,1260,8549
No,No,1118,39111
No,Yes,803,16553
No,No,845,33895
No,Yes,1850,20409
Yes,Yes,1572,14930
Yes,No,1143,37751
No,No,1010,46217
Yes,No,1823,14664
No,No,1028,32249
No,Yes,127,13942
No,No,1163,46173
No,No,214,42758
No,No,527,32431
No,No,771,40520
No,Yes,1608,22358
No,No,1056,37994
No,No,624,38325
No,No,1224,34490
No,Yes,446,18309
No,Yes,270,13158
No,No,994,33002
No,No,1137,21103
No,No,319,34296
No,No,1279,36063
No,No,0,50127
No,No,1706,32900
No,No,0,50956
Yes,No,1994,44794
No,No,382,42620
No,Yes,1606,13422
No,Yes,1034,19105
No,No,1382,19023
No,No,1333,23261
Yes,No,1114,39776
No,No,235,31336
No,No,789,39022
No,No,304,52543
No,Yes,137,22783
Yes,No,2024,51508
No,No,1259,28881
No,Yes,0,17695
Yes,Yes,1530,13003
No,No,0,37517
No,No,379,31350
No,No,1114,47714
Yes,Yes,1983,25687
No,No,833,49704
No,Yes,220,20148
Yes,No,1586,48925
No,No,357,48565
No,No,578,46304
No,No,497,55543
No,No,269,43778
Yes,Yes,1871,18077
No,No,857,34406
No,Yes,925,16427
Yes,Yes,2578,25706
No,Yes,858,12588
No,Yes,1112,20901
No,Yes,591,21790
Yes,Yes,1424,25398
No,Yes,480,14592
Yes,No,2033,44998
No,Yes,364,21487
No,Yes,643,21323
No,No,0,27167
No,No,267,23117
Yes,Yes,1492,11054
No,No,860,36605
Yes,Yes,1502,18603
No,No,743,33764
No,No,289,36841
No,Yes,490,24403
No,Yes,859,13993
Yes,Yes,1665,21024
No,No,682,41679
No,No,1251,43191
No,Yes,781,18301
No,No,1125,49359
No,Yes,999,20013
No,No,1028,51228
No,No,953,41250
Yes,No,1747,18966
No,Yes,1686,22175
Yes,No,1658,38204
No,Yes,1814,24177
No,No,1427,27425
No,No,286,45042
No,Yes,959,18481
No,No,866,35141
No,No,861,58029
No,No,1522,35805
Yes,No,2075,43817
Yes,Yes,2216,20911
No,No,1105,32371
No,No,293,38528
No,Yes,671,11857
No,No,1071,36869
No,No,964,36330
Yes,Yes,1966,17735
No,Yes,1228,18810
No,No,452,48034
No,No,519,39704
Yes,Yes,1567,19172
No,No,1301,28673
Yes,No,2187,42205
Yes,Yes,2415,17429
Yes,Yes,1493,24126
No,Yes,1053,25222
No,Yes,838,19805
No,Yes,1753,21130
Yes,Yes,1553,18091
No,Yes,167,16771
No,No,745,60180
Yes,No,1585,52274
No,No,701,35335
No,No,703,57679
No,Yes,1031,16568
No,Yes,0,20217
No,No,1332,36974
No,No,868,50549
No,Yes,1005,10887
No,No,1363,35359
No,No,10,27237
No,No,949,26960
Yes,No,1610,35589
No,No,921,31553
No,Yes,1091,19990
No,No,0,34479
Yes,No,1815,23648
Yes,No,2008,35145
No,No,0,34563
No,No,441,56060
No,No,29,26710
No,No,1702,46589
No,No,0,36708
No,No,113,38513
No,Yes,263,25363
No,No,778,58860
Yes,Yes,2038,12181
No,No,932,32105
No,No,350,44455
No,No,474,32064
No,No,221,43072
No,No,855,56219
Yes,Yes,1881,16580
No,Yes,1457,19668
No,No,708,55675
No,No,658,39242
No,No,1076,31845
No,No,756,36513
No,Yes,925,12384
Yes,No,1823,44260
No,No,408,35622
No,No,1193,34360
No,No,257,39477
No,No,1099,47625
No,No,262,17822
No,No,648,45392
No,Yes,238,17194
No,Yes,316,18813
Yes,No,1302,43680
No,Yes,597,21296
No,No,628,48380
Yes,No,1379,38881
No,No,164,42695
No,No,1032,46541
No,No,352,39404
No,No,1161,37468
No,Yes,965,16440
No,No,771,49440
No,No,199,49292
No,Yes,287,24440
Yes,No,1940,41162
No,Yes,559,16994
Yes,Yes,2035,14435
No,No,750,53084
No,No,566,36039
Yes,Yes,1874,14957
Yes,Yes,2024,9663
No,Yes,478,27512
Yes,Yes,1118,21848
No,No,711,45419
No,No,1015,31820
No,No,455,41378
No,No,1386,44536
No,No,1354,33375
No,No,514,20632
No,Yes,1595,23308
No,No,618,25927
No,No,1451,53556
No,No,947,38505
No,Yes,382,19951
Yes,No,1554,26430
No,No,0,36201
Yes,No,1488,22256
No,No,1059,64315
No,No,928,46709
No,Yes,850,18618
No,No,826,47358
No,Yes,0,19134
No,Yes,1307,19381
No,No,1672,46334
No,Yes,662,12008
No,Yes,1087,18053
No,Yes,1051,6583
No,No,951,33326
No,Yes,1372,10776
No,No,398,30001
No,No,498,51690
No,No,221,34786
No,No,107,42287
No,No,253,50236
No,No,1214,21630
No,No,831,27706
No,No,605,21792
No,No,483,44281
No,No,1088,47147
No,No,643,27735
No,No,1591,46259
No,Yes,774,10333
Yes,No,1558,41648
No,No,588,56520
Yes,No,1665,30070
No,Yes,1343,27168
No,No,875,37160
Yes,No,1907,42346
No,No,1005,34297
No,No,265,45828
No,No,617,50177
No,No,0,35282
No,Yes,677,20745
No,No,937,33266
No,Yes,1005,22128
No,No,858,29150
No,No,636,52011
No,No,1108,60725
No,No,1060,36920
Yes,No,1562,49303
No,No,306,30135
No,Yes,582,17730
No,No,808,23519
No,No,1222,68564
No,Yes,1240,19702
No,No,583,38215
No,Yes,1035,13959
No,No,1670,41409
No,No,987,50045
No,No,781,53178
No,No,1283,46335
No,Yes,517,17068
No,No,340,48058
No,No,843,41692
No,No,274,31292
No,No,1608,40078
Yes,No,2037,43016
No,No,1260,27697
No,No,1456,24089
No,Yes,1567,15877
Yes,No,2085,35657
No,Yes,1292,23065
No,No,847,43023
No,No,1507,24057
No,No,1269,43581
No,No,541,29807
No,No,574,31632
No,No,897,31465
No,No,294,57500
No,No,718,21044
No,No,785,50683
No,Yes,709,18305
Yes,No,1392,37620
No,No,814,42520
Yes,No,1632,44326
No,No,1005,36275
No,Yes,1037,22889
No,No,171,33505
No,No,526,44241
Yes,No,1757,51991
No,No,189,28827
No,No,449,45950
Yes,No,1650,31514
No,No,698,28682
No,Yes,1700,20844
No,Yes,1096,16148
Yes,Yes,2145,23516
No,No,981,23636
No,Yes,1273,18475
No,No,924,38676
Yes,No,2080,34494
No,Yes,1070,11383
No,No,677,50309
No,No,210,58413
No,No,1069,32441
No,No,962,25063
No,No,1143,28900
No,No,1731,58075
Yes,No,2147,58271
No,Yes,1799,14250
Yes,Yes,2387,28296
No,No,0,41435
No,Yes,736,13756
Yes,Yes,1647,16154
Yes,No,1731,56228
No,Yes,776,14229
No,No,906,47101
Yes,Yes,2502,14947
No,Yes,1080,20439
No,Yes,1698,11764
Yes,No,1323,18820
Yes,No,2236,37113
No,Yes,1263,18520
No,No,559,55007
No,No,0,45104
No,No,521,28401
No,No,618,37333
No,No,326,20310
Yes,No,1903,41173
No,No,266,41204
No,No,1341,53122
No,No,1699,29196
No,Yes,472,13685
Yes,No,1350,21541
No,Yes,1590,18666
No,No,853,39553
No,Yes,778,23805
No,No,814,29631
No,No,503,20476
No,No,399,54329
Yes,No,1588,38014
No,No,881,41728
No,Yes,1678,8154
No,Yes,639,19900
Yes,No,1360,28992
No,No,127,27483
Yes,No,1899,46076
No,No,1087,54961
No,Yes,856,23199
No,No,443,36547
No,No,614,30905
No,Yes,850,26764
No,No,884,36889
No,No,549,43688
Yes,Yes,1543,18304
No,No,201,71878
Yes,Yes,1719,15752
No,Yes,757,18876
No,No,1001,47640
No,No,0,49626
No,Yes,831,17572
No,No,173,32480
No,Yes,612,16270
Yes,No,1847,30202
No,No,932,61192
No,No,1040,35639
Yes,Yes,2182,22037
No,No,469,51308
No,No,755,53091
Yes,No,1488,36457
No,No,1097,46807
No,Yes,1175,18178
Yes,No,1753,48965
No,No,132,51694
Yes,Yes,2182,20780
No,Yes,1187,24267
No,Yes,1671,20074
Yes,No,1488,49803
No,No,1074,41545
No,Yes,1719,18696
No,No,1023,33392
No,No,1143,42694
No,Yes,1011,28316
Yes,Yes,1899,20655
No,No,314,51112
No,Yes,515,10214
Yes,No,1288,44253
No,Yes,1218,18144
Yes,No,1332,53517
No,No,153,54331
Yes,No,1532,42152
No,No,1088,43134
No,No,641,18350
Yes,No,1922,56202
No,No,31,33702
No,No,217,39616
No,No,961,30290
No,No,735,23225
No,No,759,48560
Yes,No,1914,55573
Yes,No,1605,26149
No,No,469,30366
No,No,949,50404
No,No,241,34507
Yes,No,1622,39228
No,Yes,787,22434
No,No,686,51120
No,No,619,45463
No,No,0,41663
Yes,Yes,1551,19027
No,Yes,1908,17642
No,Yes,983,24554
No,No,212,29592
No,No,357,35623
No,No,779,38387
No,Yes,1254,18189
No,Yes,635,18344
No,No,1355,18935
No,Yes,1409,21569
No,No,840,24801
No,No,672,36705
Yes,No,2202,47287
No,Yes,313,18071
No,No,860,56687
No,Yes,1402,13870
No,No,1110,27501
No,Yes,1184,23235
Yes,Yes,1893,21526
Yes,No,1733,26330
No,No,976,59291
Yes,No,1969,29415
No,No,496,33782
Yes,Yes,2177,17659
No,No,902,52528
No,No,467,43435
No,No,147,37588
No,No,1036,34912
Yes,Yes,2269,18021
Yes,No,2124,44520
No,No,65,31992
No,No,941,58991
Yes,No,2128,42096
No,No,478,28262
No,No,792,37549
Yes,No,1954,35067
No,No,486,25117
No,No,619,41281
No,No,0,30236
Yes,No,1673,49310
Yes,No,1844,35508
No,Yes,639,17037
No,No,408,51131
Yes,No,1815,31632
