title,rating,ratingLevel,ratingDescription,release year,user rating score,user rating size
Supernatural,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,95,80
Breaking Bad,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2013,97,80
Parks and Recreation,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,94,80
Glee,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2015,92,80
The Vampire Diaries,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2017,91,80
Family Guy,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,98,80
Criminal Minds,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,98,80
Friends,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2003,98,80
The Secret Life of the American Teenager,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,81,80
One Tree Hill,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2011,90,80
The Walking Dead,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,98,80
Pretty Little Liars,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,96,80
Shameless (U.S.),TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,97,80
New Girl,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,91,80
American Horror Story,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,90,80
Orange Is the New Black,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,98,80
Inside Russia's Toughest Prison,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2011,NA,82
Black Mirror,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,80,80
Bates Motel,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,83,80
The 100,NR,This movie has not been rated.,124,2016,97,80
Marvel's Iron Fist,TV-MA,,110,2017,98,80
Grace and Frankie,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,90,80
How to Get Away with Murder,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,95,80
The Get Down,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,80,80
Love,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,NA,82
The Flash,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2016,98,80
The OA,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,NA,82
Stranger Things,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,90,80
Ingobernable,TV-MA,,110,2017,96,80
Zootopia,PG,"some thematic elements, rude humor and action",60,2016,97,80
Meet the Blacks,R,"pervasive language, some sexual material, violence and drug use",100,2016,79,80
Finding Dory,PG,mild thematic elements,60,2016,98,80
Santa Clarita Diet,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,82,80
Sausage Party,R,"strong crude sexual content, pervasive language, and drug use",100,2016,91,80
Pete's Dragon,PG,"for action, peril and brief language",60,2016,93,80
Kevin Hart: What Now?,R,"some sexual material, and language throughout",100,2016,97,80
Girlboss,TV-MA,,110,2017,94,80
The Discovery,TV-MA,,110,2017,NA,82
Sand Castle,TV-MA,,110,2017,89,80
Sandy Wexler,TV-14,,90,2017,92,80
Chewing Gum,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,93,80
Cheer Squad,TV-PG,,70,2016,61,80
Only for One Night,TV-MA,,110,2016,78,80
The Life Aquatic with Steve Zissou,R,"language, some drug use, violence and partial nudity",100,2004,NA,82
Lucky Number Slevin,R,"strong violence, sexual content and adult language",100,2006,NA,82
The L Word,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2009,NA,82
The Office (U.S.),TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,97,80
30 Rock,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,66,80
Mad Men,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,75,80
It's Always Sunny in Philadelphia,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,91,80
Californication,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2014,63,80
Parks and Recreation,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,94,80
Friends,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2003,98,80
Shameless (U.S.),TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,97,80
Portlandia,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,62,80
New Girl,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,91,80
Don't Trust the B---- in Apartment 23,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,NA,82
Friends with Benefits,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2011,NA,82
The Client List,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,92,80
Halt and Catch Fire,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,NA,82
5 to 7,R,some sexual material,100,2014,NA,82
Marvel's Iron Fist,TV-MA,,110,2017,98,80
Chef's Table,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,NA,82
Documentary Now!,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,NA,82
Grace and Frankie,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,90,80
Better Call Saul,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,95,80
The Get Down,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,80,80
Schitt's Creek,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,74,80
Lovesick,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,NA,82
Flaked,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,NA,82
Master of None,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,NA,82
Chelsea,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,NA,82
Abstract: The Art of Design,TV-14,,90,2017,NA,82
Cooper Barrett's Guide to Surviving Life,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,NA,82
The Great British Baking Show,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2016,94,80
Life in Pieces,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,68,80
Crazy Ex-Girlfriend,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2017,NA,82
Easy,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,NA,82
Santa Clarita Diet,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,82,80
No Tomorrow,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,NA,82
Minimalism: A Documentary About the Important Things,TV-PG,,70,2016,NA,82
Girlboss,TV-MA,,110,2017,94,80
Hot Girls Wanted: Turned On,TV-MA,,110,2017,NA,82
The Discovery,TV-MA,,110,2017,NA,82
13 Reasons Why,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,99,80
Sandy Wexler,TV-14,,90,2017,92,80
Chewing Gum,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,93,80
Win It All,TV-MA,,110,2017,NA,82
MerlÌ?,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2015,NA,82
Amy Schumer: The Leather Special,TV-MA,,110,2017,NA,82
Louis C.K. 2017,TV-MA,,110,2017,71,80
Dave Chappelle,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,94,80
Almost Adults,NR,This movie has not been rated.,124,2016,NA,82
The Brothers,R,strong sexual content and language,100,2001,NA,82
Skins,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2013,NA,82
The Cleveland Show,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,88,80
Absolutely Fabulous,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,59,80
Don't Trust the B---- in Apartment 23,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,NA,82
Raising Hope,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,73,80
Come Fly With Me,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2010,NA,82
Orange Is the New Black,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,98,80
Brickleberry,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2014,63,80
Bates Motel,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,83,80
BoJack Horseman,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,NA,82
Being Mary Jane: The Series,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,NA,82
Documentary Now!,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,NA,82
Grace and Frankie,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,90,80
Unbreakable Kimmy Schmidt,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,NA,82
The Get Down,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,80,80
Love,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,NA,82
Bordertown,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,86,80
Jane The Virgin,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,91,80
Schitt's Creek,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,74,80
Dope,R,"language, drug content, sexuality/nudity, and some violence-all involving teens",100,2015,79,80
Lovesick,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,NA,82
The Carmichael Show,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,69,80
Cooper Barrett's Guide to Surviving Life,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,NA,82
The Great British Baking Show,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2016,94,80
November Rule,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,NA,82
Life in Pieces,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,68,80
Crazy Ex-Girlfriend,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2017,NA,82
Easy,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,NA,82
Haters Back Off,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,58,80
Kubo and the Two Strings,PG,"thematic elements, scary images, action and peril",60,2016,96,80
Skins,TV-MA,,110,2017,NA,82
A Weekend with the Family,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,NA,82
Crazyhead,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,NA,82
Queen of Katwe,PG,"thematic elements, an accident scene and some suggestive material",60,2016,NA,81
Little Boxes,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,61,80
Deidra & Laney Rob a Train,TV-14,,90,2017,NA,82
Girlboss,TV-MA,,110,2017,94,80
Hot Girls Wanted: Turned On,TV-MA,,110,2017,NA,82
13 Reasons Why,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,99,80
Hurricane Bianca,TV-MA,,110,2016,NA,82
Honeytrap,NR,This movie has not been rated.,124,2014,NA,82
Greenleaf,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,62,80
Lazy Eye,TV-MA,,110,2016,NA,82
Like Cotton Twines,NR,,124,2016,NA,82
The Wedding Party,TV-14,,90,2016,NA,82
Dave Chappelle,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,94,80
Only for One Night,TV-MA,,110,2016,78,80
Boy Bye,TV-MA,,110,2016,NA,82
Almost Adults,NR,This movie has not been rated.,124,2016,NA,82
Nancy Drew,PG,Parental guidance suggested. May not be suitable for children.,60,2007,NA,82
30 Rock,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,66,80
Nurse Jackie,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,82,80
Parks and Recreation,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,94,80
Drop Dead Diva,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,NA,82
Gilmore Girls,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2006,91,80
Parenthood,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,79,80
Life Unexpected,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2010,55,80
Portlandia,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,62,80
New Girl,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,91,80
Don't Trust the B---- in Apartment 23,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,NA,82
Raising Hope,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,73,80
Being Human (U.S.),TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,58,80
Friends with Benefits,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2011,NA,82
The Carrie Diaries,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,NA,82
Baby Daddy,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,80,80
Halt and Catch Fire,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,NA,82
The Angriest Man in Brooklyn,R,Restricted. May be inappropriate for children 17 and under.,100,2014,NA,82
5 to 7,R,some sexual material,100,2014,NA,82
Chef's Table,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,NA,82
Grace and Frankie,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,90,80
Unbreakable Kimmy Schmidt,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,NA,82
The Get Down,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,80,80
Sense8,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,81,80
Love,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,NA,82
Bordertown,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,86,80
Girlfriends' Guide to Divorce,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,63,80
Schitt's Creek,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,74,80
The Carmichael Show,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,69,80
Chelsea,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,NA,82
Abstract: The Art of Design,TV-14,,90,2017,NA,82
Cooper Barrett's Guide to Surviving Life,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,NA,82
The Great British Baking Show,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2016,94,80
Life in Pieces,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,68,80
Crazy Ex-Girlfriend,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2017,NA,82
Fried,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,NA,82
The Great Gilly Hopkins,PG,for thematic material and language,60,2016,69,80
The Magicians,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,89,80
One Day at a Time,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2017,NA,82
No Tomorrow,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,NA,82
Hot Girls Wanted: Turned On,TV-MA,,110,2017,NA,82
13 Reasons Why,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,99,80
Better Off Single,TV-MA,,110,2016,NA,82
Sandy Wexler,TV-14,,90,2017,92,80
Chewing Gum,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,93,80
The Matchbreaker,PG,Parental guidance suggested. May not be suitable for children.,60,2016,79,80
Tramps,TV-MA,,110,2017,NA,82
Slam,TV-MA,,110,2017,NA,82
Cheer Squad,TV-PG,,70,2016,61,80
Almost Adults,NR,This movie has not been rated.,124,2016,NA,82
The Waterboy,PG-13,language and some crude sexual humor,80,1998,82,80
10 Things I Hate About You,PG-13,"adult content, adult language and mild violence",80,1999,68,80
Grease,PG,Parental guidance suggested. May not be suitable for children.,60,1978,86,80
How to Lose a Guy in 10 Days,PG-13,some sex-related material,80,2003,56,80
The Benchwarmers,PG-13,"crude and suggestive humor, and for language",80,2006,77,80
Step Up,PG-13,"thematic elements, brief violence and innuendo",80,2006,64,80
High School Musical 2,TV-G,Suitable for all ages.,35,2007,58,80
Twilight,PG-13,some violence and one sexual scene,80,2008,89,80
Coraline,PG,"thematic elements, scary images, some language and suggestive humor",60,2009,95,80
Hannah Montana: The Movie,G,General Audiences. Suitable for all ages.,35,2009,56,80
The Office (U.S.),TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,97,80
Friday Night Lights,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2010,81,80
StarStruck,TV-G,Suitable for all ages.,35,2010,NA,82
Grey's Anatomy,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,98,80
Prison Break,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2008,98,80
90210,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,62,80
Gossip Girl,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,96,80
How I Met Your Mother,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,94,80
Glee,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2015,92,80
The Vampire Diaries,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2017,91,80
Family Guy,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,98,80
Criminal Minds,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,98,80
Friends,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2003,98,80
Mean Girls 2,PG-13,"For some rude and suggestive material, and for language.",80,2011,NA,82
The Secret Life of the American Teenager,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,81,80
That '70s Show,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2005,89,80
Gilmore Girls,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2006,91,80
Parenthood,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,79,80
Heartland,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2015,85,80
Pretty Little Liars,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,96,80
Shameless (U.S.),TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,97,80
Switched at Birth,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,83,80
New Girl,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,91,80
Hart of Dixie,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,81,80
The Client List,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,92,80
The Carrie Diaries,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,NA,82
Safe Haven,PG-13,"thematic material involving threatening behavior, and for violence and sexuality",80,2013,62,80
Baby Daddy,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,80,80
The Night Shift,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,93,80
Reign,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,79,80
Grace and Frankie,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,90,80
How to Get Away with Murder,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,95,80
Fuller House,TV-G,Suitable for all ages.,35,2016,90,80
Finding Dory,PG,mild thematic elements,60,2016,98,80
Gilmore Girls: A Year in the Life,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,77,80
13 Reasons Why,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,99,80
Gabriel lglesias: I‰Ûªm Sorry For What I Said When I Was Hungry,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,84,80
Amy Schumer: The Leather Special,TV-MA,,110,2017,NA,82
Cheer Squad,TV-PG,,70,2016,61,80
Dave Chappelle,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,94,80
The Waterboy,PG-13,language and some crude sexual humor,80,1998,82,80
Grease,PG,Parental guidance suggested. May not be suitable for children.,60,1978,86,80
The Wedding Planner,PG-13,language and some sexual humor,80,2001,NA,82
Blow,R,"pervasive drug content and language, some violence and sexuality",100,2001,78,80
High School Musical,TV-G,Suitable for all ages.,35,2006,64,80
High School Musical 2,TV-G,Suitable for all ages.,35,2007,58,80
Twilight,PG-13,some violence and one sexual scene,80,2008,89,80
Hannah Montana: The Movie,G,General Audiences. Suitable for all ages.,35,2009,56,80
The Office (U.S.),TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,97,80
Bones,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,97,80
Law & Order: Special Victims Unit,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,97,80
Prison Break,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2008,98,80
Nurse Jackie,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,82,80
NCIS,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,97,80
Gossip Girl,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,96,80
How I Met Your Mother,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,94,80
Supernatural,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,95,80
Parks and Recreation,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,94,80
Glee,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2015,92,80
The Vampire Diaries,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2017,91,80
Criminal Minds,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,98,80
Friends,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2003,98,80
