Rank,Time,Name,Country,Date of Birth,Place,City,Date,Gender,Event
50,00:01:42.650000,Johnny Gray,USA,1960-06-19,1,Zürich,1988-08-17,Men,800 m
51,00:01:42.660000,Nijel Amos,BOT,1994-03-15,2,Monaco,2015-07-17,Men,800 m
52,00:01:42.670000,Alfred Kirwa Yego,KEN,1986-11-28,2,Rieti,2009-06-09,Men,800 m
53,00:01:42.690000,Hezekiél Sepeng,RSA,1974-06-30,2,Bruxelles,1999-03-09,Men,800 m
53,00:01:42.690000,Japheth Kimutai,KEN,1978-12-20,3,Bruxelles,1999-03-09,Men,800 m
53,00:01:42.690000,Abubaker Kaki Khamis,SUD,1989-06-21,1,Oslo,2008-06-06,Men,800 m
56,00:01:42.740000,Hezekiél Sepeng,RSA,1974-06-30,2,Atlanta,1996-07-31,Men,800 m
56,00:01:42.740000,Wilson Kipketer,DEN,1970-12-12,1,Bruxelles,2002-08-30,Men,800 m
58,00:01:42.750000,André Bucher,SUI,1976-10-19,2,Bruxelles,2001-08-24,Men,800 m
59,00:01:42.760000,Wilson Kipketer,DEN,1970-12-12,1,Oslo,1996-05-07,Men,800 m
59,00:01:42.760000,Japheth Kimutai,KEN,1978-12-20,1,Stuttgart,1998-07-19,Men,800 m
61,00:01:42.770000,Wilson Kipketer,DEN,1970-12-12,1,Bruxelles,1996-08-23,Men,800 m
61,00:01:42.770000,Wilson Kipketer,DEN,1970-12-12,1,Monaco,1997-08-16,Men,800 m
63,00:01:42.790000,Frederick Onyancha,KEN,1969-12-25,3,Atlanta,1996-07-31,Men,800 m
63,00:01:42.790000,Wilson Kipketer,DEN,1970-12-12,1,Roma,1999-07-07,Men,800 m
63,00:01:42.790000,Yuriy Borzakovskiy,RUS,1981-04-12,1,Monaco,2008-07-19,Men,800 m
63,00:01:42.790000,Youssef Saad Kamel,BRN,1983-03-29,2,Monaco,2008-07-19,Men,800 m
67,00:01:42.800000,Johnny Gray,USA,1960-06-19,1,New Orleans,1992-06-24,Men,800 m
68,00:01:42.810000,Jean-Patrick Nduwimana,BDI,1978-05-09,2,Zürich,2001-08-17,Men,800 m
68,00:01:42.810000,David Rudisha,KEN,1988-12-17,2,Zürich,2012-08-30,Men,800 m
70,00:01:42.820000,Duane Solomon,USA,1984-12-28,4,London,2012-09-08,Men,800 m
71,00:01:42.830000,Mohammed Aman,ETH,1994-01-10,3,Monaco,2014-07-18,Men,800 m
72,00:01:42.840000,David Rudisha,KEN,1988-12-17,1,Nairobi,2010-07-30,Men,800 m
72,00:01:42.840000,Ferguson Cheruiyot,KEN,1989-11-30,4,Monaco,2014-07-18,Men,800 m
74,00:01:42.850000,Norberto Téllez,CUB,1972-01-22,4,Atlanta,1996-07-31,Men,800 m
75,00:01:42.860000,Mbulaeni Mulaudzi,RSA,1980-09-08,3,Rieti,2009-06-09,Men,800 m
76,00:01:42.870000,Wilson Kipketer,DEN,1970-12-12,1,Monaco,1995-07-25,Men,800 m
76,00:01:42.870000,Wilson Kipketer,DEN,1970-12-12,1,Zürich,1995-08-16,Men,800 m
76,00:01:42.870000,Japheth Kimutai,KEN,1978-12-20,1,Zürich,1998-12-08,Men,800 m
76,00:01:42.870000,Alfred Kipketer,KEN,1996-12-26,1,Saint-Denis,2016-08-27,Men,800 m
80,00:01:42.880000,Steve Cram,GBR,1960-10-14,1,Zürich,1985-08-21,Men,800 m
81,00:01:42.890000,Mbulaeni Mulaudzi,RSA,1980-09-08,2,Bruxelles,2003-05-09,Men,800 m
82,00:01:42.900000,Patrick Ndururi,KEN,1969-01-12,1,Roma,1998-07-14,Men,800 m
82,00:01:42.900000,André Bucher,SUI,1976-10-19,1,Monaco,2001-07-20,Men,800 m
84,00:01:42.910000,William Yiampoy,KEN,1974-05-17,3,Rieti,2002-08-09,Men,800 m
84,00:01:42.910000,David Rudisha,KEN,1988-12-17,1,London,2011-05-08,Men,800 m
86,00:01:42.920000,André Bucher,SUI,1976-10-19,4,Bruxelles,1999-03-09,Men,800 m
87,00:01:42.930000,Clayton Murphy,USA,1995-02-26,3,Rio de Janeiro,2016-08-15,Men,800 m
88,00:01:42.950000,Vebjørn Rodal,NOR,1972-09-16,2,Oslo,1996-05-07,Men,800 m
88,00:01:42.950000,Boaz Lalang,KEN,1989-02-08,2,Rieti,2010-08-29,Men,800 m
88,00:01:42.950000,Nick Symmonds,USA,1983-12-30,5,London,2012-09-08,Men,800 m
91,00:01:42.960000,Johnny Gray,USA,1960-06-19,1,Koblenz,1984-08-29,Men,800 m
91,00:01:42.960000,Wilfred Bungei,KEN,1980-07-24,3,Zürich,2001-08-17,Men,800 m
93,00:01:42.970000,Peter Elliott,GBR,1962-10-09,1,Sevilla,1990-05-30,Men,800 m
93,00:01:42.970000,Ayanleh Souleiman,DJI,1992-12-03,3,Monaco,2015-07-17,Men,800 m
95,00:01:42.980000,Joaquim Cruz,BRA,1963-03-12,1,Berlin,1985-08-23,Men,800 m
95,00:01:42.980000,Patrick Konchellah,KEN,1968-04-20,2,Köln,1997-08-24,Men,800 m
95,00:01:42.980000,Wilson Kipketer,DEN,1970-12-12,1,Fukuoka,1997-09-13,Men,800 m
95,00:01:42.980000,Japheth Kimutai,KEN,1978-12-20,2,Roma,1999-07-07,Men,800 m
95,00:01:42.980000,David Rudisha,KEN,1988-12-17,5,Monaco,2014-07-18,Men,800 m
95,00:01:42.980000,Taoufik Makhloufi,ALG,1988-04-29,2,Saint-Denis,2016-08-27,Men,800 m
101,00:01:43,Joaquim Cruz,BRA,1963-03-12,1,Los Angeles,1984-06-08,Men,800 m
101,00:01:43,William Yiampoy,KEN,1974-05-17,4,Zürich,2001-08-17,Men,800 m
101,00:01:43,David Rudisha,KEN,1988-12-17,1,Ad-Dawhah,2010-05-14,Men,800 m
104,00:01:43.010000,Wilson Kipketer,DEN,1970-12-12,1,Zürich,1999-11-08,Men,800 m
105,00:01:43.030000,Kenneth Kimwetich,KEN,1973-01-01,2,Stuttgart,1998-07-19,Men,800 m
105,00:01:43.030000,Nick Symmonds,USA,1983-12-30,2,Bruxelles,2013-06-09,Men,800 m
107,00:01:43.050000,Wilfred Bungei,KEN,1980-07-24,1,Hengelo,2003-01-06,Men,800 m
107,00:01:43.050000,Jonathan Kitilit,KEN,1994-04-24,3,Saint-Denis,2016-08-27,Men,800 m
109,00:01:43.060000,Billy Konchellah,KEN,1961-10-20,1,Roma,1987-01-09,Men,800 m
109,00:01:43.060000,Wilfred Bungei,KEN,1980-07-24,1,Zürich,2004-06-08,Men,800 m
111,00:01:43.070000,Sebastian Coe,GBR,1956-09-29,2,Köln,1985-08-25,Men,800 m
111,00:01:43.070000,Yeimer López,CUB,1982-08-20,1,Jerez de la Frontera,2008-06-24,Men,800 m
113,00:01:43.080000,José Luis Barbosa,BRA,1961-05-27,1,Rieti,1991-06-09,Men,800 m
113,00:01:43.080000,Ayanleh Souleiman,DJI,1992-12-03,1,Barcelona,2015-08-07,Men,800 m
115,00:01:43.090000,Japheth Kimutai,KEN,1978-12-20,2,Monaco,1999-04-08,Men,800 m
115,00:01:43.090000,Djabir Said-Guerni,ALG,1977-03-29,5,Bruxelles,1999-03-09,Men,800 m
115,00:01:43.090000,Mbulaeni Mulaudzi,RSA,1980-09-08,1,Rieti,2006-08-27,Men,800 m
115,00:01:43.090000,Abubaker Kaki Khamis,SUD,1989-06-21,1,Ad-Dawhah,2009-08-05,Men,800 m
119,00:01:43.100000,Johnny Gray,USA,1960-06-19,1,Hengelo,1988-08-14,Men,800 m
119,00:01:43.100000,Abubaker Kaki Khamis,SUD,1989-06-21,1,Hengelo,2009-01-06,Men,800 m
119,00:01:43.100000,Abubaker Kaki Khamis,SUD,1989-06-21,1,Monaco,2010-07-22,Men,800 m
119,00:01:43.100000,David Rudisha,KEN,1988-12-17,1,Ad-Dawhah,2012-11-05,Men,800 m
123,00:01:43.110000,Wilson Kipketer,DEN,1970-12-12,1,Oslo,1999-06-30,Men,800 m
123,00:01:43.110000,Youssef Saad Kamel,BRN,1983-03-29,1,Zürich,2004-06-08,Men,800 m
123,00:01:43.110000,Nijel Amos,BOT,1994-03-15,1,Mannheim,2012-09-06,Men,800 m
126,00:01:43.120000,André Bucher,SUI,1976-10-19,1,Lausanne,2000-05-07,Men,800 m
126,00:01:43.120000,Hezekiél Sepeng,RSA,1974-06-30,3,Bruxelles,2003-05-09,Men,800 m
128,00:01:43.130000,Wilson Kipketer,DEN,1970-12-12,1,Byrkjelo,1996-06-16,Men,800 m
128,00:01:43.130000,Abubaker Kaki Khamis,SUD,1989-06-21,2,London,2011-05-08,Men,800 m
128,00:01:43.130000,Abraham Rotich,KEN,1993-06-26,1,Monaco,2012-07-20,Men,800 m
131,00:01:43.150000,Japheth Kimutai,KEN,1978-12-20,4,Rieti,2002-08-09,Men,800 m
131,00:01:43.150000,Mehdi Baala,FRA,1978-08-17,5,Rieti,2002-08-09,Men,800 m
131,00:01:43.150000,David Rudisha,KEN,1988-12-17,1,Melbourne,2010-04-03,Men,800 m
131,00:01:43.150000,Asbel Kiprop,KEN,1989-06-30,2,Monaco,2011-07-22,Men,800 m
131,00:01:43.150000,Abraham Rotich,KEN,1993-06-26,1,Heusden-Zolder,2012-08-07,Men,800 m
136,00:01:43.160000,Paul Ereng,KEN,1967-08-22,1,Zürich,1989-08-16,Men,800 m
136,00:01:43.160000,Hezekiél Sepeng,RSA,1974-06-30,3,Monaco,1999-04-08,Men,800 m
138,00:01:43.170000,Benson Koech,KEN,1974-11-10,1,Rieti,1994-08-28,Men,800 m
138,00:01:43.170000,Yuriy Borzakovskiy,RUS,1981-04-12,2,Monaco,2001-07-20,Men,800 m
138,00:01:43.170000,Asbel Kiprop,KEN,1989-06-30,2,Ad-Dawhah,2009-08-05,Men,800 m
141,00:01:43.180000,Wilson Kipketer,DEN,1970-12-12,2,Zürich,1998-12-08,Men,800 m
142,00:01:43.190000,Steve Cram,GBR,1960-10-14,1,Rieti,1986-07-09,Men,800 m
142,00:01:43.190000,Hezekiél Sepeng,RSA,1974-06-30,3,Köln,1997-08-24,Men,800 m
144,00:01:43.200000,José Luis Barbosa,BRA,1961-05-27,2,Zürich,1988-08-17,Men,800 m
144,00:01:43.200000,Mark Everett,USA,1968-09-02,1,Linz,1997-09-07,Men,800 m
144,00:01:43.200000,Mohammed Aman,ETH,1994-01-10,6,London,2012-09-08,Men,800 m
147,00:01:43.210000,Patrick Ndururi,KEN,1969-01-12,3,Zürich,1998-12-08,Men,800 m
148,00:01:43.220000,Steve Cram,GBR,1960-10-14,1,Edinburgh,1986-07-31,Men,800 m
148,00:01:43.220000,Paul Ereng,KEN,1967-08-22,1,Nice,1989-10-07,Men,800 m
148,00:01:43.220000,Pawel Czapiewski,POL,1978-03-30,5,Zürich,2001-08-17,Men,800 m
148,00:01:43.220000,Ferguson Cheruiyot,KEN,1989-11-30,3,Bruxelles,2013-06-09,Men,800 m
152,00:01:43.230000,Joaquim Cruz,BRA,1963-03-12,2,Zürich,1985-08-21,Men,800 m
153,00:01:43.240000,Wilfred Bungei,KEN,1980-07-24,1,Ostrava,2003-12-06,Men,800 m
154,00:01:43.250000,Vebjørn Rodal,NOR,1972-09-16,1,London,1996-12-07,Men,800 m
154,00:01:43.250000,Djabir Said-Guerni,ALG,1977-03-29,1,Bruxelles,2000-08-25,Men,800 m
154,00:01:43.250000,Mbulaeni Mulaudzi,RSA,1980-09-08,1,Rehlingen,2003-09-06,Men,800 m
154,00:01:43.250000,Amine Laâlou,MAR,1982-05-13,1,Roma,2006-07-14,Men,800 m
154,00:01:43.250000,David Rudisha,KEN,1988-12-17,1,Lausanne,2010-08-07,Men,800 m
159,00:01:43.260000,Sammy Kibet Langat,KEN,1970-01-24,1,Zürich,1996-08-14,Men,800 m
159,00:01:43.260000,Mbulaeni Mulaudzi,RSA,1980-09-08,3,Monaco,2008-07-29,Men,800 m
161,00:01:43.270000,David Rudisha,KEN,1988-12-17,1,Split,2010-05-09,Men,800 m
161,00:01:43.270000,Duane Solomon,USA,1984-12-28,1,Des Moines,2013-06-23,Men,800 m
161,00:01:43.270000,Nijel Amos,BOT,1994-03-15,1,Lausanne,2015-09-07,Men,800 m
164,00:01:43.280000,Johnny Gray,USA,1960-06-19,2,Bruxelles,1984-08-24,Men,800 m
164,00:01:43.280000,Johnny Gray,USA,1960-06-19,3,Köln,1984-08-26,Men,800 m
164,00:01:43.280000,Sammy Koskei,KEN,1961-05-14,2,Koblenz,1984-08-29,Men,800 m
164,00:01:43.280000,Wilson Kipketer,DEN,1970-12-12,4,Bruxelles,2003-05-09,Men,800 m
164,00:01:43.280000,Nijel Amos,BOT,1994-03-15,1,Berlin,2015-06-09,Men,800 m
169,00:01:43.290000,Wilson Kipketer,KEN,1970-12-12,1,Oslo,1994-07-22,Men,800 m
169,00:01:43.290000,William Yiampoy,KEN,1974-05-17,2,Zürich,2004-06-08,Men,800 m
169,00:01:43.290000,Boaz Lalang,KEN,1989-02-08,2,Monaco,2010-07-22,Men,800 m
169,00:01:43.290000,Mbulaeni Mulaudzi,RSA,1980-09-08,3,Monaco,2010-07-22,Men,800 m
173,00:01:43.300000,William Tanui,KEN,1964-02-22,2,Rieti,1991-06-09,Men,800 m
173,00:01:43.300000,Wilson Kipketer,DEN,1970-12-12,1,Sevilla,1999-08-29,Men,800 m
173,00:01:43.300000,Yuriy Borzakovskiy,RUS,1981-04-12,6,Zürich,2001-08-17,Men,800 m
173,00:01:43.300000,Adam Kszczot,POL,1989-09-02,2,Rieti,2011-10-09,Men,800 m
177,00:01:43.310000,Nixon Kiprotich,KEN,1962-12-04,1,Rieti,1992-06-09,Men,800 m
177,00:01:43.310000,André Bucher,SUI,1976-10-19,2,Bruxelles,2000-08-25,Men,800 m
177,00:01:43.310000,Wilfred Bungei,KEN,1980-07-24,2,Rieti,2006-08-27,Men,800 m
177,00:01:43.310000,Mohammed Aman,ETH,1994-01-10,1,Moskva,2013-08-13,Men,800 m
177,00:01:43.310000,David Rudisha,KEN,1988-12-17,1,Berlin,2016-03-09,Men,800 m
182,00:01:43.320000,Hezekiél Sepeng,RSA,1974-06-30,2,Sevilla,1999-08-29,Men,800 m
182,00:01:43.320000,Djabir Said-Guerni,ALG,1977-03-29,2,Lausanne,2000-05-07,Men,800 m
182,00:01:43.320000,Abubaker Kaki Khamis,SUD,1989-06-21,7,London,2012-09-08,Men,800 m
185,00:01:43.330000,Johnny Gray,USA,1960-06-19,3,Köln,1985-08-25,Men,800 m
185,00:01:43.330000,Robert Kibsubai Chirchir,KEN,1972-11-26,3,Stuttgart,1998-07-19,Men,800 m
185,00:01:43.330000,William Chirchir,KEN,1979-02-06,6,Bruxelles,1999-03-09,Men,800 m
185,00:01:43.330000,Joseph Mutua Mwengi,KEN,1978-12-10,1,Zürich,2002-08-16,Men,800 m
185,00:01:43.330000,Mohammed Aman,ETH,1994-01-10,1,Lausanne,2013-04-07,Men,800 m
190,00:01:43.340000,José Luis Barbosa,BRA,1961-05-27,1,Koblenz,1988-08-28,Men,800 m
190,00:01:43.340000,Wilson Kipketer,DEN,1970-12-12,1,Berlin,1996-08-30,Men,800 m
190,00:01:43.340000,André Bucher,SUI,1976-10-19,1,Saint-Denis,2001-06-07,Men,800 m
190,00:01:43.340000,Asbel Kiprop,KEN,1989-06-30,1,Saint-Denis,2014-05-07,Men,800 m
190,00:01:43.340000,David Rudisha,KEN,1988-12-17,1,Glasgow,2014-12-07,Men,800 m
190,00:01:43.340000,Boris Berian,USA,1992-12-19,4,Monaco,2015-07-17,Men,800 m
196,00:01:43.350000,David Mack,USA,1961-05-30,3,Koblenz,1985-08-28,Men,800 m
196,00:01:43.350000,Wilson Kipketer,DEN,1970-12-12,3,Bruxelles,2000-08-25,Men,800 m
196,00:01:43.350000,Joseph Mutua Mwengi,KEN,1978-12-10,1,Rieti,2004-05-09,Men,800 m
196,00:01:43.350000,David Rudisha,KEN,1988-12-17,1,Székesfehérvár,2016-07-18,Men,800 m
200,00:01:43.360000,Johnny Gray,USA,1960-06-19,1,Zürich,1995-08-16,Men,800 m
200,00:01:43.360000,William Yiampoy,KEN,1974-05-17,2,Bruxelles,2002-08-30,Men,800 m
200,00:01:43.360000,Amine Laâlou,MAR,1982-05-13,2,Hengelo,2009-01-06,Men,800 m
203,00:01:43.370000,William Tanui,KEN,1964-02-22,2,Rieti,1992-06-09,Men,800 m
203,00:01:43.370000,Mohammed Aman,ETH,1994-01-10,3,Rieti,2011-10-09,Men,800 m
203,00:01:43.370000,Nicholas Kipkoech,KEN,1992-10-22,1,Nairobi,2016-04-29,Men,800 m
206,00:01:43.380000,Nixon Kiprotich,KEN,1962-12-04,2,Zürich,1989-08-16,Men,800 m
206,00:01:43.380000,Sebastian Coe,GBR,1956-09-29,1,Bern,1989-08-29,Men,800 m
206,00:01:43.380000,David Kiptoo Singoei,KEN,1965-06-26,2,Monaco,1996-10-08,Men,800 m
206,00:01:43.380000,Wilson Kipketer,DEN,1970-12-12,1,Athínai,1997-08-08,Men,800 m
206,00:01:43.380000,Rich Kenah,USA,1970-08-04,3,Zürich,1997-08-13,Men,800 m
206,00:01:43.380000,Arthémon Hatungimana,BDI,1974-01-21,3,Bruxelles,2001-08-24,Men,800 m
206,00:01:43.380000,Mbulaeni Mulaudzi,RSA,1980-09-08,1,Zürich,2006-08-18,Men,800 m
213,00:01:43.390000,Billy Konchellah,KEN,1961-10-20,1,Zürich,1987-08-19,Men,800 m
213,00:01:43.390000,Johnny Gray,USA,1960-06-19,1,Oslo,1989-01-07,Men,800 m
213,00:01:43.390000,William Tanui,KEN,1964-02-22,1,Bruxelles,1990-10-08,Men,800 m
213,00:01:43.390000,Patrick Konchellah,KEN,1968-04-20,2,Linz,1997-09-07,Men,800 m
217,00:01:43.400000,David Rudisha,KEN,1988-12-17,1,Eldoret,2016-06-30,Men,800 m
217,00:01:43.400000,Mark Everett,USA,1968-09-02,1,Oslo,1992-04-07,Men,800 m
217,00:01:43.400000,Leonard Kosencha,KEN,1994-08-21,2,Monaco,2012-07-20,Men,800 m
220,00:01:43.410000,Peter Elliott,GBR,1962-10-09,2,Roma,1987-01-09,Men,800 m
220,00:01:43.410000,Pierre-Ambroise Bosse,FRA,1992-05-11,4,Rio de Janeiro,2016-08-15,Men,800 m
222,00:01:43.420000,Steve Cram,GBR,1960-10-14,3,Zürich,1988-08-17,Men,800 m
222,00:01:43.420000,David Kiptoo Singoei,KEN,1965-06-26,2,Rieti,1996-01-09,Men,800 m
222,00:01:43.420000,Yuriy Borzakovskiy,RUS,1981-04-12,1,Athínai,2006-03-07,Men,800 m
225,00:01:43.430000,Johnny Gray,USA,1960-06-19,3,Zürich,1985-08-21,Men,800 m
225,00:01:43.430000,Youssef Saad Kamel,BRN,1983-03-29,2,Rieti,2004-05-09,Men,800 m
225,00:01:43.430000,Ferguson Cheruiyot,KEN,1989-11-30,4,Saint-Denis,2016-08-27,Men,800 m
228,00:01:43.440000,Alberto Juantorena,CUB,1950-12-03,1,Sofia,1977-08-21,Men,800 m
228,00:01:43.440000,Hezekiél Sepeng,RSA,1974-06-30,1,Zürich,1997-08-13,Men,800 m
228,00:01:43.440000,Duane Solomon,USA,1984-12-28,3,Monaco,2012-07-20,Men,800 m
231,00:01:43.450000,Paul Ereng,KEN,1967-08-22,1,Seoul,1988-09-26,Men,800 m
231,00:01:43.450000,Benson Koech,KEN,1974-11-10,2,Zürich,1995-08-16,Men,800 m
231,00:01:43.450000,Patrick Ndururi,KEN,1969-01-12,2,Fukuoka,1997-09-13,Men,800 m
231,00:01:43.450000,Bram Som,NED,1980-02-20,2,Zürich,2006-08-18,Men,800 m
231,00:01:43.450000,Asbel Kiprop,KEN,1989-06-30,2,Ad-Dawhah,2010-05-14,Men,800 m
231,00:01:43.450000,Adam Kszczot,POL,1989-09-02,5,Monaco,2015-07-17,Men,800 m
237,00:01:43.460000,Johnny Gray,USA,1960-06-19,1,Zürich,1986-08-13,Men,800 m
237,00:01:43.460000,Arthémon Hatungimana,BDI,1974-01-21,2,Zürich,1996-08-14,Men,800 m
237,00:01:43.460000,David Rudisha,KEN,1988-12-17,1,Tomblaine,2011-06-24,Men,800 m
240,00:01:43.470000,Hezekiél Sepeng,RSA,1974-06-30,1,Durham,1996-07-13,Men,800 m
241,00:01:43.480000,Wilfred Bungei,KEN,1980-07-24,1,Bruxelles,2004-03-09,Men,800 m
241,00:01:43.480000,Asbel Kiprop,KEN,1989-06-30,1,Athínai,2009-07-13,Men,800 m
241,00:01:43.480000,Abubaker Kaki Khamis,SUD,1989-06-21,1,Torino,2010-12-06,Men,800 m
241,00:01:43.480000,Jonathan Kitilit,KEN,1994-04-24,2,Nairobi,2016-04-29,Men,800 m
245,00:01:43.490000,José Luis Barbosa,BRA,1961-05-27,2,Hengelo,1988-08-14,Men,800 m
246,00:01:43.500000,Rick Wohlhuter,USA,1948-12-23,1,Eugene,1974-08-06,Men,800 m
246,00:01:43.500000,Alberto Juantorena,CUB,1950-12-03,1,Montréal,1976-07-25,Men,800 m
246,00:01:43.500000,Vebjørn Rodal,NOR,1972-09-16,2,Oslo,1994-07-22,Men,800 m
246,00:01:43.500000,Patrick Konchellah,KEN,1968-04-20,2,Bruxelles,1997-08-22,Men,800 m
246,00:01:43.500000,Mahjoub Haïda,MAR,1970-07-01,2,Roma,1998-07-14,Men,800 m
246,00:01:43.500000,William Yiampoy,KEN,1974-05-17,2,Bruxelles,2004-03-09,Men,800 m
246,00:01:43.500000,Abubaker Kaki Khamis,SUD,1989-06-21,1,Monaco,2009-07-28,Men,800 m
246,00:01:43.500000,Abubaker Kaki Khamis,SUD,1989-06-21,1,Saint-Denis,2010-07-16,Men,800 m
246,00:01:43.500000,David Rudisha,KEN,1988-12-17,1,Bruxelles,2010-08-27,Men,800 m
246,00:01:43.500000,Mohammed Aman,ETH,1994-01-10,1,Milano,2011-09-18,Men,800 m
256,00:01:43.510000,Sammy Koskei,KEN,1961-05-14,2,Zürich,1984-08-22,Men,800 m
256,00:01:43.510000,Johnny Gray,USA,1960-06-19,2,Oslo,1992-04-07,Men,800 m
256,00:01:43.510000,Mohammed Aman,ETH,1994-01-10,1,Daegu,2012-05-16,Men,800 m
259,00:01:43.520000,Joseph Mutua Mwengi,KEN,1978-12-10,5,Bruxelles,2003-05-09,Men,800 m
259,00:01:43.520000,Bram Som,NED,1980-02-20,3,Rieti,2006-08-27,Men,800 m
259,00:01:43.520000,David Rudisha,KEN,1988-12-17,1,Zürich,2009-08-28,Men,800 m
259,00:01:43.520000,Mohammed Aman,ETH,1994-01-10,1,Berlin,2014-08-31,Men,800 m
