CountryCode,IOC,FIFA,ShortName,TableName,LongName,Alpha2Code,CurrencyUnit,SpecialNotes,Region,IncomeGroup,Wb2Code,NationalAccountsBaseYear,NationalAccountsReferenceYear,SnaPriceValuation,LendingCategory,OtherGroups,SystemOfNationalAccounts,AlternativeConversionFactor,PppSurveyYear,BalanceOfPaymentsManualInUse,ExternalDebtReportingStatus,SystemOfTrade,GovernmentAccountingConcept,ImfDataDisseminationStandard,LatestPopulationCensus,LatestHouseholdSurvey,SourceOfMostRecentIncomeAndExpenditureData,VitalRegistrationComplete,LatestAgriculturalCensus,LatestIndustrialData,LatestTradeData,LatestWaterWithdrawalData
ABW,ARU,ARU,Aruba,Aruba,Aruba,AW,Aruban florin,SNA data for 2000-2011 are updated from official government statistics; 1994-1999 from UN databases. Base year has changed from 1995 to 2000.,Latin America & Caribbean,High income: nonOECD,AW,2000,NA,Value added at basic prices (VAB),NA,NA,Country uses the 1993 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",NA,Special trade system,NA,NA,2010,NA,NA,Yes,NA,NA,2012,NA
AUS,AUS,AUS,Australia,Australia,Commonwealth of Australia,AU,Australian dollar,Fiscal year end: June 30; reporting period for national accounts data: FY. Value added current series updated by the Australian Bureau of Statistics; data revised from 1990 onward; Australia reports using SNA 2008.,East Asia & Pacific,High income: OECD,AU,Original chained constant price data are rescaled.,2013/14,Value added at basic prices (VAB),NA,NA,Country uses the 2008 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",NA,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,NA,"Expenditure survey/budget survey (ES/BS), 2003",Yes,2011,2011,2013,2e3
AUT,AUT,AUT,Austria,Austria,Republic of Austria,AT,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 13.7603 Austrian schilling. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income: OECD,AT,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),NA,Euro area,Country uses the 2008 System of National Accounts methodology.,NA,Rolling,"IMF Balance of Payments Manual, 6th edition.",NA,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011. Population data compiled from administrative registers.,NA,"Integrated household survey (IHS), 2004",Yes,2010,2010,2013,2002
AZE,AZE,AZE,Azerbaijan,Azerbaijan,Republic of Azerbaijan,AZ,New Azeri manat,April 2012 database update: National accounts historical expenditure series in constant prices were revised in line with State Statistical Committee data that were not previously available.,Europe & Central Asia,Upper middle income,AZ,2000,NA,Value added at basic prices (VAB),IBRD,NA,Country uses the 1993 System of National Accounts methodology.,199295,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2009,"Demographic and Health Survey (DHS), 2006","Living Standards Measurement Study Survey (LSMS), 2011/12",Yes,2015,2011,2013,2012
BHR,BRN,BHR,Bahrain,Bahrain,Kingdom of Bahrain,BH,Bahraini dinar,Based on official government statistics; the new base year is 2010.,Middle East & North Africa,High income: nonOECD,BH,2010,NA,Value added at producer prices (VAP),NA,NA,Country uses the 1968 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",NA,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2010,NA,NA,Yes,NA,2010,2011,2003
BGD,BAN,BAN,Bangladesh,Bangladesh,People's Republic of Bangladesh,BD,Bangladeshi taka,Fiscal year end: June 30; reporting period for national accounts data: FY. The new base year is 2005/06.,South Asia,Lower middle income,BD,2005/06,NA,Value added at basic prices (VAB),IDA,NA,Country uses the 1993 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",Preliminary,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2011,"Demographic and Health Survey (DHS), 2014; HIV/Maternal and Child Health (HIV/MCH) Service Provision Assessments (SPA), 2014","Integrated household survey (IHS), 2010",NA,2008,NA,2007,2008
BRB,BAR,BRB,Barbados,Barbados,Barbados,BB,Barbados dollar,NA,Latin America & Caribbean,High income: nonOECD,BB,1974,NA,Value added at producer prices (VAP),NA,NA,Country uses the 1993 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",NA,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2010,"Multiple Indicator Cluster Survey (MICS), 2012",NA,Yes,2010. Population and Housing Census.,NA,2013,2005
BLR,BLR,BLR,Belarus,Belarus,Republic of Belarus,BY,Belarusian rubel,NA,Europe & Central Asia,Upper middle income,BY,Original chained constant price data are rescaled.,2000,Value added at basic prices (VAB),IBRD,NA,Country uses the 1993 System of National Accounts methodology.,199095,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2009,"Multiple Indicator Cluster Survey (MICS), 2012","Integrated household survey (IHS), 2013",Yes,NA,2011,2013,2e3
BEL,BEL,BEL,Belgium,Belgium,Kingdom of Belgium,BE,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Belgian franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income: OECD,BE,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),NA,Euro area,Country uses the 2008 System of National Accounts methodology.,NA,Rolling,"IMF Balance of Payments Manual, 6th edition.",NA,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,NA,"Integrated household survey (IHS), 2000",Yes,2010,2010,2013,2007
BLZ,BIZ,BLZ,Belize,Belize,Belize,BZ,Belize dollar,NA,Latin America & Caribbean,Upper middle income,BZ,2000,NA,Value added at basic prices (VAB),IBRD,NA,Country uses the 1993 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2010,"Multiple Indicator Cluster Survey (MICS), 2011","Labor force survey (LFS), 1999",NA,NA,NA,2013,2e3
BEN,BEN,BEN,Benin,Benin,Republic of Benin,BJ,West African CFA franc,NA,Sub-Saharan Africa,Low income,BJ,2007,NA,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1968 System of National Accounts methodology.,1992,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2013,"Multiple Indicator Cluster Survey (MICS), 2014","Core Welfare Indicator Questionnaire Survey (CWIQ), 2011/12",NA,2011/12,NA,2013,2001
BMU,BER,BER,Bermuda,Bermuda,The Bermudas,BM,Bermuda dollar,NA,North America,High income: nonOECD,BM,2006,NA,Value added at basic prices (VAB),NA,NA,Country uses the 1993 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",NA,General trade system,NA,NA,2010,NA,NA,Yes,NA,NA,2013,NA
BTN,BHU,BHU,Bhutan,Bhutan,Kingdom of Bhutan,BT,Bhutanese ngultrum,April 2013 database update: Data were updated using the government of Bhutan macroeconomic framework.,South Asia,Lower middle income,BT,2000,NA,Value added at basic prices (VAB),IDA,NA,Country uses the 1993 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2005,"Multiple Indicator Cluster Survey (MICS), 2010","Integrated household survey (IHS), 2012",NA,2009,NA,2011,2008
BOL,BOL,BOL,Bolivia,Bolivia,Plurinational State of Bolivia,BO,Bolivian Boliviano,NA,Latin America & Caribbean,Lower middle income,BO,1990,NA,Value added at basic prices (VAB),Blend,HIPC,Country uses the 1968 System of National Accounts methodology.,196085,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2012,"Demographic and Health Survey (DHS), 2008","Integrated household survey (IHS), 2012",NA,2013,NA,2013,2e3
BIH,BIH,BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,Bosnia and Herzegovina convertible mark,Based on official government statistics for chain linked series; the new reference year is 2010.,Europe & Central Asia,Upper middle income,BA,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),IBRD,NA,Country uses the 1993 System of National Accounts methodology.,NA,Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,General Data Dissemination System (GDDS),2013,"Multiple Indicator Cluster Survey (MICS), 2011/12","Living Standards Measurement Study Survey (LSMS), 2007",Yes,NA,NA,2013,2012
BWA,BOT,BOT,Botswana,Botswana,Republic of Botswana,BW,Botswana pula,"Fiscal year end: March 31; reporting period for national accounts data: CY. Based on official government statistics, national accounts data have been revised from 2006 onward; the new base year is 2006. Data before 2006 were reported on a fiscal year basis.",Sub-Saharan Africa,Upper middle income,BW,2006,NA,Value added at basic prices (VAB),IBRD,NA,Country uses the 1993 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",Estimate,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2011,"Multiple Indicator Cluster Survey (MICS), 2000","Expenditure survey/budget survey (ES/BS), 2009/10",NA,2011. Population and Housing Census.,2011,2013,2e3
BRA,BRA,BRA,Brazil,Brazil,Federative Republic of Brazil,BR,Brazilian real,NA,Latin America & Caribbean,Upper middle income,BR,1995,2000,Value added at basic prices (VAB),IBRD,NA,Country uses the 1993 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2010,"World Health Survey (WHS), 2003","Integrated household survey (IHS), 2012",NA,2006,2011,2013,2010
BRN,BRU,BRU,Brunei,Brunei Darussalam,Brunei Darussalam,BN,Brunei dollar,NA,East Asia & Pacific,High income: nonOECD,BN,2000,NA,Value added at producer prices (VAP),NA,NA,Country uses the 1993 System of National Accounts methodology.,NA,2011,NA,NA,Special trade system,NA,General Data Dissemination System (GDDS),2011,NA,NA,Yes,NA,NA,2013,1994
BGR,BUL,BUL,Bulgaria,Bulgaria,Republic of Bulgaria,BG,Bulgarian lev,The new reference year for chain linked series is 2010. April 2011 database update: The National Statistical Office revised national accounts data from 1995 onward. GDP in current prices were about 4 percent higher than previous estimates.,Europe & Central Asia,Upper middle income,BG,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),IBRD,NA,Country uses the 1993 System of National Accounts methodology.,"197889, 199192",Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"Living Standards Measurement Study Survey (LSMS), 2007","Expenditure survey/budget survey (ES/BS), 2012",Yes,2010,2011,2013,2009
BFA,BUR,BFA,Burkina Faso,Burkina Faso,Burkina Faso,BF,West African CFA franc,NA,Sub-Saharan Africa,Low income,BF,1999,NA,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,199293,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2006,"Malaria Indicator Survey (MIS), 2014","Core Welfare Indicator Questionnaire Survey (CWIQ), 2009",NA,2010,NA,2013,2005
BDI,BDI,BDI,Burundi,Burundi,Republic of Burundi,BI,Burundi franc,NA,Sub-Saharan Africa,Low income,BI,2005,NA,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,General Data Dissemination System (GDDS),2008,"Malaria Indicator Survey (MIS), 2012","Core Welfare Indicator Questionnaire Survey (CWIQ), 2006",NA,NA,2010,2012,2e3
CPV,CPV,CPV,Cabo Verde,Cabo Verde,Republic of Cabo Verde,CV,Cabo Verde escudo,"Cabo Verde is the new name for the country previously listed as Cape Verde. Based on official government statistics and IMF data, national accounts data have been revised from 1990 onward; the new base year is 2007.",Sub-Saharan Africa,Lower middle income,CV,2007,NA,Value added at producer prices (VAP),Blend,NA,Country uses the 1993 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2010,"Demographic and Health Survey (DHS), 2005","Core Welfare Indicator Questionnaire Survey (CWIQ), 2007",Yes,2014,NA,2013,2001
KHM,CAM,CAM,Cambodia,Cambodia,Kingdom of Cambodia,KH,Cambodian riel,NA,East Asia & Pacific,Low income,KH,2000,NA,Value added at basic prices (VAB),IDA,NA,Country uses the 1993 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2008,"Demographic and Health Survey (DHS), 2014","Integrated household survey (IHS), 2011",NA,2013,NA,2013,2006
CMR,CMR,CMR,Cameroon,Cameroon,Republic of Cameroon,CM,Central African CFA franc,NA,Sub-Saharan Africa,Lower middle income,CM,2000,NA,Value added at basic prices (VAB),Blend,HIPC,Country uses the 1993 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2005,"Multiple Indicator Cluster Survey (MICS), 2014","Priority survey (PS), 2007",NA,NA,NA,2012,2e3
CAN,CAN,CAN,Canada,Canada,Canada,CA,Canadian dollar,Fiscal year end: March 31; reporting period for national accounts data: CY.,North America,High income: OECD,CA,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),NA,NA,Country uses the 2008 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",NA,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,NA,"Labor force survey (LFS), 2010",Yes,2011,2011,2013,1986
CSS,NA,NA,Caribbean small states,Caribbean small states,Caribbean small states,S3,NA,"Caribbean small states aggregate. Includes Antigua and Barbuda, The Bahamas, Barbados, Belize, Guyana, Suriname, Dominica, Grenada, Jamaica, St. Kitts and Nevis, St. Lucia, St. Vincent and the Grenadines, and Trinidad and Tobago.",NA,NA,S3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CYM,CAY,CAY,Cayman Islands,Cayman Islands,Cayman Islands,KY,Cayman Islands dollar,NA,Latin America & Caribbean,High income: nonOECD,KY,2007,NA,NA,NA,NA,Country uses the 1993 System of National Accounts methodology.,NA,2011,NA,NA,General trade system,NA,NA,2010,NA,NA,Yes,NA,NA,NA,NA
CAF,CAF,CTA,Central African Republic,Central African Republic,Central African Republic,CF,Central African CFA franc,NA,Sub-Saharan Africa,Low income,CF,2000,NA,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1968 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2003,"Multiple Indicator Cluster Survey (MICS), 2010","Priority survey (PS), 2008",NA,NA,NA,2011,2005
CEB,NA,NA,Central Europe and the Baltics,Central Europe and the Baltics,Central Europe and the Baltics,B8,NA,Central Europe and the Baltics aggregate.,NA,NA,B8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCD,CHA,CHA,Chad,Chad,Republic of Chad,TD,Central African CFA franc,"Based on IMF data, national accounts data have been revised for 2005 onward; the new base year is 2005.",Sub-Saharan Africa,Low income,TD,2005,NA,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",Estimate,Special trade system,NA,General Data Dissemination System (GDDS),2009,"Demographic and Health Survey (DHS), 2014","Priority survey (PS), 2011",NA,2010/ 2011,NA,1995,2005
CHI,NA,NA,Channel Islands,Channel Islands,Channel Islands,NA,Pound sterling,NA,Europe & Central Asia,High income: nonOECD,JG,2003,2007,Value added at basic prices (VAB),NA,NA,Country uses the 1968 System of National Accounts methodology.,NA,NA,NA,NA,NA,NA,NA,Guernsey: 2009; Jersey: 2011.,NA,NA,Yes. Vital registration for Guernsey and Jersey.,NA,NA,NA,NA
CHL,CHI,CHI,Chile,Chile,Republic of Chile,CL,Chilean peso,NA,Latin America & Caribbean,High income: OECD,CL,2008,NA,Value added at basic prices (VAB),IBRD,NA,Country uses the 1993 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",NA,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2012,NA,"Integrated household survey (IHS), 2011",Yes,2007,NA,2013,2006
CHN,CHN,CHN,China,China,People's Republic of China,CN,Chinese yuan,"On 1 July 1997 China resumed its exercise of sovereignty over Hong Kong; and on 20 December 1999 China resumed its exercise of sovereignty over Macao. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China. Based on data from the National Bureau of Statistics, the methodology for national accounts exports and imports of goods and services in constant prices have been revised from 2000 onward.",East Asia & Pacific,Upper middle income,CN,2000,NA,Value added at producer prices (VAP),IBRD,NA,Country uses the 1993 System of National Accounts methodology.,197893,2011,"IMF Balance of Payments Manual, 6th edition.",Preliminary,Special trade system,Consolidated central government,General Data Dissemination System (GDDS),2010,"National Sample Survey on Population Change (NSS), 2013","Integrated household survey (IHS), 2012",NA,2007,2007,2013,2005
COL,COL,COL,Colombia,Colombia,Republic of Colombia,CO,Colombian peso,NA,Latin America & Caribbean,Upper middle income,CO,2005,NA,Value added at basic prices (VAB),IBRD,NA,Country uses the 1993 System of National Accounts methodology.,199294,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2006,"Demographic and Health Survey (DHS), 2010","Integrated household survey (IHS), 2012",NA,2013,2011,2013,2008
COM,COM,COM,Comoros,Comoros,Union of the Comoros,KM,Comorian franc,NA,Sub-Saharan Africa,Low income,KM,1990,NA,Value added at producer prices (VAP),IDA,HIPC,Country uses the 1968 System of National Accounts methodology.,NA,2011,NA,Actual,Special trade system,NA,General Data Dissemination System (GDDS),2003,"Demographic and Health Survey (DHS), 2012","Integrated household survey (IHS), 2004",NA,NA,NA,2009,1999
COG,CGO,CGO,Congo,"Congo, Rep.",Republic of Congo,CG,Central African CFA franc,"April 2013 database update: Based on IMF data, national accounts data were revised for 1990 onward; the base year changed to 1990.",Sub-Saharan Africa,Lower middle income,CG,1990,NA,Value added at producer prices (VAP),Blend,HIPC,Country uses the 1968 System of National Accounts methodology.,1993,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,General Data Dissemination System (GDDS),2007,"Demographic and Health Survey (DHS), 2011/12","Core Welfare Indicator Questionnaire Survey (CWIQ)/Priority survey (PS), 2011",NA,2013,2009,2013,2002
CRI,CRC,CRC,Costa Rica,Costa Rica,Republic of Costa Rica,CR,Costa Rican colon,NA,Latin America & Caribbean,Upper middle income,CR,1991,NA,Value added at basic prices (VAB),IBRD,NA,Country uses the 1993 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"Multiple Indicator Cluster Survey (MICS), 2011","Integrated household survey (IHS), 2012",Yes,2014,2011,2013,2013
CIV,CIV,CIV,Côte d'Ivoire,Côte d'Ivoire,Republic of Côte d'Ivoire,CI,West African CFA franc,The new base year is 2009.,Sub-Saharan Africa,Lower middle income,CI,2009,NA,Value added at producer prices (VAP),IDA,HIPC,Country uses the 1968 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2014,"Demographic and Health Survey (DHS), 2011/12","Integrated household survey (IHS), 2008",NA,2014,NA,2013,2005
HRV,CRO,CRO,Croatia,Croatia,Republic of Croatia,HR,Croatian kuna,"The new reference year for chain linked series is 2010. April 2013 database update: Based on official government statistics, the base year for constant price series changed to 2005.",Europe & Central Asia,High income: nonOECD,HR,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),IBRD,NA,Country uses the 1993 System of National Accounts methodology.,NA,Rolling,"IMF Balance of Payments Manual, 6th edition.",NA,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"World Health Survey (WHS), 2003","Integrated household survey (IHS), 2011",Yes,2010,NA,2013,2010
CUB,CUB,CUB,Cuba,Cuba,Republic of Cuba,CU,Cuban peso,NA,Latin America & Caribbean,Upper middle income,CU,1997,2005,Value added at basic prices (VAB),NA,NA,Country uses the 1993 System of National Accounts methodology.,NA,2011,NA,NA,Special trade system,NA,NA,2012,"Multiple Indicator Cluster Survey (MICS), 2014",NA,Yes,NA,NA,2006,2007
CUW,NA,CUW,Curaçao,Curaçao,Curaçao,CW,Netherlands Antillean guilder,NA,Latin America & Caribbean,High income: nonOECD,CW,NA,NA,NA,NA,NA,Country uses the 1993 System of National Accounts methodology.,NA,2011,NA,NA,NA,NA,NA,2011,NA,NA,Yes,NA,2010,NA,NA
CYP,CYP,CYP,Cyprus,Cyprus,Republic of Cyprus,CY,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2008: 1 euro = 0.585274 Cyprus pounds. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income: nonOECD,CY,Original chained constant price data are rescaled.,2005,Value added at basic prices (VAB),NA,Euro area,Country uses the 1993 System of National Accounts methodology.,NA,Rolling,"IMF Balance of Payments Manual, 6th edition.",NA,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,NA,NA,Yes,2010,2011,2013,2009
CZE,CZE,CZE,Czech Republic,Czech Republic,Czech Republic,CZ,Czech koruna,NA,Europe & Central Asia,High income: OECD,CZ,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),NA,NA,Country uses the 2008 System of National Accounts methodology.,NA,Rolling,"IMF Balance of Payments Manual, 6th edition.",NA,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"World Health Survey (WHS), 2003","Integrated household survey (IHS), 2012",Yes,2010,2010,2013,2007
PRK,PRK,PRK,Dem. People's Rep. Korea,"Korea, Dem. Rep.",Democratic People's Republic of Korea,KP,Democratic People's Republic of Korean won,NA,East Asia & Pacific,Low income,KP,NA,NA,NA,NA,NA,Country uses the 1968 System of National Accounts methodology.,NA,NA,"IMF Balance of Payments Manual, 6th edition.",NA,NA,NA,NA,2008,"Multiple Indicator Cluster Survey (MICS), 2009",NA,NA,NA,NA,NA,2005
