ranking,company,customer_satisfaction,employee_engagement_and_development,innovation,social_responsibility,financial_strength,effectiveness
212,TechnipFMC plc,69.5,50.9,53.2,54.2,38.3,56.1
212,Western Digital Corp,57.5,50.5,52.8,61.3,43.4,56.1
216,KLA Corporation,49.8,58.4,49.5,51.5,65.4,56
217,Autoliv Inc,68.4,47.8,45.3,58.6,48,55.9
218,Verisk Analytics Inc,56.6,59,52.5,50.8,50.6,55.8
219,American Electric Power,42.1,61.1,55,59.5,47.7,55.7
219,McDonald’s Corp,43.8,37,63.8,60,62.7,55.7
219,Pentair PLC,66.2,47.6,47.8,56,50.9,55.7
219,Seagate Technology,53.4,51.1,49.2,57.3,59.2,55.7
223,Amcor plc,62.6,50.8,49.4,55.8,48.8,55.6
223,Garmin Ltd,49.4,53,63.4,45.3,59.7,55.6
223,J.M. Smucker Co,61.7,49.5,46.5,61.3,46.7,55.6
226,Kimco Realty Corp,64,57.4,45.7,54.6,45.8,55.5
226,US Bancorp,45,53.8,61,55.6,49.8,55.5
228,Dominion Energy Inc,39,63.9,53.1,61.2,46.4,55.3
228,Southwest Airlines Co,57.5,63.1,58.5,51.4,30.7,55.3
228,Ventas Inc,58.6,54,45.9,62.4,42.6,55.3
231,Intl Paper Co,56.1,52.4,51.1,58.6,45.8,55.2
231,Levi Strauss & Co-A,64.3,56.6,49.6,49.9,46.6,55.2
233,Boeing Co,58.6,48,72.7,54.9,19.8,55.1
234,FactSet Research System Inc,55.5,52.8,50.9,53.7,54.1,55
234,Steel Dynamics Inc,58.9,62.4,49.8,44.5,54.2,55
236,Citrix Systems Inc,53.3,63.4,48.9,52.4,48,54.9
236,Xerox Holdings Corp,61.2,37.6,49.1,68.5,43.8,54.9
238,KB Home,64.8,52.4,42.1,57.1,49.2,54.8
238,TJX Cos Inc,53.5,49.8,51,59,50.7,54.8
240,ManpowerGroup,50,50,46.8,66,49.1,54.7
240,Public Service Enterprise Grp,47.6,63.9,44.6,61.1,46,54.7
240,Ralph Lauren Corp A,65.3,50,51.6,52.6,44,54.7
240,Southern Co,47,63.5,49.8,54.9,49.7,54.7
244,L3Harris Technologies Inc,50.3,51.9,58.3,54.9,46.5,54.6
245,Nasdaq Inc,47.2,60.9,44.2,60.7,50.9,54.5
246,Bunge Ltd,48.6,55.9,49.8,55.5,55.6,54.4
246,Newell Brands Inc,60.9,46.1,51.5,56.8,46.6,54.4
246,PNC Finl Services Group,56.9,50.7,48.3,57,50.6,54.4
249,ANSYS Inc,59.4,59.9,48.4,48.9,48.7,54.3
249,Hanesbrands Inc,58.8,43,56,57.2,45.3,54.3
249,Nordstrom Inc,56.6,50.2,51.4,60.5,39.9,54.3
249,"Tesla, Inc",57.1,53.5,54.9,40.8,64.2,54.3
253,DexCom Inc,45.7,58.6,53.2,47,64,54.2
253,Zendesk Inc,61.9,66,45.9,50.5,37.6,54.2
255,Fortinet Inc,60.8,61.6,43.7,45.5,57,54.1
255,PPG Industries Inc,41.4,43.3,63.3,60.5,50.4,54.1
255,Taylor Morrison Home Corp,54.9,68.5,45,49.7,46.3,54.1
255,Tractor Supply Co,61.8,48.6,45.1,53.7,56.6,54.1
255,Welltower Inc,60.3,48.4,47.1,60.9,43,54.1
260,ConocoPhillips,57.3,54.2,45.8,62,38.9,54
261,Lear Corp,56,50.1,48.5,57.8,48.2,53.8
262,Brunswick Corp,57.5,49.7,50,51.7,54.3,53.7
262,Morningstar,58.3,58.2,44.3,51.6,51.2,53.7
262,NetFlix Inc,41.7,63.6,57.8,44.5,57.5,53.7
262,ONEOK Inc,47.2,66,43.4,57.8,46.7,53.7
262,Quest Diagnostics,50.2,50.8,46.5,58.6,56.9,53.7
267,Charles Schwab Corp,56.3,56.8,56.2,44.4,48.8,53.6
267,Jabil Inc,54.1,51.5,45.6,59,50.6,53.6
267,L Brands Inc,60.2,48.7,53.8,45.1,57.1,53.6
267,Regency Centers Corp,52,61.9,43.4,58.7,43.6,53.6
271,Chubb Limited,52.8,47.4,50.3,51.9,62.4,53.5
271,"Moderna, Inc",44.1,61.3,47.9,39.2,81.4,53.5
273,Acuity Brands Inc,56,49.4,53.7,53,47.5,53.4
273,Duke Energy Corp,39.2,62.1,46.7,62.1,48.6,53.4
273,Electronic Arts,49.8,58,51.4,53.4,47.1,53.4
273,Goodyear Tire & Rubber Co,46.5,51.3,55.9,60,41.9,53.4
273,IHS Markit Ltd,57.5,60.4,45.4,50.5,48.3,53.4
273,Nucor Corp,58.3,62.1,45.2,43.7,57.2,53.4
273,Trimble Inc,57.3,57.1,48.1,49.8,49.6,53.4
280,Chevron Corp,27.5,56.2,67.5,59.4,43.1,53.3
280,Fluor Corp,58.9,51,46,61,39.3,53.3
280,Twilio Inc-A,60.4,65.5,51.3,43.6,39.1,53.3
283,Boston Properties Inc,55.3,53.4,46.3,58.6,44.2,53.2
283,Healthpeak Properties Inc,55,58.4,39.9,61.4,43.4,53.2
283,Interpublic Group Cos,47.3,56.9,46.4,59,49.2,53.2
283,Kohl’s Corp,57.2,41.2,52.6,60.1,45.3,53.2
283,Zoetis Inc,45.8,50.9,52.4,55.5,56.3,53.2
288,Alliance Data Systems Corp,52.6,50.3,49.9,60,43,53.1
288,DXC Technology Company,59.6,35.8,54.9,62.2,41.5,53.1
288,Emerson Electric Co,46.1,47.6,58.5,54.7,51.4,53.1
288,Williams-Sonoma Inc,48.4,40.6,53.9,56.1,62.7,53.1
292,KBR Inc,56.7,43.7,50.1,61.2,43.8,53
293,EOG Resources,53.4,63.4,44.2,53.7,43.6,52.9
293,"Snap, Inc",48.8,54,61.1,48.2,44.9,52.9
293,The Bank of New York Mellon Corp,47.2,44.5,51.8,65.3,45,52.9
296,"Conagra Brands, Inc",48.4,55.3,48.1,57.9,47.7,52.8
297,AvalonBay Communities Inc,46.1,58.8,45.6,60.1,45.5,52.7
297,Digital Realty Trust,50.4,63.7,47,52.5,44.1,52.7
297,LPL Investment Holdings,54.2,54.5,45,54.4,51.2,52.7
297,Masco Corp,53.4,54.9,48.4,49.6,54.4,52.7
297,Roku Inc Class A,56.2,62,48.3,35.1,66.9,52.7
297,Schlumberger Ltd,46.4,50,60.1,58.6,36.5,52.7
303,AFLAC Inc,39.5,54.2,51.5,57.5,55.2,52.5
303,Albemarle Corp,56.5,49.8,50.4,53.4,46.4,52.5
303,Consolidated Edison Inc,44.7,60.4,49.5,56,45.1,52.5
303,Darling Ingredients Inc,60.9,46.3,47.9,50.9,53.6,52.5
303,EQT Corporation,60.1,63.9,41.3,57.3,30.3,52.5
303,Kroger Co,56.4,35.4,50.2,61.6,52.3,52.5
303,NRG Energy,47.2,55.6,44.1,55.8,57.5,52.5
310,Alaska Air Group Inc,55,54.9,55.1,53.2,33.8,52.3
310,Entergy Corp,44.1,60.7,45.2,59.2,45.9,52.3
310,Exxon Mobil Corp,27.9,46.8,73.8,60.4,38.4,52.3
310,HubSpot Inc,57.7,66.7,43.2,44.6,47.8,52.3
310,Regions Financial Corp,58.7,45.6,46.8,57.6,46.9,52.3
315,Align Technology Inc,39,60.9,57.7,39.3,67.1,52.2
315,American Water Works Co Inc,44.1,59.4,47.3,57.7,46.4,52.2
315,Darden Restaurants Inc,61,52.1,48.1,48.3,48.5,52.2
315,Sonoco Products Co,56.7,58.4,46.3,51.1,43.9,52.2
319,Akamai Technologies Inc,42.3,66.8,44.2,54.7,48.8,52.1
319,Genpact Ltd,55.8,51.2,40.7,59.6,48.8,52.1
319,Lab Corp of America Hldgs,52.9,45.9,53.5,49.5,56.8,52.1
322,Dick’s Sporting Goods Inc,44,53.1,50,52.2,59.3,52
323,Bio-Rad Laboratories Inc A,60.2,40.7,45.5,42.3,78.5,51.9
323,Camden Property Trust,48.8,70.5,46.6,46.7,43.8,51.9
323,Mattel Inc,35.5,54.2,61.3,53.3,49.3,51.9
326,Ally Financial Inc,48.6,62.4,48.7,46.4,52,51.8
326,FMC Corp,49.6,54.9,45.9,56.5,47.6,51.8
326,Marsh & McLennan Companies,36.2,55.9,53.7,55.2,54.2,51.8
326,Tyson Foods Inc A,55.4,49.5,47.6,51.5,53.1,51.8
330,Amdocs Ltd,49,49.7,47.6,58.1,49.3,51.7
330,Cleveland-Cliffs Inc,56.5,51.2,47.9,49.7,51.3,51.7
330,Huntington Bancshares (OH),51.4,56.9,42.7,58.1,44.6,51.7
333,Fair Isaac & Co Inc,54.6,54.4,47.3,40.1,66.8,51.6
334,Gartner Inc,54.5,51.9,49.8,47.2,53.7,51.5
335,Genworth Financial Inc,56,48.3,48.4,51.9,50.1,51.4
335,Halliburton Co,46.4,43.3,57,61.7,39,51.4
335,Las Vegas Sands,44.8,62.8,49.1,58.9,32.2,51.4
335,Take-Two Interactive Software,49.8,59.8,44.9,42.3,65.3,51.4
335,Textron Inc,54.9,46,54,52.1,44.9,51.4
340,Abercrombie & Fitch Company A,47,44.7,54.2,56.3,49.6,51.3
340,Clarivate Plc,68,58.9,43.7,43.4,41.1,51.3
340,General Dynamics,54.4,46.5,55.9,47.7,49.3,51.3
340,Host Hotels & Resorts Inc,54.3,48.2,45.5,66.9,30.6,51.3
340,IDEXX Laboratories Inc,45.6,46.2,46.5,50.4,72.3,51.3
345,Comerica Inc (MI),46,56.3,45.7,59.2,43.7,51.2
345,Liberty Global plc A,42.9,55.4,41.4,58,58.3,51.2
345,Universal Display Corp,51.7,48.3,44.4,48.7,67,51.2
345,Xcel Energy Inc,45.3,55.9,43.4,60.1,47.1,51.2
349,Expeditors Intl of WA Inc,53.7,43.8,43.8,51.6,65.7,51.1
349,Henry Schein Inc,51.7,56.2,45.4,51.4,49.2,51.1
351,Eversource Energy,32.2,65.2,45.6,60.9,46.6,51
351,First Republic Bank,57.4,62.3,45.3,42.7,48.4,51
351,Robert Half Intl Inc,47.9,47.4,47.9,53.5,58.6,51
351,Trex Co,59,53.7,44.1,40.9,63,51
355,AGCO Corp,53.1,52.3,46.9,50.1,51.6,50.9
355,Ameren Corp,43.3,63.1,44.2,55.6,45.5,50.9
355,Arista Networks Inc,51.1,59.6,44.8,44.9,57.1,50.9
355,Dana Incorporated,58.3,45.8,49,53.6,43.7,50.9
355,Greif Bros Corp A,56,45.1,47.6,56.1,46,50.9
355,IDEX Corp,45.9,62.6,44.8,51.4,48.8,50.9
355,Invesco Ltd,44.2,64.6,45.4,51.8,46.5,50.9
355,United Natural Foods Inc,61.5,40.5,47.2,55.5,46.2,50.9
363,Crown Holdings Inc,51.2,49.3,46.6,55.3,49.3,50.8
363,Republic Services Inc,56.7,49.7,43.8,53.2,49.5,50.8
365,American Eagle Outfitters,62,43.7,47.5,50.8,48,50.7
365,EPAM Systems Inc,56,55.7,42.5,43.9,60.3,50.7
365,Ingredion Inc,45.6,51.8,54.5,53.1,44.5,50.7
365,West Pharmaceutical Services Inc,55,45.3,44.8,49.6,61.8,50.7
369,Allegion plc,56.1,51.8,49.2,43.8,54.1,50.6
369,Equity Residential,49.2,63.5,39,54,46.3,50.6
369,NortonLifeLock Inc,41.5,48,46.7,58.6,57.7,50.6
372,Reliance Steel & Aluminum,58.6,56.1,47.1,42.5,50.3,50.5
373,"Airbnb, Inc Class A",46.8,65.2,65.2,37.7,32.3,50.4
373,Corning Inc,38.2,56.8,56.2,51.3,46.7,50.4
373,Marathon Oil Corp,60.1,47.1,47.3,55.6,36.4,50.4
373,Principal Financial Group,39.6,59.6,45.2,57.3,48.2,50.4
373,Stryker Corp,37.9,61.6,57,45.6,49.4,50.4
378,Northern Trust Corp (IL),50.1,55.1,42,57,45.2,50.3
379,Ameriprise Financial Inc,53.1,54.7,48,49.5,44.4,50.2
379,DaVita Inc,61,45.1,42.6,53.1,49.4,50.2
379,DTE Energy Co,44.2,58.3,42.9,56.8,47.1,50.2
382,Harley-Davidson Inc,60.9,40.3,50.7,50.8,46.1,50.1
382,Otis Worldwide Corp,56.5,46.7,44,46.5,61.8,50.1
384,Scotts Miracle-Gro Compnay,52.1,54.4,44.2,46.5,56.5,50
384,Truist Financial Corp,43.4,53.7,49.9,53.6,48,50
384,Under Armour Inc-C,51.8,50.5,50,49.9,47.1,50
384,Veeva Systems Inc A,47.8,52.8,50.2,38.5,69.1,50
388,Activision Blizzard Inc,56.4,45.1,52.5,43.8,54.6,49.9
388,AutoZone Inc,52.3,36,46.5,50.8,69.8,49.9
388,Graco Inc,52,56.1,46.1,43.3,56.5,49.9
388,NCR Corp,54.8,47.8,48.1,53.6,42.5,49.9
388,Vistra Corp,54.6,69.7,40.5,45.9,38.9,49.9
393,CACI International Inc,52,54.6,51.4,43.6,49.1,49.8
393,DocuSign Inc,49.5,65,45.3,41.7,51.7,49.8
393,Intercontinental Exchange Inc,58,53.4,41.5,49.6,47.9,49.8
393,Nuance Communications Inc,51.5,52.9,46.2,50.5,48.4,49.8
393,Pra Health Sciences Inc,50.5,57.3,46.2,47.9,48.4,49.8
398,Avis Budget Group Inc,60.8,40.6,47.7,55.1,41.4,49.7
