Rank,Title,RatingTomatometer,No. of Reviews,Genres
26,Chicken Run (2000),97,170,animation
27,My Life as a Zucchini (Ma vie de courgette) (2017),98,127,animation
28,101 Dalmatians (1961),98,46,animation
29,The Nightmare Before Christmas (1993),95,94,animation
30,Fantasia (1940),96,50,animation
31,"Monsters, Inc. (2001)",96,193,animation
32,The Lego Batman Movie (2017),90,289,animation
33,The Iron Giant (1999),96,136,animation
34,Spirited Away (2002),97,183,animation
35,Tower (2016),99,92,animation
36,Song Of The Sea (2014),99,88,animation
37,Who Framed Roger Rabbit (1988),97,63,animation
38,Anomalisa (2015),92,255,animation
39,The Lion King (1994),93,123,animation
40,Your Name. (Kimi No Na Wa.) (2017),97,110,animation
41,Waltz with Bashir (2008),96,148,animation
42,Persepolis (2007),96,159,animation
43,Wallace & Gromit: The Curse of the Were-Rabbit (2005),95,181,animation
44,The Secret World of Arrietty (2012),95,146,animation
45,Ernest & Célestine (2014),97,77,animation
46,The Red Turtle (La tortue rouge) (2017),93,157,animation
47,Long Way North (Tout en haut du monde) (2016),98,52,animation
48,Aladdin (1992),94,69,animation
49,Fantastic Mr. Fox (2009),92,231,animation
50,Frozen (2013),90,233,animation
51,The Breadwinner (2017),95,95,animation
52,Ghost in the Shell (1996),96,50,animation
53,Coraline (2009),90,261,animation
54,Lady and the Tramp (1955),93,40,animation
55,Antz (1998),93,91,animation
56,The Triplets of Belleville (2003),94,147,animation
57,How to Train Your Dragon 2 (2014),91,176,animation
58,Bambi (1942),90,48,animation
59,My Neighbor Totoro (1988),94,49,animation
60,Big Hero 6 (2014),89,212,animation
61,The Little Mermaid (1989),92,65,animation
62,A Bug's Life (1998),92,85,animation
63,Princess Mononoke (Mononoke-hime) (1999),92,106,animation
64,Arthur Christmas (2011),92,163,animation
65,Mary and Max (2009),95,64,animation
66,James and the Giant Peach (1996),92,73,animation
67,Teen Titans Go! To the Movies (2018),91,116,animation
68,Ponyo (2009),91,164,animation
69,Shrek 2 (2004),89,235,animation
70,Bolt (2008),89,181,animation
71,Tangled (2010),89,219,animation
72,The Simpsons Movie (2007),88,220,animation
73,Shrek (2001),88,202,animation
74,Frankenweenie (2012),87,213,animation
75,The Wind Rises (2014),88,170,animation
76,Boy and the World (O Menino e o Mundo) (2015),93,56,animation
77,Winnie the Pooh (2011),91,127,animation
78,Rango (2011),88,216,animation
79,The Illusionist (L'illusionniste) (2010),91,128,animation
80,ParaNorman (2012),88,177,animation
81,The Peanuts Movie (2015),87,187,animation
82,Kung Fu Panda (2008),87,182,animation
83,Wreck-it Ralph (2012),87,180,animation
84,Millennium Actress (Sennen joyû) (2001),92,52,animation
85,When Marnie Was There (2015),90,93,animation
86,The Secret of Kells (2010),91,81,animation
87,Howl's Moving Castle (2005),87,177,animation
88,Tarzan (1999),88,104,animation
89,Kung Fu Panda 3 (2016),86,167,animation
90,The Boy And The Beast (Bakemono No Ko) (2016),90,67,animation
91,Captain Underpants: The First Epic Movie (Captain Underpants) (2017),87,125,animation
92,Sausage Party (2016),83,219,animation
93,Tokyo Godfathers (2003),90,67,animation
94,Mary and The Witch's Flower (2018),88,80,animation
95,My Dog Tulip (2010),90,59,animation
96,The Pirates! Band of Misfits (2012),86,149,animation
97,The Princess and the Frog (2009),85,191,animation
98,Loving Vincent (2017),85,141,animation
99,Akira (1988),87,47,animation
100,Tim Burton's Corpse Bride (2005),84,188,animation
1,The Cabinet of Dr. Caligari (Das Cabinet des Dr. Caligari) (1920),100,50,art_house|international
2,Metropolis (1927),99,118,art_house|international
3,La Grande illusion (Grand Illusion) (1938),97,66,art_house|international
4,"Nosferatu, a Symphony of Horror (Nosferatu, eine Symphonie des Grauens) (Nosferatu the Vampire) (1922)",97,62,art_house|international
5,The Battle of Algiers (La Battaglia di Algeri) (1967),98,85,art_house|international
6,M (1931),100,51,art_house|international
7,Seven Samurai (Shichinin no Samurai) (1956),100,58,art_house|international
8,The 400 Blows (Les Quatre cents coups) (1959),100,55,art_house|international
9,Army of Shadows (L'Armée des ombres) (1969),97,72,art_house|international
10,Rashômon (1951),98,52,art_house|international
11,The Wages of Fear (1953),100,43,art_house|international
12,Open City (1946),100,42,art_house|international
13,Tokyo Story (Tôkyô monogatari) (1953),100,41,art_house|international
14,The Leopard (1963),100,46,art_house|international
15,Battleship Potemkin (1925),100,45,art_house|international
16,The Conformist (1970),98,53,art_house|international
17,Au Hasard Balthazar (1966),100,40,art_house|international
18,Things to Come (L'avenir) (2016),100,135,art_house|international
19,La Dolce Vita (1960),97,58,art_house|international
20,Let the Right One In (2008),98,183,art_house|international
21,Playtime (1973),100,44,art_house|international
22,The Discreet Charm Of The Bourgeoisie (Le Charme Discret de la Bourgeoisie) (1972),98,50,art_house|international
23,The Rules of the Game (La règle du jeu) (1939),98,45,art_house|international
24,"Faces Places (Visages, villages) (2017)",99,129,art_house|international
25,The Passion of Joan of Arc (La Passion de Jeanne d'Arc) (1928),98,45,art_house|international
26,Only Yesterday (1991),100,53,art_house|international
27,Tampopo (1985),100,51,art_house|international
28,The Salesman (Forushande) (2017),96,187,art_house|international
29,Throne of Blood (1957),98,42,art_house|international
30,A Separation (2011),99,169,art_house|international
31,"Aguirre, the Wrath of God (Aguirre, der Zorn Gottes) (1972)",98,46,art_house|international
32,Eyes Without a Face (1962),98,54,art_house|international
33,Gloria (2014),99,126,art_house|international
34,8 1/2 (1963),98,47,art_house|international
35,Pather Panchali (1955),98,42,art_house|international
36,The Umbrellas of Cherbourg (Les Parapluies de Cherbourg) (1964),98,55,art_house|international
37,A Fantastic Woman (Una mujer fantástica) (2018),94,200,art_house|international
38,Three Colors: Red (Trois couleurs: Rouge) (1994),100,52,art_house|international
39,My Life as a Zucchini (Ma vie de courgette) (2017),98,127,art_house|international
40,Le Cercle Rouge (1970),95,59,art_house|international
41,The Tale of the Princess Kaguya (2014),100,86,art_house|international
42,Amy (2015),95,209,art_house|international
43,BPM (Beats Per Minute) (120 battements par minute) (2017),98,119,art_house|international
44,Sing Street (2016),95,199,art_house|international
45,Ran (1985),96,80,art_house|international
46,A Fistful of Dollars (Per un Pugno di Dollari) (1964),98,47,art_house|international
47,GETT: The Trial of Viviane Amsalem (2015),100,75,art_house|international
48,Solaris (1976),96,56,art_house|international
49,Wings of Desire (1987),98,51,art_house|international
50,The Young Girls of Rochefort (Les Demoiselles de Rochefort) (1968),98,40,art_house|international
51,Gojira (1956),93,70,art_house|international
52,"Crouching Tiger, Hidden Dragon (2001)",97,153,art_house|international
53,Timbuktu (2015),98,116,art_house|international
54,Jiro Dreams of Sushi (2012),99,92,art_house|international
55,Diva (1981),98,48,art_house|international
56,Aruitemo Aruitemo (Still Walking) (2008),100,63,art_house|international
57,The Taste of Others (Le goût des autres) (2000),100,58,art_house|international
58,All About My Mother (Todo sobre mi madre) (1999),98,85,art_house|international
59,Toni Erdmann (2016),93,219,art_house|international
60,Waste Land (2010),100,70,art_house|international
61,The Band's Visit (2007),98,116,art_house|international
62,Poetry (2011),100,65,art_house|international
63,The Vanishing (Spoorloos) (1988),98,46,art_house|international
64,Loveless (Nelyubov) (2018),94,162,art_house|international
65,Elevator to the Gallows (Ascenseur pour l'échafaud) (1958),93,55,art_house|international
66,God's Own Country (2017),97,110,art_house|international
67,Afghan Star (2009),100,60,art_house|international
68,A Prophet (Un prophete) (2010),97,153,art_house|international
69,Waltz with Bashir (2008),96,148,art_house|international
70,Three Colors: Blue (Trois Couleurs: Bleu) (1993),98,43,art_house|international
71,Embrace Of The Serpent (El Abrazo De La Serpiente) (2016),96,139,art_house|international
72,After the Storm (Umi yori mo mada fukaku) (2017),96,127,art_house|international
73,About Elly (2015),99,69,art_house|international
74,Fireworks Wednesday (Chaharshanbe-soori) (2016),100,43,art_house|international
75,Last Train Home (2010),100,54,art_house|international
76,The Seventh Seal (Det Sjunde inseglet) (1957),93,55,art_house|international
77,Project Nim (2011),97,141,art_house|international
78,Monsieur Lazhar (2012),97,117,art_house|international
79,Mafioso (1964),96,50,art_house|international
80,Maria Full of Grace (2004),97,144,art_house|international
81,Hero (2004),95,205,art_house|international
82,An Education (2009),95,189,art_house|international
83,Nostalgia for the Light (2011),100,45,art_house|international
84,Amour (2012),93,214,art_house|international
85,L'Avventura (1960),95,43,art_house|international
86,The Look of Silence (2015),96,129,art_house|international
87,Rivers and Tides: Andy Goldsworthy Working With Time (2002),99,71,art_house|international
88,Moolaadé (2004),99,73,art_house|international
89,The Class (2008),95,155,art_house|international
90,The Man Without a Past (2002),98,98,art_house|international
91,The Twilight Samurai (Tasogare Seibei) (2004),99,69,art_house|international
92,The Kid with a Bike (2012),96,128,art_house|international
93,This Is Not a Film (2012),97,98,art_house|international
94,Rififi (Du Rififi Chez les Hommes) (1956),94,48,art_house|international
95,The Secret World of Arrietty (2012),95,146,art_house|international
96,Elle (2016),91,229,art_house|international
97,District 9 (2009),90,307,art_house|international
98,Ernest & Célestine (2014),97,77,art_house|international
99,"Sex, Lies, and Videotape (1989)",96,47,art_house|international
100,The Red Turtle (La tortue rouge) (2017),93,157,art_house|international
1,The Wizard of Oz (1939),98,111,classics
2,Citizen Kane (1941),100,80,classics
3,The Third Man (1949),99,78,classics
4,The Cabinet of Dr. Caligari (Das Cabinet des Dr. Caligari) (1920),100,50,classics
5,All About Eve (1950),100,65,classics
6,Metropolis (1927),99,118,classics
7,It Happened One Night (1934),98,54,classics
8,Modern Times (1936),100,54,classics
9,Casablanca (1942),97,77,classics
10,La Grande illusion (Grand Illusion) (1938),97,66,classics
11,Singin' in the Rain (1952),100,50,classics
12,Psycho (1960),97,89,classics
13,Laura (1944),100,60,classics
14,A Hard Day's Night (1964),98,106,classics
15,King Kong (1933),98,56,classics
16,"Nosferatu, a Symphony of Horror (Nosferatu, eine Symphonie des Grauens) (Nosferatu the Vampire) (1922)",97,62,classics
17,Snow White and the Seven Dwarfs (1937),98,47,classics
18,The Adventures of Robin Hood (1938),100,45,classics
19,Repulsion (1965),100,60,classics
20,North by Northwest (1959),99,72,classics
21,Sunset Boulevard (1950),98,61,classics
22,Rear Window (1954),100,64,classics
23,The Bride of Frankenstein (1935),100,43,classics
24,The Philadelphia Story (1940),100,56,classics
25,Touch of Evil (1958),96,74,classics
26,Seven Samurai (Shichinin no Samurai) (1956),100,58,classics
27,All Quiet on the Western Front (1930),100,42,classics
28,12 Angry Men (Twelve Angry Men) (1957),100,50,classics
29,The Treasure of the Sierra Madre (1948),100,45,classics
30,A Streetcar Named Desire (1951),98,56,classics
31,Vertigo (1958),96,71,classics
32,The 400 Blows (Les Quatre cents coups) (1959),100,55,classics
33,Rebecca (1940),100,51,classics
34,Lawrence of Arabia (1962),98,80,classics
35,Rosemary's Baby (1968),99,69,classics
36,Dr. Strangelove Or How I Learned to Stop Worrying and Love the Bomb (1964),99,76,classics
37,Frankenstein (1931),100,46,classics
38,Rashômon (1951),98,52,classics
39,On the Waterfront (1954),98,62,classics
40,The Grapes of Wrath (1940),100,44,classics
41,The Big Sleep (1946),97,59,classics
42,Roman Holiday (1953),98,53,classics
43,The Lady Vanishes (1938),98,41,classics
44,The Last Picture Show (1971),100,51,classics
45,Cool Hand Luke (1967),100,49,classics
46,The Leopard (1963),100,46,classics
47,Chinatown (1974),98,64,classics
48,Battleship Potemkin (1925),100,45,classics
49,The Searchers (1956),100,42,classics
50,Anatomy of a Murder (1959),100,42,classics
51,Invasion of the Body Snatchers (1956),98,56,classics
52,Gone With the Wind (1939),92,89,classics
53,An American in Paris (1951),95,62,classics
54,The Gold Rush (1925),100,43,classics
55,The 39 Steps (1935),96,46,classics
56,The Red Shoes (1948),96,55,classics
57,Rio Bravo (1959),100,40,classics
58,Sweet Smell of Success (1957),98,48,classics
59,To Be or Not to Be (1942),98,42,classics
60,Mary Poppins (1964),100,48,classics
61,The African Queen (1951),98,42,classics
62,City Lights (1931),98,45,classics
63,Miracle on 34th Street (1947),96,47,classics
64,2001: A Space Odyssey (1968),93,98,classics
65,His Girl Friday (1940),98,47,classics
66,It's a Wonderful Life (1946),93,74,classics
67,Night of the Living Dead (1968),97,64,classics
68,The French Connection (1971),98,55,classics
69,The Passion of Joan of Arc (La Passion de Jeanne d'Arc) (1928),98,45,classics
70,Throne of Blood (1957),98,42,classics
71,Badlands (1974),98,52,classics
72,The Manchurian Candidate (1962),98,54,classics
73,Gentlemen Prefer Blondes (1953),98,40,classics
74,Freaks (1932),94,53,classics
75,The Birth of a Nation (1915),98,40,classics
76,Spartacus (1960),96,54,classics
77,Forbidden Planet (1956),98,42,classics
78,The Best Years of Our Lives (1946),96,48,classics
79,101 Dalmatians (1961),98,46,classics
80,Goldfinger (1964),97,60,classics
81,Paths of Glory (1957),95,55,classics
82,Bringing Up Baby (1938),95,42,classics
83,Some Like It Hot (1959),96,54,classics
84,Duck Soup (1933),94,47,classics
85,Fantasia (1940),96,50,classics
86,Sunrise: A Song of Two Humans (1927),98,51,classics
87,The Day the Earth Stood Still (1951),94,54,classics
88,Ran (1985),96,80,classics
89,Rebel Without a Cause (1955),96,49,classics
90,Peeping Tom (1960),96,49,classics
91,A Fistful of Dollars (Per un Pugno di Dollari) (1964),98,47,classics
92,The Lord of the Rings: The Two Towers (2002),95,250,classics
93,The Apartment (1960),94,62,classics
94,The Birds (1963),96,52,classics
95,The Young Girls of Rochefort (Les Demoiselles de Rochefort) (1968),98,40,classics
96,One Flew Over the Cuckoo's Nest (1975),94,68,classics
97,The Bridge on the River Kwai (1957),94,54,classics
98,Dr. No (1962),96,54,classics
99,Mean Streets (1973),96,53,classics
100,Don't Look Now (1973),96,53,classics
1,Lady Bird (2017),99,349,comedy
2,BlacKkKlansman (2018),95,371,comedy
3,Coco (2017),97,308,comedy
4,It Happened One Night (1934),98,54,comedy
5,Modern Times (1936),100,54,comedy
6,Paddington 2 (2018),100,216,comedy
7,The Big Sick (2017),98,274,comedy
8,Eighth Grade (2018),99,232,comedy
9,Singin' in the Rain (1952),100,50,comedy
10,A Hard Day's Night (1964),98,106,comedy
11,La La Land (2016),91,414,comedy
12,The Philadelphia Story (1940),100,56,comedy
13,Toy Story 2 (1999),100,163,comedy
14,Zootopia (2016),97,268,comedy
15,Up (2009),98,290,comedy
16,"Three Billboards Outside Ebbing, Missouri (2017)",91,363,comedy
17,Toy Story 3 (2010),98,299,comedy
18,Finding Nemo (2003),99,262,comedy
19,Dr. Strangelove Or How I Learned to Stop Worrying and Love the Bomb (1964),99,76,comedy
20,The Death of Stalin (2018),96,228,comedy
21,Roman Holiday (1953),98,53,comedy
22,Toy Story (1995),100,81,comedy
23,The LEGO Movie (2014),96,240,comedy
24,Ant-Man and the Wasp (2018),88,364,comedy
25,Crazy Rich Asians (2018),91,304,comedy
26,Monty Python and the Holy Grail (1975),97,73,comedy
27,Paterson (2016),96,241,comedy
28,Sorry to Bother You (2018),93,263,comedy
29,The Gold Rush (1925),100,43,comedy
30,Shaun the Sheep Movie (2015),99,160,comedy
31,La Dolce Vita (1960),97,58,comedy
32,To Be or Not to Be (1942),98,42,comedy
33,Mary Poppins (1964),100,48,comedy
34,City Lights (1931),98,45,comedy
35,Birdman (2014),91,331,comedy
36,Love & Friendship (2016),97,196,comedy
37,Playtime (1973),100,44,comedy
38,The Disaster Artist (2017),91,307,comedy
39,Annie Hall (1977),97,71,comedy
40,The Discreet Charm Of The Bourgeoisie (Le Charme Discret de la Bourgeoisie) (1972),98,50,comedy
41,The Artist (2011),95,304,comedy
42,His Girl Friday (1940),98,47,comedy
43,Ratatouille (2007),96,246,comedy
44,The Rules of the Game (La règle du jeu) (1939),98,45,comedy
45,Tampopo (1985),100,51,comedy
46,Isle of Dogs (2018),89,314,comedy
47,The Incredibles (2004),97,239,comedy
48,Gentlemen Prefer Blondes (1953),98,40,comedy
49,The Nice Guys (2016),92,292,comedy
50,Yellow Submarine (1968),97,59,comedy
51,Paddington (2015),98,151,comedy
52,Spy (2015),94,244,comedy
53,Chicken Run (2000),97,170,comedy
54,Logan Lucky (2017),92,256,comedy
55,Hunt for the Wilderpeople (2016),96,185,comedy
56,101 Dalmatians (1961),98,46,comedy
57,Airplane! (1980),97,61,comedy
58,Ghostbusters (1984 Original) (1984),97,71,comedy
59,Bringing Up Baby (1938),95,42,comedy
60,Big (1988),97,74,comedy
61,Some Like It Hot (1959),96,54,comedy
62,Duck Soup (1933),94,47,comedy
63,The Player (1992),98,62,comedy
64,Don't Think Twice (2016),98,131,comedy
65,"Monsters, Inc. (2001)",96,193,comedy
66,The Lego Batman Movie (2017),90,289,comedy
67,Monty Python's Life of Brian (1979),97,60,comedy
68,The Grand Budapest Hotel (2014),91,285,comedy
69,Sideways (2004),96,227,comedy
70,The Apartment (1960),94,62,comedy
71,Back to the Future (1985),96,77,comedy
72,The Edge of Seventeen (2016),95,192,comedy
73,Groundhog Day (1993),96,77,comedy
74,What We Do In The Shadows (2015),96,170,comedy
75,Tangerine (2015),97,144,comedy
76,Bull Durham (1988),97,66,comedy
77,Who Framed Roger Rabbit (1988),97,63,comedy
78,Moonrise Kingdom (2012),93,244,comedy
79,Anomalisa (2015),92,255,comedy
80,Lost In Translation (2003),95,228,comedy
81,Enough Said (2013),95,182,comedy
82,Broadcast News (1987),98,45,comedy
83,The Taste of Others (Le goût des autres) (2000),100,58,comedy
84,The Muppets (2011),95,220,comedy
85,The Band's Visit (2007),98,116,comedy
86,Hannah Gadsby: Nanette (2018),100,44,comedy
87,Repo Man (1984),98,44,comedy
88,The Truman Show (1998),94,125,comedy
89,Le Havre (2011),99,93,comedy
90,Say Anything... (1989),98,43,comedy
91,Wallace & Gromit: The Curse of the Were-Rabbit (2005),95,181,comedy
92,Hairspray (1988),98,42,comedy
93,Silver Linings Playbook (2012),92,244,comedy
94,American Graffiti (1973),96,47,comedy
95,Monsieur Lazhar (2012),97,117,comedy
96,Juno (2007),94,208,comedy
97,Mafioso (1964),96,50,comedy
98,We Are the Best! (2014),96,129,comedy
99,Manhattan (1979),95,62,comedy
100,Bullets Over Broadway (1994),97,58,comedy
1,Won't You Be My Neighbor? (2018),98,216,documentary
2,I Am Not Your Negro (2017),98,192,documentary
3,Man on Wire (2008),100,157,documentary
4,Life Itself (2014),97,196,documentary
5,"Faces Places (Visages, villages) (2017)",99,129,documentary
6,20 Feet From Stardom (2013),99,118,documentary
7,Three Identical Strangers (2018),96,157,documentary
8,The Last Waltz (1978),98,47,documentary
9,Amy (2015),95,209,documentary
10,Taxi to the Dark Side (2007),100,92,documentary
11,Kedi (2017),98,114,documentary
12,Blackfish (2013),98,126,documentary
13,Citizenfour (2014),97,143,documentary
14,Murderball (2005),98,138,documentary
15,Minding the Gap (2018),100,63,documentary
16,Shirkers (2018),100,58,documentary
17,Tower (2016),99,92,documentary
18,Weiner (2016),96,162,documentary
19,Inside Job (2010),98,146,documentary
20,The Missing Picture (2014),99,86,documentary
21,Deliver Us from Evil (2006),100,72,documentary
22,Seymour: An Introduction (2015),100,65,documentary
23,RBG (2018),95,153,documentary
24,Anvil! The Story of Anvil (2009),98,135,documentary
25,Jiro Dreams of Sushi (2012),99,92,documentary
26,Bright Lights: Starring Carrie Fisher and Debbie Reynolds (2017),100,56,documentary
27,The Square (Al Midan) (2013),100,62,documentary
28,Waste Land (2010),100,70,documentary
29,Hoop Dreams (1994),98,55,documentary
30,"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr. (1999)",100,43,documentary
31,Strong Island (2017),100,45,documentary
32,Afghan Star (2009),100,60,documentary
33,Capturing the Friedmans (2003),97,152,documentary
34,Waltz with Bashir (2008),96,148,documentary
35,Iris (2015),98,96,documentary
36,The Overnighters (2014),99,69,documentary
37,Jodorowsky's Dune (2014),97,115,documentary
38,The Interrupters (2011),99,89,documentary
39,How to Survive a Plague (2012),99,73,documentary
40,March of the Penguins (2005),95,182,documentary
41,56 Up (2013),99,67,documentary
42,Last Train Home (2010),100,54,documentary
43,The Invisible War (2012),99,70,documentary
44,Kurt Cobain: Montage Of Heck (2015),98,90,documentary
45,Project Nim (2011),97,141,documentary
46,Spellbound (2002),97,139,documentary
47,Everyday Sunshine: The Story of Fishbone (2011),100,45,documentary
48,Nostalgia for the Light (2011),100,45,documentary
49,We Were Here (2011),100,44,documentary
50,Enron: The Smartest Guys in the Room (2005),97,119,documentary
51,Bill Cunningham New York (2011),99,72,documentary
52,The Look of Silence (2015),96,129,documentary
53,Rivers and Tides: Andy Goldsworthy Working With Time (2002),99,71,documentary
54,When We Were Kings (1996),98,47,documentary
55,The Act Of Killing (2013),95,147,documentary
56,13th (2016),97,92,documentary
57,This Is Not a Film (2012),97,98,documentary
58,Elaine Stritch: Shoot Me (2014),98,65,documentary
59,Hitchcock/Truffaut (2015),96,114,documentary
60,The King of Kong: A Fistful of Quarters (2007),97,100,documentary
61,The Fog of War: Eleven Lessons from the Life of Robert S. McNamara (2003),96,140,documentary
62,Bowling for Columbine (2002),95,169,documentary
63,The Imposter (2012),96,113,documentary
64,The War Tapes (2006),98,65,documentary
65,Cave of Forgotten Dreams (2011),96,133,documentary
66,West of Memphis (2012),96,112,documentary
67,The Beatles: Eight Days a Week - The Touring Years (2016),96,99,documentary
68,Ai Weiwei: Never Sorry (2012),97,79,documentary
69,Beware Of Mr. Baker (2012),98,52,documentary
70,Jafar Panahi's Taxi (2015),96,96,documentary
71,Marwencol (2010),98,60,documentary
72,Undefeated (2012),96,100,documentary
73,Sicko (2007),92,216,documentary
74,Finders Keepers (2015),98,46,documentary
75,Mea Maxima Culpa: Silence In The House Of God (2012),98,48,documentary
76,Blindsight (2006),98,50,documentary
77,Sound City (2013),98,45,documentary
78,The Devil Came on Horseback (2007),98,51,documentary
79,Call Me Kuchu (2013),98,44,documentary
80,The Island President (2012),98,46,documentary
81,For the Bible Tells Me So (2007),98,49,documentary
