rank,title,studio,lifetime_gross,year
174,Alvin and the Chipmunks,Fox,217326974,2007
175,Saving Private Ryan,DW,217049603,1998
176,Ant-Man and the Wasp,BV,216648740,2018
177,Bohemian Rhapsody,Fox,216428042,2018
178,Madagascar 3: Europe's Most Wanted,P/DW,216391482,2012
179,Kung Fu Panda,P/DW,215434591,2008
180,Mission: Impossible II,Par.,215409889,2000
181,A Star is Born (2018),WB,215288866,2018
182,X2: X-Men United,Fox,214949694,2003
183,Dr. Seuss' The Lorax,Uni.,214030500,2012
184,Solo: A Star Wars Story,BV,213767512,2018
185,Venom (2018),Sony,213515506,2018
186,Austin Powers in Goldmember,NL,213307889,2002
187,300,WB,210614939,2007
188,Back to the Future,Uni.,210609762,1985
189,Fast Five,Uni.,209837675,2011
190,Coco,BV,209726015,2017
191,Mission: Impossible - Ghost Protocol,Par.,209397903,2011
192,Wedding Crashers,NL,209255921,2005
193,Sherlock Holmes,WB,209028679,2009
194,Dawn of the Planet of the Apes,Fox,208545589,2014
195,Batman Begins,WB,206852432,2005
196,Charlie and the Chocolate Factory,WB,206459076,2005
197,Ratatouille,BV,206445654,2007
198,Thor: The Dark World,BV,206362140,2013
199,Austin Powers: The Spy Who Shagged Me,NL,206040086,1999
200,Terminator 2: Judgment Day,TriS,205881154,1991
201,The Amazing Spider-Man 2,Sony,202853933,2014
202,World War Z,Par.,202359711,2013
203,The Mummy Returns,Uni.,202019785,2001
204,Armageddon,BV,201578182,1998
205,Cinderella (2015),BV,201151353,2015
206,Ralph Breaks the Internet,BV,201091711,2018
207,Gone with the Wind,MGM,200852579,1939
208,Tangled,BV,200821936,2010
209,Godzilla (2014),WB,200676069,2014
210,Superman Returns,WB,200081192,2006
211,Spectre,Sony,200074609,2015
212,Pearl Harbor,BV,198542554,2001
213,Monsters Vs. Aliens,P/DW,198351526,2009
214,Happy Feet,WB,198000317,2006
215,Indiana Jones and the Last Crusade,Par.,197171806,1989
216,Ice Age: Dawn of the Dinosaurs,Fox,196573705,2009
217,Ice Age: The Meltdown,Fox,195330621,2006
218,Mission: Impossible - Rogue Nation,Par.,195042377,2015
219,Madagascar,DW,193595521,2005
220,Twilight,Sum.,192769854,2008
221,Toy Story,BV,191796233,1995
222,22 Jump Street,Sony,191719337,2014
223,Cars 2,BV,191452396,2011
224,Teenage Mutant Ninja Turtles (2014),Par.,191204754,2014
225,Men in Black II,Sony,190418803,2002
226,Spider-Man: Into The Spider-Verse,Sony,190241310,2018
227,Grease,Par.,189969103,1978
228,Dunkirk,WB,189740665,2017
229,Wreck-It Ralph,BV,189422889,2012
230,A Quiet Place,Par.,188024361,2018
231,Interstellar,Par.,188020017,2014
232,Gladiator,DW,187705427,2000
233,The Polar Express,WB,187224490,2004
234,The Croods,Fox,187168425,2013
235,Sherlock Holmes: A Game of Shadows,WB,186848418,2011
236,The Day After Tomorrow,Fox,186740799,2004
237,Mr. & Mrs. Smith,Fox,186336279,2005
238,Snow White and the Seven Dwarfs,Dis.,184925486,1937
239,Pitch Perfect 2,Uni.,184296230,2015
240,Dances with Wolves,Orion,184208848,1990
241,Batman Forever,WB,184069126,1995
242,The Fugitive,WB,183875760,1993
243,The Revenant,Fox,183637894,2015
244,Ocean's Eleven,WB,183417150,2001
245,The Simpsons Movie,Fox,183135014,2007
246,What Women Want,Par.,182811707,2000
247,The Perfect Storm,WB,182618434,2000
248,Lincoln,BV,182207973,2012
249,Liar Liar,Uni.,181410615,1997
250,Jurassic Park III,Uni.,181171875,2001
251,Thor,Par.,181030624,2011
252,Mission: Impossible,Par.,180981856,1996
253,Ant-Man,BV,180202163,2015
254,Planet of the Apes (2001),Fox,180011740,2001
255,Madagascar: Escape 2 Africa,P/DW,180010950,2008
256,X-Men Origins: Wolverine,Fox,179883157,2009
257,Indiana Jones and the Temple of Doom,Par.,179870271,1984
258,Top Gun,Par.,179800601,1986
259,Hitch,Sony,179495555,2005
260,MIB 3,Sony,179020854,2012
261,Pretty Woman,BV,178406268,1990
262,Home (2015),Fox,177397510,2015
263,Night at the Museum: Battle of the Smithsonian,Fox,177243721,2009
264,Tootsie,Col.,177200000,1982
265,How to Train Your Dragon 2,Fox,177002924,2014
266,Rise of the Planet of the Apes,Fox,176760185,2011
267,Captain America: The First Avenger,Par.,176654505,2011
268,The Karate Kid,Sony,176591618,2010
269,There's Something About Mary,Fox,176484651,1998
270,Ice Age,Fox,176387405,2002
271,The Bourne Supremacy,Uni.,176241941,2004
272,Get Out,Uni.,176040665,2017
273,The LEGO Batman Movie,WB,175750384,2017
274,Us,Uni.,175005930,2019
275,The Boss Baby,Fox,175003033,2017
276,Crocodile Dundee,Par.,174803506,1986
277,Crazy Rich Asians,WB,174532921,2018
278,The Greatest Showman,Fox,174340174,2017
279,Elf,NL,173840591,2003
280,Apollo 13,Uni.,173837933,1995
281,Home Alone 2: Lost in New York,Fox,173585516,1992
282,National Treasure,BV,173008894,2004
283,Air Force One,Sony,172956409,1997
284,Rain Man,MGM,172825435,1988
285,Pirates of the Caribbean: Dead Men Tell No Tales,BV,172558876,2017
286,Tron Legacy,BV,172062763,2010
287,Mary Poppins Returns,BV,171958438,2018
288,The Matrix,WB,171479930,1999
289,True Grit,Par.,171243005,2010
290,Tarzan,BV,171091819,1999
291,A Beautiful Mind,Uni.,170742341,2001
292,Chicago,Mira.,170687518,2002
293,John Wick: Chapter 3 - Parabellum,LG/S,169935857,2019
294,The Help,BV,169708112,2011
295,Hotel Transylvania 2,Sony,169700110,2015
296,Hidden Figures,Fox,169607287,2016
297,Bridesmaids,Uni.,169106725,2011
298,Quantum of Solace,Sony,168368427,2008
299,Wild Hogs,BV,168273550,2007
300,Kong: Skull Island,WB,168052812,2017
301,Three Men and a Baby,BV,167780960,1987
302,Gone Girl,Fox,167767189,2014
303,Hotel Transylvania 3: Summer Vacation,Sony,167510016,2018
304,Casino Royale,Sony,167445960,2006
305,Meet the Parents,Uni.,166244045,2000
306,Fifty Shades of Grey,Uni.,166167230,2015
307,2012,Sony,166112167,2009
308,Robin Hood: Prince of Thieves,WB,165493908,1991
309,Kung Fu Panda 2,P/DW,165249063,2011
310,Hannibal,MGM,165092268,2001
311,Catch Me If You Can,DW,164615351,2002
312,The Proposal,BV,163958031,2009
313,The Pursuit of Happyness,Sony,163566459,2006
314,Big Daddy,Sony,163479795,1999
315,Clash of the Titans (2010),WB,163214888,2010
316,The SpongeBob Movie: Sponge Out of Water,Par.,162994032,2015
317,Batman Returns,WB,162902340,1992
318,Django Unchained,Wein.,162805434,2012
319,A Bug's Life,BV,162798565,1998
320,Jason Bourne,Uni.,162434410,2016
321,Grown Ups,Sony,162001186,2010
322,The Waterboy,BV,161491646,1998
323,Ice Age: Continental Drift,Fox,161321843,2012
324,Straight Outta Compton,Uni.,161197785,2015
325,Die Another Day,MGM,160942139,2002
326,Shark Tale,DW,160861908,2004
327,How to Train Your Dragon: The Hidden World,Uni.,160799505,2019
328,The Heat,Fox,159582188,2013
329,Fantastic Beasts: The Crimes of Grindelwald,WB,159555901,2018
330,Halloween (2018),Uni.,159342015,2018
331,The Sound of Music,Fox,159287539,1965
332,Star Trek Beyond,Par.,158848340,2016
333,The Firm,Par.,158348367,1993
334,The Longest Yard,Par.,158119460,2005
335,X-Men,Fox,157299717,2000
336,Scary Movie,Mira.,157019771,2000
337,Fatal Attraction,Par.,156645693,1987
338,Who Framed Roger Rabbit,BV,156452370,1988
339,The Sting,Uni.,156000000,1973
340,What Lies Beneath,DW,155464351,2000
341,X-Men: Apocalypse,Fox,155442489,2016
342,The Mummy,Uni.,155385488,1999
343,Snow White and the Huntsman,Uni.,155332381,2012
344,San Andreas,WB (NL),155190832,2015
345,Fast and Furious,Uni.,155064265,2009
346,Over the Hedge,P/DW,155019340,2006
347,The Secret Life of Pets 2,Uni.,154899025,2019
348,Fantastic Four (2005),Fox,154696080,2005
349,Dr. Seuss' Horton Hears a Who!,Fox,154529439,2008
350,Mad Max: Fury Road,WB,154058340,2015
351,Jerry Maguire,Sony,153952592,1996
352,Trolls,Fox,153707064,2016
353,Beverly Hills Cop II,Par.,153665036,1987
354,Scooby-Doo,WB,153294164,2002
355,Gremlins,WB,153083102,1984
356,Cars 3,BV,152901115,2017
357,Sex and the City,WB (NL),152647258,2008
358,Runaway Bride,Par.,152257509,1999
359,La La Land,LG/S,151101803,2016
360,Divergent,LG/S,150947895,2014
361,Rambo: First Blood Part II,TriS,150415432,1985
362,We're the Millers,WB (NL),150394119,2013
363,Terminator 3: Rise of the Machines,WB,150371112,2003
364,Daddy's Home,Par.,150357137,2015
365,G.I. Joe: The Rise of Cobra,Par.,150201498,2009
366,Neighbors,Uni.,150157400,2014
367,American Hustle,Sony,150117807,2013
368,Puss in Boots,P/DW,149260504,2011
369,Les Miserables (2012),Uni.,148809770,2012
370,Knocked Up,Uni.,148768917,2007
371,As Good as It Gets,Sony,148478011,1997
372,Little Fockers,Uni.,148438600,2010
373,Megamind,P/DW,148415853,2010
374,Hotel Transylvania,Sony,148313048,2012
375,Talladega Nights: The Ballad of Ricky Bobby,Sony,148213377,2006
376,Gran Torino,WB,148095302,2008
377,Lethal Weapon 2,WB,147253986,1989
378,War for the Planet of the Apes,Fox,146880162,2017
379,X-Men: First Class,Fox,146408305,2011
380,Paul Blart: Mall Cop,Sony,146336178,2009
381,True Lies,Fox,146282411,1994
382,Lilo & Stitch,BV,145794338,2002
383,The Meg,WB,145443742,2018
384,American Pie 2,Uni.,145103595,2001
385,Taken,Fox,145000989,2009
386,101 Dalmatians,Dis.,144880014,1961
387,The Great Gatsby (2013),WB,144840419,2013
388,The Santa Clause,BV,144833357,1994
389,"I, Robot",Fox,144801023,2004
390,Lethal Weapon 3,WB,144731527,1992
391,The Fast and the Furious,Uni.,144533925,2001
392,Mamma Mia!,Uni.,144169664,2008
393,Doctor Dolittle,Fox,144156605,1998
394,Pokemon Detective Pikachu,WB,143918451,2019
395,Rio,Fox,143619809,2011
396,Kung Fu Panda 3,Fox,143528619,2016
397,Juno,FoxS,143495265,2007
398,Marley and Me,Fox,143153751,2008
399,The Smurfs,Sony,142614158,2011
400,XXX,SonR,142109382,2002
401,The Jungle Book,Dis.,141843612,1967
402,The Chronicles of Narnia: Prince Caspian,BV,141621490,2008
403,National Lampoon's Animal House,Uni.,141600000,1978
404,Pocahontas,BV,141579773,1995
405,A Few Good Men,Col.,141340178,1992
406,Slumdog Millionaire,FoxS,141319928,2008
407,Rush Hour,NL,141186864,1998
408,The Blair Witch Project,Art.,140539099,1999
409,Deep Impact,Par.,140464664,1998
410,Shazam!,WB (NL),140371656,2019
411,Ocean's 8,WB,140218711,2018
412,Rush Hour 3,NL,140125968,2007
413,Look Who's Talking,TriS,140088813,1989
414,Stuart Little,Sony,140035367,1999
415,Taken 2,Fox,139854287,2012
416,Sister Act,BV,139605150,1992
417,The Matrix Revolutions,WB,139313948,2003
418,The Santa Clause 2,BV,139236327,2002
419,The King's Speech,Wein.,138797449,2010
420,Cheaper by the Dozen,Fox,138614544,2003
421,Bad Boys II,Sony,138608444,2003
422,Platoon,Orion,138530565,1986
423,21 Jump Street,Sony,138447667,2012
424,Good Will Hunting,Mira.,138433435,1997
425,Split,Uni.,138291365,2017
426,A Christmas Carol (2009),BV,137855863,2009
427,Dinosaur,BV,137748063,2000
428,Ready Player One,WB,137690172,2018
429,The Conjuring,WB (NL),137400141,2013
430,Click,SonR,137355633,2006
431,The Green Mile,WB,136801374,1999
432,Ransom,BV,136492681,1996
433,Godzilla,Sony,136314294,1998
434,101 Dalmatians (1996),BV,136189294,1996
435,Argo,WB,136025503,2012
436,Anger Management,SonR,135645823,2003
437,Chicken Little,BV,135386665,2005
438,Teenage Mutant Ninja Turtles,NL,135265915,1990
439,Close Encounters of the Third Kind,Col.,135189114,1977
440,Patch Adams,Uni.,135026902,1998
441,The Godfather,Par.,134966411,1972
442,Ride Along,Uni.,134938200,2014
443,The Incredible Hulk,Uni.,134806913,2008
444,Live Free or Die Hard,Fox,134529403,2007
445,Wanted,Uni.,134508551,2008
446,Identity Thief,Uni.,134506920,2013
447,Superman,WB,134451603,1978
448,The Rock,BV,134069511,1996
449,Mission: Impossible III,Par.,134029801,2006
450,Grown Ups 2,Sony,133668525,2013
451,Troy,WB,133378256,2004
452,Angels & Demons,Sony,133375846,2009
453,Alvin and the Chipmunks: Chipwrecked,Fox,133110742,2011
454,Bringing Down the House,BV,132716677,2003
455,The Wolverine,Fox,132556852,2013
456,Wonder,LGF,132422809,2017
457,The Departed,WB,132384315,2006
458,Hulk,Uni.,132177234,2003
459,Silver Linings Playbook,Wein.,132092958,2012
460,Minority Report,Fox,132072926,2002
461,Fantastic Four: Rise of the Silver Surfer,Fox,131921738,2007
462,The Last Airbender,Par.,131772187,2010
463,Rio 2,Fox,131538435,2014
464,Lara Croft: Tomb Raider,Par.,131168070,2001
465,The Silence of the Lambs,Orion,130742922,1991
466,"Honey, I Shrunk the Kids",BV,130724172,1989
467,The Flintstones,Uni.,130531208,1994
468,Lethal Weapon 4,WB,130444603,1998
469,Get Smart,WB,130319208,2008
470,The Divergent Series: Insurgent,LG/S,130179072,2015
471,The Peanuts Movie,Fox,130178411,2015
472,Transformers: The Last Knight,Par.,130168683,2017
473,American Gangster,Uni.,130164645,2007
474,American Beauty,DW,130096601,1999
475,An Officer and a Gentleman,Par.,129795554,1982
476,The Ring,DW,129128133,2002
477,The Nutty Professor (1996),Uni.,128814019,1996
478,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Fox,128505958,2006
479,Ghostbusters (2016),Sony,128350574,2016
480,Kingsman: The Secret Service,Fox,128261724,2015
481,Robots,Fox,128200012,2005
482,Coming to America,Par.,128152301,1988
483,"Crouching Tiger, Hidden Dragon",SPC,128078872,2000
484,Shutter Island,Par.,128012934,2010
485,Into the Woods,BV,128002372,2014
486,Rocky IV,UA,127873716,1985
487,Enchanted,BV,127807262,2007
488,The Curious Case of Benjamin Button,Par.,127509326,2008
489,Central Intelligence,WB (NL),127440871,2016
490,Anchorman 2: The Legend Continues,Par.,127352707,2013
491,Sweet Home Alabama,BV,127223418,2002
492,Bumblebee,Par.,127195589,2018
493,Dumb and Dumber,NL,127175374,1994
494,2 Fast 2 Furious,Uni.,127154901,2003
495,My Best Friend's Wedding,Sony,127120029,1997
496,Super 8,Par.,127004179,2011
497,The World Is Not Enough,MGM,126943684,1999
498,Sleepless in Seattle,TriS,126808165,1993
499,Smokey and the Bandit,Uni.,126737428,1977
500,Lucy,Uni.,126663600,2014
501,The Legend of Tarzan,WB,126643061,2016
502,Bee Movie,P/DW,126631277,2007
503,Prometheus,Fox,126477084,2012
504,Safe House,Uni.,126373434,2012
505,Mr. Deeds,Sony,126293452,2002
506,The Truman Show,Par.,125618201,1998
507,Erin Brockovich,Uni.,125595205,2000
508,Ocean's Twelve,WB,125544280,2004
509,Terminator Salvation,WB,125322469,2009
510,Charlie's Angels,Sony,125305545,2000
511,Tomorrow Never Dies,MGM,125304276,1997
512,Lone Survivor,Uni.,125095601,2013
513,Sully,WB,125070033,2016
514,Rocky III,UA,125049125,1982
515,The Vow,SGem,125014030,2012
516,Life of Pi,Fox,124987023,2012
517,The Fault in our Stars,Fox,124872350,2014
518,Cloudy with a Chance of Meatballs,Sony,124870275,2009
519,The Devil Wears Prada,Fox,124740460,2006
520,Something's Gotta Give,Sony,124728738,2003
521,Traffic,USA,124115725,2000
522,The Birdcage,MGM,124060553,1996
523,City Slickers,Col.,124033791,1991
524,"Good Morning, Vietnam ",BV,123922370,1987
525,Rango,Par.,123477607,2011
526,The Nutty Professor II: The Klumps,Uni.,123309890,2000
527,The Good Dinosaur,BV,123087120,2015
528,G.I. Joe: Retaliation,Par.,122523060,2013
529,Clear and Present Danger,Par.,122187717,1994
530,The Hunt for Red October,Par.,122012643,1990
531,The Bodyguard,WB,122006740,1992
532,Wayne's World,Par.,121697323,1992
533,The Bourne Identity,Uni.,121661683,2002
534,Superbad,Sony,121463226,2007
535,Speed,Fox,121248145,1994
536,50 First Dates,Sony,120908074,2004
537,Mamma Mia! Here We Go Again,Uni.,120634935,2018
538,Mulan,BV,120620254,1998
539,Inglourious Basterds,Wein.,120540719,2009
540,Seabiscuit,Uni.,120277854,2003
541,Van Helsing,Uni.,120177084,2004
542,Four Christmases,WB (NL),120146040,2008
543,I Now Pronounce You Chuck and Larry,Uni.,120059556,2007
544,The Mask,NL,119938730,1994
545,Cloudy with a Chance of Meatballs 2,Sony,119793567,2013
546,Hook,TriS,119654823,1991
547,Blazing Saddles,WB,119601481,1974
548,Walk the Line,Fox,119519402,2005
549,G-Force,BV,119436770,2009
550,Total Recall,Sony,119412921,1990
551,On Golden Pond,Uni.,119285432,1981
552,The Other Guys,Sony,119219978,2010
553,Fahrenheit 9/11,Lions,119194771,2004
554,The Sum of All Fears,Par.,118907036,2002
555,Hairspray (2007),NL,118871849,2007
556,The Break-Up,Uni.,118703275,2006
557,Lemony Snicket's A Series of Unfortunate Events,Par.,118634549,2004
558,Blades of Glory,P/DW,118594548,2007
559,Back to the Future Part II,Uni.,118450002,1989
560,Salt,Sony,118311368,2010
561,Basic Instinct,TriS,117727224,1992
562,Now You See Me,LG/S,117723989,2013
563,Big Momma's House,Fox,117559438,2000
564,Die Hard 2: Die Harder,Fox,117540947,1990
565,Horrible Bosses,WB (NL),117538559,2011
566,The Nun,WB (NL),117450119,2018
567,Rocky,UA,117235147,1976
568,Jackass 3-D,Par.,117229692,2010
569,Ocean's Thirteen,WB,117154724,2007
570,S.W.A.T.,Sony,116934650,2003
571,The Wolf of Wall Street,Par.,116900694,2013
572,8 Mile,Uni.,116750901,2002
573,Double Jeopardy,Par.,116741558,1999
574,Lee Daniels' The Butler,Wein.,116632095,2013
575,Green Lantern,WB,116601172,2011
576,Notting Hill,Uni.,116089678,1999
577,The Towering Inferno,Fox,116000000,1974
578,You've Got Mail,WB,115821495,1998
579,Ghost Rider,Sony,115802596,2007
580,Creed II,MGM,115715889,2018
581,Remember the Titans,BV,115654751,2000
582,District 9,TriS,115646235,2009
583,Unbroken,Uni.,115637895,2014
584,Peter Rabbit,Sony,115253424,2018
585,Big,Fox,115227281,1988
586,Girls Trip,Uni.,115171585,2017
587,The Karate Kid Part II,Col.,115103979,1986
588,American Graffiti,Uni.,115000000,1973
589,Dumbo (2019),BV,114750181,2019
590,Fifty Shades Darker,Uni.,114581250,2017
591,DodgeBall: A True Underdog Story,Fox,114326736,2004
592,The Village,BV,114197520,2004
593,Bolt,BV,114053579,2008
594,Wild Wild West,WB,113804681,1999
595,Night at the Museum: Secret of the Tomb,Fox,113746621,2014
596,Magic Mike,WB,113721571,2012
597,The Addams Family,Par.,113502426,1991
598,The Patriot,Sony,113330342,2000
599,Bad Moms,STX,113257297,2016
600,The Bourne Legacy,Uni.,113203870,2012
601,The Pacifier,BV,113086868,2005
602,Dr. Dolittle 2,Fox,112952899,2001
603,The Rocky Horror Picture Show,Fox,112892319,1975
604,It's Complicated,Uni.,112735375,2009
605,Spy Kids,Mira.,112719001,2001
606,Ghostbusters II,Col.,112494738,1989
607,Face/Off,Par.,112276146,1997
608,The Hangover Part III,WB,112200072,2013
609,Twins,Uni.,111938388,1988
610,Spy Kids 3D: Game Over,Dim.,111761982,2003
611,Doctor Zhivago,MGM,111721910,1965
612,Enemy of the State,BV,111549836,1998
613,The Little Mermaid,BV,111543479,1989
614,Mr. Peabody & Sherman,Fox,111506430,2014
615,Porky's,Fox,111289673,1982
616,The Last Samurai,WB,111127263,2003
617,Glass,Uni.,111035005,2019
618,Spy,Fox,110825712,2015
619,Tropic Thunder,P/DW,110515313,2008
