Date,SET
1991-05-31,808.19
1991-06-30,765.21
1991-07-31,728.7
1991-08-31,705.65
1991-09-30,670.79
1991-10-31,638.84
1991-11-30,671.07
1991-12-31,711.36
1992-01-31,763.45
1992-02-29,782.85
1992-03-31,822.72
1992-04-30,760.97
1992-05-31,688.84
1992-06-30,751.45
1992-07-31,744.42
1992-08-31,746.51
1992-09-30,847
1992-10-31,940.35
1992-11-30,865.21
1992-12-31,893.42
1993-01-31,974.48
1993-02-28,937.65
1993-03-31,865.23
1993-04-30,845.29
1993-05-31,825.71
1993-06-30,877.52
1993-07-31,928.2
1993-08-31,963.18
1993-09-30,971.44
1993-10-31,1260.91
1993-11-30,1309.95
1993-12-31,1682.85
1994-01-31,1493.45
1994-02-28,1372.93
1994-03-31,1239.99
1994-04-30,1266.67
1994-05-31,1356.87
1994-06-30,1273.34
1994-07-31,1376.88
1994-08-31,1524.83
1994-09-30,1485.71
1994-10-31,1528.83
1994-11-30,1362.44
1994-12-31,1360.09
1995-01-31,1217.74
1995-02-28,1288.47
1995-03-31,1216.68
1995-04-30,1208.69
1995-05-31,1392.31
1995-06-30,1394.77
1995-07-31,1383.1
1995-08-31,1314.9
1995-09-30,1294.23
1995-10-31,1270.76
1995-11-30,1196.62
1995-12-31,1280.81
1996-01-31,1410.33
1996-02-29,1321.87
1996-03-31,1289.73
1996-04-30,1292.61
1996-05-31,1311.91
1996-06-30,1247.08
1996-07-31,1064.04
1996-08-31,1102.32
1996-09-30,1099.01
1996-10-31,910.33
1996-11-30,925.97
1996-12-31,831.57
1997-01-31,788.04
1997-02-28,727.56
1997-03-31,705.43
1997-04-30,661.29
1997-05-31,566.39
1997-06-30,527.28
1997-07-31,665.62
1997-08-31,502.23
1997-09-30,544.54
1997-10-31,447.21
1997-11-30,395.47
1997-12-31,372.69
1998-01-31,495.23
1998-02-28,528.42
1998-03-31,459.11
1998-04-30,412.13
1998-05-31,325.59
1998-06-30,267.33
1998-07-31,266.72
1998-08-31,214.53
1998-09-30,253.82
1998-10-31,331.29
1998-11-30,362.82
1998-12-31,355.81
1999-01-31,363
1999-02-28,340.94
1999-03-31,352.01
1999-04-30,459.35
1999-05-31,453.6
1999-06-30,521.77
1999-07-31,456.81
1999-08-31,440.27
1999-09-30,389.49
1999-10-31,395.55
1999-11-30,422.12
1999-12-31,481.92
2000-01-31,477.57
2000-02-29,374.32
2000-03-31,400.32
2000-04-30,390.4
2000-05-31,323.29
2000-06-30,325.69
2000-07-31,284.67
2000-08-31,307.83
2000-09-30,277.29
2000-10-31,271.84
2000-11-30,277.92
2000-12-31,269.19
2001-01-31,332.77
2001-02-28,325.2
2001-03-31,291.94
2001-04-30,300.63
2001-05-31,310.13
2001-06-30,322.55
2001-07-31,297.69
2001-08-31,335.57
2001-09-30,277.04
2001-10-31,275.09
2001-11-30,302.62
2001-12-31,303.85
2002-01-31,340.82
2002-02-28,371.81
2002-03-31,373.95
2002-04-30,371.42
2002-05-31,407.96
2002-06-30,389.1
2002-07-31,376.02
2002-08-31,361.16
2002-09-30,331.79
2002-10-31,357.22
2002-11-30,364.9
2002-12-31,356.48
2003-01-31,370.01
2003-02-28,361.32
2003-03-31,364.55
2003-04-30,374.63
2003-05-31,403.82
2003-06-30,461.82
2003-07-31,484.11
2003-08-31,537.71
2003-09-30,578.98
2003-10-31,639.45
2003-11-30,646.03
2003-12-31,772.15
2004-01-31,698.9
2004-02-29,716.3
2004-03-31,647.3
2004-04-30,648.15
2004-05-31,641.05
2004-06-30,646.64
2004-07-31,636.7
2004-08-31,624.59
2004-09-30,644.67
2004-10-31,628.16
2004-11-30,656.73
2004-12-31,668.1
2005-01-31,701.91
2005-02-28,741.55
2005-03-31,681.49
2005-04-30,658.88
2005-05-31,667.55
2005-06-30,675.5
2005-07-31,675.67
2005-08-31,697.85
2005-09-30,723.23
2005-10-31,682.62
2005-11-30,667.75
2005-12-31,713.73
2006-01-31,762.63
2006-02-28,744.05
2006-03-31,733.25
2006-04-30,768.29
2006-05-31,709.43
2006-06-30,678.13
2006-07-31,691.49
2006-08-31,690.9
2006-09-30,686.1
2006-10-31,722.46
2006-11-30,739.06
2006-12-31,679.84
2007-01-31,654.04
2007-02-28,677.13
2007-03-31,673.71
2007-04-30,699.16
2007-05-31,737.4
2007-06-30,776.79
2007-07-31,859.76
2007-08-31,813.21
2007-09-30,845.5
2007-10-31,907.28
2007-11-30,846.44
2007-12-31,858.1
2008-01-31,784.23
2008-02-29,845.76
2008-03-31,817.03
2008-04-30,832.45
2008-05-31,833.65
2008-06-30,768.59
2008-07-31,676.32
2008-08-31,684.44
2008-09-30,596.54
2008-10-31,416.53
2008-11-30,401.84
2008-12-31,449.96
2009-01-31,437.69
2009-02-28,431.52
2009-03-31,431.5
2009-04-30,491.69
2009-05-31,560.41
2009-06-30,597.48
2009-07-31,624
2009-08-31,653.25
2009-09-30,717.07
2009-10-31,685.24
2009-11-30,689.07
2009-12-31,734.54
2010-01-31,696.55
2010-02-28,721.37
2010-03-31,787.98
2010-04-30,763.51
2010-05-31,750.43
2010-06-30,797.31
2010-07-31,855.83
2010-08-31,913.19
2010-09-30,975.3
2010-10-31,984.46
2010-11-30,1005.12
2010-12-31,1032.76
2011-01-31,964.1
2011-02-28,987.91
2011-03-31,1047.48
2011-04-30,1093.56
2011-05-31,1073.83
2011-06-30,1041.48
2011-07-31,1133.53
2011-08-31,1070.05
2011-09-30,916.21
2011-10-31,974.75
2011-11-30,995.33
2011-12-31,1025.32
2012-01-31,1083.97
2012-02-29,1160.9
2012-03-31,1196.77
2012-04-30,1228.49
2012-05-31,1141.5
2012-06-30,1172.11
2012-07-31,1199.3
2012-08-31,1227.48
2012-09-30,1298.79
2012-10-31,1298.87
2012-11-30,1324.04
2012-12-31,1391.93
2013-01-31,1474.2
2013-02-28,1541.58
2013-03-31,1561.06
2013-04-30,1597.86
2013-05-31,1562.07
2013-06-30,1451.9
2013-07-31,1423.14
2013-08-31,1294.3
2013-09-30,1383.16
2013-10-31,1442.88
2013-11-30,1371.13
2013-12-31,1298.71
2014-01-31,1274.28
2014-02-28,1325.33
2014-03-31,1376.26
2014-04-30,1414.94
2014-05-31,1415.73
2014-06-30,1485.75
2014-07-31,1502.39
2014-08-31,1561.63
2014-09-30,1585.67
2014-10-31,1584.16
2014-11-30,1593.91
2014-12-31,1497.67
2015-01-31,1581.25
2015-02-28,1587.01
2015-03-31,1505.94
2015-04-30,1526.74
2015-05-31,1496.05
2015-06-30,1504.55
2015-07-31,1440.12
2015-08-31,1382.41
2015-09-30,1349
2015-10-31,1394.94
2015-11-30,1359.7
2015-12-31,1288.02
2016-01-31,1300.98
2016-02-29,1332.37
2016-03-31,1407.7
2016-04-30,1404.61
2016-05-31,1424.28
2016-06-30,1444.99
2016-07-31,1524.07
2016-08-31,1548.44
2016-09-30,1483.21
2016-10-31,1495.72
2016-11-30,1510.24
2016-12-31,1542.94
2017-01-31,1577.31
2017-02-28,1559.56
2017-03-31,1575.11
2017-04-30,1566.32
2017-05-31,1561.66
2017-06-30,1574.74
2017-07-31,1576.08
2017-08-31,1616.16
2017-09-30,1673.16
2017-10-31,1721.37
2017-11-30,1697.39
2017-12-31,1753.71
2018-01-31,1826.86
2018-02-28,1830.13
2018-03-31,1776.26
2018-04-30,1780.11
2018-05-31,1726.97
