rank,title,studio,lifetime_gross,year
163,The Da Vinci Code,Sony,217536138,2006
164,Aladdin,BV,217350219,1992
165,Alvin and the Chipmunks,Fox,217326974,2007
166,Saving Private Ryan,DW,216540909,1998
167,Madagascar 3: Europe's Most Wanted,P/DW,216391482,2012
168,Kung Fu Panda,P/DW,215434591,2008
169,Mission: Impossible II,Par.,215409889,2000
170,X2: X-Men United,Fox,214949694,2003
171,Dr. Seuss' The Lorax,Uni.,214030500,2012
172,Solo: A Star Wars Story,BV,213588649,2018
173,Austin Powers in Goldmember,NL,213307889,2002
174,Ant-Man and the Wasp,BV,211470699,2018
175,300,WB,210614939,2007
176,Back to the Future,Uni.,210609762,1985
177,Fast Five,Uni.,209837675,2011
178,Coco,BV,209726015,2017
179,Mission: Impossible - Ghost Protocol,Par.,209397903,2011
180,Wedding Crashers,NL,209255921,2005
181,Sherlock Holmes,WB,209028679,2009
182,Dawn of the Planet of the Apes,Fox,208545589,2014
183,Batman Begins,WB,206852432,2005
184,Charlie and the Chocolate Factory,WB,206459076,2005
185,Ratatouille,BV,206445654,2007
186,Thor: The Dark World,BV,206362140,2013
187,Austin Powers: The Spy Who Shagged Me,NL,206040086,1999
188,Terminator 2: Judgment Day,TriS,205881154,1991
189,The Amazing Spider-Man 2,Sony,202853933,2014
190,World War Z,Par.,202359711,2013
191,The Mummy Returns,Uni.,202019785,2001
192,Armageddon,BV,201578182,1998
193,Cinderella (2015),BV,201151353,2015
194,Tangled,BV,200821936,2010
195,Godzilla (2014),WB,200676069,2014
196,Superman Returns,WB,200081192,2006
197,Spectre,Sony,200074609,2015
198,Gone with the Wind,MGM,198676459,1939
199,Pearl Harbor,BV,198542554,2001
200,Monsters Vs. Aliens,P/DW,198351526,2009
201,Happy Feet,WB,198000317,2006
202,Indiana Jones and the Last Crusade,Par.,197171806,1989
203,Ice Age: Dawn of the Dinosaurs,Fox,196573705,2009
204,Ice Age: The Meltdown,Fox,195330621,2006
205,Mission: Impossible - Rogue Nation,Par.,195042377,2015
206,Mission: Impossible - Fallout,Par.,193900660,2018
207,Madagascar,DW,193595521,2005
208,Twilight,Sum.,192769854,2008
209,Toy Story,BV,191796233,1995
210,22 Jump Street,Sony,191719337,2014
211,Cars 2,BV,191452396,2011
212,Teenage Mutant Ninja Turtles (2014),Par.,191204754,2014
213,Men in Black II,Sony,190418803,2002
214,Dunkirk,WB,190068280,2017
215,Wreck-It Ralph,BV,189422889,2012
216,Grease,Par.,188755690,1978
217,A Quiet Place,Par.,188024361,2018
218,Interstellar,Par.,188020017,2014
219,Gladiator,DW,187705427,2000
220,The Croods,Fox,187168425,2013
221,Sherlock Holmes: A Game of Shadows,WB,186848418,2011
222,The Day After Tomorrow,Fox,186740799,2004
223,The Polar Express,WB,186493472,2004
224,Mr. & Mrs. Smith,Fox,186336279,2005
225,Snow White and the Seven Dwarfs,Dis.,184925486,1937
226,Pitch Perfect 2,Uni.,184296230,2015
227,Dances with Wolves,Orion,184208848,1990
228,Batman Forever,WB,184031112,1995
229,The Fugitive,WB,183875760,1993
230,The Revenant,Fox,183637894,2015
231,Ocean's Eleven,WB,183417150,2001
232,The Simpsons Movie,Fox,183135014,2007
233,What Women Want,Par.,182811707,2000
234,The Perfect Storm,WB,182618434,2000
235,Lincoln,BV,182207973,2012
236,Liar Liar,Uni.,181410615,1997
237,Jurassic Park III,Uni.,181171875,2001
238,Thor,Par.,181030624,2011
239,Mission: Impossible,Par.,180981856,1996
240,Ant-Man,BV,180202163,2015
241,Planet of the Apes (2001),Fox,180011740,2001
242,Madagascar: Escape 2 Africa,P/DW,180010950,2008
243,X-Men Origins: Wolverine,Fox,179883157,2009
244,Indiana Jones and the Temple of Doom,Par.,179870271,1984
245,Top Gun,Par.,179800601,1986
246,Hitch,Sony,179495555,2005
247,MIB 3,Sony,179020854,2012
248,Pretty Woman,BV,178406268,1990
249,Home (2015),Fox,177397510,2015
250,Night at the Museum: Battle of the Smithsonian,Fox,177243721,2009
251,Tootsie,Col.,177200000,1982
252,How to Train Your Dragon 2,Fox,177002924,2014
253,Rise of the Planet of the Apes,Fox,176760185,2011
254,Captain America: The First Avenger,Par.,176654505,2011
255,The Karate Kid,Sony,176591618,2010
256,There's Something About Mary,Fox,176484651,1998
257,Ice Age,Fox,176387405,2002
258,The Bourne Supremacy,Uni.,176241941,2004
259,Get Out,Uni.,176040665,2017
260,The LEGO Batman Movie,WB,175750384,2017
261,The Boss Baby,Fox,175003033,2017
262,Crocodile Dundee,Par.,174803506,1986
263,The Greatest Showman,Fox,174340174,2017
264,Apollo 13,Uni.,173837933,1995
265,Home Alone 2: Lost in New York,Fox,173585516,1992
266,Elf,NL,173398518,2003
267,National Treasure,BV,173008894,2004
268,Air Force One,Sony,172956409,1997
269,Rain Man,MGM,172825435,1988
270,Pirates of the Caribbean: Dead Men Tell No Tales,BV,172558876,2017
271,Tron Legacy,BV,172062763,2010
272,The Matrix,WB,171479930,1999
273,True Grit,Par.,171243005,2010
274,Tarzan,BV,171091819,1999
275,A Beautiful Mind,Uni.,170742341,2001
276,Chicago,Mira.,170687518,2002
277,The Help,BV,169708112,2011
278,Hotel Transylvania 2,Sony,169700110,2015
279,Hidden Figures,Fox,169607287,2016
280,Bridesmaids,Uni.,169106725,2011
281,Quantum of Solace,Sony,168368427,2008
282,Wild Hogs,BV,168273550,2007
283,Kong: Skull Island,WB,168052812,2017
284,Three Men and a Baby,BV,167780960,1987
285,Gone Girl,Fox,167767189,2014
286,Casino Royale,Sony,167445960,2006
287,Meet the Parents,Uni.,166244045,2000
288,Fifty Shades of Grey,Uni.,166167230,2015
289,2012,Sony,166112167,2009
290,Robin Hood: Prince of Thieves,WB,165493908,1991
291,Kung Fu Panda 2,P/DW,165249063,2011
292,Hannibal,MGM,165092268,2001
293,Catch Me If You Can,DW,164615351,2002
294,The Proposal,BV,163958031,2009
295,The Pursuit of Happyness,Sony,163566459,2006
296,Big Daddy,Sony,163479795,1999
297,Clash of the Titans (2010),WB,163214888,2010
298,The SpongeBob Movie: Sponge Out of Water,Par.,162994032,2015
299,Batman Returns,WB,162831698,1992
300,Django Unchained,Wein.,162805434,2012
301,A Bug's Life,BV,162798565,1998
302,Jason Bourne,Uni.,162434410,2016
303,Grown Ups,Sony,162001186,2010
304,The Waterboy,BV,161491646,1998
305,Ice Age: Continental Drift,Fox,161321843,2012
306,Straight Outta Compton,Uni.,161197785,2015
307,Die Another Day,MGM,160942139,2002
308,Shark Tale,DW,160861908,2004
309,The Heat,Fox,159582188,2013
310,Star Trek Beyond,Par.,158848340,2016
311,The Sound of Music,Fox,158671368,1965
312,Hotel Transylvania 3: Summer Vacation,Sony,158617389,2018
313,The Firm,Par.,158348367,1993
314,The Longest Yard,Par.,158119460,2005
315,X-Men,Fox,157299717,2000
316,Scary Movie,Mira.,157019771,2000
317,Fatal Attraction,Par.,156645693,1987
318,Who Framed Roger Rabbit,BV,156452370,1988
319,The Sting,Uni.,156000000,1973
320,What Lies Beneath,DW,155464351,2000
321,X-Men: Apocalypse,Fox,155442489,2016
322,The Mummy,Uni.,155385488,1999
323,Snow White and the Huntsman,Uni.,155332381,2012
324,San Andreas,WB (NL),155190832,2015
325,Fast and Furious,Uni.,155064265,2009
326,Over the Hedge,P/DW,155019340,2006
327,Fantastic Four (2005),Fox,154696080,2005
328,Dr. Seuss' Horton Hears a Who!,Fox,154529439,2008
329,Mad Max: Fury Road,WB,154058340,2015
330,Jerry Maguire,Sony,153952592,1996
331,Trolls,Fox,153707064,2016
332,Beverly Hills Cop II,Par.,153665036,1987
333,Scooby-Doo,WB,153294164,2002
334,Gremlins,WB,153083102,1984
335,Cars 3,BV,152901115,2017
336,Sex and the City,WB (NL),152647258,2008
337,Runaway Bride,Par.,152257509,1999
338,La La Land,LG/S,151101803,2016
339,Divergent,LG/S,150947895,2014
340,Rambo: First Blood Part II,TriS,150415432,1985
341,We're the Millers,WB (NL),150394119,2013
342,Terminator 3: Rise of the Machines,WB,150371112,2003
343,Daddy's Home,Par.,150357137,2015
344,G.I. Joe: The Rise of Cobra,Par.,150201498,2009
345,Neighbors,Uni.,150157400,2014
346,American Hustle,Sony,150117807,2013
347,Puss in Boots,P/DW,149260504,2011
348,Les Miserables (2012),Uni.,148809770,2012
349,Knocked Up,Uni.,148768917,2007
350,As Good as It Gets,Sony,148478011,1997
351,Little Fockers,Uni.,148438600,2010
352,Megamind,P/DW,148415853,2010
353,Hotel Transylvania,Sony,148313048,2012
354,Talladega Nights: The Ballad of Ricky Bobby,Sony,148213377,2006
355,Gran Torino,WB,148095302,2008
356,Lethal Weapon 2,WB,147253986,1989
357,War for the Planet of the Apes,Fox,146880162,2017
358,X-Men: First Class,Fox,146408305,2011
359,Paul Blart: Mall Cop,Sony,146336178,2009
360,True Lies,Fox,146282411,1994
361,Lilo & Stitch,BV,145794338,2002
362,American Pie 2,Uni.,145103595,2001
363,Taken,Fox,145000989,2009
364,101 Dalmatians,Dis.,144880014,1961
365,The Great Gatsby (2013),WB,144840419,2013
366,The Santa Clause,BV,144833357,1994
367,"I, Robot",Fox,144801023,2004
368,Lethal Weapon 3,WB,144731527,1992
369,The Fast and the Furious,Uni.,144533925,2001
370,Doctor Dolittle,Fox,144156605,1998
371,Mamma Mia!,Uni.,144130063,2008
372,Rio,Fox,143619809,2011
373,Kung Fu Panda 3,Fox,143528619,2016
374,Juno,FoxS,143495265,2007
375,Marley and Me,Fox,143153751,2008
376,The Smurfs,Sony,142614158,2011
377,XXX,SonR,142109382,2002
378,The Jungle Book,Dis.,141843612,1967
379,The Chronicles of Narnia: Prince Caspian,BV,141621490,2008
380,National Lampoon's Animal House,Uni.,141600000,1978
381,Pocahontas,BV,141579773,1995
382,A Few Good Men,Col.,141340178,1992
383,Slumdog Millionaire,FoxS,141319928,2008
384,Rush Hour,NL,141186864,1998
385,The Blair Witch Project,Art.,140539099,1999
386,Deep Impact,Par.,140464664,1998
387,Rush Hour 3,NL,140125968,2007
388,Look Who's Talking,TriS,140088813,1989
389,Stuart Little,Sony,140035367,1999
390,Taken 2,Fox,139854287,2012
391,Sister Act,BV,139605150,1992
392,The Matrix Revolutions,WB,139313948,2003
393,The Santa Clause 2,BV,139236327,2002
394,Ocean's 8,WB,138876427,2018
395,The King's Speech,Wein.,138797449,2010
396,Cheaper by the Dozen,Fox,138614544,2003
397,Bad Boys II,Sony,138608444,2003
398,Platoon,Orion,138530565,1986
399,21 Jump Street,Sony,138447667,2012
400,Good Will Hunting,Mira.,138433435,1997
401,Split,Uni.,138291365,2017
402,A Christmas Carol (2009),BV,137855863,2009
403,Dinosaur,BV,137748063,2000
404,The Conjuring,WB (NL),137400141,2013
405,Click,SonR,137355633,2006
406,Ready Player One,WB,137018455,2018
407,The Green Mile,WB,136801374,1999
408,Ransom,BV,136492681,1996
409,Godzilla,Sony,136314294,1998
410,101 Dalmatians (1996),BV,136189294,1996
411,Argo,WB,136025503,2012
412,Anger Management,SonR,135645823,2003
413,Chicken Little,BV,135386665,2005
414,Teenage Mutant Ninja Turtles,NL,135265915,1990
415,Close Encounters of the Third Kind,Col.,135189114,1977
416,Patch Adams,Uni.,135026902,1998
417,The Godfather,Par.,134966411,1972
418,Ride Along,Uni.,134938200,2014
419,The Incredible Hulk,Uni.,134806913,2008
420,Live Free or Die Hard,Fox,134529403,2007
421,Wanted,Uni.,134508551,2008
422,Identity Thief,Uni.,134506920,2013
423,Superman,WB,134218018,1978
424,The Rock,BV,134069511,1996
425,Mission: Impossible III,Par.,134029801,2006
426,Grown Ups 2,Sony,133668525,2013
427,Troy,WB,133378256,2004
428,Angels & Demons,Sony,133375846,2009
429,Alvin and the Chipmunks: Chipwrecked,Fox,133110742,2011
430,Bringing Down the House,BV,132716677,2003
431,The Wolverine,Fox,132556852,2013
432,Wonder,LGF,132422809,2017
433,The Departed,WB,132384315,2006
434,Hulk,Uni.,132177234,2003
435,Silver Linings Playbook,Wein.,132092958,2012
436,Minority Report,Fox,132072926,2002
437,Fantastic Four: Rise of the Silver Surfer,Fox,131921738,2007
438,The Last Airbender,Par.,131772187,2010
439,Rio 2,Fox,131538435,2014
440,Lara Croft: Tomb Raider,Par.,131168070,2001
441,The Silence of the Lambs,Orion,130742922,1991
442,"Honey, I Shrunk the Kids",BV,130724172,1989
443,The Flintstones,Uni.,130531208,1994
444,Lethal Weapon 4,WB,130444603,1998
445,Get Smart,WB,130319208,2008
446,The Divergent Series: Insurgent,LG/S,130179072,2015
447,The Peanuts Movie,Fox,130178411,2015
448,Transformers: The Last Knight,Par.,130168683,2017
449,American Gangster,Uni.,130164645,2007
450,American Beauty,DW,130096601,1999
451,An Officer and a Gentleman,Par.,129795554,1982
452,The Ring,DW,129128133,2002
453,The Nutty Professor (1996),Uni.,128814019,1996
454,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Fox,128505958,2006
455,Ghostbusters (2016),Sony,128350574,2016
456,Kingsman: The Secret Service,Fox,128261724,2015
457,Robots,Fox,128200012,2005
458,Coming to America,Par.,128152301,1988
459,"Crouching Tiger, Hidden Dragon",SPC,128078872,2000
460,Shutter Island,Par.,128012934,2010
461,Into the Woods,BV,128002372,2014
462,Rocky IV,UA,127873716,1985
463,Enchanted,BV,127807262,2007
464,The Curious Case of Benjamin Button,Par.,127509326,2008
465,Central Intelligence,WB (NL),127440871,2016
466,Anchorman 2: The Legend Continues,Par.,127352707,2013
467,Sweet Home Alabama,BV,127223418,2002
468,Dumb and Dumber,NL,127175374,1994
469,2 Fast 2 Furious,Uni.,127154901,2003
470,My Best Friend's Wedding,Sony,127120029,1997
471,Super 8,Par.,127004179,2011
472,The World Is Not Enough,MGM,126943684,1999
473,Smokey and the Bandit,Uni.,126737428,1977
474,Sleepless in Seattle,TriS,126680884,1993
475,Lucy,Uni.,126663600,2014
476,The Legend of Tarzan,WB,126643061,2016
477,Bee Movie,P/DW,126631277,2007
478,Prometheus,Fox,126477084,2012
479,Safe House,Uni.,126373434,2012
480,Mr. Deeds,Sony,126293452,2002
481,The Truman Show,Par.,125618201,1998
482,Erin Brockovich,Uni.,125595205,2000
483,Ocean's Twelve,WB,125544280,2004
484,Terminator Salvation,WB,125322469,2009
485,Charlie's Angels,Sony,125305545,2000
486,Tomorrow Never Dies,MGM,125304276,1997
487,Lone Survivor,Uni.,125095601,2013
488,Sully,WB,125070033,2016
489,Rocky III,UA,125049125,1982
490,The Vow,SGem,125014030,2012
491,Life of Pi,Fox,124987023,2012
492,The Fault in our Stars,Fox,124872350,2014
493,Cloudy with a Chance of Meatballs,Sony,124870275,2009
494,The Devil Wears Prada,Fox,124740460,2006
495,Something's Gotta Give,Sony,124728738,2003
496,Traffic,USA,124115725,2000
497,The Birdcage,MGM,124060553,1996
498,City Slickers,Col.,124033791,1991
499,"Good Morning, Vietnam ",BV,123922370,1987
500,Rango,Par.,123477607,2011
501,The Nutty Professor II: The Klumps,Uni.,123309890,2000
502,The Good Dinosaur,BV,123087120,2015
503,G.I. Joe: Retaliation,Par.,122523060,2013
504,Clear and Present Danger,Par.,122187717,1994
505,The Hunt for Red October,Par.,122012643,1990
506,The Bodyguard,WB,122006740,1992
507,Wayne's World,Par.,121697323,1992
508,The Bourne Identity,Uni.,121661683,2002
509,Superbad,Sony,121463226,2007
510,Speed,Fox,121248145,1994
511,50 First Dates,Sony,120908074,2004
512,Mulan,BV,120620254,1998
513,Inglourious Basterds,Wein.,120540719,2009
514,Seabiscuit,Uni.,120277854,2003
515,Van Helsing,Uni.,120177084,2004
516,Four Christmases,WB (NL),120146040,2008
517,I Now Pronounce You Chuck and Larry,Uni.,120059556,2007
518,The Mask,NL,119938730,1994
519,Cloudy with a Chance of Meatballs 2,Sony,119793567,2013
520,Hook,TriS,119654823,1991
521,Blazing Saddles,WB,119601481,1974
522,Walk the Line,Fox,119519402,2005
523,G-Force,BV,119436770,2009
524,Total Recall,Sony,119412921,1990
525,On Golden Pond,Uni.,119285432,1981
526,The Other Guys,Sony,119219978,2010
527,Fahrenheit 9/11,Lions,119194771,2004
528,The Sum of All Fears,Par.,118907036,2002
529,Hairspray (2007),NL,118871849,2007
530,The Break-Up,Uni.,118703275,2006
531,Lemony Snicket's A Series of Unfortunate Events,Par.,118634549,2004
532,Blades of Glory,P/DW,118594548,2007
533,Back to the Future Part II,Uni.,118450002,1989
534,Salt,Sony,118311368,2010
535,Basic Instinct,TriS,117727224,1992
536,Now You See Me,LG/S,117723989,2013
537,Big Momma's House,Fox,117559438,2000
538,Die Hard 2: Die Harder,Fox,117540947,1990
539,Horrible Bosses,WB (NL),117538559,2011
540,Rocky,UA,117235147,1976
541,Jackass 3-D,Par.,117229692,2010
542,Ocean's Thirteen,WB,117154724,2007
543,S.W.A.T.,Sony,116934650,2003
544,The Wolf of Wall Street,Par.,116900694,2013
545,8 Mile,Uni.,116750901,2002
546,Double Jeopardy,Par.,116741558,1999
547,Lee Daniels' The Butler,Wein.,116632095,2013
548,Green Lantern,WB,116601172,2011
549,Notting Hill,Uni.,116089678,1999
550,The Towering Inferno,Fox,116000000,1974
551,You've Got Mail,WB,115821495,1998
552,Ghost Rider,Sony,115802596,2007
553,Remember the Titans,BV,115654751,2000
554,District 9,TriS,115646235,2009
555,Unbroken,Uni.,115637895,2014
556,Mamma Mia! Here We Go Again,Uni.,115267110,2018
557,Peter Rabbit,Sony,115253424,2018
558,Girls Trip,Uni.,115171585,2017
559,The Karate Kid Part II,Col.,115103979,1986
560,American Graffiti,Uni.,115000000,1973
561,Big,Fox,114968774,1988
562,Fifty Shades Darker,Uni.,114581250,2017
563,DodgeBall: A True Underdog Story,Fox,114326736,2004
564,The Village,BV,114197520,2004
565,Bolt,BV,114053579,2008
566,Wild Wild West,WB,113804681,1999
567,Night at the Museum: Secret of the Tomb,Fox,113746621,2014
568,Magic Mike,WB,113721571,2012
569,The Addams Family,Par.,113502426,1991
570,The Patriot,Sony,113330342,2000
571,Bad Moms,STX,113257297,2016
572,The Bourne Legacy,Uni.,113203870,2012
573,The Pacifier,BV,113086868,2005
574,Dr. Dolittle 2,Fox,112952899,2001
575,The Rocky Horror Picture Show,Fox,112892319,1975
576,It's Complicated,Uni.,112735375,2009
577,Spy Kids,Mira.,112719001,2001
578,Ghostbusters II,Col.,112494738,1989
579,Face/Off,Par.,112276146,1997
580,The Hangover Part III,WB,112200072,2013
581,Twins,Uni.,111938388,1988
582,Spy Kids 3D: Game Over,Dim.,111761982,2003
583,Doctor Zhivago,MGM,111721910,1965
584,Enemy of the State,BV,111549836,1998
585,The Little Mermaid,BV,111543479,1989
586,Mr. Peabody & Sherman,Fox,111506430,2014
587,Porky's,Fox,111289673,1982
588,The Last Samurai,WB,111127263,2003
589,Spy,Fox,110825712,2015
590,Tropic Thunder,P/DW,110515313,2008
591,Valentine's Day,WB (NL),110485654,2010
592,The Grudge,Sony,110359362,2004
593,Fun with Dick and Jane,Sony,110332737,2005
594,Freaky Friday,BV,110230332,2003
595,Trainwreck,Uni.,110212700,2015
596,Bedtime Stories,BV,110101975,2008
597,Scary Movie 3,Dim.,110003217,2003
598,Creed,WB (NL),109767581,2015
599,Star Trek IV: The Voyage Home,Par.,109713132,1986
600,The 40-Year-Old Virgin,Uni.,109449237,2005
601,Crocodile Dundee II,Par.,109306210,1988
602,Couples Retreat,Uni.,109204945,2009
603,One Flew Over the Cuckoo's Nest,UA,108981275,1975
604,A Time to Kill,WB,108766007,1996
605,Black Hawk Down,SonR,108638745,2001
606,Terms of Endearment,Par.,108423489,1983
607,Ace Ventura: When Nature Calls,WB,108385533,1995
608,The Princess Diaries,BV,108248956,2001
609,Superman II,WB,108185706,1981
610,Hop,Uni.,108085305,2011
611,Pulp Fiction,Mira.,107928762,1994
612,Paranormal Activity,Par.,107918810,2009
613,Baby Driver,TriS,107825862,2017
614,A League of Their Own,Sony,107533928,1992
615,Epic,Fox,107518682,2013
616,Watchmen,WB,107509799,2009
617,The Angry Birds Movie,Sony,107509366,2016
618,Batman and Robin,WB,107325195,1997
619,Captain Phillips,Sony,107100855,2013
620,Black Swan,FoxS,106954678,2010
621,Analyze This,WB,106885658,1999
