title_id,title,complete_title,release_year,rating,rater,casts,casts_slug,genres,tags,screenwriter,director,poster,synopsis,country,type,episodes,aired,aired_on,original_network,duration,score,ranked,popularity,content_rating,watchers
705857-umbrella,Under the Queen's Umbrella,Under the Queen's Umbrella (2022),2022,9.0,14332,Kim Hye Soo|Kim Hae Sook|Choi Won Young|Kim Eui Sung|Moon Sang Min|Ok Ja Yeon,/people/1176-kim-hye-soo|/people/3568-kim-hae-sook|/people/1209-choi-won-young|/people/4625-kim-eui-sung|/people/36335-mun-sang-min|/people/17135-ok-ja-yeon,Historical|Comedy|Drama|Political,Motherhood|Mother-Son Relationship|Palace Setting|Royalty|Black Comedy|Queen Female Lead|Joseon Dynasty|Royal Family|Historical Fiction|Prince Supporting Character (Vote or add tags),Park Ba Ra,Kim Hyung Shik,https://i.mydramalist.com/xZNgy_4c.jpg,"Within the palace exist troublemaking princes who cause nothing but headaches for the royal family and are about to be turned into proper crown princes. Their mother, Im Hwa Ryeong,  is the wife of a great king. But instead of having an aura of elegance and grace, she is a prickly, sensitive, and hot-tempered queen. Once more serene, she changed since people kept pushing her buttons.  She is a queen who sometimes abandons her pride and is even known to swear!  Every day of her life is full of trials, but she withstands them all, for the sake of her children.(Source: Soompi)",South Korea,Drama,16,"Oct 15, 2022 - Dec  4, 2022","Saturday, Sunday",Netflix tvN,1 hr. 10 min.,"9.0 (scored by 14,332 users)",56,412,15+ - Teens 15 or older,32246
35729-emergency-lands-of-love,Crash Landing on You,Crash Landing on You (2019),2019,9.0,105741,Hyun Bin|Son Ye Jin|Seo Ji Hye|Kim Jung Hyun|Yang Kyung Won|Lee Shin Young,/people/183-hyun-bin|/people/293-son-ye-jin|/people/534-seo-ji-hye|/people/11840-kim-jung-hyun|/people/27069-yang-kyung-won|/people/21356-lee-shin-yeong,Military|Comedy|Romance|Political,North And South Korea|Soldier Male Lead|Army|Strong Male Lead|Rich Female Lead|Soldier Supporting Character|Intercountry Romance|Fate|Nice Male Lead|Army Captain Male Lead (Vote or add tags),Park Ji Eun,Lee Jeong Hyo,https://i.mydramalist.com/XrN2dc.jpg,"After getting into a paragliding accident, South Korean heiress Yoon Se Ri crash lands in North Korea. There, she meets North Korean army officer Ri Jung Hyuk, who agrees to help her return to South Korea. Despite the tension between their countries, the two of them start falling for one another.(Source: queen of repressed rage at MyDramaList)",South Korea,Drama,16,"Dec 14, 2019 - Feb 16, 2020","Sunday, Saturday",Netflix tvN,1 hr. 25 min.,"9.0 (scored by 105,741 users)",62,7,15+ - Teens 15 or older,182072
745581-the-glory-season-2,The Glory Part 2,The Glory Part 2 (2023),2023,9.0,44986,Song Hye Kyo|Lee Do Hyun|Im Ji Yeon|Yeom Hye Ran|Park Sung Hoon|Jung Sung Il,/people/294-song-hye-kyo|/people/17489-lee-do-hyun|/people/7310-im-ji-yeon|/people/5860-yum-hye-ran|/people/5255-park-sung-hoon|/people/9411-jung-sung-il,Thriller|Drama|Melodrama,Revenge|Graphic Violence|Brief Nudity|Domestic Violence|Suspense|Trauma|Family Abuse|Perpetrator-Victim Relationship|Strong Female Lead|Nudity (Vote or add tags),Kim Eun Sook,Ahn Gil Ho,https://i.mydramalist.com/vXjLPq_4c.jpg,"Moon Dong Eun's silent fury against those students that horrifically abused her during her high school years continues to burn inside of her. She meticulously executes her plan to inflict ultimate pain on her tormentors. Meanwhile, the sudden disappearance of Son Myeong Oh has gotten the attention of the police and his friends. Joo Yeo Jeong follows Moon Dong Eun and is willing to do anything she asks in her pursuit of revenge. Before Moon Dong Eun begins her final moves, she offers her nemesis Park Yeon Jin a chance to save herself if she turns in to the police, but Park Yeon Jin has her own plans to stop Moon Dong Eun. A violent and bloody game of nerves plays out between these rivals.(Source: AsianWiki)",South Korea,Drama,8,"Mar 10, 2023",Friday,Netflix,55 min.,"9.0 (scored by 44,986 users)",63,124,18+ Restricted (violence & profanity),65656
21308-mother,Mother,Mother (2018),2018,9.0,9321,Lee Bo Young|Heo Yool|Lee Hye Young|Go Sung Hee|Lee Jae Yoon|Go Bo Gyeol,/people/1435-lee-bo-young|/people/16620-heo-yool|/people/1550-lee-hye-young|/people/5293-go-sung-hee|/people/923-lee-jae-yoon|/people/8430-go-bo-gyeol,Thriller|Mystery|Psychological|Melodrama,Mother-Daughter Relationship|Independent Female Lead|Smart Female Lead|Child Abuse|Adoption|Strong Female Lead|Suspense|Orphan Female Lead|Motherhood|Investigation (Vote or add tags),Jung Seo Kyung,Kim Chul Gyu|Yoon Hyun Gi,https://i.mydramalist.com/dRPqdc.jpg,"Realizing one of her students is being abused, school teacher and bird researcher Soo Jin impulsively kidnaps the girl and acts as a substitute mother in an attempt to take care of her.(Source: MyDramaList)",South Korea,Drama,16,"Jan 24, 2018 - Mar 15, 2018","Wednesday, Thursday",tvN,1 hr. 3 min.,"9.0 (scored by 9,321 users)",70,381,15+ - Teens 15 or older,34170
58365-queen-cheorin,Mr. Queen,Mr. Queen (2020),2020,9.0,46921,Shin Hye Sun|Kim Jung Hyun|Bae Jong Ok|Kim Tae Woo|Jo Yun Hee|Seol In Ah,/people/7194-shin-hye-sun|/people/11840-kim-jung-hyun|/people/2016-bae-jong-ok|/people/4473-kim-tae-woo|/people/35765-jo-sun-joo|/people/14261-seol-in-ah,Historical|Comedy|Romance|Fantasy,Transmigration|Sassy Female Lead|Joseon Dynasty|Eccentric Female Lead|Calm Male Lead|Time Travel|Marriage Of Convenience|Smart Male Lead|Nice Male Lead|Gender Swap (Vote or add tags),Park Kye Ok|Choi Ah Il,Yoon Sung Shik,https://i.mydramalist.com/qPA42_4c.jpg,"Jang Bong Hwan is a South Korean chef who has risen up the ranks to cook for the country’s top politicians in the Blue House’s presidential residences. After a serious accident, he finds himself in the body of the young queen, Kim So Yong, when whisked away to an era deep in Korea’s past.While Queen Kim So Yong’s husband is the reigning monarch, King Cheol Jong, he is so in name only. The late King Sunjo’s Queen, Sun Won, has taken advantage of King Cheol Jong’s better nature, and is ruling the realm in his name. And she faces competition from her own brother, Kim Jwa Geun, who also has designs on power. Queen Kim So Yong will come to  discover that her husband harbours some secrets, and is not as gentle and meek as he seems…(Source: Viki, MyDramaList)~~ Adapted from the novel ""The Promotion Record of a Crown Princess"" (太子妃升职记) by Xian Cheng (鲜橙).",South Korea,Drama,20,"Dec 12, 2020 - Feb 14, 2021","Saturday, Sunday",tvN,1 hr. 15 min.,"9.0 (scored by 46,921 users)",67,69,15+ - Teens 15 or older,88818
22624-wise-prison-life,Prison Playbook,Prison Playbook (2017),2017,9.0,28979,Park Hae Soo|Jung Kyung Ho|Krystal Jung|Im Hwa Young|Ye Soo Jung|Kim Kyung Nam,/people/2810-park-hae-soo|/people/698-jung-kyung-ho|/people/1637-krystal|/people/5836-im-hwa-young|/people/3036-ye-soo-jung|/people/16105-kim-kyung-nam,Comedy|Crime|Life|Drama,Prison Setting|Life Lesson|Bromance|Wrongfully Accused|Strong Male Lead|Slight Romance|Character Development|Murder|Best Friends' Relationship|Black Comedy (Vote or add tags),Jung Bo Hoon,Shin Won Ho,https://i.mydramalist.com/xXK7yc.jpg,"Kim Je Hyuk, a famous baseball player, is arrested after using excessive force while chasing a man trying to sexually assault his sister. Shockingly to him and the rest of the nation, he is sentenced to a year in prison. There, he meets his childhood friend and fellow baseball player, Lee Joon Ho, who gave up on baseball after a car accident, but now is a prison guard and one of Je Hyuk's biggest fans. The drama revolves around Je Hyuk's time in prison, as well as the prisoners he meets and events that take place there.(Source: MyDramaList)",South Korea,Drama,16,"Nov 22, 2017 - Jan 18, 2018","Wednesday, Thursday",Netflix tvN,1 hr. 32 min.,"9.0 (scored by 28,979 users)",69,96,15+ - Teens 15 or older,77739
711113-dr-romantic-3,Dr. Romantic Season 3,Dr. Romantic Season 3 (2023),2023,9.0,11099,Han Seok Kyu|Lee Sung Kyung|Ahn Hyo Seop|Kim Joo Heon|So Ju Yeon|Jin Kyung,/people/968-han-seok-kyu|/people/7660-lee-sung-kyung|/people/11001-ahn-hyo-sub|/people/20100-kim-joo-heon|/people/17308-so-joo-yeon|/people/3174-jin-kyung,Romance|Drama|Medical,Hospital Setting|Teamwork|Genius Male Lead|Surgeon Male Lead|Neurosurgeon Male Lead|Hospital Director Male Lead|Doctor Female Lead|Doctor Male Lead|Hardworking Male Lead|Hardworking Female Lead (Vote or add tags),Kang Eun Kyung,Yoo In Shik,https://i.mydramalist.com/d02LlA_4c.jpg,"At Doldam Hospital, Dr. Kim Sa Bu and his team are committed to saving lives. After three years, a state-of-the-art trauma centre is set to open, equipped with the latest in medical technology.Prior to the centre's official opening, however, a crisis unfolds on a North Korean ship that's drifted into South Korean waters. Doctors from Doldam Hospital fly out to help the critically injured aboard the ship. However, the patients need to be transported to the hospital. To complicate matters, the South Korean government wants the North Korean patients returned to their country as part of diplomatic efforts with their neighbouring country.Amidst the chaos, Cha Jin Man—the father of Cha Eun Jae and a former rival of Dr. Kim Sa Bu—is brought on board to run the new trauma centre. (Source: AsianWiki; edited by MyDramaList)",South Korea,Drama,16,"Apr 28, 2023 - Jun 17, 2023","Friday, Saturday",Disney+ SBS,1 hr. 10 min.,"9.0 (scored by 11,099 users)",72,526,15+ - Teens 15 or older,26757
49865-psycho-but-it-s-okay,It's Okay to Not Be Okay,It's Okay to Not Be Okay (2020),2020,8.9,106754,Kim Soo Hyun|Seo Yea Ji|Oh Jung Se|Park Gyu Young|Jang Young Nam|Kim Chang Wan,/people/424-kim-soo-hyun|/people/6516-seo-ye-ji|/people/4684-oh-jung-se|/people/15836-park-kyu-young|/people/1316-jang-young-nam|/people/1905-kim-chang-wan,Psychological|Comedy|Romance|Drama,Independent Female Lead|Possessive Female Lead|Successful Female Lead|Healing|Melodrama|Selfless Male Lead|Badass Female Lead|Psychiatry|Childhood Connection|Trauma (Vote or add tags),Jo Yong,Park Shin Woo|Jung Dong Yoon,https://i.mydramalist.com/xw3xX_4c.jpg,"Moon Gang Tae is a community health worker at a psychiatric ward who was blessed with everything including a great body, smarts, ability to sympathize with others, patience, ability to react quickly, stamina, and more. Meanwhile, Ko Moon Young is a popular writer of children’s literature who, due to suffering from an antisocial personality disorder, seems extremely selfish, arrogant, and rude.Moon Gang Tae denies love and Ko Moon Young doesn’t know it. The two defy fate and fall in love, finding their souls and identities in the process. (Source: Soompi & Koreandrama.org)",South Korea,Drama,16,"Jun 20, 2020 - Aug  9, 2020","Saturday, Sunday",Netflix tvN,1 hr. 15 min.,"8.9 (scored by 106,754 users)",83,6,15+ - Teens 15 or older,187979
705723-strange-lawyer-woo-young-woo,Extraordinary Attorney Woo,Extraordinary Attorney Woo (2022),2022,8.9,66039,Park Eun Bin|Kang Tae Oh|Kang Ki Young|Jeon Bae Soo|Baek Ji Won|Jin Kyung,/people/1897-park-eun-bin|/people/6776-kang-tae-oh|/people/9081-kang-ki-young|/people/6294-jun-bae-soo|/people/6308-baek-ji-won|/people/3174-jin-kyung,Law|Romance|Life|Drama,Autistic Female Lead|Autism|Attorney Female Lead|Smart Female Lead|Workplace Setting|Nice Male Lead|Father-Daughter Relationship|Courtroom Setting|Single Mother/Father Supporting Character|Slow Burn Romance (Vote or add tags),Moon Ji Won,Yoo In Shik,https://i.mydramalist.com/dgJJz_4c.jpg,"Diagnosed with autism spectrum disorder, 27-year-old Woo Young Woo graduated at the top of her class from the prestigious Seoul National University for both college and law school due to her high IQ of 164, impressive memory, and creative thought process. Working as a lawyer, she finds herself struggling when it comes to social interactions.(Source: Soompi; Edited by MyDramaList)",South Korea,Drama,16,"Jun 29, 2022 - Aug 18, 2022","Wednesday, Thursday",ENA Netflix,1 hr. 17 min.,"8.9 (scored by 66,039 users)",89,35,15+ - Teens 15 or older,108784
733261-alchemy-of-souls-part-2,Alchemy of Souls Season 2: Light and Shadow,Alchemy of Souls Season 2: Light and Shadow (2022),2022,8.9,38517,Lee Jae Wook|Go Youn Jung|Hwang Min Hyun|Shin Seung Ho|Yoo  Joon Sang|Oh Na Ra,/people/22279-lee-jae-wook|/people/22074-go-yoon-jung|/people/9607-hwang-min-hyun|/people/19705-shin-seung-ho|/people/2422-yoo-joon-sang|/people/2915-oh-na-ra,Action|Historical|Romance|Fantasy,Strong Male Lead|Marriage Of Convenience|Fantasy World|Smart Male Lead|Birth Secret|Nice Male Lead|Transmigration|Supernatural|Antihero Male Lead|Sword-fight (Vote or add tags),Hong Jung Eun|Hong Mi Ran,Park Joon Hwa|Bae Hyun Jin,https://i.mydramalist.com/X06Rd_4c.jpg,"Jang Uk returns from death, and three years later, the story of the mages unfolds anew. Jang Uk becomes a hunter of the soul-shifters when a young woman, a prisoner in her own home, seeks his help to reclaim her freedom.(Source: Netflix)",South Korea,Drama,10,"Dec 10, 2022 - Jan  8, 2023","Saturday, Sunday",Netflix tvN,1 hr. 21 min.,"8.9 (scored by 38,517 users)",86,151,15+ - Teens 15 or older,60206
685237-untitled-kim-eun-sook-project,The Glory,The Glory (2022),2022,8.9,58547,Song Hye Kyo|Lee Do Hyun|Im Ji Yeon|Yeom Hye Ran|Park Sung Hoon|Jung Sung Il,/people/294-song-hye-kyo|/people/17489-lee-do-hyun|/people/7310-im-ji-yeon|/people/5860-yum-hye-ran|/people/5255-park-sung-hoon|/people/9411-jung-sung-il,Thriller|Drama|Melodrama,Revenge|School Bullying|School Violence|Social Issues|Sexual Content|Doctor Male Lead|Strong Female Lead|Time Skip|Antiheroine Female Lead|Nonlinear Narrative (Vote or add tags),Kim Eun Sook,Ahn Gil Ho,https://i.mydramalist.com/4v6zJ_4c.jpg,"A high school student dreams of becoming an architect. However, she had to drop out of school after suffering from brutal school violence. Years later, the perpetrator gets married and has a kid. Once the kid is in elementary school, the former victim becomes her homeroom teacher and starts her thorough revenge towards the perpetrators and bystanders of her bullying days.(Source: Soompi)",South Korea,Drama,8,"Dec 30, 2022",Friday,Netflix,50 min.,"8.9 (scored by 58,547 users)",93,64,18+ Restricted (violence & profanity),90071
