age,menu,sex,size,menu_c,size_c
32,espresso,M,S,espresso,S
30,espresso,F,L,espresso,L
31,water,M,S,water,S
31,tea,F,S,tea,S
41,tea,F,XL,tea,XL
34,mocha,M,XL,mocha,XL
41,water,F,M,water,M
36,water,F,XL,water,XL
37,water,F,S,water,S
34,espresso,F,S,espresso,S
28,tea,F,L,tea,L
36,water,M,S,water,S
39,espresso,F,XL,espresso,XL
32,water,F,L,water,L
28,water,M,L,water,L
36,mocha,F,L,mocha,L
32,espresso,F,S,espresso,S
35,tea,F,L,tea,L
34,water,F,XL,water,XL
28,latte,F,S,latte,S
31,mocha,M,L,mocha,L
36,tea,F,L,tea,L
34,espresso,F,M,espresso,M
41,water,M,S,water,S
34,water,M,L,water,L
30,water,F,L,water,L
36,mocha,F,L,mocha,L
40,water,F,XL,water,XL
31,water,M,L,water,L
35,mocha,M,L,mocha,L
33,water,F,S,water,S
36,water,M,S,water,S
34,espresso,F,S,espresso,S
29,latte,M,L,latte,L
35,water,F,S,water,S
33,tea,F,XL,tea,XL
34,espresso,F,M,espresso,M
37,water,F,M,water,M
35,espresso,F,M,espresso,M
29,water,F,XL,water,XL
33,water,F,M,water,M
39,water,M,L,water,L
33,water,F,XL,water,XL
33,espresso,F,L,espresso,L
39,espresso,M,XL,espresso,XL
32,water,F,XL,water,XL
41,water,F,L,water,L
44,latte,M,S,latte,S
32,espresso,F,M,espresso,M
37,mocha,M,M,mocha,M
40,espresso,F,M,espresso,M
38,tea,M,S,tea,S
36,tea,M,S,tea,S
37,espresso,M,L,espresso,L
32,espresso,M,S,espresso,S
37,espresso,F,L,espresso,L
35,water,M,S,water,S
32,tea,F,L,tea,L
35,mocha,M,XL,mocha,XL
39,latte,M,M,latte,M
36,tea,F,XL,tea,XL
33,water,F,XL,water,XL
39,tea,F,S,tea,S
36,mocha,F,XL,mocha,XL
33,water,F,L,water,L
30,tea,F,XL,tea,XL
31,water,F,XL,water,XL
34,latte,F,S,latte,S
31,tea,F,L,tea,L
31,latte,F,L,latte,L
32,water,F,M,water,M
33,espresso,M,L,espresso,L
37,water,M,XL,water,XL
37,mocha,F,XL,mocha,XL
32,water,F,S,water,S
34,water,F,L,water,L
34,tea,F,L,tea,L
40,espresso,M,M,espresso,M
30,latte,F,L,latte,L
36,tea,F,L,tea,L
33,water,M,XL,water,XL
31,latte,F,S,latte,S
39,espresso,F,XL,espresso,XL
42,water,M,M,water,M
32,water,F,S,water,S
39,tea,F,S,tea,S
42,mocha,F,M,mocha,M
33,mocha,M,M,mocha,M
31,water,M,XL,water,XL
31,mocha,F,XL,mocha,XL
31,water,F,S,water,S
43,tea,M,S,tea,S
34,water,F,XL,water,XL
38,water,M,S,water,S
39,tea,M,XL,tea,XL
35,tea,F,S,tea,S
33,tea,M,M,tea,M
35,water,M,L,water,L
36,tea,F,L,tea,L
40,tea,F,S,tea,S
37,tea,F,L,tea,L
40,tea,M,S,tea,S
35,latte,F,M,latte,M
