id,title,pricePerServing,weightPerServing,vegetarian,vegan,glutenFree,dairyFree,sustainable,veryHealthy,veryPopular,gaps,lowFodmap,ketogenic,whole30,readyInMinutes,spoonacularSourceUrl,image,aggregateLikes,spoonacularScore,healthScore,percentProtein,percentFat,percentCarbs,dishTypes,ingredients,cuisines,calories,Fat/g,Saturated Fat/g,Carbohydrates/g,Sugar/g,Cholesterol/mg,Sodium/mg,Protein/g,Vitamin B3/mg,Selenium/µg,Phosphorus/mg,Iron/mg,Vitamin B2/mg,Calcium/mg,Vitamin B1/mg,Folate/µg,Potassium/mg,Copper/mg,Zinc/mg,Manganese/mg,Magnesium/mg,Vitamin B12/µg,Vitamin B5/mg,Vitamin B6/mg,Vitamin E/mg,Fiber/g,Vitamin A/IU,Vitamin D/µg,Vitamin K/µg,Vitamin C/mg,Alcohol/g,Caffeine/g
12,Roasted Peppers with Boquerones,0.5844,88,False,False,True,True,False,False,False,no,True,False,False,4500,https://spoonacular.com/roasted-peppers-with-boquerones-12,https://spoonacular.com/recipeImages/12-556x370.jpg,0,81.0,48.0,20.59,12.53,66.88,side dish,"boquerones,red bell peppers,sherry vinegar,sugar",,32.19,0.44,0.07,5.28,3.78,2.4,7.54,1.63,1.36,1.54,28.38,0.49,0.08,11.7,0.05,38.08,188.83,0.02,0.27,0.1,11.53,0.0,0.29,0.24,1.32,1.72,2569.42,0.0,4.02,104.72,0.0,0.0
13,"Anchovies, Tomatoes And Green Beans Couscous",7.332999999999999,941,False,False,False,True,False,True,False,no,False,False,False,45,https://spoonacular.com/anchovies-tomatoes-and-green-beans-couscous-13,https://spoonacular.com/recipeImages/13-556x370.jpg,0,89.0,100.0,13.78,27.37,58.85,"lunch,main course,main dish,dinner","anchovies,anchovies in extra virgin olive oil,balsamic vinegar,basil,basil,bell pepper,cherry tomatoes,cherry tomatoes,couscous,couscous,extra virgin olive oil,extra-virgin olive oil,green beans,green beans,salad mix,salt,tomatoes,vegetarian bacon",,1093.72,33.47,4.96,161.94,21.5,26.22,1319.18,37.92,16.39,22.95,567.56,7.95,0.58,234.99,0.73,198.58,1987.86,0.96,3.44,2.3,190.94,0.31,3.42,1.06,9.18,17.86,6792.82,0.48,83.97,205.25,0.0,0.0
16,Sliced Baguette With Radishes And Anchovy Butter,2.0003,211,False,False,False,False,False,False,False,no,False,False,False,45,https://spoonacular.com/sliced-baguette-with-radishes-and-anchovy-butter-16,https://spoonacular.com/recipeImages/16-556x370.jpg,159,43.0,4.0,2.81,87.77,9.42,side dish,"anchovy,baguette,chives,coarse kosher salt,fresh chives,radishes,unsalted butter",,946.35,94.01,58.79,22.69,1.29,248.83,487.31,6.78,3.15,15.76,96.39,1.76,0.21,88.25,0.22,101.52,217.94,0.15,0.75,0.26,23.81,0.24,0.42,0.07,2.82,1.95,3147.88,1.7,23.86,9.99,0.0,0.0
17,Savory Slow Roasted Tomatoes with Filet of Anchovy,5.0855,507,False,False,True,True,False,True,False,GAPS_5,True,False,True,45,https://spoonacular.com/savory-slow-roasted-tomatoes-with-filet-of-anchovy-17,https://spoonacular.com/recipeImages/17-556x370.jpg,0,90.0,99.0,47.17,44.21,8.62,"lunch,main course,main dish,dinner","anchovy filets,extra virgin olive oil,fire-roasted tomatoes,herbs,Salt & Pepper,summer squash,sun-dried tomatoes,tomatoes,Top Sirloin,pomodori al forno con le acciughe,remove from oven",,479.22,23.3,5.17,10.23,6.89,142.94,353.64,55.94,18.43,75.51,568.24,5.03,0.37,101.42,0.28,69.37,1491.14,0.37,9.76,0.35,88.36,2.22,1.82,1.65,4.07,3.11,2124.67,0.0,34.97,34.46,0.0,0.0
18,Anchovy Vinaigrette,3.0948,244,False,False,True,True,False,False,False,no,True,False,False,45,https://spoonacular.com/anchovy-vinaigrette-18,https://spoonacular.com/recipeImages/18-556x370.jpg,221,62.0,9.0,5.55,67.1,27.35,,"bell pepper,club soda,cream-style corn,dijon mustard,extra virgin olive oil,food dye,food dye,oil-packed anchovies,red wine vinegar,wine,kids,kitchen & tabletop",,234.07,9.57,1.33,8.78,4.34,2.55,138.15,1.78,1.59,2.83,58.67,1.1,0.11,25.14,0.05,36.68,324.67,0.04,0.47,0.28,28.23,0.0,0.32,0.3,2.57,1.62,2335.42,0.0,9.45,95.22,15.39,0.0
19,No-knead Fennel & Anchovy Pizza,3.8489,808,False,False,False,False,False,False,False,no,False,False,False,26,https://spoonacular.com/no-knead-fennel-anchovy-pizza-19,https://spoonacular.com/recipeImages/19-556x370.jpg,0,78.0,50.0,12.97,24.18,62.85,"lunch,main course,main dish,dinner","anchovy,cornmeal,fennel,fennel bulb,flour,lemon zest,mozzarella cheese,olive oil,pepper,pizza dough","Mediterranean,Italian,Eastern European,European,Greek",673.11,19.12,4.84,111.8,8.33,16.53,1398.69,23.06,4.61,9.14,398.28,8.62,0.27,420.31,0.08,177.73,2707.41,0.45,1.94,1.38,117.37,0.45,1.56,0.32,1.41,22.35,997.19,0.0,7.7,78.08,0.0,0.0
20,"Pan-roasted East Coast Skate, Anchovy And Broccoli Pickle",1.9975999999999998,193,False,False,True,False,False,False,False,no,False,False,False,8,https://spoonacular.com/pan-roasted-east-coast-skate-anchovy-and-broccoli-pickle-20,https://spoonacular.com/recipeImages/20-556x370.jpg,0,15.0,2.0,1.8,93.88,4.32,side dish,"capers,extra virgin olive oil,garlic,green chilli,green olives,ice water,juice of lime,sea-salt,sherry vinegar,skate wings,tarragon,anchovies,unsalted butter",,487.36,52.31,10.09,5.41,0.9,18.23,1103.6,2.26,0.91,2.3,22.15,1.37,0.06,59.91,0.02,10.23,120.5,0.12,0.23,0.19,17.85,0.0,0.0,0.09,7.56,2.19,431.73,0.0,27.37,7.65,0.0,0.0
21,"Anchovies, Beans And Rocket",19.0752,2648,False,False,True,True,False,True,False,no,False,False,False,45,https://spoonacular.com/anchovies-beans-and-rocket-21,https://spoonacular.com/recipeImages/21-556x370.jpg,1,85.0,100.0,45.14,31.82,23.04,"lunch,main course,main dish,dinner","anchovies in extra virgin olive oil,borlotti beans,extra firm tofu,extra-virgin olive oil,parsley,pinenuts,pinto beans,rocket",,1737.43,61.63,9.49,100.41,24.96,2.91,1640.68,196.71,7.35,10.0,2700.71,33.72,1.0,926.33,2.31,434.37,4713.46,5.27,16.8,1.08,771.9,0.0,0.72,0.62,3.4,22.35,1525.12,0.0,132.78,13.63,0.0,0.0
22,Anchovy And Onion Tart,1.0759,286,False,False,False,True,False,False,False,no,False,False,False,45,https://spoonacular.com/anchovy-and-onion-tart-22,https://spoonacular.com/recipeImages/22-556x370.jpg,4,67.0,19.0,9.43,32.44,58.13,side dish,"active yeast,anchovy filets,bouquet garni,flour,olive oil,olives,onions,rosemary,salt,salt and pepper",,453.01,16.45,2.38,66.33,8.24,4.8,1491.51,10.76,5.54,25.23,145.08,3.99,0.43,76.69,0.71,179.83,393.53,0.2,1.01,0.7,38.62,0.0,0.72,0.29,2.42,5.61,64.67,0.0,11.56,14.17,0.0,0.0
23,"Cauliflower, Anchovies and Tomatoes",3.7032,497,False,False,False,True,False,True,False,no,False,False,False,45,https://spoonacular.com/cauliflower-anchovies-and-tomatoes-23,https://spoonacular.com/recipeImages/23-556x370.jpg,0,89.0,92.0,9.24,54.57,36.19,side dish,"anchovies,balsamic vinegar,bell pepper,capers,cauliflower,cherry tomatoes,chives,extra virgin olive oil,fish,parsley,red chilli pepper,salad mix,salt,tomatoes,vegetarian bacon",,242.49,15.35,2.15,22.91,14.56,2.92,314.57,5.85,3.7,2.95,142.0,2.84,0.18,64.54,0.29,106.37,1073.76,0.29,0.96,0.56,55.83,0.07,0.71,0.58,5.13,5.2,5490.57,0.0,100.23,183.66,0.0,0.0
25,Anchovy Fries with Smoked Paprika Aioli,2.6441000000000003,140,False,False,False,True,False,False,False,no,False,False,False,45,https://spoonacular.com/anchovy-fries-with-smoked-paprika-aioli-25,https://spoonacular.com/recipeImages/25-556x370.jpg,0,40.0,9.0,17.85,64.8,17.35,"lunch,main course,main dish,dinner","anchovies,eggs,flour,garlic clove,hungarian paprika,kosher salt,lemon juice,lemon wedges,olive oil,panko bread crumbs,paprika,vegetable oil",American,379.83,27.3,5.52,16.44,1.11,113.12,477.11,16.92,9.38,33.29,174.24,3.5,0.34,123.71,0.23,44.68,304.69,0.19,1.53,0.24,34.9,0.59,0.83,0.16,3.75,1.11,513.05,0.43,14.16,2.11,0.0,0.0
26,Sliced Baguette With Radishes And Anchovy Butter,0.153,15,False,False,False,False,False,False,False,no,False,False,False,25,https://spoonacular.com/sliced-baguette-with-radishes-and-anchovy-butter-26,https://spoonacular.com/recipeImages/26-556x370.jpg,17,3.0,0.0,3.0,87.37,9.63,"antipasti,starter,snack,appetizer,antipasto,hor d'oeuvre","anchovy,baguette,chives,coarse kosher salt,fresh chives,radishes,unsalted butter",,59.43,5.88,3.68,1.46,0.1,15.55,212.16,0.45,0.2,0.99,0.0,0.0,0.0,0.0,0.0,7.33,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.18,0.0,237.55,0.0,3.49,1.17,0.0,0.0
27,Cook the Book: Braided Beef with Anchovies and Olives,5.1007,478,False,False,True,True,False,True,False,GAPS_FULL,True,False,True,45,https://spoonacular.com/cook-the-book-braided-beef-with-anchovies-and-olives-27,https://spoonacular.com/recipeImages/27-556x370.jpg,0,90.0,99.0,59.16,37.11,3.73,"lunch,main course,main dish,dinner","anchovy,bell pepper,extra virgin olive oil,kalamata olives,loin roast",,592.97,23.67,5.81,5.36,3.25,236.48,542.83,84.91,23.2,105.26,860.8,2.76,0.77,49.95,1.67,35.85,1573.21,0.27,6.95,0.12,110.63,1.93,3.03,3.0,3.24,2.31,2426.02,1.46,6.78,95.14,0.0,0.0
28,Potato Salad With Green Goddess Dressing,2.3848,308,False,False,True,False,False,False,False,no,False,False,False,45,https://spoonacular.com/potato-salad-with-green-goddess-dressing-28,https://spoonacular.com/recipeImages/28-556x370.jpg,13,88.0,37.0,13.73,17.84,68.43,salad,"anchovies,basil,lemon juice,new potatoes,olive oil,parsley,red onion,red wine vinegar,salt,strained yogurt,sugar,tarragon",,260.24,5.29,0.82,45.64,4.82,2.47,224.62,9.15,2.91,4.65,193.58,2.8,0.21,102.35,0.21,53.68,1132.87,0.29,1.01,0.58,68.74,0.26,0.84,0.78,0.73,5.69,252.86,0.0,31.93,51.67,0.0,0.0
29,"Skate, Chicory, and Anchovy",4.9123,585,False,False,True,True,False,True,False,no,False,False,False,120,https://spoonacular.com/skate-chicory-and-anchovy-29,https://spoonacular.com/recipeImages/29-556x370.jpg,0,87.0,100.0,8.8,68.67,22.53,,"anchovy,bell pepper,black peppercorns,capers,celery,chicory,curly parsley,curly parsley,extra virgin olive oil,fennel,garlic,garlic,lemon zest,onion,rocket,sea salt,skate,white wine,wine vinegar",,523.45,38.23,5.45,28.22,6.71,12.0,344.2,11.02,5.37,10.52,215.51,5.44,0.39,297.02,0.31,435.79,1575.75,0.44,3.03,1.74,98.11,0.12,2.92,0.6,7.77,12.79,9349.85,0.0,834.0,149.98,6.18,0.0
30,Raw Mustard Greens Salad With Gruyère And Anchovy Croutons,1.1961,173,False,False,False,True,False,False,False,no,False,False,False,40,https://spoonacular.com/raw-mustard-greens-salad-with-gruyre-and-anchovy-croutons-30,https://spoonacular.com/recipeImages/30-556x370.jpg,12,86.0,32.0,9.74,61.92,28.34,salad,"anchovy,bread cubes,garlic cloves,lemon juice,lemon juice,mustard greens,mustard greens,olive oil",,273.77,19.63,2.77,20.22,3.42,2.0,172.16,6.95,3.05,10.52,117.37,3.09,0.21,177.34,0.23,39.42,513.95,0.25,0.69,0.36,51.41,0.0,0.51,0.26,4.95,4.86,3432.02,0.0,304.24,83.13,0.0,0.0
31,Caramelized Onion And Fresh Anchovy Tart,3.2932,233,False,False,False,True,False,False,False,no,False,False,False,45,https://spoonacular.com/caramelized-onion-and-fresh-anchovy-tart-31,https://spoonacular.com/recipeImages/31-556x370.jpg,5,80.0,32.0,9.59,62.55,27.86,side dish,"balsamic vinegar,cane sugar,fresh anchovies,olive oil,puff pastry,red onions,rocket,salt and pepper,thyme",,576.43,40.39,8.62,40.47,7.24,22.33,403.53,13.93,8.07,29.53,143.19,3.67,0.33,129.65,0.33,96.52,415.38,0.21,1.27,0.55,48.67,0.23,0.47,0.19,2.7,2.92,726.9,0.0,49.74,11.54,0.0,0.0
32,Anchovy Crostini With Onion-and-raisin Relish,2.1790000000000003,224,False,False,False,True,False,False,False,no,False,False,False,45,https://spoonacular.com/anchovy-crostini-with-onion-and-raisin-relish-32,https://spoonacular.com/recipeImages/32-556x370.jpg,0,77.0,44.0,11.66,31.86,56.48,side dish,"baguette,bay leaf,coarse salt,dry white wine,golden raisins,oil packed tuna,olive oil,onions,pine nuts,radicchio,white-wine vinegar","Mediterranean,Italian,Eastern European,European,Greek",425.57,14.88,2.21,59.35,6.51,1.08,817.52,12.25,5.44,31.37,188.75,3.79,0.34,98.89,0.5,220.85,402.32,0.46,1.63,1.09,55.17,0.13,0.59,0.15,2.93,4.09,0.0,0.4,130.53,6.74,1.03,0.0
33,Radish Salad Lugano,4.697,449,False,False,True,False,False,False,False,no,False,False,False,45,https://spoonacular.com/radish-salad-lugano-33,https://spoonacular.com/recipeImages/33-556x370.jpg,4,71.0,24.0,12.58,80.87,6.55,salad,"anchovies,anchovy paste,apple cider vinegar,black olives,dijon mustard,fresh tarragon,garlic,gruyere cheese,olive oil,parsley,radishes,salt and pepper,scallions",,738.23,67.23,18.89,12.26,5.98,76.35,983.62,23.52,1.82,15.36,478.73,1.95,0.33,774.24,0.1,85.91,810.81,0.22,3.58,0.32,62.7,1.09,0.92,0.31,7.13,5.61,843.23,0.45,52.17,45.37,0.0,0.0
34,Cardoons With Anchovy-garlic Sauce,1.0559,50,False,False,True,False,False,False,False,no,False,False,False,45,https://spoonacular.com/cardoons-with-anchovy-garlic-sauce-34,https://spoonacular.com/recipeImages/34-556x370.jpg,3,16.0,1.0,3.57,92.71,3.72,side dish,"anchovy filets,butter,garlic,garlic clove,lemon,olive oil,olive oil",,210.25,22.29,5.03,2.01,0.46,14.98,43.01,1.93,1.15,3.18,19.47,0.49,0.03,19.57,0.0,0.0,60.81,0.03,0.16,0.03,5.06,0.0,0.0,0.04,2.77,0.53,126.34,0.0,11.19,9.85,0.0,0.0
35,Anchovy and Herb Marinade,1.2207999999999999,59,False,False,True,True,False,False,False,no,True,False,True,45,https://spoonacular.com/anchovy-and-herb-marinade-35,https://spoonacular.com/recipeImages/35-556x370.jpg,0,48.0,12.0,1.59,93.81,4.6,side dish,"anchovy,capers,flat-leaf parsley,kosher salt,lemon juice,lemon zest,olive oil",,197.04,21.24,2.95,2.34,0.56,0.6,702.2,0.81,0.38,0.0,12.16,1.17,0.03,26.58,0.02,26.94,105.91,0.04,0.2,0.03,10.3,0.0,0.0,0.02,3.19,0.77,1271.02,0.0,259.63,27.22,0.0,0.0
36,Beet Greens With Anchovies,1.6906999999999999,147,False,False,True,False,False,False,False,no,False,False,False,20,https://spoonacular.com/beet-greens-with-anchovies-36,https://spoonacular.com/recipeImages/36-556x370.jpg,0,68.0,28.0,13.05,68.34,18.61,side dish,"anchovies in salt,beet greens,beet greens,beet greens,beet greens,food dye,food dye,garlic,olive oil,parmesan cheese,poppy seeds,radishes,red pepper flakes,roma tomato,water",,113.29,8.95,1.88,5.48,2.15,3.4,471.72,3.85,0.57,2.18,74.15,1.19,0.11,119.14,0.05,23.7,411.47,0.12,0.55,0.25,31.25,0.0,0.22,0.14,1.91,2.63,1989.7,0.0,96.58,19.91,0.0,0.0
37,Roasted Cauliflower With Anchovy Bread Crumbs,3.3027999999999995,476,False,False,False,True,False,True,False,no,False,False,False,60,https://spoonacular.com/roasted-cauliflower-with-anchovy-bread-crumbs-37,https://spoonacular.com/recipeImages/37-556x370.jpg,13,95.0,81.0,10.97,51.47,37.56,side dish,"anchovy,bread crumbs,cauliflower,extra virgin olive oil,extra virgin olive oil,fresh sage leaves,garlic,kosher salt,lemon zest,shallot,sugar",,516.46,30.87,4.6,50.68,13.07,6.4,585.73,14.8,5.88,15.84,256.74,4.05,0.41,180.9,0.56,261.42,1304.67,0.61,1.82,1.02,80.64,0.19,2.88,0.84,4.33,10.05,0.0,0.0,78.38,191.53,0.0,0.0
38,Onion Anchovy Galette,0.5661999999999999,121,False,False,False,False,False,False,False,no,False,False,False,280,https://spoonacular.com/onion-anchovy-galette-38,https://spoonacular.com/recipeImages/38-556x370.jpg,0,16.0,2.0,5.18,64.37,30.45,side dish,"anchovy,dried thyme,flour,garlic clove,ice water,olive oil,onions,salt,tomato paste,unsalted butter,unsalted butter",,334.26,24.23,12.83,25.78,2.86,52.53,148.2,4.39,2.24,10.89,59.42,1.72,0.17,30.68,0.24,59.04,176.1,0.09,0.39,0.28,15.19,0.06,0.23,0.1,1.5,1.81,674.48,0.35,6.78,5.07,0.0,0.0
39,Radish Salad With Anchovy Sauce,0.2007,21,False,False,True,True,False,False,False,no,False,False,True,36,https://spoonacular.com/radish-salad-with-anchovy-sauce-39,https://spoonacular.com/recipeImages/39-556x370.jpg,6,15.0,1.0,3.98,86.79,9.23,salad,"anchovy,capers,flatleaf parsley,garlic clove,lemon juice,olive oil,radishes,salt",,36.07,3.58,0.5,0.86,0.29,0.6,214.03,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.45,40.8,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.52,0.25,0.0,0.0,10.2,3.46,0.0,0.0
40,"Pizza With Anchovies, Red Onion, And Oregano",1.7763999999999998,143,False,False,False,False,False,False,False,no,False,False,False,25,https://spoonacular.com/pizza-with-anchovies-red-onion-and-oregano-40,https://spoonacular.com/recipeImages/40-556x370.jpg,0,38.0,8.0,16.29,52.31,31.4,"lunch,main course,main dish,dinner","anchovies,garlic,olive oil,oregano,parmesan,pizza dough,red chili flakes,red onion,tomato sauce","Mediterranean,Italian,Eastern European,European,Greek",407.33,24.11,7.42,32.57,5.33,22.8,1091.22,16.89,1.24,9.16,235.48,3.07,0.16,393.43,0.03,9.04,209.52,0.09,1.1,0.18,26.27,0.38,0.3,0.15,3.48,2.52,979.21,0.0,18.19,3.19,0.0,0.0
41,Anchovy & Italian Parsley Deviled Eggs,2.9973,416,False,False,True,True,False,False,False,no,True,True,True,45,https://spoonacular.com/anchovy-italian-parsley-deviled-eggs-41,https://spoonacular.com/recipeImages/41-556x370.jpg,2,81.0,41.0,24.24,69.92,5.84,"lunch,main course,main dish,dinner","anchovy filets,capers,dijon mustard,eggs,mayonnaise,parsley,bell pepper,salt,smoked paprika",American,626.35,48.02,11.75,9.03,5.01,998.64,1158.47,37.46,2.37,94.62,600.1,6.35,1.32,197.56,0.26,175.44,655.72,0.27,4.08,0.31,64.44,2.43,4.52,0.72,5.24,3.06,4724.65,5.34,182.72,106.32,0.0,0.0
42,Grilled Mozzarella Sandwich With Anchovy-olive Tapenade,2.3711,225,False,False,False,False,False,False,False,no,False,False,False,45,https://spoonacular.com/grilled-mozzarella-sandwich-with-anchovy-olive-tapenade-42,https://spoonacular.com/recipeImages/42-556x370.jpg,18,57.0,10.0,14.78,66.9,18.32,"lunch,main course,main dish,dinner","anchovy,bread,butter,fresh mozzarella,garlic clove,kosher salt,lemon juice,olive oil,olives,oregano leaves",,702.78,53.03,27.3,32.66,4.66,129.75,1767.2,26.36,4.15,32.98,406.04,3.11,0.42,561.41,0.31,59.02,228.68,0.17,3.3,0.77,53.14,2.01,0.67,0.14,3.17,4.3,1471.59,0.76,14.89,1.57,0.0,0.0
43,Pressed Summer Sandwich with Eggs and Anchovies,0.7071,78,False,False,False,True,False,False,False,no,False,False,False,15,https://spoonacular.com/pressed-summer-sandwich-with-eggs-and-anchovies-43,https://spoonacular.com/recipeImages/43-556x370.jpg,0,38.0,7.0,15.63,44.02,40.35,"antipasti,starter,snack,appetizer,antipasto,hor d'oeuvre","anchovies,black olives,black pepper,capers,cherry tomatoes,crusty bread,fresh parsley leaves,garlic,hard cooked eggs,olive oil,orange bell pepper,red onion",,144.9,7.14,1.4,14.73,1.57,75.08,252.86,5.71,1.37,12.82,69.75,1.35,0.18,29.78,0.12,48.86,116.2,0.06,0.49,0.17,12.49,0.23,0.41,0.08,1.16,1.07,414.75,0.44,19.75,10.46,0.0,0.0
