Parent Airline,Airline,Aircraft Type,Current,Future,Historic,Total,Orders,Unit Cost,Total Cost (Current),Average Age
Aerolineas Argentinas,Aerolineas Argentinas,Airbus A310,,,5,5,,$75,$0,
Aerolineas Argentinas,Aerolineas Argentinas,Airbus A320,,,2,2,,$98,$0,
Aerolineas Argentinas,Aerolineas Argentinas,Airbus A330,9,1,,10,,$240,"$2,160",9.3
Aerolineas Argentinas,Aerolineas Argentinas,Airbus A340,5,,8,13,,$216,"$1,078",19.3
Aerolineas Argentinas,Aerolineas Argentinas,Boeing 737,40,1,77,118,,$74,"$2,959",6.6
Aerolineas Argentinas,Austral Líneas Aéreas,Boeing 737,,,8,8,,$74,$0,
Aerolineas Argentinas,Aerolineas Argentinas,Boeing 747,,,17,17,,$316,$0,
Aerolineas Argentinas,Aerolineas Argentinas,Boeing 757,,,1,1,,$73,$0,
Aerolineas Argentinas,Austral Líneas Aéreas,Embraer ERJ-190,26,1,,27,,$46,"$1,201",5.4
Aerolineas Argentinas,Austral Líneas Aéreas,McDonnell Douglas DC-9,,,14,14,,$45,$0,
Aerolineas Argentinas,Aerolineas Argentinas,McDonnell Douglas MD-80,,,7,7,,$45,$0,
Aerolineas Argentinas,Austral Líneas Aéreas,McDonnell Douglas MD-80,,,28,28,,$45,$0,
Air Algerie,Air Algerie,Airbus A300,,,2,2,,$75,$0,
Air Algerie,Air Algerie,Airbus A310,,,6,6,,$75,$0,
Air Algerie,Air Algerie,Airbus A320,,,4,4,,$98,$0,
Air Algerie,Air Algerie,Airbus A330,8,,4,12,,$240,"$1,920",8.1
Air Algerie,Air Algerie,Airbus A340,,,3,3,,$216,$0,
Air Algerie,Air Algerie,ATR 42/72,15,,,15,,$22,$332,10.4
Air Algerie,Air Algerie,Boeing 737,31,1,38,70,2,$74,"$2,293",8.6
Air Algerie,Air Algerie,Boeing 747,,,14,14,,$316,$0,
Air Algerie,Air Algerie,Boeing 767,2,,7,9,,$187,$374,26.3
Air Algerie,Air Algerie,Boeing 777,,,2,2,,$295,$0,
Air Algerie,Air Algerie,Boeing 787,,,,,8,$265,$0,
Air Algerie,Air Algerie,McDonnell Douglas DC-10,,,2,2,,$145,$0,
Air Algerie,Air Algerie,McDonnell Douglas DC-8,,,24,24,,$6,$0,
Air Arabia,Air Arabia,Airbus A320,38,,28,66,,$98,"$3,724",2.9
Air Arabia,Air Arabia Egypt,Airbus A320,1,,2,3,,$98,$98,9.6
Air Arabia,Air Arabia Jordan,Airbus A320,2,,1,3,,$98,$196,10
Air Arabia,Air Arabia Maroc,Airbus A320,5,,5,10,,$98,$490,4.4
Air Astana,Air Astana,Airbus A319,1,,,1,,$90,$90,8.4
Air Astana,Air Astana,Airbus A320,9,,6,15,2,$98,$882,3.6
Air Astana,Air Astana,Airbus A321,4,,,4,8,$115,$460,10.6
Air Astana,Air Astana,Boeing 737,,,4,4,,$74,$0,
Air Astana,Air Astana,Boeing 757,5,,,5,,$73,$363,19.5
Air Astana,Air Astana,Boeing 767,3,,2,5,,$187,$561,3
Air Astana,Air Astana,Boeing 787,,,,,3,$265,$0,
Air Astana,Air Astana,Embraer ERJ-190,9,,,9,,$46,$416,4.5
Air Astana,Air Astana,Fokker F50 / F60,,,6,6,,$18,$0,
Air Berlin,Air Berlin,Airbus A319,6,,15,21,,$90,$538,8.5
Air Berlin,Air Berlin,Airbus A320,54,7,50,111,,$98,"$5,292",7.6
Air Berlin,Air Berlin,Airbus A321,21,,2,23,2,$115,"$2,413",6
Air Berlin,Air Berlin,Airbus A330,15,2,3,20,2,$240,"$3,600",13.1
Air Berlin,Air Berlin,ATR 42/72,,,1,1,,$22,$0,
Air Berlin,Air Berlin,Boeing 737,14,,141,155,,$74,"$1,036",9.5
Air Berlin,Air Berlin,Boeing 757,,,4,4,,$73,$0,
Air Berlin,Air Berlin,British Aerospace BAe 146/Avro RJ,,,4,4,,$14,$0,
Air Berlin,Air Berlin,De Havilland Canada DHC-8 Dash 8,20,,,20,1,$31,$626,7.4
Air Berlin,Air Berlin,Embraer ERJ-190,,,3,3,,$46,$0,
Air Berlin,Air Berlin,Fokker F70 / F100,,,18,18,,$20,$0,
Air Berlin,Air Berlin,McDonnell Douglas MD-80,,,1,1,,$45,$0,
Air Canada,Air Canada,Airbus A319,15,,33,48,,$90,"$1,344",18.9
Air Canada,Air Canada Jetz,Airbus A319,3,,2,5,,$90,$269,18.7
Air Canada,Air Canada Rouge,Airbus A319,20,,,20,,$90,"$1,792",18.6
Air Canada,Air Canada,Airbus A320,42,,13,55,,$98,"$4,116",23.3
Air Canada,Air Canada Jetz,Airbus A320,,,5,5,,,$0,
Air Canada,Air Canada,Airbus A321,15,,3,18,,$115,"$1,724",13.7
Air Canada,Air Canada Rouge,Airbus A321,5,,,5,,$115,$575,1
Air Canada,Air Canada,Airbus A330,8,,,8,,$240,"$1,920",16.3
Air Canada,Air Canada,Airbus A340,,,15,15,,$216,$0,
Air Canada,Air Canada,Boeing 727,,,28,28,,$4,$0,
Air Canada,Air Canada,Boeing 737,,,44,44,61,$74,$0,
Air Canada,Air Canada Jetz,Boeing 737,,,2,2,,$74,$0,
Air Canada,Air Canada,Boeing 747,,,15,15,,$316,$0,
Air Canada,Air Canada,Boeing 767,15,,48,63,,$187,"$2,804",25.8
Air Canada,Air Canada Rouge,Boeing 767,19,,,19,6,$187,"$3,551",18.6
Air Canada,Air Canada,Boeing 777,25,,,25,,$295,"$7,364",7.1
Air Canada,Air Canada,Boeing 787 Dreamliner,21,3,,24,16,$265,"$5,567",1.4
Air Canada,Air Canada,Bombardier CS300,,,,,45,$72,$0,
Air Canada,Air Canada,Canadair CRJ-100 Series,,,26,26,,$32,$0,
Air Canada,Air Canada Regional,Canadair CRJ-100 Series,1,,,1,,$32,$32,18.2
Air Canada,Air Canada,Embraer ERJ-170,,,15,15,,$39,$0,
Air Canada,Air Canada,Embraer ERJ-190,25,,20,45,,$46,"$1,155",9.5
Air Canada,Air Canada,McDonnell Douglas DC-8,,,43,43,,$6,$0,
Air Canada,Air Canada,McDonnell Douglas DC-9,,,64,64,,$45,$0,
Air China,Air Macau (66.9%),Airbus A300,,,8,8,,$75,$0,
Air China,Air China,Airbus A319,33,,3,36,,$90,"$2,957",10.5
Air China,Shenzhen Airlines,Airbus A319,5,,,5,,$90,$448,10.5
Air China,Air Macau (66.9%),Airbus A319,4,,1,5,,$90,$358,14.1
Air China,Air China,Airbus A320,43,2,5,50,49,$98,"$4,214",4.6
Air China,Shenzhen Airlines,Airbus A320,79,1,1,81,,$98,"$7,742",5.3
Air China,Air Macau (66.9%),Airbus A320,3,,4,7,,$98,$294,3.9
Air China,Air China,Airbus A321,55,3,,58,,$115,"$6,320",5.3
Air China,Air Macau (66.9%),Airbus A321,10,,5,15,,$115,"$1,149",6.1
Air China,Air China,Airbus A330,54,1,,55,12,$240,"$12,960",5.8
Air China,Shenzhen Airlines,Airbus A330,,,,,6,$240,$0,
Air China,Air China,Airbus A340,,,6,6,,$216,$0,
Air China,Air China,Airbus A350 XWB,,1,,1,10,$312,$0,
Air China,Air China,Boeing 737,144,1,75,220,70,$74,"$10,653",6.6
Air China,Shenzhen Airlines,Boeing 737,87,,22,109,,$74,"$6,436",6.5
Air China,Shandong Airlines (51%),Boeing 737,98,1,16,115,36,$74,"$7,250",4.7
Air China,Air China Inner Mongolia,Boeing 737,3,,,3,,$74,$222,9.1
Air China,Kunming Airlines (80%),Boeing 737,18,,2,20,10,$74,"$1,332",4.7
Air China,Dalian Airlines (80%),Boeing 737,9,,,9,,$74,$666,4.5
Air China,Air China,Boeing 747,10,,18,28,,$316,"$3,158",7.5
Air China,Air China Cargo,Boeing 747,3,,12,15,,$316,$947,14.5
Air China,Air China,Boeing 757,,,13,13,,$73,$0,
Air China,Air Macau (66.9%),Boeing 757,,,1,1,,$73,$0,
Air China,Air China Cargo,Boeing 757,4,,,4,,$73,$290,20.4
Air China,Air China,Boeing 767,,,15,15,,$187,$0,
Air China,Air China,Boeing 777,29,,4,33,5,$295,"$8,542",6.2
Air China,Air China Cargo,Boeing 777,8,,,8,,$295,"$2,356",2.3
Air China,Air China,Boeing 787 Dreamliner,7,1,,8,9,$265,"$1,856",0.4
Air China,Air China,British Aerospace BAe 146/Avro RJ,,,4,4,,$14,$0,
Air China,Shandong Airlines (51%),Canadair CRJ-100 Series,,,12,12,,$32,$0,
Air China,Shandong Airlines (51%),Canadair CRJ-700,2,,,2,,$41,$82,13.3
Air China,Shandong Airlines (51%),Comac ARJ21,,,,,10,$30,$0,
Air China,Air China,COMAC C919,,,,,20,$68,$0,
Air China,Shandong Airlines (51%),Saab 340,,,1,1,,$8,$0,
Air China,Air China Cargo,Tupolev Tu-204,,,1,1,4,$16,$0,
Air Europa,Air Europa,Airbus A330,15,,2,17,,$240,"$3,600",10.4
Air Europa,Air Europa,Airbus A340,,,1,1,,$216,$0,
Air Europa,Air Europa,ATR 42/72,4,,6,10,,$22,$88,21.9
Air Europa,Air Europa,Boeing 737,21,,67,88,25,$74,"$1,554",8
Air Europa,Air Europa,Boeing 757,,,16,16,,$73,$0,
Air Europa,Air Europa,Boeing 767,,,7,7,,$187,$0,
Air Europa,Air Europa,Boeing 787 Dreamliner,3,4,1,8,21,$265,$795,0.5
Air Europa,Air Europa,Embraer ERJ-145,1,,,1,,$20,$20,16.9
Air Europa,Air Europa,Embraer ERJ-190,7,,4,11,,$46,$323,6.2
Air Europa,Air Europa,McDonnell Douglas MD-80,,,1,1,,$45,$0,
Air France/KLM,Air France,Aérospatiale/BAC Concorde,,,7,7,,$29,$0,
Air France/KLM,Air France,Airbus A300,,,25,25,,$75,$0,
Air France/KLM,Transavia,Airbus A300,,,1,1,,$75,$0,
Air France/KLM,Air France,Airbus A310,,,11,11,,$75,$0,
Air France/KLM,KLM,Airbus A310,,,11,11,,$75,$0,
Air France/KLM,Transavia,Airbus A310,,,1,1,,$75,$0,
Air France/KLM,Martinair,Airbus A310,,,2,2,,$75,$0,
Air France/KLM,Air France,Airbus A318,18,,,18,,$66,"$1,193",11.6
Air France/KLM,Air France,Airbus A319,38,,11,49,,$90,"$3,405",16.2
Air France/KLM,Air France,Airbus A320,43,,63,106,2,$98,"$4,214",9.2
Air France/KLM,Transavia France,Airbus A320,,,4,4,,$98,$0,
Air France/KLM,Martinair,Airbus A320,,,7,7,,$98,$0,
Air France/KLM,Air France,Airbus A321,20,,10,30,,$115,"$2,298",14.1
Air France/KLM,Air France,Airbus A330,15,,1,16,,$240,"$3,600",14.1
Air France/KLM,KLM,Airbus A330,13,,4,17,,$240,"$3,120",7.7
Air France/KLM,Air France,Airbus A340,11,,19,30,,$216,"$2,371",18.3
Air France/KLM,KLM,Airbus A350,,,,,7,$312,$0,
Air France/KLM,Air France,Airbus A350-900,,,,,28,$308,$0,
Air France/KLM,Air France,Airbus A380,10,,,10,,$433,"$4,326",5.9
Air France/KLM,HOP!,ATR 42/72,21,,8,29,,$22,$464,14.9
Air France/KLM,Air France,Boeing 727,,,5,5,,$4,$0,
Air France/KLM,Air France,Boeing 737,,,63,63,,$74,$0,
Air France/KLM,KLM,Boeing 737,48,,44,92,,$74,"$3,551",10.3
Air France/KLM,Transavia France,Boeing 737,26,,,26,,$74,"$1,923",5.5
Air France/KLM,Transavia,Boeing 737,37,2,74,113,,$74,"$2,737",9
Air France/KLM,Martinair,Boeing 737,,,3,3,,$74,$0,
Air France/KLM,Air France,Boeing 747,,,73,73,,$316,$0,
Air France/KLM,KLM,Boeing 747,20,,26,46,,$316,"$6,316",21.7
Air France/KLM,Martinair,Boeing 747,1,,8,9,,$316,$316,26.6
Air France/KLM,Transavia,Boeing 757,,,10,10,,$73,$0,
Air France/KLM,Martinair,Boeing 757,,,2,2,,$73,$0,
Air France/KLM,Air France,Boeing 767,,,9,9,,$187,$0,
Air France/KLM,KLM,Boeing 767,,,12,12,,$187,$0,
Air France/KLM,Martinair,Boeing 767,,,8,8,,$187,$0,
Air France/KLM,Air France,Boeing 777,70,,1,71,,$295,"$20,619",11.2
Air France/KLM,KLM,Boeing 777,27,2,,29,,$295,"$7,953",8.7
Air France/KLM,Air France,Boeing 787 Dreamliner,1,,,1,13,$265,$265,0.1
Air France/KLM,KLM,Boeing 787 Dreamliner,8,3,,11,13,$265,"$2,121",0.7
Air France/KLM,Air France,British Aerospace BAe 146/Avro RJ,,,3,3,,$14,$0,
Air France/KLM,Transavia,British Aerospace BAe 146/Avro RJ,,,1,1,,$14,$0,
Air France/KLM,HOP!,Canadair CRJ-100 Series,,,8,8,,$32,$0,
Air France/KLM,HOP!,Canadair CRJ-1000,14,,,14,,$49,$686,5.4
Air France/KLM,HOP!,Canadair CRJ-700,12,,3,15,,$41,$492,12.8
Air France/KLM,HOP!,Embraer ERJ-145,16,,6,22,,$20,$314,16.6
Air France/KLM,HOP!,Embraer ERJ-170,15,,1,16,,$39,$581,9.4
Air France/KLM,KLM Cityhopper,Embraer ERJ-170,4,,,4,13,$39,$155,0.5
Air France/KLM,HOP!,Embraer ERJ-190,10,,,10,,$46,$462,8.8
Air France/KLM,KLM Cityhopper,Embraer ERJ-190,30,,,30,,$46,"$1,386",5.5
Air France/KLM,KLM Cityhopper,Fokker F50 / F60,,,23,23,,$18,$0,
Air France/KLM,Air France,Fokker F70 / F100,,,5,5,,$20,$0,
Air France/KLM,KLM,Fokker F70 / F100,,,6,6,,$20,$0,
Air France/KLM,KLM Cityhopper,Fokker F70 / F100,13,,35,48,,$20,$260,20.8
Air France/KLM,Air France,McDonnell Douglas DC-10,,,5,5,,$145,$0,
Air France/KLM,KLM,McDonnell Douglas DC-10,,,12,12,,$145,$0,
Air France/KLM,Martinair,McDonnell Douglas DC-10,,,5,5,,$145,$0,
Air France/KLM,Air France,McDonnell Douglas DC-8,,,1,1,,$6,$0,
Air France/KLM,KLM,McDonnell Douglas DC-8,,,37,37,,$6,$0,
Air France/KLM,Martinair,McDonnell Douglas DC-8,,,6,6,,$6,$0,
Air France/KLM,KLM,McDonnell Douglas DC-9,,,25,25,,$45,$0,
Air France/KLM,Martinair,McDonnell Douglas DC-9,,,4,4,,$45,$0,
Air France/KLM,KLM,McDonnell Douglas MD-11,,,10,10,,$175,$0,
Air France/KLM,Martinair,McDonnell Douglas MD-11,,,7,7,,$175,$0,
Air France/KLM,Martinair,McDonnell Douglas MD-80,,,3,3,,$45,$0,
Air France/KLM,KLM Cityhopper,Saab 340,,,1,1,,$8,$0,
Air India,Air India,Airbus A300,,,5,5,,$75,$0,
Air India,Air India,Airbus A310,,,28,28,,$75,$0,
Air India,Air India,Airbus A319,22,,2,24,,$90,"$1,971",8.5
Air India,Air India,Airbus A320,26,4,12,42,14,$98,"$2,548",17.7
Air India,Air India,Airbus A321,20,,,20,,$115,"$2,298",8.1
Air India,Air India,Airbus A330,,,2,2,,$240,$0,
Air India,Air India Regional,ATR 42/72,12,,3,15,18,$22,$265,8.4
Air India,Air India Express,Boeing 737,23,,8,31,,$74,"$1,702",6.7
Air India,Air India,Boeing 737,,,5,5,,$74,$0,
Air India,Air India Regional,Boeing 737,,,1,1,,$74,$0,
Air India,Air India,Boeing 747,3,,28,31,,$316,$947,21
Air India,Air India,Boeing 757,,,1,1,,$73,$0,
Air India,Air India,Boeing 767,,,3,3,,$187,$0,
Air India,Air India,Boeing 777,15,3,9,27,3,$295,"$4,418",7.7
Air India,Air India,Boeing 787 Dreamliner,22,5,,27,5,$265,"$5,832",3.1
Air India,Air India Regional,Canadair CRJ-700,3,,1,4,,$41,$123,13.7
Air India,Air India,Lockheed L-1011 TriStar,,,1,1,,$190,$0,
Air India,Air India,McDonnell Douglas DC-8,,,15,15,,$6,$0,
Air Malta,Air Malta,Airbus A319,3,,,3,,,,
Air Malta,Air Malta,Airbus A320,6,,,6,,,,
Air Mauritius,Air Mauritius,ATR 42/72,3,,6,9,,,,9.1
Air Mauritius,Air Mauritius,Airbus A319,2,,,2,,,,14.6
Air Mauritius,Air Mauritius,Airbus A330,2,,,2,,,,8.3
Air Mauritius,Air Mauritius,Airbus A340,6,,3,9,,,,16.7
Air Mauritius,Air Mauritius,Airbus A350 XWB,,1,,1,,,,
Air Mauritius,Air Mauritius,Boeing 747,,,5,5,,,,
Air Mauritius,Air Mauritius,Boeing 767,,,3,3,,,,
Air Namibia,Air Namibia,Airbus A319,4,,1,5,,,,6.5
Air Namibia,Air Namibia,Airbus A330,2,,,2,,,,3.4
Air Namibia,Air Namibia,Airbus A340,,,2,2,,,,
Air Namibia,Air Namibia,Boeing 737,,,12,12,,,,
Air Namibia,Air Namibia,Boeing 747,,,6,6,,,,
Air Namibia,Air Namibia,Boeing 767,,,1,1,,,,
Air Namibia,Air Namibia,De Havilland Canada DHC-8 Dash 8,,,1,1,,,,
Air Namibia,Air Namibia,Embraer ERJ-145,4,,,4,,,,16.6
Air Namibia,Air Namibia,McDonnell Douglas MD-11,,,2,2,,,,
Air New Zealand,Air New Zealand,Airbus A320,30,,,30,,$98,"$2,940",7
Air New Zealand,Air New Zealand,Airbus A321,,,,,17,$115,$0,
Air New Zealand,Air New Zealand Link,ATR 42/72,26,,8,34,,$22,$575,7.8
Air New Zealand,Air New Zealand,Boeing 737,,,51,51,,$74,$0,
Air New Zealand,Air New Zealand,Boeing 747,,,15,15,,$316,$0,
Air New Zealand,Air New Zealand,Boeing 767,2,,21,23,,$187,$374,22.8
Air New Zealand,Air New Zealand,Boeing 777,15,,,15,,$295,"$4,418",7.9
Air New Zealand,Air New Zealand,Boeing 787 Dreamliner,9,1,,10,3,$265,"$2,386",1.7
Air New Zealand,Air New Zealand Link,Bombardier Q300,23,,,23,,$31,$720,10.2
Air New Zealand,Air New Zealand Link,British Aerospace BAe 146/Avro RJ,,,8,8,,$14,$0,
Air New Zealand,Air New Zealand,McDonnell Douglas DC-10,,,8,8,,$145,$0,
Air New Zealand,Air New Zealand,McDonnell Douglas DC-8,,,8,8,,$6,$0,
Air Transat,Air Transat,Airbus A310,9,,5,14,,$75,$675,26.4
Air Transat,Air Transat,Airbus A320,,,2,2,,$98,$0,
Air Transat,Air Transat,Airbus A330,14,,,14,,$240,"$3,360",15.8
Air Transat,Air Transat,Boeing 727,,,1,1,,$4,$0,
Air Transat,Air Transat,Boeing 737,18,,7,25,,$74,"$1,332",10.9
Air Transat,Air Transat,Boeing 757,,,9,9,,$73,$0,
Air Transport International,Air Transport International,Boeing 757,8,,,8,,$73,$580,27.2
Air Transport International,Air Transport International,Boeing 767,9,,5,14,,$187,"$1,682",30.4
Air Transport International,Air Transport International,McDonnell Douglas DC-8,,,42,42,,$6,$0,
Air Transport Services,ABX Air,Boeing 767,28,,27,55,,$187,"$5,233",30.5
Air Transport Services,ABX Air,McDonnell Douglas DC-8,,,16,16,,$6,$0,
Air Transport Services,ABX Air,McDonnell Douglas DC-9,,,74,74,,$45,$0,
Air Wisconsin,Air Wisconsin,British Aerospace BAe 146/Avro RJ,,,26,26,,$14,$0,
Air Wisconsin,Air Wisconsin,British Aerospace BAe ATP,,,10,10,,$14,$0,
Air Wisconsin,Air Wisconsin,Canadair CRJ-100 Series,66,,5,71,,$32,"$2,102",14.4
Air Wisconsin,Air Wisconsin,De Havilland Canada DHC-8 Dash 8,,,12,12,,$7,$0,
Air Wisconsin,Air Wisconsin,Dornier Do-328,,,23,23,,$8,$0,
AirAsia,AirAsia,Airbus A320,77,,30,107,301,$98,"$7,546",6.2
AirAsia,AirAsia India,Airbus A320,8,,,8,12,$98,$784,6.6
AirAsia,AirAsia Japan,Airbus A320,2,,5,7,,$98,$196,1.1
AirAsia,Thai AirAsia,Airbus A320,50,2,,52,,$98,"$4,900",5
AirAsia,Indonesia AirAsia,Airbus A320,17,,17,34,,$98,"$1,666",6
AirAsia,Indonesia AirAsia X,Airbus A320,5,,,5,30,$98,$490,7.6
AirAsia,Philippines AirAsia,Airbus A320,15,,,,20,$98,"$1,470",
AirAsia,AirAsia,Airbus A321,,,,,100,$115,$0,
AirAsia,AirAsia X,Airbus A330,22,,8,30,66,$240,"$5,280",4
AirAsia,Thai AirAsia X,Airbus A330,6,,,6,,$240,"$1,440",7.8
AirAsia,Indonesia AirAsia X,Airbus A330,2,,,2,,$240,$480,11.4
AirAsia,AirAsia X,Airbus A340,,,2,2,,$216,$0,
AirAsia,AirAsia X,Airbus A350,,,,,10,$312,$0,
AirAsia,AirAsia,Boeing 737,,,32,32,,$74,$0,
AirAsia,Thai AirAsia,Boeing 737,,,14,14,,$74,$0,
AirAsia,Indonesia AirAsia,Boeing 737,,,12,12,,$74,$0,
AirAsia,AirAsia,Boeing 747,,,3,3,,$316,$0,
AirAsia,AirAsia,McDonnell Douglas MD-11,,,1,1,,$175,$0,
Alaska Airlines,Alaska Airlines,Boeing 737,157,2,39,198,57,$74,"$11,615",9
Alaska Airlines,Alaska Airlines,Canadair CRJ-700,1,,7,8,,$41,$41,15.2
Alaska Airlines,Horizon Air,Canadair CRJ-700,,,21,21,,$41,$0,
Alaska Airlines,Horizon Air,De Havilland Canada DHC-8 Dash 8,52,,56,108,2,$31,"$1,628",10.20
Alaska Airlines,Horizon Air,Dornier Do-328,,,12,12,,$8,$0,
Alaska Airlines,Horizon Air,Embraer E175,,,,,30,$39,$0,
Alaska Airlines,Alaska Airlines,Embraer ERJ-170,15,,,15,,$39,$581,0.8
Alaska Airlines,Alaska Airlines,McDonnell Douglas MD-80,,,48,48,,$45,,
Alitalia,Alitalia,Airbus A300,,,14,14,,$75,$0,
Alitalia,Alitalia,Airbus A319,22,,,22,,$90,"$1,971",9.7
Alitalia,Alitalia,Airbus A320,44,,10,54,6,$98,"$4,312",9.9
Alitalia,Alitalia,Airbus A321,12,,11,23,,$115,"$1,379",19.4
Alitalia,Alitalia,Airbus A330,14,,,14,1,$240,"$3,360",7.6
Alitalia,Alitalia,ATR 42/72,,,14,14,,$22,$0,
Alitalia,Alitalia,Boeing 737,,,2,2,,$74,$0,
Alitalia,Alitalia,Boeing 747,,,21,21,,$316,$0,
Alitalia,Alitalia,Boeing 767,,,14,14,,$187,$0,
Alitalia,Alitalia,Boeing 777,11,,,11,1,$295,"$3,240",13.6
Alitalia,Alitalia Cityliner,Canadair CRJ-900,,,10,10,,$46,$0,
Alitalia,Alitalia Cityliner,Embraer ERJ-170,15,,,15,,$39,$581,4.6
Alitalia,Alitalia Cityliner,Embraer ERJ-190,5,,,5,,$46,$231,5
Alitalia,Alitalia,McDonnell Douglas DC-10,,,8,8,,$145,$0,
Alitalia,Alitalia,McDonnell Douglas DC-8,,,27,27,,$6,$0,
Alitalia,Alitalia,McDonnell Douglas DC-9,,,46,46,,$45,$0,
Alitalia,Alitalia,McDonnell Douglas MD-11,,,8,8,,$175,$0,
Alitalia,Alitalia,McDonnell Douglas MD-80,,,90,90,,$45,$0,
All Nippon Airways,Vanilla Air,Airbus A320,10,2,3,15,,$98,$980,2
All Nippon Airways,ANA Wings,Boeing 737,18,,7,25,,$74,"$1,332",19.6
All Nippon Airways,ANA Wings,De Havilland Canada DHC-8 Dash 8,21,,5,26,9,$31,$657,9.3
All Nippon Airways,ANA Wings,Mitsubishi MRJ90,,,,,15,$47,$0,
All Nippon Airways,All Nippon Airways,Airbus A320,10,3,23,36,7,$98,$980,21.2
All Nippon Airways,All Nippon Airways,Airbus A321,2,2,7,11,28,$115,$230,0.1
All Nippon Airways,All Nippon Airways,Airbus A380,,,,,3,$433,$0,
All Nippon Airways,All Nippon Airways,Boeing 737,43,,44,87,,$74,"$3,181",5.5
All Nippon Airways,All Nippon Airways,Boeing 747,,,46,46,,$316,$0,
All Nippon Airways,All Nippon Airways,Boeing 767,49,,50,99,,$187,"$9,158",15.7
All Nippon Airways,All Nippon Airways,Boeing 777,55,,2,57,26,$295,"$16,200",12
