"quote","movie","type","year"
"If you strike me down, I shall become more powerful than you could possibly imagine.","Star Wars","movie","1977"
"It'll be just like Beggar's Canyon, back home","Star Wars","movie","1977"
"May the Force be with you.","Star Wars","movie","1977"
"May the force be with you","Star Wars","movie","1977"
"When I left you I was but the learner. Now I am the master.","Star Wars Episode IV - A New Hope","movie","1977"
"That’s no moon…it’s a space station","Star Wars Episode IV - A New Hope","movie","1977"
"All right, but apart from the sanitation, medicine, education, wine, public order, irrigation, roads, the fresh water system and public health, what have the Romans ever done for us?","Monty Python's Life of Brian","movie","1979"
"Oh! It's blessed are the meek! I'm glad they're getting something, they had a hell of a time...","Monty Python's Life of Brian","movie","1979"
"Always look on the Bright Side of Life ... Always look on the Light Side of Life.","Monty Python's Life of Brian","movie","1979"
"I love the smell of napalm in the morning","Apocalypse Now","movie","1979"
"Choose the sword, and you will join me. Choose the ball and you join your mother, in death. You don’t understand my words, but you must choose. So… come boy, choose life or death.","Shogun Assassin","movie","1980"
"Joey, have you ever been in a turkish prison?","Airplane","movie","1980"
"Looks like I picked the wrong week to quit sniffing glue.","Airplane","movie","1980"
"You must unlearn what you have learned.","Star Wars: Episode V - The Empire Strikes Back","movie","1980"
"Little pigs, little pigs, let me come in! Not by the hair on your chinny chin chin? Then I'll huff... And I'll puff... And I'll blow your house in!","The Shining","movie","1980"
"Do, or do not. There is no 'try'.","Star Wars: Episode V - The Empire Strikes Back","movie","1980"
"Luke, I am your father.","Star Wars, Empire Strikes Back","movie","1980"
"Here's Johnny!","The Shining","movie","1980"
"It's not the years, honey. It's the mileage.","Raiders of the Lost Ark","movie","1981"
"The sun will come out tomorrow.","Annie","movie","1982"
"If you don't eat your meat, you can't have any pudding! How can you have any pudding if you don't eat your meat?!","Pink Floyd: The Wall","movie","1982"
"I've seen things you people wouldn't believe. Attack ships on fire off the shoulder of Orion. I watched C-beams glitter in the dark near the Tannhäuser Gate. All those moments will be lost in time, like tears in rain.","Blade Runner","movie","1982"
"I changed the conditions of the test. I don’t like to lose.","Star Trek II: The Wrath of Khan","movie","1982"
"Leaping lizards!","Annie","movie","1982"
"Go ahead, make my day.","Sudden Impact","movie","1983"
"Say hello to my little friend!","Scarface","movie","1983"
"It’s a trap!","Star Wars: Return of Jedi","movie","1983"
"I always tell tell the truth, even when i lie.","Scarface","movie","1983"
"I am a Jedi, like my father before me.","Star Wars Episode 6 : Return Of The Jedi","movie","1983"
"From now on we are enemies, you and I.","Amadeus","movie","1984"
"I'll be back.","The Terminator","movie","1984"
"Hasta la Vista, baby.","The Terminator","movie","1984"
"I can’t believe I just gave my panties to a geek.","Sixteen Candles","movie","1984"
"Are you telling me that you built a time machine out of a DeLorean.","Back to the Future","movie","1985"
"I feel the need for speed","Top Gun","movie","1986"
"I feel the need - the need for speed!.","Top Gun","movie","1986"
" I feel the need!!!! The need for speed!!!!","Top Gun","movie","1986"
"It's only forever, not long at all...","Labyrinth","movie","1986"
"Life moves pretty fast. If you don’t stop and look around once in a while, you could miss it.","Ferris Bueller's Day Off","movie","1986"
"I'm a mog: half man, half dog. I'm my own best friend!","Spaceballs","movie","1987"
"Snap out of it!","Moonstruck","movie","1987"
"Come on... Come on! Do it! Do it! Come on. Come on! Kill me! I'm here! Kill me! I'm here! Kill me! Come on! Kill me! I'm here! Come on! Do it now! Kill me!","Predator","movie","1987"
"You idiots! These are not them! You've captured their stunt doubles!","Spaceballs","movie","1987"
"So, Lone Starr, now you see that evil will always triumph because good is dumb.","Spaceballs","movie","1987"
"And to think I've been telling my friends it's so cool living with an artist. You never once asked to paint me nude!","*batteries not included","movie","1987"
"Nobody puts Baby in a corner.","Dirty Dancing","movie","1987"
"Here endeth the lesson.","The Untouchables","movie","1987"
"Death cannot stop true love","The Princess Bride","movie","1987"
"As you wish...","The Princess Bride","movie","1987"
"Hello. My name is Inigo Montoya. You killed my father. Prepare to die.","The Princess Bride","movie","1987"
"Inconcievable!","The Princess Bride","movie","1987"
"Greed, for lack of a better word, is good","Wall Street","movie","1987"
"Yippie-ki-yay, motherf—er!","Die Hard","movie","1988"
"Welcome to the party, pal!","Die Hard","movie","1988"
"Like a midget at a urinal, I was going to have to stay on my toes.","The Naked Gun","movie","1988"
"Say it aint’ so, Joe. Say it ain’t so.","Eight Men Out","movie","1988"
"I'm not bad. I'm just drawn that way.","Who Framed Roger Rabbit","movie","1988"
"Strange things are afoot at The Circle K.","Bill and Ted's Most Excellent Adventure","movie","1989"
"You must strive to find your own voice because the longer you wait to begin, the less likely you are going to find it at all.","Dead Poets Society","movie","1989"
"When you realize you want to spend the rest of your life with somebody, you want the rest of your life to start as soon as possible.","When Harry Met Sally","movie","1989"
"Have you ever danced with the devil in the pale moonlight?","Batman","movie","1989"
"I'll have what she's having.","When Harry Met Sally","movie","1989"
"If you build it, he will come.","Field of Dreams","movie","1989"
"Why don't you make like a tree and get out of here.","Back to the Future Part II","movie","1989"
"Carpe diem. Seize the day, boys. Make your lives extraordinary.","Dead Poets Society","movie","1989"
"Just when I thought I was out, they pull me back in.","The Godfather III","movie","1990"
"Never rat on your friends and always keep your mouth shut","Goodfellas","movie","1990"
"I love you. I really love you. Ditto.","Ghost","movie","1990"
"I’m funny how?  Funny, like, I’m a clown?  I amuse you?","Goodfellas","movie","1990"
"This valley is just one long smorgasbord.","Tremors","movie","1990"
"As far back as I can remember, I always wanted to be a gangster.","Goodfellas","movie","1990"
"Better dead and cool then alive and uncool.","Harley Davidson and The Marlboro Man","movie","1991"
"You're a... you're a complex Freudian hallucination having something to do with my mother and I don't know why you have wings, but you have very lovely legs and you're a very nice tiny person and what am I saying? I don't know who my mother was. I'm an orphan and I've never taken drugs because I missed the sixties; I was an accountant.","Hook","movie","1991"
"Oh, and Senator, just one more thing. Love your suit.","The Silence of the Lambs","movie","1991"
"Hook, you let those kids out of that net in less than one minute or you better get an attorney and hope to God he's better than me.","Hook","movie","1991"
"Hasta la vista, baby.","Terminator 2: Judgment Day","movie","1991"
"And you'd better deliver, Miss Bell, or no amount of clapping will bring you back from where I will send you.","Hook","movie","1991"
"Of course it's hard. It's supposed to be hard. If it wasn't hard, everyone would do it. The hard is what makes it great","A League of their Own","movie","1992"
"There's no crying in baseball!","A League of Their Own","movie","1992"
"You can't handle the truth!","A Few Good Men","movie","1992"
"Party on, Wayne! Party on, Garth!","Wayne's World","movie","1992"
"You shoot me in a dream, you better wake up and apologise.","Reservoir Dogs","movie","1992"
"You're killing me, smalls!","The Sandlot","movie","1993"
"Life, uh, finds a way.","Jurassic Park","movie","1993"
"Clever girl.","Jurassic Park","movie","1993"
"What do you call them, Max? Yabbos? Max likes your yabbos. In fact, he loves them!","Hocus Pocus","movie","1993"
"You bred raptors?","Jurassic Park","movie","1993"
"I'm your Huckleberry.","Tombstone","movie","1993"
"You’re killin’ me, Smalls.","The Sandlot","movie","1993"
"When I got tired, I slept. When I got hungry, I ate. When I had to go, you know, I went.","Forrest Gump","movie","1994"
"Some birds aren't meant to be caged. Their feathers are just too bright.","Shawshank Redemption","movie","1994"
"Yeah I called her up. She gave me a bunch of crap about me not listening to her, or something. I don't know, I wasn't really paying attention.","Dumb and Dumber","movie","1994"
"Run, Forrest, run!","Forrest Gump","movie","1994"
"Lord, it's a miracle! Man up and vanished like a fart in the wind!","Shawshank Redemption","movie","1994"
"The past can hurt. But the way I see it, you can either run from it or learn from it.","The Lion King","movie","1994"
"Oh yes, the past can hurt. But you can either run from it, or learn from it.","The Lion King","movie","1994"
"Hope is a good thing, maybe the best of things, and no good thing ever dies.","The Shawshank Redemption","movie","1994"
"Everything the light touches is our kingdom.","The Lion King","movie","1994"
"Life is like a box of chocolates; you never know what you're gonna get.","Forrest Gump","movie","1994"
"These walls are funny. First you hate ’em. Then you get used to ’em. Enough time passes, you get so you depend on them. That’s institutionalized.","Shawshank Redemption","movie","1994"
"I mean, seriously, how often do you really look at a mans shoes?","Shawshank Redemption","movie","1994"
"Hope is a good thing, maybe the best of things, and no good thing ever dies.","Shawshank Redemption","movie","1994"
"Everything you see exists together in a delicate balance. As king, you need to understand that balance and respect all the creatures, from the crawling ant to the leaping antelope.","The Lion King","movie","1994"
"Mama says stupid is as stupid does.","Forrest Gump","movie","1994"
"For you, the day Bison graced your village, was the most important day in your life. But for me, it was Tuesday.","Street Fighter","movie","1994"
"Salvation lies within.","Shawshank Redemption","movie","1994"
"Hakuna matata","The Lion King","movie","1994"
"Don't ever let anybody tell you they’re better than you.","Forrest Gump","movie","1994"
"Mama always said life was like a box of chocolates. You never know what you're gonna get.","Forrest Gump","movie","1994"
"Is life always this hard, or is it just when you're a kid?","Léon","movie","1994"
"They may take our lives, but they'll never take our freedom!","Breaveheart","movie","1995"
"Houston, we have a problem.","Apollo 13","movie","1995"
"Hack the planet.","Hackers","movie","1995"
"What's in the box?!","Seven","movie","1995"
"They may take our lives, but they'll never take our freedom!","Braveheart","movie","1995"
" I used to think that if none of your family or friends knew you were dead, it was like not really being dead. People can invent the best and the worst for you.","Before Sunrise","movie","1995"
"The greatest trick the devil ever pulled was convincing the world he didn't exist.","The Usual Suspects","movie","1995"
"Bye Felicia!","Friday","movie","1995"
"Every man dies; not every man really lives.","Braveheart","movie","1995"
"This isn't flying. This is falling with style!","Toy Story","movie","1995"
"To infinity and beyond!","Toy Story","movie","1995"
"That'll do, pig. That'll do.","Babe","movie","1995"
"Get on the scale! Get off the scale!","Heavyweights","movie","1995"
"Every man dies, but not every man really lives.","Braveheart","movie","1995"
"You can trouble me for a warm glass of SHUT THE HELL UP!! Now you will go to sleep or I will put you to sleep.","Happy Gilmore","movie","1996"
"Show me the money!","Jerry Maguire","movie","1996"
"You had me at hello.","Jerry Maguire","movie","1996"
"You little son of a bitch ball! Why you don't you just go HOME? That's your HOME! Are you too good for your HOME? ANSWER ME! SUCK MY WHITE ASS, BALL!","Happy Gilmore","movie","1996"
"Some people can’t believe in themselves until someone else believes in them first.","Good Will Hunting","movie","1997"
"Ain't no rules says a dog can't play basketball.","Air Bud","movie","1997"
"Does anything more dangerous than that lurk just beneath the surface?","Titanic","movie","1997"
"You make me want to be a better man.","As Good as It Gets","movie","1997"
"I'm king of the world!","Titanic","movie","1997"
"Draw me like one of your French girls","Titanic","movie","1997"
"Tonight's forecast: a freeze is coming!","Batman & Robin","movie","1997"
"People live their lives bound by what they accept as correct and true. That's how they define ""reality"". But what does it mean to be ""correct"" or ""true""? Merely vague concepts... Their ""reality"" may all be a mirage. Can we consider them to simply be living in their own world, shaped by their beliefs?","Naruto","anime","1997"
"My Mama says that alligators are ornery because they got all them teeth and no toothbrush.","The Waterboy","movie","1998"
"What I need is a real, live ghost. That's an oxymoron, Daph.","Scooby-Doo on Zombie Island","movie","1998"
"You can feel the chill in the air, cut, who opened a window?","Scooby-Doo on Zombie Island","movie","1998"
"A census taker once tried to test me. I ate his liver with some fava beans and a nice Chianti.","The Silence of the lambs","movie","1998"
"No matter how the wind howls, the mountain cannot bow to it.","Mulan","movie","1998"
"I’m the Dude, so that’s what you call me. That or, uh His Dudeness, or uh Duder, or El Duderino, if you’re not into the whole brevity thing.","The Big Lebowski","movie","1998"
"Zoinks! How humiliating! Chased into a hole by 1/3 of a B.L.T.!","Scooby-Doo on Zombie Island","movie","1998"
"Make the money. Don’t let it make you.","The Player's Club","movie","1998"
"Wipe your upper lip, romeo.","Scooby-Doo on Zombie Island","movie","1998"
"Put the weed in the bag first, then get money.","Belly","movie","1998"
"A single grain of rice can tip the scale. One man may be the difference between victory and defeat.","Mulan","movie","1998"
"You're taking all the caviar? That caviar is a garnish!","You've Got Mail","movie","1998"
"The flower that blooms in adversity is the most rare and beautiful of all.","Mulan","movie","1998"
"Like... we're not looking for any ghoul-friends, are we, Scooby?","Scooby-Doo on Zombie Island","movie","1998"
"I'm having an old friend for dinner.","The Silence of the lambs","movie","1998"
"I live in Notting Hill. You live in Beverly Hills. Everyone in the world knows who you are, my mother has trouble remembering my name.","Notting Hill","movie","1999"
"I'm also just a girl, standing in front of a boy, asking him to love her.","Notting Hill","movie","1999"
"Time is always against us.","The Matrix","movie","1999"
"The things you used to own, now they own you.","Fight Club","movie","1999"
"Don't touch my nakama(friend) anymore! ","One Piece","anime","1999"
"It’s only after we’ve lost everything that we’re free to do anything.","Fight Club","movie","1999"
"Don’t let anyone ever make you feel like you don’t deserve what you want.","10 Things I Hate About You","movie","1999"
"Unfortunately, no one can be told what the Matrix is. You have to see it for yourself.","The Matrix","movie","1999"
"Ignorance Is Bliss","The Matrix","movie","1999"
"I see dead people.","The Sixth Sense","movie","1999"
"The first rule of Fight Club is: You do not talk about Fight Club.","Fight Club","movie","1999"
"There is a difference between knowing the path and walking the path.","The Matrix","movie","1999"
"It's only after we've lost everything that we're free to do anything.","Fight Club","movie","1999"
" I was the warm little center that the life of this world crowded around.","Fight Club","movie","1999"
"Fear. Fear attracts the fearful… the strong… the weak… the innocent… the corrupt. Fear. Fear is my ally.","Star Wars: Episode I – The Phantom Menace","movie","1999"
"By Grabthar's hammer...what a savings.","Galaxy Quest","movie","1999"
"Stop trying to control everything and just let go! LET GO!","Fight Club","movie","1999"
"Miracles only happen to those who never give up","One Piece","anime","1999"
"You met me at a very strange time in my life","Fight Club","movie","1999"
"I know kung fu.","The Matrix","movie","1999"
"People hurt the ones they love. That's how it is all around the world","The Green Mile","movie","1999"
"We need guns. Lots of guns.","Matrix","movie","1999"
"Damn! We're in a tight spot!","O Brother, Where Art Thou?","movie","2000"
"Are you not entertained?","Gladiator","movie","2000"
"They called me Mr. Glass.","Unbreakable","movie","2000"
"I have nipples, Greg. Could you milk me?","Meet the Parents","movie","2000"
"I hope he didn’t die. Unless he left a note naming me his successor, then I hope he did die.","Futurama","tv","2000"
"There are No Accidents. No Coincidences. No Escapes. YOU CAN'T CHEAT DEATH.","Final Destination","tv","2000"
"Dude, where's my car?","Dude, Where's My Car?","movie","2000"
"Do you know what happens to a toad when it's struck by lightning? The same thing that happens to everything else.","X-men","movie","2000"
"Your eyes are like two big blue eyes.","Flintstones in Viva Rock Vegas","movie","2000"
"The key to a woman's heart is an unexpected gift at an unexpected time.","Finding Forrester","movie","2000"
"I'll take poor assumptions for $800, Alex.","Finding Forrester","movie","2000"
"Wilsoooooon.","Cast Away","movie","2000"
"Wilma, whatever you decide to do, I want you to know something. Your daddy will always love you.","Flintstones in Viva Rock Vegas","movie","2000"
"Oh Fred. That's so sweet.","Flintstones in Viva Rock Vegas","movie","2000"
"If you utter so much as one syllable, I'LL HUNT YOU DOWN AND GUT YOU LIKE A FISH! If you'd like to fax me, press the star key.","The Grinch","movie","2000"
"My name is Maximus Decimus Meridius, commander of the Armies of the North, General of the Felix Legions and loyal servant to the true emperor, Marcus Aurelius. Father to a murdered son, husband to a murdered wife. And I will have my vengeance, in this life or the next.","Gladiator","movie","2000"
"No thinking -- that comes later. You must write your first draft with your heart. You rewrite with your head. The first key to writing is... to write, not to think!","Finding Forrester","movie","2000"
"We could not talk or talk forever and still find things to not talk about.","Best in Show","movie","2000"
"Snnnnnooooooooooow!!!!!!!!!","Snow Day","movie","2000"
"I have nipples Greg. Could you milk me?","Meet the Parents","movie","2000"
"I've gotta get out of this place. Someday I'm getting on that train.","Spirited Away","movie","2001"
"Yeah. We graduated high school. How totally amazing.","Ghost World","movie","2001"
"One can never have enough socks.","Harry Potter and the Philosopher's Stone","movie","2001"
"Just what do you think you're doing, Dave?","A Space Odyssey","movie","2001"
"You're a wizard, Harry.","Harry Potter and the Sorcerer's Stone","movie","2001"
"What you NEED to do is get me my chips!!! With dip!!! Cuz you're delinquent, motherfucker!","The Wash","movie","2001"
"You shall not pass!","The Lord of the Rings: The Fellowship of the Ring","movie","2001"
"Ask any racer. Any real racer. It don't matter if you win by an inch or a mile. Winning's winning.","The Fast and The Furious","movie","2001"
"Even the smallest person can change the course of the future.","The Lord of the Rings: The Fellowship of the Ring","movie","2001"
"So be prepared, be enthusiastic, and leave your bullshit attitude and baggage at the door because we don't need it!","Wet Hot American Summer","movie","2001"
"I live my life a quarter mile at a time.","The Fast and the Furious","movie","2001"
"They say that dreams are only real as long as they last. Couldn't you say the same thing about life?","Waking Life","movie","2001"
"All we have to decide what to do with the time that is given to us.","Lord Of The Ring - The Fellowships Of The Ring","movie","2001"
"Exercise gives you endorphins. Endorphins make you happy. Happy people just don't shoot their husbands. They just don't.","Legally Blonde","movie","2001"
"What is this? A center for ants?","Zoolander","movie","2001"
"All we have to decide is what to do with the time that is given us.","The Lord of the Rings: The Fellowship of the Ring","movie","2001"
"Of the days that I have lived, only those I spent with you seemed real.","Cowboy Bebop: The Movie","movie","2001"
"Ogres are like onions.","Shrek","movie","2001"
"Once you meet someone, you never really forget them. It just takes a while for your memory to come back to you","Spirited Away","movie","2001"
"I don't know half of you half as well as I should like; and I like less than half of you half as well as you deserve.","The Lord of the Rings: The Fellowship of the Ring","movie","2001"
"The greatest thing you’ll ever learn is just to love and be loved in return.","Moulin Rouge","movie","2001"
"It's only in the mysterious equation of love that any logical reasons can be found.","A Beautiful Mind","movie","2001"
"One Ring to rule them all, One Ring to find them, One Ring to bring them all and in the darkness bind them.","The Lord of The Rings: The Fellowship of the Ring","movie","2001"
"Even the smallest person can change the course of history.","The Lord of the Rings: The Fellowship of the Ring","movie","2001"
"It’s a dangerous business, going out your door…You step into the Road, and if you don’t keep your feet, there is no knowing where you might be swept off to.","The Lord of the Rings: The Fellowship of the Ring","movie","2001"
"No, I like you very much, just as you are.","Bridget Jone's Diary","movie","2001"
"Welcome the rich man, he's hard for you to miss. His butt keeps getting bigger, so there's plenty there to kiss!","Spirited Away","movie","2001"
"Do you like dags?","The Snatch","movie","2001"
"There’s some good in this world, and it’s worth fighting for.","The Lord of the Rings: The Two Towers","movie","2002"
"I'm tired of people who judge me without knowing my history.","8 miles","movie","2002"
"I don't like sand. It's all coarse, and rough, and irritating. And it gets everywhere.","The Lord of the Rings: The Two Towers","movie","2002"
"Your time will come. You will face the same Evil, and you will defeat it.","The Lord of the Rings: The Fellowship of the Ring","movie","2002"
"The battle of Helm's Deep is over; the battle for Middle Earth is about to begin. ","The Lord of the Rings: The Two Towers","movie","2002"
"It is not our abilities that show what we truly are… it is our choices.","Harry Potter and the Chamber of Secrets","movie","2002"
"With great power comes great responsibility.","Spider Man","movie","2002"
"Dadinho é o caralho, meu nome é Zé Pequeno porra!","Cidade de Deus","movie","2002"
"There is always hope.","The Lord of the Rings: The Two Towers","movie","2002"
"You know, I'm something of a scientist myself.","Spiderman","movie","2002"
"My precious","The Lord of the Rings: The Two Towers","movie","2002"
"Li'l dice my ass, my name is now Li'l Zé now","City of God","movie","2002"
"But in the end it’s only a passing thing, this shadow, even darkness must pass.","The Lord of the Rings: The Two Towers","movie","2002"
"My precious...","The Lord of the Rings: The Two Towers","movie","2002"
"Dark have been my dreams of late.","The Lord of the Rings: The Two Towers","movie","2002"
"It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.","Harry Potter and the Chamber of Secrets","movie","2002"
"Even the smallest person can change the course of the future.","The Lord of the Rings: The Fellowship of the Ring","movie","2002"
"Ye best start believin' in ghost stories, Miss Turner. Yer in one.","Pirates of the Carribean","movie","2003"
"This is the day you will always remember as the day you almost caught Captain Jack Sparrow","Pirates of the Caribbean: The Curse of the Black Pearl","movie","2003"
"You sit on a throne of lies.","Elf","movie","2003"
"To me, you are perfect.","Love Actually","movie","2003"
"I will not say: do not weep; for not all tears are an evil.","The Lord of the Rings: Return of the King","movie","2003"
"I want to change things. I want to believe that anything can be changed. The moment I met you, a new world opened up for me. You see, after wandering in the darkness for so long, a light brought me happiness. It’s all thanks to you.","Chrono Crusade","anime","2003"
"The thing about romance is people only get together right at the very end.","Love Actually","movie","2003"
"Why are you trying so hard to fit in when you were born to stand out?","What A Girl Wants","movie","2003"
"We're goin' streaking!","Old School","movie","2003"
" You're my boy, Blue!","Old School","movie","2003"
"That there’s some good in this world, Mr. Frodo… and it’s worth fighting for.","The Lord of the Rings: The Two Towers","movie","2003"
"Just keep swimming.","Finding Nemo","movie","2003"
"The problem is not the problem. The problem is your attitude about the problem. Do you understand?","Pirates of the Carribean","movie","2003"
"Not all treasure is silver and gold mate","Pirates of the Carribean","movie","2003"
"The ones that love us never really leave us.","Harry Potter and the Prisoner of Azkaban","movie","2004"
"Boo, you whore!","Mean Girls","movie","2004"
"I want to play a game.","Saw","movie","2004"
"Stop trying to make 'fetch' happen. It's not going to happen.","Mean Girls","movie","2004"
"It's like I have ESPN or something.","Mean Girls","movie","2004"
"We should totally just stab Caesar!","Mean Girls","movie","2004"
"Whatever. I'm getting cheese fries.","Mean Girls","movie","2004"
"That is so fetch!","Mean Girls","movie","2004"
"You gonna eat your tots?","Napoleon Dynamite","movie","2004"
"You gotta hear this one song. It'll change your life, I swear.","Garden State","movie","2004"
"A day may come when the courage of men fails… but it is not THIS day.","The Lord of the Rings: Return of the King","movie","2004"
"That's why her hair is so big.  It's full of secrets.","Mean Girls","movie","2004"
"You've got red on you","Shaun of the Dead","movie","2004"
"Nobody makes me bleed my own blood. Nobody!","Dodgeball: A True Underdog Story","movie","2004"
"I am gonna kill Bill.","Kill Bill","movie","2004"
"Is butter a carb?","Mean Girls","movie","2004"
"I solemnly swear that I am up to no good.","Harry Potter and the Prisoner of Azkaban","movie","2004"
"I'm not drinking any f****** Merlot!","Sideways","movie","2004"
"Your identity is your most valuable possession. Protect it.","The Incredibles","movie","2004"
"Nunchuck skills… bowhunting skills… computer hacking skills… Girls only want boyfriends who have great skills!","Napoleon Dynamite","movie","2004"
"No, I shot him. Bullets and the fall killed him.","Collateral","movie","2004"
"They’ve done studies, you know. 60% of the time, it works every time.","Anchorman","movie","2004"
"I wish I could bake a cake filled with rainbows and smiles and everyone would eat and be happy.","Mean Girls","movie","2004"
"Four for you, Glen Coco! You go, Glen Coco!","Mean Girls","movie","2004"
"There's a 30% chance that it's already raining.","Mean Girls","movie","2004"
"She doesn't even go here!","Mean Girls","movie","2004"
"You gotta hear this one song. It'll change your life, I swear.","Golden State","movie","2004"
"I love lamp.","Anchorman: The Legend of Ron Burgundy","movie","2004"
"You have bewitched me, body and soul.","Pride and Prejudice","movie","2005"
"Life is a banquet, and most poor suckers are starving to death!","Auntie Mame","movie","2005"
"And a hero is a person who resigns to be forgotten as we forget the dead for revolution.","Gie","movie","2005"
"If you want to know what a man’s like, take a good look at how he treats his inferiors, not his equals.","Harry Potter and the Goblet of Fire","movie","2005"
"Did you ever hear the tragedy of Darth Plagueis The Wise? I thought not. It's not a story the Jedi would tell you. It's a Sith legend.","Star Wars: Episode III – Revenge of the Sith","movie","2005"
"I am the Jewish James Bond!","Munich","movie","2005"
"Why do we fall? So we can learn to pick ourselves up.","Batman begins","movie","2005"
"If you want to know what a man's like,take a good look at how he treats his inferiors.","Harry Potter and the Goblet of Fire","movie","2005"
"You know how I know that you're gay?","The 40-Year-Old Virgin","movie","2005"
"Life is not the amount of breaths you take. It’s the moments that take your breath away.","Hitch","movie","2005"
"I wish I knew how to quit you.","Brokeback Mountain","movie","2005"
"I am the senate!","Star Wars: Episode III – Revenge of the Sith","movie","2005"
