model,year,price,transmission,mileage,fuelType,mpg,engineSize
Polo,2017.0,9750,Manual,9933,Petrol,60.1,1.0
Scirocco,2016.0,15000,Manual,27000,Diesel,55.4,2.0
Polo,2020.0,16489,Manual,3800,Diesel,57.7,1.6
Golf,2019.0,21795,Manual,2246,Petrol,50.4,1.5
Golf,2017.0,14380,Automatic,25585,Diesel,72.4,1.6
Golf,2019.0,18690,Semi-Auto,6327,Petrol,45.6,1.5
Caddy Life,2017.0,19995,Manual,15860,Petrol,56.5,2.0
Up,2020.0,9990,Manual,581,Petrol,54.3,1.0
Golf,,20500,Manual,10000,Diesel,60.1,2.0
Polo,2019.0,11995,Manual,11462,Petrol,48.7,1.0
Golf,2015.0,10795,Manual,28832,Petrol,53.3,1.4
Passat,2015.0,10799,Manual,26588,Diesel,68.9,2.0
Caddy Maxi Life,,20000,Automatic,1000,Diesel,46.3,2.0
Sharan,2019.0,22995,Semi-Auto,1485,Diesel,41.5,2.0
Up,,6498,Manual,17007,Petrol,62.8,1.0
Polo,2016.0,9295,Manual,15322,Petrol,58.9,1.0
Polo,2019.0,11990,Manual,12042,Petrol,48.7,1.0
T-Roc,2019.0,19995,Manual,9739,Petrol,42.2,1.5
Golf,2017.0,17770,Automatic,18608,Petrol,60.1,1.4
Tiguan,2017.0,17995,Manual,30935,Petrol,48.7,1.4
Golf,2017.0,14000,Manual,33000,Petrol,54.3,1.4
Scirocco,2011.0,5995,Semi-Auto,120000,Diesel,57.6,2.0
Golf,2019.0,26295,Semi-Auto,3996,Petrol,43.5,1.5
Golf,2019.0,16500,Manual,17462,Petrol,49.6,1.0
Golf,2013.0,10990,Manual,47941,Petrol,58.9,1.4
Up,2013.0,5763,,31033,Petrol,62.8,1.0
Passat,2015.0,13800,Semi-Auto,17223,Diesel,62.8,2.0
Polo,2016.0,9498,Manual,16088,Petrol,60.1,1.0
Golf SV,2018.0,17595,Automatic,6156,Petrol,54.3,1.5
Golf,2015.0,11750,Manual,79000,Diesel,67.3,2.0
Up,2017.0,8950,Manual,9556,Petrol,64.2,1.0
Polo,2017.0,13171,Manual,11854,,61.4,1.4
Golf,2016.0,15999,Manual,36763,Diesel,58.9,2.0
Scirocco,2015.0,14000,Manual,48387,Diesel,53.3,2.0
Up,2020.0,11530,Manual,100,Petrol,54.3,1.0
Golf,2015.0,12990,Semi-Auto,33765,Petrol,58.9,1.4
Jetta,2012.0,5995,Automatic,72000,Diesel,65.7,1.6
T-Cross,2019.0,21000,Manual,1000,Petrol,47.9,1.0
Passat,2016.0,12350,Manual,22506,Diesel,68.9,1.6
Polo,2018.0,11950,Manual,24000,Petrol,60.1,1.0
Polo,2017.0,10950,Manual,11518,Petrol,60.1,1.2
Golf,2015.0,19390,Automatic,20031,Petrol,40.4,2.0
Polo,2016.0,8998,Manual,23824,Petrol,60.1,1.2
Golf,2019.0,14990,Semi-Auto,15397,Diesel,54.3,1.6
Polo,2019.0,17290,Automatic,246,,46.3,1.0
T-Roc,,25999,Manual,3658,Diesel,46.3,2.0
Scirocco,2010.0,7428,Manual,59361,Petrol,37.2,2.0
Golf,2018.0,17896,Manual,10050,Petrol,45.6,1.5
Golf,2017.0,11840,Manual,32779,Diesel,61.4,1.6
Golf,2016.0,18998,Manual,12000,Petrol,47.1,2.0
Golf,,25475,Automatic,15762,Petrol,39.8,2.0
Passat,2019.0,22916,Semi-Auto,10446,Petrol,39.2,1.5
Polo,2013.0,4800,Manual,57290,Petrol,51.4,1.2
Golf,2016.0,15290,Manual,41588,Diesel,67.3,2.0
Polo,2019.0,15899,Automatic,2515,Petrol,45.6,1.0
Polo,2016.0,8995,Manual,23640,Petrol,60.1,1.2
Golf,2017.0,12998,Semi-Auto,15506,Diesel,58.9,1.6
Golf,2019.0,17500,Manual,712,Petrol,47.1,1.5
Caravelle,2019.0,56000,Automatic,10500,Diesel,33.6,2.0
Passat,2015.0,9200,Manual,43582,Diesel,70.6,1.6
Polo,2017.0,8600,Manual,57909,Petrol,60.1,1.2
Golf,2019.0,18790,Semi-Auto,4077,Petrol,43.5,1.5
Golf SV,2019.0,20014,Semi-Auto,11126,Petrol,42.2,1.5
Passat,2016.0,9699,Manual,94257,Diesel,67.3,2.0
Passat,2017.0,14998,,36481,Diesel,68.9,2.0
Polo,2019.0,13490,Manual,294,Petrol,48.7,1.0
Golf,2019.0,20995,Manual,50,Petrol,47.1,1.5
Tiguan,2017.0,18595,Semi-Auto,49957,Diesel,49.6,2.0
Golf,2019.0,16093,Manual,4588,Diesel,57.7,1.6
Polo,2017.0,10627,Manual,11435,Petrol,60.1,1.2
Golf,2019.0,19478,Semi-Auto,9038,Diesel,52.3,2.0
Polo,2015.0,12495,Manual,9142,Petrol,61.4,1.4
Amarok,,14990,Manual,60000,Diesel,35.3,2.0
T-Roc,2020.0,20990,Manual,5311,Petrol,44.1,1.0
Golf SV,2019.0,17995,Manual,4671,Petrol,43.5,1.5
Golf,2018.0,15189,Manual,32750,Diesel,61.4,1.6
Golf,2019.0,17298,Manual,7010,Petrol,47.1,1.5
Scirocco,2017.0,14995,Manual,24784,,67.3,2.0
Up,2020.0,9641,Manual,3500,Petrol,54.3,1.0
Golf SV,2020.0,23495,Semi-Auto,99,Petrol,42.8,1.5
Golf,2019.0,28990,Semi-Auto,5046,Petrol,36.2,2.0
Golf,2019.0,12806,Manual,15394,Petrol,49.6,1.0
Golf,2019.0,15998,Semi-Auto,14952,Petrol,45.6,1.0
Tiguan,2015.0,14250,Semi-Auto,43000,Diesel,49.6,2.0
Polo,2016.0,11495,Semi-Auto,26951,Petrol,60.1,1.2
Up,2019.0,9980,Manual,1900,Petrol,54.3,1.0
Scirocco,2016.0,14000,Manual,10173,Petrol,52.3,1.4
Golf,2014.0,12995,Manual,75000,Diesel,67.3,2.0
Tiguan,2017.0,23490,Automatic,22803,Diesel,49.6,2.0
Polo,2019.0,23282,Semi-Auto,6000,Petrol,39.8,2.0
Tiguan,2020.0,33000,Manual,3000,Diesel,42.8,2.0
Golf,2017.0,14498,Semi-Auto,10201,Petrol,53.3,1.4
Golf,2016.0,17990,Manual,23000,Petrol,39.8,2.0
T-Cross,2020.0,20999,Manual,1711,Petrol,47.9,1.0
Touareg,2015.0,19999,Semi-Auto,38500,Diesel,42.8,3.0
Up,2018.0,9995,Manual,12500,Petrol,68.9,1.0
Golf,2017.0,13530,Manual,16880,Petrol,54.3,1.4
Up,2018.0,9495,Manual,12146,Petrol,60.1,1.0
Golf,2019.0,18490,Manual,11,Petrol,47.1,1.5
Golf,2014.0,9998,Manual,60665,Petrol,58.9,1.4
T-Roc,2020.0,34999,Automatic,2952,Petrol,32.5,2.0
T-Roc,2019.0,23715,Semi-Auto,1867,Petrol,39.8,1.5
Golf,2017.0,19990,Manual,26000,Petrol,35.8,2.0
Touran,2016.0,13998,Manual,32745,Diesel,61.4,1.6
Golf,2016.0,11652,Manual,49979,Petrol,53.3,1.4
Polo,2019.0,12998,Manual,8436,Petrol,48.7,1.0
Tiguan,2018.0,23842,Semi-Auto,38920,Petrol,38.2,2.0
Passat,2016.0,8000,Manual,101370,Diesel,70.6,1.6
Golf,2019.0,17999,Manual,5000,Diesel,57.7,1.6
Golf,2017.0,23990,Manual,10860,Petrol,35.8,2.0
Golf,2019.0,16995,Manual,5000,Petrol,49.6,1.0
Golf,2014.0,10300,Semi-Auto,60145,Diesel,62.8,2.0
Tiguan,2019.0,26000,Manual,7500,Diesel,47.9,2.0
Up,2019.0,9790,Manual,10,Petrol,54.3,1.0
Golf,2016.0,12589,Manual,79385,Diesel,67.3,2.0
Golf,2013.0,9990,Manual,58518,Petrol,58.9,1.4
Tiguan,2016.0,14491,Semi-Auto,67012,Diesel,49.6,2.0
Up,2015.0,7793,Manual,24409,Petrol,61.4,1.0
Golf,2017.0,14392,Manual,18105,Diesel,74.3,1.6
Golf,2019.0,28999,Automatic,1680,Petrol,32.8,2.0
Golf,2019.0,17990,Automatic,7136,Petrol,44.8,1.5
Golf,2019.0,11995,Manual,12402,Petrol,49.6,1.0
Tiguan,2019.0,29994,Automatic,5000,Other,47.9,2.0
Polo,,9995,Manual,19114,Petrol,58.9,1.0
Jetta,2014.0,7985,Manual,1,Diesel,67.3,1.6
Polo,2017.0,9502,Manual,17124,Petrol,60.1,1.0
Polo,2019.0,16995,Manual,4632,,49.6,1.0
Polo,2016.0,11890,Manual,35209,Petrol,61.4,1.4
Polo,2014.0,6498,,50426,Petrol,60.1,1.0
Tiguan,2019.0,22498,Manual,3950,Petrol,38.2,1.5
T-Roc,2019.0,25990,Semi-Auto,7999,Petrol,39.8,1.5
T-Cross,2019.0,17704,Manual,10740,Petrol,47.9,1.0
Tiguan,,16995,Manual,29600,Petrol,48.7,1.4
Up,2016.0,6495,Manual,41000,Petrol,61.4,1.0
Tiguan,2018.0,20495,Semi-Auto,21011,Diesel,49.6,2.0
Golf,2017.0,12872,Manual,15712,Diesel,74.3,1.6
Touareg,2016.0,22998,Automatic,35348,Diesel,42.8,3.0
Golf,2018.0,22990,Semi-Auto,13301,Petrol,44.8,2.0
Polo,2017.0,10950,Manual,7889,Petrol,58.9,1.0
Arteon,2019.0,28950,Semi-Auto,5000,Diesel,50.4,2.0
T-Roc,2019.0,17995,,8000,Diesel,50.4,1.6
Golf,2017.0,12989,Manual,25456,Diesel,61.4,1.6
CC,2014.0,7991,Manual,81267,Diesel,60.1,2.0
Up,2020.0,11780,Manual,531,Petrol,51.4,1.0
Golf SV,2017.0,13950,Manual,21121,Petrol,50.4,1.4
Golf SV,2015.0,9163,Manual,43602,Petrol,55.4,1.4
Polo,2017.0,10998,Manual,11779,Petrol,60.1,1.2
Golf,2019.0,16989,Automatic,15445,Petrol,44.8,1.0
Arteon,2019.0,29995,Semi-Auto,5000,Diesel,50.4,2.0
Golf,2009.0,8995,Semi-Auto,73000,Petrol,38.2,2.0
T-Cross,2019.0,17990,Manual,5225,Petrol,48.7,1.0
Tiguan,2019.0,29995,,3624,Diesel,31.4,2.0
Passat,2018.0,18750,Automatic,13535,Petrol,44.8,2.0
Polo,2019.0,11495,Manual,9551,Petrol,48.7,1.0
Arteon,2019.0,25390,Manual,100,Diesel,52.3,2.0
Passat,2016.0,13699,Manual,18958,Diesel,68.9,2.0
Tiguan,2020.0,31990,Semi-Auto,1500,Diesel,31.4,2.0
Up,2016.0,6495,,41088,Petrol,64.2,1.0
Polo,2017.0,10995,Manual,21243,Petrol,60.1,1.2
Golf,2019.0,23950,Semi-Auto,7549,Diesel,49.6,2.0
Tiguan,2016.0,12291,Manual,79668,Diesel,53.3,2.0
Touran,2017.0,17995,Semi-Auto,21740,Diesel,60.1,2.0
Up,2013.0,5470,Manual,28393,Petrol,60.1,1.0
Golf,2018.0,15063,Manual,9522,Petrol,49.6,1.0
Tiguan,2018.0,17999,Manual,28000,Petrol,46.3,1.4
Tiguan,2016.0,15290,Manual,24402,Diesel,53.3,2.0
Golf,2015.0,9000,Manual,50267,Diesel,74.3,1.6
Up,2016.0,7498,Manual,11215,Petrol,64.2,1.0
Up,2020.0,12135,Manual,100,Petrol,51.4,1.0
Polo,2013.0,4995,Manual,46350,Petrol,51.4,1.2
Golf,2019.0,19450,Semi-Auto,5853,Diesel,52.3,2.0
Tiguan,2017.0,17990,Manual,17138,Diesel,50.4,2.0
Golf,2016.0,12495,Semi-Auto,25000,Petrol,53.3,1.4
Polo,2017.0,12850,Semi-Auto,14030,Petrol,60.1,1.2
Tiguan,2019.0,21750,Manual,2000,Diesel,47.9,2.0
Golf,2019.0,21995,Semi-Auto,1377,Petrol,45.6,1.5
Tiguan,2017.0,20990,Manual,30502,Diesel,58.9,2.0
Tiguan,2019.0,28450,Automatic,8621,Diesel,39.8,2.0
Golf,2014.0,5991,Manual,87803,Diesel,88.3,1.6
Passat,2020.0,37522,Semi-Auto,5000,Diesel,48.7,2.0
Polo,2015.0,9040,Manual,20076,Petrol,58.9,1.2
Up,2017.0,7600,Manual,16735,Petrol,64.2,1.0
Golf,2013.0,6990,Manual,80000,Diesel,68.9,1.6
Golf,2019.0,22881,Automatic,5625,Petrol,45.6,1.5
Touran,2018.0,21390,Manual,11570,Petrol,49.6,1.4
Passat,2018.0,19490,Manual,18400,Petrol,54.3,1.4
Touran,2019.0,23780,Manual,6988,Diesel,47.9,2.0
Golf,2016.0,12290,Manual,38550,Petrol,58.9,1.4
Golf,2018.0,22990,Semi-Auto,17257,Hybrid,156.9,1.4
Tiguan,2017.0,25000,Automatic,11700,Petrol,38.2,2.0
Golf,2013.0,6195,Manual,77610,Diesel,74.3,1.6
T-Roc,,31495,Semi-Auto,1790,Petrol,32.5,2.0
Passat,2017.0,13750,Manual,18181,Diesel,68.9,2.0
Polo,2019.0,12750,Manual,16607,Petrol,52.3,1.0
Shuttle,2018.0,19998,,21590,Diesel,47.1,2.0
Golf,2016.0,17750,Manual,26830,Petrol,47.1,2.0
Golf,,15346,Automatic,58595,Diesel,62.8,2.0
Polo,2018.0,12495,Manual,16800,Petrol,64.2,1.0
Polo,2015.0,6500,Manual,59092,Petrol,60.1,1.0
Polo,2017.0,9499,Manual,31783,Petrol,60.1,1.2
Scirocco,2016.0,15890,Manual,30855,Diesel,67.3,2.0
Polo,2016.0,9891,Manual,16030,Petrol,60.1,1.2
T-Roc,2020.0,33990,Semi-Auto,1247,Petrol,32.5,2.0
Golf,2014.0,10790,Manual,37249,Diesel,68.9,2.0
T-Roc,2020.0,29750,Semi-Auto,2000,Diesel,49.6,2.0
Up,2015.0,8159,Automatic,20818,Petrol,64.2,1.0
Golf,2020.0,31000,Semi-Auto,721,Hybrid,141.3,1.4
T-Roc,2019.0,20990,Manual,3080,Diesel,50.4,1.6
Passat,2020.0,21465,Semi-Auto,100,Diesel,49.6,1.6
Golf,2019.0,29990,Automatic,5631,Petrol,32.8,2.0
Amarok,2018.0,26990,Automatic,29771,Diesel,36.2,3.0
Polo,2016.0,9650,Manual,34262,Petrol,60.1,1.2
Golf,2019.0,28999,Semi-Auto,4330,Petrol,32.8,2.0
Passat,2019.0,24990,Automatic,13000,Diesel,49.6,2.0
Golf,2017.0,14300,Manual,4062,Petrol,54.3,1.4
Golf,2019.0,15498,Semi-Auto,16552,Diesel,54.3,1.6
Tiguan,2016.0,17299,Manual,25638,Diesel,50.4,2.0
Up,2017.0,7200,Manual,28611,,64.2,1.0
Passat,2019.0,14995,Manual,14430,Diesel,53.3,2.0
Tiguan,2019.0,28800,Semi-Auto,6749,Diesel,31.4,2.0
Sharan,2017.0,19500,Semi-Auto,28000,Diesel,54.3,2.0
Passat,2015.0,9291,Manual,82000,Diesel,67.3,2.0
Golf,2015.0,8500,Manual,95150,Diesel,68.9,2.0
T-Roc,2018.0,16490,Manual,23494,Petrol,55.4,1.0
Golf,2019.0,22250,Semi-Auto,4061,Petrol,44.1,1.5
Tiguan,2016.0,15250,Manual,31660,Diesel,58.9,2.0
Scirocco,2017.0,16991,Manual,14942,Diesel,67.3,2.0
Golf,2019.0,28878,Semi-Auto,3664,Petrol,32.8,2.0
Polo,2020.0,16990,Semi-Auto,1000,Petrol,45.6,1.0
Arteon,,27498,Manual,20,Diesel,52.3,2.0
Golf,2016.0,13800,Automatic,27710,Petrol,55.4,1.4
Golf,2020.0,23995,Semi-Auto,1000,Petrol,43.5,1.5
Polo,2015.0,11490,Semi-Auto,12026,Petrol,60.1,1.2
T-Cross,2019.0,18499,Manual,5000,Petrol,47.9,1.0
Touareg,2017.0,23995,Semi-Auto,48648,Diesel,42.8,3.0
