character,voice-actor,movie
Baker,Alex Murphey,Beauty and the Beast
Baker,Rob Paulsen,Cinderella II: Dreams Come True
Ballerina,None,Fantasia 2000
Baloo Bear,Phil Harris,The Jungle Book
Bambi,Donnie Dunagan,Bambi
Bambi,Hardie Albright,Bambi
Bambi,Alexander Gould,Bambi
Bambi's Mother,Paula Winslowe; Carolyn Hennesy,Bambi
Banzai,Cheech Marin,The Lion King
Bankjob Beagle,Peter Cullen,DuckTales
Bartholomew,Barrie Ingham,The Great Mouse Detective
Bashful,Scotty Mattraw,Snow White and the Seven Dwarfs
Basil of Baker Street,Barrie Ingham,The Great Mouse Detective
Baylene,Joan Plowright,Dinosaur
Bear,Dal McKennon,Bedknobs and Broomsticks
Beary Barrington,Haley Joel Osment,The Country Bears
Beast,Robby Benson,Beauty and the Beast
Beaver,Stan Freberg,Lady and the Tramp
Bella,Frank Welker,Mickey Mouse Clubhouse
Belle,Paige O'Hara,Beauty and the Beast
Ben,Billy Connolly,Pocahontas
Ben Ali Gator,Jim Cummings,Fantasia
Benjamin Clawhauser,Nate Torrence,Zootopia
Benny the Cab,Charles Fleischer,Who Framed Roger Rabbit
Bent-Tail the Coyote,Unknown,The Legend of Coyote Rock
Bent-Tail Junior,Unknown,Sheep Dog
Bentina Beakley,Joan Gerber,DuckTales
Beret Girl,Vicki Lewis,An Extremely Goofy Movie
Berlioz,Dean Clark,The Aristocats
Bernard,Bob Newheart,The Rescuers
Big Al,James Gammon,The Country Bears
Big Bad Wolf,Billy Bletcher,Three Little Pigs
Big Mama,Pearl Bailey,The Fox and the Hound
Bigtime Beagle,Frank Welker,DuckTales
Bill the Lizard,Larry Grey,Alice in Wonderland
Billy Boss,Thurl Ravenscroft,The Aristocats
Billy Bones,Patrick McGoohan,Treasure Planet
Bimbette,Kath Soucie,Beauty and the Beast
Binkie Muddlefoot,Susan Tolsky,Darkwing Duck
Binky Beagle,None,DuckTales
Black Bart,Thurl Ravenscroft,The Sword in the Stone
Blake,Nick Swardson,Bolt
Blaze,None,Tinker Bell and the Lost Treasure
Blue Fairy,Evelyn Venable,Pinocchio
Bobble,Rob Paulsen,Disney Fairies
Bolt,John Travolta,Bolt
Bomber Beagle,Robert Ridgely,DuckTales
Bonnie Hopps,Bonnie Hunt,Zootopia
Bookseller,Alvin Epstein,Beauty and the Beast
Boomer,Paul Winchell,The Fox and the Hound
Bonkers D. Bobcat,Jim Cummings,Bonkers
Boss Beaver,Brad Garrett,Timon and Pumbaa
Bouncer Beagle,Chuck McCann,DuckTales
Bowler Hat Guy,Stephen J. Anderson,Meet the Robinsons
Br'er Bear,Nick Stewart,Song of the South
Br'er Fox,James Baskett,Song of the South
Br'er Rabbit,Johnny Lee,Song of the South
Bradley Uppercrust III,Jeff Bennett,An Extremely Goofy Movie
Bruno the Dog,Jimmy MacDonald; Frank Welker,Cinderella
Bruton,Peter Siragusa,Dinosaur
Brutus and Nero,Candy Candido,The Rescuers
Buck,Cuba Gooding Jr.,Home on the Range
Buck Cluck,Garry Marshall,Chicken Little
Bucky Bug,None,Silly Symphonies
Bucky Oryx-Antlerson,Byron Howard,Zootopia
Bucky the Squirrel,Bob Bergen,The Emperor's New Groove
Buford the Cook,Michael Colyar,The Princess and the Frog
Bugle Beagle,Brian Cummings,DuckTales
Burger Beagle,Chuck McCann,DuckTales
Buster,Chazz Palminteri,Lady and the Tramp II: Scamp's Adventure
Butch the Bulldog,Frank Welker,Bone Trouble
Buzzie the Vulture,J. Pat O'Malley,The Jungle Book
Cadpig,Kath Soucie,101 Dalmatians: The Series
Calliope,Lillias White,Hercules
Candlehead,Katie Lowes,Wreck-It Ralph
The Captain,Thurl Ravenscroft,One Hundred and One Dalmatians
Captain Amelia,Emma Thompson,Treasure Planet
Captain Hook,Hans Conried,Peter Pan
Captain John Smith,Mel Gibson,Pocahontas
Captain Phoebus,Kevin Kline,The Hunchback of Notre Dame
Carl the Robot,Harland Williams,Meet the Robinsons
Carlotta the Maid,Edie McClurg,The Little Mermaid
The Carpenter,J. Pat O'Malley,Alice in Wonderland
Casey Junior,Margaret Wright,Dumbo
Cash,Patrick Swayze,The Fox and the Hound 2
Cassim,John Rhys-Davies,Aladdin and the King of Thieves
The Caterpillar,Richard Haydn,Alice in Wonderland
Catty the Elephant,Noreen Gammill,Dumbo
Cecil the Vulture,Michael McKean,Jungle Cubs
Cedric the Sorcerer,Jess Harnell,Sofia the First
Chaca,Kellyann Kelso,The Emperor's New Groove
Chandeleria,April Winchell,Belle's Magical World
Chair Mouse,Bernard Fox,The Rescuers
Chainsaw,Frank Welker,Goof Troop
Charlotte La Bouff,Jennifer Cody,The Princess and the Frog
Cheetata and Cheetato,Rob Paulsen; Jim Cummings,Timon and Pumbaa
Chef Bouche,Brian Cummings,Beauty and the Beast
Chef Louis,Rene Auberjonois,The Little Mermaid
Chernabog,Corey Burton,Fantasia
Cheshire Cat,Sterling Holloway,Alice in Wonderland
Chi-Fu,James Hong,Mulan
Chicha,Wendie Malick,The Emperor's New Groove
Chicken Little,Zach Braff,Chicken Little
Chief,Pat Buttram,The Fox and the Hound
Chief Bogo,Idris Elba,Zootopia
Chief Powhatan,Russell Means,Pocahontas
Chien-Po,Jerry Tondo,Mulan
Chip,James MacDonald,Private Pluto
Chip Potts,Bradley Michael Pierce,Beauty and the Beast
Christopher Robin,Bruce Reitherman,Winnie the Pooh and the Honey Tree
Cinderella,Ilene Woods,Cinderella
Circus Animals,None,Dumbo
Clank,Jeff Bennett,Disney Fairies
Clara Cluck,Florence Gill,Orphan's Benefit
Clarabelle Cow,Marcellite Garner,Plane Crazy
Clayton,Brian Blessed,Tarzan
Cleo,None,Pinocchio
Clio,Vanéese Y. Thomas,Hercules
Cloak and Dagger,None,The Little Mermaid II: Return to the Sea
Clopin Trouillefou,Paul Kandel,The Hunchback of Notre Dame
Clotho,Amanda Plummer,Hercules
Clover,Wayne Brady,Sofia the First
The Coachman,Charles Judels,Pinocchio
Cobra Bubbles,Ving Rhames,Lilo & Stitch
Codfish,Robert Holt,Bedknobs and Broomsticks
Cody,Adam Ryen,The Rescuers Down Under
Cogsworth,David Ogden Stiers,Beauty and the Beast
Colette,Kath Soucie,Lady and the Tramp II: Scamp's Adventure
The Colonel,J. Pat O'Malley,101 Dalmatians
Colonel Hathi,J. Pat O'Malley,The Jungle Book
Commander Lyle Rourke,James Garner,Atlantis: The Lost Empire
Cookie,Jim Varney,Atlantis: The Lost Empire
Copper,Corey Feldman; Kurt Russell,The Fox and the Hound
Cornelius Robinson,Tom Selleck,Meet the Robinsons
Cousin Randy,Randy Newman,The Princess and the Frog
Crane,Jeff Bennett,Belle's Magical World
Creeper,Phil Fondacaro,The Black Cauldron
Cri-Kee,None,Mulan
The Crocodile (Tick Tock),None,Peter Pan
Cruella de Vil,Betty Lou Gerson,101 Dalmatians
Crumbelina DiCaramello,Cymbre Walk,Wreck-It Ralph
Cubby,Robert Ellis,Peter Pan
Cyril Proudbottom,J. Pat O'Malley,The Adventures of Ichabod and Mr. Toad
Daisy Duck,Clarence Nash; Gloria Blondell,Mr. Duck Steps Out
Dale,Dessie Flynn; Corey Burton,Private Pluto
Dallben,Freddie Jones,The Black Cauldron
Danielle,Kath Soucie,Lady and the Tramp II: Scamp's Adventure
Danny,Andrew McDonough,Return to Never Land
Darby,Chloë Grace Moretz,My Friends Tigger & Pooh
Darling,Peggy Lee,Lady and the Tramp
Dash,Stephen Furst,The Little Mermaid II: Return to the Sea
David Kawena,Jason Scott Lee,Lilo & Stitch
Demetrius,Wayne Knight,Hercules
Denahi,Jason Raize,Brother Bear
Derek Blunt,Peter Renaday,Darkwing Duck
DeSoto,Carl Weintraub,Oliver & Company
Dewey,Clarence Nash; Russi Taylor,Donald's Nephews
Dex Barrington,Justin Berfield,The Country Bears
Diablo,None,Sleeping Beauty
Digger the Mole,Dub Taylor,The Rescuers
Dijon the Thief,Richard Libertini,DuckTales
Dinah the Cat,None,Alice in Wonderland
Dinah the Dachshund,None,The Sleepwalker
Dinky,Richard Bakalyan,The Fox and the Hound
The Director,James Lipton,Bolt
Dixie,Reba McEntire,The Fox and the Hound 2
Dizzie the Vulture,Lord Tim Hudson,The Jungle Book
Djali,None,The Hunchback of Notre Dame
Doc,Roy Atwell,Snow White and the Seven Dwarfs
Doctor Mouse,Bernard Fox,The Rescuers Down Under
Dodger,Billy Joel,Oliver & Company
The Dodo,Bill Thompson,Alice in Wonderland
The Dog Catcher,Jeff Bennett,Lady and the Tramp II: Scamp's Adventure
Doli,John Byner,The Black Cauldron
Don Karnage,Jim Cummings,TaleSpin
Donald Duck,Clarence Nash; Tony Anselmo,The Wise Little Hen
Doofus Drake,Brian Cummings,DuckTales
The Doorknob,Joseph Kearns,Alice in Wonderland
The Doorman,Don Barclay,Cinderella
Dopey,Eddie Collins,Snow White and the Seven Dwarfs
Doris,Ethan Sandler,Meet the Robinsons
The Dormouse,Jimmy MacDonald,Alice in Wonderland
Doug Ramses,Rich Moore,Zootopia
Dr. Calico,Malcolm McDowell,Bolt
Dr. David Q. Dawson,Val Bettin,The Great Mouse Detective
Dr. Doppler,David Hyde Pierce,Treasure Planet
Dr. Facilier,Keith David,The Princess and the Frog
Dr. Forrester,Ronn Moss,Bolt
Dr. Jacques von Hamsterviel,Jeff Bennett,Stitch! The Movie
Dr. Joshua Sweet,Phil Morris,Atlantis: The Lost Empire
Dr. Jumba Jookiba,David Ogden Stiers,Lilo & Stitch
Dr. Reginald Bushroot,Tino Insana,Darkwing Duck
Drake Mallard (Darkwing Duck),Jim Cummings,Darkwing Duck
Drizella Tremaine,Rhoda Williams; Russi Taylor,Cinderella
Duchess,Eva Gabor,The Aristocats
Duchess,Marjorie Bennett,One Hundred and One Dalmatians
Duckworth,Chuck McCann,DuckTales
Duke,None,Fantasia 2000
Duke of Weselton,Alan Tudyk,Frozen
Duke Weaselton,Alan Tudyk,Zootopia
Dumbo,None,Dumbo
Duncan,Horatio Sanz,Wreck-It Ralph
Ed,Jim Cummings,The Lion King
Edgar Balthazar the Butler,Roddy Maude-Roxby,The Aristocats
Edward,Roger Rees,Return to Never Land
Eema,Della Reese,Dinosaur
Eeyore,Ralph Wright,Winnie the Pooh and the Honey Tree
Einstein,Richard Mulligan,Oliver & Company
El Capitan,Jim Cummings,DuckTales
"Eli ""Big Daddy"" La Bouff",John Goodman,The Princess and the Frog
Ellie Mae,Jeanette Nolan,The Rescuers
Elliott,Charlie Callas,Pete's Dragon
Elmer Elephant,None,Silly Symphonies
Elsa,Idina Menzel,Frozen
Emmitt Otterton,None,Zootopia
Emperor of China,Pat Morita,Mulan
The Enchantress,Kath Soucie,Beauty and the Beast: The Enchanted Christmas
Esmeralda,Demi Moore,The Hunchback of Notre Dame
Eudora,Oprah Winfrey,The Princess and the Frog
Evangaline,None,The Princess and the Frog
Evinrude,Jimmy MacDonald,The Rescuers
Fa Li,Freda Foh Shen,Mulan
Fa Zhou,Soon-Tek Oh,Mulan
Fagin,Dom DeLuise,Oliver & Company
Fairy Godmother,Verna Felton; Russi Taylor,Cinderella
Fairy Mary,Jane Horrocks,Disney Fairies
Faline,Cammie King; Ann Gillis,Bambi
Fall-Apart Rabbit,Frank Welker,Bonkers
Faloo,Carla Meyer,The Rescuers Down Under
Fat Cat,Jim Cummings,Chip 'n Dale Rescue Rangers
Father Wolf,Ben Wright,The Jungle Book
Fauna,Barbara Jo Allen,Sleeping Beauty
Fawn,America Ferrera,Disney Fairies
Felicia the Cat,Frank Welker,The Great Mouse Detective
Fenton Crackshell (Gizmoduck),Hamilton Camp,DuckTales
Fenton Q. Harcourt,David Ogden Stiers,Atlantis: The Lost Empire
Ferdie Fieldmouse,None,Mickey's Steam Roller
Ferdinand the Bull,Milt Kahl,Silly Symphonies
Fflewddur Fflam,Nigel Hawthorne,The Black Cauldron
Fidget,Candy Candido,The Great Mouse Detective
Fiddler Pig,Mary Moder,Three Little Pigs
Fife the Piccolo,Paul Reubens,Beauty and the Beast: The Enchanted Christmas
Fifer Pig,Dorothy Compton,Three Little Pigs
Fifi the Featherduster,Kimmy Robertson,Beauty and the Beast
Figaro the Cat,Mel Blanc,Pinocchio
Figment,Dave Goelz,Journey into Imagination with Figment
Finnick,"Tommy ""Tiny"" Lister Jr.",Zootopia
First Ancestor Fa,George Takei,Mulan
Firebird !The Firebird,Hugo Weaving,Fantasia 2000
Fish Out of Water,Dan Molina,Chicken Little
Fix-It Felix Jr.,Jack McBrayer,Wreck-It Ralph
Flaps the Vulture,Chad Stuart,The Jungle Book
Flash Slothmore,Raymond S. Persi,Zootopia
Flintheart Glomgold,Hal Smith,DuckTales
Flit,Frank Welker,Pocahontas
Flora,Verna Felton,Sleeping Beauty
Flotsam and Jetsam,Paddi Edwards,The Little Mermaid
Flounder,Jason Marin,The Little Mermaid
Flower,Stan Alexander; Sterling Holloway,Bambi
Flunkey the Baboon,Leo De Lyon,The Jungle Book
Flynn Rider,Zachary Levi,Tangled
Footman,Larry Grey,Cinderella
Forte the Pipe Organ,Tim Curry,Beauty and the Beast: The Enchanted Christmas
Foxy Loxy,Amy Sedaris,Chicken Little
Fran,Edie McClurg,Higglytown Heroes
Francis,Roscoe Lee Browne,Oliver & Company
Francois,Bronson Pinchot,Lady and the Tramp II: Scamp's Adventure
Francois,Ed Gilbert,The Rescuers Down Under
Frank,Wayne Robson,The Rescuers Down Under
Frankie the Frog,Aurian Redson,Meet the Robinsons
Franny Robinson,Nicole Sullivan,Meet the Robinsons
Fred,S. Scott Bullock,Timon and Pumbaa
Friar Tuck,Andy Devine,Robin Hood
Friend Owl,Will Wright,Bambi
Frou-Frou,Nancy Kulp,The Aristocats
Gadget Hackwrench,Tress MacNeille,Chip 'n Dale Rescue Rangers
"Gaetan ""Mole"" Moliére",Corey Burton,Atlantis: The Lost Empire
Captain Gantu,Kevin Michael Richardson,Lilo & Stitch
Gaston,Richard White,Beauty and the Beast
Gazelle,Shakira,Zootopia
General Hologram,Dennis Haysbert,Wreck-It Ralph
General Li,James Shigeta,Mulan
Genie,Robin Williams,Aladdin
George Darling,Hans Conried,Peter Pan
Georges Hautecourt,Charles Lane,The Aristocats
Georgette,Bette Midler,Oliver & Company
Geppetto,Christian Rub,Pinocchio
Giddy the Elephant,Dorothy Scott,Dumbo
Gideon,Mel Blanc,Pinocchio
Giselle,Amy Adams,Enchanted
Gladstone Gander,Rob Paulsen,DuckTales
Gliss,Grey Delisle,Secret of the Wings
Glittering Goldie,Joan Gerber,DuckTales
Gloyd Orangeboar,None,Wreck-It Ralph
Goob,Matthew Josten,Meet the Robinsons
Goofy,Pinto Colvig; Bill Farmer,Mickey's Revue
Goosey Loosey,Mark Walton,Chicken Little
Gopher,Howard Morris; Michael Gough,Winnie the Pooh and the Honey Tree
Gosalyn Mallard,Christine Cavanaugh,Darkwing Duck
Governor John Ratcliffe,David Ogden Stiers,Pocahontas
Grace,Jennifer Tilly,Home on the Range
Gramma Tala,Rachel House,Moana
Gramps,Larry Clemmons,The Rescuers
Grand Councilwoman,Zoe Caldwell,Lilo & Stitch
The Grand Duke,Luis Van Rooten; Rob Paulsen,Cinderella
Grandma Duck,June Foray,"This is Your Life, Donald Duck"
Grandmother Fa,June Foray,Mulan
Grandmother Willow,Linda Hunt,Pocahontas
Granny Rose,Vicki Lawrence,The Fox and the Hound 2
Greasy the Weasel,Charles Fleischer,Who Framed Roger Rabbit
Great Prince of the Forest,Fred Shields,Bambi
Grimsby,Ben Wright,The Little Mermaid
The Groundhog,Brian Pimental,Bambi II
Grumpy,Pinto Colvig,Snow White and the Seven Dwarfs
Gurgi,John Byner,The Black Cauldron
Gus Lollygagger,Jimmy MacDonald; Corey Burton,Cinderella
Gus Goose,Clarence Nash,Donald's Cousin Gus
Gyro Gearloose,Hal Smith,DuckTales
Hades,James Woods,Hercules
Hands,Micheal McShane,Treasure Planet
Happy,Otis Harlan,Snow White and the Seven Dwarfs
Harold the Seahorse,Will Ryan,The Little Mermaid
Haroud Hazi Bin,James Avery,Aladdin
Harvey Fenner,Corey Burton,The Princess and the Frog
Headless Horseman,None,The Adventures of Ichabod and Mr. Toad
Heihei the Rooster,Alan Tudyk,Moana
Helga Sinclair,Claudia Christian,Atlantis: The Lost Empire
Hen Wen,None,The Black Cauldron
Henry Fenner,Jerry Kernion,The Princess and the Frog
Hera,Samantha Eggar,Hercules
Herb Muddlefoot,Jim Cummings,Darkwing Duck
Hercules,Tate Donovan; Joshua Keaton,Hercules
Hermes,Paul Shaffer,Hercules
Hiram Flaversham,Alan Young; Alan Young,The Great Mouse Detective
Hit Cat the English Cat,Lord Tim Hudson,The Aristocats
Honker Muddlefoot,Katie Leigh,Darkwing Duck
Hook Hand,Brad Garrett,Tangled
Hoonah,Tress MacNeille,Brother Bear 2
Horace & Jasper,Frederick Worlock; J. Pat O'Malley,101 Dalmatians
Horace Horsecollar,Walt Disney; Bill Farmer,The Plow Boy
The Horned King,John Hurt,The Black Cauldron
Huey,Clarence Nash; Russi Taylor,Donald's Nephews
Hugo,Jason Alexander,The Hunchback of Notre Dame
Humbert the Huntsman,Stuart Buchanan,Snow White and the Seven Dwarfs
Humphrey the Bear,Jimmy MacDonald; Jim Cummings,Hold That Pose
Hyacinth Hippo,Tress MacNeille,Fantasia
Iago,Gilbert Gottfried,Aladdin
Ian the Alligator,Kevin Michael Richardson,The Princess and the Frog
Ichabod Crane,Pinto Colvig,The Adventures of Ichabod and Mr. Toad
The Indian Chief,Candy Candido,Peter Pan
Innoko,Wanda Sykes,Brother Bear 2
Iridessa,Raven-Symoné,Disney Fairies
J. Audubon Woodlore,Bill Thompson,Grin and Bear It
J. Gander Hooter,Danny Mann,Darkwing Duck
J. Thaddeus Toad,Eric Blore,The Adventures of Ichabod and Mr. Toad
J. Worthington Foulfellow,Walter Catlett,Pinocchio
Jack-in-the-Box,John Lithgow,Fantasia 2000
"Jackson ""Jaq"" Hopscotch",Jimmy MacDonald; Rob Paulsen,Cinderella
Jafar,Jonathan Freeman,Aladdin
Jake,Tristan Rogers,The Rescuers Down Under
Jane,Harriet Owen,Return to Never Land
Jane Porter,Minnie Driver,Tarzan
Jeb the Goat,Joe Flaherty,Home on the Range
"Jennifer ""Jenny"" Foxworth",Natalie Gregory,Oliver & Company
Jenny Wren,Martha Wentworth,Silly Symphonies
Jerry Jumbeaux Jr.,John DiMaggio,Zootopia
Jesse the Ram,John DiMaggio,Zootopia
Jessica Rabbit,Kathleen Turner,Who Framed Roger Rabbit
Jim Crow,Cliff Edwards,Dumbo
Jim Dear,Lee Millar,Lady and the Tramp
Jim Hawkins,Joseph Gordon-Levitt,Treasure Planet
Jiminy Cricket,Cliff Edwards; Eddie Carroll,Pinocchio
Jobless Joe,None,Fantasia 2000
Jock,Bill Thompson,Lady and the Tramp
Joe Giraffe,Pinto Colvig,Silly Symphonies
Joey Hippo,None,Silly Symphonies
John Darling,Paul Collins,Peter Pan
John Silver,Brian Murray,Treasure Planet
Johnny Appleseed,Dennis Day,Melody Time
José Carioca,José Oliveira; Rob Paulsen,Saludos Amigos
Jubileena Bing-Bing,Josie Trinidad,Wreck-It Ralph
Judge Claude Frollo,Tony Jay,The Hunchback of Notre Dame
Judge Doom,Christopher Lloyd,Who Framed Roger Rabbit
Judy Hopps,Ginnifer Goodwin,Zootopia
June,None,House of Mouse
Junior,Clint Howard,The Jungle Book
Junior the Buffalo,Lance LeGault,Home on the Range
Kaa,Sterling Holloway; Jim Cummings,The Jungle Book
Kala,Glenn Close,Tarzan
Kanga,Barbara Luddy,Winnie the Pooh and the Honey Tree
Kata,Catherine O'Hara,Brother Bear 2
Katrina Van Tassel,None,The Adventures of Ichabod and Mr. Toad
Kekata the Medicine man,Gordon Tootoosis,Pocahontas
Kenai,Joaquin Phoenix,Brother Bear
Kerchak,Lance Henriksen,Tarzan
Kiara,Michelle Horn; Neve Campbell,The Lion King II: Simba's Pride
The King,Luis Van Rooten,Cinderella
The King of Hearts,Dink Trout,Alice in Wonderland
King Candy/Turbo,Alan Tudyk,Wreck-It Ralph
King Eiddileg,Arthur Malet,The Black Cauldron
King Hubert,Bill Thompson,Sleeping Beauty
King Kashekim Nedakh,Leonard Nimoy,Atlantis: The Lost Empire
King Leonidas,Lennie Weinrib,Bedknobs and Broomsticks
King Louie,Louis Prima,The Jungle Book
King Richard,Peter Ustinov,Robin Hood
King Roland II,Travis Willingham,Sofia the First
King Stefan,Taylor Holmes,Sleeping Beauty
King Triton,Kenneth Mars,The Little Mermaid
Kirby,Sean Elmore,Chicken Little
Kit Cloudkicker,R. J. Williams; Alan Roberts,TaleSpin
Kocoum,James Apaumut Fall,Pocahontas
Koda,Jeremy Suarez,Brother Bear
Kovu,Ryan O'Donohue; Jason Marsden,The Lion King II: Simba's Pride
Krebbs,Douglas Seale,The Rescuers Down Under
Kristoff,Jonathan Groff,Frozen
Kron,Samuel E. Wright,Dinosaur
Kronk Pepikrankenitz,Patrick Warburton,The Emperor's New Groove
Kuzco,David Spade,The Emperor's New Groove
Lachesis,Carole Shelley,Hercules
Lady,Barbara Luddy,Lady and the Tramp
Lady DeBurne,April Winchell,The Hunchback of Notre Dame II
Lady Kluck,Carole Shelley,Robin Hood
Lady Mouse,Shani Wallis,The Great Mouse Detective
Lady Tremaine,Eleanor Audley; Susanne Blakeslee,Cinderella
Lafayette the Basset Hound,George Lindsey,The Aristocats
Lampwick,Frankie Darro,Pinocchio
Larry the Duck,Marshall Efron,Home on the Range
Launchpad McQuack,Terry McGovern,DuckTales
Laverne,Mary Wickes,The Hunchback of Notre Dame
Lawrence the Valet,Peter Bartlett,The Princess and the Frog
Le Fou,Jesse Corti,Beauty and the Beast
Lefty,Nathan Greno,Meet the Robinsons
Le Plufme,Rob Paulsen,Belle's Magical World
Lewis,Jordan Fry,Meet the Robinsons
Li Shang,B.D. Wong,Mulan
Lil Bad Wolf,Andrew Lawrence,The Porker's Court
Lilo Pelekai,Daveigh Chase,Lilo & Stitch
Ling,Gedde Watanabe,Mulan
Liquidator !The Liquidator,Jack Angel,Darkwing Duck
Little John,Phil Harris,Robin Hood
Little Toot,None,Melody Time
Mr. Litwak,Ed O'Neill,Wreck-It Ralph
Lizzy,Tracey Miller-Zarneke,Meet the Robinsons
Lizzy Griffths,Lauren Mote,Tinker Bell and the Great Fairy Rescue
Louie,Clarence Nash; Russi Taylor,Donald's Nephews
Louie the Hot Dog Man,Frank Welker,Oliver & Company
Louis the Alligator,Michael-Leon Wooley,The Princess and the Frog
Lucifer the Cat,June Foray,Cinderella
Lucille Krunklehorn,Laurie Metcalf,Meet the Robinsons
Lucky,Mimi Gibson,One Hundred and One Dalmatians
Lucky Jack,Charles Haid,Home on the Range
Ludwig Von Drake,Paul Frees,An Adventure in Color
Luke,Pat Buttram,The Rescuers
Lumière,Jerry Orbach,Beauty and the Beast
Lumpy the Heffalump,Kyle Stanger,Pooh's Heffalump Movie
Lyle,Jeff Foxworthy,The Fox and the Hound 2
Ma Beagle,June Foray,DuckTales
Mad Hatter,Ed Wynn,Alice in Wonderland
Madame Adelaide Bonfamille,Hermione Baddeley,The Aristocats
Madame Medusa,Geraldine Page,The Rescuers
Madam Mim,Martha Wentworth,The Sword in the Stone
Madame Upanova,Tress MacNeille,Fantasia
Madellaine,Jennifer Love Hewitt,The Hunchback of Notre Dame II
Maggie,Roseanne Barr,Home on the Range
Magic Carpet,None,Aladdin
The Magic Mirror,Moroni Olsen,Snow White and the Seven Dwarfs
Magica De Spell,June Foray,DuckTales
Mahra the Baboon,Tress MacNeille,Jungle Cubs
Maid Marian,Monica Evans,Robin Hood
Major the Horse,None,Cinderella
Maleficent,Eleanor Audley,Sleeping Beauty
Malina,Jessica Di Cicco,The Emperor's New School
Mama Odie,Jenifer Lewis,The Princess and the Frog
Man the Hunter,None,Bambi
Marahute,Frank Welker,The Rescuers Down Under
March Hare,Jerry Colonna,Alice in Wonderland
Marie,Liz English,The Aristocats
Markowski,Joe Lo Truglio,Wreck-It Ralph
Marlon the Alligator,Emeril Lagasse,The Princess and the Frog
Mary Darling,Heather Angel,Peter Pan
The Matchmaker,Miriam Margoyles,Mulan
Maui,Dwayne Johnson,Moana
Maurice,Rex Everhart,Beauty and the Beast
Max Goof,Dana Hill; Jason Marsden,Goof Troop
Max Hare,Ned Norton,The Tortoise and the Hare
