Country,ISO3,Rank,Total Population,Manpower Available,Fit-for-Service,Reaching Military Age,Total Military Personnel,Active Personnel,Reserve Personnel,Total Aircraft Strength,Fighter Aircraft,Attack Aircraft,Transport Aircraft,Trainer Aircraft,Total Helicopter Strength,Attack Helicopters,Combat Tanks,Armored Fighting Vehicles,Self-Propelled Artillery,Towed Artillery,Rocket Projectors,Total Naval Assets,Aircraft Carriers,Frigates,Destroyers,Corvettes,Submarines,Patrol Craft,Mine Warfare Vessels,Production (bbl/dy),Consumption (bbl/dy),Proven Reserves (bbl),Labor Force,Merchant Marine Strength,Major Ports / Terminals,Roadway Coverage (km),Railway Coverage (km),Serivecable Airports,Defense Budget,External Debt,Foreign Exchange / Gold,Purchasing Power Parity,Square Land Area (km),Coastline (km),Shared Borders (km),Waterways (km)
Australia,AUS,22,22992654,10700000,8800000,280000,81000,60000,21000,465,78,78,161,158,210,22,59,2040,0,75,0,47,2,11,0,0,6,13,6,354300,1085000,1200000000,12630000,41,20,818356,38445,480,24100,1692000,54300,1189000,7741220,25760,0,2000
North Korea,NKO,23,25115311,13000000,10100000,415000,6445000,945000,5500000,944,458,572,100,169,202,20,5025,4100,2250,4300,2400,967,0,11,0,2,76,438,25,100,15000,0,14000000,158,8,25554,5242,82,7500,5000,6000,40000,120538,2495,1607,2250
Saudi Arabia,SAR,24,28160273,15300000,14000000,510000,256000,231000,25000,790,177,245,221,243,227,21,1142,5472,524,432,322,55,0,7,0,4,0,11,3,9735000,3000000,269000000000,12020000,72,4,221372,1378,214,56725,200900,553700,1731000,2149690,2640,4272,Minimum not met.
Algeria,ALG,25,40263711,20400000,17250000,675000,792350,520000,272350,502,89,99,266,68,257,38,2405,6754,220,270,176,85,0,8,0,13,6,43,1,1370000,350000,12000000000,11780000,38,9,111261,3973,157,10570,5934,115000,609400,2381741,998,6734,Minimum not met.
Canada,CAN,26,35362905,16000000,13025000,425000,111250,79000,32250,414,60,64,215,141,168,0,80,3004,0,161,0,63,0,12,0,0,4,20,0,3603000,2430000,171000000000,19420000,181,12,1042300,46552,1467,15500,1608000,82500,1674000,9984670,202080,8893,636
Spain,SPA,27,48563476,23000000,18725000,423000,174700,124100,50600,533,109,108,181,171,173,10,327,2493,96,143,0,46,2,12,0,0,3,8,6,6420,1205000,150000000,22890000,132,9,681298,15293,150,11600,2094000,53970,1690000,505370,4964,1953,1000
Greece,GRE,28,10773253,5000000,4050000,105000,413750,161500,252250,600,206,206,215,146,223,29,1345,4209,547,463,152,115,0,13,0,0,11,25,4,1162,285000,10000000,4761000,860,5,116711,2548,77,6540,506600,6026,290500,131957,13676,1110,6
Sweden,SWE,29,9880604,4065000,3400000,110000,43875,21875,22000,198,72,74,53,66,49,0,120,2470,0,0,0,63,0,0,0,9,5,14,8,1000,300000,0,5277000,135,9,572900,11633,231,6215,939900,58110,498100,450295,3218,2211,2052
Ukraine,UKR,30,44209733,22250000,15700000,482000,1182000,182000,1000000,238,39,66,89,40,87,34,2449,8217,1302,1669,625,25,0,1,0,1,0,3,1,40500,317000,400000000,18040000,134,6,169495,21658,187,4880,127700,16010,349800,603550,2782,5618,2150
Myanmar,MYA,31,56890418,30000000,21635000,1030000,516000,406000,110000,249,56,77,97,58,86,9,592,1358,108,884,108,155,0,5,0,3,0,40,1,20000,28120,50000000,37150000,29,3,34377,5031,64,2400,9041,8913,311100,676578,1930,6522,12800
Czech Republic,CZR,32,10644842,5000000,4062000,98000,29050,22000,7050,109,12,31,52,14,56,17,123,518,86,93,0,0,0,0,0,0,0,0,0,3000,188000,15000000,5494000,1,3,130671,9469,128,2220,128900,78620,350900,78867,Landlocked,2046,664
Malaysia,MLY,33,30949962,15000000,12425000,520000,420000,110000,310000,232,36,55,96,73,88,0,74,1318,0,184,54,61,0,2,0,6,2,41,4,597500,625000,3600000000,14770000,315,5,98721,1849,114,4700,187500,97380,863800,329847,4675,2742,7200
Mexico,MEX,34,123166749,60000000,48885000,2175000,383575,273575,110000,452,0,42,239,160,209,0,0,695,12,375,0,143,0,6,0,3,0,131,11,2459000,2045000,9700000000,53740000,52,8,366095,17166,1714,7000,484600,176400,2307000,1964375,9330,4389,2900
Argentina,ARG,35,43886748,20000000,17000000,665000,127720,75000,52720,248,32,64,102,59,86,0,390,828,43,289,32,42,0,0,4,9,3,6,0,532100,760000,2400000000,17710000,36,8,231374,36966,1138,4330,155100,32110,879400,2780400,4989,11968,11000
Norway,NOR,36,5265158,2150000,1755000,65000,72500,26500,46000,106,46,46,38,14,35,0,52,684,54,150,0,62,0,5,0,0,6,16,9,1568000,223000,5100000000,2794000,585,6,93509,4169,95,7000,642300,57460,364700,323802,25148,2566,1577
Switzerland,SWI,37,8179294,3615000,3000000,90000,171000,21000,150000,183,64,63,61,61,42,0,134,1032,224,0,0,0,0,0,0,0,0,0,0,500,265000,0,5173000,38,1,71454,4876,63,4830,1664000,602700,494300,41277,Landlocked,1770,1299
Netherlands,NET,38,17016967,7800000,6325000,202000,53205,42705,10500,164,61,66,45,23,74,28,0,979,18,0,0,56,0,2,4,0,4,4,6,28120,990000,144700000,7919000,744,7,139295,3013,29,9840,4284000,38210,865900,41543,451,1053,6237
Peru,PER,39,30741062,15200000,12355000,605000,369330,100830,268500,267,28,68,107,60,97,16,85,890,12,243,80,60,0,8,0,6,6,9,0,69300,172000,700000000,17120000,22,8,140672,1907,191,2560,69780,60410,409900,1285216,2414,7062,8808
Colombia,COL,40,47220856,24000000,19015000,845000,511550,369100,142450,457,19,56,304,62,250,0,0,1345,0,155,0,234,0,4,0,1,11,55,0,989900,306000,2300000000,24430000,12,7,141374,874,836,12145,110900,46080,690400,1138910,3208,6672,24725
Ethiopia,ETH,41,102374044,40000000,24800000,1950000,162000,162000,0,80,24,24,34,14,33,8,800,800,85,700,183,0,0,0,0,0,0,0,0,100,57000,430000,50970000,8,2,36469,681,57,340,22490,2956,174700,1104300,Landlocked,5925,104300
Romania,ROM,42,21599736,11050000,9060000,230000,177750,72750,105000,134,31,26,78,26,68,0,827,1456,0,413,188,48,0,3,0,7,0,20,5,83350,215250,600000000,9133000,5,6,82386,10785,45,2190,101400,39860,441000,238391,225,2844,1731
Nigeria,NIG,43,186053386,72400000,40710000,3456000,181000,124000,57000,110,9,22,53,40,39,9,148,1420,25,339,30,75,0,2,0,0,0,93,0,2423000,302000,37000000000,58800000,89,3,193200,3505,54,2330,39100,23470,1089000,923768,853,4477,8600
Syria,SYR,44,17185170,11600000,10000000,502000,304000,154000,150000,461,206,225,142,65,167,28,4640,4510,436,2150,650,56,0,2,0,0,0,14,7,22660,260000,2500000000,3370000,19,3,68157,2052,90,1872,5918,504,55800,185180,193,2363,900
Venezuela,VEN,45,30912302,14200000,11700000,552000,123000,115000,8000,280,39,33,143,96,88,10,696,700,57,104,52,50,0,6,0,4,2,13,0,2500000,785000,300000000000,14160000,53,5,96155,806,444,4000,91990,10430,468600,912050,2800,5267,7100
South Africa,SAF,46,54300704,26000000,14100000,965000,94050,78050,16000,231,17,17,109,88,95,12,195,2265,43,97,50,30,0,4,0,0,3,30,4,3000,605000,15000000,21700000,3,5,362099,20192,566,4610,129700,44600,736300,1219090,2798,5244,Minimum not met.
Chile,CHI,47,17650114,8600000,7200000,280000,137850,65000,72850,243,44,44,104,78,84,0,300,2346,48,0,8,69,0,8,0,0,4,23,0,6666,340000,150000000,8777000,42,7,80505,7082,481,5483,160000,36790,436100,756102,6435,7801,12290
Uzbekistan,UZB,48,29473614,15800000,13312000,602000,76500,56500,20000,175,69,89,50,2,70,25,420,715,143,880,109,0,0,0,0,0,0,0,0,65000,106000,600000000,17800000,0,1,86496,3645,53,70,15750,14500,202300,447400,420,6893,1100
Belarus,BLR,49,9570376,5000000,3710000,100620,401250,56500,344750,193,43,105,34,21,62,21,515,2321,583,290,123,0,0,0,0,0,0,0,0,30000,187000,200000000,4546000,0,1,86392,5537,65,725,34750,4206,165400,207600,Landlocked,3599,2500
Philippines,PHI,50,102624209,50700000,41575000,2100000,498250,172500,325750,149,0,8,74,22,98,0,45,778,0,270,0,119,0,4,0,10,0,36,0,21000,300000,100000000,42800000,446,6,213151,995,247,3000,77460,79990,801900,300000,36289,0,3219
Angola,ANG,51,20172332,6030000,3040000,310000,175500,107000,68500,285,60,78,128,48,118,15,244,538,28,332,115,57,0,0,0,0,0,38,2,1742000,133000,8400000000,10850000,7,4,51429,2764,176,4150,37700,20430,187300,1246700,1600,5369,1300
Denmark,DEN,52,5593785,2500000,2020000,75000,75150,20800,54350,84,33,35,36,10,34,0,57,673,12,0,0,90,0,9,0,0,0,8,6,165200,155000,611000000,2825000,367,8,73197,2667,80,4440,484800,61800,264800,43094,7314,140,400
Austria,AST,53,8711770,4000000,3600000,95000,170000,25000,145000,123,15,15,110,31,67,0,56,393,83,0,0,0,0,0,0,0,0,0,0,17250,265000,47500000,3944000,3,4,110778,6399,52,3220,689100,22240,415900,83871,Landlocked,2524,Minimum not met.
Morocco,MOR,54,33655786,17000000,14406000,600000,373000,198000,175000,278,46,50,158,80,128,0,1276,2348,448,192,72,121,0,3,0,4,0,18,0,500,210000,680000,12230000,26,5,58395,2067,55,3400,42980,24670,282800,446550,1835,2363,Minimum not met.
Kazakhstan,KAZ,55,18360353,8500000,6440000,245000,106500,74500,32000,239,91,142,64,17,67,18,300,1613,285,744,393,15,0,0,0,0,0,12,0,1632000,260000,30000000000,9059000,11,5,97418,15333,96,2435,147700,30100,460700,2724900,26,13364,Minimum not met.
Finland,FIN,56,5498211,2300000,1900000,65000,262050,29350,232700,153,54,54,31,64,27,0,160,1370,90,871,58,270,0,0,0,0,0,8,18,8500,200000,0,2675000,97,6,78141,5919,148,3660,544700,10500,230000,338145,1250,2563,7842
Bangladesh,BAN,57,156186882,37000000,66110000,3300000,225000,160000,65000,166,45,45,65,53,61,0,534,942,18,0,32,89,0,6,0,4,0,28,5,4000,119000,28000000,83590000,62,3,21269,2622,18,1590,37260,29770,628400,143998,580,4413,8370
Azerbaijan,AZR,58,9872765,5000000,3750000,150000,374500,67000,307500,135,18,29,64,19,93,17,520,1590,119,240,191,31,0,1,0,0,4,12,7,845900,93000,7000000000,4961000,90,1,52942,2918,37,3185,12650,7453,167900,86600,713,2468,Minimum not met.
Iraq,IRQ,59,38146025,16000000,13015000,655000,318000,168000,150000,151,13,15,93,61,161,32,301,5173,103,136,59,60,0,0,0,0,0,23,0,3368000,770000,143000000000,8900000,2,3,44900,2272,102,6055,68010,44150,596700,438317,58,3809,5279
United Arab Emirates,UAE,60,5927482,3660000,3100000,52000,64000,64000,0,536,104,96,209,167,203,30,464,2204,177,105,54,75,0,0,0,2,0,12,2,2820000,700000,98000000000,5242000,61,6,4080,0,43,14375,220400,84930,667200,83600,1318,1066,Minimum not met.
Bolivia,BOL,61,10969649,5000000,3780000,215000,81900,44800,37100,85,0,0,36,39,38,0,54,137,0,86,0,173,0,0,0,0,0,11,0,51130,68000,209800000,4993000,18,1,80488,3652,855,315,11830,11000,78350,1098581,Landlocked,7252,10000
Portugal,POR,62,10833816,5030000,4122000,117000,268500,35000,233500,137,64,64,36,27,25,0,133,1080,18,60,0,41,0,5,0,7,2,18,0,500,241000,0,5167000,109,4,82900,3319,64,3800,449000,19400,297100,92090,1793,1224,210
Hungary,HUN,63,9874784,4650000,3800000,115000,77250,23250,54000,33,11,11,18,2,16,0,32,1123,0,300,65,0,0,0,0,0,0,0,0,11410,135000,27190000,4564000,0,6,199567,8057,41,1040,131200,31620,267600,103000,Landlocked,2106,1622
Yemen,YEM,64,27392779,11040000,8175000,565000,43500,43500,0,169,77,77,56,21,61,14,826,3007,25,280,423,30,0,0,0,2,0,23,3,125100,145000,3000000000,7470000,5,3,71300,0,57,1440,7661,639,73450,527968,1906,1601,Minimum not met.
Singapore,SIN,65,5781728,1260000,2110000,53000,504500,72000,432500,226,92,119,63,36,76,17,196,2192,48,262,18,40,0,6,0,6,6,11,2,500,1300000,0,3661000,1599,1,3356,0,9,9700,467400,249700,486900,697,193,0,10
Belgium,BEL,66,11409077,4800000,3815000,117015,38800,32300,6500,173,49,49,51,71,37,0,0,545,0,0,0,17,0,2,0,0,0,2,6,10530,615000,0,5272000,87,8,153595,3233,41,5085,1281000,24100,508600,30528,67,1297,2043
Bulgaria,BUL,67,7144653,3300000,2700000,66000,52650,33150,19500,66,15,31,28,13,22,0,531,1103,150,350,100,29,0,4,0,3,0,0,10,1000,94000,15000000,2525000,22,2,19512,4152,68,700,42420,25120,143100,110880,354,1806,470
Croatia,CRO,68,4313707,2100000,1612000,55500,21525,18525,3000,74,12,12,23,19,36,0,72,574,21,70,92,28,0,0,0,0,0,4,1,10070,84000,71000000,1610000,77,6,29343,2722,69,958,48110,14460,94240,56594,5835,2237,785
Afghanistan,AFG,69,33332025,14000000,8000000,765000,200000,200000,0,205,0,15,158,0,142,6,0,9562,0,200,50,0,0,0,0,0,0,0,0,0,50000,0,7983000,0,2,42150,0,43,11500,1280,66810,64080,652230,Landlocked,5987,1200
Ecuador,ECU,70,16080778,7600000,6105000,300000,158500,40000,118500,122,10,10,69,49,45,0,232,385,12,100,18,19,0,2,0,6,2,3,0,556400,255000,8832000000,4848000,44,4,43670,965,432,2400,33220,2163,182400,283560,2237,2237,1500
Sudan,SUD,71,36729501,20850000,13320000,1045000,282150,177150,105000,181,46,84,52,6,70,41,360,415,16,750,25,18,0,0,0,0,0,12,0,64770,94500,5000000000,11920000,2,1,11900,5978,74,2470,51100,167,176300,1861484,853,6819,1723
Jordan,JOR,72,8185384,3300000,2825000,143000,170600,105600,65000,260,46,74,96,58,134,47,1321,2547,461,72,88,37,0,0,0,0,0,27,0,50,111000,1000000,2205000,12,1,7891,507,18,1500,26660,15180,86190,89342,26,1744,540
Libya,LIB,73,6541948,3500000,3000000,117000,100000,35000,65000,121,21,20,25,63,26,8,340,699,50,150,100,5,0,1,0,1,0,0,5,470000,250000,48360000000,1153000,23,4,100024,2757,146,3000,3531,55400,90890,1759540,1770,4339,Minimum not met.
Slovakia,SLK,74,5445802,2780000,2300000,62000,14675,14675,0,42,12,12,24,7,16,0,22,478,16,0,17,0,0,0,0,0,0,0,0,200,71000,9000000,2724000,11,2,43916,3622,35,1025,75040,2657,169100,49035,Landlocked,1587,172
Cuba,CUB,75,11179995,6000000,4825000,142000,1256000,69500,1186500,80,39,39,12,25,14,4,50,1830,100,250,100,12,0,0,0,0,0,12,0,50000,171000,124000000,5117000,3,8,60858,8203,133,700,26320,13100,128500,110860,3735,29,240
Democratic Republic of the Congo,DRC,76,81331050,16000000,20500000,1750000,144625,144625,0,41,2,6,36,0,27,8,200,210,0,100,0,20,0,0,0,0,0,1,0,20000,9320,180000000,31080000,1,11,153497,4007,198,162,5331,774,66010,2344858,37,10481,15000
Kenya,KEN,77,46790758,19300000,12470000,840000,29150,24150,5000,131,17,17,41,33,61,0,76,591,30,25,0,19,0,0,0,0,0,6,0,0,84000,0,18660000,5,2,160886,2066,197,595,20250,7374,152700,580367,536,3457,Minimum not met.
Tunisia,TUN,78,11134588,5800000,5000000,178000,50150,38150,12000,148,12,12,89,40,83,0,199,679,19,162,0,50,0,0,0,0,0,26,6,55050,90000,400000000,4038000,9,5,19418,2165,29,550,27230,6276,130800,163610,1148,1495,Minimum not met.
Oman,OMA,79,3355262,1730000,1500000,63000,61800,57300,4500,116,17,27,55,27,50,0,117,950,15,168,12,16,0,0,0,5,0,8,0,943500,154000,5300000000,968800,5,3,60240,0,132,6715,20850,14540,173100,309500,2092,1561,Minimum not met.
Kuwait,KUW,80,2832776,1620000,1365000,34000,46500,15500,31000,106,27,27,31,28,43,16,368,861,98,0,27,38,0,0,0,0,0,106,0,2619000,470000,104000000000,2546000,34,5,5749,0,7,5200,47890,28720,301100,17818,499,475,Minimum not met.
Zimbabwe,ZIM,81,14546961,5500000,3175000,310000,52000,30000,22000,92,10,10,39,46,28,6,72,172,0,26,64,0,0,0,0,0,0,0,0,50,19000,0,8098000,0,2,97267,3427,196,95,10900,326,28330,390757,Landlocked,3229,Minimum not met.
Georgia,GEO,82,4928052,2250000,1825000,58000,35825,30325,5500,68,0,11,32,13,42,11,220,1946,118,230,265,9,0,0,0,0,0,4,0,1000,17000,35000000,1959000,142,2,20329,1612,22,380,13650,2855,37380,69700,310,1814,4349
Serbia,SER,83,7143921,3500000,2755000,86000,90075,40075,50000,121,24,41,40,38,39,0,805,575,72,144,82,19,0,0,0,0,0,7,5,16840,77200,100000000,2910000,0,0,41913,3379,26,830,31640,11640,101500,77474,Landlocked,2322,587
Sri Lanka,SRL,84,22235000,10850000,8755000,330000,300700,202500,98200,69,1,23,51,6,45,9,102,571,0,154,27,40,0,0,0,0,0,190,0,0,95000,0,9062000,21,1,114093,1449,19,1500,47650,7060,237800,65610,1340,0,160
Zambia,ZAM,85,15510711,6000000,3435000,320000,19600,15100,4500,81,18,18,25,29,25,0,25,234,0,42,50,0,0,0,0,0,0,0,0,100,21250,0,7116000,0,1,91440,2157,88,245,9270,2046,65170,752618,Landlocked,6043,2250
Turkmenistan,TKM,86,5291317,2770000,2255000,110000,30000,30000,0,72,24,44,18,0,25,10,712,1941,68,269,110,4,0,0,0,0,0,6,0,242900,132350,600000000,2305000,11,1,58592,2980,26,200,502,10900,94770,488100,1768,4158,1300
Mongolia,MON,87,3031330,1800000,1500000,61000,150275,10275,140000,9,0,0,10,0,6,0,420,640,0,300,130,0,0,0,0,0,0,0,0,20850,25110,500000,11640000,57,0,49249,1908,44,70,18670,6000,36650,1564116,Landlocked,8082,580
Chad,CHD,88,11852462,4600000,2580000,260000,30500,30500,0,38,1,9,20,4,19,5,60,332,10,51,10,0,0,0,0,0,0,0,0,103400,125000,1500000000,5457000,0,0,40000,0,59,120,1875,627,30590,1284000,Landlocked,6406,Minimum not met.
Cambodia,CMB,89,15957223,8000000,5605000,310000,195000,125000,70000,22,0,0,21,0,17,0,550,300,0,600,0,27,0,0,0,0,0,26,0,500,48000,0,6643000,544,2,39618,690,16,192,8460,8477,58940,181035,443,2530,3700
Albania,ALB,90,3038594,1515000,1300000,62000,64000,50000,14000,23,0,0,23,0,23,0,0,933,0,0,0,38,0,0,0,0,0,28,2,20510,40000,200000000,1179000,17,4,18000,339,4,110,7797,3213,34210,28748,362,691,41
Qatar,QTR,91,2258283,600000,465000,12000,12000,12000,0,98,9,15,53,28,43,0,92,464,24,12,21,80,0,0,0,0,0,69,0,1540000,220000,25000000000,1691000,28,3,7790,0,6,1930,159200,36030,334500,11586,563,87,Minimum not met.
Uganda,UGA,92,38319241,14300000,8515000,845000,56500,45000,11500,43,10,13,19,10,21,5,240,1060,0,27,26,8,0,0,0,0,0,8,0,0,18180,2500000000,19030000,0,0,20000,1244,47,280,6241,2851,84930,241038,Landlocked,2729,Minimum not met.
Armenia,ARM,93,3051250,1700000,1400000,45000,215700,44800,170900,64,0,11,18,12,42,15,229,636,38,150,150,0,0,0,0,0,0,0,0,0,50000,0,1559000,0,0,7705,869,11,225,8365,1512,26560,29743,Landlocked,1570,Minimum not met.
Bahrain,BAH,94,1378904,800000,680000,17120,47405,11600,35805,102,25,25,28,29,62,22,180,277,13,26,9,39,0,1,0,0,0,10,0,49500,49000,100000000,809700,8,2,4122,0,4,730,21160,3260,66370,760,161,0,Minimum not met.
Lithuania,LIT,95,2854235,1800000,1400000,40000,23015,16015,7000,10,0,1,8,0,5,0,0,432,0,54,0,12,0,0,0,0,0,4,4,2000,75270,12000000,1459000,38,2,84166,1767,61,430,34480,1697,85790,65300,90,1545,441
Tanzania,TAN,96,52482726,10000000,11750000,1030000,110000,30000,80000,30,14,14,11,8,2,0,30,150,0,12,0,19,0,0,0,0,0,12,0,0,52520,0,26960000,94,2,86472,3689,166,220,15890,3771,150600,947300,1424,4161,Minimum not met.
Nepal,NEP,97,29033914,14600000,11210000,750000,157000,95000,62000,22,0,0,22,0,18,0,0,1480,0,120,0,0,0,0,0,0,0,0,0,0,19250,0,15200000,0,0,17282,59,47,210,4990,8054,71520,147181,Landlocked,3159,Minimum not met.
Lebanon,LEB,98,6237738,2200000,1865000,72000,116000,96000,20000,63,0,0,48,8,54,0,294,3796,12,226,30,57,0,0,0,0,0,12,0,0,105000,0,1628000,29,2,6970,401,8,1735,40740,47740,85160,10400,225,484,170
South Sudan,SSU,99,12530717,6700000,4260000,335000,197500,197500,0,9,0,0,9,0,9,0,110,250,24,0,15,0,0,0,0,0,0,0,0,440000,65000,3750000000,750000,0,0,7000,236,85,545,2250,100,20880,644329,Landlocked,6018,Minimum not met.
Guatemala,GUA,100,15189958,6600000,5518000,340000,106775,16775,90000,35,0,4,27,4,19,0,20,134,0,88,0,26,0,0,0,0,0,10,0,10050,80000,83070000,4623000,0,2,11501,332,291,210,19090,8803,132300,108889,400,1667,990
Ghana,GHA,101,26908262,12500000,8360000,530000,13500,13500,0,25,0,0,13,5,14,0,0,300,0,0,0,20,0,0,0,0,0,11,0,105000,67000,660000000,11990000,4,2,109515,947,10,120,21170,6137,120800,238533,539,2420,1293
New Zealand,NWZ,102,4474549,2100000,1675000,60000,11300,9000,2300,48,0,0,30,15,21,0,0,155,0,24,0,11,0,2,0,0,0,6,0,39860,153000,67200000,2562000,15,6,94160,4128,123,1870,81390,18550,174800,267710,15134,0,Minimum not met.
