id,cast
406,Vincent Cassel
406,Hubert Koundé
406,Saïd Taghmaoui
45549,Sadie Frost
45549,Jude Law
45549,Sean Pertwee
63076,Nick Broomfield
63076,Heidi Fleiss
63076,Madam Alex
11062,Al Pacino
11062,John Cusack
11062,Bridget Fonda
13685,Luke Wilson
13685,Owen Wilson
13685,Lumi Cavazos
47475,Ellen DeGeneres
47475,Bill Pullman
47475,Joan Cusack
2045,Ray Liotta
2045,Linda Fiorentino
2045,Peter Coyote
9614,Adam Sandler
9614,Ben Stiller
9614,Christopher McDonald
688,Meryl Streep
688,Clint Eastwood
688,Annie Corley
11907,[]
10874,Tim Curry
10874,Kevin Bishop
10874,Jennifer Saunders
89333,Christy Turlington
89333,Azzedine Alaïa
89333,Giorgio Armani
96357,[]
197,Mel Gibson
197,Catherine McCormack
197,Sophie Marceau
103,Robert De Niro
103,Cybill Shepherd
103,Harvey Keitel
33542,Jackie Chan
33542,Anita Mui
33542,Françoise Yip
43566,Meryl Streep
43566,Liam Neeson
43566,Edward Furlong
71754,Helena Bonham Carter
71754,Clive Russell
71754,Craig Olejnik
43612,[]
51352,Kenneth Branagh
51352,Glenn Close
16934,Tobias Arnold
16934,Ruth Sheen
16934,Roger Lloyd Pack
10324,Sarah Jessica Parker
10324,Elle Macpherson
10324,Scarlett Johansson
78406,Andy García
78406,Alan Arkin
78406,Rachel Ticotin
55731,[]
32119,Henry Czerny
32119,Johnny Morina
32119,Brian Dooley
11066,Eddie Murphy
11066,Robin Givens
11066,Halle Berry
11104,Brigitte Lin
11104,Tony Leung Chiu-Wai
11104,Faye Wong
37975,Sergio Castellitto
37975,Tiziana Lodato
37975,Franco Scaldati
2074,Ben Stiller
2074,Patricia Arquette
2074,Téa Leoni
27793,Jason James Richter
27793,Melody Kay
27793,Kevin McNulty
44284,[]
290157,[]
110972,Josh Charles
110972,Anne Heche
110972,John Goodman
32622,Miranda Rhyne
32622,Charlotte Eve Blythe
32622,Anna Levine
73067,Matt Dillon
73067,Corban Walker
73067,Gabriel Byrne
11863,David Caruso
11863,Linda Fiorentino
11863,Chazz Palminteri
55475,[]
124636,[]
9101,Kelsey Grammer
9101,Lauren Holly
9101,Rob Schneider
123360,[]
5757,Dirk Shafer
5757,Mary Stein
5757,Claudette Sutherland
39428,[]
124639,[]
9302,Robert Redford
9302,Michelle Pfeiffer
9302,Stockard Channing
11000,Robin Williams
11000,Gene Hackman
11000,Nathan Lane
249882,[]
16388,Shari Albert
16388,Maxine Bahns
16388,Catharine Bolz
9737,Will Smith
9737,Martin Lawrence
9737,Téa Leoni
30765,Stephen Lang
30765,Ryan Slater
30765,Yi Ding
10474,Leonardo DiCaprio
10474,Lorraine Bracco
10474,James Madio
22279,Alan Rickman
22279,Hugh Grant
22279,Georgina Cates
30157,Isabelle Huppert
30157,Martin Donovan
30157,Elina Löwensohn
568,Tom Hanks
568,Bill Paxton
568,Kevin Bacon
11780,Liam Neeson
11780,Jessica Lange
11780,John Hurt
34996,Lili Taylor
34996,Christopher Walken
34996,Annabella Sciorra
414,Val Kilmer
414,Tommy Lee Jones
414,Jim Carrey
649,Catherine Deneuve
649,Michel Piccoli
649,Jean Sorel
1873,Patricia Arquette
1873,Frances McDormand
1873,U Aung Ko
5894,Harvey Keitel
5894,Lou Reed
5894,Michael J. Fox
1775,John Candy
1775,Alan Alda
1775,Rhea Perlman
8839,Christina Ricci
8839,Bill Pullman
8839,Cathy Moriarty
20649,Harvey Keitel
20649,John Turturro
20649,Delroy Lindo
10329,Laura Linney
10329,Dylan Walsh
10329,Ernie Hudson
8963,Denzel Washington
8963,Gene Hackman
8963,Matt Craven
26564,Robert Crumb
26564,Aline Kominsky
26564,Charles Crumb
8068,Antonio Banderas
8068,Salma Hayek
8068,Joaquim de Almeida
8512,Denzel Washington
8512,Tom Sizemore
8512,Jennifer Beals
1572,Bruce Willis
1572,Jeremy Irons
1572,Samuel L. Jackson
13552,Rose McGowan
13552,James Duval
13552,Johnathon Schaech
259209,Embeth Davidtz
259209,Tom Bell
259209,Gemma Jones
6520,Sean Connery
6520,Richard Gere
6520,Julia Ormond
9073,Jason James Richter
9073,Michael Madsen
9073,Jayne Atkinson
10428,Jonny Lee Miller
10428,Angelina Jolie
10428,Jesse Bradford
17447,Steven Weber
17447,Patrick Stewart
17447,Michael T. Weiss
9886,Keanu Reeves
9886,Dina Meyer
9886,Takeshi Kitano
9482,Sylvester Stallone
9482,Diane Lane
9482,Armand Assante
19326,Pauly Shore
19326,Tia Carrere
19326,Stanley Tucci
9344,Leo Fitzpatrick
9344,Rosario Dawson
9344,Chloë Sevigny
9071,Steve Buscemi
9071,Catherine Keener
9071,Dermot Mulroney
8973,Scott Bakula
8973,Kevin J. O'Connor
8973,Famke Janssen
15730,Thomas Gibson
15730,Ruth Marshall
15730,Cameron Bancroft
47608,Chris O'Donnell
47608,Drew Barrymore
47608,Matthew Lillard
2293,Jason Lee
2293,Jeremy London
2293,Shannen Doherty
9070,Amy Jo Johnson
9070,Jason David Frank
9070,David Yost
68274,[]
48787,Marina Zudina
48787,Fay Ripley
48787,Evan Richards
34574,Elina Löwensohn
34574,Peter Fonda
34574,David Lynch
1642,Sandra Bullock
1642,Jeremy Northam
1642,Dennis Miller
11472,Hugh Grant
11472,Julianne Moore
11472,Tom Arnold
36196,Parker Posey
36196,Liev Schreiber
36196,Anthony DeSando
11980,Christopher Walken
11980,Elias Koteas
11980,Virginia Madsen
58372,Mia Farrow
58372,Tony Goldwyn
58372,Scott Glenn
32646,Julianne Moore
32646,Xander Berkeley
32646,Dean Norris
10533,Demi Moore
10533,Gary Oldman
10533,Robert Duvall
56088,[]
10802,Elizabeth Berkley
10802,Kyle MacLachlan
10802,Gina Gershon
10149,Harvey Keitel
10149,William Hurt
10149,Giancarlo Esposito
18402,Julia Roberts
18402,Dennis Quaid
18402,Robert Duvall
9348,Natasha Henstridge
9348,Ben Kingsley
9348,Michael Madsen
139408,[]
281,Ralph Fiennes
281,Angela Bassett
281,Tom Sizemore
5967,Catherine Deneuve
5967,Nino Castelnuovo
5967,Anne Vernon
79593,Daryl Hannah
79593,Keith Carradine
79593,Moira Kelly
47939,Patrick Swayze
47939,Mary Elizabeth Mastrantonio
47939,Joseph Mazzello
36834,Leonardo DiCaprio
36834,David Thewlis
36834,Romane Bohringer
9090,Patrick Swayze
9090,Wesley Snipes
9090,John Leguizamo
3512,Steven Seagal
3512,Eric Bogosian
3512,Everett McGill
52856,Andie MacDowell
52856,John Turturro
52856,Michael Richards
77350,Sandra Bernhard
77350,Isaac Mizrahi
77350,Naomi Campbell
9560,Keanu Reeves
9560,Aitana Sánchez-Gijón
9560,Anthony Quinn
9804,Kevin Costner
9804,Chaim Girafi
9804,Rick Aviles
31611,John Travolta
31611,Harry Belafonte
31611,Kelly Lynch
65796,[]
49805,Albert Finney
49805,Greta Scacchi
49805,Matthew Modine
26258,[]
50797,Nikita Mikhalkov
50797,Oleg Menshikov
50797,Ingeborga Dapkunaite
19155,Katrin Cartlidge
19155,Rade Serbedzija
19155,Grégoire Colin
76,Ethan Hawke
76,Julie Delpy
76,Andrea Eckert
11017,Adam Sandler
11017,Darren McGavin
11017,Bridgette Wilson
37141,Alicia Silverstone
37141,Jeremy London
37141,J.T. Walsh
9382,Whoopi Goldberg
9382,Mary-Louise Parker
9382,Drew Barrymore
6715,Brad Renfro
6715,Joseph Mazzello
6715,Annabella Sciorra
18256,Jeffrey Combs
18256,Barbara Crampton
18256,Jonathan Fuller
22625,Chris O'Donnell
22625,Minnie Driver
22625,Geraldine O'Rawe
2292,Brian O'Halloran
2292,Jeff Anderson
2292,Jason Mewes
1909,Johnny Depp
1909,Marlon Brando
1909,Faye Dunaway
8984,Michael Douglas
8984,Demi Moore
8984,Donald Sutherland
61813,[]
4954,Wesley Snipes
4954,Gary Busey
4954,Yancy Butler
62488,Dylan McDermott
62488,Nancy Travis
62488,James Le Gros
10531,Sigourney Weaver
10531,Ben Kingsley
10531,Stuart Wilson
11929,Kathy Bates
11929,Jennifer Jason Leigh
11929,Judy Parfitt
8467,Jim Carrey
8467,Jeff Daniels
8467,Lauren Holly
10451,Sihung Lung
10451,Yu-Wen Wang
10451,Jacklyn Wu 
20156,Bruce Greenwood
20156,Mia Kirshner
20156,Elias Koteas
18395,Dana Delany
18395,Paul Mercurio
18395,Rosie O'Donnell
522,Johnny Depp
522,Martin Landau
522,Sarah Jessica Parker
397,Meg Ryan
397,Kevin Kline
397,Timothy Hutton
10525,Billy Crystal
10525,Debra Winger
10525,Joe Mantegna
27985,Mimi Rogers
27985,Jesse Bradford
27985,Bruce Davison
15789,Bill Farmer
15789,Jason Marsden
15789,Rob Paulsen
27303,Jeff Goldblum
27303,Christine Lahti
27303,Alicia Silverstone
21183,Samuel L. Jackson
21183,Matthew Modine
21183,Nancy Travis
10954,Stefano Dionisi
10954,Enrico Lo Verso
10954,Elsa Zylberstein
47867,Ted Manson
47867,Afemo Omilami
43475,
72031,Ice Cube
72031,Lori Petty
72031,Erich Anderson
14275,William Gates
14275,Arthur Agee
14275,Steve James
1024,Melanie Lynskey
1024,Kate Winslet
1024,Sarah Peirse
17207,Sinbad
17207,Phil Hartman
17207,Jeffrey Jones
13701,Gary Oldman
13701,Jeroen Krabbé
13701,Isabella Rossellini
14819,Ben Stiller
14819,Aaron Schwartz
14819,Kenan Thompson
32631,Christopher Lambert
32631,John Lone
32631,Joan Chen
11777,Tim Robbins
11777,Meg Ryan
11777,Walter Matthau
628,Brad Pitt
628,Tom Cruise
628,Kirsten Dunst
87729,Nick Nolte
87729,Greta Scacchi
87729,Thandie Newton
18713,John G. Brennan
18713,Kamal Ahmed
18713,Alan Arkin
6280,Arnold Schwarzenegger
6280,Danny DeVito
6280,Emma Thompson
9061,Sean Connery
9061,Laurence Fishburne
9061,Blair Underwood
37108,Thomas Ian Nicholas
37108,Joss Ackland
37108,Art Malik
6071,David Caruso
6071,Samuel L. Jackson
6071,Nicolas Cage
11,Mark Hamill
11,Harrison Ford
11,Carrie Fisher
9587,Winona Ryder
9587,Gabriel Byrne
9587,Trini Alvarado
19101,Liesel Matthews
19101,Eleanor Bron
19101,Liam Cunningham
49980,Crissy Rock
49980,Vladimir Vega
49980,Sandie Lavelle
17961,Emmanuelle Béart
17961,François Cluzet
17961,Nathalie Cardone
18183,Marco Leonardi
18183,Lumi Cavazos
18183,Regina Torné
4476,Brad Pitt
4476,Anthony Hopkins
4476,Aidan Quinn
11008,Damon Wayans
11008,Orlando Brown
11008,Michael Ironside
47504,Edward Furlong
47504,Tim Roth
47504,Moira Kelly
32325,Angel Aviles
32325,Seidy López
32325,Jacob Vargas
43742,Warren Beatty
43742,Annette Bening
43742,Katharine Hepburn
28313,Jessica Lange
28313,Halle Berry
28313,David Strathairn
11318,Nigel Hawthorne
11318,Helen Mirren
11318,Ian Holm
3036,Robert De Niro
3036,Kenneth Branagh
3036,Tom Hulce
40490,Farrah Fawcett
40490,Chevy Chase
40490,Jonathan Taylor Thomas
24070,Steve Martin
24070,Madeline Kahn
24070,Robert Klein
8986,Melanie Griffith
8986,Ed Harris
8986,Michael Patrick Carter
10510,Richard Attenborough
10510,Elizabeth Perkins
10510,Dylan McDermott
17402,Sarah Jessica Parker
17402,Antonio Banderas
17402,Mia Farrow
38722,Edward James Olmos
38722,Jimmy Smits
38722,Esai Morales
8438,Christian Slater
8438,Kevin Bacon
8438,Gary Oldman
11593,Paul Newman
11593,Bruce Willis
11593,Melanie Griffith
1945,Jodie Foster
1945,Liam Neeson
1945,Natasha Richardson
39310,Sharron Corley
39310,Donald Faison
39310,Christine Baranski
109560,[]
56428,Elizabeth Hurley
56428,Craig Fairbrass
56428,Keith Allen
63105,[]
131957,Laura San Giacomo
131957,Michael O'Keefe
131957,Paul Rhys
241,Woody Harrelson
241,Juliette Lewis
241,Robert Downey Jr.
9058,Marisa Tomei
9058,Robert Downey Jr.
9058,Bonnie Hunt
527,Rena Owen
527,Temuera Morrison
527,Mamaengaroa Kerr-Bell
18220,Alyssa Milano
18220,Johnathon Schaech
18220,Xander Berkeley
6950,Dustin Hoffman
6950,Rene Russo
6950,Morgan Freeman
101,Jean Reno
101,Natalie Portman
101,Gary Oldman
63020,Marisa Tomei
63020,Alfred Molina
63020,Anjelica Huston
2307,William Baldwin
2307,John Leguizamo
2307,Эрика Элениак
680,John Travolta
680,Samuel L. Jackson
680,Uma Thurman
41478,[]
25296,[]
40156,Linus Roache
40156,Tom Wilkinson
40156,Robert Carlyle
11450,John Turturro
11450,Rob Morrow
11450,Ralph Fiennes
30304,Youki Kudoh
30304,Akira Takayama
30304,Tamlyn Tomita
10452,Isabelle Adjani
10452,Daniel Auteuil
10452,Jean-Hugues Anglade
12106,Sharon Stone
12106,Gene Hackman
12106,Russell Crowe
161495,Peter Falk
161495,D. B. Sweeney
161495,Julianne Moore
3586,Marcello Mastroianni
3586,Sophia Loren
3586,Jean-Pierre Cassel
110,Irène Jacob
110,Jean-Louis Trintignant
110,Jean-Pierre Lorit
108,Juliette Binoche
108,Benoît Régent
108,Florence Pernel
109,Zbigniew Zamachowski
109,Julie Delpy
109,Janusz Gajos
159185,Ning Jing
159185,Wu Gang
36357,[]
92769,[]
28033,Al Franken
28033,Laura San Giacomo
28033,Vincent D'Onofrio
22586,Michelle Nicastro
22586,Jack Palance
22586,Howard McGillin
14334,Jeni Courtney
14334,Eileen Colgan
14334,Mick Lally
2636,Sylvester Stallone
2636,Sharon Stone
2636,James Woods
2164,Kurt Russell
2164,James Spader
2164,Jaye Davidson
11395,Tim Allen
11395,Judge Reinhold
11395,Wendy Crewson
278,Tim Robbins
278,Morgan Freeman
278,Bob Gunton
9905,Kerry Fox
9905,Christopher Eccleston
9905,Ewan McGregor
87078,Dennis Haysbert
87078,Michael Harris
87078,Mel Harris
12527,Jorge Perugorría
12527,Vladimir Cruz
12527,Mirta Ibarra
20306,Kevin Spacey
20306,Frank Whaley
20306,Michelle Forbes
36614,Jack Thompson
36614,John Polson
36614,Deborah Kennedy
27993,Matt Frewer
27993,Valerie Mahaffey
27993,Lawrence Dane
31439,Ge You
31439,Gong Li
31439,Niu Ben
9067,Lori Petty
9067,Ice-T
9067,Naomi Watts
9059,Billy Zane
9059,William Sadler
9059,Jada Pinkett Smith
193,Patrick Stewart
193,Jonathan Frakes
193,Brent Spiner
25066,Clarence Williams III
25066,Corbin Bernsen
25066,David Alan Grier
46797,Willem Dafoe
46797,Miranda Richardson
46797,Rosemary Harris
12122,Christopher Reeve
12122,Kirstie Alley
12122,Linda Kozlowski
11381,Chris Farley
11381,David Spade
11381,Brian Dennehy
32636,Wallace Shawn
32636,Julianne Moore
32636,Larry Pine
36141,Peter Gallagher
36141,Alison Elliott
36141,William Fichtner
95963,Allen Payne
95963,Eddie Griffin
95963,Joe Morton
1587,Johnny Depp
1587,Leonardo DiCaprio
1587,Juliette Lewis
9271,Denzel Washington
9271,Russell Crowe
9271,Kelly Lynch
2064,Sandra Bullock
2064,Bill Pullman
2064,Peter Gallagher
19855,Elijah Wood
19855,Kevin Costner
19855,Mare Winningham
60855,Sandra Oh
60855,Stephen Chang
60855,Alannah Ong
236,Toni Collette
236,Bill Hunter
236,Rachel Griffiths
48287,Schuyler Fisk
48287,Bre Blair
48287,Rachael Leigh Cook
3049,Jim Carrey
3049,Sean Young
3049,Courteney Cox
2759,Terence Stamp
2759,Hugo Weaving
2759,Guy Pearce
12635,Stephen Dorff
12635,Ian Hart
12635,Sheryl Lee
10497,Hugh Grant
10497,Kristin Scott Thomas
10497,Emmanuelle Seigner
11382,John Cusack
11382,Dianne Wiest
11382,Jennifer Tilly
9331,Harrison Ford
9331,Willem Dafoe
9331,Anne Archer
10731,Susan Sarandon
10731,Tommy Lee Jones
10731,Mary-Louise Parker
10464,Whoopi Goldberg
10464,Ray Liotta
10464,Tina Majorino
34152,Alfre Woodard
34152,Delroy Lindo
34152,David Patrick Kelly
9495,Brandon Lee
9495,Rochelle Davis
9495,Ernie Hudson
29973,Tommy Lee Jones
29973,Robert Wuhl
29973,Lolita Davidovich
888,John Goodman
888,Elizabeth Perkins
888,Rick Moranis
13,Tom Hanks
13,Robin Wright
13,Gary Sinise
712,Hugh Grant
712,Andie MacDowell
712,James Fleet
16295,Omar Epps
16295,Kristy Swanson
16295,Michael Rapaport
48992,[]
10879,Nick Nolte
10879,Saul Rubinek
10879,James Rebhorn
10660,Nicolas Cage
10660,Bridget Fonda
10660,Rosie Perez
10714,Jason Scott Lee
10714,Cary Elwes
10714,Lena Headey
41647,Leni Riefenstahl
41647,Marlene Dietrich
41647,Walter Frentz
8587,Jonathan Taylor Thomas
8587,Matthew Broderick
8587,James Earl Jones
1689,Keanu Reeves
1689,Bridget Fonda
1689,Chris Isaak
11596,Heather Langenkamp
11596,Robert Englund
11596,Miko Hughes
854,Jim Carrey
854,Cameron Diaz
854,Nancy Fish
9359,Mel Gibson
9359,Jodie Foster
9359,James Garner
23333,Jennifer Jason Leigh
23333,Campbell Scott
23333,Matthew Broderick
36593,Leslie Nielsen
36593,Priscilla Presley
36593,George Kennedy
12280,Michael Keaton
12280,Robert Duvall
12280,Glenn Close
2788,Winona Ryder
2788,Ben Stiller
2788,Janeane Garofalo
10427,Nicolas Cage
10427,Dennis Hopper
10427,Lara Flynn Boyle
11011,Macaulay Culkin
11011,John Larroquette
11011,Edward Herrmann
49803,Susan Sarandon
49803,Nick Stahl
49803,Sam Shepard
8987,Meryl Streep
8987,David Strathairn
8987,Kevin Bacon
1637,Keanu Reeves
1637,Dennis Hopper
1637,Sandra Bullock
15128,Michael Keaton
15128,Geena Davis
15128,Christopher Reeve
8831,Jean-Claude Van Damme
8831,Mia Sara
8831,Ron Silver
36955,Arnold Schwarzenegger
36955,Jamie Lee Curtis
36955,Tom Arnold
10449,Andy García
10449,Meg Ryan
10449,Ellen Burstyn
10395,Jack Nicholson
10395,Christopher Plummer
10395,James Spader
12160,Kevin Costner
12160,Dennis Quaid
12160,Gene Hackman
40480,Laurence Fishburne
40480,Ellen Barkin
40480,Frank Langella
52038,[]
29444,[]
26352,Keenen Ivory Wayans
26352,Charles S. Dutton
26352,Jada Pinkett Smith
39953,James Andrews
39953,Mary Beth Aylesworth
39953,Mike Barbour
41580,Gérard Depardieu
41580,Fanny Ardant
41580,Fabrice Luchini
315,Tura Satana
315,Haji
315,Lori Williams
22067,Allen Payne
22067,Jada Pinkett Smith
22067,Bokeem Woodbine
18242,Nick Upton
18242,Deborah Collard
18242,Frank Passingham
11667,Jean-Claude Van Damme
11667,Raúl Juliá
11667,Ming-Na Wen
32502,[]
267188,[]
28732,[]
75555,[]
42981,[]
278939,[]
291731,[]
226229,Edward James Olmos
226229,Sean Young
226229,James Andronica
203119,[]
172923,[]
316098,[]
8011,Christopher Lambert
8011,Mario Van Peebles
8011,Deborah Kara Unger
171857,[]
2654,Sam Neill
2654,Julie Carmen
2654,Jürgen Prochnow
18069,Luke Perry
18069,Stephen Baldwin
18069,Cynthia Geary
19092,Duane Martin
19092,Tupac Amaru Shakur
19092,Bernie Mac
2758,Raúl Juliá
2758,Anjelica Huston
2758,Christopher Lloyd
38129,[]
10436,Daniel Day-Lewis
10436,Michelle Pfeiffer
10436,Winona Ryder
13595,Brendan Fraser
13595,Steve Buscemi
13595,Adam Sandler
46094,Kevin Bacon
46094,Charles Gitonga Maina
46094,Yolanda Vazquez
9409,Richard Dreyfuss
9409,Emilio Estevez
9409,Rosie O'Donnell
11853,Madeleine Stowe
11853,Mary Stuart Masterson
11853,Andie MacDowell
16771,Taylor Nichols
16771,Chris Eigeman
16771,Mira Sorvino
46924,Robin Williams
46924,Maudie Johnson
46924,Max Johnson
11041,Jim Varney
11041,Diedrich Bader
11041,Эрика Элениак
306,Eddie Murphy
306,Judge Reinhold
306,Héctor Elizondo
14522,Alan Cumming
14522,Sean Bean
14522,David Thewlis
26203,Madeleine Stowe
26203,Aidan Quinn
26203,James Remar
178,Jeff Bridges
178,Tommy Lee Jones
178,Suzy Amis
19819,Nick Nolte
19819,Shaquille O'Neal
19819,Mary McDonnell
57834,Jessica Lange
57834,Tommy Lee Jones
57834,Powers Boothe
4722,Gabrielle Anwar
4722,Terry Kinney
4722,Billy Wirth
18215,Julian Sands
18215,Sherilyn Fenn
18215,Bill Paxton
1607,Robert De Niro
1607,Chazz Palminteri
1607,Lillo Brancato
26391,Chris Elliott
26391,Ritch Brinkley
26391,James Gammon
117553,[]
6075,Al Pacino
6075,Sean Penn
6075,Penelope Ann Miller
11310,Billy Crystal
11310,Daniel Stern
11310,Jon Lovitz
18658,Dana Carvey
18658,Valeria Golino
18658,James Earl Jones
9350,Sylvester Stallone
9350,John Lithgow
9350,Michael Rooker
9612,Robert Knott
9612,Dan Aykroyd
9612,Jane Curtin
2124,Bruce Willis
2124,Jane March
2124,Rubén Blades
26261,Chevy Chase
26261,Jack Palance
26261,Dianne Wiest
19176,Woody Harrelson
19176,Kiefer Sutherland
19176,Dylan McDermott
49299,Harvey Keitel
49299,Madonna
49299,James Russo
11566,Kevin Kline
11566,Sigourney Weaver
11566,Frank Langella
9571,Jason London
9571,Rory Cochrane
9571,Wiley Wiggins
9739,Sylvester Stallone
9739,Wesley Snipes
9739,Sandra Bullock
24257,
34444,Uma Thurman
34444,Lorraine Bracco
34444,Pat Morita
26141,Armand Assante
26141,Sherilyn Fenn
26141,Kate Nelligan
10997,Leslie Cheung
10997,Gong Li
10997,Zhang Fengyi
50463,Harley Jane Kozak
50463,Elizabeth McGovern
50463,Bill Pullman
10443,Jeff Bridges
