id,keywords,cast,director
1408,"['exotic island', 'treasure', 'map', 'ship', 'scalp', 'pirate']","['Geena Davis', 'Matthew Modine', 'Frank Langella']",Renny Harlin
524,"['poker', 'drug abuse', '1970s', 'overdose', 'illegal prostitution']","['Robert De Niro', 'Sharon Stone', 'Joe Pesci']",Martin Scorsese
4584,"['bowling', 'based on novel', 'servant', 'country life', 'jane austen', 'inheritance', 'military officer', 'period drama', 'rainstorm', 'horse and carriage', 'decorum']","['Kate Winslet', 'Emma Thompson', 'Hugh Grant']",Ang Lee
5,"['hotel', ""new year's eve"", 'witch', 'bet', 'hotel room', 'sperm', 'los angeles', 'hoodlum', 'woman director', 'episode film']","['Tim Roth', 'Antonio Banderas', 'Jennifer Beals']",Allison Anders
9273,"['africa', 'indigenous', 'human animal relationship', 'bat']","['Jim Carrey', 'Ian McNeice', 'Simon Callow']",Steve Oedekerk
11517,"['brother brother relationship', 'subway', 'new york city', 'new york subway', 'train robbery']","['Wesley Snipes', 'Woody Harrelson', 'Jennifer Lopez']",Joseph Ruben
8012,"['gambling', 'miami', 'based on novel', 'job', 'murder', 'travel', 'mafia', 'money', 'debt', 'mobster', 'business', 'hollywood', 'gangster', 'crime', 'violence', 'drug', 'producer', 'con']","['John Travolta', 'Gene Hackman', 'Rene Russo']",Barry Sonnenfeld
1710,"['police brutality', 'psychology', 'police operation', 'police protection', 'serial killer', 'psychologist', 'cowardliness']","['Sigourney Weaver', 'Holly Hunter', 'Will Patton']",Jon Amiel
9691,"['competition', 'assassination', 'cia', 'bank', 'cat', 'mexican standoff', 'seattle', 'hitman', 'mission of murder', 'hidden camera', 'rivalry', 'rescue', 'shootout', 'police chase', 'sniper rifle', 'silencer', 'double cross', 'caribbean', 'detroit michigan']","['Sylvester Stallone', 'Antonio Banderas', 'Julianne Moore']",Richard Donner
12665,"['dead animal', 'shot to death', 'teenage boy', 'held at gunpoint', 'teacher student relationship', 'albino', 'fainting', 'jacobs ladder', 'christ allegory', 'psionic power', 'healing power', 'looking pale', 'flickering light', 'extrasensory perception']","['Mary Steenburgen', 'Sean Patrick Flanery', 'Lance Henriksen']",Victor Salva
451,"['individual', 'prostitute', 'alcohol', 'casino', 'love at first sight', 'lovesickness', 'film producer', 'screenwriter', 'hotel room', 'dying and death', 'rage and hate', 'unsociability', 'alcoholism', 'los angeles', 'alcohol abuse', 'attempted suicide']","['Nicolas Cage', 'Elisabeth Shue', 'Julian Sands']",Mike Figgis
16420,"['shakespeare', 'jealousy', 'friends', 'moor']","['Laurence Fishburne', 'Irène Jacob', 'Kenneth Branagh']",Oliver Parker
9263,"['1970s', 'female friendship', 'coming of age', 'gynecologist', 'photocopier', 'truth or dare', 'woman director']","['Christina Ricci', ""Rosie O'Donnell"", 'Thora Birch']",Lesli Linka Glatter
17015,"['captain', 'napoleonic wars', 'old flame', 'admiral']","['Amanda Root', 'Ciarán Hinds', 'Susan Fleetwood']",Roger Michell
902,"['clone', 'dream', 'island', 'eye', 'dystopia', 'aging', 'friendship', 'rescue', 'children', 'girl', 'childhood']","['Ron Perlman', 'Dominique Pinon', 'Judith Vittet']",Jean-Pierre Jeunet
37557,"['servant', 'cabaret', 'shanghai', 'diva', 'uncle', 'mistress', 'umbrella']","['Gong Li', 'Li Bao-Tian', 'Wang Xiaoxiao']",Zhang Yimou
9909,"['rap music', 'karate', 'high school', 'naval officer', 'teacher', 'amusement park']","['Michelle Pfeiffer', 'George Dzundza', 'Courtney B. Vance']",John N. Smith
63,"['schizophrenia', 'philadelphia', 'cassandra syndrom', 'stockholm syndrome', 'time travel', 'post-apocalyptic', 'dystopia', 'lethal virus', 'monkey', 'subterranean']","['Bruce Willis', 'Madeleine Stowe', 'Brad Pitt']",Terry Gilliam
9598,"['sheep', 'pig', 'affection', 'piglet', 'heroism', 'talking animal', 'separation', 'german shepherd', 'grandson', 'talking pig']","['Christine Cavanaugh', 'Miriam Margolyes', 'Danny Mann']",Chris Noonan
47018,"['england', 'painter', 'conscientious objector', 'independent film', 'soldier']","['Emma Thompson', 'Jonathan Pryce', 'Steven Waddington']",Christopher Hampton
687,"['prison', 'rape', 'socially deprived family', 'penalty', 'death penalty', 'despair', 'death row', 'begnadigung', 'therapist', 'self-discovery', 'prison cell', 'court case', 'death sentence', 'doomed man', 'sentence', 'lethal injection', 'forgiveness', 'charity', 'mercy petition', 'rage and hate', 'unsociability', 'right and justice', 'court', 'electric chair', 'cowardliness']","['Susan Sarandon', 'Sean Penn', 'Robert Prosky']",Tim Robbins
139405,[],"['Peter Reznick', 'John McDonough', 'Avi Hoffman']",Stephen Low
33689,"['orphan', 'identical twin']","['Kirstie Alley', 'Steve Guttenberg', 'Ashley Olsen']",Andy Tennant
9603,"['puberty', 'high school', 'make a match', 'spoiled child', 'gay interest', 'conflict', 'woman director']","['Alicia Silverstone', 'Stacey Dash', 'Brittany Murphy']",Amy Heckerling
34615,['south africa'],"['James Earl Jones', 'Charles S. Dutton', 'Jack Robinson']",Darrell James Roodt
31174,"['england', 'shakespeare', 'kidnapping', 'murder', 'king']","['Ian McKellen', 'Annette Bening', 'Jim Broadbent']",Richard Loncraine
11443,"['money', 'loss of virginity', 'hiding in a dumpster', 'mercy killing', 'armored truck', 'crushed by a car']","['Larenz Tate', 'Keith David', 'Chris Tucker']",Albert Hughes
35196,"['jealousy', 'medicine', 'fountain', 'court', 'wealth', 'spaniel', 'gloves']","['Robert Downey Jr.', 'Meg Ryan', 'Sam Neill']",Michael Hoffman
9312,"['martial arts', 'monster', 'island', 'gore', 'sorcerer', 'tournament', 'violence', 'based on video game', 'hand to hand combat']","['Christopher Lambert', 'Robin Shou', 'Linden Ashby']",Paul W.S. Anderson
577,"['adultery', 'winter', 'obsession', 'television', 'new hampshire', 'narcissistic personality disorder']","['Nicole Kidman', 'Matt Dillon', 'Joaquin Phoenix']",Gus Van Sant
11861,"['wedding vows', 'marriage proposal', 'married couple', 'monogamy', 'advice', 'marriage', 'quilt', 'love', 'family holiday', 'extramarital affair', 'grandmother', 'woman director']","['Winona Ryder', 'Anne Bancroft', 'Ellen Burstyn']",Jocelyn Moorhouse
807,"['self-fulfilling prophecy', 'detective', 's.w.a.t.', 'drug dealer', 'evisceration', 'lust and impulsiveness', 'rage and hate', 'pride and vanity', 'immoderateness', 'insomnia', 'investigation', 'pension', 'police', 'serial killer']","['Brad Pitt', 'Morgan Freeman', 'Gwyneth Paltrow']",David Fincher
10530,"['culture clash', 'settler', 'forbidden love', 'colony', 'musical', 'gold rush', 'princess', 'romance', 'native american', 'animation', 'virginia', 'star crossed lovers', 'reference to pizarro', 'jamestown virginia', 'pug dog', 'cross cultural relationship', 'musket', 'animate tree', 'indian chief', 'based on myths or folklore', '17th century', 'shamanism', 'songs', 'indians vs. settlers', 'animal sidekick', 'powhatan', 'land claim']","['Irene Bedard', 'Mel Gibson', 'David Ogden Stiers']",Mike Gabriel
8391,"['professor', 'lgbt', 'woman director']","['Pascale Bussières', 'Rachael Crawford', 'Henry Czerny']",Patricia Rozema
629,"['law', 'relatives', 'theft', 'criminal', 'criminal mastermind', 'hungarian', 'sibling']","['Stephen Baldwin', 'Gabriel Byrne', 'Chazz Palminteri']",Bryan Singer
11448,"['prostitute', 'adoption', 'adoptive father', 'childlessness', 'looking for  birth parents', 'adoptive mother', 'independent film', 'illegal prostitution', 'child']","['Woody Allen', 'Mira Sorvino', 'Helena Bonham Carter']",Woody Allen
49133,['independent film'],"['Enrico Lo Verso', 'Michele Placido', 'Piro Milkani']",Gianni Amelio
26441,"['sport', 'kids and family', 'soccer', 'woman director']","['Steve Guttenberg', ""Olivia d'Abo"", 'Jay O. Sanders']",Holly Goldberg Sloan
97406,"['alcohol', 'artist', 'music', 'drug', 'band']","['Jennifer Jason Leigh', 'Mare Winningham', 'Ted Levine']",Ulu Grosbard
9089,"['baltimore', 'thanksgiving', 'family clan', 'family conflict', 'generations conflict', 'woman director']","['Holly Hunter', 'Robert Downey Jr.', 'Anne Bancroft']",Jodie Foster
11010,"['island', 'letter', 'postman', 'fisherman', 'poet']","['Philippe Noiret', 'Massimo Troisi', 'Maria Grazia Cucinotta']",Michael Radford
99040,[],"['Lothaire Bluteau', 'Patrick Goyette', 'Jean-Louis Millette']",Robert Lepage
11359,"['cupboard', 'games', 'puppet', 'parallel world', 'toy comes to life']","['Hal Scardino', 'Litefoot', 'Lindsay Crouse']",Frank Oz
17182,"['rape', 'gun', 'self-defense', 'grieving parents']","['Sally Field', 'Kiefer Sutherland', 'Ed Harris']",John Schlesinger
2054,"['composer', 'mentor', 'deaf-mute', 'musical', 'apprentice', 'private life', 'music', 'disabled']","['Richard Dreyfuss', 'Glenne Headly', 'Jay Thomas']",Stephen Herek
10607,"['date', 'slang', 'hip-hop', 'cousin', 'parody', 'hood', 'gang', 'social satire', 'racism', 'gangster']","['Shawn Wayans', 'Marlon Wayans', 'Tracey Cherelle Jones']",Paris Barclay
19760,"['island', 'painting', 'thief', 'seasickness']","['Sandra Bullock', 'Denis Leary', 'Yaphet Kotto']",Bill Bennett
9536,"['biotope', 'vegetarian', 'pollution']","['Pauly Shore', 'Stephen Baldwin', 'Joey Lauren Adams']",Jason Bloom
11525,"['hacker', 'virtual reality', 'computer', 'sword fight']","['Patrick Bergin', 'Matt Frewer', ""Austin O'Brien""]",Farhad Mann
4482,"['love triangle', 'southern france', 'estate agent', 'menage a trois', 'van', 'woman director']","['Victoria Abril', 'Josiane Balasko', 'Alain Chabat']",Josiane Balasko
10634,"['rap music', 'parent child relationship', 'rapper', 'job']","['Ice Cube', 'Chris Tucker', 'Nia Long']",F. Gary Gray
755,"['dancing', 'brother brother relationship', 'sexual obsession', 'showdown', 'sheriff', 'eroticism', 'nudity', 'bank robber', 'vampire', 'holy water', 'siege', 'stripper', 'priest', 'explosion', 'extreme violence', 'bank robbery', 'preacher', 'hostage situation', 'crucifix', 'recreational vehicle', 'blood spurting', 'convenience store', 'female vampire', 'mexican american border', 'nightclub entertainer', 'boa constrictor']","['George Clooney', 'Quentin Tarantino', 'Harvey Keitel']",Robert Rodriguez
11859,"['bomb', 'miami', 'sex', 'detective', 'handcuffs', 'based on novel', 'hostage', 'fbi', 'kidnapping', 'russian', 'kgb', 'chase', 'sadism', 'parking garage', 'pizza', 'police protection', 'psychopath', 'remake', 'car crash', 'conspiracy', 'on the run', 'fugitive', 'shootout', 'gunfight', 'sadist', 'foot chase', 'police detective', 'police station', 'car chase', 'held at gunpoint', 'fbi agent', 'double cross', 'cult film', 'computer hacker', 'machine gun', 'swat team', 'grenade launcher', 'underwater scene', 'rogue agent', 'woman lawyer', 'damsel in distress']","['William Baldwin', 'Cindy Crawford', 'Steven Berkoff']",Andrew Sipes
28387,['college'],"['Josh Hamilton', ""Olivia d'Abo"", 'Carlos Jacott']",Noah Baumbach
48750,"['paris', 'nun', 'boxer', 'lawyer', 'jewish']","['Jean-Paul Belmondo', 'Michel Boujenah', 'Alessandra Martines']",Claude Lelouch
20927,"['florist', 'family relationships']","['Christian Slater', 'Mary Stuart Masterson', 'Pamela Adlon']",Michael Goldenberg
9102,"['man vs machine', 'alien planet', 'struggle for survival']","['Peter Weller', 'Roy Dupuis', 'Jennifer Rubin']",Christian Duguay
124626,[],"['Nico', 'Tina Aumont', 'Jackson Browne']",Susanne Ofteringer
27526,"['loss of daughter', 'hit-and-run driving ', 'revenge', 'suspense', 'independent film', 'tragedy']","['Jack Nicholson', 'David Morse', 'Anjelica Huston']",Sean Penn
9623,"['jurors', 'blackmail', 'court case', 'son', 'trial', 'courtroom']","['Demi Moore', 'Alec Baldwin', 'Joseph Gordon-Levitt']",Brian Gibson
46785,"['fish', 'money', 'celebration', 'goldfish']","['Aida Mohammadkhani', 'Mohsen Kafili', 'Fereshteh Sadre Orafaiy']",Jafar Panahi
400,"['father son relationship', 'bounty hunter', 'boat', 'way of life', 'coffin', 'denver', 'godmother', 'paranoia', 'hitman', 'friendship', 'psychopath', 'revenge', 'murder', 'independent film', 'mafia', 'diner', 'blood', 'gangster', 'violence', 'illegal prostitution', 'extramarital affair']","['Andy García', 'Christopher Lloyd', 'William Forsythe']",Gary Fleder
880,"['suicide', 'underdog', 'free love', 'philosophy', 'rape', 'mentally disabled', 'loss of mother', 'village life', 'world war ii', 'feminism', 'indian summer ', 'family history', 'widow', 'peasant', 'village', 'mathematics', 'freedom', 'right and justice', 'single', 'homosexuality', 'mother daughter relationship', 'domestic violence', 'university', 'woman director']","['Willeke van Ammelrooy', 'Els Dottermans', 'Dora van der Groen']",Marleen Gorris
146599,"['racial segregation', 'family relationships', 'rural setting', 'african american']","['Al Freeman, Jr.', 'Phylicia Rashād', 'Paula Kelly']",Tim Reid
188588,[],"['Victoria Foyt', 'Viveca Lindfors', 'Jon Robin Baitz']",Henry Jaglom
8447,"['class society', 'rich woman - poor man', 'scientist', 'naturalist', 'insect']","['Mark Rylance', 'Kristin Scott Thomas', 'Patsy Kensit']",Philip Haas
10534,"['sailing trip', 'diary', 'sailing', 'survival', 'coming of age', 'teenage boy', 'discipline', 'squall', 'sail', 'ship captain', 'caribbean', 'male bonding', 'seasickness', 'storm at sea', '1960s']","['Jeff Bridges', 'Caroline Goodall', 'John Savage']",Ridley Scott
17414,"['boss', 'fistfight', 'bully', 'orangutan', 'hotel manager']","['Jason Alexander', 'Faye Dunaway', 'Eric Lloyd']",Ken Kwapis
13997,"['nitrous oxide', 'candid camera', 'double act', 'political satire', 'crooked politician', 'woman director']","['Chris Farley', 'David Spade', 'Grant Heslov']",Penelope Spheeris
2086,"['assassination', 'train station', 'politics', 'los angeles']","['Johnny Depp', 'Courtney Chase', 'Charles S. Dutton']",John Badham
9095,"['servant', 'monster', 'laboratory', 'jekyll and hyde', 'housemaid', '19th century']","['Julia Roberts', 'John Malkovich', 'George Cole']",Stephen Frears
12158,"['vampire', 'half vampire']","['Eddie Murphy', 'Angela Bassett', 'Allen Payne']",Wes Craven
9283,['hometown'],"['Matt Dillon', 'Noah Emmerich', 'Annabeth Gish']",Ted Demme
9208,"['helicopter', 'river', 'captain', 'underground', 'mexican standoff', 'countdown', 'pilot', 'fistfight', 'canyon', 'major', 'betrayal', 'gunfight', 'train', 'explosion', 'park ranger', 'desert', 'military', 'nuclear device', 'boxing', 'stealth aircraft', 'abandoned mine', 'humvee']","['John Travolta', 'Christian Slater', 'Samantha Mathis']",John Woo
40154,"['play', 'hamlet', 'christmas', 'actor']","['Richard Briers', 'Joan Collins', 'Michael Maloney']",Kenneth Branagh
406,"['paris', 'neo-nazi', 'skinhead', 'robbery', 'police brutality', 'hip-hop', 'gun', 'socially deprived family', 'breakdance', 'arabian', 'boredom', 'revenge', 'suburb', 'violence', 'police officer', 'unemployment', 'capture', 'xenophobia']","['Vincent Cassel', 'Hubert Koundé', 'Saïd Taghmaoui']",Mathieu Kassovitz
45549,[],"['Sadie Frost', 'Jude Law', 'Sean Pertwee']",Paul W.S. Anderson
63076,"['narration', 'hollywood', 'prostitution']","['Nick Broomfield', 'Heidi Fleiss', 'Madam Alex']",Nick Broomfield
11062,"['corruption', 'undercover', 'war on drugs', 'mayor', 'drug dealer', 'presidential election', 'undercover agent', 'investigation', 'police', 'drug']","['Al Pacino', 'John Cusack', 'Bridget Fonda']",Harold Becker
13685,"['brother brother relationship', 'robbery', 'burglar', 'language barrier', 'motel', 'independent film', 'psychiatric hospital', 'maid', 'theft', 'nervous breakdown', 'escapade', 'laundry room']","['Luke Wilson', 'Owen Wilson', 'Lumi Cavazos']",Wes Anderson
47475,[],"['Ellen DeGeneres', 'Bill Pullman', 'Joan Cusack']",Nick Castle
2045,"['wife husband relationship', 'experiment', 'police', 'murder', 'suspense', 'memory', 'forensic', 'gunman', 'animal experimentation']","['Ray Liotta', 'Linda Fiorentino', 'Peter Coyote']",John Dahl
9614,"['loss of mother', 'loss of father', 'golf', 'sport', 'taxes']","['Adam Sandler', 'Ben Stiller', 'Christopher McDonald']",Dennis Dugan
688,"['farewell', 'adultery', 'love at first sight', 'photographer', 'wife husband relationship', 'iowa', ""love of one's life"", 'mother role', 'bridge', 'housewife', 'love letter', 'peasant', 'marriage crisis', 'photography', 'unsociability', 'secret love', 'nature documentary']","['Meryl Streep', 'Clint Eastwood', 'Annie Corley']",Clint Eastwood
10874,"['island', 'pirate gang', 'puppet', 'treasure hunt']","['Tim Curry', 'Kevin Bishop', 'Jennifer Saunders']",Brian Henson
89333,[],"['Christy Turlington', 'Azzedine Alaïa', 'Giorgio Armani']",Robert Leacock
197,"['individual', 'scotland', 'in love with enemy', 'legend', 'independence', 'idealism', 'revolt', 'tyranny']","['Mel Gibson', 'Catherine McCormack', 'Sophie Marceau']",Mel Gibson
103,"['vietnam veteran', 'taxi', 'obsession', 'drug dealer', 'night shift', 'vigilante', 'alienation', 'misanthrope', 'shot to death', 'illegal prostitution', 'loner']","['Robert De Niro', 'Cybill Shepherd', 'Harvey Keitel']",Martin Scorsese
33542,"['new york', 'martial arts', 'supermarket', 'gang war', 'disabled child', 'gang', 'wedding', 'diamond', 'bronx', 'duringcreditsstinger']","['Jackie Chan', 'Anita Mui', 'Françoise Yip']",Stanley Tong
43566,[],"['Meryl Streep', 'Liam Neeson', 'Edward Furlong']",Barbet Schroeder
71754,"['mining', 'dance lesson', 'coal mining', 'bagpipes']","['Helena Bonham Carter', 'Clive Russell', 'Craig Olejnik']",Mort Ransen
51352,"['fascism', 'auschwitz', 'typhus', 'victim', 'interview', 'prejudice', 'burglary', 'rabbit']","['Kenneth Branagh', 'Glenn Close']",Jon Blair
16934,"['london england', 'poison', 'based on true story', 'murder', 'serial killer', 'mental institution', 'teenager', 'psychiatrist', 'stepmother', 'social misfit']","['Tobias Arnold', 'Ruth Sheen', 'Roger Lloyd Pack']",Benjamin Ross
10324,"['roommate', 'single', 'love', 'independent film', 'best friend', 'brooklyn bridge']","['Sarah Jessica Parker', 'Elle Macpherson', 'Scarlett Johansson']",Eric Schaeffer
78406,"['brother brother relationship', 'twin brother', 'lawyer', 'estate', 'santa barbara california']","['Andy García', 'Alan Arkin', 'Rachel Ticotin']",Andrew Davis
32119,[],"['Henry Czerny', 'Johnny Morina', 'Brian Dooley']",John N. Smith
11066,"['role of women', 'ladykiller', 'success', ""ladies' man"", 'chefin', 'casanova', 'womanizer']","['Eddie Murphy', 'Robin Givens', 'Halle Berry']",Reginald Hudlin
11104,"['ex-girlfriend', 'drug smuggle', 'girlfriend', 'snack bar', 'romance', 'hong kong', 'pineapple', 'expiration date', 'flight attendant']","['Brigitte Lin', 'Tony Leung Chiu-Wai', 'Faye Wong']",Wong Kar-wai
37975,[],"['Sergio Castellitto', 'Tiziana Lodato', 'Franco Scaldati']",Giuseppe Tornatore
2074,"['lsd', 'looking for  birth parents', 'half-brother', 'independent film']","['Ben Stiller', 'Patricia Arquette', 'Téa Leoni']",David O. Russell
27793,"['flying', 'magic']","['Jason James Richter', 'Melody Kay', 'Kevin McNulty']",Peter MacDonald
110972,[],"['Josh Charles', 'Anne Heche', 'John Goodman']",Bryan Gordon
32622,"['independent film', 'woman director']","['Miranda Rhyne', 'Charlotte Eve Blythe', 'Anna Levine']",Rebecca Miller
73067,"['boy', 'writer', 'ireland', 'flashback', 'troop ship']","['Matt Dillon', 'Corban Walker', 'Gabriel Byrne']",Michael Lindsay-Hogg
11863,"['callgirl', 'san francisco', 'investigation', 'murder']","['David Caruso', 'Linda Fiorentino', 'Chazz Palminteri']",William Friedkin
9101,"['submarine', 'u.s. navy', 'misfit']","['Kelsey Grammer', 'Lauren Holly', 'Rob Schneider']",David S. Ward
5757,"['homosexuality', 'independent film', 'mockumentary']","['Dirk Shafer', 'Mary Stein', 'Claudette Sutherland']",Dirk Shafer
9302,"['skab under tv', 'foran', 'nederste hylde']","['Robert Redford', 'Michelle Pfeiffer', 'Stockard Channing']",Jon Avnet
11000,"['gay', 'drag queen', 'homophobia', 'florida', 'coming out', 'senator', 'politician', 'lgbt', 'crossdressing', '1990s']","['Robin Williams', 'Gene Hackman', 'Nathan Lane']",Mike Nichols
16388,"['love', 'independent film', 'best friend', 'true love', 'irish catholic']","['Shari Albert', 'Maxine Bahns', 'Catharine Bolz']",Edward Burns
9737,"['miami', 'detective', 'handcuffs', 'airport', 'mexican standoff', 'strip club', 'witness protection', 'car crash', 'internal affairs', 'gunfight', 'explosion', 'brutality', 'foot chase', 'car chase', 'drug lord', 'hangar', 'loose cannon', 'bust', 'reference to skittles', 'black cop', 'badge', 'action hero', 'corrupt cop']","['Will Smith', 'Martin Lawrence', 'Téa Leoni']",Michael Bay
30765,"['china', 'panda', 'poacher']","['Stephen Lang', 'Ryan Slater', 'Yi Ding']",Christopher Cain
10474,"['sport', 'basketball', 'addiction', 'friends', 'drug']","['Leonardo DiCaprio', 'Lorraine Bracco', 'James Madio']",Scott Kalvert
22279,"['england', 'based on novel', 'liverpool', 'theatre company', '1940s']","['Alan Rickman', 'Hugh Grant', 'Georgina Cates']",Mike Newell
30157,['independent film'],"['Isabelle Huppert', 'Martin Donovan', 'Elina Löwensohn']",Hal Hartley
568,"['moon', 'florida', 'nasa', 'spaceman', 'race against time', 'houston', 'based on true story', 'space', 'rescue', 'survival', 'disaster', 'explosion', 'astronaut', 'imax', 'saturn v rocket', 'courage', 'hypothermia', 'apollo program', 'cape kennedy', 'lunar mission', 'spacecraft accident']","['Tom Hanks', 'Bill Paxton', 'Kevin Bacon']",Ron Howard
11780,"['scotland', 'biography', '18th century', 'highlands', 'violent man']","['Liam Neeson', 'Jessica Lange', 'John Hurt']",Michael Caton-Jones
34996,"['new york', 'philosophy', 'vampire', 'blood', 'student', 'violence']","['Lili Taylor', 'Christopher Walken', 'Annabella Sciorra']",Abel Ferrara
414,"['riddle', 'dc comics', 'rose', 'gotham city', 'partner', 'superhero', 'robin', 'broken neck', 'psychologist', 'violence', 'criminal', 'district attorney', 'millionaire', 'falling down stairs', 'tied up', 'tommy gun', 'beretta', 'knocked out', 'super powers', 'disfigurement', 'father figure']","['Val Kilmer', 'Tommy Lee Jones', 'Jim Carrey']",Joel Schumacher
649,"['prostitute', 'adultery', 'double life', 'dual identity', 'jealousy', 'wife husband relationship', 'brothel', 'dream', ""women's sexual identity"", 'fantasy', 'masochism', 'independent film']","['Catherine Deneuve', 'Michel Piccoli', 'Jean Sorel']",Luis Buñuel
1873,"['burma', 'rangoon', 'doctor']","['Patricia Arquette', 'Frances McDormand', 'U Aung Ko']",John Boorman
5894,"['smoking', 'corner shop', 'cigarette', 'tobacco', 'cigar', 'independent film']","['Harvey Keitel', 'Lou Reed', 'Michael J. Fox']",Paul Auster
1775,[],"['John Candy', 'Alan Alda', 'Rhea Perlman']",Michael Moore
8839,"['halloween', 'friendship', 'supernatural', 'afterlife', 'friends', 'danger', 'ghost', 'disorder', 'young heroes', 'imaginary', 'supernatural ability', 'mischievous children']","['Christina Ricci', 'Bill Pullman', 'Cathy Moriarty']",Brad Silberling
20649,"['drug pusher', 'train', 'drug', 'drug lord']","['Harvey Keitel', 'John Turturro', 'Delroy Lindo']",Spike Lee
10329,"['gorilla', 'kongo', 'diamond mine', 'diamond']","['Laura Linney', 'Dylan Walsh', 'Ernie Hudson']",Frank Marshall
8963,"['submarine', 'mutiny', 'russia', 'missile', 'nuclear missile', 'embassy', 'u.s. navy', 'battle for power', 'torpedo', 'military', 'moral dilemma', 'post cold war', 'aircraft carrier', 'chain of command', 'launch code', 'sonar']","['Denzel Washington', 'Gene Hackman', 'Matt Craven']",Tony Scott
26564,"['underground', 'biography', 'art']","['Robert Crumb', 'Aline Kominsky', 'Charles Crumb']",Terry Zwigoff
8068,"['gunslinger', 'anti terror', 'ambush', 'mexico', 'showdown', 'guitar', 'nudity', 'hitman', 'bartender', 'revenge', 'tragic hero', 'shootout', 'mariachi', 'explosion', 'extreme violence', 'brutality', 'drug lord', 'leg brace', 'concealed weapon', 'flashback', 'bookstore']","['Antonio Banderas', 'Salma Hayek', 'Joaquim de Almeida']",Robert Rodriguez
8512,"['jazz club', 'murder', 'los angeles', 'private detective', 'film noir', 'neo-noir']","['Denzel Washington', 'Tom Sizemore', 'Jennifer Beals']",Carl Franklin
1572,"['bomb', 'taxi', 'riddle', 'robbery', 'detective', 'helicopter', 'gold', 'subway', 'ship', 'fistfight', 'police', 'sequel', 'deception', 'shootout', 'new york city', 'explosion', 'violence', 'car chase', 'fbi agent', 'simon says', 'flashback', 'dump truck', 'aqueduct', 'action hero', 'federal reserve bank']","['Bruce Willis', 'Jeremy Irons', 'Samuel L. Jackson']",John McTiernan
13552,"['sex', 'eroticism', 'nudity', 'nazis', 'suspense', 'drifter', 'voyeur']","['Rose McGowan', 'James Duval', 'Johnathon Schaech']",Gregg Araki
259209,[],"['Embeth Davidtz', 'Tom Bell', 'Gemma Jones']",Christopher Menaul
6520,"['camelot', 'knight', 'king arthur', 'excalibur', 'knights of the round table']","['Sean Connery', 'Richard Gere', 'Julia Ormond']",Jerry Zucker
9073,"['human animal relationship', 'whale', 'killer whale']","['Jason James Richter', 'Michael Madsen', 'Jayne Atkinson']",Dwight H. Little
