Menu,Calories,Fat (g),Carb (g),Fiber (g),Protein,Sodium
Featured Dark Roast,5,0,0,0,1,10
Iced Coffee,5,0,0,0,0,5
Iced Coffee with Milk,-,-,-,-,-,-
NariÌ±o 70 Cold Brew,5,0,0,0,0,15
NariÌ±o 70 Cold Brew with Milk,0,0,0,0,0,0
Nitro Cold Brew,5,0,0,0,0,10
Nitro Cold Brew with Sweet Cream,70,5,5,0,1,20
Pike Placeå¨ Roast,5,0,0,0,1,10
Toasted Coconut Cold Brew,-,-,-,-,-,-
Vanilla Sweet Cream Cold Brew,110,6,14,0,1,25
Hot Chocolate,320,9,47,4,14,160
Starbuckså¨ Signature Hot Chocolate,430,26,45,5,12,115
CaffÌ¬ Americano,-,-,-,-,-,-
CaffÌ¬ Latte,190,7,19,0,13,170
CaffÌ¬ Mocha,290,8,42,4,13,140
Cappuccino,120,4,12,0,8,100
Caramel Macchiato,250,7,35,0,10,150
Cascara Coconutmilk Latte,-,-,-,-,-,-
Cinnamon Dolce Latte,260,6,40,0,11,150
Coconutmilk Mocha Macchiato,250,9,32,0,12,180
Espresso,-,-,-,-,-,-
Espresso Con Panna,-,-,-,-,-,-
Espresso Macchiato,-,-,-,-,-,-
Flat White,180,7,18,0,12,160
Iced CaffÌ¬ Americano,-,-,-,-,-,-
Iced CaffÌ¬ Latte,130,4.5,13,0,8,115
Iced CaffÌ¬ Mocha,230,6,36,4,9,90
Iced Caramel Macchiato,250,7,37,0,10,150
Iced Cascara Coconutmilk Latte,-,-,-,-,-,-
Iced Cinnamon Dolce Latte,200,4,34,0,7,95
Iced Coconutmilk Mocha Macchiato,260,9,34,0,11,180
Iced Skinny Cinnamon Dolce Latte,-,-,-,-,-,-
Iced Skinny Mocha,-,-,-,-,-,-
Iced Vanilla Latte,190,4,30,0,7,100
Iced White Chocolate Mocha,300,8,47,0,10,190
Latte Macchiato,190,7,19,0,12,160
Latte Macchiato,190,7,19,0,12,160
Skinny Mocha,-,-,-,-,-,-
Starbucks Doubleshotå¨ on Ice Beverage,45,1,5,0,3,40
Vanilla Latte,250,6,37,0,12,150
White Chocolate Mocha,360,11,53,0,14,240
CaffÌ¬ Vanilla Frappuccinoå¨ Blended Coffee,-,-,-,-,-,-
CaffÌ¬ Vanilla Light Frappuccinoå¨ Blended Coffee,-,-,-,-,-,-
Caramel Cocoa Cluster Frappuccinoå¨ Blended Coffee,-,-,-,-,-,-
Caramel Frappuccinoå¨ Blended Coffee,-,-,-,-,-,-
Caramel Light Frappuccinoå¨ Blended Coffee,-,-,-,-,-,-
Chai CrÌ¬me Frappuccinoå¨ Blended CrÌ¬me,-,-,-,-,-,-
Cinnamon Dolce Frappuccinoå¨ Blended Coffee,350,4.5,64,0,15,0
Cinnamon Dolce Light Frappuccinoå¨ Blended Coffee,-,-,-,-,-,-
Cinnamon Roll Frappuccinoå¨ Blended Coffee,-,-,-,-,-,-
Coffee Frappuccinoå¨ Blended Coffee,-,-,-,-,-,-
Coffee Light Frappuccinoå¨ Blended Coffee,110,0,24,0,3,200
Cupcake CrÌ¬me Frappuccinoå¨ Blended CrÌ¬me,-,-,-,-,-,-
Green Tea CrÌ¬me Frappuccinoå¨ Blended CrÌ¬me,-,-,-,-,-,-
Java Chip Frappuccinoå¨ Blended Coffee,-,-,-,-,-,-
Java Chip Light Frappuccinoå¨ Blended Coffee,-,-,-,-,-,-
Lemon Bar CrÌ¬me Frappuccinoå¨ Blended CrÌ¬me,-,-,-,-,-,-
Midnight Mint Mocha Frappuccinoå¨ Blended Coffee,-,-,-,-,-,-
Midnight Mint Mocha Frappuccinoå¨ Blended CrÌ¬me,-,-,-,-,-,-
Mocha Frappuccinoå¨ Blended Coffee,280,2.5,60,2,4,220
Mocha Light Frappuccinoå¨ Blended Coffee,140,0.5,28,1,4,180
Oprah Cinnamon Chai CrÌ¬me Frappuccinoå¨ Blended CrÌ¬me,-,-,-,-,-,-
Red Velvet Cake CrÌ¬me Frappuccinoå¨ Blended CrÌ¬me,-,-,-,-,-,-
S'mores Frappuccinoå¨ Blended Coffee,-,-,-,-,-,-
S'mores Frappuccinoå¨ Blended CrÌ¬me,-,-,-,-,-,-
Strawberries & CrÌ¬me Frappuccinoå¨ Blended CrÌ¬me,-,-,-,-,-,-
The PokÌ©mon‰ã¢ GO Frappuccinoå¨ Blended Beverage,-,-,-,-,-,-
Vanilla Bean CrÌ¬me Frappuccinoå¨ Blended CrÌ¬me,-,-,-,-,-,-
White Chocolate Mocha Frappuccinoå¨ Blended Coffee,-,-,-,-,-,-
Cinnamon Dolce CrÌ¬me,200,6,28,0,10,135
Organic Chocolate Milk Box,-,-,-,-,-,-
Steamed Apple Juice,-,-,-,-,-,-
Vanilla CrÌ¬me,200,6,28,0,10,135
Chocolate Smoothie,320,5,53,8,20,170
Strawberry Smoothie,300,2,60,7,16,130
Ginger Ale,-,-,-,-,-,-
Lemon Ale,-,-,-,-,-,-
Orange Cream Soda,-,-,-,-,-,-
