country,institute_type,direct_expenditure_type,1995,2000,2005,2009,2010,2011
Israel,All Institutions ,Private,,,,,,1.7
Italy,All Institutions ,Private,,,,,,0.4
Japan,All Institutions ,Private,,,,,,1.6
"Korea, Republic of",All Institutions ,Private,,,,,,2.8
Luxembourg,All Institutions ,Private,,,,,,
Mexico,All Institutions ,Private,,,,,,1.1
Netherlands,All Institutions ,Private,,,,,,0.9
New Zealand,All Institutions ,Private,,,,,,1.2
Norway,All Institutions ,Private,,,,,,
Poland,All Institutions ,Private,,,,,,0.7
Portugal,All Institutions ,Private,,,,,,0.4
Slovak Republic,All Institutions ,Private,,,,,,0.5
Slovenia,All Institutions ,Private,,,,,,0.7
Spain,All Institutions ,Private,,,,,,0.8
Sweden,All Institutions ,Private,,,,,,0.2
Switzerland,All Institutions ,Private,,,,,,0.4
Turkey,All Institutions ,Private,,,,,,
United Kingdom,All Institutions ,Private,,,,,,0.8
United States,All Institutions ,Private,,,,,,2.2
  Brazil,All Institutions ,Private,,,,,,
  Russian Federation,All Institutions ,Private,,,,,,0.7
OECD Average,Elementary and Secondary Institutions ,Private,,,,,,0.3
Australia,Elementary and Secondary Institutions ,Private,,,,,,0.6
Austria,Elementary and Secondary Institutions ,Private,,,,,,0.1
Belgium,Elementary and Secondary Institutions ,Private,,,,,,0.1
Canada,Elementary and Secondary Institutions ,Private,,,,,,
Chile,Elementary and Secondary Institutions ,Private,,,,,,0.7
Czech Republic,Elementary and Secondary Institutions ,Private,,,,,,0.3
Denmark,Elementary and Secondary Institutions ,Private,,,,,,0.1
Estonia,Elementary and Secondary Institutions ,Private,,,,,,0.0
Finland,Elementary and Secondary Institutions ,Private,,,,,,0.0
France,Elementary and Secondary Institutions ,Private,,,,,,0.3
Germany,Elementary and Secondary Institutions ,Private,,,,,,0.4
Greece,Elementary and Secondary Institutions ,Private,,,,,,
Hungary,Elementary and Secondary Institutions ,Private,,,,,,
Iceland,Elementary and Secondary Institutions ,Private,,,,,,0.2
Ireland,Elementary and Secondary Institutions ,Private,,,,,,0.2
Israel,Elementary and Secondary Institutions ,Private,,,,,,0.4
Italy,Elementary and Secondary Institutions ,Private,,,,,,0.1
Japan,Elementary and Secondary Institutions ,Private,,,,,,0.2
"Korea, Republic of",Elementary and Secondary Institutions ,Private,,,,,,0.8
Luxembourg,Elementary and Secondary Institutions ,Private,,,,,,0.1
Mexico,Elementary and Secondary Institutions ,Private,,,,,,0.6
Netherlands,Elementary and Secondary Institutions ,Private,,,,,,0.4
New Zealand,Elementary and Secondary Institutions ,Private,,,,,,0.6
Norway,Elementary and Secondary Institutions ,Private,,,,,,
Poland,Elementary and Secondary Institutions ,Private,,,,,,0.2
Portugal,Elementary and Secondary Institutions ,Private,,,,,,0.0
Slovak Republic,Elementary and Secondary Institutions ,Private,,,,,,0.3
Slovenia,Elementary and Secondary Institutions ,Private,,,,,,0.3
Spain,Elementary and Secondary Institutions ,Private,,,,,,0.3
Sweden,Elementary and Secondary Institutions ,Private,,,,,,0.0
Switzerland,Elementary and Secondary Institutions ,Private,,,,,,0.5
Turkey,Elementary and Secondary Institutions ,Private,,,,,,
United Kingdom,Elementary and Secondary Institutions ,Private,,,,,,0.4
United States,Elementary and Secondary Institutions ,Private,,,,,,0.3
  Brazil,Elementary and Secondary Institutions ,Private,,,,,,
  Russian Federation,Elementary and Secondary Institutions ,Private,,,,,,0.1
OECD Average,Higher Education Institutions ,Private,,,,,,0.5
Australia,Higher Education Institutions ,Private,,,,,,0.9
Austria,Higher Education Institutions ,Private,,,,,,0.1
Belgium,Higher Education Institutions ,Private,,,,,,0.1
Canada,Higher Education Institutions ,Private,,,,,,
Chile,Higher Education Institutions ,Private,,,,,,1.7
Czech Republic,Higher Education Institutions ,Private,,,,,,0.3
Denmark,Higher Education Institutions ,Private,,,,,,0.1
Estonia,Higher Education Institutions ,Private,,,,,,0.3
Finland,Higher Education Institutions ,Private,,,,,,0.1
France,Higher Education Institutions ,Private,,,,,,0.2
Germany,Higher Education Institutions ,Private,,,,,,0.2
Greece,Higher Education Institutions ,Private,,,,,,
Hungary,Higher Education Institutions ,Private,,,,,,
Iceland,Higher Education Institutions ,Private,,,,,,0.1
Ireland,Higher Education Institutions ,Private,,,,,,0.3
Israel,Higher Education Institutions ,Private,,,,,,0.8
Italy,Higher Education Institutions ,Private,,,,,,0.2
Japan,Higher Education Institutions ,Private,,,,,,1.0
"Korea, Republic of",Higher Education Institutions ,Private,,,,,,1.9
Luxembourg,Higher Education Institutions ,Private,,,,,,
Mexico,Higher Education Institutions ,Private,,,,,,0.4
Netherlands,Higher Education Institutions ,Private,,,,,,0.5
New Zealand,Higher Education Institutions ,Private,,,,,,0.5
Norway,Higher Education Institutions ,Private,,,,,,0.1
Poland,Higher Education Institutions ,Private,,,,,,0.3
Portugal,Higher Education Institutions ,Private,,,,,,0.4
Slovak Republic,Higher Education Institutions ,Private,,,,,,0.2
Slovenia,Higher Education Institutions ,Private,,,,,,0.2
Spain,Higher Education Institutions ,Private,,,,,,0.3
Sweden,Higher Education Institutions ,Private,,,,,,0.2
Switzerland,Higher Education Institutions ,Private,,,,,,
Turkey,Higher Education Institutions ,Private,,,,,,
United Kingdom,Higher Education Institutions ,Private,,,,,,0.3
United States,Higher Education Institutions ,Private,,,,,,1.8
  Brazil,Higher Education Institutions ,Private,,,,,,
  Russian Federation,Higher Education Institutions ,Private,,,,,,0.5
OECD Average,All Institutions ,Total,,,,,,6.1
Australia,All Institutions ,Total,,,,,,5.8
Austria,All Institutions ,Total,,,,,,5.7
Belgium,All Institutions ,Total,,,,,,6.6
Canada,All Institutions ,Total,,,,,,
Chile,All Institutions ,Total,,,,,,6.4
Czech Republic,All Institutions ,Total,,,,,,5.0
Denmark,All Institutions ,Total,,,,,,7.9
Estonia,All Institutions ,Total,,,,,,5.5
Finland,All Institutions ,Total,,,,,,6.5
France,All Institutions ,Total,,,,,,6.1
Germany,All Institutions ,Total,,,,,,5.1
Greece,All Institutions ,Total,,,,,,
Hungary,All Institutions ,Total,,,,,,
Iceland,All Institutions ,Total,,,,,,7.7
Ireland,All Institutions ,Total,,,,,,6.2
Israel,All Institutions ,Total,,,,,,7.3
Italy,All Institutions ,Total,,,,,,4.6
Japan,All Institutions ,Total,,,,,,5.1
"Korea, Republic of",All Institutions ,Total,,,,,,7.6
Luxembourg,All Institutions ,Total,,,,,,
Mexico,All Institutions ,Total,,,,,,6.2
Netherlands,All Institutions ,Total,,,,,,6.2
New Zealand,All Institutions ,Total,,,,,,7.5
Norway,All Institutions ,Total,,,,,,
Poland,All Institutions ,Total,,,,,,5.5
Portugal,All Institutions ,Total,,,,,,5.5
Slovak Republic,All Institutions ,Total,,,,,,4.4
Slovenia,All Institutions ,Total,,,,,,5.9
Spain,All Institutions ,Total,,,,,,5.5
Sweden,All Institutions ,Total,,,,,,6.3
Switzerland,All Institutions ,Total,,,,,,5.6
Turkey,All Institutions ,Total,,,,,,
United Kingdom,All Institutions ,Total,,,,,,6.4
United States,All Institutions ,Total,,,,,,6.9
  Brazil,All Institutions ,Total,,,,,,
  Russian Federation,All Institutions ,Total,,,,,,4.6
OECD Average,Elementary and Secondary Institutions ,Total,,,,,,3.8
Australia,Elementary and Secondary Institutions ,Total,,,,,,4.1
Austria,Elementary and Secondary Institutions ,Total,,,,,,3.6
Belgium,Elementary and Secondary Institutions ,Total,,,,,,4.4
Canada,Elementary and Secondary Institutions ,Total,,,,,,
Chile,Elementary and Secondary Institutions ,Total,,,,,,3.4
Czech Republic,Elementary and Secondary Institutions ,Total,,,,,,2.9
Denmark,Elementary and Secondary Institutions ,Total,,,,,,4.4
Estonia,Elementary and Secondary Institutions ,Total,,,,,,3.4
Finland,Elementary and Secondary Institutions ,Total,,,,,,4.1
France,Elementary and Secondary Institutions ,Total,,,,,,3.9
Germany,Elementary and Secondary Institutions ,Total,,,,,,3.1
Greece,Elementary and Secondary Institutions ,Total,,,,,,
Hungary,Elementary and Secondary Institutions ,Total,,,,,,
Iceland,Elementary and Secondary Institutions ,Total,,,,,,4.9
Ireland,Elementary and Secondary Institutions ,Total,,,,,,4.6
Israel,Elementary and Secondary Institutions ,Total,,,,,,4.2
Italy,Elementary and Secondary Institutions ,Total,,,,,,3.1
Japan,Elementary and Secondary Institutions ,Total,,,,,,2.9
"Korea, Republic of",Elementary and Secondary Institutions ,Total,,,,,,4.1
Luxembourg,Elementary and Secondary Institutions ,Total,,,,,,3.4
Mexico,Elementary and Secondary Institutions ,Total,,,,,,4.0
Netherlands,Elementary and Secondary Institutions ,Total,,,,,,4.0
New Zealand,Elementary and Secondary Institutions ,Total,,,,,,5.4
Norway,Elementary and Secondary Institutions ,Total,,,,,,
Poland,Elementary and Secondary Institutions ,Total,,,,,,3.4
Portugal,Elementary and Secondary Institutions ,Total,,,,,,3.7
Slovak Republic,Elementary and Secondary Institutions ,Total,,,,,,2.8
Slovenia,Elementary and Secondary Institutions ,Total,,,,,,3.8
Spain,Elementary and Secondary Institutions ,Total,,,,,,3.2
Sweden,Elementary and Secondary Institutions ,Total,,,,,,3.9
Switzerland,Elementary and Secondary Institutions ,Total,,,,,,4.0
Turkey,Elementary and Secondary Institutions ,Total,,,,,,
United Kingdom,Elementary and Secondary Institutions ,Total,,,,,,4.7
United States,Elementary and Secondary Institutions ,Total,,,,,,3.7
  Brazil,Elementary and Secondary Institutions ,Total,,,,,,
  Russian Federation,Elementary and Secondary Institutions ,Total,,,,,,2.1
OECD Average,Higher Education Institutions ,Total,,,,,,1.6
Australia,Higher Education Institutions ,Total,,,,,,1.6
Austria,Higher Education Institutions ,Total,,,,,,1.5
Belgium,Higher Education Institutions ,Total,,,,,,1.4
Canada,Higher Education Institutions ,Total,,,,,,
Chile,Higher Education Institutions ,Total,,,,,,2.4
Czech Republic,Higher Education Institutions ,Total,,,,,,1.4
Denmark,Higher Education Institutions ,Total,,,,,,1.9
Estonia,Higher Education Institutions ,Total,,,,,,1.7
Finland,Higher Education Institutions ,Total,,,,,,1.9
France,Higher Education Institutions ,Total,,,,,,1.5
Germany,Higher Education Institutions ,Total,,,,,,1.3
Greece,Higher Education Institutions ,Total,,,,,,
Hungary,Higher Education Institutions ,Total,,,,,,
Iceland,Higher Education Institutions ,Total,,,,,,1.2
Ireland,Higher Education Institutions ,Total,,,,,,1.5
Israel,Higher Education Institutions ,Total,,,,,,1.7
Italy,Higher Education Institutions ,Total,,,,,,1.0
Japan,Higher Education Institutions ,Total,,,,,,1.6
"Korea, Republic of",Higher Education Institutions ,Total,,,,,,2.6
Luxembourg,Higher Education Institutions ,Total,,,,,,
Mexico,Higher Education Institutions ,Total,,,,,,1.3
Netherlands,Higher Education Institutions ,Total,,,,,,1.8
New Zealand,Higher Education Institutions ,Total,,,,,,1.5
Norway,Higher Education Institutions ,Total,,,,,,1.7
Poland,Higher Education Institutions ,Total,,,,,,1.3
Portugal,Higher Education Institutions ,Total,,,,,,1.4
Slovak Republic,Higher Education Institutions ,Total,,,,,,1.0
Slovenia,Higher Education Institutions ,Total,,,,,,1.3
Spain,Higher Education Institutions ,Total,,,,,,1.3
Sweden,Higher Education Institutions ,Total,,,,,,1.7
Switzerland,Higher Education Institutions ,Total,,,,,,
Turkey,Higher Education Institutions ,Total,,,,,,
United Kingdom,Higher Education Institutions ,Total,,,,,,1.2
United States,Higher Education Institutions ,Total,,,,,,2.7
  Brazil,Higher Education Institutions ,Total,,,,,,
  Russian Federation,Higher Education Institutions ,Total,,,,,,1.4
