Name,Style,Brewery,Beer Name (Full),Description,ABV,Min IBU,Max IBU,Astringency,Body,Alcohol,Bitter,Sweet,Sour,Salty,Fruits,Hoppy,Spices,Malty,review_aroma,review_appearance,review_palate,review_taste,review_overall,number_of_reviews
Altbier,Altbier,Uerige Obergärige Hausbrauerei GmbH / Zum Uerige,Uerige Obergärige Hausbrauerei GmbH / Zum Uerige Uerige Altbier (Classic),"Notes:Uerige Alt is the most bittered beer in Germany. In spite of this (or just for that reason), this legendary Altbier from Düsseldorf is so full-bodied, aromatic and wholesome.Our top-fermented specialty has been brewed since 1862 from barley malt, caramel malt, roasted malt, hops, water - and with our very special Uerige yeast.Our Uerige Alt is regularly chosen among the ten best beers in Germany. It has an alcohol content of 4.7% and a minimum fresh date of eight weeks.Unser Uerige Alt wird regelmäßig unter die zehn besten Biere Deutschlands gewählt. Es hat einen Alkoholgehalt von 4,7% und ein Mindestfrischedatum von acht Wochen.\t",4.7,25,50,34,48,9,55,59,25,1,32,68,12,121,3.887701,4.061497,3.949198,4.053476,4.101604,187
Gerst Amber,Altbier,Yazoo Brewing Company,Yazoo Brewing Company Gerst Amber,"Notes:Check out a piece of Nashville brewing history! Gerst Brewery was the original Nashville brewery, but never recovered after prohibition. We are excited to partner with the Chandler Family, owners of the Gerst Haus Restaurant, to bring this beer back right where it belongs – Nashville, Tennessee.This is a very “clean” beer, with mostly German malts and a hint of flaked maize, remaining as true as possible to the original Gerst recipe.11 IBUs\t",5.1,25,50,10,19,1,21,30,11,4,8,24,2,65,3.833333,4.333333,3.833333,4,4,3
Ad Astra Ale,Altbier,Free State Brewing Co.,Free State Brewing Co. Ad Astra Ale,"Notes:This ale is the first brewed in Kansas since pioneering days. The name ""Ad Astra comes from the Kansas State Motto - Ad Astra per Aspera, Latin words meaning ""To the Stars through Difficulties"". We've blended Pale, Caramel, and Munich malts for a rich amber beer. The hops balance this malty sweetness, and we've chosen Northern brewer and Fuggles hops for their flavor.24 IBU\t",5.6,25,50,7,30,5,43,43,13,1,13,50,6,93,3.52381,3.904762,3.77381,3.690476,3.869048,42
Copperhead Ale,Altbier,Fordham Brewing Company,Fordham Brewing Company Fordham Copperhead Ale,Notes:The name isn’t a coincidence. This Düsseldorf style Altbier blends caramelized malted barley with pronounced hop character to create a subtle copper hue. Copperhead Ale is famous for its signature balanced flavor & impeccable smoothness.\t,5.2,25,50,9,32,9,29,54,13,1,11,32,2,112,3.202381,3.541667,3.267857,3.303571,3.482143,84
Ten Years Alt,Altbier,Victory Brewing Company,Victory Brewing Company Ten Years Alt,"Notes:A Doppelsticke Altbier brewed for Victory Brewing's 10th Anniversary, released in Feb 2006 and debuting at BeerAdvocate's 3rd Annual Extreme Beer Fest in 2006. A dark ale with malty depth, but with the fragrance and bold, brassy tang of European hops. 8.5%. According to Victory, they believe that this could be the first Doppelsticke brewed in the US.\t",8.5,25,50,14,55,31,48,105,31,0,37,59,19,115,3.834661,4,3.982072,3.99004,3.886454,251
Three Blind Mice,Altbier,Mother's Brewing Company,Mother's Brewing Company Three Blind Mice,"Notes:Three Blind Mice is inspired by our favorite qualities from English brown ales, German altbiers, and Irish reds. Mother’s trio of beer connoisseurs sipped away many a night, working to find this ideal combination. Mother’s beautiful brown beer is medium-bodied with caramel, toffee, and subtle chocolate malt flavors—all balanced by moderate hop notes and a clean, dry finish.Three Blind Mice combines components of several malty beers for the unique brown beer experience you've been missing. After lots of research to find the perfect styles for our base, the clear winners were the lighter body and caramel characters of Irish red ales, the soft chocolate and toffee flavors from English brown ales, and the hop component and balance of German altbiers. We used traditional elements from each beer style and added our own touch for one incredible brown beer.24 IBU\t",5.5,25,50,11,58,6,47,49,5,1,3,50,5,110,3.5,3.785714,3.642857,3.642857,3.642857,7
Ishmael,Altbier,Rising Tide Brewing Company,Rising Tide Brewing Company Ishmael,"Notes:Ishmael is our richly-flavored American copper ale. This American interpretation of the altbiers of Düsseldorf is brewed with continental Munich malt, American-grown hops, and a clean-fermenting ale yeast to produce a slightly sweet and malty beer balanced by a firm bitterness.\t",4.9,25,50,17,41,1,55,43,18,1,20,80,7,103,3.528571,3.914286,3.814286,3.914286,3.9,35
Headwall Alt,Altbier,Tuckerman Brewing Co.,Tuckerman Brewing Co. Headwall Alt,"Notes:This is traditional style of altbeir from Düsseldorf, Germany. Alt literally means old in German. Staying as true to the recipe as possible, the Headwall Alt is brewed using German malts, plus German and American hops. Like the Pale Ale, the Headwall Alt is cold conditioned, dry-hopped and krausened in the bottle or keg. Similar to the Pale Ale, the process takes about 30 days.\t",4.5,25,50,19,42,13,54,62,19,0,25,64,10,135,3.574074,3.888889,3.709877,3.734568,3.820988,81
Alt-eration Ale,Altbier,Hops & Grain,Hops & Grain Alt-eration Ale,Notes:,5,25,50,21,43,3,54,54,7,0,10,60,9,111,5,4,4,4,4.5,1
Schell's Schmaltz's Alt,Altbier,August Schell Brewing Company,August Schell Brewing Company Barrel Aged Schmaltz's Alt,"Notes:One of Warren's favorite pastimes back in the 30's was a trip to the city dump to shoot rats–so much that it was a common date for him and his wife-to-be, Casey. The manager of the city dump was John Schmaltz–hence the nickname ""Schmaltz"" Marti. We hope you enjoy our Schmaltz's Alt, a creamy smooth dark alt brewed even better than before.\t",5.1,25,50,21,72,9,48,102,25,1,50,43,13,176,3.9125,3.9,3.7375,3.9375,4.075,40
Frankenheim Alt,Altbier,Privatbrauerei Frankenheim,Privatbrauerei Frankenheim Frankenheim Alt,Notes:,4.8,25,50,19,43,5,39,43,13,1,6,45,8,97,3.611111,3.948413,3.698413,3.72619,3.853175,126
Iron Works Alt,Altbier,Metropolitan Brewing,Metropolitan Brewing Iron Works Alt,"Notes:An assertively hoppy top-fermented beer, polished by the wisdom and patience of lagering. Think of it as an octogenarian with a punk rock attitude. Slightly dry, this beer pairs well with hearty cuisine. We also suggest sipping it on its own; the complexity will keep you entertained and happy.45 IBU\t",5.5,25,50,37,50,16,60,84,32,0,46,83,19,121,3.852941,3.970588,4.044118,4,4,34
Diebels Premium Altbier,Altbier,Brauerei Diebels GmbH & Co KG,Brauerei Diebels GmbH & Co KG Diebels Premium Altbier,Notes:,4.9,25,50,21,27,5,37,33,13,0,13,45,10,70,3.75,3.8125,3.625,3.625,3.875,8
Mission Amber,Altbier,Mission Brewery,Mission Brewery Mission Amber,Notes:,5,25,50,24,36,9,59,55,20,2,18,80,7,132,3.588235,3.735294,3.411765,3.588235,3.470588,17
Hövels Original,Altbier,Hövels Hausbrauerei,Hövels Hausbrauerei Hövels Original Bitterbier,Notes:,5.5,25,50,22,38,10,47,54,10,1,14,68,2,117,3.519231,3.788462,3.711538,3.615385,3.75,26
Secret Spot Alt Ale,Altbier,Evolution Craft Brewing Company,Evolution Craft Brewing Company Secret Spot Winter Ale,Notes:,6.3,25,50,14,53,16,69,67,29,0,23,87,18,103,3.625,3.625,4,4,4.125,4
Lighthouse Amber,Altbier,Cheboygan Brewing Company,Cheboygan Brewing Company Lighthouse Amber,"Notes:Our German style Alt has a brilliant amber hue, and silky smooth medium body. Its light tan head is thick, retaining, and laces the glass all the way down. A Noble hop aroma up front finishes with a caramel malt nose. Our old world brewing method brings out a light toasted-bread flavor you’ll want to savor again and again. It’s a mouthwatering, thirst quenching delight.\t",5.25,25,50,11,67,5,35,86,21,0,28,54,4,138,4,4,4,4,4,1
Série Signature Sticke Alt,Altbier,Les Trois Mousquetaires,Les Trois Mousquetaires Série Signature Sticke Alt,"Notes:Malts: Pilsner, Pale, Caramel 60, Caramel 160/ 74 IBU / Hops: Magnum, N Brewer, HallertauOG: 15.3ºP FG:4.3ºP / SRM: 19 / 12 month aging\t",6,25,50,17,57,14,96,106,23,0,42,122,11,130,3.916667,4.216667,3.983333,3.916667,3.866667,30
Crooked Coast Altbier,Altbier,Driftwood Brewery,Driftwood Brewery Crooked Coast Amber Ale,"Notes:Inspired by the original Alt-style beer of Dusseldorf, Crooked Coast brings together the aromas of German noble hops and Munich malt to produce a very refreshing and mellow ale that is the perfect companion on any shape of coast.\t",5.1,25,50,20,36,7,76,47,39,2,40,100,8,76,3.972222,4.194444,3.833333,4.055556,4.083333,18
Gravel Road,Altbier,Rahr & Sons Brewing Company,Rahr & Sons Brewing Company Gravel Road,Notes:,7.25,25,50,5,48,6,54,66,11,0,16,52,9,109,3.522727,3.545455,3.795455,3.522727,3.636364,22
Little Red Cap,Altbier,Grimm Brothers Brewhouse,Grimm Brothers Brewhouse Little Red Cap,"Notes:Altbier is German for “Old Beer”, this refers to the “old” style of brewing using an ale yeast (As opposed to a lager yeast fermentation which is a relatively new process). This beer originated in the Westphalia region of Germany in a town named Dusseldorf. Due to the cool climate of Dusseldorf, Altbiers employee an ale yeast that has evolved over time to ferment at somewhat cooler temperature than that of other ale yeasts. This cool fermentation produces subtle yeast derived esters and leaves a clean malty beer. In addition to this cool clean fermentation, altbiers are then lagered at cold temperatures to help smooth and refine the beer. The result of this is a very clean and hoppy red ale.Coming in at 6.2% ABV and IBUs Little Red Cap is an easy drinking hop forward beer worthy of its heritage. We use a bit of Cascade hop to give it an “American Twist” while maintaining its German heritage. This beer won a Gold Medal at the 2011 and 2016 GABF and a Bronze at the 2012 GABF. It also won a Silver Award at the 2016 World beer cup.",5.2,25,50,27,39,18,47,52,28,4,24,59,6,100,3.833333,3.833333,3.833333,3.666667,4,3
Festivale,Altbier,Beau's All Natural Brewing Company,Beau's All Natural Brewing Company Festivale,"Notes:Festivale is an amber ale, with balanced high-intensity maltiness and hop presence. Caramunich malts give Festivale its colour and a rich caramel sweetness. Festivale bucks the trend of pale summer beers, offering up amber hues and tastiness for a unique result that is both quaffable and refreshing.40 IBU\t",4.7,25,50,29,30,9,72,77,20,0,20,104,10,141,3.613636,3.886364,3.727273,3.636364,3.681818,22
Moby D,Altbier,Buzzards Bay Brewing,Buzzards Bay Brewing Moby D,Notes:,5,25,50,26,37,14,65,57,33,0,33,107,3,98,3.545455,4.136364,3.636364,3.681818,3.909091,11
Über Alt,Altbier,Rush River Brewing Company,Rush River Brewing Company Über Alt,"Notes:Our Alt is a much stronger version of the traditional Dusseldorf Altbiers. An ancient style from the Rhineland, Altbiers are ales that were virtually wiped out by German lagers in the 1800’s. We use plenty of European hops and German pilsner malts to brew a remarkably clean beer. We then rest it in the cooler for two months to achieve the mellow finish that is the Überalt’s trademark.\t",8.5,25,50,32,64,28,47,135,49,2,65,55,15,182,3.933333,3.866667,4.266667,4.266667,4.166667,15
Füchschen Alt,Altbier,Brauerei Im Füchschen,Brauerei Im Füchschen Im Füchschen Alt,Notes:,4.5,25,50,33,54,13,52,57,10,0,14,68,15,100,4.095238,4.238095,4.261905,4.214286,4.452381,21
Sticke It To The Man,Altbier,O'Fallon Brewery,O'Fallon Brewery Sticke It To The Man,Notes:,7.5,25,50,18,55,50,51,87,22,0,39,47,6,96,3.363636,3.621212,3.515152,3.333333,3.287879,33
Evan Altmighty,Altbier,Blue Mountain Brewery,Blue Mountain Brewery Evan Altmighty,"Notes:34 IBUPilsner, CaraPils and Vienna MaltsHallertau Mittelfruh HopsAle YeastDeep Well Water\t",6.6,25,50,21,39,7,40,62,34,0,47,65,5,80,4,3.9,3.9,4,4.1,5
ALTerior Motive,Altbier,COAST Brewing Company,COAST Brewing Company ALTerior Motive,"Notes:Our altbier is crafted after the authentic, or sticke, style that originated in Germany. It is extremely malty, aggressively hoppy and cold conditioned for a clean, smooth finish.\t",6.3,25,50,27,61,11,56,61,46,0,40,77,14,110,4.1875,4.0625,4.25,4.25,4.46875,16
The Detroit Dwarf,Altbier,Detroit Beer Co.,Detroit Beer Co. Detroit Beer Co. The Detroit Dwarf,"Notes:""This beer has won a bronze, silver and gold as an Alt at the Great american beer festival, and now a silver at the world beer cup as an Alt.""\t",6.8,25,50,19,57,13,42,68,25,0,29,54,12,70,3.655172,3.931034,3.810345,3.689655,3.827586,29
Olde School Barleywine,Barleywine - American,Dogfish Head Brewery,Dogfish Head Brewery Olde School Barleywine,"Notes:Bold, yet smooth! Fermented with dates and figs, this bone-crushing barleywine has a unique flavor.85 IBUABV varies from 13-16%.\t",15,60,100,20,55,82,56,170,30,0,107,43,13,62,3.902411,3.932262,3.901837,3.931688,3.704363,871
Brewer's Reserve Bourbon Barrel Barleywine,Barleywine - American,Central Waters Brewing Company,Central Waters Brewing Company Bourbon Barrel Barleywine,Notes:Aged for 1 year in used bourbon barrels.\t,14.3,60,100,11,65,94,40,142,25,0,63,23,27,133,4.369205,4.072848,4.193709,4.307947,4.09106,302
Old Ruffian,Barleywine - American,Great Divide Brewing Company,Great Divide Brewing Company Old Ruffian Barley Wine,"Notes:Old Ruffian is a hefty, hop-forward barley wine. Seemingly mellow at the start with subtle fruit aromas and complex caramel sweetness, it quickly becomes aggressive with its bold hop flavors and huge hop bitterness. Ultimately, the big body, succulent sweetness and massive hop character come together to work wonders on your palate.\t",10.2,60,100,6,55,31,107,97,27,1,57,120,14,119,4.238552,4.318956,4.231629,4.285942,4.071885,939
Old Horizontal,Barleywine - American,Victory Brewing Company,Victory Brewing Company Old Horizontal,"Notes:Massive amounts of barley malts, combined with fresh harvest American hops make it aromatic and spicy on the nose. Floral, fruity aromas slide into honeyed malt depth with lingering sensations of candied and citrus fruit. Late warming alcohol brings all of these flavors into wonderful harmony to finish.Malt: Imported 2 row German maltsHops: Whole flower American hopsFood Pairings: Meat pies and English cheese\t",11,60,100,9,49,45,78,83,36,1,52,97,12,117,4.051918,4.075772,4.084191,4.14406,3.963517,1069
Behemoth,Barleywine - American,Three Floyds Brewing Co. & Brewpub,Three Floyds Brewing Co. & Brewpub Behemoth Blonde Barleywine,"Notes:A huge, sweet barleywine with complex caramel malt notes, balanced by generous hopping and a high alcohol content. This fruity and malty beer is best enjoyed while keeping warm in the brutal winter months.80 IBU2005 Bottle release - Pink Wax 2007 Bottle release - Yellow Wax, hands not skull on flat finish label (Brewed in Nov 06) 2008 Bottle release - Purple Wax 2009 Bottle release - Blue Wax2010 Bottle release - Green Wax2011 Bottle release - White Wax2011 Bottle release - Yellow Wax, glossy label, skull on label (Ohio only)2012 Bottle release - Red Wax2013 Bottle release - Orange Wax2014 Bottle release - Blue Wax2015 Bottle release - Purple Wax2016 Bottle release - Black Metallic Wax2017 Bottle release - Silver Wax\t",10.5,60,100,18,71,52,90,125,72,0,101,105,24,105,4.207373,4.123272,4.187788,4.264977,4.059908,434
Olde GnarlyWine,Barleywine - American,Lagunitas Brewing Company,Lagunitas Brewing Company Olde GnarlyWine,"Notes:2011: 10.6% ABV, 69 IBU\t",10.9,60,100,14,49,44,47,74,28,0,43,68,17,89,4.052373,4.143208,4.082651,4.12766,4.016367,611
Old Numbskull,Barleywine - American,AleSmith Brewing Company,AleSmith Brewing Company AleSmith Old Numbskull,Notes:,11,60,100,14,58,36,52,117,29,0,54,67,13,122,4.176471,4.082633,4.137255,4.221289,4.102241,357
Flying Mouflan,Barleywine - American,Tröegs Brewing Company,Tröegs Brewing Company Flying Mouflan,Notes:This strong alluring ale is two beers in one. Cracking open a fresh bottle unleashes hops and heat with more than 100 IBUs emanating from three hop varieties and sweet burn of 9.3% ABV. Cellaring the Flying Mouflan in a cool dark place at 50 degrees for a minimum of four months will mellow out the hops and wash away the heat. If you can resist temptation you will be rewarded with two memorable beers in a single bottle.\t,9.3,60,100,17,74,41,66,143,38,1,78,72,11,130,4.134783,4.133696,4.141304,4.23587,4.083696,460
XS Old Crustacean,Barleywine - American,Rogue Ales,Rogue Ales XS Old Crustacean,"Notes:Formerly ""Old Crustacean""8 Ingredients:Hugh Baird Carastan and Rogue Micro Barley Farm DareTM & RiskTM Malts; Chinook and Rogue Micro Hopyard Revolution & Freedom Hops, Pacman Yeast & Free Range Coastal Water.25º PLATO110 IBU83 AA57º Lovibond\t",11.5,60,100,13,51,35,88,80,41,0,65,86,14,83,4.094595,4.024182,4.061166,4.064011,3.738265,703
Doggie Claws,Barleywine - American,Hair of the Dog Brewing Company / Brewery and Tasting Room,Hair of the Dog Brewing Company / Brewery and Tasting Room Doggie Claws,"Notes:""a Barley Wine made in the West Coast style. Big malt and hops make this copper colored ale one of our most popular products. Produced in September and October and released in November, this Beer will improve for years to come. Alcohol: 11.5% by volume. IBU's 70""\t",11.5,60,100,14,55,34,66,102,36,1,53,82,22,98,4.197168,3.980392,4.022876,4.253813,4.021786,459
Helldorado,Barleywine - American,Firestone Walker Brewing Co.,Firestone Walker Brewing Co. Helldorado,"Notes:Part of the adventure of aging beer in retired spirits barrels is the synergistic interaction of different malt flavors with the oak and spirit flavors from the barrel. Darker beers like stouts and darker barley wines have typically been the favored candidates for barrel-aging, due to their deeper caramel and roasted flavors. Helldorado breaks that mold with a deep golden color from being brewed solely with English and American pale malts. The bready, honeyed flavors of pale malts pull out rich wildflower honey, vanilla and coconut notes from the oak, creating an overall flavor evocative of bourbon-glazed graham crackers that stands as singularly unique in our Vintage lineup.\t",12.8,60,100,6,39,56,25,101,23,5,45,48,21,134,4.5,4,4,4.5,4.5,1
Cockeyed Cooper,Barleywine - American,Uinta Brewing Company,Uinta Brewing Company Cockeyed Cooper,Notes:Aged in bourbon barrels.65 IBU\t,11.1,60,100,12,62,66,38,52,20,0,32,42,22,103,3.943333,4.086667,3.843333,3.88,3.813333,150
Solstice D'hiver,Barleywine - American,Brasserie Dieu Du Ciel,Brasserie Dieu Du Ciel Solstice D'hiver,"Notes:This noble winter beer is brown in colour with flaming red highlights. It has a complex aroma of fruits, alcohol and hops. Its taste is delicately sweet and liquor-like with a hint of burnt caramel. It is a very bitter beer with aromas and flavours reminiscent of red fruit. The aftertaste is accentuated by the wonderful flavour of hops.\t",10.2,60,100,23,54,61,70,125,33,0,54,62,22,119,3.905172,3.912069,3.881034,3.927586,3.817241,290
Anniversary Barley Wine Ale,Barleywine - American,Uinta Brewing Company,Uinta Brewing Company Anniversary Barley Wine,"Notes:Rich and complex, this all malt barley wine exhibits hints of dried fruits, toffee and caramel balanced by an abundance of American hops.72 IBU\t",10.4,60,100,7,47,39,64,97,27,1,46,67,2,110,3.892606,3.924296,3.77993,3.818662,3.769366,284
Barleywine Style Ale,Barleywine - American,Green Flash Brewing Co.,Green Flash Brewing Co. Barleywine Style Ale,Notes:,10.9,60,100,12,44,35,70,74,39,1,45,81,17,99,3.883954,4.101719,3.89255,3.84384,3.732092,349
Lower De Boom Barleywine,Barleywine - American,21st Amendment Brewery,21st Amendment Brewery Lower Da Boom Barleywine,Notes:,11.5,60,100,11,60,47,67,110,73,2,120,98,6,100,3.714286,3.785714,3.785714,3.428571,3.5,7
Killer Penguin Barleywine,Barleywine - American,Boulder Beer / Wilderness Pub,Boulder Beer / Wilderness Pub Killer Penguin Barleywine,"Notes:This limited, small-batch release is dark garnet red in color with a candied-fruit like aroma and flavor. At 10% ABV, Killer Penguin is a big barleywine that comes across very smooth and extremely balanced -- the perfect beer to share among friends.\t",10,60,100,8,34,33,29,70,28,0,41,35,4,67,3.616883,3.852814,3.595238,3.521645,3.573593,231
Great,Barleywine - American,Alpine Beer Company,Alpine Beer Company Great,"Notes:The base of this beer was available at a couple of festivals as a barleywine named ""Good"". The remainder of the batch spent several months aging in fresh Jack Daniels barrels and became ""Great"".\t",14,60,100,8,47,36,14,81,14,0,35,10,10,76,4.470588,3.890756,4.205882,4.5,4.163866,119
Griffin's BowBoston Beer Company (Samuel Adams),Barleywine - American,Boston Beer Company (Samuel Adams),Boston Beer Company (Samuel Adams) Griffin's Bow,"Notes:From the aroma and notes of sweet honeysuckle, pineapple, and grapefruit, to richer hints of burnt sugar, and toffee, this intriguing brew is full of complex flavors. The distinct character of toasted oak adds depth and contrasts the light fruit sweetness. This unique take on a barley wine ale surprises with its smoothness and balance of fruit, hop citrus, and warmth.Hops: Nelson Sauvin, ZeusMalts: Two-Row Harrington, Metcalfe, Copeland Pale, Paul’s CaramaltAged on toasted oak\t",11.5,60,100,5,65,41,60,146,78,0,117,71,25,104,3.557471,3.833333,3.586207,3.442529,3.465517,87
Sisyphus,Barleywine - American,Real Ale Brewing Company,Real Ale Brewing Company Sisyphus,Notes:,11.5,60,100,11,68,37,80,109,67,0,83,96,5,87,3.877622,3.914336,3.909091,3.903846,3.826923,286
Gratitude,Barleywine - American,East End Brewing Company,East End Brewing Company Gratitude,"Notes:A limited edition Barleywine Style Ale, brewed in November in the American tradition and hand packaged to specially commemorate the anniversary of the brewery each year.Gratitude Wax Colors:2005-Red Wax2006-Orange Wax2007-Yellow Wax2008-Green Wax2009-Blue Wax2010-Indigo Wax2011-no wax, blank cap (Flatitude)2012-no wax, ""12"" on cap (Flatitude)2013-Violet Wax2014 - red wax, label made to look like paper\t",11.5,60,100,10,69,31,66,124,43,1,60,77,10,108,4.278646,4.161458,4.205729,4.369792,4.174479,192
Barleywine Ale,Barleywine - American,The Duck-Rabbit Craft Brewery,The Duck-Rabbit Craft Brewery Duck-Rabbit Barleywine Ale,"Notes:The Duck-Rabbit Barleywine is the hoppiest of all the Duck-Rabbit brews. This is a Farmville-style Barleywine, crafted the way brewers in Farmville have always done. Loads of Amarillo hops give a piney citrusy bitterness that's supported beautifully by a toffee malt backbone.\t",11,60,100,14,57,43,86,86,36,1,61,96,16,95,3.931973,4.044218,3.829932,3.809524,3.721088,294
The Vermonster,Barleywine - American,Rock Art Brewery,Rock Art Brewery Vermonster,Notes:We brewed The Vermonster with 110 pounds of malt per barrel and jacked up the pour into a wide mouth thin glass goblet.\t,10,60,100,34,41,29,86,50,28,0,34,114,9,83,3.923267,3.975248,3.861386,3.910891,3.816832,202
Smuttynose Barleywine Style Ale (Big Beer Series),Barleywine - American,Smuttynose Brewing Company,Smuttynose Brewing Company Smuttynose Barleywine Style Ale (Big Beer Series),"Notes:First brewed in England, these potent, malty monsters were frequently aged before being put into small bottles and sold as strong beers or even medicinal tonics. The American version has been blown up with more alcohol, larger bottles and more hops.Smuttynose Barleywine straddles these two branches of the barleywine tree. When you taste it, you’ll notice deep, rich caramel malt flavors, balanced with hop bitterness. Fruity hop flavors act as a garnish for its amped-up but classic flavor. For a more refined experience, tuck a few bottles away for a year or two. The alcohol will mellow and the hop aromas will fade into the background, leaving the luscious malt to shine on its own.65 IBU2007 - 11.4%2009 - 11.1%\t",11.6,60,100,11,75,43,89,89,46,0,54,106,17,97,3.995327,3.96729,3.929907,4.004673,3.847352,321
John Barleycorn Barleywine Ale,Barleywine - American,Mad River Brewing Company,Mad River Brewing Company John Barleycorn Barleywine Ale,Notes:Same recipe each year. ABV varies slightly 9.5-11.0%\t,11.4,60,100,12,71,61,57,98,48,1,59,59,14,89,3.730892,3.756369,3.789809,3.714968,3.673567,314
Barrel Aged Behemoth,Barleywine - American,Three Floyds Brewing Co. & Brewpub,Three Floyds Brewing Co. & Brewpub Barrel Aged Behemoth,Notes:American barleywine aged in Woodford Reserve bourbon barrels.\t,12.5,60,100,13,58,66,38,86,36,0,61,42,35,92,4.348485,4,4.333333,4.469697,4.287879,33
Old Ruffian - Barrel-Aged,Barleywine - American,Great Divide Brewing Company,Great Divide Brewing Company Barrel Aged Old Ruffian,Notes:,12.7,60,100,18,67,94,43,134,34,0,57,53,32,132,4.160714,3.845238,3.952381,4.136905,3.97619,84
