id,english,japanese,chinese,french
105,Marowak,ガラガラ,嘎啦嘎啦,Ossatueur
106,Hitmonlee,サワムラー,飞腿郎,Kicklee
107,Hitmonchan,エビワラー,快拳郎,Tygnon
108,Lickitung,ベロリンガ,大舌头,Excelangue
109,Koffing,ドガース,瓦斯弹,Smogo
110,Weezing,マタドガス,双弹瓦斯,Smogogo
111,Rhyhorn,サイホーン,独角犀牛,Rhinocorne
112,Rhydon,サイドン,钻角犀兽,Rhinoféros
113,Chansey,ラッキー,吉利蛋,Leveinard
114,Tangela,モンジャラ,蔓藤怪,Saquedeneu
115,Kangaskhan,ガルーラ,袋兽,Kangourex
116,Horsea,タッツー,墨海马,Hypotrempe
117,Seadra,シードラ,海刺龙,Hypocéan
118,Goldeen,トサキント,角金鱼,Poissirène
119,Seaking,アズマオウ,金鱼王,Poissoroy
120,Staryu,ヒトデマン,海星星,Stari
121,Starmie,スターミー,宝石海星,Staross
122,Mr. Mime,バリヤード,魔墙人偶,M. Mime
123,Scyther,ストライク,飞天螳螂,Insécateur
124,Jynx,ルージュラ,迷唇姐,Lippoutou
125,Electabuzz,エレブー,电击兽,Élektek
126,Magmar,ブーバー,鸭嘴火兽,Magmar
127,Pinsir,カイロス,凯罗斯,Scarabrute
128,Tauros,ケンタロス,肯泰罗,Tauros
129,Magikarp,コイキング,鲤鱼王,Magicarpe
130,Gyarados,ギャラドス,暴鲤龙,Léviator
131,Lapras,ラプラス,拉普拉斯,Lokhlass
132,Ditto,メタモン,百变怪,Métamorph
133,Eevee,イーブイ,伊布,Évoli
134,Vaporeon,シャワーズ,水伊布,Aquali
135,Jolteon,サンダース,雷伊布,Voltali
136,Flareon,ブースター,火伊布,Pyroli
137,Porygon,ポリゴン,多边兽,Porygon
138,Omanyte,オムナイト,菊石兽,Amonita
139,Omastar,オムスター,多刺菊石兽,Amonistar
140,Kabuto,カブト,化石盔,Kabuto
141,Kabutops,カブトプス,镰刀盔,Kabutops
142,Aerodactyl,プテラ,化石翼龙,Ptéra
143,Snorlax,カビゴン,卡比兽,Ronflex
144,Articuno,フリーザー,急冻鸟,Artikodin
145,Zapdos,サンダー,闪电鸟,Électhor
146,Moltres,ファイヤー,火焰鸟,Sulfura
147,Dratini,ミニリュウ,迷你龙,Minidraco
148,Dragonair,ハクリュー,哈克龙,Draco
149,Dragonite,カイリュー,快龙,Dracolosse
150,Mewtwo,ミュウツー,超梦,Mewtwo
151,Mew,ミュウ,梦幻,Mew
152,Chikorita,チコリータ,菊草叶,Germignon
153,Bayleef,ベイリーフ,月桂叶,Macronium
154,Meganium,メガニウム,大竺葵,Méganium
155,Cyndaquil,ヒノアラシ,火球鼠,Héricendre
156,Quilava,マグマラシ,火岩鼠,Feurisson
157,Typhlosion,バクフーン,火暴兽,Typhlosion
158,Totodile,ワニノコ,小锯鳄,Kaiminus
159,Croconaw,アリゲイツ,蓝鳄,Crocrodil
160,Feraligatr,オーダイル,大力鳄,Aligatueur
161,Sentret,オタチ,尾立,Fouinette
162,Furret,オオタチ,大尾立,Fouinar
163,Hoothoot,ホーホー,咕咕,Hoothoot
164,Noctowl,ヨルノズク,猫头夜鹰,Noarfang
165,Ledyba,レディバ,芭瓢虫,Coxy
166,Ledian,レディアン,安瓢虫,Coxyclaque
167,Spinarak,イトマル,圆丝蛛,Mimigal
168,Ariados,アリアドス,阿利多斯,Migalos
169,Crobat,クロバット,叉字蝠,Nostenfer
170,Chinchou,チョンチー,灯笼鱼,Loupio
171,Lanturn,ランターン,电灯怪,Lanturn
172,Pichu,ピチュー,皮丘,Pichu
173,Cleffa,ピィ,皮宝宝,Mélo
174,Igglybuff,ププリン,宝宝丁,Toudoudou
175,Togepi,トゲピー,波克比,Togepi
176,Togetic,トゲチック,波克基古,Togetic
177,Natu,ネイティ,天然雀,Natu
178,Xatu,ネイティオ,天然鸟,Xatu
179,Mareep,メリープ,咩利羊,Wattouat
180,Flaaffy,モココ,茸茸羊,Lainergie
181,Ampharos,デンリュウ,电龙,Pharamp
182,Bellossom,キレイハナ,美丽花,Joliflor
183,Marill,マリル,玛力露,Marill
184,Azumarill,マリルリ,玛力露丽,Azumarill
185,Sudowoodo,ウソッキー,树才怪‎,Simularbre
186,Politoed,ニョロトノ,蚊香蛙皇,Tarpaud
187,Hoppip,ハネッコ,毽子草,Granivol
188,Skiploom,ポポッコ,毽子花,Floravol
189,Jumpluff,ワタッコ,毽子棉,Cotovol
190,Aipom,エイパム,长尾怪手,Capumain
191,Sunkern,ヒマナッツ,向日种子,Tournegrin
192,Sunflora,キマワリ,向日花怪,Héliatronc
193,Yanma,ヤンヤンマ,蜻蜻蜓,Yanma
194,Wooper,ウパー,乌波,Axoloto
195,Quagsire,ヌオー,沼王,Maraiste
196,Espeon,エーフィ,太阳伊布,Mentali
197,Umbreon,ブラッキー,月亮伊布,Noctali
198,Murkrow,ヤミカラス,黑暗鸦,Cornèbre
199,Slowking,ヤドキング,呆呆王,Roigada
200,Misdreavus,ムウマ,梦妖,Feuforêve
201,Unown,アンノーン,未知图腾,Zarbi
202,Wobbuffet,ソーナンス,果然翁,Qulbutoké
203,Girafarig,キリンリキ,麒麟奇,Girafarig
204,Pineco,クヌギダマ,榛果球,Pomdepik
205,Forretress,フォレトス,佛烈托斯,Foretress
206,Dunsparce,ノコッチ,土龙弟弟,Insolourdo
207,Gligar,グライガー,天蝎,Scorplane
208,Steelix,ハガネール,大钢蛇,Steelix
209,Snubbull,ブルー,布鲁,Snubbull
210,Granbull,グランブル,布鲁皇,Granbull
211,Qwilfish,ハリーセン,千针鱼,Qwilfish
212,Scizor,ハッサム,巨钳螳螂,Cizayox
213,Shuckle,ツボツボ,壶壶,Caratroc
214,Heracross,ヘラクロス,赫拉克罗斯,Scarhino
215,Sneasel,ニューラ,狃拉,Farfuret
216,Teddiursa,ヒメグマ,熊宝宝,Teddiursa
217,Ursaring,リングマ,圈圈熊,Ursaring
218,Slugma,マグマッグ,熔岩虫,Limagma
219,Magcargo,マグカルゴ,熔岩蜗牛,Volcaropod
220,Swinub,ウリムー,小山猪,Marcacrin
221,Piloswine,イノムー,长毛猪,Cochignon
222,Corsola,サニーゴ,太阳珊瑚,Corayon
223,Remoraid,テッポウオ,铁炮鱼,Rémoraid
224,Octillery,オクタン,章鱼桶,Octillery
225,Delibird,デリバード,信使鸟,Cadoizo
226,Mantine,マンタイン,巨翅飞鱼,Démanta
227,Skarmory,エアームド,盔甲鸟,Airmure
228,Houndour,デルビル,戴鲁比,Malosse
229,Houndoom,ヘルガー,黑鲁加,Démolosse
230,Kingdra,キングドラ,刺龙王,Hyporoi
231,Phanpy,ゴマゾウ,小小象,Phanpy
232,Donphan,ドンファン,顿甲,Donphan
233,Porygon2,ポリゴン２,多边兽Ⅱ,Porygon2
234,Stantler,オドシシ,惊角鹿,Cerfrousse
235,Smeargle,ドーブル,图图犬,Queulorior
236,Tyrogue,バルキー,无畏小子,Debugant
237,Hitmontop,カポエラー,战舞郎,Kapoera
238,Smoochum,ムチュール,迷唇娃,Lippouti
239,Elekid,エレキッド,电击怪,Élekid
240,Magby,ブビィ,鸭嘴宝宝,Magby
241,Miltank,ミルタンク,大奶罐,Écrémeuh
242,Blissey,ハピナス,幸福蛋,Leuphorie
243,Raikou,ライコウ,雷公,Raikou
244,Entei,エンテイ,炎帝,Entei
245,Suicune,スイクン,水君,Suicune
246,Larvitar,ヨーギラス,幼基拉斯,Embrylex
247,Pupitar,サナギラス,沙基拉斯,Ymphect
248,Tyranitar,バンギラス,班基拉斯,Tyranocif
249,Lugia,ルギア,洛奇亚,Lugia
250,Ho-Oh,ホウオウ,凤王,Ho-Oh
251,Celebi,セレビィ,时拉比,Celebi
252,Treecko,キモリ,木守宫,Arcko
253,Grovyle,ジュプトル,森林蜥蜴,Massko
254,Sceptile,ジュカイン,蜥蜴王,Jungko
255,Torchic,アチャモ,火稚鸡,Poussifeu
256,Combusken,ワカシャモ,力壮鸡,Galifeu
257,Blaziken,バシャーモ,火焰鸡,Braségali
258,Mudkip,ミズゴロウ,水跃鱼,Gobou
259,Marshtomp,ヌマクロー,沼跃鱼,Flobio
260,Swampert,ラグラージ,巨沼怪,Laggron
261,Poochyena,ポチエナ,土狼犬,Medhyèna
262,Mightyena,グラエナ,大狼犬,Grahyèna
263,Zigzagoon,ジグザグマ,蛇纹熊,Zigzaton
264,Linoone,マッスグマ,直冲熊,Linéon
265,Wurmple,ケムッソ,刺尾虫,Chenipotte
266,Silcoon,カラサリス,甲壳茧,Armulys
267,Beautifly,アゲハント,狩猎凤蝶,Charmillon
268,Cascoon,マユルド,盾甲茧,Blindalys
269,Dustox,ドクケイル,毒粉蛾,Papinox
270,Lotad,ハスボー,莲叶童子,Nénupiot
271,Lombre,ハスブレロ,莲帽小童,Lombre
272,Ludicolo,ルンパッパ,乐天河童,Ludicolo
273,Seedot,タネボー,橡实果,Grainipiot
274,Nuzleaf,コノハナ,长鼻叶,Pifeuil
275,Shiftry,ダーテング,狡猾天狗,Tengalice
276,Taillow,スバメ,傲骨燕,Nirondelle
277,Swellow,オオスバメ,大王燕,Hélédelle
278,Wingull,キャモメ,长翅鸥,Goélise
279,Pelipper,ペリッパー,大嘴鸥,Bekipan
280,Ralts,ラルトス,拉鲁拉丝,Tarsal
281,Kirlia,キルリア,奇鲁莉安,Kirlia
282,Gardevoir,サーナイト,沙奈朵,Gardevoir
283,Surskit,アメタマ,溜溜糖球,Arakdo
284,Masquerain,アメモース,雨翅蛾,Maskadra
285,Shroomish,キノココ,蘑蘑菇,Balignon
286,Breloom,キノガッサ,斗笠菇,Chapignon
287,Slakoth,ナマケロ,懒人獭,Parecool
288,Vigoroth,ヤルキモノ,过动猿,Vigoroth
289,Slaking,ケッキング,请假王,Monaflèmit
290,Nincada,ツチニン,土居忍士,Ningale
291,Ninjask,テッカニン,铁面忍者,Ninjask
292,Shedinja,ヌケニン,脱壳忍者,Munja
293,Whismur,ゴニョニョ,咕妞妞,Chuchmur
294,Loudred,ドゴーム,吼爆弹,Ramboum
295,Exploud,バクオング,爆音怪,Brouhabam
296,Makuhita,マクノシタ,幕下力士,Makuhita
297,Hariyama,ハリテヤマ,铁掌力士,Hariyama
298,Azurill,ルリリ,露力丽,Azurill
299,Nosepass,ノズパス,朝北鼻,Tarinor
300,Skitty,エネコ,向尾喵,Skitty
301,Delcatty,エネコロロ,优雅猫,Delcatty
302,Sableye,ヤミラミ,勾魂眼,Ténéfix
303,Mawile,クチート,大嘴娃,Mysdibule
304,Aron,ココドラ,可可多拉,Galekid
305,Lairon,コドラ,可多拉,Galegon
306,Aggron,ボスゴドラ,波士可多拉,Galeking
307,Meditite,アサナン,玛沙那,Méditikka
308,Medicham,チャーレム,恰雷姆,Charmina
309,Electrike,ラクライ,落雷兽,Dynavolt
310,Manectric,ライボルト,雷电兽,Élecsprint
311,Plusle,プラスル,正电拍拍,Posipi
312,Minun,マイナン,负电拍拍,Négapi
313,Volbeat,バルビート,电萤虫,Muciole
314,Illumise,イルミーゼ,甜甜萤,Lumivole
315,Roselia,ロゼリア,毒蔷薇,Rosélia
316,Gulpin,ゴクリン,溶食兽,Gloupti
317,Swalot,マルノーム,吞食兽,Avaltout
318,Carvanha,キバニア,利牙鱼,Carvanha
319,Sharpedo,サメハダー,巨牙鲨,Sharpedo
320,Wailmer,ホエルコ,吼吼鲸,Wailmer
321,Wailord,ホエルオー,吼鲸王,Wailord
322,Numel,ドンメル,呆火驼,Chamallot
323,Camerupt,バクーダ,喷火驼,Camérupt
324,Torkoal,コータス,煤炭龟,Chartor
325,Spoink,バネブー,跳跳猪,Spoink
326,Grumpig,ブーピッグ,噗噗猪,Groret
327,Spinda,パッチール,晃晃斑,Spinda
328,Trapinch,ナックラー,大颚蚁,Kraknoix
329,Vibrava,ビブラーバ,超音波幼虫,Vibraninf
330,Flygon,フライゴン,沙漠蜻蜓,Libégon
331,Cacnea,サボネア,刺球仙人掌,Cacnea
332,Cacturne,ノクタス,梦歌仙人掌,Cacturne
333,Swablu,チルット,青绵鸟,Tylton
334,Altaria,チルタリス,七夕青鸟,Altaria
335,Zangoose,ザングース,猫鼬斩,Mangriff
336,Seviper,ハブネーク,饭匙蛇,Séviper
337,Lunatone,ルナトーン,月石,Séléroc
338,Solrock,ソルロック,太阳岩,Solaroc
339,Barboach,ドジョッチ,泥泥鳅,Barloche
340,Whiscash,ナマズン,鲶鱼王,Barbicha
341,Corphish,ヘイガニ,龙虾小兵,Écrapince
342,Crawdaunt,シザリガー,铁螯龙虾,Colhomard
343,Baltoy,ヤジロン,天秤偶,Balbuto
344,Claydol,ネンドール,念力土偶,Kaorine
345,Lileep,リリーラ,触手百合,Lilia
346,Cradily,ユレイドル,摇篮百合,Vacilys
347,Anorith,アノプス,太古羽虫,Anorith
348,Armaldo,アーマルド,太古盔甲,Armaldo
349,Feebas,ヒンバス,丑丑鱼,Barpau
350,Milotic,ミロカロス,美纳斯,Milobellus
351,Castform,ポワルン,飘浮泡泡,Morphéo
352,Kecleon,カクレオン,变隐龙,Kecleon
353,Shuppet,カゲボウズ,怨影娃娃,Polichombr
354,Banette,ジュペッタ,诅咒娃娃,Branette
355,Duskull,ヨマワル,夜巡灵,Skelénox
356,Dusclops,サマヨール,彷徨夜灵,Téraclope
357,Tropius,トロピウス,热带龙,Tropius
358,Chimecho,チリーン,风铃铃,Éoko
359,Absol,アブソル,阿勃梭鲁,Absol
360,Wynaut,ソーナノ,小果然,Okéoké
361,Snorunt,ユキワラシ,雪童子,Stalgamin
362,Glalie,オニゴーリ,冰鬼护,Oniglali
363,Spheal,タマザラシ,海豹球,Obalie
364,Sealeo,トドグラー,海魔狮,Phogleur
365,Walrein,トドゼルガ,帝牙海狮,Kaimorse
366,Clamperl,パールル,珍珠贝,Coquiperl
367,Huntail,ハンテール,猎斑鱼,Serpang
368,Gorebyss,サクラビス,樱花鱼,Rosabyss
369,Relicanth,ジーランス,古空棘鱼,Relicanth
370,Luvdisc,ラブカス,爱心鱼,Lovdisc
371,Bagon,タツベイ,宝贝龙,Draby
372,Shelgon,コモルー,甲壳龙,Drackhaus
373,Salamence,ボーマンダ,暴飞龙,Drattak
374,Beldum,ダンバル,铁哑铃,Terhal
375,Metang,メタング,金属怪,Métang
376,Metagross,メタグロス,巨金怪,Métalosse
377,Regirock,レジロック,雷吉洛克,Regirock
378,Regice,レジアイス,雷吉艾斯,Regice
379,Registeel,レジスチル,雷吉斯奇鲁,Registeel
380,Latias,ラティアス,拉帝亚斯,Latias
381,Latios,ラティオス,拉帝欧斯,Latios
382,Kyogre,カイオーガ,盖欧卡,Kyogre
383,Groudon,グラードン,固拉多,Groudon
384,Rayquaza,レックウザ,烈空坐,Rayquaza
385,Jirachi,ジラーチ,基拉祈,Jirachi
386,Deoxys,デオキシス,代欧奇希斯,Deoxys
387,Turtwig,ナエトル,草苗龟,Tortipouss
388,Grotle,ハヤシガメ,树林龟,Boskara
389,Torterra,ドダイトス,土台龟,Torterra
390,Chimchar,ヒコザル,小火焰猴,Ouisticram
391,Monferno,モウカザル,猛火猴,Chimpenfeu
392,Infernape,ゴウカザル,烈焰猴,Simiabraz
393,Piplup,ポッチャマ,波加曼,Tiplouf
394,Prinplup,ポッタイシ,波皇子,Prinplouf
395,Empoleon,エンペルト,帝王拿波,Pingoléon
396,Starly,ムックル,姆克儿,Étourmi
397,Staravia,ムクバード,姆克鸟,Étourvol
398,Staraptor,ムクホーク,姆克鹰,Étouraptor
399,Bidoof,ビッパ,大牙狸,Keunotor
400,Bibarel,ビーダル,大尾狸,Castorno
401,Kricketot,コロボーシ,圆法师,Crikzik
402,Kricketune,コロトック,音箱蟀,Mélokrik
403,Shinx,コリンク,小猫怪,Lixy
404,Luxio,ルクシオ,勒克猫,Luxio
405,Luxray,レントラー,伦琴猫,Luxray
406,Budew,スボミー,含羞苞,Rozbouton
407,Roserade,ロズレイド,罗丝雷朵,Roserade
408,Cranidos,ズガイドス,头盖龙,Kranidos
409,Rampardos,ラムパルド,战槌龙,Charkos
410,Shieldon,タテトプス,盾甲龙,Dinoclier
411,Bastiodon,トリデプス,护城龙,Bastiodon
412,Burmy,ミノムッチ,结草儿,Cheniti
413,Wormadam,ミノマダム,结草贵妇,Cheniselle
414,Mothim,ガーメイル,绅士蛾,Papilord
415,Combee,ミツハニー,三蜜蜂,Apitrini
416,Vespiquen,ビークイン,蜂女王,Apireine
417,Pachirisu,パチリス,帕奇利兹,Pachirisu
418,Buizel,ブイゼル,泳圈鼬,Mustébouée
419,Floatzel,フローゼル,浮潜鼬,Mustéflott
420,Cherubi,チェリンボ,樱花宝,Ceribou
421,Cherrim,チェリム,樱花儿,Ceriflor
422,Shellos,カラナクシ,无壳海兔,Sancoki
423,Gastrodon,トリトドン,海兔兽,Tritosor
424,Ambipom,エテボース,双尾怪手,Capidextre
425,Drifloon,フワンテ,飘飘球,Baudrive
426,Drifblim,フワライド,随风球,Grodrive
427,Buneary,ミミロル,卷卷耳,Laporeille
428,Lopunny,ミミロップ,长耳兔,Lockpin
429,Mismagius,ムウマージ,梦妖魔,Magirêve
430,Honchkrow,ドンカラス,乌鸦头头,Corboss
431,Glameow,ニャルマー,魅力喵,Chaglam
432,Purugly,ブニャット,东施喵,Chaffreux
433,Chingling,リーシャン,铃铛响,Korillon
434,Stunky,スカンプー,臭鼬噗,Moufouette
435,Skuntank,スカタンク,坦克臭鼬,Moufflair
436,Bronzor,ドーミラー,铜镜怪,Archéomire
437,Bronzong,ドータクン,青铜钟,Archéodong
438,Bonsly,ウソハチ,盆才怪,Manzaï
439,Mime Jr.,マネネ,魔尼尼,Mime Jr
440,Happiny,ピンプク,小福蛋,Ptiravi
441,Chatot,ペラップ,聒噪鸟,Pijako
442,Spiritomb,ミカルゲ,花岩怪,Spiritomb
443,Gible,フカマル,圆陆鲨,Griknot
444,Gabite,ガバイト,尖牙陆鲨,Carmache
445,Garchomp,ガブリアス,烈咬陆鲨,Carchacrok
446,Munchlax,ゴンベ,小卡比兽,Goinfrex
447,Riolu,リオル,利欧路,Riolu
448,Lucario,ルカリオ,路卡利欧,Lucario
449,Hippopotas,ヒポポタス,沙河马,Hippopotas
450,Hippowdon,カバルドン,河马兽,Hippodocus
451,Skorupi,スコルピ,钳尾蝎,Rapion
452,Drapion,ドラピオン,龙王蝎,Drascore
453,Croagunk,グレッグル,不良蛙,Cradopaud
454,Toxicroak,ドクロッグ,毒骷蛙,Coatox
455,Carnivine,マスキッパ,尖牙笼,Vortente
456,Finneon,ケイコウオ,荧光鱼,Écayon
457,Lumineon,ネオラント,霓虹鱼,Luminéon
458,Mantyke,タマンタ,小球飞鱼,Babimanta
459,Snover,ユキカブリ,雪笠怪,Blizzi
460,Abomasnow,ユキノオー,暴雪王,Blizzaroi
461,Weavile,マニューラ,玛狃拉,Dimoret
462,Magnezone,ジバコイル,自爆磁怪,Magnézone
463,Lickilicky,ベロベルト,大舌舔,Coudlangue
464,Rhyperior,ドサイドン,超甲狂犀,Rhinastoc
465,Tangrowth,モジャンボ,巨蔓藤,Bouldeneu
466,Electivire,エレキブル,电击魔兽,Élekable
467,Magmortar,ブーバーン,鸭嘴炎兽,Maganon
468,Togekiss,トゲキッス,波克基斯,Togekiss
469,Yanmega,メガヤンマ,远古巨蜓,Yanmega
470,Leafeon,リーフィア,叶伊布,Phyllali
471,Glaceon,グレイシア,冰伊布,Givrali
472,Gliscor,グライオン,天蝎王,Scorvol
473,Mamoswine,マンムー,象牙猪,Mammochon
474,Porygon-Z,ポリゴンＺ,多边兽Ｚ,Porygon-Z
475,Gallade,エルレイド,艾路雷朵,Gallame
476,Probopass,ダイノーズ,大朝北鼻,Tarinorme
477,Dusknoir,ヨノワール,黑夜魔灵,Noctunoir
478,Froslass,ユキメノコ,雪妖女,Momartik
479,Rotom,ロトム,洛托姆,Motisma
480,Uxie,ユクシー,由克希,Créhelf
481,Mesprit,エムリット,艾姆利多,Créfollet
482,Azelf,アグノム,亚克诺姆,Créfadet
483,Dialga,ディアルガ,帝牙卢卡,Dialga
484,Palkia,パルキア,帕路奇亚,Palkia
485,Heatran,ヒードラン,席多蓝恩,Heatran
486,Regigigas,レジギガス,雷吉奇卡斯,Regigigas
487,Giratina,ギラティナ,骑拉帝纳,Giratina
488,Cresselia,クレセリア,克雷色利亚,Cresselia
489,Phione,フィオネ,霏欧纳,Phione
490,Manaphy,マナフィ,玛纳霏,Manaphy
491,Darkrai,ダークライ,达克莱伊,Darkrai
492,Shaymin,シェイミ,谢米,Shaymin
493,Arceus,アルセウス,阿尔宙斯,Arceus
494,Victini,ビクティニ,比克提尼,Victini
495,Snivy,ツタージャ,藤藤蛇,Vipélierre
496,Servine,ジャノビー,青藤蛇,Lianaja
497,Serperior,ジャローダ,君主蛇,Majaspic
498,Tepig,ポカブ,暖暖猪,Gruikui
499,Pignite,チャオブー,炒炒猪,Grotichon
500,Emboar,エンブオー,炎武王,Roitiflam
501,Oshawott,ミジュマル,水水獭,Moustillon
502,Dewott,フタチマル,双刃丸,Mateloutre
503,Samurott,ダイケンキ,大剑鬼,Clamiral
504,Patrat,ミネズミ,探探鼠,Ratentif
505,Watchog,ミルホッグ,步哨鼠,Miradar
506,Lillipup,ヨーテリー,小约克,Ponchiot
507,Herdier,ハーデリア,哈约克,Ponchien
508,Stoutland,ムーランド,长毛狗,Mastouffe
509,Purrloin,チョロネコ,扒手猫,Chacripan
510,Liepard,レパルダス,酷豹,Léopardus
511,Pansage,ヤナップ,花椰猴,Feuillajou
512,Simisage,ヤナッキー,花椰猿,Feuiloutan
513,Pansear,バオップ,爆香猴,Flamajou
514,Simisear,バオッキー,爆香猿,Flamoutan
515,Panpour,ヒヤップ,冷水猴,Flotajou
516,Simipour,ヒヤッキー,冷水猿,Flotoutan
517,Munna,ムンナ,食梦梦,Munna
518,Musharna,ムシャーナ,梦梦蚀,Mushana
519,Pidove,マメパト,豆豆鸽,Poichigeon
520,Tranquill,ハトーボー,咕咕鸽,Colombeau
521,Unfezant,ケンホロウ,高傲雉鸡,Déflaisan
522,Blitzle,シママ,斑斑马,Zébibron
523,Zebstrika,ゼブライカ,雷电斑马,Zéblitz
524,Roggenrola,ダンゴロ,石丸子,Nodulithe
525,Boldore,ガントル,地幔岩,Géolithe
