id,text,author,likes
32,"Only once in your life, I truly believe, you find someone who can completely turn your world around. You tell them things that you’ve never shared with another soul and they absorb everything you say and actually want to hear more. You share hopes for the future, dreams that will never come true, goals that were never achieved and the many disappointments life has thrown at you. When something wonderful happens, you can’t wait to tell them about it, knowing they will share in your excitement. They are not embarrassed to cry with you when you are hurting or laugh with you when you make a fool of yourself. Never do they hurt your feelings or make you feel like you are not good enough, but rather they build you up and show you the things about yourself that make you special and even beautiful. There is never any pressure, jealousy or competition but only a quiet calmness when they are around. You can be yourself and not worry about what they will think of you because they love you for who you are. The things that seem insignificant to most people such as a note, song or walk become invaluable treasures kept safe in your heart to cherish forever. Memories of your childhood come back and are so clear and vivid it’s like being young again. Colours seem brighter and more brilliant. Laughter seems part of daily life where before it was infrequent or didn’t exist at all. A phone call or two during the day helps to get you through a long day’s work and always brings a smile to your face. In their presence, there’s no need for continuous conversation, but you find you’re quite content in just having them nearby. Things that never interested you before become fascinating because you know they are important to this person who is so special to you. You think of this person on every occasion and in everything you do. Simple things bring them to mind like a pale blue sky, gentle wind or even a storm cloud on the horizon. You open your heart knowing that there’s a chance it may be broken one day and in opening your heart, you experience a love and joy that you never dreamed possible. You find that being vulnerable is the only way to allow your heart to feel true pleasure that’s so real it scares you. You find strength in knowing you have a true friend and possibly a soul mate who will remain loyal to the end. Life seems completely different, exciting and worthwhile. Your only hope and security is in knowing that they are a part of your life.",Bob Marley,51473 likes
33,It is better to be hated for what you are than to be loved for what you are not.,André Gide,51347 likes
34,"All that is gold does not glitter,",J.R.R. Tolkien,47817 likes
35,"Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.",Marilyn Monroe,46246 likes
36,"It is our choices, Harry, that show what we truly are, far more than our abilities.",J.K. Rowling,44798 likes
37,There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.,Albert Einstein,44625 likes
38,"The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.",Jane Austen,44583 likes
39,It does not do to dwell on dreams and forget to live.,J.K. Rowling,43126 likes
40,"As he read, I fell in love the way you fall asleep: slowly, and then all at once.",John Green,43015 likes
41,"It is better to remain silent at the risk of being thought a fool, than to talk and remove all doubt of it.",Maurice Switzer,42294 likes
42,"Good friends, good books, and a sleepy conscience: this is the ideal life.",Mark Twain,41795 likes
43,Life is what happens to us while we are making other plans.,Allen Saunders,41102 likes
44,"The fool doth think he is wise, but the wise man knows himself to be a fool.",William Shakespeare,40682 likes
45,"Whenever you find yourself on the side of the majority, it is time to reform (or pause and reflect).",Mark Twain,40558 likes
46,"Yesterday is history, tomorrow is a mystery, today is a gift of God, which is why we call it the present.",Bil Keane,39701 likes
47,"We are all in the gutter, but some of us are looking at the stars.",Oscar Wilde,39493 likes
48,A woman is like a tea bag; you never know how strong it is until it's in hot water.,Eleanor Roosevelt,38616 likes
49,"Fairy tales are more than true: not because they tell us that dragons exist, but because they tell us that dragons can be beaten.",Neil Gaiman,37945 likes
50,"I have not failed. I've just found 10,000 ways that won't work.",Thomas A. Edison,37723 likes
51,If you don't stand for something you will fall for anything.,Gordon A. Eadie,37302 likes
52,The man who does not read has no advantage over the man who cannot read.,Mark Twain,37198 likes
53,"The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.",Elie Wiesel,36788 likes
54,"It is not a lack of love, but a lack of friendship that makes unhappy marriages.",Friedrich Nietzsche,36503 likes
55,"I may not have gone where I intended to go, but I think I have ended up where I needed to be.",Douglas Adams,35796 likes
56,I am enough of an artist to draw freely upon my imagination. Imagination is more important than knowledge. Knowledge is limited. Imagination encircles the world.,Albert Einstein,35200 likes
57,"Outside of a dog, a book is man's best friend. Inside of a dog it's too dark to read.",Groucho Marx,35127 likes
58,I solemnly swear that I am up to no good.,J.K. Rowling,34736 likes
59,"I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.",Pablo Neruda,34142 likes
60,"I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.",Dr. Seuss,33844 likes
61,"A day without sunshine is like, you know, night.",Steve Martin,33630 likes
62,Have you ever been in love? Horrible isn't it? It makes you so vulnerable. It opens your chest and it opens up your heart and it means that someone can get inside you and mess you up.,Neil Gaiman,32686 likes
63,Never put off till tomorrow what may be done day after tomorrow just as well.,Mark Twain,32655 likes
64,"Love all, trust a few, do wrong to none.",William Shakespeare,32617 likes
65,You have brains in your head. You have feet in your shoes. You can steer yourself any direction you choose. You're on your own. And you know what you know. And YOU are the one who'll decide where to go...,Dr. Seuss,32194 likes
66,The Paradoxical Commandments,Kent M. Keith,32089 likes
67,That which does not kill us makes us stronger.,Friedrich Nietzsche,31707 likes
68,"If you judge people, you have no time to love them.",Mother Teresa,30305 likes
69,For every minute you are angry you lose sixty seconds of happiness.,Ralph Waldo Emerson,30199 likes
70,"There is never a time or place for true love. It happens accidentally, in a heartbeat, in a single flashing, throbbing moment.",Sarah Dessen,29780 likes
71,"This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.",Marilyn Monroe,29757 likes
72,It is never too late to be what you might have been.,George Eliot,29730 likes
73,"Being deeply loved by someone gives you strength, while loving someone deeply gives you courage.",Lao Tzu,29667 likes
74,"A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.",George R.R. Martin,29603 likes
75,I love deadlines. I love the whooshing noise they make as they go by.,Douglas Adams,29179 likes
76,My thoughts are stars I cannot fathom into constellations.,John Green,29018 likes
77,"It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.",J.K. Rowling,28619 likes
78,Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.,Garrison Keillor,27781 likes
79,"If you can't explain it to a six year old, you don't understand it yourself.",Albert Einstein,27777 likes
80,Love is that condition in which the happiness of another person is essential to your own.,Robert A. Heinlein,27752 likes
81,"I'm not upset that you lied to me, I'm upset that from now on I can't believe you.",Friedrich Nietzsche,27512 likes
82,"Women and cats will do as they please, and men and dogs should relax and get used to the idea.",Robert A. Heinlein,26833 likes
83,There is no greater agony than bearing an untold story inside you.,Maya Angelou,26560 likes
84,I have always imagined that Paradise will be a kind of library.,Jorge Luis Borges,26547 likes
85,Everything you can imagine is real.,Pablo Picasso,26303 likes
86,Sometimes the questions are complicated and the answers are simple.,Dr. Seuss,26067 likes
87,"You love me. Real or not real?""",Suzanne Collins,25856 likes
88,We read to know we're not alone.,William Nicholson,25699 likes
89,"We don't see things as they are, we see them as we are.",Anaïs Nin,25617 likes
90,"You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.",Bob Marley,25530 likes
91,All you need is love. But a little chocolate now and then doesn't hurt.,Charles M. Schulz,25146 likes
92,Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.,Jim Henson,24886 likes
93,"Sometimes, you read a book and it fills you with this weird evangelical zeal, and you become convinced that the shattered world will never be put back together unless and until all living humans read the book.",John Green,24562 likes
94,Never trust anyone who has not brought a book with them.,Lemony Snicket,24427 likes
95,"Today you are You, that is truer than true. There is no one alive who is Youer than You.",Dr. Seuss,24316 likes
96,You can never get a cup of tea large enough or a book long enough to suit me.,C.S. Lewis,23678 likes
97,"If you only read the books that everyone else is reading, you can only think what everyone else is thinking.",Haruki Murakami,23628 likes
98,I'm not afraid of death; I just don't want to be there when it happens.,Woody Allen,23516 likes
99,"It is impossible to live without failing at something, unless you live so cautiously that you might as well not have lived at all - in which case, you fail by default.",J.K. Rowling,23504 likes
100,Have you fallen in love with the wrong person yet?',Cassandra Clare,23260 likes
101,"Whenever I feel the need to exercise, I lie down until it goes away.",Paul   Terry,23253 likes
102,"If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.",Albert Einstein,23207 likes
103,"Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?",J.K. Rowling,23098 likes
104,"To the well-organized mind, death is but the next great adventure.",J.K. Rowling,22958 likes
105,"I am nothing special, of this I am sure. I am a common man with common thoughts and I've led a common life. There are no monuments dedicated to me and my name will soon be forgotten, but I've loved another with all my heart and soul, and to me, this has always been enough..",Nicholas Sparks,22882 likes
106,Logic will get you from A to Z; imagination will get you everywhere.,Albert Einstein,22831 likes
107,"I'm in love with you,"" he said quietly.",John Green,22723 likes
108,"If one cannot enjoy reading a book over and over again, there is no use in reading it at all.",Oscar Wilde,22552 likes
109,"The more that you read, the more things you will know. The more that you learn, the more places you'll go.",Dr. Seuss,22485 likes
110,You don't get to choose if you get hurt in this world...but you do have some say in who hurts you. I like my choices.,John Green,22443 likes
111,"One good thing about music, when it hits you, you feel no pain.",Bob Marley,22427 likes
112,Folks are usually about as happy as they make their minds up to be.,Abraham Lincoln,22372 likes
113,"If you live to be a hundred, I want to live to be a hundred minus one day so I never have to live without you.",Joan Powers,22126 likes
114,Sometimes people are beautiful.,Markus Zusak,22067 likes
115,Life isn't about finding yourself. Life is about creating yourself.,George Bernard Shaw,22045 likes
116,"The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.",Bob Marley,22033 likes
117,"Do what you can, with what you have, where you are.",Theodore Roosevelt,21877 likes
118,"Saying 'I notice you're a nerd' is like saying, 'Hey, I notice that you'd rather be intelligent than be stupid, that you'd rather be thoughtful than be vapid, that you believe that there are things that matter more than the arrest record of Lindsay Lohan. Why is that?' In fact, it seems to me that most contemporary insults are pretty lame. Even 'lame' is kind of lame. Saying 'You're lame' is like saying 'You walk with a limp.' Yeah, whatever, so does 50 Cent, and he's done all right for himself.",John Green,21801 likes
119,Not all of us can do great things. But we can do small things with great love.,Mother Teresa,21777 likes
120,"Love looks not with the eyes, but with the mind,",William Shakespeare,21660 likes
121,"Listen to the mustn'ts, child. Listen to the don'ts. Listen to the shouldn'ts, the impossibles, the won'ts. Listen to the never haves, then listen close to me... Anything can happen, child. Anything can be.",Shel Silverstein,21312 likes
122,"Love is like the wind, you can't see it but you can feel it.",Nicholas Sparks,21293 likes
123,You don’t ,Walter M. Miller Jr.,21180 likes
124,"When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.",Helen Keller,20983 likes
125,The difference between genius and stupidity is: genius has its limits.,Alexandre Dumas fils,20964 likes
126,"I find television very educating. Every time somebody turns on the set, I go into the other room and read a book.",Groucho Marx,20786 likes
127,"I would venture to guess that Anon, who wrote so many poems without signing them, was often a woman.",Virginia Woolf,20540 likes
128,"If you can make a woman laugh, you can make her do anything.",Marilyn Monroe,20509 likes
129,"People think a soul mate is your perfect fit, and that's what everyone wants. But a true soul mate is a mirror, the person who shows you everything that is holding you back, the person who brings you to your own attention so you can change your life. ",Elizabeth Gilbert,20463 likes
130,There is no friend as loyal as a book.,Ernest Hemingway,20415 likes
131,"You don't love someone because they're perfect, you love them in spite of the fact that they're not.",Jodi Picoult,20306 likes
132,"We’re all a little weird. And life is a little weird. And when we find someone whose weirdness is compatible with ours, we join up with them and fall into mutually satisfying weirdness—and call it love—true love.",Robert Fulghum,20261 likes
133,Some infinities are bigger than other infinities.,John Green,19953 likes
134,"Life is like riding a bicycle. To keep your balance, you must keep moving.",Albert Einstein,19883 likes
135,The story so far:,Douglas Adams,19823 likes
136,"It matters not what someone is born, but what they grow to be.",J.K. Rowling,19797 likes
137,"Success is not final, failure is not fatal: it is the courage to continue that counts.",Winston S. Churchill,19752 likes
138,Do one thing every day that scares you.,Eleanor Roosevelt,19721 likes
139,"So, this is my life. And I want you to know that I am both happy and sad and I'm still trying to figure out how that could be.",Stephen Chbosky,19673 likes
140,"Love never dies a natural death. It dies because we don't know how to replenish its source. It dies of blindness and errors and betrayals. It dies of illness and wounds; it dies of weariness, of witherings, of tarnishings.",Anaïs Nin,19571 likes
141,"He's like a drug for you, Bella.",Stephenie Meyer,19506 likes
142,The real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space.,Marilyn Monroe,19459 likes
143,"There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.",Jane Austen,19313 likes
144,"A wise girl kisses but doesn't love, listens but doesn't believe, and leaves before she is left.",Marilyn Monroe,19250 likes
145,Time you enjoy wasting is not wasted time.,Marthe Troly-Curtin,19248 likes
146,Some people never go crazy. What truly horrible lives they must lead.,Charles Bukowski,19211 likes
147,Who are you to judge the life I live?,Bob Marley,19184 likes
148,"The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.",Terry Pratchett,19046 likes
149,Piglet sidled up to Pooh from behind. ,A.A. Milne,19019 likes
150,If I had a flower for every time I thought of you...I could walk through my garden forever.,Alfred Tennyson,18992 likes
151,"There is no pretending,"" Jace said with absolute clarity. ""I love you, and I will love you until I die, and if there is life after that, I'll love you then.",Cassandra Clare,18807 likes
152,It is what you read when you don't have to that determines what you will be when you can't help it.,Oscar Wilde,18744 likes
153,Reality continues to ruin my life.,Bill Watterson,18698 likes
154,"I am good, but not an angel. I do sin, but I am not the devil. I am just a small girl in a big world trying to find someone to love.",Marilyn Monroe,18650 likes
155,"He has achieved success who has lived well, laughed often, and loved much;",Bessie Anderson Stanley,18592 likes
156,"What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.",J.D. Salinger,18576 likes
157,Things change. And friends leave. Life doesn't stop for anybody.,Stephen Chbosky,18558 likes
158,The only way out of the labyrinth of suffering is to forgive.,John Green,18237 likes
159,Go to heaven for the climate and hell for the company.,Benjamin Franklin Wade,17817 likes
160,The reason I talk to myself is because I’m the only one whose answers I accept.,George Carlin,17812 likes
161,,Charles M. Schulz,17788 likes
162,You don’t forget the face of the person who was your last hope.,Suzanne Collins,17787 likes
163,Not all those who wander are lost.,J.R.R. Tolkien,17571 likes
164,"You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.",John Lennon,17544 likes
165,"When someone loves you, the way they talk about you is different. You feel safe and comfortable.",Jess C. Scott,17506 likes
166,"To love at all is to be vulnerable. Love anything and your heart will be wrung and possibly broken. If you want to make sure of keeping it intact you must give it to no one, not even an animal. Wrap it carefully round with hobbies and little luxuries; avoid all entanglements. Lock it up safe in the casket or coffin of your selfishness. But in that casket, safe, dark, motionless, airless, it will change. It will not be broken; it will become unbreakable, impenetrable, irredeemable. To love is to be vulnerable.",C.S. Lewis,17460 likes
167,"Remember, we're madly in love, so it's all right to kiss me anytime you feel like it.",Suzanne Collins,17438 likes
168,I am free of all prejudice. I hate everyone equally. ,W.C. Fields,17405 likes
169,"Do not pity the dead, Harry. Pity the living, and, above all those who live without love.",J.K. Rowling,17353 likes
170,You should date a girl who reads.,Rosemarie Urquico,17293 likes
171,There is nothing to writing. All you do is sit down at a typewriter and bleed.,Ernest Hemingway,17272 likes
172,I've been making a list of the things they don't teach you at school. They don't teach you how to love somebody. They don't teach you how to be famous. They don't teach you how to be rich or how to be poor. They don't teach you how to walk away from someone you don't love any longer. They don't teach you how to know what's going on in someone else's mind. They don't teach you what to say to someone who's dying. They don't teach you anything worth knowing.,Neil Gaiman,17108 likes
173,"Dumbledore watched her fly away, and as her silvery glow faded he turned back to Snape, and his eyes were full of tears.",J.K. Rowling,17089 likes
174,What a slut time is. She screws everybody.,John Green,16936 likes
175,"If there's a book that you want to read, but it hasn't been written yet, then you must write it.",Toni Morrison,16880 likes
176,The marks humans leave are too often scars.,John Green,16840 likes
177,"One must always be careful of books,"" said Tessa, ""and what is inside them, for words have the power to change us.",Cassandra Clare,16745 likes
178,Finish each day and be done with it. You have done what you could. Some blunders and absurdities no doubt crept in; forget them as soon as you can. Tomorrow is a new day. You shall begin it serenely and with too high a spirit to be encumbered with your old nonsense.,Ralph Waldo Emerson,16649 likes
179,I have never let my schooling interfere with my education.,Mark Twain,16609 likes
180,"There is nothing better than a friend, unless it is a friend with chocolate.",Linda Grayson,16536 likes
181,′Classic′ - a book which people praise and don't read.,Mark Twain,16522 likes
182,Books are the ultimate Dumpees: put them down and they’ll wait for you forever; pay attention to them and they always love you back.,John Green,16395 likes
183,The question isn't who is going to let me; it's who is going to stop me.,Ayn Rand,16349 likes
184,To die will be an awfully big adventure.,J.M. Barrie,16193 likes
185,It takes courage to grow up and become who you really are.,E.E. Cummings,16170 likes
186,Anyone who has never made a mistake has never tried anything new.,Albert Einstein,16129 likes
187,"There are infinite numbers between 0 and 1. There's .1 and .12 and .112 and an infinite collection of others. Of course, there is a bigger infinite set of numbers between 0 and 2, or between 0 and a million. Some infinities are bigger than other infinities. A writer we used to like taught us that. There are days, many of them, when I resent the size of my unbounded set. I want more numbers than I'm likely to get, and God, I want more numbers for Augustus Waters than he got. But, Gus, my love, I cannot tell you how thankful I am for our little infinity. I wouldn't trade it for the world. You gave me a forever within the numbered days, and I'm grateful.",John Green,16092 likes
188,"And, when you want something, all the universe conspires in helping you to achieve it.",Paulo Coelho,16067 likes
189,"We believe in ordinary acts of bravery, in the courage that drives one person to stand up for another.",Veronica Roth,15997 likes
190,"So it's not gonna be easy. It's going to be really hard; we're gonna have to work at this everyday, but I want to do that because I want you. I want all of you, forever, everyday. You and me... everyday.",Nicholas Sparks,15953 likes
191,"Our deepest fear is not that we are inadequate. Our deepest fear is that we are powerful beyond measure. It is our light, not our darkness that most frightens us. We ask ourselves, 'Who am I to be brilliant, gorgeous, talented, fabulous?' Actually, who are you not to be? You are a child of God. Your playing small does not serve the world. There is nothing enlightened about shrinking so that other people won't feel insecure around you. We are all meant to shine, as children do. We were born to make manifest the glory of God that is within us. It's not just in some of us; it's in everyone. And as we let our own light shine, we unconsciously give other people permission to do the same. As we are liberated from our own fear, our presence automatically liberates others.",Marianne Williamson,15893 likes
192,"I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.",Jimi Hendrix,15889 likes
193,"A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.",Jane Austen,15854 likes
194,"And in that moment, I swear we were infinite.",Stephen Chbosky,15791 likes
195,"You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.",Madeleine L'Engle,15698 likes
196,But better to get hurt by the truth than comforted with a lie.,Khaled Hosseini,15670 likes
197,"I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library.",Jane Austen,15585 likes
198,You never really understand a person until you consider things from his point of view... Until you climb inside of his skin and walk around in it.,Harper Lee,15576 likes
199,"I wish it need not have happened in my time,"" said Frodo.",J.R.R. Tolkien,15541 likes
200,Be nice to nerds. You may end up working for them. We all could.,Charles J. Sykes,15449 likes
201,"Remember, if the time should come when you have to make a choice between what is right and what is easy, remember what happened to a boy who was good, and kind, and brave, because he strayed across the path of Lord Voldemort. Remember Cedric Diggory.",J.K. Rowling,15397 likes
202,Some day you will be old enough to start reading fairy tales again.,C.S. Lewis,15107 likes
203,"Just when you think it can't get any worse, it can. And just when you think it can't get any better, it can.",Nicholas Sparks,15045 likes
204,"It’s no use going back to yesterday, because I was a different person then.",Lewis Carroll,14923 likes
205,"The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.",J.K. Rowling,14783 likes
206,"I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.",C.S. Lewis,14688 likes
207,The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.,Mark Twain,14679 likes
208,A lie can travel half way around the world while the truth is putting on its shoes.,Mark Twain,14678 likes
209,"We are what we pretend to be, so we must be careful about what we pretend to be.",Kurt Vonnegut,14629 likes
210,Tis better to have loved and lost,Alfred Tennyson,14627 likes
211,The truth is rarely pure and never simple.,Oscar Wilde,14551 likes
212,Never tell the truth to people who are not worthy of it.,Mark Twain,14492 likes
213,"Be not afraid of greatness. Some are born great, some achieve greatness, and others have greatness thrust upon them.",William Shakespeare,14462 likes
214,"... a mind needs books as a sword needs a whetstone, if it is to keep its edge.",George R.R. Martin,14449 likes
215,The books that the world calls immoral are books that show the world its own shame.,Oscar Wilde,14426 likes
216,I know God won't give me anything I can't handle. I just wish he didn't trust me so much.,Anonymous,14409 likes
217,"It's so hard to forget pain, but it's even harder to remember sweetness. We have no scar to show for happiness. We learn so little from peace.",Chuck Palahniuk,14336 likes
218,"What you're supposed to do when you don't like a thing is change it. If you can't change it, change the way you think about it. Don't complain.",Maya Angelou,14192 likes
219,A day without laughter is a day wasted.,Nicolas Chamfort,14113 likes
220,"A person's a person, no matter how small.",Dr. Seuss,14108 likes
221,"Do you remember me telling you we are practicing non-verbal spells, Potter?""",J.K. Rowling,13920 likes
222,"I finally understood what true love meant...love meant that you care for another person's happiness more than your own, no matter how painful the choices you face might be.",Nicholas Sparks,13837 likes
223,"When adults say, ""Teenagers think they are invincible"" with that sly, stupid smile on their faces, they don't know how right they are. We need never be hopeless, because we can never be irreparably broken. We think that we are invincible because we are. We cannot be born, and we cannot die. Like all energy, we can only change shapes and sizes and manifestations. They forget that when they get old. They get scared of losing and failing. But that part of us greater than the sum of our parts cannot begin and cannot end, and so it cannot fail.",John Green,13834 likes
224,Books are a uniquely portable magic.,Stephen King,13805 likes
225,Memories warm you up from the inside. But they also tear you apart.,Haruki Murakami,13778 likes
226,Knowing yourself is the beginning of all wisdom.,Aristotle,13700 likes
227,"Oh, I wouldn't mind, Hazel Grace. It would be a privilege to have my heart broken by you.",John Green,13636 likes
228,"I love you as certain dark things are to be loved, ",Pablo Neruda,13485 likes
229,"Thomas Edison's last words were """,John Green,13470 likes
230,Be careful about reading health books. Some fine day you'll die of a misprint.,Markus Herz,13454 likes
231,"He’s not perfect. You aren’t either, and the two of you will never be perfect. But if he can make you laugh at least once, causes you to think twice, and if he admits to being human and making mistakes, hold onto him and give him the most you can. He isn’t going to quote poetry, he’s not thinking about you every moment, but he will give you a part of him that he knows you could break. Don’t hurt him, don’t change him, and don’t expect for more than he can give. Don’t analyze. Smile when he makes you happy, yell when he makes you mad, and miss him when he’s not there. Love hard when there is love to be had. Because perfect guys don’t exist, but there’s always one guy that is perfect for you.",Bob Marley,13437 likes
232,"I can never read all the books I want; I can never be all the people I want and live all the lives I want. I can never train myself in all the skills I want. And why do I want? I want to live and feel all the shades, tones and variations of mental and physical experience possible in my life. And I am horribly limited.",Sylvia Plath,13344 likes
233,"Jesus!"" Luke exclaimed.",Cassandra Clare,13316 likes
234,Happiness in intelligent people is the rarest thing I know.,Ernest Hemingway,13293 likes
235,It is one of the blessings of old friends that you can afford to be stupid with them.,Ralph Waldo Emerson,13211 likes
236,It's the possibility of having a dream come true that makes life interesting.,Paulo Coelho,13198 likes
237,If you're gonna be two-faced at least make one of them pretty.,Marilyn Monroe,13161 likes
238,Have you ever noticed how ‘What the hell’ is always the right decision to make?,Terry Johnson,13107 likes
239,"You can't live your life for other people. You've got to do what's right for you, even if it hurts some people you love.",Nicholas Sparks,12977 likes
240,"The one you love and the one who loves you are never, ever the same person.",Chuck Palahniuk,12972 likes
241,"When we honestly ask ourselves which person in our lives mean the most to us, we often find that it is those who, instead of giving advice, solutions, or cures, have chosen rather to share our pain and touch our wounds with a warm and tender hand. The friend who can be silent with us in a moment of despair or confusion, who can stay with us in an hour of grief and bereavement, who can tolerate not knowing, not curing, not healing and face with us the reality of our powerlessness, that is a friend who cares.",Henri J.M. Nouwen,12942 likes
242,"Yes: I am a dreamer. For a dreamer is one who can only find his way by moonlight, and his punishment is that he sees the dawn before the rest of the world.",Oscar Wilde,12927 likes
243,An eye for an eye will only make the whole world blind.,Mahatma Gandhi,12861 likes
