name,dob,team,image_url
Tomu Muto,1994-11-25,Team K,https://s.akb48.co.jp/members/profile/renew190501/76.jpg
Shinobu Mogi,1997-02-16,Team K,https://s.akb48.co.jp/members/profile/renew190501/101.jpg
Kana Yasuda,2002-03-11,Team K,https://s.akb48.co.jp/members/profile/renew190501/1023.jpg
Moeka Yahagi,2002-07-05,Team K,https://s.akb48.co.jp/members/profile/renew190501/1046.jpg
Kyoka Yamada,2002-11-03,Team K,https://s.akb48.co.jp/members/profile/renew190501/1033.jpg
Nanami Yamada,1999-02-09,Team K,https://s.akb48.co.jp/members/profile/renew190501/194.jpg
Ami Yumoto,1997-10-03,Team K,https://s.akb48.co.jp/members/profile/renew190501/154.jpg
Yui Yokoyama,2001-02-22,Team K,https://s.akb48.co.jp/members/profile/renew190501/169.jpg
Rina Okada,1999-07-27,Team K,https://s.akb48.co.jp/members/profile/renew190501/1041.jpg
Saori Katsumata,2000-10-31,Team K,https://s.akb48.co.jp/members/profile/renew190501/1042.jpg
Ran Kobayashi,2003-10-07,Team K,https://s.akb48.co.jp/members/profile/renew190501/1043.jpg
Yuzuki Suenaga,2005-11-03,Team K,https://s.akb48.co.jp/members/profile/renew190501/1044.jpg
Megumi Nagano,2004-03-22,Team K,https://s.akb48.co.jp/members/profile/renew190501/1045.jpg
Saho Iwatate,1994-10-04,Team B,https://s.akb48.co.jp/members/profile/renew190501/110.jpg
Nao Ota,1994-12-05,Team B,https://s.akb48.co.jp/members/profile/renew190501/193.jpg
Maho Omori,1999-12-05,Team B,https://s.akb48.co.jp/members/profile/renew190501/1048.jpg
Shizuka Oya,1991-12-28,Team B,https://s.akb48.co.jp/members/profile/renew190501/3.jpg
Hinako Okuhara,2003-11-18,Team B,https://s.akb48.co.jp/members/profile/renew190501/1037.jpg
Yuki Kashiwagi,1991-07-15,Team B,https://s.akb48.co.jp/members/profile/renew190501/35.jpg
Misaki Kawahara ,2002-04-03,Team B,https://s.akb48.co.jp/members/profile/renew190501/1034.jpg
Saki Kitazawa,1997-06-05,Team B,https://s.akb48.co.jp/members/profile/renew190501/108.jpg
Satone Kubo,2003-11-20,Team B,https://s.akb48.co.jp/members/profile/renew190501/285.jpg
Yukari Sasaki,1995-08-28,Team B,https://s.akb48.co.jp/members/profile/renew190501/71.jpg
Akari Sato,1996-11-09,Team B,https://s.akb48.co.jp/members/profile/renew190501/171.jpg
Shiori Sato,1998-02-03,Team B,https://s.akb48.co.jp/members/profile/renew190501/182.jpg
Maria Shimizu,1997-09-29,Team B,https://s.akb48.co.jp/members/profile/renew190501/177.jpg
Kayoko Takita,1997-02-13,Team B,https://s.akb48.co.jp/members/profile/renew190501/164.jpg
Megu Taniguchi,1998-11-12,Team B,https://s.akb48.co.jp/members/profile/renew190501/216.jpg
Chiyori Nakanishi,1995-05-12,Team B,https://s.akb48.co.jp/members/profile/renew190501/219.jpg
Yuna Hattori,2001-03-30,Team B,https://s.akb48.co.jp/members/profile/renew190501/226.jpg
Yui Hiwatashi,2000-04-30,Team B,https://s.akb48.co.jp/members/profile/renew190501/283.jpg
Seina Fukuoka,2000-08-01,Team B,https://s.akb48.co.jp/members/profile/renew190501/152.jpg
Ayu Yamabe,2002-02-03,Team B,https://s.akb48.co.jp/members/profile/renew190501/288.jpg
Ruka Yamamoto,2000-10-10,Team B,https://s.akb48.co.jp/members/profile/renew190501/195.jpg
Nanase Yoshikawa,1998-07-21,Team B,https://s.akb48.co.jp/members/profile/renew190501/179.jpg
Hitomi Otake,1999-06-27,Team B,https://s.akb48.co.jp/members/profile/renew190501/1047.jpg
Haruna Saito,2004-05-24,Team B,https://s.akb48.co.jp/members/profile/renew190501/1050.jpg
Nanami Asai,2000-05-20,Team 4,https://s.akb48.co.jp/members/profile/renew190501/1007.jpg
Kaori Inagaki,1997-10-31,Team 4,https://s.akb48.co.jp/members/profile/renew190501/1008.jpg
Hatsuka Utada,2002-07-08,Team 4,https://s.akb48.co.jp/members/profile/renew190501/293.jpg
Momoka Onishi,1997-09-20,Team 4,https://s.akb48.co.jp/members/profile/renew190501/196.jpg
Miyuu Omori,1998-09-03,Team 4,https://s.akb48.co.jp/members/profile/renew190501/69.jpg
Nana Okada,1997-11-07,Team 4,https://s.akb48.co.jp/members/profile/renew190501/137.jpg
Saya Kawamoto,1998-08-31,Team 4,https://s.akb48.co.jp/members/profile/renew190501/166.jpg
Yurina Gyoten,1999-03-14,Team 4,https://s.akb48.co.jp/members/profile/renew190501/204.jpg
Haruka Kurosu,2001-02-28,Team 4,https://s.akb48.co.jp/members/profile/renew190501/1010.jpg
Nagisa Sakaguchi,2000-12-23,Team 4,https://s.akb48.co.jp/members/profile/renew190501/168.jpg
Kiara Sato,2000-08-11,Team 4,https://s.akb48.co.jp/members/profile/renew190501/150.jpg
Nanami Sato,2000-01-19,Team 4,https://s.akb48.co.jp/members/profile/renew190501/170.jpg
Kaoru Takaoka,2000-11-29,Team 4,https://s.akb48.co.jp/members/profile/renew190501/205.jpg
Ayane Takahashi,1997-12-30,Team 4,https://s.akb48.co.jp/members/profile/renew190501/178.jpg
Sayaka Takahashi,2001-11-22,Team 4,https://s.akb48.co.jp/members/profile/renew190501/1028.jpg
Kyoka Tada,1999-08-19,Team 4,https://s.akb48.co.jp/members/profile/renew190501/1053.jpg
Makiho Tatsuya,2001-10-19,Team 4,https://s.akb48.co.jp/members/profile/renew190501/161.jpg
Serika Nagano,2001-03-27,Team 4,https://s.akb48.co.jp/members/profile/renew190501/192.jpg
Sayuna Hama,2001-08-20,Team 4,https://s.akb48.co.jp/members/profile/renew190501/197.jpg
Hikaru Hirano,2003-01-29,Team 4,https://s.akb48.co.jp/members/profile/renew190501/1026.jpg
Chia-Ling Ma,1996-12-21,Team 4,https://s.akb48.co.jp/members/profile/renew190501/290.jpg
Rira Miyazato,2002-03-30,Team 4,https://s.akb48.co.jp/members/profile/renew190501/214.jpg
Yuiri Murayama,1997-06-15,Team 4,https://s.akb48.co.jp/members/profile/renew190501/102.jpg
Mizuki Yamauchi,2001-09-20,Team 4,https://s.akb48.co.jp/members/profile/renew190501/1024.jpg
Mai Homma,2002-09-06,Team 4,https://s.akb48.co.jp/members/profile/renew190501/1019.jpg
Sena Ishiwata,2002-02-22,Team 4,https://s.akb48.co.jp/members/profile/renew190501/1051.jpg
Miyuu Kuramoto,2001-05-21,Team 4,https://s.akb48.co.jp/members/profile/renew190501/1052.jpg
Yuzuka Yoshihashi,1999-12-29,Team 4,https://s.akb48.co.jp/members/profile/renew190501/1055.jpg
Nagisa Sakaguchi,2000-12-23,Team 8,https://s.akb48.co.jp/members/profile/renew190501/168.jpg
Yui Yokoyama,2001-02-22,Team 8,https://s.akb48.co.jp/members/profile/renew190501/169.jpg
Hijiri Tanikawa,2000-12-26,Team 8,https://s.akb48.co.jp/members/profile/renew190501/172.jpg
Nanami Sato,2000-01-19,Team 8,https://s.akb48.co.jp/members/profile/renew190501/170.jpg
Mashiro Mitomo,2005-11-25,Team 8,https://s.akb48.co.jp/members/profile/renew190501/1058.jpg
Akari Sato,1996-11-09,Team 8,https://s.akb48.co.jp/members/profile/renew190501/171.jpg
Kirara Ito,2004-05-19,Team 8,https://s.akb48.co.jp/members/profile/renew190501/1056.jpg
Rin Okabe,1996-11-07,Team 8,https://s.akb48.co.jp/members/profile/renew190501/175.jpg
Hitomi Honda,2001-10-06,Team 8,https://s.akb48.co.jp/upload/images/28c95848d0da8b5a35c578fd5d6acd79.jpg?t=1540781173
Maria Shimizu,1997-09-29,Team 8,https://s.akb48.co.jp/members/profile/renew190501/177.jpg
Ayane Takahashi,1997-12-30,Team 8,https://s.akb48.co.jp/members/profile/renew190501/178.jpg
Nanase Yoshikawa,1998-07-21,Team 8,https://s.akb48.co.jp/members/profile/renew190501/179.jpg
Yui Oguri,2001-12-26,Team 8,https://s.akb48.co.jp/members/profile/renew190501/180.jpg
Erina Oda,1997-04-25,Team 8,https://s.akb48.co.jp/members/profile/renew190501/181.jpg
Shiori Sato,1998-02-03,Team 8,https://s.akb48.co.jp/members/profile/renew190501/182.jpg
Ayaka Hidaritomo,1998-07-29,Team 8,https://s.akb48.co.jp/members/profile/renew190501/184.jpg
Hatsuka Utada,2002-07-08,Team 8,https://s.akb48.co.jp/members/profile/renew190501/293.jpg
Yuna Hattori,2001-03-30,Team 8,https://s.akb48.co.jp/members/profile/renew190501/226.jpg
Haruna Hashimoto,2000-05-25,Team 8,https://s.akb48.co.jp/members/profile/renew190501/183.jpg
Hikaru Hirano,2003-01-29,Team 8,https://s.akb48.co.jp/members/profile/renew190501/1026.jpg
Sayaka Takahashi,2001-11-22,Team 8,https://s.akb48.co.jp/members/profile/renew190501/1028.jpg
Serika Nagano,2001-03-27,Team 8,https://s.akb48.co.jp/members/profile/renew190501/192.jpg
Nao Ota,1994-12-05,Team 8,https://s.akb48.co.jp/members/profile/renew190501/193.jpg
Nanami Yamada,1999-02-09,Team 8,https://s.akb48.co.jp/members/profile/renew190501/194.jpg
Ruka Yamamoto,2000-10-10,Team 8,https://s.akb48.co.jp/members/profile/renew190501/195.jpg
Momoka Onishi,1997-09-20,Team 8,https://s.akb48.co.jp/members/profile/renew190501/196.jpg
Sayuna Hama,2001-08-20,Team 8,https://s.akb48.co.jp/members/profile/renew190501/197.jpg
Ikumi Nakano,2000-08-20,Team 8,https://s.akb48.co.jp/members/profile/renew190501/198.jpg
Hinako Okuhara,2003-11-18,Team 8,https://s.akb48.co.jp/members/profile/renew190501/1037.jpg
Kotone Hitomi,2001-01-19,Team 8,https://s.akb48.co.jp/upload/images/0f45d2a976eb8cada9a9f063d284066f.jpg?t=1522592529
Hinano Okumoto,2003-10-09,Team 8,https://s.akb48.co.jp/members/profile/renew190501/1035.jpg
Miu Shitao,2001-04-03,Team 8,https://s.akb48.co.jp/members/profile/renew190501/202.jpg
Yuki Harumoto,1999-12-24,Team 8,https://s.akb48.co.jp/members/profile/renew190501/1036.jpg
Yurina Gyoten,1999-03-14,Team 8,https://s.akb48.co.jp/members/profile/renew190501/204.jpg
Kaoru Takaoka,2000-11-29,Team 8,https://s.akb48.co.jp/members/profile/renew190501/205.jpg
Airi Rissen,1999-03-18,Team 8,https://s.akb48.co.jp/members/profile/renew190501/1057.jpg
Karen Yoshida,2002-08-27,Team 8,https://s.akb48.co.jp/members/profile/renew190501/278.jpg
Misaki Kawahara ,2002-04-03,Team 8,https://s.akb48.co.jp/members/profile/renew190501/1034.jpg
Misaki Terada,1999-12-28,Team 8,https://s.akb48.co.jp/members/profile/renew190501/295.jpg
Narumi Kuranoo,2000-11-08,Team 8,https://s.akb48.co.jp/members/profile/renew190501/210.jpg
Kyoka Yamada,2002-11-03,Team 8,https://s.akb48.co.jp/members/profile/renew190501/1033.jpg
Rei Fujizono,2005-01-18,Team 8,https://s.akb48.co.jp/members/profile/renew190501/1061.jpg
Rira Miyazato,2002-03-30,Team 8,https://s.akb48.co.jp/members/profile/renew190501/214.jpg
