name,name_jp,dob,team,image_url
Kayoko Takita,田北 香世子,1997-02-13,Team B,https://s.akb48.co.jp/members/profile/renew200410/164.jpg
Megu Taniguchi,谷口 めぐ,1998-11-12,Team B,https://s.akb48.co.jp/members/profile/renew200410/216.jpg
Chiyori Nakanishi,中西 智代梨,1995-05-12,Team B,https://s.akb48.co.jp/members/profile/renew200410/219.jpg
Yuna Hattori,服部 有菜,2001-03-30,Team B,https://s.akb48.co.jp/members/profile/renew200410/226.jpg
Seina Fukuoka,福岡 聖菜,2000-08-01,Team B,https://s.akb48.co.jp/members/profile/renew200410/152.jpg
Ayu Yamabe,山邊 歩夢,2002-02-03,Team B,https://s.akb48.co.jp/members/profile/renew200410/288.jpg
Nanase Yoshikawa,吉川 七瀬,1998-07-21,Team B,https://s.akb48.co.jp/members/profile/renew200410/179.jpg
Nanami Asai,浅井 七海,2000-05-20,Team 4,https://s.akb48.co.jp/members/profile/renew200410/1007.jpg
Kaori Inagaki,稲垣 香織,1997-10-31,Team 4,https://s.akb48.co.jp/members/profile/renew200410/1008.jpg
Hatsuka Utada,歌田 初夏,2002-07-08,Team 4,https://s.akb48.co.jp/members/profile/renew200410/293.jpg
Momoka Onishi,大西 桃香,1997-09-20,Team 4,https://s.akb48.co.jp/members/profile/renew200410/196.jpg
Miyuu Omori,大森 美優,1998-09-03,Team 4,https://s.akb48.co.jp/members/profile/renew200410/69.jpg
Nana Okada,岡田 奈々,1997-11-07,Team 4,https://s.akb48.co.jp/members/profile/renew200410/137.jpg
Saya Kawamoto,川本 紗矢,1998-08-31,Team 4,https://s.akb48.co.jp/members/profile/renew200410/166.jpg
Yurina Gyoten,行天 優莉奈,1999-03-14,Team 4,https://s.akb48.co.jp/members/profile/renew200410/204.jpg
Haruka Kurosu,黒須 遥香,2001-02-28,Team 4,https://s.akb48.co.jp/members/profile/renew200410/1010.jpg
Nagisa Sakaguchi,坂口 渚沙,2000-12-23,Team 4,https://s.akb48.co.jp/members/profile/renew200410/168.jpg
Kiara Sato,佐藤 妃星,2000-08-11,Team 4,https://s.akb48.co.jp/members/profile/renew200410/150.jpg
Kaoru Takaoka,高岡 薫,2000-11-29,Team 4,https://s.akb48.co.jp/members/profile/renew200410/205.jpg
Ayane Takahashi,髙橋 彩音,1997-12-30,Team 4,https://s.akb48.co.jp/members/profile/renew200410/178.jpg
Sayaka Takahashi,髙橋 彩香,2001-11-22,Team 4,https://s.akb48.co.jp/members/profile/renew200410/1028.jpg
Kyoka Tada,多田 京加,1999-08-19,Team 4,https://s.akb48.co.jp/members/profile/renew200410/1053.jpg
Makiho Tatsuya,達家 真姫宝,2001-10-19,Team 4,https://s.akb48.co.jp/members/profile/renew200410/161.jpg
Serika Nagano,永野 芹佳,2001-03-27,Team 4,https://s.akb48.co.jp/members/profile/renew200410/192.jpg
Sayuna Hama,濵 咲友菜,2001-08-20,Team 4,https://s.akb48.co.jp/members/profile/renew200410/197.jpg
Hikaru Hirano,平野 ひかる,2003-01-29,Team 4,https://s.akb48.co.jp/members/profile/renew200410/1026.jpg
Chia-Ling Ma,馬 嘉伶,1996-12-21,Team 4,https://s.akb48.co.jp/members/profile/renew200410/290.jpg
Rira Miyazato,宮里 莉羅,2002-03-30,Team 4,https://s.akb48.co.jp/members/profile/renew200410/214.jpg
Yuiri Murayama,村山 彩希,1997-06-15,Team 4,https://s.akb48.co.jp/members/profile/renew200410/102.jpg
Mizuki Yamauchi,山内 瑞葵,2001-09-20,Team 4,https://s.akb48.co.jp/members/profile/renew200410/1024.jpg
Mai Homma,本間 麻衣,2002-09-06,Team 4,https://s.akb48.co.jp/members/profile/renew200410/1019.jpg
Sena Ishiwata,石綿 星南,2002-02-22,Team 4,https://s.akb48.co.jp/members/profile/renew200410/1051.jpg
Miyuu Kuramoto,蔵本 美結,2001-05-21,Team 4,https://s.akb48.co.jp/members/profile/renew200410/1052.jpg
Yuzuka Yoshihashi,吉橋 柚花,1999-12-29,Team 4,https://s.akb48.co.jp/members/profile/renew200410/1055.jpg
Nagisa Sakaguchi,坂口 渚沙,2000-12-23,Team 8,https://s.akb48.co.jp/members/profile/renew200410/168.jpg
Yui Yokoyama,横山 結衣,2001-02-22,Team 8,https://s.akb48.co.jp/members/profile/renew200410/169.jpg
Riru Nunoya,布谷 梨琉,2003-02-14,Team 8,https://s.akb48.co.jp/members/profile/renew200410/1062.jpg
Miyuu Inoue,井上 美優,2001-09-19,Team 8,https://s.akb48.co.jp/members/profile/renew200410/1063.jpg
Mashiro Mitomo,御供	茉白,2005-11-25,Team 8,https://s.akb48.co.jp/members/profile/renew200410/1058.jpg
Akari Sato,佐藤 朱,1996-11-09,Team 8,https://s.akb48.co.jp/members/profile/renew200410/171.jpg
Momoka Hasegawa ,長谷川 百々花,2006-12-14,Team 8,https://s.akb48.co.jp/members/profile/renew200410/1064.jpg
Rin Okabe,岡部 麟,1996-11-07,Team 8,https://s.akb48.co.jp/members/profile/renew200410/175.jpg
Hitomi Honda,本田 仁美,2001-10-06,Team 8,https://s.akb48.co.jp/members/profile/renew200410/176.jpg
Maria Shimizu,清水 麻璃亜,1997-09-29,Team 8,https://s.akb48.co.jp/members/profile/renew200410/177.jpg
Ayane Takahashi,髙橋 彩音,1997-12-30,Team 8,https://s.akb48.co.jp/members/profile/renew200410/178.jpg
Nanase Yoshikawa,吉川 七瀬,1998-07-21,Team 8,https://s.akb48.co.jp/members/profile/renew200410/179.jpg
Yui Oguri,小栗 有以,2001-12-26,Team 8,https://s.akb48.co.jp/members/profile/renew200410/180.jpg
Erina Oda,小田 えりな,1997-04-25,Team 8,https://s.akb48.co.jp/members/profile/renew200410/181.jpg
Karin Shiobara,塩原 香凜,2005-03-27,Team 8,https://s.akb48.co.jp/members/profile/renew200410/1065.jpg
Ayaka Hidaritomo,左伴 彩佳,1998-07-29,Team 8,https://s.akb48.co.jp/members/profile/renew200410/184.jpg
Hatsuka Utada,歌田 初夏,2002-07-08,Team 8,https://s.akb48.co.jp/members/profile/renew200410/293.jpg
Yuka Suzuki,鈴木 優香,2000-08-15,Team 8,https://s.akb48.co.jp/members/profile/renew200410/1066.jpg
Yuna Hattori,服部 有菜,2001-03-30,Team 8,https://s.akb48.co.jp/members/profile/renew200410/226.jpg
Miku Matsumura,松村 美紅,2004-02-07,Team 8,https://s.akb48.co.jp/members/profile/renew200410/1067.jpg
Haruna Hashimoto,橋本 陽菜,2000-05-25,Team 8,https://s.akb48.co.jp/members/profile/renew200410/183.jpg
Hikaru Hirano,平野 ひかる,2003-01-29,Team 8,https://s.akb48.co.jp/members/profile/renew200410/1026.jpg
Hiyuka Sakagawa,坂川 陽香,2006-10-07,Team 8,https://s.akb48.co.jp/members/profile/renew200410/1073.jpg
Sayaka Takahashi,髙橋 彩香,2001-11-22,Team 8,https://s.akb48.co.jp/members/profile/renew200410/1028.jpg
Serika Nagano,永野 芹佳,2001-03-27,Team 8,https://s.akb48.co.jp/members/profile/renew200410/192.jpg
Mitsuho Fukutome,福留 光帆,2003-10-22,Team 8,https://s.akb48.co.jp/members/profile/renew200410/1068.jpg
Momoka Onishi,大西 桃香,1997-09-20,Team 8,https://s.akb48.co.jp/members/profile/renew200410/196.jpg
Sayuna Hama,濵 咲友菜,2001-08-20,Team 8,https://s.akb48.co.jp/members/profile/renew200410/197.jpg
Remi Tokunaga,徳永 羚海,2006-10-01,Team 8,https://s.akb48.co.jp/members/profile/renew200410/1069.jpg
Hinako Okuhara,奥原 妃奈子,2003-11-18,Team 8,https://s.akb48.co.jp/members/profile/renew200410/1037.jpg
Yukina Kamachi,蒲地 志奈,2000-01-22,Team 8,https://s.akb48.co.jp/members/profile/renew200410/1070.jpg
Hinano Okumoto,奥本 陽菜,2003-10-09,Team 8,https://s.akb48.co.jp/members/profile/renew200410/1035.jpg
Miu Shitao,下尾 みう,2001-04-03,Team 8,https://s.akb48.co.jp/members/profile/renew200410/202.jpg
Yuki Harumoto,春本 ゆき,1999-12-24,Team 8,https://s.akb48.co.jp/members/profile/renew200410/1036.jpg
Yurina Gyoten,行天 優莉奈,1999-03-14,Team 8,https://s.akb48.co.jp/members/profile/renew200410/204.jpg
Kaoru Takaoka,高岡 薫,2000-11-29,Team 8,https://s.akb48.co.jp/members/profile/renew200410/205.jpg
Airi Rissen,立仙 愛理,1999-03-18,Team 8,https://s.akb48.co.jp/members/profile/renew200410/1057.jpg
Karen Yoshida,吉田 華恋,2002-08-27,Team 8,https://s.akb48.co.jp/members/profile/renew200410/278.jpg
Misaki Kawahara ,川原 美咲,2002-04-03,Team 8,https://s.akb48.co.jp/members/profile/renew200410/1034.jpg
Mizuki Onoue,尾上 美月,2000-05-22,Team 8,https://s.akb48.co.jp/members/profile/renew200410/1072.jpg
Narumi Kuranoo,倉野尾 成美,2000-11-08,Team 8,https://s.akb48.co.jp/members/profile/renew200410/210.jpg
Kyoka Yamada,山田 杏華,2002-11-03,Team 8,https://s.akb48.co.jp/members/profile/renew200410/1033.jpg
Sorano Uemi,上見 天乃,2001-07-15,Team 8,https://s.akb48.co.jp/members/profile/renew200410/1071.jpg
Rei Fujizono,藤園 麗,2005-01-18,Team 8,https://s.akb48.co.jp/members/profile/renew200410/1061.jpg
Rira Miyazato,宮里 莉羅,2002-03-30,Team 8,https://s.akb48.co.jp/members/profile/renew200410/214.jpg
