#,Name,Icon Image,Critterpedia Image,Furniture Image,Sell,Where/How,Shadow,Catch Difficulty,Vision,Total Catches to Unlock,Spawn Rates,NH Jan,NH Feb,NH Mar,NH Apr,NH May,NH Jun,NH Jul,NH Aug,NH Sep,NH Oct,NH Nov,NH Dec,SH Jan,SH Feb,SH Mar,SH Apr,SH May,SH Jun,SH Jul,SH Aug,SH Sep,SH Oct,SH Nov,SH Dec,Size,Surface,Description,Catch phrase,HHA Base Points,HHA Category,Color 1,Color 2,Lighting Type,Icon Filename,Critterpedia Filename,Furniture Filename,Internal ID,Unique Entry ID
56.0,anchovy,https://acnhcdn.com/latest/MenuIcon/Fish81.png,https://acnhcdn.com/latest/BookFishIcon/FishAntyobiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishAntyobi.png,200.0,Sea,Small,Very Easy,Very Wide,0.0,2–5,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,1x1,No,"There are more than 140 species of anchovy, but they do all have some things in common. They are small and feed by simply swimming with their mouths open to filter food particles from the sea. (In my sleepier moments, I sometimes wish I could do that...)",I caught an anchovy! Stay away from my pizza!,71.0,Pet,Blue,Red,No lighting,Fish81,FishAntyobi,FtrFishAntyobi,4201.0,LzuWkSQP55uEpRCP5
20.0,bluegill,https://acnhcdn.com/latest/MenuIcon/Fish17.png,https://acnhcdn.com/latest/BookFishIcon/FishBlueguillCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishBlueguill.png,180.0,River,Small,Very Easy,Very Wide,0.0,6–10,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,1x1,No,"The bluegill is incredibly common. A bit too common, depending upon where you are. They eat anything that fits in their mouths and are highly adaptable. The bane of fishermen in some areas, bluegill is often the only fish to be caught! But looking in its wee beady eyes, I must say I see no ill will in it...","I caught a bluegill! Do you think it calls me ""pinklung""?",71.0,Pet,Blue,Black,No lighting,Fish17,FishBlueguill,FtrFishBlueguill,2232.0,8ygccYFCrWf4hwYGR
51.0,butterfly fish,https://acnhcdn.com/latest/MenuIcon/Fish42.png,https://acnhcdn.com/latest/BookFishIcon/FishChouchouuoCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishChouchouuo.png,1000.0,Sea,Small,Easy,Medium,0.0,4–5,NA,NA,NA,All day,All day,All day,All day,All day,All day,NA,NA,NA,All day,All day,All day,NA,NA,NA,NA,NA,NA,All day,All day,All day,1x1,No,"Ah, the butterfly fish is just charming with its beautiful colors and elegant movements. I refer to it as a butterfly fish, but it's actually a grouping in which there are over 100 types! These beautiful aquatic friends swim in schools amid coral, fluttering back and forth with the tides. The sheer awe one must experience when witnessing such a sight. It must be a dream! So much better than actual butterflies...",I caught a butterfly fish! Did it change from a caterpillar fish?,71.0,Pet,Yellow,Black,Fluorescent,Fish42,FishChouchouuo,FtrFishChouchouuo,2259.0,S4rkio2M3WB5cyy8Y
5.0,carp,https://acnhcdn.com/latest/MenuIcon/Fish5.png,https://acnhcdn.com/latest/BookFishIcon/FishKoiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishKoi.png,300.0,Pond,Large,Very Easy,Medium,0.0,3–9,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,1x1,Yes,"Oh, the carp... have you ever seen their teeth? For your sake, I hope you have not! Carp have teeth in their throat strong enough to crunch on hard things like shells and fingers! A good rule of thumb when dealing with other species is to keep your fingers out of their mouths. Although, having neither thumbs nor fingers, I am quite safe from this little fellow!",I caught a carp! If I catch another they can carpool!,71.0,Pet,Gray,Black,Fluorescent,Fish5,FishKoi,FtrFishKoi,2219.0,4DwwvGDwPQvZTn9Fb
18.0,catfish,https://acnhcdn.com/latest/MenuIcon/Fish14.png,https://acnhcdn.com/latest/BookFishIcon/FishNamazuCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishNamazu.png,800.0,Pond,Large,Medium,Medium,0.0,6–8,NA,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,1x1,Yes,"Catfish don't have scales and are rather slimy. Believe it or not, this slime helps them breathe! Some species of catfish are nocturnal, and they'll feed on almost anything. They use a suctioning action to pull in their food. Did I mention they can grow as large as you or I?",I caught a catfish! I'm more of a dogfish person...,71.0,Pet,Black,Black,Fluorescent,Fish14,FishNamazu,FtrFishNamazu,2229.0,nbPtvwf7HCQxA9Nc4
28.0,char,https://acnhcdn.com/latest/MenuIcon/Fish24.png,https://acnhcdn.com/latest/BookFishIcon/FishOoiwanaCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishOoiwana.png,3800.0,River (clifftop),Medium,Hard,Narrow,20.0,1–4,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,All day,All day,All day,NA,NA,NA,All day,All day,All day,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,1x1,Yes,"The char is one of the bigger first around the world, and, in the world of fish, that's quite an accomplishment! They are territorial predators, and therefore must constantly defend their 'turf' from others. So when you see a large char like this one, it is likely a skilled fighter and veteran of many battles. My feathers! I hope it never has cause to go into battle with me!",I caught a char! Now I'm gonna sit on it!,71.0,Pet,Brown,Black,Fluorescent,Fish24,FishOoiwana,FtrFishOoiwana,2239.0,ahbnwCqp3EZXa96KC
27.0,cherry salmon,https://acnhcdn.com/latest/MenuIcon/Fish23.png,https://acnhcdn.com/latest/BookFishIcon/FishYamameCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishYamame.png,1000.0,River (clifftop),Medium,Medium,Narrow,0.0,3–9,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,All day,All day,All day,NA,NA,NA,All day,All day,All day,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,1x1,Yes,"The cherry salmon is related to the salmon, and is known for its distinctive pattern of ""polka dots"". There polka dots disappear as they mature, but ONLY in the first of certain geographic regions. Pity the poor researchers that must make sense of the cherry salmon's fickle fashion sense.",I caught a cherry salmon! It's the perfect topper for a marlin sundae!,71.0,Pet,Brown,Black,Fluorescent,Fish23,FishYamame,FtrFishYamame,2238.0,sJyBbeLbpzn7LyzFr
49.0,clown fish,https://acnhcdn.com/latest/MenuIcon/Fish40.png,https://acnhcdn.com/latest/BookFishIcon/FishKumanomiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishKumanomi.png,650.0,Sea,X-Small,Medium,Medium,0.0,5–6,NA,NA,NA,All day,All day,All day,All day,All day,All day,NA,NA,NA,All day,All day,All day,NA,NA,NA,NA,NA,NA,All day,All day,All day,1x1,No,"Few can deny the delightful qualities of the clown fish. These vibrant fishes make their home among venomous anemones. It's a mutually beneficial arrangement. The clown fish finds safety in the anemone's wriggling arms, as well as leftover scraps of food. In return, clown fish ward off parasites and predators for the anemone. Thus these colorful fish remind us of the importance of maintaining good cheer among our roommates.",I caught a clown fish! How many can fit in a carfish?,71.0,Pet,Orange,Black,Fluorescent,Fish40,FishKumanomi,FtrFishKumanomi,2257.0,L9qxZaMoBhwxvpMyh
80.0,coelacanth,https://acnhcdn.com/latest/MenuIcon/Fish63.png,https://acnhcdn.com/latest/BookFishIcon/FishSirakansuCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishSirakansu.png,15000.0,Sea (rainy days),XX-Large,Very Hard,Very Narrow,100.0,1–2,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,2x1,Yes,"The coelacanth is a deep-sea fish that has been around since the age of the dinosaurs. They were long thought extinct, so when living specimens were discovered, it was quite a shock! Now I'll just have to figure out where in the museum to display it— fish or fossils!",Blast from the past! I caught a coelacanth! Think positive! Be a coela-CAN!,71.0,Pet,Black,Black,Fluorescent,Fish63,FishSirakansu,FtrFishSirakansu,2284.0,NjMZQ6Xi9NswEXnHH
11.0,crawfish,https://acnhcdn.com/latest/MenuIcon/Fish10.png,https://acnhcdn.com/latest/BookFishIcon/FishZariganiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishZarigani.png,200.0,Pond,Small,Very Easy,Very Wide,0.0,4–12,NA,NA,NA,All day,All day,All day,All day,All day,All day,NA,NA,NA,All day,All day,All day,NA,NA,NA,NA,NA,NA,All day,All day,All day,1x1,No,"Ohoo! So you have found a crawfish. Neither crab nor lobster, crawfish evolved in an interesting manner. Beware their fearsome pinchy pinchers! Behold their many legs! I say! It is a big bug-like, eh wot...The more I look at it, the more unsettled I feel... Let's be done with this and never speak of it again, shall we?",I caught a crawfish! Or else it's a lobster and I'm a giant!,71.0,Pet,Red,Black,Fluorescent,Fish10,FishZarigani,FtrFishZarigani,2223.0,W7TrwpycmfgniZipi
3.0,crucian carp,https://acnhcdn.com/latest/MenuIcon/Fish2.png,https://acnhcdn.com/latest/BookFishIcon/FishFunaCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishFuna.png,160.0,River,Small,Very Easy,Wide,0.0,4–12,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,1x1,Yes,"I wonder... Do you know how to tell the difference between a crucian carp and a standard-issue carp? It's quite easy to tell the two apart... One must simply locate the barbels. Or, rather, the lack of them! And just what is a barbel, you ask? Well, a barbel looks a little something like a mustache. A run-of-the-mill carp will sport this unsightly ""facial hair,"" while a crucian carp is considerably better groomed! I tried to grow a mustache when I was younger. It never did fill in quite right... All for the best in the end, as mustaches go so much better with noses than with beaks!",I caught a crucian carp! My skills are sharp!,71.0,Pet,Brown,Black,Fluorescent,Fish2,FishFuna,FtrFishFuna,328.0,Pdw7vmJz9PRM4ggbf
61.0,dab,https://acnhcdn.com/latest/MenuIcon/Fish50.png,https://acnhcdn.com/latest/BookFishIcon/FishKareiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishKarei.png,300.0,Sea,Medium,Easy,Medium,0.0,11–14,All day,All day,All day,All day,NA,NA,NA,NA,NA,All day,All day,All day,NA,NA,NA,All day,All day,All day,All day,All day,All day,All day,NA,NA,1x1,Yes,"The dab is a flatfish that bears some resemblance to the olive flounder, though their mouths are different. Personally, I am morbidly fascinated by each fish's eye placement. The dab's eyes are both on its right side, while the olive flounder's are on the left. These fish spend lots of time lying on their sides in the sand, so the odd eye placement makes some sense... But its-how can I put this? Creepy? Viscerally disturbing? Profoundly upsetting to fans of symmetry?",I caught a dab! Not bad!,71.0,Pet,Brown,Black,Fluorescent,Fish50,FishKarei,FtrFishKarei,2268.0,noA2Kfp8TaFgaLs5n
4.0,dace,https://acnhcdn.com/latest/MenuIcon/Fish3.png,https://acnhcdn.com/latest/BookFishIcon/FishUguiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishUgui.png,240.0,River,Medium,Easy,Wide,0.0,3–10,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,1x1,Yes,"Dace are shiny little fish that enjoy freshwater streams with gravelly bottoms and plenty of sunlight. What a fishy paradise...until the larger fish move in and begin eating the dace! Sadly, the shiny dace are easy for other fish to spot, which makes them a popular snack. However, this particular specimen here has no need to worry. There's a strict ""No Eating Your Neighbor"" policy at this institution.",I caught a dace! Hope I have some space!,71.0,Pet,Brown,Black,Fluorescent,Fish3,FishUgui,FtrFishUgui,2217.0,dWmXFdnjByWT5nEok
42.0,dorado,https://acnhcdn.com/latest/MenuIcon/Fish34.png,https://acnhcdn.com/latest/BookFishIcon/FishDoladoCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishDolado.png,15000.0,River,X-Large,Very Hard,Narrow,100.0,1–2,NA,NA,NA,NA,NA,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,NA,NA,NA,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,NA,NA,NA,NA,NA,NA,NA,NA,4 AM – 9 PM,2x1,Yes,"Woo-hoo! So shiny! This massive fish's name, dorado, means ""golden"" in Spanish— a fitting title. They are also quite valuable, I understand. I congratulate you on your top-notch angling! They are rather large, eh wot? It makes one wonder what all they might feed on... Fowl, perhaps?! One quivers at the very thought! Well, it'll be safe behind glass, no doubt. Quite safe, hoo","I caught a dorado! I say ""dorado,"" you say ""doraydo.""",71.0,Pet,Yellow,Black,Fluorescent,Fish34,FishDolado,FtrFishDolado,2251.0,G7ZwD67cRMHBwTSKH
77.0,football fish,https://acnhcdn.com/latest/MenuIcon/Fish56.png,https://acnhcdn.com/latest/BookFishIcon/FishChouchinankouCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishChouchinankou.png,2500.0,Sea,Large,Very Easy,Wide,20.0,6,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,NA,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,2x1,Yes,The football fish is a strange and grotesque deep-sea fish with a lantern-like light on its forehead. Its light is apparently powered by luminous bacteria and other glowing microorganisms. One theory says it can spray these luminescent sidekicks when prey approaches in order to dazzle them...The deep contains many mysteries...as well as some things that are just sort of odd and off-putting.,I caught a football fish! Some countries call it a soccer fish!,71.0,Pet,Black,Black,Emission,Fish56,FishChouchinankou,FtrFishChouchinankou,2273.0,vQHfve6DygtcYqwdi
16.0,freshwater goby,https://acnhcdn.com/latest/MenuIcon/Fish12.png,https://acnhcdn.com/latest/BookFishIcon/FishDonkoCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishDonko.png,400.0,River,Small,Very Easy,Medium,0.0,2–5,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,1x1,Yes,"The freshwater goby is an unassuming specimen. But beneath that calm, fish exterior, true gluttony resides! It will eat anything that will fit in its mouth...And its mouth is quite the gaping maw, so I recommend you refrain from drawing attention to yourself!",I caught a freshwater goby! Time to go bye-bye!,71.0,Pet,Brown,Black,Fluorescent,Fish12,FishDonko,FtrFishDonko,2227.0,SfXYNdtaid6hdQhvZ
