Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Seasonal Availability,Mannequin Piece,Style,Sort Order,Label Themes,Type,Villager Equippable,Catalog,Version Added,Version Unlocked,Filename,ClothGroup ID,Internal ID,Unique Entry ID
bottom-rimmed glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassLoose5.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassLoose5.png,Pink,No,1100.0,275.0,51.0,Pink,Pink,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,Yes,Simple,3.0,everyday; comfy; work,AccessoryEye,Yes,For sale,1.0.0,1.0.0,AccessoryGlassLoose5,463.0,11085.0,zpzD4NjApEyazKyKt
bottom-rimmed glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassLoose4.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassLoose4.png,Yellow,No,1100.0,275.0,51.0,Yellow,Yellow,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,Yes,Simple,4.0,everyday; comfy; work,AccessoryEye,Yes,For sale,1.0.0,1.0.0,AccessoryGlassLoose4,463.0,11084.0,w7bEbAGSQTvur6D6f
bottom-rimmed glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassLoose2.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassLoose2.png,Green,No,1100.0,275.0,51.0,Green,Green,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Simple,5.0,everyday; comfy; work,AccessoryEye,Yes,For sale,1.0.0,1.0.0,AccessoryGlassLoose2,463.0,11082.0,EtxJZDCgnqjWkETqK
bottom-rimmed glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassLoose3.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassLoose3.png,Blue,No,1100.0,275.0,51.0,Blue,Blue,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Simple,6.0,everyday; comfy; work,AccessoryEye,Yes,For sale,1.0.0,1.0.0,AccessoryGlassLoose3,463.0,11083.0,LEbiXtkHoiEMEtjWK
bottom-rimmed glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassLoose1.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassLoose1.png,Purple,No,1100.0,275.0,51.0,Purple,Purple,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Simple,7.0,everyday; comfy; work,AccessoryEye,Yes,For sale,1.0.0,1.0.0,AccessoryGlassLoose1,463.0,11081.0,akRhFD3qeJEPM7WiD
browline glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassThurmont3.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassThurmont3.png,Gray,No,1040.0,260.0,51.0,Gray,Yellow,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Simple,1.0,everyday; formal,AccessoryEye,Yes,For sale,1.0.0,1.0.0,AccessoryGlassThurmont3,260.0,11071.0,R9rDoMEzPcBw75hLE
browline glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassThurmont0.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassThurmont0.png,Black,No,1040.0,260.0,51.0,Black,Yellow,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,Yes,Simple,2.0,everyday; formal,AccessoryEye,Yes,For sale,1.0.0,1.0.0,AccessoryGlassThurmont0,260.0,4238.0,gHxascFKEJNrLCtD9
browline glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassThurmont2.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassThurmont2.png,Green,No,1040.0,260.0,51.0,Green,Gray,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Simple,3.0,everyday; formal,AccessoryEye,Yes,For sale,1.0.0,1.0.0,AccessoryGlassThurmont2,260.0,11070.0,f6h8aqEufzizYBWiH
browline glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassThurmont1.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassThurmont1.png,Brown,No,1040.0,260.0,51.0,Brown,Yellow,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,Yes,Simple,4.0,everyday; formal,AccessoryEye,Yes,For sale,1.0.0,1.0.0,AccessoryGlassThurmont1,260.0,11069.0,9iqmzMJiAeQMBN3pk
bubblegum,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthBubblegum4.png,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthBubblegum4.png,White,No,140.0,35.0,51.0,White,White,1x1,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Simple,1.0,comfy,AccessoryMouth,No,For sale,1.0.0,1.0.0,AccessoryMouthBubblegum4,856.0,11030.0,r9N2a2TYhvXBKiihn
bubblegum,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthBubblegum0.png,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthBubblegum0.png,Pink,No,140.0,35.0,51.0,Pink,Pink,1x1,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Simple,2.0,comfy,AccessoryMouth,No,For sale,1.0.0,1.0.0,AccessoryMouthBubblegum0,856.0,5738.0,4SLmXuCkS4eBjPbLn
bubblegum,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthBubblegum2.png,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthBubblegum2.png,Yellow,No,140.0,35.0,51.0,Yellow,Yellow,1x1,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,Yes,Simple,3.0,comfy,AccessoryMouth,No,For sale,1.0.0,1.0.0,AccessoryMouthBubblegum2,856.0,11028.0,79zoWzHvMBJYcwuAy
bubblegum,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthBubblegum3.png,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthBubblegum3.png,Green,No,140.0,35.0,51.0,Green,Green,1x1,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Simple,4.0,comfy,AccessoryMouth,No,For sale,1.0.0,1.0.0,AccessoryMouthBubblegum3,856.0,11029.0,F3PoMop5MGyaxtKjZ
bubblegum,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthBubblegum1.png,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthBubblegum1.png,Blue,No,140.0,35.0,51.0,Light blue,Light blue,1x1,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Simple,5.0,comfy,AccessoryMouth,No,For sale,1.0.0,1.0.0,AccessoryMouthBubblegum1,856.0,11027.0,9wWYKTtMdo9pWqfsM
bunny nose,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthRabbit2.png,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthRabbit2.png,White,No,560.0,140.0,51.0,White,Red,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Cute,1.0,fairy tale; party; theatrical,AccessoryMouthInvisibleNose,No,For sale,1.0.0,1.0.0,AccessoryMouthRabbit2,466.0,11024.0,ci8RKqDmqS5wD3W5k
bunny nose,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthRabbit0.png,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthRabbit0.png,Pink,No,560.0,140.0,51.0,Pink,Pink,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Cute,2.0,fairy tale; party; theatrical,AccessoryMouthInvisibleNose,No,For sale,1.0.0,1.0.0,AccessoryMouthRabbit0,466.0,4600.0,bxWYgcp2YKCdKe8Cr
bunny nose,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthRabbit1.png,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthRabbit1.png,Yellow,No,560.0,140.0,51.0,Yellow,Orange,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Cute,3.0,fairy tale; party; theatrical,AccessoryMouthInvisibleNose,No,For sale,1.0.0,1.0.0,AccessoryMouthRabbit1,466.0,11023.0,y6Dp62aNQn5ixvkwf
butterfly shades,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassButterfly0.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassButterfly0.png,Blue,No,1040.0,260.0,51.0,Black,Blue,1x1,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,Yes,Cool,1.0,outdoorsy,AccessoryEye,Yes,For sale,1.0.0,1.0.0,AccessoryGlassButterfly0,474.0,4608.0,WjbaLp9JbBGYRrb6K
butterfly shades,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassButterfly1.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassButterfly1.png,Red,No,1040.0,260.0,51.0,Red,Brown,1x1,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,Yes,Cool,2.0,outdoorsy,AccessoryEye,Yes,For sale,1.0.0,1.0.0,AccessoryGlassButterfly1,474.0,11503.0,AZrrNvHghPTHobKL4
butterfly shades,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassButterfly2.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassButterfly2.png,Brown,No,1040.0,260.0,51.0,Brown,Brown,1x1,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Cool,3.0,outdoorsy,AccessoryEye,Yes,For sale,1.0.0,1.0.0,AccessoryGlassButterfly2,474.0,11504.0,rz3Pgs5XGNiQFa3t4
candy-skull mask,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassmouthCatrina1.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassmouthCatrina1.png,Orange,No,NFS,800.0,451.0,White,Orange,1x1,NA,Gulliver,,All Year,No,Gorgeous,1.0,formal; party; theatrical,AccessoryEyeMouthInvisibleNose,No,Not for sale,1.0.0,1.0.0,AccessoryGlassmouthCatrina1,819.0,11169.0,xyQdqFuAkXkNs9qQ5
candy-skull mask,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassmouthCatrina2.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassmouthCatrina2.png,Blue,No,NFS,800.0,451.0,White,Light blue,1x1,NA,Gulliver,,All Year,No,Gorgeous,2.0,formal; party; theatrical,AccessoryEyeMouthInvisibleNose,No,Not for sale,1.0.0,1.0.0,AccessoryGlassmouthCatrina2,819.0,11170.0,fev4af8sNdggceyW9
candy-skull mask,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassmouthCatrina0.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassmouthCatrina0.png,Purple,No,NFS,800.0,451.0,White,Purple,1x1,NA,Gulliver,,All Year,No,Gorgeous,3.0,formal; party; theatrical,AccessoryEyeMouthInvisibleNose,No,Not for sale,1.0.0,1.0.0,AccessoryGlassmouthCatrina0,819.0,5666.0,GT3LzQZKg29riohcP
cat nose,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthCat0.png,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthCat0.png,White,No,560.0,140.0,51.0,White,Pink,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Cute,1.0,fairy tale; party; theatrical,AccessoryMouthInvisibleNose,No,For sale,1.0.0,1.0.0,AccessoryMouthCat0,397.0,4483.0,45Muns9ig4dqrsFF7
cat nose,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthCat2.png,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthCat2.png,Navy blue,No,560.0,140.0,51.0,Blue,Black,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Cute,2.0,fairy tale; party; theatrical,AccessoryMouthInvisibleNose,No,For sale,1.0.0,1.0.0,AccessoryMouthCat2,397.0,11022.0,ywdWXRcwKJNMMxDyj
cat nose,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthCat1.png,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthCat1.png,Brown,No,560.0,140.0,51.0,Brown,Beige,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Cute,3.0,fairy tale; party; theatrical,AccessoryMouthInvisibleNose,No,For sale,1.0.0,1.0.0,AccessoryMouthCat1,397.0,11021.0,CXDCEFzBdv8DwkCyM
cucumber pack,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthCucumber.png,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthCucumber.png,NA,No,490.0,122.0,51.0,Green,Green,1x1,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,Yes,Simple,1.0,comfy,AccessoryMouth,No,For sale,1.0.0,1.0.0,AccessoryMouthCucumber,405.0,4491.0,MhbCBrYX5fHxZWDuA
curly mustache,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthRollingmustacheBlack.png,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthRollingmustacheBlack.png,NA,No,700.0,175.0,51.0,Colorful,Colorful,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Simple,1.0,fairy tale; formal; party,AccessoryMouthEarJaw,No,For sale,1.0.0,1.0.0,AccessoryMouthRollingmustacheBlack,498.0,4672.0,9tyCrNPeibcu5NLo8
cyber shades,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassCyber2.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassCyber2.png,Silver,No,1300.0,325.0,51.0,Gray,Black,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Active,1.0,party; theatrical,AccessoryEye,Yes,For sale,1.0.0,1.0.0,AccessoryGlassCyber2,433.0,11499.0,AKakpCweRnd5hAsRB
cyber shades,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassCyber1.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassCyber1.png,Black,No,1300.0,325.0,51.0,Black,Black,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Active,2.0,party; theatrical,AccessoryEye,Yes,For sale,1.0.0,1.0.0,AccessoryGlassCyber1,433.0,11498.0,67BAc4y8aADafp9Xk
cyber shades,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassCyber0.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassCyber0.png,Red,No,1300.0,325.0,51.0,Red,Black,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Active,3.0,party; theatrical,AccessoryEye,Yes,For sale,1.0.0,1.0.0,AccessoryGlassCyber0,433.0,4552.0,3YPuxxPLkzwwNQMQd
cyber shades,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassCyber5.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassCyber5.png,Yellow,No,1300.0,325.0,51.0,Yellow,Black,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Active,4.0,party; theatrical,AccessoryEye,Yes,For sale,1.0.0,1.0.0,AccessoryGlassCyber5,433.0,11502.0,5pk9ZMDGsEzLqp24L
cyber shades,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassCyber4.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassCyber4.png,Green,No,1300.0,325.0,51.0,Green,Black,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Active,5.0,party; theatrical,AccessoryEye,Yes,For sale,1.0.0,1.0.0,AccessoryGlassCyber4,433.0,11501.0,9izTCDGHSpqWrQp6T
cyber shades,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassCyber3.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassCyber3.png,Purple,No,1300.0,325.0,51.0,Purple,Black,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Active,6.0,party; theatrical,AccessoryEye,Yes,For sale,1.0.0,1.0.0,AccessoryGlassCyber3,433.0,11500.0,y2svNHScnr8cNZe86
DAL eye mask,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassDalmask0.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassDalmask0.png,NA,No,NFS,1010.0,251.0,Blue,Blue,1x1,NA,Dodo Airlines,Received in mail from DAL after 15 flights,All Year,No,Simple,1.0,comfy; vacation,AccessoryEye,Yes,Not for sale,1.0.0,1.0.0,AccessoryGlassDalmask0,1182.0,12128.0,sbkqQrHpJWMEEZLSR
DAL sunglasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassDalglass0.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassDalglass0.png,NA,No,NFS,1010.0,251.0,Yellow,Blue,1x1,NA,Dodo Airlines,Received in mail from DAL after 75 flights,All Year,No,Gorgeous,1.0,comfy; vacation,AccessoryEye,Yes,Not for sale,1.0.0,1.0.0,AccessoryGlassDalglass0,1183.0,12129.0,zRnkH9B3rYNMLpiTP
doctor's mask,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthMaskWhite.png,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthMaskWhite.png,NA,No,140.0,35.0,51.0,White,White,1x1,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Simple,1.0,everyday; goth; comfy,AccessoryMouthEarJaw,No,For sale,1.0.0,1.0.0,AccessoryMouthMaskWhite,375.0,4451.0,vZDsrDRdgrbbiwi8N
dog nose,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthDog0.png,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthDog0.png,White,No,560.0,140.0,51.0,White,Black,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Cute,1.0,fairy tale; party; theatrical,AccessoryMouthInvisibleNose,No,For sale,1.0.0,1.0.0,AccessoryMouthDog0,630.0,5244.0,moGRcnkQihHbN89Kc
dog nose,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthDog2.png,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthDog2.png,Black,No,560.0,140.0,51.0,Black,Black,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Cute,2.0,fairy tale; party; theatrical,AccessoryMouthInvisibleNose,No,For sale,1.0.0,1.0.0,AccessoryMouthDog2,630.0,11026.0,9JGbmWtDA3rmjf8Kc
dog nose,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthDog1.png,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthDog1.png,Beige,No,560.0,140.0,51.0,Orange,Black,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Cute,3.0,fairy tale; party; theatrical,AccessoryMouthInvisibleNose,No,For sale,1.0.0,1.0.0,AccessoryMouthDog1,630.0,11025.0,zCQqXy8HLE7rDfrQf
double-bridge glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassDoublebridge2.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassDoublebridge2.png,Silver,No,1100.0,275.0,51.0,Gray,Gray,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,Yes,Elegant,1.0,comfy; vacation; work,AccessoryEye,Yes,For sale,1.0.0,1.0.0,AccessoryGlassDoublebridge2,277.0,11077.0,CLPEzZqr3vut85Ja4
double-bridge glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassDoublebridge0.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassDoublebridge0.png,Gold,No,1100.0,275.0,51.0,Yellow,Yellow,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Elegant,2.0,comfy; vacation; work,AccessoryEye,Yes,For sale,1.0.0,1.0.0,AccessoryGlassDoublebridge0,277.0,4263.0,8QCnzjXY8KEyqf7Wa
double-bridge glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassDoublebridge3.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassDoublebridge3.png,Blue,No,1100.0,275.0,51.0,Blue,Blue,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Elegant,3.0,comfy; vacation; work,AccessoryEye,Yes,For sale,1.0.0,1.0.0,AccessoryGlassDoublebridge3,277.0,11078.0,fD5pteAQtC8CMhq2v
double-bridge glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassDoublebridge1.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassDoublebridge1.png,Purple,No,1100.0,275.0,51.0,Purple,Purple,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,Yes,Elegant,4.0,comfy; vacation; work,AccessoryEye,Yes,For sale,1.0.0,1.0.0,AccessoryGlassDoublebridge1,277.0,11076.0,guPGRuhMyqdWYKh8d
drinking-straw glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassmouthStraw3.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassmouthStraw3.png,White,No,560.0,140.0,51.0,White,White,1x1,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Active,1.0,comfy; vacation; work,AcceEyeMouth,No,For sale,1.0.0,1.0.0,AccessoryGlassmouthStraw3,865.0,11012.0,bQ67Xe7cQZ4PcXnNe
drinking-straw glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassmouthStraw2.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassmouthStraw2.png,Pink,No,560.0,140.0,51.0,Pink,Pink,1x1,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Active,2.0,comfy; vacation; work,AcceEyeMouth,No,For sale,1.0.0,1.0.0,AccessoryGlassmouthStraw2,865.0,11011.0,b4G7SFYMTs5YWJ4i5
drinking-straw glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassmouthStraw0.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassmouthStraw0.png,Green,No,560.0,140.0,51.0,Green,Green,1x1,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Active,3.0,comfy; vacation; work,AcceEyeMouth,No,For sale,1.0.0,1.0.0,AccessoryGlassmouthStraw0,865.0,5773.0,hMiEGoaE2jYb6kY4e
drinking-straw glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassmouthStraw1.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassmouthStraw1.png,Blue,No,560.0,140.0,51.0,Light blue,Light blue,1x1,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Active,4.0,comfy; vacation; work,AcceEyeMouth,No,For sale,1.0.0,1.0.0,AccessoryGlassmouthStraw1,865.0,11010.0,DNij9RhiMW39MtKWF
eye mask,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassMask2.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassMask2.png,Gray,No,560.0,140.0,51.0,Gray,Black,1x1,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Simple,1.0,comfy,AccessoryEye,Yes,For sale,1.0.0,1.0.0,AccessoryGlassMask2,358.0,11155.0,FFAmL82w7xmtQyj49
