Name,Image,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Kit Cost,Buy,Sell,Color 1,Color 2,Size,Surface,Miles Price,Source,Source Notes,HHA Base Points,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,HHA Category,Interact,Tag,Outdoor,Speaker Type,Lighting Type,Catalog,Version Added,Version Unlocked,Filename,Variant ID,Internal ID,Unique Entry ID
air circulator,https://acnhcdn.com/latest/FtrIcon/FtrCirculator_Remake_3_0.png,Green,NA,NA,NA,No,No,No,NA,1100.0,275.0,Green,Gray,1x1,No,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,151.0,living room,office,None,None,AC,Yes,Fan,Yes,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrCirculator_Remake_3_0,3_0,3821.0,bGCQ9bA27ftHoLoKb
air circulator,https://acnhcdn.com/latest/FtrIcon/FtrCirculator_Remake_4_0.png,Yellow,NA,NA,NA,No,No,No,NA,1100.0,275.0,Yellow,Gray,1x1,No,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,151.0,living room,office,None,None,AC,Yes,Fan,Yes,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrCirculator_Remake_4_0,4_0,3821.0,5pBqNZaZWveKR6K5s
alto saxophone,https://acnhcdn.com/latest/FtrIcon/FtrAltosax.png,NA,NA,NA,NA,No,No,No,NA,3400.0,850.0,Yellow,Yellow,1x1,No,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",151.0,music,None,None,None,MusicalInstrument,Yes,Musical Instrument,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrAltosax,NA,846.0,yAj7DyFRDjWbh7qYP
anatomical model,https://acnhcdn.com/latest/FtrIcon/FtrAnatomicalmodel.png,NA,NA,NA,NA,No,No,No,NA,3500.0,875.0,Colorful,Beige,1x1,No,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,151.0,school,expensive,None,None,None,No,Hospital,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrAnatomicalmodel,NA,1317.0,t2LzAKDofAZYyqZ6r
anchor statue,https://acnhcdn.com/latest/FtrIcon/FtrShipanchor_Remake_0_0.png,Black,Color,NA,NA,No,Yes,No,2.0,NFS,1400.0,Black,Beige,1x1,No,NA,Fishing Tourney,,501.0,ocean,None,None,None,None,No,Seaside,Yes,Does not play music,No lighting,Not for sale,1.0.0,1.0.0,FtrShipanchor_Remake_0_0,0_0,7238.0,zgw6WaZRQgrpQ5FTC
anchor statue,https://acnhcdn.com/latest/FtrIcon/FtrShipanchor_Remake_1_0.png,Silver,Color,NA,NA,No,Yes,No,2.0,NFS,1400.0,Gray,Beige,1x1,No,NA,Fishing Tourney,,501.0,ocean,None,None,None,None,No,Seaside,Yes,Does not play music,No lighting,Not for sale,1.0.0,1.0.0,FtrShipanchor_Remake_1_0,1_0,7238.0,hdZokWHmfoFTt2FjM
anchor statue,https://acnhcdn.com/latest/FtrIcon/FtrShipanchor_Remake_2_0.png,Gold,Color,NA,NA,No,Yes,No,2.0,NFS,1400.0,Brown,Beige,1x1,No,NA,Fishing Tourney,,501.0,ocean,None,None,None,None,No,Seaside,Yes,Does not play music,No lighting,Not for sale,1.0.0,1.0.0,FtrShipanchor_Remake_2_0,2_0,7238.0,NNfoBT2rgDcmG5HhD
anchor statue,https://acnhcdn.com/latest/FtrIcon/FtrShipanchor_Remake_3_0.png,White,Color,NA,NA,No,Yes,No,2.0,NFS,1400.0,White,Beige,1x1,No,NA,Fishing Tourney,,501.0,ocean,None,None,None,None,No,Seaside,Yes,Does not play music,No lighting,Not for sale,1.0.0,1.0.0,FtrShipanchor_Remake_3_0,3_0,7238.0,ZWyY2rRANgXoGcDha
anchor statue,https://acnhcdn.com/latest/FtrIcon/FtrShipanchor_Remake_4_0.png,Blue,Color,NA,NA,No,Yes,No,2.0,NFS,1400.0,Blue,White,1x1,No,NA,Fishing Tourney,,501.0,ocean,None,None,None,None,No,Seaside,Yes,Does not play music,No lighting,Not for sale,1.0.0,1.0.0,FtrShipanchor_Remake_4_0,4_0,7238.0,vRhn2x3vj2mii4AKH
anchor statue,https://acnhcdn.com/latest/FtrIcon/FtrShipanchor_Remake_5_0.png,Retro,Color,NA,NA,No,Yes,No,2.0,NFS,1400.0,Brown,Gray,1x1,No,NA,Fishing Tourney,,501.0,ocean,None,None,None,None,No,Seaside,Yes,Does not play music,No lighting,Not for sale,1.0.0,1.0.0,FtrShipanchor_Remake_5_0,5_0,7238.0,6wyLNus8QqXkbBu72
angled signpost,https://acnhcdn.com/latest/FtrIcon/FtrSignpostTilt_Remake_0_0.png,Home,Navigation,NA,NA,Yes,Yes,No,1.0,NFS,600.0,Beige,Brown,1x1,No,NA,Crafting,,103.0,garden,None,None,None,None,No,Vehicle,Yes,Does not play music,No lighting,Not for sale,1.0.0,1.0.0,FtrSignpostTilt_Remake_0_0,0_0,7867.0,kzirasu23o7Xwz8Cg
angled signpost,https://acnhcdn.com/latest/FtrIcon/FtrSignpostTilt_Remake_1_0.png,Forest,Navigation,NA,NA,Yes,Yes,No,1.0,NFS,600.0,Beige,Brown,1x1,No,NA,Crafting,,103.0,garden,None,None,None,None,No,Vehicle,Yes,Does not play music,No lighting,Not for sale,1.0.0,1.0.0,FtrSignpostTilt_Remake_1_0,1_0,7867.0,8MxLKTxpMDwarBE2M
angled signpost,https://acnhcdn.com/latest/FtrIcon/FtrSignpostTilt_Remake_2_0.png,Fishing Spot,Navigation,NA,NA,Yes,Yes,No,1.0,NFS,600.0,Beige,Brown,1x1,No,NA,Crafting,,103.0,garden,None,None,None,None,No,Vehicle,Yes,Does not play music,No lighting,Not for sale,1.0.0,1.0.0,FtrSignpostTilt_Remake_2_0,2_0,7867.0,uvn5kiMi84NMuesmb
angled signpost,https://acnhcdn.com/latest/FtrIcon/FtrSignpostTilt_Remake_3_0.png,Resident Services,Navigation,NA,NA,Yes,Yes,No,1.0,NFS,600.0,Beige,Brown,1x1,No,NA,Crafting,,103.0,garden,None,None,None,None,No,Vehicle,Yes,Does not play music,No lighting,Not for sale,1.0.0,1.0.0,FtrSignpostTilt_Remake_3_0,3_0,7867.0,D2bHBoj8ZotiBiahp
angled signpost,https://acnhcdn.com/latest/FtrIcon/FtrSignpostTilt_Remake_4_0.png,Airport,Navigation,NA,NA,Yes,Yes,No,1.0,NFS,600.0,Beige,Brown,1x1,No,NA,Crafting,,103.0,garden,None,None,None,None,No,Vehicle,Yes,Does not play music,No lighting,Not for sale,1.0.0,1.0.0,FtrSignpostTilt_Remake_4_0,4_0,7867.0,BGaTv6ghfWHQohYJz
angled signpost,https://acnhcdn.com/latest/FtrIcon/FtrSignpostTilt_Remake_5_0.png,Shop,Navigation,NA,NA,Yes,Yes,No,1.0,NFS,600.0,Beige,Brown,1x1,No,NA,Crafting,,103.0,garden,None,None,None,None,No,Vehicle,Yes,Does not play music,No lighting,Not for sale,1.0.0,1.0.0,FtrSignpostTilt_Remake_5_0,5_0,7867.0,QNTrffSxKbCJH3C2s
angled signpost,https://acnhcdn.com/latest/FtrIcon/FtrSignpostTilt_Remake_6_0.png,Tailors,Navigation,NA,NA,Yes,Yes,No,1.0,NFS,600.0,Beige,Brown,1x1,No,NA,Crafting,,103.0,garden,None,None,None,None,No,Vehicle,Yes,Does not play music,No lighting,Not for sale,1.0.0,1.0.0,FtrSignpostTilt_Remake_6_0,6_0,7867.0,TW9n423omNZDjZ9hp
angled signpost,https://acnhcdn.com/latest/FtrIcon/FtrSignpostTilt_Remake_7_0.png,Museum,Navigation,NA,NA,Yes,Yes,No,1.0,NFS,600.0,Beige,Brown,1x1,No,NA,Crafting,,103.0,garden,None,None,None,None,No,Vehicle,Yes,Does not play music,No lighting,Not for sale,1.0.0,1.0.0,FtrSignpostTilt_Remake_7_0,7_0,7867.0,wPX6wELbCn9Jyb37A
antique bed,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueBedW_Remake_0_0.png,Brown,NA,NA,NA,No,No,No,NA,28000.0,7000.0,Brown,White,2x2,No,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",251.0,living room,expensive,antique,None,None,Yes,Bed,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrAntiqueBedW_Remake_0_0,0_0,3957.0,c7rQKnQBvtMCpGNhr
antique bed,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueBedW_Remake_1_0.png,Natural,NA,NA,NA,No,No,No,NA,28000.0,7000.0,Beige,White,2x2,No,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",251.0,living room,expensive,antique,None,None,Yes,Bed,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrAntiqueBedW_Remake_1_0,1_0,3957.0,gMCFieFjJLX4yXBPJ
antique bed,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueBedW_Remake_2_0.png,Black,NA,NA,NA,No,No,No,NA,28000.0,7000.0,Black,White,2x2,No,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",251.0,living room,expensive,antique,None,None,Yes,Bed,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrAntiqueBedW_Remake_2_0,2_0,3957.0,s5ZQQKh3XYcue8R6S
antique bureau,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueBureau_Remake_0_0.png,Brown,NA,NA,NA,No,No,No,NA,20000.0,5000.0,Brown,Brown,1x1,No,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",251.0,living room,expensive,antique,None,None,Yes,Desk,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrAntiqueBureau_Remake_0_0,0_0,3956.0,eqP7Ro4PzjhZFGMaX
antique bureau,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueBureau_Remake_1_0.png,Natural,NA,NA,NA,No,No,No,NA,20000.0,5000.0,Beige,Beige,1x1,No,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",251.0,living room,expensive,antique,None,None,Yes,Desk,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrAntiqueBureau_Remake_1_0,1_0,3956.0,PwbzwqaKiZ7CPKgh6
antique bureau,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueBureau_Remake_2_0.png,Black,NA,NA,NA,No,No,No,NA,20000.0,5000.0,Black,Black,1x1,No,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",251.0,living room,expensive,antique,None,None,Yes,Desk,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrAntiqueBureau_Remake_2_0,2_0,3956.0,nTM9BgbxMArEAuPda
antique chair,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueChairS_Remake_0_0.png,Brown,NA,NA,NA,No,No,No,NA,10000.0,2500.0,Brown,White,1x1,No,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",251.0,living room,expensive,antique,None,None,Yes,Chair,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrAntiqueChairS_Remake_0_0,0_0,3950.0,gzBvzGmkCqvaa4dfg
antique chair,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueChairS_Remake_1_0.png,Natural,NA,NA,NA,No,No,No,NA,10000.0,2500.0,Beige,White,1x1,No,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",251.0,living room,expensive,antique,None,None,Yes,Chair,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrAntiqueChairS_Remake_1_0,1_0,3950.0,d4oC34hgWHdZAv8dT
antique chair,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueChairS_Remake_2_0.png,Black,NA,NA,NA,No,No,No,NA,10000.0,2500.0,Black,White,1x1,No,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",251.0,living room,expensive,antique,None,None,Yes,Chair,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrAntiqueChairS_Remake_2_0,2_0,3950.0,eCZttstT4S3Tr4ZSj
antique clock,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueClock_Remake_0_0.png,Brown,NA,NA,NA,No,No,No,NA,44000.0,11000.0,Brown,Yellow,1x1,No,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",251.0,living room,expensive,antique,None,Clock,Yes,Clock,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrAntiqueClock_Remake_0_0,0_0,3954.0,54WzSWz3bv4j4279w
antique clock,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueClock_Remake_1_0.png,Natural,NA,NA,NA,No,No,No,NA,44000.0,11000.0,Beige,Yellow,1x1,No,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",251.0,living room,expensive,antique,None,Clock,Yes,Clock,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrAntiqueClock_Remake_1_0,1_0,3954.0,aPDaateHnZ2K7rnCX
antique clock,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueClock_Remake_2_0.png,Black,NA,NA,NA,No,No,No,NA,44000.0,11000.0,Black,Yellow,1x1,No,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",251.0,living room,expensive,antique,None,Clock,Yes,Clock,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrAntiqueClock_Remake_2_0,2_0,3954.0,prDor5kTcy7ahzz5c
antique console table,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueConsole_Remake_0_0.png,Brown,NA,NA,NA,No,No,No,NA,17000.0,4250.0,Brown,Brown,2x1,Yes,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",251.0,living room,expensive,antique,None,None,No,Table,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrAntiqueConsole_Remake_0_0,0_0,3951.0,kKSfnnXLBk2BMbWEo
antique console table,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueConsole_Remake_1_0.png,Natural,NA,NA,NA,No,No,No,NA,17000.0,4250.0,Beige,Beige,2x1,Yes,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",251.0,living room,expensive,antique,None,None,No,Table,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrAntiqueConsole_Remake_1_0,1_0,3951.0,SBphLepffHinkmtPf
antique console table,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueConsole_Remake_2_0.png,Black,NA,NA,NA,No,No,No,NA,17000.0,4250.0,Black,Black,2x1,Yes,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",251.0,living room,expensive,antique,None,None,No,Table,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrAntiqueConsole_Remake_2_0,2_0,3951.0,7i4eJMFhi2gzqMEZ8
antique mini table,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueTableS_Remake_0_0.png,Brown,NA,NA,NA,No,No,No,NA,6700.0,1675.0,Brown,White,1x1,Yes,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",251.0,living room,expensive,antique,None,None,No,Table,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrAntiqueTableS_Remake_0_0,0_0,3958.0,WZyBrwSZD4wZtqcBJ
antique mini table,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueTableS_Remake_1_0.png,Natural,NA,NA,NA,No,No,No,NA,6700.0,1675.0,Beige,White,1x1,Yes,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",251.0,living room,expensive,antique,None,None,No,Table,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrAntiqueTableS_Remake_1_0,1_0,3958.0,epWuBMh226r3nu7xh
antique mini table,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueTableS_Remake_2_0.png,Black,NA,NA,NA,No,No,No,NA,6700.0,1675.0,Black,White,1x1,Yes,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",251.0,living room,expensive,antique,None,None,No,Table,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrAntiqueTableS_Remake_2_0,2_0,3958.0,2n955ZXXD3RXt9gjE
antique table,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueTableL_Remake_0_0.png,Brown,NA,NA,NA,No,No,No,NA,25000.0,6250.0,Brown,Brown,2x2,Yes,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",251.0,living room,expensive,antique,None,None,No,Table,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrAntiqueTableL_Remake_0_0,0_0,3952.0,F4jrEYe9x7W4E2wYE
antique table,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueTableL_Remake_1_0.png,Natural,NA,NA,NA,No,No,No,NA,25000.0,6250.0,Beige,Beige,2x2,Yes,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",251.0,living room,expensive,antique,None,None,No,Table,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrAntiqueTableL_Remake_1_0,1_0,3952.0,ptPHtvKpF2JCkS9Zw
antique table,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueTableL_Remake_2_0.png,Black,NA,NA,NA,No,No,No,NA,25000.0,6250.0,Black,Black,2x2,Yes,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",251.0,living room,expensive,antique,None,None,No,Table,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrAntiqueTableL_Remake_2_0,2_0,3952.0,x2K5wv9K8qGXcmukB
antique vanity,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueDresser_Remake_0_0.png,Brown,NA,NA,NA,No,No,No,NA,31000.0,7750.0,Brown,Light blue,2x1,No,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",251.0,living room,expensive,antique,None,Dresser,Yes,Dresser,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrAntiqueDresser_Remake_0_0,0_0,3955.0,qLtWDehmX53gwgha7
antique vanity,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueDresser_Remake_1_0.png,Natural,NA,NA,NA,No,No,No,NA,31000.0,7750.0,Beige,Light blue,2x1,No,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",251.0,living room,expensive,antique,None,Dresser,Yes,Dresser,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrAntiqueDresser_Remake_1_0,1_0,3955.0,2bRbENZWkM9BeuiwZ
antique vanity,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueDresser_Remake_2_0.png,Black,NA,NA,NA,No,No,No,NA,31000.0,7750.0,Black,Light blue,2x1,No,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",251.0,living room,expensive,antique,None,Dresser,Yes,Dresser,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrAntiqueDresser_Remake_2_0,2_0,3955.0,b5MR8PraRhrJzsqYi
antique wardrobe,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueChest_Remake_0_0.png,Brown,NA,NA,NA,No,No,No,NA,37000.0,9250.0,Brown,Brown,2x1,Yes,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",251.0,living room,expensive,antique,None,None,Wardrobe,Chest,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrAntiqueChest_Remake_0_0,0_0,3959.0,XAnaYsJ8wouWyBBsu
antique wardrobe,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueChest_Remake_1_0.png,Natural,NA,NA,NA,No,No,No,NA,37000.0,9250.0,Beige,Beige,2x1,Yes,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",251.0,living room,expensive,antique,None,None,Wardrobe,Chest,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrAntiqueChest_Remake_1_0,1_0,3959.0,yBtLh6CtFrGD4qTTF
antique wardrobe,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueChest_Remake_2_0.png,Black,NA,NA,NA,No,No,No,NA,37000.0,9250.0,Black,Black,2x1,Yes,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",251.0,living room,expensive,antique,None,None,Wardrobe,Chest,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrAntiqueChest_Remake_2_0,2_0,3959.0,Tjvexu4etCrRoAAw4
apple chair,https://acnhcdn.com/latest/FtrIcon/FtrFruitsChairApple_Remake_0_0.png,Red apple,Fruit type,NA,NA,Yes,Yes,No,4.0,NFS,2480.0,Red,Yellow,1x1,No,NA,Crafting,,103.0,fancy,None,fruits,apple,None,Yes,Chair,No,Does not play music,No lighting,Not for sale,1.0.0,1.0.0,FtrFruitsChairApple_Remake_0_0,0_0,4134.0,qonCdPiLCmFNtYMsG
apple chair,https://acnhcdn.com/latest/FtrIcon/FtrFruitsChairApple_Remake_1_0.png,Green apple,Fruit type,NA,NA,Yes,Yes,No,4.0,NFS,2480.0,Green,Yellow,1x1,No,NA,Crafting,,103.0,fancy,None,fruits,apple,None,Yes,Chair,No,Does not play music,No lighting,Not for sale,1.0.0,1.0.0,FtrFruitsChairApple_Remake_1_0,1_0,4134.0,rjPaqoEyZ2FHDjbkn
Aquarius urn,https://acnhcdn.com/latest/FtrIcon/FtrZodiacAquarius.png,NA,NA,NA,NA,Yes,No,No,NA,NFS,22125.0,White,Yellow,1x1,No,NA,Crafting,,301.0,expensive,bathroom,stars,None,None,No,Bathroom Things,No,Does not play music,No lighting,Not for sale,1.0.0,1.0.0,FtrZodiacAquarius,NA,5956.0,dYz86HHwPAWYn5c3Z
arcade combat game,https://acnhcdn.com/latest/FtrIcon/FtrArcadegameShooting.png,NA,NA,NA,NA,No,No,No,NA,64000.0,16000.0,White,Blue,1x1,No,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",251.0,facility,shop,None,None,None,Yes,Toy,No,Does not play music,Monitor,For sale,1.0.0,1.0.0,FtrArcadegameShooting,NA,8226.0,f7tatK2cmYwskb5LS
arcade fighting game,https://acnhcdn.com/latest/FtrIcon/FtrArcadegameFight.png,NA,NA,NA,NA,No,No,No,NA,64000.0,16000.0,White,Red,1x1,No,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",251.0,facility,shop,None,None,None,Yes,Toy,No,Does not play music,Monitor,For sale,1.0.0,1.0.0,FtrArcadegameFight,NA,8225.0,3CKqHScHJuqbW7e4u
