Name,Image,High-Res Texture,Genuine,Category,Buy,Sell,Color 1,Color 2,Size,Real Artwork Title,Artist,Description,Source,Source Notes,HHA Base Points,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,Interact,Tag,Speaker Type,Lighting Type,Catalog,Version Added,Version Unlocked,Filename,Internal ID,Unique Entry ID
moody painting,https://acnhcdn.com/latest/FtrIcon/FtrArtSlower.png,,Yes,Wall-mounted,4980.0,1245.0,None,None,1x1,The Sower,"Jean-François Millet, circa 1850, Oil on canvas","Millet painted this piece of a farmer sowing wheat seeds in a field after moving to the countryside from Paris. If the piece reminds you of Van Gogh, that's likely because Van Gogh himself was inspired by it!",Jolly Redd's Treasure Trawler,,451.0,expensive,facility,None,None,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrArtSlower,52.0,BvTziFiDfmghDfn2f
motherly statue,https://acnhcdn.com/latest/FtrIcon/FtrSculptureCapitolini.png,NA,Yes,Housewares,4980.0,1245.0,None,None,2x1,Capitoline Wolf,"Artist Unknown, 5th century BCE, Bronze","This wolf from Roman mythology raises a pair of twins, along with some controversy. The original bronze sculpture of the wolf is a masterpiece that dates back to 5th century BCE. The twins were added during the 15th century...or so it was thought.Recent research has given rise to speculation that the original piece may be from the 11th or 12th century. (We will, however, stick with the 5th century BCE estimate for now.)",Jolly Redd's Treasure Trawler,,451.0,expensive,folk art,None,None,No,Sculpture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrSculptureCapitolini,1331.0,CzWpdw9fWH7CSqvD4
motherly statue,https://acnhcdn.com/latest/FtrIcon/FtrSculptureCapitoliniFake.png,NA,No,Housewares,4980.0,0.0,None,None,2x1,Capitoline Wolf,"Artist Unknown, 5th century BCE, Bronze","This wolf from Roman mythology raises a pair of twins, along with some controversy. The original bronze sculpture of the wolf is a masterpiece that dates back to 5th century BCE. The twins were added during the 15th century...or so it was thought.Recent research has given rise to speculation that the original piece may be from the 11th or 12th century. (We will, however, stick with the 5th century BCE estimate for now.)",Jolly Redd's Treasure Trawler,,17.0,horror,None,None,None,No,Sculpture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrSculptureCapitoliniFake,1332.0,FQnkD6Ecica9g8hn6
moving painting,https://acnhcdn.com/latest/FtrIcon/FtrArtBirthVenus.png,,Yes,Wall-mounted,4980.0,1245.0,None,None,2x1.5,The Birth of Venus,"Sandro Botticelli, circa 1485, Tempura on canvas","A painting of the Roman goddess Venus riding a scallop shell after being born in the ocean. The name Botticelli is said to actually be a nickname given to the artist's brother, who was built like a barrel. Why this nickname was transferred between siblings is a mystery lost to the ages.",Jolly Redd's Treasure Trawler,,451.0,expensive,facility,None,None,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrArtBirthVenus,32.0,CbpBJoxScgd7YkJ2a
moving painting,https://acnhcdn.com/latest/FtrIcon/FtrArtBirthVenusFake.png,,No,Wall-mounted,4980.0,0.0,None,None,2x1.5,The Birth of Venus,"Sandro Botticelli, circa 1485, Tempura on canvas","A painting of the Roman goddess Venus riding a scallop shell after being born in the ocean. The name Botticelli is said to actually be a nickname given to the artist's brother, who was built like a barrel. Why this nickname was transferred between siblings is a mystery lost to the ages.",Jolly Redd's Treasure Trawler,,17.0,horror,None,None,None,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrArtBirthVenusFake,31.0,8ji8jMXCQbeXcBZ4G
mysterious painting,https://acnhcdn.com/latest/FtrIcon/FtrArtIsleOfDead.png,,Yes,Wall-mounted,4980.0,1245.0,None,None,2x1,Isle of The Dead,"Arnold Böcklin, 1883, Oil on wood","A small boat carrying a corpse glides quietly over a still sea to an island of graves surrounded by cliffs. The air of this piece by symbolist painter Böcklin is chilling, but also somehow calm. Böcklin worked here to capture not what he could see, but some of humanity's inner contemplations.",Jolly Redd's Treasure Trawler,,451.0,expensive,facility,None,None,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrArtIsleOfDead,12625.0,jyEqfpiQxoJr7dFim
mystic statue,https://acnhcdn.com/latest/FtrIcon/FtrSculptureNefertiti.png,NA,Yes,Miscellaneous,4980.0,1245.0,None,None,1x1,Bust of Nefertiti,"Thutmose, circa 1345 BCE, Limestone","A bust of Nefertiti, whose name means ""the beautiful one has come."" A ""royal wife,"" she was known as one of the three most beautiful women in ancient Egypt. It is not known whether the left eye is missing because it fell out, or because it was never completed.",Jolly Redd's Treasure Trawler,,451.0,expensive,folk art,None,None,No,Sculpture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrSculptureNefertiti,1343.0,m8rdQtfhuSxvLjbA7
mystic statue,https://acnhcdn.com/latest/FtrIcon/FtrSculptureNefertitiFake.png,NA,No,Miscellaneous,4980.0,0.0,None,None,1x1,Bust of Nefertiti,"Thutmose, circa 1345 BCE, Limestone","A bust of Nefertiti, whose name means ""the beautiful one has come."" A ""royal wife,"" she was known as one of the three most beautiful women in ancient Egypt. It is not known whether the left eye is missing because it fell out, or because it was never completed.",Jolly Redd's Treasure Trawler,,17.0,horror,None,None,None,No,Sculpture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrSculptureNefertitiFake,1344.0,DPZFgiykKg576TMns
nice painting,https://acnhcdn.com/latest/FtrIcon/FtrArtFifePlayer.png,,Yes,Wall-mounted,4980.0,1245.0,None,None,1x2,The Fifer,"Édouard Manet, 1866, Oil on canvas","One of Manet's earlier works, this painting depicts a young flautist dressed in military uniform. Manet's works are notable for their lack of linear perspective and strong color contrast. These attributes led some to call him ""The Father of Impressionism"" and make comparisons to Vélazquez. Fun fact-flautists can determine what note the boy is playing just by studying the painting closely.",Jolly Redd's Treasure Trawler,,451.0,expensive,facility,None,None,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrArtFifePlayer,48.0,bE9epxYeiupMZXZBY
perfect painting,https://acnhcdn.com/latest/FtrIcon/FtrArtAppleOrange.png,,Yes,Wall-mounted,4980.0,1245.0,None,None,1x1,Apples and Oranges,"Paul Cézanne, circa 1899, Oil on canvas","This still life is known to have inspired the work of many other artists, including Pablo Picasso. Rather than trying to recreate an image, Cézanne captured the beauty of shapes from many angles. With this work, Cézanne draws on both the atmosphere of his subjects and the spirit of its beholders.",Jolly Redd's Treasure Trawler,,451.0,expensive,facility,None,None,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrArtAppleOrange,20.0,GrTJQRodgefZ3ndPz
proper painting,https://acnhcdn.com/latest/FtrIcon/FtrArtBarFB.png,,Yes,Wall-mounted,4980.0,1245.0,None,None,2x1,A Bar at The Folies-Bergère,"Édouard Manet, circa 1882, Oil on canvas","Close inspection of the mirror behind this painting's subject reveals many mysteries and paradoxes... In fact, the painting is based on multiple perspectives, which explains the unusual placement of some items. Sadly, this is Manet's last major work. He passed away a year after it was complete, at age 51.",Jolly Redd's Treasure Trawler,,451.0,expensive,facility,None,None,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrArtBarFB,46.0,5MYg559uG6YjFrJLu
quaint painting,https://acnhcdn.com/latest/FtrIcon/FtrArtMilkmaid.png,,Yes,Wall-mounted,4980.0,1245.0,None,None,1x1,The Milkmaid,"Johannes Vermeer, circa 1658, Oil on canvas","This piece earned Vermeer the nickname ""Master of Light"" thanks to its exquisite contrast and depth. Vermeer painted this masterpiece at only 25 years of age. Many note that it is surprisingly small in real life.",Jolly Redd's Treasure Trawler,,451.0,expensive,facility,None,None,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrArtMilkmaid,10.0,4eD8bxvcsNdFuJZy3
quaint painting,https://acnhcdn.com/latest/FtrIcon/FtrArtMilkmaidFake.png,,No,Wall-mounted,4980.0,0.0,None,None,1x1,The Milkmaid,"Johannes Vermeer, circa 1658, Oil on canvas","This piece earned Vermeer the nickname ""Master of Light"" thanks to its exquisite contrast and depth. Vermeer painted this masterpiece at only 25 years of age. Many note that it is surprisingly small in real life.",Jolly Redd's Treasure Trawler,,17.0,horror,None,None,None,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrArtMilkmaidFake,9.0,A8oEDJdRDYCWWvgqP
robust statue,https://acnhcdn.com/latest/FtrIcon/FtrSculptureDiskobolos.png,NA,Yes,Housewares,4980.0,1245.0,None,None,2x1,Discobolus,"Artist Unknown, 2nd century CE, Marble","This ancient Roman statue is based on the ancient Greek statue crafted by Myron. It's a piece that shows the grandeur of the human body, beautiful from any angle.",Jolly Redd's Treasure Trawler,,451.0,expensive,folk art,None,None,No,Sculpture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrSculptureDiskobolos,1335.0,BMJTrZQQLrzhgFQ6T
robust statue,https://acnhcdn.com/latest/FtrIcon/FtrSculptureDiskobolosFake.png,NA,No,Housewares,4980.0,0.0,None,None,2x1,Discobolus,"Artist Unknown, 2nd century CE, Marble","This ancient Roman statue is based on the ancient Greek statue crafted by Myron. It's a piece that shows the grandeur of the human body, beautiful from any angle.",Jolly Redd's Treasure Trawler,,17.0,horror,None,None,None,No,Sculpture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrSculptureDiskobolosFake,1336.0,JxRWC7dP3bSnrYafb
rock-head statue,https://acnhcdn.com/latest/FtrIcon/FtrSculptureOlmecaHead.png,NA,Yes,Housewares,4980.0,1245.0,None,None,2x2,Olmec Colossal Head,"Artist Unknown, circa 1000 BCE, Basalt, andesite","Giant stone head thought to be from the ancient Mesoamerican Olmec civilization. The larger ones can reach three meters in height. Scholars think they only crafted heads, no bodies.",Jolly Redd's Treasure Trawler,,451.0,expensive,folk art,None,None,No,Sculpture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrSculptureOlmecaHead,12533.0,yuq7wqkBtYpTh9cQs
rock-head statue,https://acnhcdn.com/latest/FtrIcon/FtrSculptureOlmecaHeadFake.png,NA,No,Housewares,4980.0,0.0,None,None,2x2,Olmec Colossal Head,"Artist Unknown, circa 1000 BCE, Basalt, andesite","Giant stone head thought to be from the ancient Mesoamerican Olmec civilization. The larger ones can reach three meters in height. Scholars think they only crafted heads, no bodies.",Jolly Redd's Treasure Trawler,,17.0,horror,None,None,None,No,Sculpture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrSculptureOlmecaHeadFake,12534.0,vgYniErBETSwYurmo
