Name,Image,Buy,Category,Source,Filename,Unique Entry ID
dark-brown iron grill door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorIronGrillGR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorIronGrillGR,CQFAjS99WqxTu4QDJ
deep-green simple door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorSimpleGR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorSimpleGR,Gyibc6G9u5Zv4fMdJ
gray common door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorReliefFR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorReliefFR,mEBW6Y6gLFpBpibwA
gray iron door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorIronGR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorIronGR,27cPAfi2DYBEzzgto
gray iron grill door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorIronGrillHR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorIronGrillHR,uzLEvMD46GzBZQ3mN
gray latticework door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorLatticeER.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorLatticeER,ZCfMjY9ED5jW87aZY
gray simple door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorSimpleCR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorSimpleCR,QjS2nzSqHCLCcLGKQ
gray windowed door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorWindowFR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorWindowFR,Y7W4HKFy49BLvabBD
gray wooden door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorStandardFR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorStandardFR,C2LhRZFynjh6x5gQB
green basic door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorCercleWindowBR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorCercleWindowBR,jDYnxjeL9zxWFsYM3
green common door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorReliefDR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorReliefDR,3xcS4XeYXbi6A4JJc
green imperial door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorChineseER.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorChineseER,h59gk2epKc9ALPoF9
green iron door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorIronER.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorIronER,CH2gZGRicug5TB5nF
green iron grill door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorIronGrillCR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorIronGrillCR,fNwKPm8gu5pnoNZ2H
green metal-accent door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorIronpartsDR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorIronpartsDR,gveHmLcPh9uNLMFB8
green rustic door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorSimplicityJR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorSimplicityJR,YyyhicaCZuYCAd4hm
green vertical-panes door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorVerticalWindowCR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorVerticalWindowCR,DAwzGNJimCfi6XuPY
green windowed door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorWindowDR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorWindowDR,CHTZZvpsuYP2ZvEtm
green wooden door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorStandardDR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorStandardDR,qj2PXQwBkjoDPMSDc
green-apple basic door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorCercleWindowJR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorCercleWindowJR,mH3kwkiNAW9Tgg5XH
green-apple common door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorReliefIR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorReliefIR,oe58QsaRvnF9dQ9Eg
imperial door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorChineseAR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorChineseAR,BbeW2wNrRMq4PkQB5
iron door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorIronAR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorIronAR,yE4x5zcn95mcNNf2f
iron grill door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorIronGrillAR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorIronGrillAR,Cgd6XZxLfYLbuRqoC
lacquered zen door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorJapaneseFR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorJapaneseFR,soxZojTeCikxb9q53
latticework door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorLatticeDR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorLatticeDR,jexi2bbNCwn2j3JvC
light-green rustic door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorSimplicityGR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorSimplicityGR,n5cEgH77z99n3rT8i
maple iron grill door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorIronGrillBR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorIronGrillBR,FW8NZXxWLT4hY6Nj3
maple rustic door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorSimplicityCR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorSimplicityCR,cuDwoeXKD2jdQEPvQ
maple vertical-panes door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorVerticalWindowBR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorVerticalWindowBR,uKkrQ5yBYWQMmerB7
maple windowed door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorWindowBR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorWindowBR,bTb3Quno8Hhs7ASK2
maple wooden door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorStandardBR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorStandardBR,zvWtASTxgTYBunTDz
metal-accent door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorIronpartsAR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorIronpartsAR,EivvfJTS98tFNbuno
pale-blue basic door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorCercleWindowFR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorCercleWindowFR,LnLiK3nvaaGqMSJbo
pale-blue iron grill door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorIronGrillDR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorIronGrillDR,LGernbHCg8R4Kcs8f
pale-purple rustic door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorSimplicityIR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorSimplicityIR,HEczAiQ4dHwB5zh5i
pink basic door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorCercleWindowIR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorCercleWindowIR,Xby3xZhQd3dMb4Coe
pink fancy door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorCarvingDR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorCarvingDR,2jbKjqmXXQddSvH26
pink iron door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorIronFR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorIronFR,BLseEGcXhw9dPreLx
pink iron grill door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorIronGrillER.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorIronGrillER,sjAoF3vsRF5J8jLdq
pink metal-accent door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorIronpartsER.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorIronpartsER,TB89rf3ccaKip4QRz
pink rustic door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorSimplicityHR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorSimplicityHR,GANZwLknoRyyegbLM
pink simple door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorSimpleER.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorSimpleER,qvNBxg3CEWvEnoNpZ
pink windowed door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorWindowIR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorWindowIR,svRR2C9PSLt5ef3Su
pink wooden door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorStandardIR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorStandardIR,gPykmDtFtSdxotvrk
purple common door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorReliefJR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorReliefJR,XBquzTWPzAnHcKYBj
purple iron grill door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorIronGrillJR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorIronGrillJR,Q4GLiP3Kmurrk2WSB
purple metal-accent door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorIronpartsGR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorIronpartsGR,B6NfDDoKJXSTX6nEZ
purple simple door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorSimpleHR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorSimpleHR,dmTdoj8NzL2jSKZHu
purple vertical-panes door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorVerticalWindowIR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorVerticalWindowIR,JHMuJ2pSXBFsCGThM
purple windowed door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorWindowJR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorWindowJR,kiK57D48BgFz2LdAh
purple wooden door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorStandardJR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorStandardJR,oNx9giXYQZLfuCYq5
red common door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorReliefBR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorReliefBR,WmuaHC559AALWH2Bb
red fancy door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorCarvingCR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorCarvingCR,us8rFY2TSFXCx72kH
red imperial door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorChineseCR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorChineseCR,NtxTaTeTrzghsGS2W
red iron door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorIronBR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorIronBR,Bp9ysH2C4zeiScQXP
red iron grill door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorIronGrillIR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorIronGrillIR,giywRE5qEmQZC6GAN
red latticework door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorLatticeCR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorLatticeCR,Nnbfndanco3rvQgWf
red metal-accent door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorIronpartsBR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorIronpartsBR,XvgfNPwfYGffgE24X
red rustic door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorSimplicityER.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorSimplicityER,RddBzpZ8QEcLWD4Gv
red vertical-panes door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorVerticalWindowFR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorVerticalWindowFR,jtHKujXtSxTwgmgiY
red windowed door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorWindowCR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorWindowCR,Z4oGMDMqpFBdfYXsZ
red wooden door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorStandardCR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorStandardCR,h4LK4FrT733y64FZz
red zen door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorJapaneseDR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorJapaneseDR,tdPuvQyRrRFiBEv7z
red-green imperial door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorChineseFR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorChineseFR,2mrsS49vJNZdWDQeD
rustic door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorSimplicityAR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorSimplicityAR,mbsrSkG43TP7tA6e5
vertical-panes door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorVerticalWindowAR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorVerticalWindowAR,aqhHtKKvCQQpb834t
walnut latticework door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorLatticeBR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorLatticeBR,xtvqjdafPWY4DF4ww
white basic door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorCercleWindowHR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorCercleWindowHR,rrazQ4rMyTqvC3G3Y
white common door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorReliefGR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorReliefGR,cFZFak2hPc3jBrpv8
white fancy door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorCarvingAR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorCarvingAR,r6k9ATzzAKaWMNJnQ
white imperial door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorChineseGR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorChineseGR,bthYBfAjTxo7F5dNi
white iron door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorIronHR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorIronHR,Zi4ndrFTFsEqhQPw9
white iron grill door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorIronGrillFR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorIronGrillFR,bz47mYutYXduChB3P
white latticework door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorLatticeGR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorLatticeGR,ndjhLSHZXG4TrmXNS
white metal-accent door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorIronpartsHR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorIronpartsHR,yDBA2qT5sGQAzt7eB
white rustic door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorSimplicityBR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorSimplicityBR,Mu7FQYgoRajRuL5BD
white simple door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorSimpleAR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorSimpleAR,q4CQF3zCDhorZ7fAc
white vertical-panes door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorVerticalWindowGR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorVerticalWindowGR,CxFPdgKzKg2ifRx62
white windowed door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorWindowHR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorWindowHR,ZovDjWHe8YSZZKinn
white wooden door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorStandardHR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorStandardHR,h2ja68uKd7TxdEwQE
white zen door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorJapaneseGR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorJapaneseGR,wY7gy8YD2Y8ojnDnm
windowed door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorWindowAR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorWindowAR,28wnpfEyGZCvdDsmc
wooden door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorStandardAR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorStandardAR,4ovKGY9ZoiujvqkS8
yellow basic door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorCercleWindowCR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorCercleWindowCR,yoMGH8LhL7mFWZiPD
yellow common door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorReliefER.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorReliefER,5ZKFC4ePpoYDqqJSu
yellow fancy door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorCarvingFR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorCarvingFR,iNTxu4FaB6TC9pjni
yellow imperial door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorChineseDR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorChineseDR,dBGXJ8LnHwDZciTRS
yellow iron door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorIronDR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorIronDR,wELe85t5gE9e5fZ7H
yellow simple door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorSimpleFR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorSimpleFR,t8gHx6QjK9tFMmMna
yellow vertical-panes door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorVerticalWindowER.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorVerticalWindowER,Aszgp3pAbCC75LNHd
yellow zen door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorJapaneseBR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorJapaneseBR,yHJcPMRBWKZofvC4H
zen door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorJapaneseAR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorJapaneseAR,jGJNCRi6kcXXTD67g
blue steel staircase,http://acnhcdn.com/drivesync/bridgearamp/NewCanvas1wdqferbgf%20%20.png,228000.0,Incline,Resident Services Upgrade,SlopeIronStairBlue,wEC52Lc5cf8TcamMB
blue-plank ramp,http://acnhcdn.com/drivesync/bridgearamp/NewCanvas1wr3t453y46ujyk%2Cj.png,128000.0,Incline,Resident Services Upgrade,SlopeWoodBlue,gHnYrhHS9A7MrPdpr
brick staircase,http://acnhcdn.com/drivesync/bridgearamp/NewCanvas1dafsgdb.png,198000.0,Incline,Resident Services Upgrade,SlopeBrickStair,A8AfTzxqpvzfcMeC5
log staircase,http://acnhcdn.com/drivesync/bridgearamp/NewCanvas1awr3t45y6u5jky.png,168000.0,Incline,Resident Services Upgrade,SlopeWoodStair,wk6oQREwMmRAmkTWJ
natural ramp,http://acnhcdn.com/drivesync/bridgearamp/NewCanvas1qewt453yw46ujyk.png,98000.0,Incline,Resident Services Upgrade,SlopeNatural,m7jAPxsGCRgSWo6Ng
red steel staircase,http://acnhcdn.com/drivesync/bridgearamp/NewCanvas1wretehryjm.png,228000.0,Incline,Resident Services Upgrade,SlopeIronStair,2nygbmutbmBfuzEXp
stone staircase,http://acnhcdn.com/drivesync/bridgearamp/NewCanvas1ewfweaf.png,168000.0,Incline,Resident Services Upgrade,SlopeStoneStair,4zszj8KsBNe2XgeGq
white-plank ramp,http://acnhcdn.com/drivesync/bridgearamp/NewCanvas1qwr3t4y56ujj.png,128000.0,Incline,Resident Services Upgrade,SlopeWood,aR8pTDNtanxDQt7MY
black large mailbox,https://acnhcdn.com/latest/HousePostIcon/FtrPostLargeBlack.png,5000.0,Mailbox,3rd House Upgrade (Left Room),FtrPostLargeBlack,MfwnWmtJuJDAvc2Lz
black ordinary mailbox,https://acnhcdn.com/latest/HousePostIcon/FtrPostStandardBlack.png,5000.0,Mailbox,3rd House Upgrade (Left Room),FtrPostStandardBlack,mrnKiTGF6ra4B8X2T
