Name,Closet Image,Storage Image,DIY,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Villager Equippable,Catalog,Version Added,Version Unlocked,Filename,Internal ID,Unique Entry ID
camo umbrella,https://acnhcdn.com/latest/ClosetIcon/UmbrellaOutdoor0Cropped.png,https://acnhcdn.com/latest/FtrIcon/UmbrellaOutdoor0.png,No,650.0,162.0,3.0,Green,Beige,1x1,NA,Nook's Cranny,,Yes,For sale,1.0.0,1.0.0,UmbrellaOutdoor0,6923.0,RJYB5itM7mDdtWHpv
candy umbrella,https://acnhcdn.com/latest/ClosetIcon/UmbrellaGingham0Cropped.png,https://acnhcdn.com/latest/FtrIcon/UmbrellaGingham0.png,No,770.0,192.0,3.0,Pink,White,1x1,NA,Nook's Cranny,,Yes,For sale,1.0.0,1.0.0,UmbrellaGingham0,6926.0,F6KFg5Yhzgf78pudR
cherry umbrella,https://acnhcdn.com/latest/ClosetIcon/UmbrellaCherry0Cropped.png,https://acnhcdn.com/latest/FtrIcon/UmbrellaCherry0.png,Yes,NFS,1400.0,103.0,Red,Red,1x1,NA,Crafting,,Yes,Not for sale,1.0.0,1.0.0,UmbrellaCherry0,9949.0,YwHY3LQXsDeM2iosy
cherry-blossom umbrella,https://acnhcdn.com/latest/ClosetIcon/UmbrellaCherryblossom0Cropped.png,https://acnhcdn.com/latest/FtrIcon/UmbrellaCherryblossom0.png,Yes,NFS,2800.0,201.0,Pink,Green,1x1,NA,Crafting,,Yes,Not for sale,1.0.0,1.0.0,UmbrellaCherryblossom0,9945.0,vTu5kLPipRb69vJA3
DAL umbrella,https://acnhcdn.com/latest/ClosetIcon/UmbrellaDoc0Cropped.png,https://acnhcdn.com/latest/FtrIcon/UmbrellaDoc0.png,No,NFS,1010.0,251.0,Blue,Blue,1x1,NA,Dodo Airlines,Received in mail from DAL after 160 flights,Yes,Not for sale,1.0.0,1.0.0,UmbrellaDoc0,9560.0,vTdEjywjFjr8AkePD
eggy parasol,https://acnhcdn.com/latest/ClosetIcon/UmbrellaPolkadot1Cropped.png,https://acnhcdn.com/latest/FtrIcon/UmbrellaPolkadot1.png,No,750.0,187.0,3.0,Yellow,White,1x1,NA,Nook's Cranny,,Yes,For sale,1.0.0,1.0.0,UmbrellaPolkadot1,9955.0,qf7Hn5CKMDMBpge9r
exquisite parasol,https://acnhcdn.com/latest/ClosetIcon/UmbrellaChina0Cropped.png,https://acnhcdn.com/latest/FtrIcon/UmbrellaChina0.png,No,1670.0,417.0,3.0,Yellow,Pink,1x1,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),Yes,For sale,1.0.0,1.0.0,UmbrellaChina0,7171.0,tFFuizXunsrHcMbEj
fairy-tale umbrella,https://acnhcdn.com/latest/ClosetIcon/UmbrellaFairytale0Cropped.png,https://acnhcdn.com/latest/FtrIcon/UmbrellaFairytale0.png,No,820.0,205.0,3.0,Green,Yellow,1x1,NA,Nook's Cranny,,Yes,For sale,1.0.0,1.0.0,UmbrellaFairytale0,7175.0,xKBGNFJd2qpWeDWjo
fish umbrella,https://acnhcdn.com/latest/ClosetIcon/UmbrellaFish0Cropped.png,https://acnhcdn.com/latest/FtrIcon/UmbrellaFish0.png,No,NFS,80.0,501.0,Blue,Light blue,1x1,NA,Fishing Tourney,,Yes,Not for sale,1.0.0,1.0.0,UmbrellaFish0,8768.0,bvwaqJav8wmjPj2RC
frog umbrella,https://acnhcdn.com/latest/ClosetIcon/UmbrellaFrog0Cropped.png,https://acnhcdn.com/latest/FtrIcon/UmbrellaFrog0.png,No,1570.0,392.0,3.0,Green,Green,1x1,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),Yes,For sale,1.0.0,1.0.0,UmbrellaFrog0,6925.0,nDBiFvLtf5KeStQNv
gelato umbrella,https://acnhcdn.com/latest/ClosetIcon/UmbrellaTricolor0Cropped.png,https://acnhcdn.com/latest/FtrIcon/UmbrellaTricolor0.png,No,750.0,187.0,3.0,Colorful,Colorful,1x1,NA,Nook's Cranny,,Yes,For sale,1.0.0,1.0.0,UmbrellaTricolor0,7180.0,tupHZa6zDdFvobTEt
ghost umbrella,https://acnhcdn.com/latest/ClosetIcon/UmbrellaTeruteru0Cropped.png,https://acnhcdn.com/latest/FtrIcon/UmbrellaTeruteru0.png,No,1670.0,417.0,3.0,White,White,1x1,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),Yes,For sale,1.0.0,1.0.0,UmbrellaTeruteru0,6924.0,83zEbSL3S3dty4YjN
grape umbrella,https://acnhcdn.com/latest/ClosetIcon/UmbrellaGrape0Cropped.png,https://acnhcdn.com/latest/FtrIcon/UmbrellaGrape0.png,No,1550.0,387.0,3.0,Purple,Green,1x1,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),Yes,For sale,1.0.0,1.0.0,UmbrellaGrape0,6911.0,TJ9cw4XSj64u3uEsx
green chic umbrella,https://acnhcdn.com/latest/ClosetIcon/UmbrellaPacodarace4Cropped.png,https://acnhcdn.com/latest/FtrIcon/UmbrellaPacodarace4.png,No,1620.0,405.0,3.0,Green,Black,1x1,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),Yes,For sale,1.0.0,1.0.0,UmbrellaPacodarace4,12136.0,u2YWae8oz23XcT4u9
green umbrella,https://acnhcdn.com/latest/ClosetIcon/UmbrellaStandard3Cropped.png,https://acnhcdn.com/latest/FtrIcon/UmbrellaStandard3.png,No,770.0,192.0,3.0,Green,Green,1x1,NA,Nook's Cranny,,Yes,For sale,1.0.0,1.0.0,UmbrellaStandard3,9960.0,8Hf4oRy3cQdundDJK
hydrangea umbrella,https://acnhcdn.com/latest/ClosetIcon/UmbrellaHydrangea0Cropped.png,https://acnhcdn.com/latest/FtrIcon/UmbrellaHydrangea0.png,No,750.0,187.0,3.0,Light blue,White,1x1,NA,Nook's Cranny,,Yes,For sale,1.0.0,1.0.0,UmbrellaHydrangea0,6906.0,dmFbrs5ALCJG4KpzB
kabuki umbrella,https://acnhcdn.com/latest/ClosetIcon/UmbrellaKabuki0Cropped.png,https://acnhcdn.com/latest/FtrIcon/UmbrellaKabuki0.png,No,1670.0,417.0,3.0,Purple,White,1x1,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),Yes,For sale,1.0.0,1.0.0,UmbrellaKabuki0,7177.0,QenZWqPCSZr9ZCrRh
kiwi umbrella,https://acnhcdn.com/latest/ClosetIcon/UmbrellaKiwi0Cropped.png,https://acnhcdn.com/latest/FtrIcon/UmbrellaKiwi0.png,No,1550.0,387.0,3.0,Green,Brown,1x1,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),Yes,For sale,1.0.0,1.0.0,UmbrellaKiwi0,6908.0,R9WBMjgoqLwiR3h76
lacy parasol,https://acnhcdn.com/latest/ClosetIcon/UmbrellaLace0Cropped.png,https://acnhcdn.com/latest/FtrIcon/UmbrellaLace0.png,No,1550.0,387.0,3.0,White,White,1x1,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),Yes,For sale,1.0.0,1.0.0,UmbrellaLace0,9946.0,8ND7Jkfb2fxLJaR7n
ladybug umbrella,https://acnhcdn.com/latest/ClosetIcon/UmbrellaLadybug0Cropped.png,https://acnhcdn.com/latest/FtrIcon/UmbrellaLadybug0.png,No,NFS,80.0,501.0,Red,Black,1x1,NA,Bug-Off,,Yes,Not for sale,1.0.0,1.0.0,UmbrellaLadybug0,8767.0,rHNt3mx5hEEDRSRiD
leaf umbrella,https://acnhcdn.com/latest/ClosetIcon/UmbrellaLeaf0Cropped.png,https://acnhcdn.com/latest/FtrIcon/UmbrellaLeaf0.png,Yes,NFS,300.0,103.0,Green,Green,1x1,NA,Crafting,,Yes,Not for sale,1.0.0,1.0.0,UmbrellaLeaf0,6840.0,ZpYcNAofgCtnPfLj5
lemon umbrella,https://acnhcdn.com/latest/ClosetIcon/UmbrellaGingham4Cropped.png,https://acnhcdn.com/latest/FtrIcon/UmbrellaGingham4.png,No,770.0,192.0,3.0,Yellow,White,1x1,NA,Nook's Cranny,,Yes,For sale,1.0.0,1.0.0,UmbrellaGingham4,9954.0,yKb3LfnWDwptRPAWK
logo umbrella,https://acnhcdn.com/latest/ClosetIcon/UmbrellaLogo0Cropped.png,https://acnhcdn.com/latest/FtrIcon/UmbrellaLogo0.png,No,650.0,162.0,3.0,Blue,White,1x1,NA,Nook's Cranny,,Yes,For sale,1.0.0,1.0.0,UmbrellaLogo0,7172.0,sFtYCcv9wy78ujaZr
maple-leaf umbrella,https://acnhcdn.com/latest/ClosetIcon/UmbrellaAutumn0Cropped.png,https://acnhcdn.com/latest/FtrIcon/UmbrellaAutumn0.png,Yes,NFS,2800.0,201.0,Orange,Orange,1x1,NA,Crafting,,Yes,Not for sale,1.0.0,1.0.0,UmbrellaAutumn0,7169.0,b5gL4xdKJPZPjhYZM
melon umbrella,https://acnhcdn.com/latest/ClosetIcon/UmbrellaGingham1Cropped.png,https://acnhcdn.com/latest/FtrIcon/UmbrellaGingham1.png,No,770.0,192.0,3.0,Green,White,1x1,NA,Nook's Cranny,,Yes,For sale,1.0.0,1.0.0,UmbrellaGingham1,9951.0,oFFjNfN2G5BxasAem
mini-flower-print umbrella,https://acnhcdn.com/latest/ClosetIcon/UmbrellaFlorets0Cropped.png,https://acnhcdn.com/latest/FtrIcon/UmbrellaFlorets0.png,No,750.0,187.0,3.0,Pink,White,1x1,NA,Nook's Cranny,,Yes,For sale,1.0.0,1.0.0,UmbrellaFlorets0,6914.0,G9dRhHQxBzYJB5mmE
mint umbrella,https://acnhcdn.com/latest/ClosetIcon/UmbrellaGingham2Cropped.png,https://acnhcdn.com/latest/FtrIcon/UmbrellaGingham2.png,No,770.0,192.0,3.0,Brown,Green,1x1,NA,Nook's Cranny,,Yes,For sale,1.0.0,1.0.0,UmbrellaGingham2,9952.0,F6fPRcpqGqhQ5oq7F
mush umbrella,https://acnhcdn.com/latest/ClosetIcon/UmbrellaMushroom0Cropped.png,https://acnhcdn.com/latest/FtrIcon/UmbrellaMushroom0.png,Yes,NFS,1200.0,103.0,Brown,Beige,1x1,NA,Crafting,,Yes,Not for sale,1.0.0,1.0.0,UmbrellaMushroom0,7174.0,LLSQNPiMBWXXdTYFo
Nook Inc. umbrella,https://acnhcdn.com/latest/ClosetIcon/UmbrellaRco0Cropped.png,https://acnhcdn.com/latest/FtrIcon/UmbrellaRco0.png,No,NFS,3500.0,151.0,Green,White,1x1,700.0,Nook Miles Shop,,Yes,Not for sale,1.0.0,1.0.0,UmbrellaRco0,9561.0,GX9s8tDymkHYHztY3
orange umbrella,https://acnhcdn.com/latest/ClosetIcon/UmbrellaOrange0Cropped.png,https://acnhcdn.com/latest/FtrIcon/UmbrellaOrange0.png,Yes,NFS,1400.0,103.0,Orange,Yellow,1x1,NA,Crafting,,Yes,Not for sale,1.0.0,1.0.0,UmbrellaOrange0,6912.0,ovb5ZxHTXJtBWQQxF
panda umbrella,https://acnhcdn.com/latest/ClosetIcon/UmbrellaPanda0Cropped.png,https://acnhcdn.com/latest/FtrIcon/UmbrellaPanda0.png,No,1570.0,392.0,3.0,White,Black,1x1,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),Yes,For sale,1.0.0,1.0.0,UmbrellaPanda0,7170.0,AJkrWywbkBfFpke5b
paper parasol,https://acnhcdn.com/latest/ClosetIcon/UmbrellaBangasa0Cropped.png,https://acnhcdn.com/latest/FtrIcon/UmbrellaBangasa0.png,No,870.0,217.0,3.0,Brown,Green,1x1,NA,Nook's Cranny,,Yes,For sale,1.0.0,1.0.0,UmbrellaBangasa0,7178.0,Brvfu2wmEsgfpsfe6
patterned vinyl umbrella,https://acnhcdn.com/latest/ClosetIcon/UmbrellaBoundary0Cropped.png,https://acnhcdn.com/latest/FtrIcon/UmbrellaBoundary0.png,No,750.0,187.0,3.0,White,White,1x1,NA,Nook's Cranny,,Yes,For sale,1.0.0,1.0.0,UmbrellaBoundary0,6918.0,KzFYhiwG4WmgGuewi
peach umbrella,https://acnhcdn.com/latest/ClosetIcon/UmbrellaPeach0Cropped.png,https://acnhcdn.com/latest/FtrIcon/UmbrellaPeach0.png,Yes,NFS,1400.0,103.0,Pink,Green,1x1,NA,Crafting,,Yes,Not for sale,1.0.0,1.0.0,UmbrellaPeach0,9947.0,e7KPGj99m2g9dvYfe
pear umbrella,https://acnhcdn.com/latest/ClosetIcon/UmbrellaPear0Cropped.png,https://acnhcdn.com/latest/FtrIcon/UmbrellaPear0.png,Yes,NFS,1400.0,103.0,Yellow,Green,1x1,NA,Crafting,,Yes,Not for sale,1.0.0,1.0.0,UmbrellaPear0,9950.0,2kKFs5wG5ioHGbGda
petal parasol,https://acnhcdn.com/latest/ClosetIcon/UmbrellaMargaret0Cropped.png,https://acnhcdn.com/latest/FtrIcon/UmbrellaMargaret0.png,No,1590.0,397.0,3.0,White,Yellow,1x1,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),Yes,For sale,1.0.0,1.0.0,UmbrellaMargaret0,7181.0,5qqATjxvMpMHmcDns
picnic umbrella,https://acnhcdn.com/latest/ClosetIcon/UmbrellaGingham3Cropped.png,https://acnhcdn.com/latest/FtrIcon/UmbrellaGingham3.png,No,770.0,192.0,3.0,Purple,Pink,1x1,NA,Nook's Cranny,,Yes,For sale,1.0.0,1.0.0,UmbrellaGingham3,9953.0,hvv9Bz2ey3iRvSnAL
pineapple umbrella,https://acnhcdn.com/latest/ClosetIcon/UmbrellaPineapple0Cropped.png,https://acnhcdn.com/latest/FtrIcon/UmbrellaPineapple0.png,No,1550.0,387.0,3.0,Yellow,Green,1x1,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),Yes,For sale,1.0.0,1.0.0,UmbrellaPineapple0,6910.0,ohMyh5kSBGg8Zayyh
pink shiny-bows parasol,https://acnhcdn.com/latest/ClosetIcon/UmbrellaPacodarace0Cropped.png,https://acnhcdn.com/latest/FtrIcon/UmbrellaPacodarace0.png,No,1620.0,405.0,3.0,Pink,White,1x1,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),Yes,For sale,1.0.0,1.0.0,UmbrellaPacodarace0,7176.0,PTvmPPNiXMZ4jhBKX
pink umbrella,https://acnhcdn.com/latest/ClosetIcon/UmbrellaSchool0Cropped.png,https://acnhcdn.com/latest/FtrIcon/UmbrellaSchool0.png,No,770.0,192.0,3.0,Pink,Pink,1x1,NA,Nook's Cranny,,Yes,For sale,1.0.0,1.0.0,UmbrellaSchool0,7164.0,Cg8DXnxz3AtYJvdPE
purple chic umbrella,https://acnhcdn.com/latest/ClosetIcon/UmbrellaPacoda0Cropped.png,https://acnhcdn.com/latest/FtrIcon/UmbrellaPacoda0.png,No,1620.0,405.0,3.0,Purple,Black,1x1,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),Yes,For sale,1.0.0,1.0.0,UmbrellaPacoda0,7183.0,2dXt6F6XwMf346Zbv
purple shiny-bows parasol,https://acnhcdn.com/latest/ClosetIcon/UmbrellaPacodarace1Cropped.png,https://acnhcdn.com/latest/FtrIcon/UmbrellaPacodarace1.png,No,1620.0,405.0,3.0,Purple,White,1x1,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),Yes,For sale,1.0.0,1.0.0,UmbrellaPacodarace1,12133.0,J6FrqXxBPqGNBs4sC
rainbow umbrella,https://acnhcdn.com/latest/ClosetIcon/UmbrellaRainbow0Cropped.png,https://acnhcdn.com/latest/FtrIcon/UmbrellaRainbow0.png,No,840.0,210.0,3.0,Colorful,Colorful,1x1,NA,Nook's Cranny,,Yes,For sale,1.0.0,1.0.0,UmbrellaRainbow0,7179.0,P9bMZJY3n2dtooq5X
raindrop umbrella,https://acnhcdn.com/latest/ClosetIcon/UmbrellaRain0Cropped.png,https://acnhcdn.com/latest/FtrIcon/UmbrellaRain0.png,No,750.0,187.0,3.0,Yellow,Light blue,1x1,NA,Nook's Cranny,,Yes,For sale,1.0.0,1.0.0,UmbrellaRain0,6913.0,Djdj6KiSLh82BHzqB
red chic umbrella,https://acnhcdn.com/latest/ClosetIcon/UmbrellaPacodarace6Cropped.png,https://acnhcdn.com/latest/FtrIcon/UmbrellaPacodarace6.png,No,1620.0,405.0,3.0,Red,Black,1x1,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),Yes,For sale,1.0.0,1.0.0,UmbrellaPacodarace6,12138.0,kKoJtAcxMDNKq7tNu
red umbrella,https://acnhcdn.com/latest/ClosetIcon/UmbrellaStandard1Cropped.png,https://acnhcdn.com/latest/FtrIcon/UmbrellaStandard1.png,No,770.0,192.0,3.0,Red,Red,1x1,NA,Nook's Cranny,,Yes,For sale,1.0.0,1.0.0,UmbrellaStandard1,9958.0,Z9yCA3wawXdQsbLSs
snowflake umbrella,https://acnhcdn.com/latest/ClosetIcon/UmbrellaCrystal0Cropped.png,https://acnhcdn.com/latest/FtrIcon/UmbrellaCrystal0.png,No,1550.0,387.0,3.0,Light blue,Light blue,1x1,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),Yes,For sale,1.0.0,1.0.0,UmbrellaCrystal0,6905.0,r5RwHucDKWJPg7dkv
spider umbrella,https://acnhcdn.com/latest/ClosetIcon/UmbrellaSpider0Cropped.png,https://acnhcdn.com/latest/FtrIcon/UmbrellaSpider0.png,No,840.0,210.0,3.0,Black,White,1x1,NA,Nook's Cranny,,Yes,For sale,1.0.0,1.0.0,UmbrellaSpider0,7173.0,aaQhimbednGniK4NF
strawberry umbrella,https://acnhcdn.com/latest/ClosetIcon/UmbrellaStrawberry0Cropped.png,https://acnhcdn.com/latest/FtrIcon/UmbrellaStrawberry0.png,No,1550.0,387.0,3.0,Pink,Green,1x1,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),Yes,For sale,1.0.0,1.0.0,UmbrellaStrawberry0,6907.0,kKQHooYToACDqoqBm
striped umbrella,https://acnhcdn.com/latest/ClosetIcon/UmbrellaStripe0Cropped.png,https://acnhcdn.com/latest/FtrIcon/UmbrellaStripe0.png,No,750.0,187.0,3.0,Gray,White,1x1,NA,Nook's Cranny,,Yes,For sale,1.0.0,1.0.0,UmbrellaStripe0,6916.0,hF2THDnHbEJWTDT8L
sunny parasol,https://acnhcdn.com/latest/ClosetIcon/UmbrellaSunflower0Cropped.png,https://acnhcdn.com/latest/FtrIcon/UmbrellaSunflower0.png,No,750.0,187.0,3.0,Yellow,White,1x1,NA,Nook's Cranny,,Yes,For sale,1.0.0,1.0.0,UmbrellaSunflower0,6904.0,thr45xserbQqAm6o4
tartan-check umbrella,https://acnhcdn.com/latest/ClosetIcon/UmbrellaPlaid0Cropped.png,https://acnhcdn.com/latest/FtrIcon/UmbrellaPlaid0.png,No,750.0,187.0,3.0,Red,Green,1x1,NA,Nook's Cranny,,Yes,For sale,1.0.0,1.0.0,UmbrellaPlaid0,6917.0,HjZzRQKbMdXBKYawe
Toad parasol,https://acnhcdn.com/latest/ClosetIcon/UmbrellaPolkadotRedCropped.png,https://acnhcdn.com/latest/FtrIcon/UmbrellaPolkadotRed.png,No,750.0,187.0,3.0,Red,White,1x1,NA,Nook's Cranny,,Yes,For sale,1.0.0,1.0.0,UmbrellaPolkadotRed,5861.0,HnmPeaovKNwg7ZuBL
two-tone umbrella,https://acnhcdn.com/latest/ClosetIcon/UmbrellaTwocolor0Cropped.png,https://acnhcdn.com/latest/FtrIcon/UmbrellaTwocolor0.png,No,770.0,192.0,3.0,Red,Yellow,1x1,NA,Nook's Cranny,,Yes,For sale,1.0.0,1.0.0,UmbrellaTwocolor0,7166.0,Da4xWXq9D2RFLnyYj
vinyl umbrella,https://acnhcdn.com/latest/ClosetIcon/UmbrellaVinyl0Cropped.png,https://acnhcdn.com/latest/FtrIcon/UmbrellaVinyl0.png,No,770.0,192.0,3.0,White,White,1x1,NA,Nook's Cranny,,Yes,For sale,1.0.0,1.0.0,UmbrellaVinyl0,7165.0,q4Eo8vxPLFCL4ppac
watermelon umbrella,https://acnhcdn.com/latest/ClosetIcon/UmbrellaWater0Cropped.png,https://acnhcdn.com/latest/FtrIcon/UmbrellaWater0.png,No,1550.0,387.0,3.0,Red,Green,1x1,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),Yes,For sale,1.0.0,1.0.0,UmbrellaWater0,6909.0,JTchAPvto4vHBJANw
white shiny-bows parasol,https://acnhcdn.com/latest/ClosetIcon/UmbrellaPacodarace3Cropped.png,https://acnhcdn.com/latest/FtrIcon/UmbrellaPacodarace3.png,No,1620.0,405.0,3.0,White,White,1x1,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),Yes,For sale,1.0.0,1.0.0,UmbrellaPacodarace3,12135.0,4btSNLBHRoocAXfgE
