Name,Image,VFX,VFX Type,DIY,Buy,Sell,Color 1,Color 2,Miles Price,Source,Source Notes,Window Type,Window Color,Pane Type,Curtain Type,Curtain Color,Ceiling Type,HHA Base Points,HHA Concept 1,HHA Concept 2,HHA Series,Tag,Catalog,Version Added,Version Unlocked,Filename,Internal ID,Unique Entry ID
blackboard wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallBlackBoard00.png,No,NA,No,3000.0,750.0,Black,Colorful,NA,Saharah,,None,NA,NA,None,NA,Wood,451.0,shop,school,None,Neta Walls,Not for sale,1.0.0,1.0.0,RoomTexWallBlackBoard00,4882.0,Aseoowo4cuXJqyWaA
blue blossoming wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCountry02.png,No,NA,No,1760.0,440.0,Light blue,Blue,NA,Nook's Cranny,,Four Pane,Gray Wood,Glass,Curtains,Blue Checkered,Wood,151.0,fancy,living room,None,Country,For sale,1.0.0,1.0.0,RoomTexWallCountry02,4896.0,SZWxorHWvT7vhGXsj
blue camo wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCamouflage01.png,No,NA,No,1150.0,287.0,Blue,Blue,NA,Nook's Cranny,,Single Pane,Gray Wood,Glass,Slatted Blinds,White Plastic,Cloth,151.0,party,child's room,None,Camouflage,For sale,1.0.0,1.0.0,RoomTexWallCamouflage01,4884.0,xQ2EDvGyh76skJyX3
blue delicate-blooms wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallManor03.png,No,NA,No,1900.0,475.0,Blue,Black,NA,Nook's Cranny,,Four Pane,Dark Wood,Glass,Roller Shades,Undyed,Wood,151.0,expensive,living room,None,Manor Walls,For sale,1.0.0,1.0.0,RoomTexWallManor03,6852.0,7Fb4nvMvoxtCZRQv7
blue desert-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMorocco01.png,No,NA,No,2440.0,610.0,Blue,White,NA,Nook's Cranny,,Sliding Pane,White Metal,Glass,None,NA,Stone,151.0,bathroom,facility,None,Morocco,For sale,1.0.0,1.0.0,RoomTexWallMorocco01,4835.0,vgNuogZ2JG2eZEBni
blue diner wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallDiner00.png,No,NA,No,2420.0,605.0,Blue,Light blue,NA,Nook's Cranny,,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Stone,151.0,fancy,shop,None,Diner Walls,For sale,1.0.0,1.0.0,RoomTexWallDiner00,7241.0,GjJT3k3neqwzenXku
blue flower-print wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallFlower03.png,No,NA,No,1780.0,445.0,Blue,Light blue,NA,Nook's Cranny,,Four Pane,Dark Wood,Glass,Curtains,Light blue,Wood,151.0,fancy,living room,None,Flower Walls,For sale,1.0.0,1.0.0,RoomTexWallFlower03,6873.0,Hfm5a2EozWyQws3Tv
blue heart-pattern wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHeart00.png,No,NA,No,1280.0,320.0,Blue,Light blue,NA,Nook's Cranny,,Four Pane,White Wood,Glass,Roller Shades,White,Cloth,151.0,fancy,child's room,None,Heart Walls,For sale,1.0.0,1.0.0,RoomTexWallHeart00,4874.0,9dXvZ4H39kton3Tcj
blue honeycomb-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHoneycomb01.png,No,NA,No,1680.0,420.0,Blue,Blue,NA,Nook's Cranny,,Sliding Pane,Black Metal,Glass,None,NA,Stone,151.0,bathroom,facility,None,Honeycomb,For sale,1.0.0,1.0.0,RoomTexWallHoneycomb01,4912.0,Fht6yazsmMqdtEYQb
blue intricate wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallFlowerPop00.png,No,NA,No,1570.0,392.0,Blue,White,NA,Nook's Cranny,,Four Pane,Gray Wood,Glass,Roller Shades,White,Wood,151.0,living room,shop,None,Flower Pop Walls,For sale,1.0.0,1.0.0,RoomTexWallFlowerPop00,4848.0,p65nAJPAzQRgrjmDk
blue molded-panel wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPanelMold01.png,No,NA,No,1980.0,495.0,Blue,Brown,NA,Nook's Cranny,,Sliding Pane,White Metal,Glass,None,NA,Cloth,151.0,expensive,shop,None,Panel Mold Walls,For sale,1.0.0,1.0.0,RoomTexWallPanelMold01,4871.0,NpLfp6Jj3N5SDZJGK
blue painted-wood wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPaintWood00.png,No,NA,No,1650.0,412.0,Blue,Light blue,NA,Nook's Cranny,,Four Pane,White Wood,Glass,None,NA,Wood,151.0,fancy,living room,None,Painted Wood,For sale,1.0.0,1.0.0,RoomTexWallPaintWood00,4948.0,taLRgdodXzdzaAqA5
blue playroom wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallToy00.png,No,NA,No,2540.0,635.0,Light blue,Blue,NA,Nook's Cranny,,Sliding Pane,White Metal,Glass,None,NA,Cloth,151.0,child's room,fancy,None,Toy Walls,For sale,1.0.0,1.0.0,RoomTexWallToy00,4888.0,GFvGWj5w9m6i5eRwu
blue quilt wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallDollhouse01.png,No,NA,No,2150.0,537.0,Blue,White,NA,Nook's Cranny,,Four Pane,White Wood,Glass,Curtains,White Lace,Cloth,151.0,fancy,child's room,None,Dollhouse Walls,For sale,1.0.0,1.0.0,RoomTexWallDollhouse01,7277.0,PPTLt5GQAdAhgRkxx
blue shanty wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallTin02.png,No,NA,No,620.0,155.0,Blue,Blue,NA,Nook's Cranny,,Single Pane,Gray Wood,Glass,Slatted Blinds,White Plastic,Stone,151.0,garage,None,None,Tin Walls,For sale,1.0.0,1.0.0,RoomTexWallTin02,4925.0,izNEFpPcp7pZaokHC
blue simple-cloth wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallSimple03.png,No,NA,No,750.0,187.0,Blue,Light blue,NA,Nook's Cranny,,Four Pane,White Wood,Glass,Curtains,White,Wood,151.0,child's room,living room,None,Simple Walls,For sale,1.0.0,1.0.0,RoomTexWallSimple03,4869.0,KEN3oXsCwXwBcrfyD
blue subway-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMetro00.png,No,NA,No,1340.0,335.0,Blue,Light blue,NA,Nook's Cranny,,Sliding Pane,White Metal,Glass,None,NA,Stone,151.0,facility,shop,None,Metro Walls,For sale,1.0.0,1.0.0,RoomTexWallMetro00,4940.0,mJ2HZDvnKgWB4TfXD
blue tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallTile03.png,No,NA,No,1420.0,355.0,Blue,Blue,NA,Nook's Cranny,,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Stone,151.0,bathroom,facility,None,Tile Walls,For sale,1.0.0,1.0.0,RoomTexWallTile03,7127.0,gFc6NFYEbm8AqnpNu
blue two-toned tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallTwoToneTile05.png,No,NA,No,1850.0,462.0,Blue,Blue,NA,Nook's Cranny,,Sliding Pane,White Metal,Glass,None,NA,Stone,151.0,bathroom,facility,None,Two-Tone Tile Walls,For sale,1.0.0,1.0.0,RoomTexWallTwoToneTile05,6858.0,97tHxtBzbMechYNAe
blue-crown wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCrown00.png,No,NA,No,2350.0,587.0,Blue,Black,NA,Nook's Cranny,,None,NA,NA,None,NA,Tile,151.0,expensive,None,None,Crown Walls,For sale,1.0.0,1.0.0,RoomTexWallCrown00,4814.0,k3b6CntCn3X84TN8X
blue-paint wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallStucco03.png,No,NA,No,1600.0,400.0,Blue,Blue,NA,Nook's Cranny,,Four Pane,Dark Wood,Glass,None,NA,Stone,151.0,fancy,living room,None,Stucco Walls,For sale,1.0.0,1.0.0,RoomTexWallStucco03,4811.0,Pdr9WyCDQ9MBgG2qf
blue-rose wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallRose03.png,No,NA,No,1720.0,430.0,Blue,Light blue,NA,Nook's Cranny,,Arch,Gray Metal,Glass,None,NA,Wood,151.0,fancy,living room,None,Rose Walls,For sale,1.0.0,1.0.0,RoomTexWallRose03,6869.0,24hAjZQPsBXg3qHgw
blue-striped wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallStripe03.png,No,NA,No,1520.0,380.0,Blue,White,NA,Nook's Cranny,,Four Pane,White Wood,Glass,Roller Shades,White,Cloth,151.0,fancy,child's room,None,Stripe Walls,For sale,1.0.0,1.0.0,RoomTexWallStripe03,4945.0,ZN2NXtCWSxQyeY9TF
botanical-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallWoodTile02.png,No,NA,No,1240.0,310.0,Beige,Yellow,NA,Nook's Cranny,,Single Pane,Natural Wood,Glass,Slatted Blinds,Natural Wood,Stone,151.0,facility,expensive,None,Wood Tile Walls,For sale,1.0.0,1.0.0,RoomTexWallWoodTile02,6876.0,gAvEyZiovXdKht7Db
brown botanical-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallWoodTile01.png,No,NA,No,1240.0,310.0,Brown,Brown,NA,Nook's Cranny,,Single Pane,Dark Wood,Glass,Slatted Blinds,Dark Brown Wood,Stone,151.0,facility,expensive,None,Wood Tile Walls,For sale,1.0.0,1.0.0,RoomTexWallWoodTile01,4827.0,FBLdaz4BkJbYvtdhy
brown diner wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallDiner03.png,No,NA,No,2420.0,605.0,Brown,Colorful,NA,Nook's Cranny,,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Stone,151.0,fancy,shop,None,Diner Walls,For sale,1.0.0,1.0.0,RoomTexWallDiner03,7244.0,wtnNQikxNEJkL753p
brown hallway wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHall00.png,No,NA,No,2000.0,500.0,Brown,Brown,NA,Nook's Cranny,,None,NA,NA,None,NA,Wood,151.0,facility,music,None,Hall Walls,For sale,1.0.0,1.0.0,RoomTexWallHall00,4806.0,hFcaZ4n9ktaGNSTBE
brown herringbone wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHerringbone00.png,No,NA,Yes,NFS,1800.0,Brown,Brown,NA,Crafting,,Single Pane,Natural Wood,Glass,Slatted Blinds,Brown Wood,Wood,103.0,living room,shop,None,Herringbone,Not for sale,1.0.0,1.0.0,RoomTexWallHerringbone00,4804.0,oYALopoXWt2ZRT7Ej
brown shanty wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallTin03.png,No,NA,No,620.0,155.0,Brown,Brown,NA,Nook's Cranny,,Single Pane,Gray Wood,Glass,Slatted Blinds,White Plastic,Stone,151.0,garage,None,None,Tin Walls,For sale,1.0.0,1.0.0,RoomTexWallTin03,4926.0,MHxmHT82gP3odiLwv
brown wedding wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallChurch01.png,No,NA,No,NFS,750.0,None,None,NA,Cyrus,Only available during Wedding Season,None,NA,NA,None,NA,Stone,437.0,party,expensive,wedding,Cloth Walls,Not for sale,1.2.0,1.2.1c,RoomSpWallChurch01,12468.0,micAswPDNsNS2A2mb
brown-brick wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallBrick03.png,No,NA,No,1000.0,250.0,Brown,Brown,NA,Nook's Cranny,,Four Pane,Natural Wood,Glass,None,NA,Wood,151.0,facility,shop,None,Brick,For sale,1.0.0,1.0.0,RoomTexWallBrick03,6850.0,BE69b25WcF47xAqdG
brown-crown wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCrown03.png,No,NA,No,2350.0,587.0,Brown,Brown,NA,Nook's Cranny,,None,NA,NA,None,NA,Tile,151.0,expensive,None,None,Crown Walls,For sale,1.0.0,1.0.0,RoomTexWallCrown03,6851.0,oL8aBjZoFCFKEEgAg
Bunny Day wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallEaster00.png,No,NA,Yes,NFS,4800.0,Yellow,Colorful,NA,Crafting,,Four Pane,White Wood,Glass,Curtains,White Lace,Cloth,351.0,fancy,child's room,Bunny Day,Cloth Walls,Not for sale,1.1.0,1.1.0a,RoomTexWallEaster00,5231.0,dEoSTZADDLkvmDHuY
butterflies wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallInsect00.png,No,NA,No,NFS,840.0,White,Colorful,NA,Bug-Off,,Four Pane,White Wood,Glass,Roller Shades,White,Wood,501.0,fancy,facility,None,Nature Walls,Not for sale,1.0.0,1.0.0,RoomTexWallInsect00,4880.0,gJEmy4shFTnDB9Pjy
cabin wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallLog00.png,No,NA,Yes,NFS,1800.0,Beige,Beige,NA,Crafting,,Four Pane,Natural Wood,Glass,Curtains,White Lace,Wood,103.0,living room,facility,None,Wood Walls,Not for sale,1.0.0,1.0.0,RoomTexWallLog00,4840.0,sAEWR5uKGAXM6utL7
café-curtain wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallCafe00.png,Yes,NA,No,3000.0,750.0,Black,White,NA,Saharah,,None,NA,NA,None,NA,Cloth,451.0,shop,expensive,None,Special Walls,Not for sale,1.0.0,1.0.0,RoomSpWallCafe00,5483.0,ficQ2fw73rzF5EJBB
camo wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCamouflage00.png,No,NA,No,1150.0,287.0,Black,Green,NA,Nook's Cranny,,Single Pane,Gray Wood,Glass,Slatted Blinds,White Plastic,Plain,151.0,party,child's room,None,Camouflage,For sale,1.0.0,1.0.0,RoomTexWallCamouflage00,4883.0,gBLHTGPLB65iZypbn
chain-link fence,https://acnhcdn.com/latest/FtrIcon/RoomSpWallEmptyLot00.png,Yes,NA,No,3000.0,750.0,Gray,Gray,NA,Saharah,,None,NA,NA,None,NA,Cloth,451.0,garden,garage,None,Special Cool Nature Walls,Not for sale,1.0.0,1.0.0,RoomSpWallEmptyLot00,5485.0,Qwbt8qxT8yN9XfXdR
cherry wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCherry00.png,No,NA,Yes,NFS,4000.0,Pink,Red,NA,Crafting,,Four Pane,Gray Wood,Glass,Roller Shades,White,Stone,103.0,child's room,fancy,fruits,Fruit Walls,Not for sale,1.0.0,1.0.0,RoomTexWallCherry00,4919.0,tcMuDzZqtDYs29Asm
cherry-blossom-trees wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallSakura00.png,Yes,Random,Yes,NFS,4600.0,Brown,Pink,NA,Crafting,,None,NA,NA,None,NA,Wood,201.0,garden,None,cherry blossoms,Special Warm Nature Walls,Not for sale,1.0.0,1.0.0,RoomSpWallSakura00,7205.0,LrRvk9Twg87SSqNR4
chic tearoom wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMud03.png,No,NA,No,1750.0,437.0,Black,Black,NA,Nook's Cranny,,Circle,Dark Wood,Screen,None,NA,Wood,151.0,zen-style,shop,None,Tea Room Walls,For sale,1.0.0,1.0.0,RoomTexWallMud03,11176.0,juLfiYnkF3x3wSAMZ
chic wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallClassic00.png,No,NA,No,1960.0,490.0,Yellow,Beige,NA,Nook's Cranny,,Four Pane,White Wood,Glass,Curtains,White Lace,Wood,151.0,expensive,living room,None,Cloth Walls,For sale,1.0.0,1.0.0,RoomTexWallClassic00,4828.0,QMofvFznsaNcsDTqg
chocolate hallway wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHall01.png,No,NA,No,2000.0,500.0,Brown,Brown,NA,Nook's Cranny,,None,NA,NA,None,NA,Wood,151.0,facility,music,None,Hall Walls,For sale,1.0.0,1.0.0,RoomTexWallHall01,4807.0,WZfDqbGb3cACFJWrg
chocolate herringbone wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHerringbone01.png,No,NA,Yes,NFS,1800.0,Brown,Brown,NA,Crafting,,Single Pane,Dark Wood,Glass,Slatted Blinds,Dark Brown Wood,Stone,103.0,living room,shop,None,Herringbone,Not for sale,1.0.0,1.0.0,RoomTexWallHerringbone01,4805.0,TpZxYjK6NorSqDMwu
circuit-board wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallGeek00.png,No,NA,No,3000.0,750.0,Green,Green,NA,Saharah,,None,NA,NA,None,NA,Cloth,451.0,facility,None,None,Neta Walls,Not for sale,1.0.0,1.0.0,RoomTexWallGeek00,4821.0,Ms4DDtXTTGMwXdvvy
cityscape wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallNightView00.png,Yes,NA,No,3000.0,750.0,Black,Black,NA,Saharah,,None,NA,NA,None,NA,Wood,451.0,shop,expensive,None,Special Walls,Not for sale,1.0.0,1.0.0,RoomSpWallNightView00,5400.0,9B4hFDTD7xM8goPGs
classic-library wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallLibrary00.png,No,NA,Yes,NFS,1450.0,Black,Black,NA,Crafting,,None,NA,NA,None,NA,Cloth,103.0,den,None,None,Library Walls,Not for sale,1.0.0,1.0.0,RoomTexWallLibrary00,4837.0,YbYmnjKXc49cyT6GB
colorful puzzle wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPuzzle01.png,No,NA,No,1540.0,385.0,Colorful,Colorful,NA,Nook's Cranny,,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Stone,151.0,fancy,child's room,None,Puzzle Walls,For sale,1.0.0,1.0.0,RoomTexWallPuzzle01,4887.0,gpsYwFiGd3coj2eBS
colorful-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallTile02.png,No,NA,No,1420.0,355.0,Colorful,Colorful,NA,Nook's Cranny,,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Wood,151.0,bathroom,facility,None,Tile Walls,For sale,1.0.0,1.0.0,RoomTexWallTile02,4931.0,yu9xkApAW49Zhhf9i
common wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCommon00.png,No,NA,No,800.0,200.0,Beige,Brown,NA,Nook's Cranny,,Four Pane,Natural Wood,Glass,Curtains,White,Stone,151.0,living room,school,None,Stone Walls,For sale,1.0.0,1.0.0,RoomTexWallCommon00,4795.0,nLsLm3SoBAKtH5DmF
concrete wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallConcrete00.png,No,NA,No,940.0,235.0,Gray,Gray,NA,Nook's Cranny,,Single Pane,Gray Wood,Glass,Slatted Blinds,White Plastic,Stone,151.0,garage,facility,None,Stone Walls,For sale,1.0.0,1.0.0,RoomTexWallConcrete00,4890.0,jmixjxLNuH9jRQhyr
construction-site wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallBlueSheet00.png,No,NA,No,3000.0,750.0,Blue,Blue,NA,Saharah,,None,NA,NA,None,NA,Wood,451.0,garage,facility,None,Neta Walls,Not for sale,1.0.0,1.0.0,RoomTexWallBlueSheet00,4843.0,gDubZLr2wi622j5De
crepe-design wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCrepe00.png,No,NA,No,1550.0,387.0,White,Colorful,NA,Nook's Cranny,,Circle,Gray Wood,Screen,None,NA,Cloth,151.0,zen-style,None,None,Japanese Style,For sale,1.0.0,1.0.0,RoomTexWallCrepe00,4841.0,dBSCiiYyny3ReAbgo
cute blue wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCute02.png,No,NA,No,1880.0,470.0,Blue,White,NA,Nook's Cranny,,Four Pane,White Wood,Glass,Curtains,White Lace,Cloth,151.0,fancy,child's room,None,Cute Walls,For sale,1.0.0,1.0.0,RoomTexWallCute02,7217.0,KFhQNtCs6tx9sj7dy
